time,Chicago,pts.away,score,pts.home,Orlando
5:52.0,,,11-19,,A. Gordon misses 3-pt shot from 25 ft
5:51.0,Defensive rebound by P. Gasol,,11-19,,
5:41.0,P. Gasol makes 2-pt shot from 18 ft (assist by D. Rose),2,13-19,,
5:22.0,,,13-21,2,M. Hezonja makes 2-pt shot from 7 ft
5:10.0,D. Rose makes 2-pt shot from 18 ft,2,15-21,,
4:58.0,,,15-21,,N. Vucevic misses 2-pt shot from 7 ft (block by P. Gasol)
4:56.0,Defensive rebound by D. Rose,,15-21,,
4:48.0,D. Rose misses 2-pt shot from 2 ft,,15-21,,
4:47.0,,,15-21,,Defensive rebound by N. Vucevic
4:39.0,,,15-23,2,V. Oladipo makes 2-pt shot from 1 ft (assist by E. Payton)
4:20.0,P. Gasol misses 3-pt shot from 25 ft,,15-23,,
4:19.0,,,15-23,,Defensive rebound by A. Gordon
4:08.0,,,15-23,,N. Vucevic misses 2-pt shot from 14 ft
4:07.0,Defensive rebound by M. Dunleavy,,15-23,,
4:00.0,E. Moore makes 2-pt shot from 9 ft,2,17-23,,
3:58.0,,,17-23,,Orlando full timeout
3:58.0,,,17-23,,E. Ilyasova enters the game for A. Gordon
3:58.0,A. Brooks enters the game for M. Dunleavy,,17-23,,
3:58.0,D. McDermott enters the game for D. Rose,,17-23,,
3:39.0,,,17-26,3,M. Hezonja makes 3-pt shot from 25 ft (assist by N. Vucevic)
3:11.0,A. Brooks misses 3-pt shot from 28 ft,,17-26,,
3:10.0,,,17-26,,Defensive rebound by E. Ilyasova
3:00.0,,,17-28,2,V. Oladipo makes 2-pt shot from 15 ft
2:42.0,B. Portis misses 2-pt shot from 12 ft,,17-28,,
2:41.0,,,17-28,,Defensive rebound by E. Ilyasova
2:32.0,,,17-31,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by E. Payton)
2:12.0,B. Portis makes 2-pt shot at rim (assist by E. Moore),2,19-31,,
1:49.0,,,19-31,,N. Vucevic misses 2-pt shot from 20 ft
1:48.0,Defensive rebound by D. McDermott,,19-31,,
1:40.0,,,19-31,,J. Smith enters the game for N. Vucevic
1:40.0,,,19-31,,C. Watson enters the game for V. Oladipo
1:30.0,D. McDermott misses 3-pt shot from 27 ft,,19-31,,
1:29.0,,,19-31,,Defensive rebound by J. Smith
1:21.0,,,19-31,,E. Ilyasova misses 2-pt shot from 19 ft
1:19.0,Defensive rebound by A. Brooks,,19-31,,
1:11.0,B. Portis misses 2-pt shot from 9 ft,,19-31,,
1:10.0,,,19-31,,Defensive rebound by M. Hezonja
1:04.0,,,19-33,2,J. Smith makes 2-pt shot from 1 ft (assist by M. Hezonja)
0:50.0,D. McDermott makes 2-pt shot from 2 ft (assist by B. Portis),2,21-33,,
0:42.0,,,21-33,,J. Smith misses 2-pt shot from 19 ft
0:41.0,Defensive rebound by B. Portis,,21-33,,
0:26.0,D. McDermott makes 2-pt shot at rim (assist by B. Portis),2,23-33,,
0:03.0,,,23-33,,E. Payton misses 2-pt shot from 1 ft (block by P. Gasol)
0:02.0,Defensive rebound by Team,,23-33,,
0:02.0,J. Holiday enters the game for E. Moore,,23-33,,
0:02.0,T. Snell enters the game for P. Gasol,,23-33,,
0:02.0,,,23-33,,B. Jennings enters the game for E. Payton
0:00.0,A. Brooks misses 3-pt shot from 55 ft,,23-33,,
0:00.0,Offensive rebound by Team,,23-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,23-33,,E. Ilyasova misses 2-pt shot from 2 ft
11:34.0,Defensive rebound by B. Portis,,23-33,,
11:25.0,,,23-33,,Personal block foul by E. Ilyasova (drawn by T. Snell)
11:19.0,,,23-33,,Personal foul by B. Jennings (drawn by J. Holiday)
11:14.0,D. McDermott makes 3-pt shot from 27 ft (assist by B. Portis),3,26-33,,
10:57.0,,,26-33,,E. Ilyasova misses 2-pt shot from 11 ft
10:55.0,Defensive rebound by B. Portis,,26-33,,
10:47.0,B. Portis makes 2-pt shot from 18 ft (assist by A. Brooks),2,28-33,,
10:30.0,,,28-35,2,J. Smith makes 2-pt shot from 8 ft (assist by B. Jennings)
10:11.0,B. Portis misses 2-pt shot from 18 ft,,28-35,,
10:10.0,,,28-35,,Defensive rebound by E. Ilyasova
10:03.0,,,28-35,,C. Watson misses 2-pt shot from 18 ft
10:02.0,Defensive rebound by A. Brooks,,28-35,,
9:58.0,,,28-35,,Personal foul by C. Watson (drawn by A. Brooks)
9:55.0,,,28-35,,Personal foul by D. Marble (drawn by D. McDermott)
9:48.0,D. McDermott misses 2-pt shot from 22 ft,,28-35,,
9:47.0,,,28-35,,Defensive rebound by C. Watson
9:32.0,,,28-35,,B. Jennings misses 3-pt shot from 25 ft
9:31.0,Defensive rebound by B. Portis,,28-35,,
9:15.0,B. Portis misses 2-pt shot from 2 ft,,28-35,,
9:14.0,,,28-35,,Defensive rebound by E. Ilyasova
9:05.0,,,28-35,,Turnover by D. Marble (bad pass; steal by A. Brooks)
8:58.0,A. Brooks misses 2-pt shot from 8 ft,,28-35,,
8:56.0,Offensive rebound by D. McDermott,,28-35,,
8:52.0,D. McDermott misses 2-pt shot from 3 ft (block by J. Smith),,28-35,,
8:50.0,,,28-35,,Defensive rebound by B. Jennings
8:44.0,,,28-35,,C. Watson misses 2-pt shot from 1 ft
8:44.0,,,28-35,,Offensive rebound by E. Ilyasova
8:44.0,,,28-37,2,E. Ilyasova makes 2-pt shot from 5 ft
8:44.0,,,28-37,,Shooting foul by B. Portis (drawn by E. Ilyasova)
8:44.0,Official timeout,,28-37,,
8:44.0,,,28-37,,V. Oladipo enters the game for D. Marble
8:44.0,D. Rose enters the game for A. Brooks,,28-37,,
8:44.0,,,28-37,,E. Ilyasova misses free throw 1 of 1
8:44.0,,,28-37,,Offensive rebound by J. Smith
8:30.0,,,28-37,,E. Ilyasova misses 2-pt shot from 7 ft
8:28.0,,,28-37,,Offensive rebound by J. Smith
8:20.0,,,28-39,2,E. Ilyasova makes 2-pt shot from 7 ft (assist by B. Jennings)
8:20.0,,,28-39,,Shooting foul by D. McDermott (drawn by E. Ilyasova)
8:20.0,,,28-39,,Turnover by J. Smith (lane violation.)
8:20.0,,,28-39,,A. Gordon enters the game for E. Ilyasova
8:01.0,B. Portis misses 2-pt shot from 2 ft,,28-39,,
7:59.0,,,28-39,,Defensive rebound by J. Smith
7:46.0,,,28-39,,Shooting foul by T. Snell (drawn by A. Gordon)
7:46.0,,,28-40,1,A. Gordon makes free throw 1 of 2
7:46.0,,,28-41,1,A. Gordon makes free throw 2 of 2
7:36.0,D. Rose makes 2-pt shot from 2 ft,2,30-41,,
7:29.0,Personal foul by T. Snell (drawn by A. Gordon),,30-41,,
7:29.0,E. Moore enters the game for T. Snell,,30-41,,
7:24.0,,,30-43,2,J. Smith makes 2-pt shot from 19 ft (assist by B. Jennings)
7:16.0,E. Moore misses 3-pt shot from 24 ft,,30-43,,
7:15.0,,,30-43,,Defensive rebound by J. Smith
7:04.0,,,30-43,,B. Jennings misses 2-pt shot from 16 ft
7:03.0,Defensive rebound by D. Rose,,30-43,,
6:57.0,B. Portis makes 2-pt shot from 2 ft (assist by E. Moore),2,32-43,,
6:39.0,,,32-43,,V. Oladipo misses 3-pt shot from 25 ft
6:37.0,Defensive rebound by J. Holiday,,32-43,,
6:27.0,D. Rose makes 2-pt shot from 18 ft,2,34-43,,
6:17.0,,,34-43,,Orlando full timeout
6:17.0,,,34-43,,M. Hezonja enters the game for C. Watson
6:17.0,,,34-43,,E. Payton enters the game for B. Jennings
6:17.0,P. Gasol enters the game for B. Portis,,34-43,,
6:11.0,,,34-45,2,V. Oladipo makes 2-pt shot from 18 ft (assist by E. Payton)
5:51.0,J. Holiday misses 2-pt shot from 13 ft,,34-45,,
5:50.0,,,34-45,,Defensive rebound by V. Oladipo
5:44.0,,,34-47,2,V. Oladipo makes 2-pt shot from 2 ft
5:28.0,D. McDermott misses 3-pt shot from 26 ft,,34-47,,
5:27.0,,,34-47,,Defensive rebound by E. Payton
5:21.0,,,34-49,2,J. Smith makes 2-pt shot from 1 ft (assist by E. Payton)
5:21.0,Chicago full timeout,,34-49,,
5:21.0,,,34-49,,N. Vucevic enters the game for J. Smith
5:21.0,M. Dunleavy enters the game for D. McDermott,,34-49,,
5:07.0,P. Gasol misses 2-pt shot from 11 ft,,34-49,,
5:06.0,,,34-49,,Defensive rebound by V. Oladipo
4:47.0,,,34-49,,M. Hezonja misses 3-pt shot from 25 ft
4:46.0,Defensive rebound by D. Rose,,34-49,,
4:37.0,D. Rose misses 2-pt shot from 13 ft,,34-49,,
4:36.0,,,34-49,,Defensive rebound by A. Gordon
4:29.0,,,34-49,,A. Gordon misses 2-pt shot from 1 ft
4:29.0,Defensive rebound by Team,,34-49,,
4:29.0,,,34-49,,Personal foul by A. Gordon (drawn by P. Gasol)
4:29.0,P. Gasol makes free throw 1 of 2,1,35-49,,
4:29.0,P. Gasol makes free throw 2 of 2,1,36-49,,
4:16.0,,,36-49,,N. Vucevic misses 2-pt shot from 11 ft
4:16.0,,,36-49,,Offensive rebound by Team
4:16.0,Personal foul by J. Holiday (drawn by A. Gordon),,36-49,,
4:16.0,,,36-49,,A. Gordon misses free throw 1 of 2
4:16.0,,,36-49,,Offensive rebound by Team
4:16.0,,,36-50,1,A. Gordon makes free throw 2 of 2
4:03.0,P. Gasol makes 2-pt shot from 15 ft (assist by J. Holiday),2,38-50,,
3:51.0,,,38-50,,A. Gordon misses 3-pt shot from 23 ft
3:50.0,Defensive rebound by P. Gasol,,38-50,,
3:35.0,E. Moore misses 2-pt shot from 8 ft,,38-50,,
3:33.0,,,38-50,,Defensive rebound by N. Vucevic
3:30.0,,,38-50,,Shooting foul by M. Dunleavy (drawn by V. Oladipo)
3:30.0,,,38-51,1,V. Oladipo makes free throw 1 of 2
3:30.0,D. McDermott enters the game for E. Moore,,38-51,,
3:30.0,,,38-52,1,V. Oladipo makes free throw 2 of 2
3:11.0,J. Holiday makes 3-pt shot from 23 ft (assist by D. Rose),3,41-52,,
3:00.0,,,41-52,,N. Vucevic misses 2-pt shot from 18 ft
2:59.0,Defensive rebound by D. McDermott,,41-52,,
2:51.0,D. Rose makes 2-pt shot from 2 ft,2,43-52,,
2:36.0,,,43-52,,Turnover by V. Oladipo (bad pass; steal by J. Holiday)
2:23.0,M. Dunleavy misses 2-pt shot from 2 ft,,43-52,,
2:21.0,Offensive rebound by M. Dunleavy,,43-52,,
2:19.0,M. Dunleavy misses 2-pt shot from 1 ft,,43-52,,
2:18.0,,,43-52,,Defensive rebound by A. Gordon
2:12.0,,,43-54,2,M. Hezonja makes 2-pt shot from 1 ft (assist by A. Gordon)
2:04.0,M. Dunleavy makes 3-pt shot from 25 ft (assist by D. Rose),3,46-54,,
1:50.0,,,46-54,,V. Oladipo misses 2-pt shot from 19 ft
1:50.0,,,46-54,,Offensive rebound by A. Gordon
1:50.0,,,46-54,,Shooting foul by P. Gasol (drawn by A. Gordon)
1:50.0,,,46-54,,A. Gordon misses free throw 1 of 2
1:50.0,,,46-54,,Offensive rebound by Team
1:50.0,,,46-55,1,A. Gordon makes free throw 2 of 2
1:40.0,Turnover by D. Rose (lost ball; steal by M. Hezonja),,46-55,,
1:34.0,,,46-57,2,A. Gordon makes 2-pt shot at rim (assist by E. Payton)
1:33.0,Chicago full timeout,,46-57,,
1:20.0,D. McDermott misses 3-pt shot from 26 ft,,46-57,,
1:19.0,,,46-57,,Defensive rebound by E. Payton
1:09.0,,,46-57,,M. Hezonja misses 2-pt shot from 1 ft
1:08.0,Defensive rebound by P. Gasol,,46-57,,
0:58.0,P. Gasol makes 2-pt shot from 19 ft (assist by M. Dunleavy),2,48-57,,
0:51.0,,,48-60,3,A. Gordon makes 3-pt shot from 22 ft (assist by E. Payton)
0:43.0,Jump ball: P. Gasol vs. N. Vucevic (D. Rose gains possession),,,,Jump ball: P. Gasol vs. N. Vucevic (D. Rose gains possession)
0:30.0,D. Rose makes 2-pt shot from 2 ft (assist by J. Holiday),2,50-60,,
0:14.0,,,50-60,,Turnover by N. Vucevic (traveling)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,50-62,2,M. Hezonja makes 2-pt shot from 20 ft (assist by N. Vucevic)
11:24.0,P. Gasol misses 2-pt shot from 13 ft,,50-62,,
11:23.0,,,50-62,,Defensive rebound by M. Hezonja
11:06.0,,,50-62,,N. Vucevic misses 2-pt shot from 1 ft
11:04.0,Defensive rebound by M. Dunleavy,,50-62,,
10:51.0,P. Gasol makes 2-pt shot from 14 ft (assist by B. Portis),2,52-62,,
10:31.0,,,52-64,2,E. Payton makes 2-pt shot from 1 ft (assist by N. Vucevic)
10:11.0,M. Dunleavy misses 3-pt shot from 24 ft,,52-64,,
10:10.0,,,52-64,,Defensive rebound by A. Gordon
9:50.0,,,52-66,2,V. Oladipo makes 2-pt shot from 18 ft
9:28.0,D. Rose misses 2-pt shot from 13 ft,,52-66,,
9:27.0,Offensive rebound by Team,,52-66,,
9:16.0,M. Dunleavy misses 2-pt shot from 1 ft,,52-66,,
9:14.0,Offensive rebound by M. Dunleavy,,52-66,,
9:14.0,M. Dunleavy makes 2-pt shot from 2 ft,2,54-66,,
9:00.0,,,54-66,,Shooting foul by B. Portis (drawn by A. Gordon)
9:00.0,,,54-67,1,A. Gordon makes free throw 1 of 2
9:00.0,,,54-68,1,A. Gordon makes free throw 2 of 2
8:52.0,,,54-68,,Personal foul by A. Gordon (drawn by B. Portis)
8:36.0,B. Portis misses 2-pt shot from 18 ft,,54-68,,
8:36.0,Offensive rebound by Team,,54-68,,
8:36.0,Turnover by Team (shot clock),,54-68,,
8:20.0,,,54-70,2,N. Vucevic makes 2-pt shot from 18 ft
8:01.0,D. Rose misses 2-pt shot from 2 ft (block by E. Payton),,54-70,,
7:59.0,,,54-70,,Defensive rebound by M. Hezonja
7:50.0,,,54-73,3,M. Hezonja makes 3-pt shot from 26 ft (assist by E. Payton)
7:50.0,Chicago full timeout,,54-73,,
7:50.0,D. McDermott enters the game for B. Portis,,54-73,,
7:41.0,Turnover by M. Dunleavy (bad pass; steal by V. Oladipo),,54-73,,
7:40.0,Clear path foul by E. Moore,,54-73,,
7:40.0,,,54-74,1,V. Oladipo makes clear path free throw 1 of 2
7:40.0,,,54-74,,V. Oladipo misses clear path free throw 2 of 2
7:40.0,,,54-74,,Offensive rebound by Team
7:27.0,,,54-74,,E. Payton misses 2-pt shot from 5 ft
7:25.0,Defensive rebound by D. Rose,,54-74,,
7:20.0,D. Rose misses 2-pt shot from 17 ft,,54-74,,
7:19.0,,,54-74,,Defensive rebound by V. Oladipo
7:09.0,,,54-74,,V. Oladipo misses 2-pt shot from 11 ft
7:08.0,Defensive rebound by E. Moore,,54-74,,
6:57.0,E. Moore makes 2-pt shot from 21 ft (assist by D. Rose),2,56-74,,
6:44.0,,,56-74,,E. Payton misses 2-pt shot from 10 ft
6:43.0,Defensive rebound by Team,,56-74,,
6:30.0,D. Rose misses 2-pt shot from 1 ft,,56-74,,
6:28.0,,,56-74,,Defensive rebound by V. Oladipo
6:23.0,,,56-74,,Turnover by V. Oladipo (bad pass; steal by M. Dunleavy)
6:11.0,M. Dunleavy makes 3-pt shot from 25 ft (assist by D. Rose),3,59-74,,
6:11.0,,,59-74,,Orlando full timeout
6:00.0,,,59-76,2,M. Hezonja makes 2-pt shot at rim (assist by E. Payton)
5:44.0,D. McDermott misses 2-pt shot from 1 ft (block by M. Hezonja),,59-76,,
5:43.0,Offensive rebound by E. Moore,,59-76,,
5:43.0,E. Moore misses 2-pt shot from 1 ft,,59-76,,
5:42.0,,,59-76,,Defensive rebound by V. Oladipo
5:38.0,,,59-76,,Turnover by V. Oladipo (bad pass)
5:25.0,E. Moore makes 2-pt shot from 2 ft (assist by P. Gasol),2,61-76,,
5:03.0,,,61-78,2,N. Vucevic makes 2-pt shot from 10 ft
4:50.0,D. Rose misses 2-pt shot from 13 ft,,61-78,,
4:48.0,,,61-78,,Defensive rebound by A. Gordon
4:42.0,,,61-78,,M. Hezonja misses 3-pt shot from 25 ft
4:40.0,Defensive rebound by P. Gasol,,61-78,,
4:28.0,M. Dunleavy misses 2-pt shot from 12 ft,,61-78,,
4:27.0,,,61-78,,Defensive rebound by N. Vucevic
4:17.0,,,61-78,,N. Vucevic misses 2-pt shot from 17 ft
4:16.0,Defensive rebound by M. Dunleavy,,61-78,,
4:03.0,P. Gasol misses 2-pt shot from 18 ft,,61-78,,
4:02.0,,,61-78,,Defensive rebound by M. Hezonja
3:55.0,Personal foul by P. Gasol (drawn by N. Vucevic),,61-78,,
3:55.0,A. Brooks enters the game for D. Rose,,61-78,,
3:55.0,J. Holiday enters the game for M. Dunleavy,,61-78,,
3:55.0,,,61-78,,B. Jennings enters the game for V. Oladipo
3:55.0,,,61-78,,C. Watson enters the game for E. Payton
3:43.0,,,61-78,,N. Vucevic misses 2-pt shot from 8 ft
3:42.0,Defensive rebound by J. Holiday,,61-78,,
3:35.0,E. Moore misses 2-pt shot from 9 ft (block by C. Watson),,61-78,,
3:35.0,,,61-78,,Defensive rebound by A. Gordon
3:24.0,,,61-78,,M. Hezonja misses 3-pt shot from 24 ft
3:23.0,Defensive rebound by A. Brooks,,61-78,,
3:17.0,A. Brooks makes 3-pt shot from 25 ft,3,64-78,,
2:55.0,,,64-78,,N. Vucevic misses 2-pt shot from 8 ft
2:54.0,Defensive rebound by E. Moore,,64-78,,
2:44.0,D. McDermott misses 3-pt shot from 23 ft,,64-78,,
2:43.0,,,64-78,,Defensive rebound by A. Gordon
2:30.0,,,64-80,2,N. Vucevic makes 2-pt shot from 1 ft (assist by A. Gordon)
2:30.0,,,64-80,,Shooting foul by D. McDermott (drawn by N. Vucevic)
2:30.0,B. Portis enters the game for E. Moore,,64-80,,
2:30.0,T. Snell enters the game for P. Gasol,,64-80,,
2:30.0,,,64-81,1,N. Vucevic makes free throw 1 of 1
2:19.0,Shooting foul by A. Gordon (drawn by B. Portis),,64-81,,
2:19.0,B. Portis misses free throw 1 of 2,,64-81,,
2:19.0,Offensive rebound by Team,,64-81,,
2:19.0,,,64-81,,J. Smith enters the game for N. Vucevic
2:19.0,,,64-81,,E. Ilyasova enters the game for A. Gordon
2:19.0,B. Portis makes free throw 2 of 2,1,65-81,,
2:05.0,,,65-81,,M. Hezonja misses 2-pt shot from 19 ft
2:04.0,Defensive rebound by A. Brooks,,65-81,,
1:53.0,J. Holiday makes 2-pt shot from 18 ft (assist by B. Portis),2,67-81,,
1:37.0,,,67-81,,C. Watson misses 2-pt shot from 2 ft
1:36.0,Defensive rebound by J. Holiday,,67-81,,
1:14.0,A. Brooks misses 2-pt shot from 11 ft,,67-81,,
1:13.0,,,67-81,,Defensive rebound by J. Smith
1:02.0,,,67-81,,J. Smith misses 2-pt shot from 18 ft
1:00.0,Defensive rebound by T. Snell,,67-81,,
0:58.0,Shooting foul by M. Hezonja (drawn by D. McDermott),,67-81,,
0:58.0,D. McDermott misses free throw 1 of 2,,67-81,,
0:58.0,Offensive rebound by Team,,67-81,,
0:58.0,D. McDermott misses free throw 2 of 2,,67-81,,
0:57.0,,,67-81,,Defensive rebound by E. Ilyasova
0:45.0,,,67-83,2,B. Jennings makes 2-pt shot from 17 ft
0:34.0,J. Holiday misses 3-pt shot from 25 ft,,67-83,,
0:33.0,,,67-83,,Defensive rebound by B. Jennings
0:18.0,,,67-83,,C. Watson misses 2-pt shot from 21 ft
0:17.0,,,67-83,,Offensive rebound by Team
0:17.0,Personal foul by J. Holiday (drawn by E. Ilyasova),,67-83,,
0:17.0,,,67-83,,E. Ilyasova misses free throw 1 of 2
0:17.0,,,67-83,,Offensive rebound by Team
0:17.0,,,67-83,,V. Oladipo enters the game for M. Hezonja
0:17.0,,,67-84,1,E. Ilyasova makes free throw 2 of 2
0:00.0,J. Holiday misses 3-pt shot from 24 ft,,67-84,,
0:00.0,,,67-84,,Defensive rebound by J. Smith
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:57.0,Turnover by B. Portis (bad pass; steal by E. Ilyasova),,67-84,,
11:42.0,,,67-84,,B. Jennings misses 2-pt shot from 21 ft
11:41.0,Defensive rebound by Team,,67-84,,
11:22.0,A. Brooks misses 3-pt shot from 26 ft,,67-84,,
11:21.0,,,67-84,,Defensive rebound by E. Ilyasova
11:20.0,Personal foul by T. Snell (drawn by E. Ilyasova),,67-84,,
11:00.0,,,67-84,,E. Ilyasova misses 2-pt shot from 2 ft
11:00.0,,,67-84,,Offensive rebound by Team
11:00.0,Loose ball foul by B. Portis (drawn by J. Smith),,67-84,,
10:53.0,,,67-84,,J. Smith misses 2-pt shot from 18 ft
10:52.0,Defensive rebound by T. Snell,,67-84,,
10:47.0,,,67-84,,Shooting block foul by B. Jennings (drawn by J. Holiday)
10:47.0,J. Holiday misses free throw 1 of 2,,67-84,,
10:47.0,Offensive rebound by Team,,67-84,,
10:47.0,J. Holiday makes free throw 2 of 2,1,68-84,,
10:23.0,,,68-84,,B. Jennings misses 2-pt shot from 15 ft
10:21.0,Defensive rebound by Team,,68-84,,
10:07.0,B. Portis makes 2-pt shot from 19 ft (assist by A. Brooks),2,70-84,,
9:54.0,,,70-84,,Orlando full timeout
9:54.0,,,70-84,,N. Vucevic enters the game for E. Ilyasova
9:54.0,,,70-84,,A. Gordon enters the game for J. Smith
9:54.0,,,70-84,,E. Payton enters the game for C. Watson
9:54.0,,,70-84,,M. Hezonja enters the game for B. Jennings
9:48.0,,,70-86,2,M. Hezonja makes 2-pt shot from 2 ft (assist by N. Vucevic)
9:39.0,,,70-86,,Personal foul by A. Gordon (drawn by D. McDermott)
9:27.0,A. Brooks misses 2-pt shot from 15 ft,,70-86,,
9:26.0,,,70-86,,Defensive rebound by E. Payton
9:19.0,,,70-88,2,N. Vucevic makes 2-pt shot from 8 ft (assist by E. Payton)
9:05.0,D. McDermott misses 2-pt shot from 3 ft,,70-88,,
9:04.0,Offensive rebound by D. McDermott,,70-88,,
9:04.0,D. McDermott makes 2-pt shot from 3 ft,2,72-88,,
8:50.0,,,72-90,2,E. Payton makes 2-pt shot from 5 ft
8:44.0,,,72-90,,Personal foul by E. Payton (drawn by A. Brooks)
8:36.0,B. Portis misses 2-pt shot from 18 ft,,72-90,,
8:34.0,,,72-90,,Defensive rebound by A. Gordon
8:24.0,,,72-90,,N. Vucevic misses 2-pt shot from 9 ft
8:22.0,Defensive rebound by B. Portis,,72-90,,
8:14.0,A. Brooks makes 2-pt shot from 8 ft,2,74-90,,
8:14.0,Violation by Team (jump ball),,74-90,,
8:06.0,Technical foul by A. Brooks,,74-90,,
8:06.0,,,74-91,1,V. Oladipo makes technical free throw
7:58.0,,,74-93,2,N. Vucevic makes 2-pt shot from 6 ft
7:43.0,A. Brooks misses 2-pt shot from 2 ft (block by V. Oladipo),,74-93,,
7:41.0,,,74-93,,Defensive rebound by E. Payton
7:38.0,,,74-93,,M. Hezonja misses 2-pt shot from 2 ft
7:35.0,,,74-93,,Offensive rebound by V. Oladipo
7:35.0,,,74-93,,V. Oladipo misses 2-pt shot from 2 ft
7:34.0,Defensive rebound by T. Snell,,74-93,,
7:27.0,J. Holiday misses 2-pt shot from 8 ft,,74-93,,
7:25.0,,,74-93,,Defensive rebound by N. Vucevic
7:06.0,,,74-93,,N. Vucevic misses 2-pt shot from 18 ft
7:05.0,Defensive rebound by T. Snell,,74-93,,
7:00.0,J. Holiday misses 2-pt shot from 2 ft,,74-93,,
7:00.0,Jump ball: A. Gordon vs. B. Portis (E. Payton gains possession),,,,Jump ball: A. Gordon vs. B. Portis (E. Payton gains possession)
7:00.0,,,74-93,,Defensive rebound by Team
6:40.0,,,74-93,,N. Vucevic misses 2-pt shot from 5 ft
6:38.0,,,74-93,,Offensive rebound by N. Vucevic
6:38.0,,,74-93,,Shooting foul by A. Brooks (drawn by N. Vucevic)
6:38.0,,,74-94,1,N. Vucevic makes free throw 1 of 2
6:38.0,,,74-95,1,N. Vucevic makes free throw 2 of 2
6:31.0,A. Brooks makes 2-pt shot from 2 ft,2,76-95,,
6:31.0,Technical foul by A. Brooks,,76-95,,
