time,Dallas,pts.away,score,pts.home,New York
5:21.0,,,21-14,2,K. Porzingis makes 2-pt shot from 21 ft
5:06.0,C. Parsons misses 2-pt shot from 19 ft,,21-14,,
5:05.0,,,21-14,,Defensive rebound by C. Anthony
4:57.0,,,21-14,,C. Anthony misses 2-pt shot from 18 ft
4:56.0,Defensive rebound by D. Powell,,21-14,,
4:39.0,W. Matthews misses 3-pt shot from 25 ft,,21-14,,
4:38.0,,,21-14,,Defensive rebound by A. Afflalo
4:25.0,,,21-16,2,R. Lopez makes 2-pt shot from 4 ft
4:24.0,Dallas full timeout,,21-16,,
4:07.0,Z. Pachulia misses 2-pt shot from 18 ft,,21-16,,
4:06.0,,,21-16,,Defensive rebound by A. Afflalo
3:45.0,,,21-18,2,C. Anthony makes 2-pt shot from 9 ft
3:31.0,D. Williams makes 2-pt shot from 10 ft,2,23-18,,
3:14.0,,,23-21,3,J. Calderon makes 3-pt shot from 25 ft (assist by C. Anthony)
2:57.0,C. Parsons makes 3-pt shot from 24 ft (assist by D. Williams),3,26-21,,
2:44.0,,,26-21,,Shooting foul by D. Williams (drawn by J. Calderon)
2:44.0,,,26-23,2,J. Calderon makes 2-pt shot from 1 ft
2:44.0,,,26-24,1,J. Calderon makes free throw 1 of 1
2:33.0,Turnover by D. Williams (bad pass; steal by K. Porzingis),,26-24,,
2:30.0,Personal foul by C. Parsons (drawn by J. Calderon),,26-24,,
2:30.0,J. Jenkins enters the game for D. Williams,,26-24,,
2:30.0,R. Felton enters the game for W. Matthews,,26-24,,
2:30.0,D. Nowitzki enters the game for Z. Pachulia,,26-24,,
2:30.0,J. McGee enters the game for D. Powell,,26-24,,
2:30.0,,,26-24,,L. Galloway enters the game for J. Calderon
2:30.0,,,26-24,,L. Thomas enters the game for K. Porzingis
2:30.0,,,26-24,,K. Seraphin enters the game for R. Lopez
2:15.0,,,26-24,,C. Anthony misses 2-pt shot from 17 ft
2:14.0,Defensive rebound by R. Felton,,26-24,,
1:58.0,J. Jenkins misses 3-pt shot from 23 ft,,26-24,,
1:57.0,,,26-24,,Defensive rebound by K. Seraphin
1:51.0,,,26-24,,Turnover by L. Thomas (lost ball; steal by R. Felton)
1:44.0,J. Jenkins misses 3-pt shot from 25 ft,,26-24,,
1:43.0,,,26-24,,Defensive rebound by L. Galloway
1:34.0,,,26-24,,L. Galloway misses 2-pt shot from 1 ft
1:33.0,Defensive rebound by J. McGee,,26-24,,
1:22.0,R. Felton makes 2-pt shot from 20 ft,2,28-24,,
1:02.0,,,28-24,,A. Afflalo misses 2-pt shot from 4 ft
1:01.0,Defensive rebound by J. McGee,,28-24,,
0:53.0,R. Felton makes 3-pt shot from 24 ft,3,31-24,,
0:40.0,,,31-24,,C. Anthony misses 2-pt shot from 7 ft (block by C. Parsons)
0:39.0,,,31-24,,Offensive rebound by Team
0:39.0,,,31-24,,J. Grant enters the game for A. Afflalo
0:33.0,,,31-26,2,K. Seraphin makes 2-pt shot from 1 ft (assist by J. Grant)
0:11.0,C. Parsons makes 3-pt shot from 24 ft,3,34-26,,
0:00.0,,,34-26,,Shooting foul by J. McGee (drawn by C. Anthony)
0:00.0,,,34-27,1,C. Anthony makes free throw 1 of 2
0:00.0,,,34-28,1,C. Anthony makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Turnover by J. McGee (traveling),,34-28,,
11:29.0,,,34-30,2,D. Williams makes 2-pt shot from 17 ft
11:06.0,,,34-30,,Personal foul by D. Williams (drawn by C. Parsons)
11:00.0,Turnover by J. McGee (bad pass),,34-30,,
10:52.0,,,34-30,,L. Thomas misses 2-pt shot from 20 ft
10:51.0,,,34-30,,Offensive rebound by K. Seraphin
10:51.0,,,34-30,,K. Seraphin misses 2-pt shot from 2 ft
10:50.0,Defensive rebound by D. Nowitzki,,34-30,,
10:30.0,D. Nowitzki makes 2-pt shot from 2 ft,2,36-30,,
10:30.0,Shooting foul by J. Grant (drawn by D. Nowitzki),,36-30,,
10:30.0,J. Evans enters the game for C. Parsons,,36-30,,
10:30.0,D. Nowitzki makes free throw 1 of 1,1,37-30,,
10:14.0,,,37-32,2,L. Thomas makes 2-pt shot from 17 ft (assist by D. Williams)
9:56.0,R. Felton misses 3-pt shot from 24 ft,,37-32,,
9:55.0,,,37-32,,Defensive rebound by K. Seraphin
9:50.0,,,37-32,,Turnover by J. Grant (bad pass)
9:33.0,J. Jenkins makes 3-pt shot from 23 ft (assist by R. Felton),3,40-32,,
9:26.0,,,40-32,,D. Williams misses 3-pt shot from 24 ft
9:25.0,Defensive rebound by J. McGee,,40-32,,
9:15.0,,,40-32,,Personal foul by L. Thomas (drawn by D. Nowitzki)
9:08.0,J. Jenkins misses 2-pt shot from 12 ft,,40-32,,
9:07.0,,,40-32,,Defensive rebound by K. Seraphin
9:00.0,,,40-32,,D. Williams misses 2-pt shot at rim (block by J. Evans)
8:59.0,Defensive rebound by R. Felton,,40-32,,
8:54.0,J. Evans misses 2-pt shot from 1 ft,,40-32,,
8:53.0,,,40-32,,Defensive rebound by K. Seraphin
8:45.0,,,40-32,,K. Seraphin misses 2-pt shot from 9 ft
8:44.0,Defensive rebound by J. McGee,,40-32,,
8:29.0,D. Nowitzki misses 2-pt shot from 10 ft,,40-32,,
8:28.0,,,40-32,,Defensive rebound by D. Williams
8:18.0,,,40-32,,L. Thomas misses 3-pt shot from 24 ft
8:16.0,Defensive rebound by J. Evans,,40-32,,
8:01.0,J. McGee misses 2-pt shot from 7 ft,,40-32,,
8:00.0,,,40-32,,Defensive rebound by L. Galloway
7:50.0,,,40-32,,J. Grant misses 3-pt shot from 24 ft
7:49.0,Defensive rebound by J. Evans,,40-32,,
7:44.0,Dallas full timeout,,40-32,,
7:44.0,C. Parsons enters the game for D. Nowitzki,,40-32,,
7:44.0,W. Matthews enters the game for R. Felton,,40-32,,
7:44.0,Z. Pachulia enters the game for J. Jenkins,,40-32,,
7:44.0,D. Williams enters the game for J. McGee,,40-32,,
7:44.0,,,40-32,,K. Porzingis enters the game for L. Thomas
7:44.0,,,40-32,,C. Anthony enters the game for J. Grant
7:44.0,,,40-32,,J. Calderon enters the game for D. Williams
7:37.0,,,40-32,,Personal foul by C. Anthony (drawn by J. Evans)
7:28.0,D. Williams misses 2-pt shot from 18 ft,,40-32,,
7:27.0,,,40-32,,Defensive rebound by C. Anthony
7:13.0,C. Villanueva enters the game for J. Evans,,40-32,,
7:08.0,,,40-34,2,J. Calderon makes 2-pt shot from 1 ft (assist by C. Anthony)
6:44.0,C. Villanueva makes 3-pt shot from 24 ft (assist by Z. Pachulia),3,43-34,,
6:29.0,,,43-37,3,J. Calderon makes 3-pt shot from 24 ft (assist by C. Anthony)
6:05.0,W. Matthews makes 3-pt shot from 24 ft (assist by C. Parsons),3,46-37,,
5:51.0,,,46-39,2,C. Anthony makes 2-pt shot from 8 ft
5:23.0,D. Williams makes 3-pt shot from 23 ft (assist by W. Matthews),3,49-39,,
4:58.0,,,49-39,,C. Anthony misses 3-pt shot from 25 ft
4:57.0,Defensive rebound by D. Williams,,49-39,,
4:49.0,Shooting foul by J. Calderon (drawn by D. Williams),,49-39,,
4:49.0,Official timeout,,49-39,,
4:49.0,,,49-39,,R. Lopez enters the game for L. Galloway
4:49.0,,,49-39,,A. Afflalo enters the game for K. Seraphin
4:49.0,D. Williams misses free throw 1 of 2,,49-39,,
4:49.0,Offensive rebound by Team,,49-39,,
4:49.0,D. Williams makes free throw 2 of 2,1,50-39,,
4:34.0,,,50-39,,Turnover by C. Anthony (bad pass; steal by C. Villanueva)
4:22.0,D. Williams makes 2-pt shot from 1 ft (assist by W. Matthews),2,52-39,,
4:07.0,,,52-41,2,K. Porzingis makes 2-pt shot from 4 ft (assist by A. Afflalo)
3:52.0,D. Williams misses 3-pt shot from 24 ft,,52-41,,
3:51.0,,,52-41,,Defensive rebound by Team
3:40.0,,,52-44,3,C. Anthony makes 3-pt shot from 24 ft (assist by J. Calderon)
3:33.0,Dallas full timeout,,52-44,,
3:33.0,D. Nowitzki enters the game for C. Parsons,,52-44,,
3:33.0,R. Felton enters the game for C. Villanueva,,52-44,,
3:28.0,,,52-44,,Personal foul by R. Lopez (drawn by Z. Pachulia)
3:28.0,Z. Pachulia makes free throw 1 of 2,1,53-44,,
3:28.0,Z. Pachulia makes free throw 2 of 2,1,54-44,,
3:10.0,,,54-46,2,K. Porzingis makes 2-pt shot from 19 ft (assist by C. Anthony)
2:56.0,D. Williams makes 2-pt shot from 18 ft (assist by W. Matthews),2,56-46,,
2:41.0,,,56-46,,C. Anthony misses 2-pt shot from 8 ft
2:40.0,Defensive rebound by D. Williams,,56-46,,
2:24.0,D. Williams misses 3-pt shot from 24 ft,,56-46,,
2:23.0,,,56-46,,Defensive rebound by C. Anthony
2:16.0,,,56-46,,Turnover by C. Anthony (bad pass; steal by W. Matthews)
2:09.0,W. Matthews misses 3-pt shot from 23 ft,,56-46,,
2:08.0,,,56-46,,Defensive rebound by J. Calderon
2:07.0,,,56-46,,New York full timeout
2:07.0,C. Parsons enters the game for D. Williams,,56-46,,
2:07.0,,,56-46,,L. Galloway enters the game for R. Lopez
1:49.0,,,56-48,2,A. Afflalo makes 2-pt shot from 10 ft
1:26.0,R. Felton makes 3-pt shot from 25 ft (assist by W. Matthews),3,59-48,,
1:12.0,,,59-48,,Turnover by K. Porzingis (lost ball; steal by W. Matthews)
1:04.0,C. Parsons makes 2-pt shot from 1 ft (assist by D. Nowitzki),2,61-48,,
0:44.0,,,61-50,2,K. Porzingis makes 2-pt shot at rim (assist by C. Anthony)
0:33.0,R. Felton misses 3-pt shot from 25 ft,,61-50,,
0:32.0,,,61-50,,Defensive rebound by L. Galloway
0:21.0,,,61-50,,L. Galloway misses 2-pt shot from 18 ft
0:20.0,Defensive rebound by W. Matthews,,61-50,,
0:02.0,D. Nowitzki makes 2-pt shot from 15 ft,2,63-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,D. Nowitzki misses 2-pt shot from 19 ft,,63-50,,
11:50.0,,,63-50,,Defensive rebound by R. Lopez
11:32.0,,,63-50,,Turnover by C. Anthony (bad pass; steal by Z. Pachulia)
11:19.0,D. Nowitzki misses 2-pt shot from 20 ft,,63-50,,
11:18.0,,,63-50,,Defensive rebound by K. Porzingis
11:14.0,,,63-50,,Shooting foul by D. Williams (drawn by A. Afflalo)
11:14.0,,,63-51,1,A. Afflalo makes free throw 1 of 2
11:14.0,,,63-52,1,A. Afflalo makes free throw 2 of 2
10:58.0,Dallas full timeout,,63-52,,
10:54.0,W. Matthews misses 2-pt shot at rim (block by K. Porzingis),,63-52,,
10:53.0,Offensive rebound by W. Matthews,,63-52,,
10:52.0,Shooting foul by R. Lopez (drawn by W. Matthews),,63-52,,
10:52.0,W. Matthews makes free throw 1 of 2,1,64-52,,
10:52.0,W. Matthews makes free throw 2 of 2,1,65-52,,
10:39.0,,,65-52,,A. Afflalo misses 3-pt shot from 23 ft
10:38.0,,,65-52,,Offensive rebound by Team
10:38.0,Loose ball foul by W. Matthews (drawn by C. Anthony),,65-52,,
10:26.0,,,65-54,2,C. Anthony makes 2-pt shot from 18 ft
10:13.0,,,65-54,,Personal foul by R. Lopez (drawn by Z. Pachulia)
10:02.0,R. Felton makes 2-pt shot from 9 ft (assist by D. Nowitzki),2,67-54,,
9:51.0,,,67-54,,K. Porzingis misses 2-pt shot from 12 ft
9:50.0,Defensive rebound by W. Matthews,,67-54,,
9:42.0,,,67-54,,Personal foul by A. Afflalo (drawn by Z. Pachulia)
9:34.0,Z. Pachulia misses 2-pt shot at rim (block by R. Lopez),,67-54,,
9:33.0,Offensive rebound by D. Nowitzki,,67-54,,
9:25.0,D. Williams misses 2-pt shot from 4 ft,,67-54,,
9:21.0,Jump ball: R. Lopez vs. Z. Pachulia (C. Anthony gains possession),,,,Jump ball: R. Lopez vs. Z. Pachulia (C. Anthony gains possession)
9:21.0,,,67-54,,Defensive rebound by Team
9:03.0,,,67-54,,K. Porzingis misses 2-pt shot from 9 ft
9:02.0,Defensive rebound by D. Nowitzki,,67-54,,
8:51.0,D. Williams makes 2-pt shot at rim,2,69-54,,
8:39.0,,,69-54,,C. Anthony misses 3-pt shot from 25 ft
8:38.0,Defensive rebound by Z. Pachulia,,69-54,,
8:32.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Williams),3,72-54,,
8:31.0,,,72-54,,New York full timeout
8:31.0,,,72-54,,L. Thomas enters the game for R. Lopez
8:11.0,,,72-54,,J. Calderon misses 3-pt shot from 24 ft
8:10.0,Defensive rebound by R. Felton,,72-54,,
7:50.0,D. Nowitzki misses 2-pt shot from 14 ft,,72-54,,
7:49.0,,,72-54,,Defensive rebound by J. Calderon
7:35.0,,,72-54,,L. Thomas misses 3-pt shot from 23 ft
7:34.0,Defensive rebound by Team,,72-54,,
7:34.0,,,72-54,,Loose ball foul by C. Anthony (drawn by W. Matthews)
7:22.0,W. Matthews makes 3-pt shot from 24 ft (assist by D. Williams),3,75-54,,
7:10.0,Personal foul by Z. Pachulia (drawn by K. Porzingis),,75-54,,
7:10.0,D. Powell enters the game for D. Nowitzki,,75-54,,
6:59.0,,,75-56,2,K. Porzingis makes 2-pt shot from 21 ft (assist by A. Afflalo)
6:42.0,Z. Pachulia makes 2-pt shot from 5 ft (assist by R. Felton),2,77-56,,
6:30.0,Personal block foul by W. Matthews (drawn by C. Anthony),,77-56,,
6:30.0,C. Parsons enters the game for R. Felton,,77-56,,
6:22.0,,,77-56,,L. Thomas misses 3-pt shot from 23 ft
6:21.0,Defensive rebound by W. Matthews,,77-56,,
6:06.0,Z. Pachulia misses 2-pt shot from 3 ft,,77-56,,
6:05.0,,,77-56,,Defensive rebound by A. Afflalo
5:57.0,,,77-58,2,K. Porzingis makes 2-pt shot from 18 ft (assist by A. Afflalo)
5:37.0,D. Williams misses 2-pt shot at rim,,77-58,,
5:36.0,Offensive rebound by Z. Pachulia,,77-58,,
5:36.0,Z. Pachulia makes 2-pt shot at rim,2,79-58,,
5:20.0,,,79-58,,K. Porzingis misses 3-pt shot from 24 ft
5:19.0,Defensive rebound by C. Parsons,,79-58,,
5:07.0,Turnover by C. Parsons (step out of bounds),,79-58,,
5:00.0,,,79-58,,C. Anthony misses 3-pt shot from 24 ft
4:59.0,Defensive rebound by D. Powell,,79-58,,
4:42.0,W. Matthews makes 2-pt shot from 17 ft,2,81-58,,
4:29.0,,,81-60,2,K. Porzingis makes 2-pt shot at rim (assist by J. Calderon)
4:28.0,Dallas full timeout,,81-60,,
4:28.0,R. Felton enters the game for W. Matthews,,81-60,,
4:28.0,,,81-60,,L. Galloway enters the game for K. Porzingis
4:28.0,,,81-60,,K. Seraphin enters the game for A. Afflalo
4:28.0,,,81-60,,J. Grant enters the game for J. Calderon
4:06.0,R. Felton misses 3-pt shot from 24 ft,,81-60,,
4:05.0,,,81-60,,Defensive rebound by L. Thomas
3:49.0,,,81-62,2,K. Seraphin makes 2-pt shot from 8 ft
3:49.0,Away from play foul by C. Parsons (drawn by C. Anthony),,81-62,,
3:49.0,,,81-62,,C. Anthony misses free throw 1 of 1
3:48.0,Defensive rebound by Z. Pachulia,,81-62,,
3:29.0,Shooting foul by J. Grant (drawn by C. Parsons),,81-62,,
3:29.0,C. Parsons misses free throw 1 of 2,,81-62,,
3:29.0,Offensive rebound by Team,,81-62,,
3:29.0,C. Parsons makes free throw 2 of 2,1,82-62,,
3:12.0,,,82-62,,Turnover by L. Galloway (lost ball)
2:58.0,Z. Pachulia misses 2-pt shot from 17 ft,,82-62,,
2:57.0,,,82-62,,Defensive rebound by J. Grant
2:50.0,,,82-65,3,L. Galloway makes 3-pt shot from 24 ft (assist by J. Grant)
2:33.0,D. Powell misses 2-pt shot from 2 ft (block by K. Seraphin),,82-65,,
2:32.0,,,82-65,,Defensive rebound by L. Thomas
2:14.0,,,82-65,,L. Galloway misses 3-pt shot from 24 ft
2:12.0,,,82-65,,Offensive rebound by Team
2:12.0,D. Nowitzki enters the game for Z. Pachulia,,82-65,,
2:12.0,J. Jenkins enters the game for D. Williams,,82-65,,
2:05.0,,,82-67,2,J. Grant makes 2-pt shot from 3 ft
1:47.0,C. Parsons misses 2-pt shot from 5 ft,,82-67,,
1:46.0,,,82-67,,Defensive rebound by C. Anthony
1:40.0,,,82-69,2,K. Seraphin makes 2-pt shot from 3 ft (assist by C. Anthony)
1:39.0,Dallas full timeout,,82-69,,
1:24.0,R. Felton makes 2-pt shot from 10 ft,2,84-69,,
1:08.0,,,84-72,3,L. Thomas makes 3-pt shot from 23 ft (assist by L. Galloway)
0:48.0,J. Jenkins misses 2-pt shot from 1 ft,,84-72,,
0:47.0,Offensive rebound by D. Powell,,84-72,,
0:47.0,D. Powell makes 2-pt shot from 1 ft,2,86-72,,
0:33.0,,,86-72,,K. Seraphin misses 2-pt shot from 4 ft
0:32.0,Defensive rebound by J. Jenkins,,86-72,,
0:16.0,D. Powell makes 2-pt shot at rim (assist by R. Felton),2,88-72,,
0:01.0,,,88-72,,Turnover by L. Thomas (traveling)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,88-72,,J. Grant misses 2-pt shot from 6 ft
11:48.0,,,88-72,,Offensive rebound by Team
11:34.0,,,88-72,,K. Seraphin misses 2-pt shot from 10 ft
11:33.0,Defensive rebound by J. Evans,,88-72,,
11:17.0,J. Evans misses 2-pt shot from 15 ft,,88-72,,
11:16.0,,,88-72,,Defensive rebound by D. Williams
10:57.0,,,88-72,,K. Seraphin misses 2-pt shot from 10 ft
10:56.0,Defensive rebound by D. Nowitzki,,88-72,,
10:45.0,J. Jenkins makes 2-pt shot from 3 ft (assist by R. Felton),2,90-72,,
10:36.0,,,90-72,,Turnover by J. Grant (lost ball; steal by J. Evans)
10:32.0,J. Jenkins makes 2-pt shot at rim (assist by R. Felton),2,92-72,,
10:31.0,,,92-72,,New York full timeout
10:31.0,,,92-72,,K. Porzingis enters the game for K. Seraphin
10:31.0,,,92-72,,J. Calderon enters the game for J. Grant
10:10.0,,,92-74,2,K. Porzingis makes 2-pt shot from 3 ft (assist by D. Williams)
9:48.0,D. Nowitzki makes 2-pt shot from 11 ft,2,94-74,,
9:38.0,,,94-76,2,L. Thomas makes 2-pt shot at rim
9:38.0,,,94-76,,Shooting foul by J. Evans (drawn by L. Thomas)
9:38.0,,,94-77,1,L. Thomas makes free throw 1 of 1
9:21.0,D. Nowitzki misses 2-pt shot from 15 ft,,94-77,,
9:20.0,,,94-77,,Defensive rebound by Team
9:20.0,Loose ball foul by D. Powell (drawn by K. Porzingis),,94-77,,
9:20.0,W. Matthews enters the game for J. Jenkins,,94-77,,
9:20.0,D. Williams enters the game for R. Felton,,94-77,,
9:20.0,C. Parsons enters the game for J. Evans,,94-77,,
9:01.0,,,94-79,2,K. Porzingis makes 2-pt shot from 2 ft (assist by J. Calderon)
8:42.0,Turnover by D. Powell (bad pass; steal by L. Galloway),,94-79,,
8:29.0,,,94-79,,Turnover by J. Calderon (bad pass; steal by W. Matthews)
8:11.0,W. Matthews misses 3-pt shot from 23 ft,,94-79,,
8:10.0,,,94-79,,Defensive rebound by J. Calderon
7:57.0,,,94-79,,L. Galloway misses 2-pt shot from 6 ft (block by C. Parsons)
7:56.0,,,94-79,,Offensive rebound by L. Galloway
7:55.0,,,94-79,,L. Galloway misses 2-pt shot from 3 ft
7:54.0,Defensive rebound by D. Powell,,94-79,,
7:37.0,D. Nowitzki makes 2-pt shot from 15 ft,2,96-79,,
7:16.0,,,96-79,,L. Thomas misses 2-pt shot from 15 ft
7:15.0,Defensive rebound by C. Parsons,,96-79,,
7:01.0,Turnover by D. Williams (bad pass; steal by L. Galloway),,96-79,,
6:56.0,,,96-81,2,D. Williams makes 2-pt shot from 2 ft (assist by L. Galloway)
6:31.0,C. Parsons misses 3-pt shot from 24 ft,,96-81,,
6:30.0,,,96-81,,Defensive rebound by J. Calderon
6:20.0,,,96-81,,K. Porzingis misses 2-pt shot from 19 ft
6:19.0,Defensive rebound by D. Williams,,96-81,,
6:14.0,,,96-81,,Flagrant foul type 1 by J. Calderon (drawn by D. Powell)
6:14.0,D. Powell makes flagrant free throw 1 of 2,1,97-81,,
6:14.0,C. Villanueva enters the game for D. Nowitzki,,97-81,,
6:14.0,,,97-81,,C. Anthony enters the game for L. Galloway
6:14.0,,,97-81,,A. Afflalo enters the game for D. Williams
6:14.0,D. Powell makes flagrant free throw 2 of 2,1,98-81,,
6:00.0,W. Matthews misses 3-pt shot from 24 ft,,98-81,,
5:59.0,Offensive rebound by D. Powell,,98-81,,
5:52.0,Turnover by W. Matthews (traveling),,98-81,,
5:52.0,Official timeout,,98-81,,
5:52.0,J. Evans enters the game for C. Villanueva,,98-81,,
5:33.0,,,98-84,3,L. Thomas makes 3-pt shot from 23 ft (assist by C. Anthony)
5:17.0,Turnover by D. Williams (bad pass; steal by J. Calderon),,98-84,,
5:08.0,,,98-84,,Shooting foul by C. Parsons (drawn by C. Anthony)
5:08.0,,,98-85,1,C. Anthony makes free throw 1 of 2
5:08.0,R. Felton enters the game for C. Parsons,,98-85,,
5:08.0,,,98-86,1,C. Anthony makes free throw 2 of 2
4:50.0,Offensive foul by W. Matthews,,98-86,,
4:50.0,Turnover by W. Matthews (offensive foul),,98-86,,
4:29.0,,,98-89,3,J. Calderon makes 3-pt shot from 24 ft (assist by K. Porzingis)
4:29.0,Dallas full timeout,,98-89,,
4:29.0,Z. Pachulia enters the game for D. Powell,,98-89,,
4:29.0,D. Nowitzki enters the game for J. Evans,,98-89,,
4:15.0,D. Williams misses 2-pt shot from 20 ft,,98-89,,
4:14.0,,,98-89,,Defensive rebound by J. Calderon
3:51.0,,,98-91,2,K. Porzingis makes 2-pt shot from 7 ft
3:38.0,,,98-91,,Personal foul by L. Thomas (drawn by D. Nowitzki)
3:23.0,D. Williams misses 3-pt shot from 25 ft,,98-91,,
3:21.0,Offensive rebound by Z. Pachulia,,98-91,,
3:08.0,R. Felton makes 2-pt shot from 2 ft,2,100-91,,
2:54.0,,,100-91,,Offensive foul by C. Anthony
2:54.0,,,100-91,,Turnover by C. Anthony (offensive foul)
2:44.0,D. Nowitzki misses 3-pt shot from 25 ft,,100-91,,
2:43.0,,,100-91,,Defensive rebound by C. Anthony
2:25.0,,,100-91,,C. Anthony misses 2-pt shot from 10 ft
2:24.0,Defensive rebound by D. Nowitzki,,100-91,,
2:22.0,,,100-91,,Technical foul by C. Anthony
2:22.0,D. Nowitzki makes technical free throw,1,101-91,,
2:07.0,D. Nowitzki misses 3-pt shot from 24 ft,,101-91,,
2:05.0,,,101-91,,Defensive rebound by A. Afflalo
2:00.0,,,101-91,,C. Anthony misses 3-pt shot from 25 ft
1:59.0,Defensive rebound by W. Matthews,,101-91,,
1:51.0,W. Matthews misses 3-pt shot from 25 ft,,101-91,,
1:50.0,,,101-91,,Defensive rebound by J. Calderon
1:41.0,,,101-94,3,K. Porzingis makes 3-pt shot from 27 ft (assist by J. Calderon)
1:24.0,R. Felton misses 3-pt shot from 24 ft,,101-94,,
1:23.0,,,101-94,,Defensive rebound by Team
1:23.0,Loose ball foul by Z. Pachulia (drawn by K. Porzingis),,101-94,,
1:23.0,,,101-94,,New York full timeout
1:10.0,,,101-94,,J. Calderon misses 2-pt shot from 2 ft
1:09.0,Defensive rebound by Z. Pachulia,,101-94,,
0:51.0,R. Felton misses 2-pt shot from 1 ft,,101-94,,
0:50.0,,,101-94,,Defensive rebound by K. Porzingis
0:43.0,,,101-97,3,K. Porzingis makes 3-pt shot from 25 ft (assist by A. Afflalo)
0:25.0,D. Williams misses 2-pt shot from 1 ft (block by K. Porzingis),,101-97,,
0:24.0,,,101-97,,Defensive rebound by A. Afflalo
0:20.0,,,101-97,,Offensive foul by C. Anthony
0:20.0,,,101-97,,Turnover by C. Anthony (offensive foul)
0:19.0,,,101-97,,Personal take foul by A. Afflalo (drawn by D. Williams)
0:19.0,,,101-97,,Personal take foul by L. Thomas (drawn by D. Nowitzki)
0:19.0,D. Nowitzki misses free throw 1 of 2,,101-97,,
0:19.0,Offensive rebound by Team,,101-97,,
