time,LA Lakers,pts.away,score,pts.home,Phoenix
3:54.0,Personal foul by D. Russell (drawn by B. Knight),,91-103,,
3:54.0,,,91-104,1,B. Knight makes free throw 1 of 2
3:54.0,,,91-105,1,B. Knight makes free throw 2 of 2
3:40.0,D. Russell makes 2-pt shot from 17 ft (assist by R. Hibbert),2,93-105,,
3:20.0,,,93-107,2,B. Knight makes 2-pt shot from 2 ft
2:59.0,J. Randle misses 2-pt shot from 5 ft (block by A. Len),,93-107,,
2:56.0,,,93-107,,Defensive rebound by T. Warren
2:54.0,,,93-109,2,T. Warren makes 2-pt shot at rim (assist by E. Bledsoe)
2:43.0,D. Russell makes 2-pt shot from 12 ft,2,95-109,,
2:27.0,,,95-111,2,B. Knight makes 2-pt shot from 11 ft
2:10.0,Turnover by D. Russell (bad pass; steal by E. Bledsoe),,95-111,,
2:05.0,,,95-111,,T. Warren misses 2-pt shot from 1 ft
2:04.0,,,95-111,,Offensive rebound by M. Teletovic
