time,Philadelphia,pts.away,score,pts.home,Cleveland
6:09.0,J. Okafor makes 2-pt shot at rim (assist by R. Holmes),2,13-17,,
5:51.0,,,13-17,,L. James misses 2-pt shot from 15 ft
5:50.0,,,13-17,,Offensive rebound by T. Mozgov
5:42.0,,,13-19,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
5:18.0,J. Sampson makes 2-pt shot from 19 ft (assist by R. Holmes),2,15-19,,
4:53.0,,,15-19,,K. Love misses 3-pt shot from 24 ft
4:53.0,Defensive rebound by T. McConnell,,15-19,,
4:39.0,,,15-19,,Personal foul by T. Mozgov (drawn by J. Okafor)
4:39.0,P. Pressey enters the game for T. McConnell,,15-19,,
4:39.0,N. Noel enters the game for J. Okafor,,15-19,,
4:39.0,,,15-19,,T. Thompson enters the game for T. Mozgov
4:39.0,,,15-19,,R. Jefferson enters the game for J. Cunningham
4:28.0,P. Pressey misses 2-pt shot from 18 ft,,15-19,,
4:27.0,,,15-19,,Defensive rebound by T. Thompson
4:18.0,,,15-21,2,K. Love makes 2-pt shot from 7 ft (assist by L. James)
4:05.0,H. Thompson makes 3-pt shot from 25 ft (assist by P. Pressey),3,18-21,,
3:50.0,,,18-24,3,R. Jefferson makes 3-pt shot from 24 ft (assist by L. James)
3:46.0,,,18-24,,Personal foul by M. Williams (drawn by P. Pressey)
3:46.0,,,18-24,,M. Dellavedova enters the game for M. Williams
3:42.0,Turnover by P. Pressey (bad pass; steal by K. Love),,18-24,,
3:35.0,,,18-24,,Offensive charge foul by K. Love
3:35.0,,,18-24,,Turnover by K. Love (offensive foul)
3:21.0,H. Thompson misses 3-pt shot from 24 ft,,18-24,,
3:20.0,,,18-24,,Defensive rebound by K. Love
3:07.0,,,18-24,,L. James misses 2-pt shot from 1 ft
3:06.0,,,18-24,,Offensive rebound by Team
3:06.0,Loose ball foul by J. Sampson (drawn by T. Thompson),,18-24,,
3:06.0,,,18-24,,J. Jones enters the game for K. Love
2:51.0,,,18-24,,Turnover by R. Jefferson (bad pass)
2:51.0,,,18-24,,Cleveland full timeout
2:51.0,,,18-24,,J. Cunningham enters the game for L. James
2:51.0,Violation by Team (delay of game),,18-24,,
2:51.0,Turnover by R. Holmes (inbound),,18-24,,
2:51.0,I. Canaan enters the game for J. Sampson,,18-24,,
2:51.0,J. Grant enters the game for R. Holmes,,18-24,,
2:35.0,,,18-24,,R. Jefferson misses 2-pt shot from 17 ft
2:34.0,Defensive rebound by N. Noel,,18-24,,
2:22.0,,,18-24,,Personal foul by J. Cunningham (drawn by J. Grant)
2:22.0,J. Grant misses free throw 1 of 2,,18-24,,
2:22.0,Offensive rebound by Team,,18-24,,
2:22.0,J. Grant misses free throw 2 of 2,,18-24,,
2:21.0,,,18-24,,Defensive rebound by R. Jefferson
2:09.0,,,18-25,1,T. Thompson makes free throw 1 of 2
2:09.0,,,18-25,,Shooting foul by N. Noel (drawn by T. Thompson)
2:09.0,,,18-25,,T. Thompson misses free throw 2 of 2
2:08.0,Defensive rebound by J. Grant,,18-25,,
1:54.0,P. Pressey misses 2-pt shot from 1 ft,,18-25,,
1:49.0,,,18-25,,Defensive rebound by T. Thompson
1:41.0,,,18-25,,J. Jones misses 2-pt shot from 21 ft
1:41.0,Defensive rebound by P. Pressey,,18-25,,
1:34.0,N. Noel misses 2-pt shot from 18 ft,,18-25,,
1:33.0,,,18-25,,Defensive rebound by J. Jones
1:20.0,,,18-25,,R. Jefferson misses 2-pt shot from 7 ft
1:18.0,Defensive rebound by J. Grant,,18-25,,
1:05.0,H. Thompson misses 3-pt shot from 23 ft,,18-25,,
1:03.0,Offensive rebound by N. Noel,,18-25,,
1:03.0,N. Noel misses 2-pt shot from 1 ft,,18-25,,
1:00.0,,,18-25,,Defensive rebound by M. Dellavedova
0:57.0,,,18-28,3,J. Jones makes 3-pt shot from 24 ft (assist by R. Jefferson)
0:46.0,T. McConnell enters the game for P. Pressey,,18-28,,
0:46.0,,,18-28,,J. Harris enters the game for J. Cunningham
0:46.0,,,18-28,,A. Varejao enters the game for T. Thompson
0:35.0,T. McConnell misses 2-pt shot from 7 ft,,18-28,,
0:33.0,Offensive rebound by H. Thompson,,18-28,,
0:33.0,H. Thompson makes 2-pt shot at rim,2,20-28,,
0:18.0,,,20-28,,M. Dellavedova misses 2-pt shot from 22 ft
0:17.0,Defensive rebound by H. Thompson,,20-28,,
0:03.0,N. Noel makes 2-pt shot at rim (assist by T. McConnell),2,22-28,,
0:00.0,,,22-28,,Turnover by J. Jones (bad pass; steal by T. McConnell)
0:00.0,T. McConnell makes 3-pt shot from 24 ft,3,25-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Turnover by I. Canaan (bad pass; steal by A. Varejao),,25-28,,
11:31.0,,,25-28,,J. Jones misses 2-pt shot from 15 ft
11:31.0,,,25-28,,Offensive rebound by J. Jones
11:22.0,,,25-28,,R. Jefferson misses 2-pt shot from 15 ft
11:21.0,Defensive rebound by J. Grant,,25-28,,
11:07.0,,,25-28,,Personal foul by A. Varejao (drawn by J. Okafor)
11:07.0,N. Stauskas enters the game for H. Thompson,,25-28,,
10:57.0,J. Okafor misses 2-pt shot from 9 ft,,25-28,,
10:55.0,,,25-28,,Defensive rebound by J. Harris
10:37.0,,,25-30,2,R. Jefferson makes 2-pt shot from 1 ft
10:24.0,I. Canaan makes 2-pt shot from 10 ft,2,27-30,,
10:05.0,,,27-32,2,M. Dellavedova makes 2-pt shot from 12 ft (assist by J. Jones)
10:05.0,,,27-32,,Shooting foul by T. McConnell (drawn by M. Dellavedova)
10:05.0,N. Noel enters the game for I. Canaan,,27-32,,
10:05.0,,,27-32,,K. Love enters the game for J. Harris
10:05.0,,,27-32,,L. James enters the game for J. Jones
10:05.0,,,27-33,1,M. Dellavedova makes free throw 1 of 1
9:41.0,J. Grant misses 3-pt shot from 25 ft,,27-33,,
9:40.0,,,27-33,,Defensive rebound by K. Love
9:31.0,,,27-33,,Turnover by A. Varejao (3 sec)
9:31.0,Philadelphia full timeout,,27-33,,
9:06.0,J. Okafor misses 2-pt shot from 10 ft,,27-33,,
9:04.0,,,27-33,,Defensive rebound by L. James
9:01.0,,,27-33,,Offensive charge foul by L. James
9:01.0,,,27-33,,Turnover by L. James (offensive foul)
9:01.0,J. Sampson enters the game for J. Grant,,27-33,,
8:44.0,N. Stauskas makes 2-pt shot from 5 ft,2,29-33,,
8:33.0,,,29-35,2,A. Varejao makes 2-pt shot from 15 ft (assist by L. James)
8:12.0,Turnover by J. Okafor (lost ball),,29-35,,
8:12.0,,,29-35,,M. Williams enters the game for M. Dellavedova
7:56.0,,,29-35,,L. James misses 2-pt shot from 13 ft
7:56.0,Defensive rebound by Team,,29-35,,
7:41.0,N. Stauskas misses 3-pt shot from 25 ft,,29-35,,
7:40.0,,,29-35,,Defensive rebound by K. Love
7:36.0,,,29-37,2,L. James makes 2-pt shot from 1 ft (assist by M. Williams)
7:36.0,,,29-37,,Shooting foul by J. Sampson (drawn by L. James)
7:36.0,,,29-37,,L. James misses free throw 1 of 1
7:34.0,,,29-37,,Offensive rebound by K. Love
7:34.0,,,29-37,,K. Love misses 2-pt shot at rim
7:31.0,,,29-37,,Offensive rebound by K. Love
7:23.0,,,29-39,2,L. James makes 2-pt shot from 1 ft
7:08.0,Turnover by N. Noel (bad pass; steal by K. Love),,29-39,,
7:07.0,,,29-39,,Turnover by K. Love (bad pass; steal by J. Sampson)
7:04.0,Offensive foul by J. Sampson,,29-39,,
7:04.0,Turnover by J. Sampson (offensive foul),,29-39,,
7:04.0,J. Grant enters the game for J. Sampson,,29-39,,
6:56.0,,,29-39,,Turnover by M. Williams (palming)
6:36.0,Offensive foul by J. Okafor,,29-39,,
6:36.0,Turnover by J. Okafor (offensive foul),,29-39,,
6:21.0,,,29-39,,K. Love misses 3-pt shot from 23 ft
6:21.0,Defensive rebound by J. Okafor,,29-39,,
6:05.0,N. Noel makes 2-pt shot from 7 ft (assist by T. McConnell),2,31-39,,
5:55.0,,,31-39,,Turnover by K. Love (bad pass; steal by N. Noel)
5:51.0,J. Okafor misses 2-pt shot from 2 ft,,31-39,,
5:51.0,Offensive rebound by J. Grant,,31-39,,
5:51.0,J. Grant makes 2-pt shot from 1 ft,2,33-39,,
5:51.0,,,33-39,,Cleveland full timeout
5:51.0,,,33-39,,T. Mozgov enters the game for A. Varejao
5:39.0,,,33-42,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
5:23.0,N. Noel makes 2-pt shot from 5 ft,2,35-42,,
5:01.0,,,35-42,,K. Love misses 3-pt shot from 23 ft
5:01.0,Defensive rebound by N. Noel,,35-42,,
4:42.0,J. Okafor misses 2-pt shot from 2 ft,,35-42,,
4:41.0,,,35-42,,Defensive rebound by T. Mozgov
4:33.0,,,35-42,,M. Williams misses 2-pt shot from 13 ft
4:31.0,,,35-42,,Offensive rebound by K. Love
4:31.0,,,35-42,,K. Love misses 2-pt shot from 1 ft
4:29.0,Defensive rebound by N. Noel,,35-42,,
4:15.0,J. Okafor makes 2-pt shot from 1 ft,2,37-42,,
3:58.0,,,37-44,2,T. Mozgov makes 2-pt shot from 1 ft (assist by M. Williams)
3:58.0,,,37-44,,Shooting foul by J. Grant (drawn by T. Mozgov)
3:58.0,P. Pressey enters the game for T. McConnell,,37-44,,
3:58.0,R. Holmes enters the game for N. Noel,,37-44,,
3:58.0,,,37-44,,M. Dellavedova enters the game for R. Jefferson
3:58.0,,,37-45,1,T. Mozgov makes free throw 1 of 1
3:49.0,Turnover by P. Pressey (lost ball; steal by M. Dellavedova),,37-45,,
3:43.0,,,37-47,2,L. James makes 2-pt shot at rim (assist by M. Williams)
3:16.0,P. Pressey makes 3-pt shot from 26 ft (assist by J. Okafor),3,40-47,,
2:55.0,,,40-47,,Turnover by M. Dellavedova (lost ball; steal by N. Stauskas)
2:48.0,J. Grant makes 2-pt shot at rim,2,42-47,,
2:38.0,Personal foul by J. Okafor (drawn by T. Mozgov),,42-47,,
2:38.0,Official timeout,,42-47,,
2:38.0,N. Noel enters the game for J. Okafor,,42-47,,
2:30.0,,,42-47,,M. Dellavedova misses 2-pt shot from 5 ft
2:28.0,Defensive rebound by N. Stauskas,,42-47,,
2:24.0,J. Grant makes 2-pt shot at rim,2,44-47,,
2:05.0,,,44-47,,Turnover by T. Mozgov (lost ball; steal by P. Pressey)
1:51.0,P. Pressey misses 3-pt shot from 24 ft,,44-47,,
1:50.0,,,44-47,,Defensive rebound by L. James
1:43.0,,,44-47,,M. Dellavedova misses 3-pt shot from 24 ft
1:42.0,Defensive rebound by N. Noel,,44-47,,
1:24.0,N. Stauskas makes 2-pt shot from 2 ft,2,46-47,,
1:10.0,T. McConnell enters the game for P. Pressey,,46-47,,
1:10.0,,,46-47,,T. Thompson enters the game for T. Mozgov
1:10.0,,,46-47,,R. Jefferson enters the game for L. James
1:10.0,J. Sampson enters the game for J. Grant,,46-47,,
1:04.0,,,46-49,2,M. Williams makes 2-pt shot from 18 ft (assist by R. Jefferson)
0:57.0,N. Stauskas misses 3-pt shot from 24 ft,,46-49,,
0:57.0,,,46-49,,Defensive rebound by K. Love
0:45.0,,,46-49,,M. Dellavedova misses 2-pt shot from 4 ft (block by N. Noel)
0:44.0,Defensive rebound by N. Noel,,46-49,,
0:40.0,R. Holmes makes 2-pt shot at rim (assist by N. Noel),2,48-49,,
0:40.0,,,48-49,,Cleveland full timeout
0:29.0,,,48-49,,K. Love misses 3-pt shot from 25 ft
0:28.0,Defensive rebound by J. Sampson,,48-49,,
0:25.0,Philadelphia full timeout,,48-49,,
0:25.0,,,48-49,,J. Cunningham enters the game for M. Williams
0:25.0,H. Thompson enters the game for R. Holmes,,48-49,,
0:25.0,J. Okafor enters the game for J. Sampson,,48-49,,
0:17.0,N. Noel makes 2-pt shot at rim (assist by T. McConnell),2,50-49,,
0:01.0,,,50-49,,M. Dellavedova misses 2-pt shot from 10 ft
0:00.0,Defensive rebound by H. Thompson,,50-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,50-49,,Violation by M. Williams (kicked ball)
11:24.0,N. Noel misses 2-pt shot from 8 ft,,50-49,,
11:23.0,,,50-49,,Defensive rebound by M. Williams
11:18.0,,,50-51,2,L. James makes 2-pt shot from 1 ft (assist by M. Williams)
11:08.0,N. Noel misses 2-pt shot from 13 ft,,50-51,,
11:05.0,,,50-51,,Defensive rebound by T. Mozgov
10:57.0,,,50-53,2,M. Williams makes 2-pt shot from 19 ft
10:43.0,Turnover by N. Stauskas (bad pass; steal by L. James),,50-53,,
10:41.0,,,50-55,2,L. James makes 2-pt shot from 1 ft
10:41.0,,,50-55,,Shooting foul by J. Grant (drawn by L. James)
10:41.0,,,50-56,1,L. James makes free throw 1 of 1
10:40.0,Philadelphia full timeout,,50-56,,
10:21.0,N. Noel makes 2-pt shot from 7 ft,2,52-56,,
10:02.0,,,52-58,2,L. James makes 2-pt shot from 16 ft
9:54.0,Turnover by T. McConnell (bad pass; steal by M. Williams),,52-58,,
9:48.0,,,52-60,2,M. Williams makes 2-pt shot from 15 ft
9:24.0,T. McConnell misses 3-pt shot from 25 ft,,52-60,,
9:24.0,Offensive rebound by Team,,52-60,,
9:24.0,,,52-60,,Loose ball foul by K. Love (drawn by N. Noel)
9:06.0,J. Okafor misses 2-pt shot from 7 ft,,52-60,,
9:06.0,,,52-60,,Defensive rebound by K. Love
8:54.0,,,52-60,,Shooting foul by N. Stauskas (drawn by L. James)
8:54.0,,,52-61,1,L. James makes free throw 1 of 2
8:54.0,,,52-62,1,L. James makes free throw 2 of 2
8:29.0,Turnover by N. Noel (lost ball; steal by M. Williams),,52-62,,
8:22.0,,,52-65,3,L. James makes 3-pt shot from 25 ft (assist by M. Williams)
7:55.0,T. McConnell misses 3-pt shot from 25 ft,,52-65,,
7:54.0,,,52-65,,Defensive rebound by T. Mozgov
7:47.0,,,52-65,,L. James misses 2-pt shot from 10 ft
7:46.0,Defensive rebound by N. Noel,,52-65,,
7:38.0,J. Okafor makes 2-pt shot from 1 ft (assist by J. Grant),2,54-65,,
7:21.0,,,54-67,2,T. Mozgov makes 2-pt shot from 10 ft (assist by K. Love)
7:09.0,N. Noel makes 2-pt shot from 5 ft,2,56-67,,
6:49.0,,,56-70,3,L. James makes 3-pt shot from 22 ft (assist by K. Love)
6:27.0,N. Stauskas makes 3-pt shot from 22 ft (assist by T. McConnell),3,59-70,,
6:12.0,,,59-72,2,K. Love makes 2-pt shot at rim (assist by M. Williams)
6:04.0,,,59-72,,Personal foul by T. Mozgov (drawn by J. Okafor)
6:04.0,I. Canaan enters the game for J. Grant,,59-72,,
6:04.0,R. Holmes enters the game for J. Okafor,,59-72,,
6:04.0,H. Thompson enters the game for T. McConnell,,59-72,,
6:04.0,,,59-72,,T. Thompson enters the game for K. Love
5:56.0,Shooting foul by T. Thompson (drawn by R. Holmes),,59-72,,
5:56.0,R. Holmes makes free throw 1 of 2,1,60-72,,
5:56.0,R. Holmes misses free throw 2 of 2,,60-72,,
5:55.0,,,60-72,,Defensive rebound by T. Mozgov
5:38.0,,,60-72,,L. James misses 3-pt shot from 23 ft
5:38.0,Defensive rebound by N. Noel,,60-72,,
5:29.0,N. Noel misses 2-pt shot from 4 ft,,60-72,,
5:28.0,,,60-72,,Defensive rebound by J. Cunningham
5:11.0,Def 3 sec tech foul by N. Stauskas,,60-72,,
5:11.0,,,60-72,,L. James misses technical free throw
5:11.0,,,60-72,,Offensive rebound by Team
5:11.0,J. Sampson enters the game for N. Noel,,60-72,,
5:11.0,,,60-72,,J. Jones enters the game for T. Mozgov
4:59.0,,,60-74,2,M. Williams makes 2-pt shot from 12 ft
4:48.0,I. Canaan misses 3-pt shot from 23 ft,,60-74,,
4:47.0,,,60-74,,Defensive rebound by J. Jones
4:28.0,,,60-77,3,L. James makes 3-pt shot from 24 ft
4:14.0,N. Stauskas misses 3-pt shot from 24 ft,,60-77,,
4:13.0,,,60-77,,Defensive rebound by L. James
4:08.0,Personal foul by J. Sampson (drawn by L. James),,60-77,,
4:08.0,,,60-77,,M. Dellavedova enters the game for J. Cunningham
4:08.0,N. Noel enters the game for N. Stauskas,,60-77,,
3:59.0,,,60-77,,L. James misses 3-pt shot from 25 ft
3:59.0,Defensive rebound by N. Noel,,60-77,,
3:55.0,,,60-77,,Personal foul by M. Dellavedova (drawn by I. Canaan)
3:48.0,N. Noel makes 2-pt shot from 16 ft (assist by I. Canaan),2,62-77,,
3:31.0,,,62-77,,L. James misses 2-pt shot from 2 ft (block by N. Noel)
3:30.0,,,62-77,,Offensive rebound by J. Jones
3:27.0,,,62-79,2,M. Dellavedova makes 2-pt shot from 23 ft (assist by J. Jones)
3:13.0,,,62-79,,Personal foul by T. Thompson (drawn by J. Sampson)
3:13.0,J. Sampson makes free throw 1 of 2,1,63-79,,
3:13.0,,,63-79,,R. Jefferson enters the game for L. James
3:13.0,J. Sampson misses free throw 2 of 2,,63-79,,
3:11.0,Offensive rebound by N. Noel,,63-79,,
3:01.0,J. Sampson misses 2-pt shot from 6 ft,,63-79,,
3:00.0,Offensive rebound by R. Holmes,,63-79,,
2:59.0,R. Holmes misses 2-pt shot at rim,,63-79,,
2:58.0,,,63-79,,Defensive rebound by T. Thompson
2:51.0,,,63-79,,J. Jones misses 3-pt shot from 25 ft
2:51.0,,,63-79,,Offensive rebound by Team
2:51.0,Loose ball foul by R. Holmes (drawn by T. Thompson),,63-79,,
2:51.0,,,63-79,,Cleveland full timeout
2:51.0,J. Okafor enters the game for R. Holmes,,63-79,,
2:51.0,N. Stauskas enters the game for J. Sampson,,63-79,,
2:39.0,,,63-79,,M. Dellavedova misses 2-pt shot from 12 ft
2:37.0,Defensive rebound by H. Thompson,,63-79,,
2:18.0,Turnover by N. Noel (bad pass),,63-79,,
2:02.0,,,63-79,,M. Dellavedova misses 2-pt shot from 19 ft
2:01.0,Defensive rebound by N. Stauskas,,63-79,,
1:41.0,J. Okafor misses 2-pt shot from 13 ft,,63-79,,
1:40.0,,,63-79,,Defensive rebound by T. Thompson
1:30.0,,,63-79,,R. Jefferson misses 2-pt shot from 20 ft
1:30.0,Defensive rebound by N. Noel,,63-79,,
1:12.0,N. Stauskas makes 3-pt shot from 24 ft (assist by H. Thompson),3,66-79,,
0:57.0,,,66-79,,M. Williams misses 2-pt shot from 17 ft
0:56.0,Defensive rebound by H. Thompson,,66-79,,
0:53.0,,,66-79,,Personal foul by J. Jones (drawn by I. Canaan)
0:53.0,I. Canaan makes free throw 1 of 2,1,67-79,,
0:53.0,J. Grant enters the game for N. Noel,,67-79,,
0:53.0,I. Canaan makes free throw 2 of 2,1,68-79,,
0:40.0,,,68-79,,M. Williams misses 3-pt shot from 24 ft
0:40.0,Defensive rebound by J. Okafor,,68-79,,
0:31.0,J. Okafor makes 2-pt shot at rim (assist by I. Canaan),2,70-79,,
0:10.0,,,70-81,2,R. Jefferson makes 2-pt shot at rim (assist by M. Williams)
0:00.0,I. Canaan makes 3-pt shot from 24 ft,3,73-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,73-84,3,R. Jefferson makes 3-pt shot from 22 ft (assist by L. James)
11:30.0,I. Canaan makes 2-pt shot from 4 ft (assist by N. Stauskas),2,75-84,,
11:11.0,,,75-84,,J. Jones misses 3-pt shot from 24 ft
11:10.0,Defensive rebound by J. Okafor,,75-84,,
10:58.0,J. Okafor makes 2-pt shot from 1 ft (assist by H. Thompson),2,77-84,,
10:35.0,,,77-84,,L. James misses 2-pt shot from 17 ft
10:34.0,Defensive rebound by H. Thompson,,77-84,,
10:17.0,J. Okafor makes 2-pt shot from 12 ft,2,79-84,,
9:57.0,,,79-84,,L. James misses 2-pt shot from 7 ft
9:57.0,,,79-84,,Offensive rebound by T. Thompson
9:52.0,,,79-84,,J. Jones misses 3-pt shot from 25 ft
9:51.0,,,79-84,,Offensive rebound by T. Thompson
9:37.0,,,79-86,2,L. James makes 2-pt shot from 10 ft
9:37.0,,,79-86,,Shooting foul by H. Thompson (drawn by L. James)
9:37.0,,,79-86,,K. Love enters the game for J. Jones
9:37.0,N. Noel enters the game for J. Grant,,79-86,,
9:37.0,,,79-87,1,L. James makes free throw 1 of 1
9:37.0,Philadelphia full timeout,,79-87,,
9:26.0,Turnover by N. Stauskas (bad pass; steal by L. James),,79-87,,
9:19.0,,,79-87,,L. James misses 2-pt shot at rim
9:18.0,Defensive rebound by H. Thompson,,79-87,,
9:18.0,,,79-87,,Personal foul by R. Jefferson (drawn by I. Canaan)
9:18.0,,,79-87,,Cleveland full timeout
8:55.0,J. Okafor misses 2-pt shot from 7 ft,,79-87,,
8:54.0,,,79-87,,Defensive rebound by T. Thompson
8:39.0,Personal foul by H. Thompson (drawn by K. Love),,79-87,,
8:29.0,,,79-87,,Turnover by R. Jefferson (lost ball; steal by N. Noel)
8:18.0,I. Canaan misses 2-pt shot from 13 ft,,79-87,,
8:18.0,,,79-87,,Defensive rebound by L. James
7:53.0,,,79-90,3,M. Dellavedova makes 3-pt shot from 22 ft (assist by L. James)
7:38.0,N. Noel misses 2-pt shot from 13 ft,,79-90,,
7:37.0,Offensive rebound by J. Okafor,,79-90,,
7:32.0,I. Canaan misses 3-pt shot from 24 ft,,79-90,,
7:31.0,,,79-90,,Defensive rebound by T. Thompson
7:17.0,,,79-90,,K. Love misses 3-pt shot from 24 ft
7:16.0,Defensive rebound by H. Thompson,,79-90,,
7:07.0,H. Thompson makes 3-pt shot from 24 ft (assist by I. Canaan),3,82-90,,
6:47.0,,,82-92,2,L. James makes 2-pt shot from 17 ft
6:33.0,N. Stauskas makes 2-pt shot at rim,2,84-92,,
6:16.0,,,84-95,3,R. Jefferson makes 3-pt shot from 24 ft (assist by M. Dellavedova)
5:58.0,N. Noel misses 2-pt shot from 8 ft,,84-95,,
5:58.0,,,84-95,,Defensive rebound by T. Thompson
5:51.0,,,84-95,,Turnover by L. James (bad pass)
5:51.0,T. McConnell enters the game for I. Canaan,,84-95,,
5:51.0,J. Grant enters the game for N. Noel,,84-95,,
5:27.0,J. Grant misses 3-pt shot from 23 ft,,84-95,,
5:26.0,,,84-95,,Defensive rebound by T. Thompson
5:21.0,,,84-97,2,R. Jefferson makes 2-pt shot at rim (assist by L. James)
5:20.0,Philadelphia full timeout,,84-97,,
5:16.0,,,84-97,,Violation by M. Dellavedova (kicked ball)
4:59.0,H. Thompson misses 2-pt shot from 3 ft,,84-97,,
4:56.0,,,84-97,,Defensive rebound by T. Thompson
4:53.0,,,84-99,2,R. Jefferson makes 2-pt shot from 1 ft (assist by L. James)
4:44.0,,,84-99,,Violation by Team (delay of game)
4:32.0,Shooting foul by R. Jefferson (drawn by J. Okafor),,84-99,,
4:32.0,J. Okafor makes free throw 1 of 2,1,85-99,,
4:32.0,N. Noel enters the game for J. Grant,,85-99,,
4:32.0,I. Canaan enters the game for T. McConnell,,85-99,,
4:32.0,J. Okafor makes free throw 2 of 2,1,86-99,,
4:18.0,,,86-99,,K. Love misses 3-pt shot from 26 ft
4:17.0,Defensive rebound by N. Stauskas,,86-99,,
4:13.0,N. Noel makes 2-pt shot at rim (assist by I. Canaan),2,88-99,,
3:52.0,,,88-99,,Offensive foul by M. Dellavedova
3:52.0,,,88-99,,Turnover by M. Dellavedova (offensive foul)
3:51.0,,,88-99,,Personal foul by M. Dellavedova (drawn by I. Canaan)
3:51.0,Technical foul by I. Canaan,,88-99,,
3:51.0,,,88-100,1,M. Dellavedova makes technical free throw
3:36.0,J. Okafor makes 2-pt shot from 15 ft (assist by N. Stauskas),2,90-100,,
3:21.0,,,90-102,2,M. Dellavedova makes 2-pt shot from 2 ft (assist by L. James)
3:08.0,N. Stauskas misses 3-pt shot from 27 ft,,90-102,,
3:06.0,,,90-102,,Defensive rebound by K. Love
2:46.0,,,90-104,2,K. Love makes 2-pt shot from 21 ft (assist by L. James)
2:31.0,,,90-104,,Personal foul by M. Dellavedova (drawn by H. Thompson)
2:31.0,Philadelphia full timeout,,90-104,,
2:31.0,,,90-104,,J. Cunningham enters the game for L. James
