time,Indiana,pts.away,score,pts.home,Utah
4:57.0,,,12-16,,R. Neto misses 2-pt shot from 6 ft
4:57.0,Defensive rebound by P. George,,12-16,,
4:53.0,C. Miles misses 3-pt shot from 24 ft,,12-16,,
4:53.0,Offensive rebound by Team,,12-16,,
4:53.0,,,12-16,,Loose ball foul by G. Hayward (drawn by P. George)
4:53.0,,,12-16,,Utah full timeout
4:53.0,,,12-16,,A. Burks enters the game for G. Hayward
4:53.0,,,12-16,,T. Booker enters the game for T. Lyles
4:53.0,,,12-16,,T. Burke enters the game for R. Neto
4:33.0,P. George misses 3-pt shot from 23 ft,,12-16,,
4:32.0,,,12-16,,Defensive rebound by D. Favors
4:16.0,Personal foul by M. Ellis (drawn by A. Burks),,12-16,,
4:16.0,J. Hill enters the game for I. Mahinmi,,12-16,,
4:16.0,R. Stuckey enters the game for G. Hill,,12-16,,
4:10.0,Personal foul by P. George (drawn by D. Favors),,12-16,,
4:02.0,,,12-19,3,A. Burks makes 3-pt shot from 22 ft (assist by T. Burke)
3:49.0,J. Hill misses 2-pt shot from 2 ft,,12-19,,
3:48.0,,,12-19,,Defensive rebound by A. Burks
3:42.0,L. Allen enters the game for C. Miles,,12-19,,
3:35.0,,,12-19,,T. Burke misses 3-pt shot from 25 ft
3:35.0,Defensive rebound by P. George,,12-19,,
3:25.0,R. Stuckey misses 3-pt shot from 22 ft,,12-19,,
3:24.0,,,12-19,,Defensive rebound by R. Hood
3:18.0,,,12-22,3,T. Burke makes 3-pt shot from 23 ft (assist by R. Hood)
3:17.0,Indiana full timeout,,12-22,,
3:05.0,M. Ellis misses 2-pt shot from 17 ft,,12-22,,
3:04.0,,,12-22,,Defensive rebound by T. Booker
2:44.0,,,12-24,2,R. Hood makes 2-pt shot from 12 ft
2:33.0,P. George makes 2-pt shot from 13 ft,2,14-24,,
2:17.0,,,14-24,,D. Favors misses 2-pt shot from 6 ft (block by M. Ellis)
2:14.0,Defensive rebound by P. George,,14-24,,
2:12.0,Shooting foul by R. Hood (drawn by P. George),,14-24,,
2:12.0,P. George makes free throw 1 of 3,1,15-24,,
2:12.0,P. George makes free throw 2 of 3,1,16-24,,
2:12.0,,,16-24,,E. Millsap enters the game for R. Hood
2:12.0,,,16-24,,J. Withey enters the game for D. Favors
2:12.0,P. George makes free throw 3 of 3,1,17-24,,
1:53.0,,,17-24,,Turnover by T. Booker (bad pass; steal by P. George)
1:42.0,P. George misses 2-pt shot from 19 ft,,17-24,,
1:40.0,,,17-24,,Defensive rebound by T. Burke
1:34.0,,,17-24,,A. Burks misses 2-pt shot from 1 ft
1:33.0,,,17-24,,Offensive rebound by T. Booker
1:24.0,Personal foul by M. Ellis (drawn by J. Withey),,17-24,,
1:24.0,G. Hill enters the game for M. Ellis,,17-24,,
1:13.0,,,17-24,,Turnover by E. Millsap (lost ball; steal by P. George)
1:13.0,Jump ball: P. George vs. E. Millsap (J. Hill gains possession),,,,Jump ball: P. George vs. E. Millsap (J. Hill gains possession)
1:05.0,P. George misses 2-pt shot from 2 ft (block by J. Withey),,17-24,,
1:04.0,Offensive rebound by L. Allen,,17-24,,
1:03.0,L. Allen misses 2-pt shot from 3 ft,,17-24,,
1:03.0,,,17-24,,Defensive rebound by Team
0:42.0,,,17-26,2,T. Burke makes 2-pt shot from 12 ft
0:33.0,Shooting foul by T. Booker (drawn by J. Hill),,17-26,,
0:33.0,J. Hill makes free throw 1 of 2,1,18-26,,
0:33.0,J. Hill makes free throw 2 of 2,1,19-26,,
0:19.0,,,19-26,,J. Withey misses 2-pt shot from 6 ft
0:18.0,,,19-26,,Offensive rebound by T. Booker
0:03.0,,,19-26,,Shooting foul by L. Allen (drawn by A. Burks)
0:03.0,,,19-27,1,A. Burks makes free throw 1 of 2
0:03.0,,,19-27,,A. Burks misses free throw 2 of 2
0:02.0,Defensive rebound by L. Allen,,19-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,19-27,,Turnover by J. Withey (lost ball; steal by G. Hill)
11:40.0,R. Stuckey makes 2-pt shot from 2 ft (assist by G. Hill),2,21-27,,
11:19.0,,,21-27,,A. Burks misses 2-pt shot from 19 ft
11:19.0,Defensive rebound by C. Budinger,,21-27,,
10:58.0,Turnover by J. Hill (lost ball),,21-27,,
10:39.0,,,21-27,,Turnover by T. Booker (bad pass; steal by G. Hill)
10:36.0,Turnover by L. Allen (bad pass; steal by T. Booker),,21-27,,
10:29.0,,,21-27,,T. Burke misses 3-pt shot from 24 ft
10:28.0,,,21-27,,Offensive rebound by T. Booker
10:24.0,,,21-30,3,G. Hayward makes 3-pt shot from 24 ft
10:04.0,J. Hill makes 2-pt shot from 3 ft (assist by R. Stuckey),2,23-30,,
9:49.0,,,23-30,,T. Booker misses 2-pt shot from 4 ft (block by G. Hill)
9:46.0,Defensive rebound by L. Allen,,23-30,,
9:41.0,Turnover by C. Budinger (bad pass; steal by G. Hayward),,23-30,,
9:37.0,,,23-30,,Shooting foul by L. Allen (drawn by T. Booker)
9:37.0,,,23-31,1,T. Booker makes free throw 1 of 2
9:37.0,,,23-31,,D. Favors enters the game for J. Withey
9:37.0,,,23-31,,T. Booker misses free throw 2 of 2
9:36.0,Defensive rebound by C. Budinger,,23-31,,
9:24.0,Indiana full timeout,,23-31,,
9:24.0,,,23-31,,T. Lyles enters the game for T. Booker
9:13.0,J. Hill misses 2-pt shot from 1 ft,,23-31,,
9:12.0,Offensive rebound by L. Allen,,23-31,,
9:12.0,L. Allen misses 2-pt shot from 1 ft,,23-31,,
9:10.0,,,23-31,,Defensive rebound by A. Burks
9:01.0,Personal foul by C. Budinger (drawn by G. Hayward),,23-31,,
8:54.0,Personal foul by C. Budinger (drawn by G. Hayward),,23-31,,
8:47.0,,,23-31,,T. Burke misses 3-pt shot from 24 ft
8:46.0,Defensive rebound by J. Hill,,23-31,,
8:37.0,,,23-31,,Def 3 sec tech foul by T. Lyles
8:37.0,R. Stuckey makes technical free throw,1,24-31,,
8:27.0,C. Budinger misses 2-pt shot from 9 ft,,24-31,,
8:27.0,Offensive rebound by Team,,24-31,,
8:27.0,,,24-31,,Loose ball foul by A. Burks (drawn by R. Stuckey)
8:27.0,R. Stuckey makes free throw 1 of 2,1,25-31,,
8:27.0,,,25-31,,R. Hood enters the game for A. Burks
8:27.0,R. Stuckey makes free throw 2 of 2,1,26-31,,
8:10.0,,,26-33,2,D. Favors makes 2-pt shot from 1 ft (assist by T. Burke)
7:58.0,R. Stuckey makes 2-pt shot from 14 ft,2,28-33,,
7:46.0,,,28-35,2,D. Favors makes 2-pt shot from 10 ft (assist by T. Burke)
7:31.0,J. Hill makes 2-pt shot from 7 ft,2,30-35,,
7:18.0,,,30-35,,T. Lyles misses 2-pt shot from 17 ft
7:17.0,Defensive rebound by C. Budinger,,30-35,,
7:05.0,G. Hill misses 3-pt shot from 24 ft,,30-35,,
7:05.0,Offensive rebound by J. Hill,,30-35,,
7:01.0,C. Budinger misses 2-pt shot from 2 ft,,30-35,,
6:59.0,,,30-35,,Defensive rebound by T. Lyles
6:55.0,,,30-35,,Shooting foul by J. Hill (drawn by G. Hayward)
6:55.0,,,30-36,1,G. Hayward makes free throw 1 of 2
6:55.0,I. Mahinmi enters the game for J. Hill,,30-36,,
6:55.0,C. Miles enters the game for L. Allen,,30-36,,
6:55.0,,,30-36,,J. Ingles enters the game for T. Lyles
6:55.0,,,30-36,,R. Neto enters the game for T. Burke
6:55.0,,,30-37,1,G. Hayward makes free throw 2 of 2
6:41.0,R. Stuckey makes 2-pt shot from 9 ft,2,32-37,,
6:26.0,,,32-39,2,D. Favors makes 2-pt shot from 1 ft (assist by G. Hayward)
6:14.0,Shooting foul by D. Favors (drawn by R. Stuckey),,32-39,,
6:14.0,R. Stuckey misses free throw 1 of 2,,32-39,,
6:14.0,Offensive rebound by Team,,32-39,,
6:14.0,M. Ellis enters the game for G. Hill,,32-39,,
6:14.0,R. Stuckey makes free throw 2 of 2,1,33-39,,
5:57.0,Personal foul by R. Stuckey (drawn by G. Hayward),,33-39,,
5:57.0,,,33-39,,Utah full timeout
5:57.0,,,33-40,1,G. Hayward makes free throw 1 of 2
5:57.0,,,33-41,1,G. Hayward makes free throw 2 of 2
5:48.0,C. Budinger makes 2-pt shot at rim (assist by M. Ellis),2,35-41,,
5:27.0,,,35-41,,D. Favors misses 2-pt shot from 1 ft
5:27.0,Defensive rebound by M. Ellis,,35-41,,
5:19.0,M. Ellis makes 2-pt shot from 8 ft,2,37-41,,
5:05.0,,,37-41,,R. Hood misses 2-pt shot from 17 ft
5:04.0,Defensive rebound by I. Mahinmi,,37-41,,
4:56.0,I. Mahinmi makes 2-pt shot from 2 ft (assist by M. Ellis),2,39-41,,
4:31.0,,,39-41,,R. Hood misses 2-pt shot from 2 ft
4:31.0,Defensive rebound by I. Mahinmi,,39-41,,
4:25.0,Shooting foul by R. Hood (drawn by C. Miles),,39-41,,
4:25.0,C. Miles makes free throw 1 of 3,1,40-41,,
4:25.0,C. Miles makes free throw 2 of 3,1,41-41,,
4:25.0,P. George enters the game for C. Budinger,,41-41,,
4:25.0,,,41-41,,A. Burks enters the game for R. Hood
4:25.0,,,41-41,,Utah full timeout
4:25.0,,,41-41,,T. Burke enters the game for R. Neto
4:25.0,,,41-41,,T. Booker enters the game for J. Ingles
4:25.0,C. Miles makes free throw 3 of 3,1,42-41,,
4:04.0,,,42-44,3,T. Burke makes 3-pt shot from 25 ft
4:04.0,,,42-44,,Shooting foul by M. Ellis (drawn by T. Burke)
4:04.0,G. Hill enters the game for M. Ellis,,42-44,,
4:04.0,,,42-45,1,T. Burke makes free throw 1 of 1
3:40.0,P. George makes 2-pt shot from 18 ft,2,44-45,,
3:27.0,,,44-45,,G. Hayward misses 2-pt shot from 6 ft
3:27.0,,,44-45,,Offensive rebound by T. Booker
3:24.0,,,44-47,2,T. Booker makes 2-pt shot from 1 ft
3:14.0,C. Miles misses 3-pt shot from 24 ft,,44-47,,
3:14.0,,,44-47,,Defensive rebound by T. Booker
3:07.0,,,44-49,2,A. Burks makes 2-pt shot from 2 ft
2:58.0,Turnover by P. George (bad pass),,44-49,,
2:44.0,,,44-51,2,D. Favors makes 2-pt shot from 14 ft (assist by G. Hayward)
2:27.0,P. George makes 3-pt shot from 24 ft (assist by R. Stuckey),3,47-51,,
2:10.0,,,47-51,,T. Booker misses 2-pt shot from 2 ft
2:09.0,,,47-51,,Offensive rebound by D. Favors
2:09.0,,,47-53,2,D. Favors makes 2-pt shot from 2 ft
1:57.0,R. Stuckey misses 2-pt shot from 12 ft,,47-53,,
1:56.0,,,47-53,,Defensive rebound by A. Burks
1:36.0,,,47-53,,Shooting foul by C. Miles (drawn by G. Hayward)
1:36.0,,,47-53,,G. Hayward misses free throw 1 of 2
1:36.0,,,47-53,,Offensive rebound by Team
1:36.0,C. Budinger enters the game for R. Stuckey,,47-53,,
1:36.0,,,47-54,1,G. Hayward makes free throw 2 of 2
1:18.0,,,47-54,,Personal block foul by T. Booker (drawn by P. George)
1:15.0,P. George makes 3-pt shot from 24 ft (assist by G. Hill),3,50-54,,
1:15.0,Shooting foul by A. Burks (drawn by P. George),,50-54,,
1:15.0,P. George misses free throw 1 of 1,,50-54,,
1:14.0,,,50-54,,Defensive rebound by T. Booker
1:01.0,,,50-54,,Turnover by G. Hayward (lost ball; steal by I. Mahinmi)
0:56.0,P. George misses 2-pt shot from 4 ft,,50-54,,
0:55.0,Offensive rebound by C. Miles,,50-54,,
0:55.0,Shooting foul by T. Booker (drawn by C. Miles),,50-54,,
0:55.0,C. Miles makes free throw 1 of 2,1,51-54,,
0:55.0,,,51-54,,E. Millsap enters the game for T. Booker
0:55.0,C. Miles makes free throw 2 of 2,1,52-54,,
0:37.0,,,52-54,,G. Hayward misses 3-pt shot from 24 ft
0:36.0,Defensive rebound by C. Miles,,52-54,,
0:29.0,C. Budinger misses 2-pt shot from 2 ft,,52-54,,
0:28.0,,,52-54,,Defensive rebound by E. Millsap
0:13.0,,,52-54,,Shooting foul by C. Budinger (drawn by A. Burks)
0:13.0,,,52-54,,A. Burks misses free throw 1 of 2
0:13.0,,,52-54,,Offensive rebound by Team
0:13.0,R. Stuckey enters the game for C. Budinger,,52-54,,
0:13.0,,,52-54,,C. Johnson enters the game for G. Hayward
0:13.0,Indiana full timeout,,52-54,,
0:13.0,,,52-55,1,A. Burks makes free throw 2 of 2
0:05.0,Turnover by I. Mahinmi (bad pass; steal by E. Millsap),,52-55,,
0:01.0,,,52-57,2,T. Burke makes 2-pt shot from 1 ft (assist by E. Millsap)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,52-57,,Shooting foul by M. Ellis (drawn by R. Hood)
11:39.0,,,52-58,1,R. Hood makes free throw 1 of 2
11:39.0,,,52-59,1,R. Hood makes free throw 2 of 2
11:30.0,,,52-59,,Personal foul by R. Neto (drawn by G. Hill)
11:21.0,M. Ellis misses 2-pt shot from 16 ft,,52-59,,
11:21.0,,,52-59,,Defensive rebound by D. Favors
11:16.0,,,52-61,2,R. Neto makes 2-pt shot from 8 ft
11:16.0,,,52-61,,Shooting foul by I. Mahinmi (drawn by R. Neto)
11:16.0,,,52-62,1,R. Neto makes free throw 1 of 1
11:04.0,C. Miles misses 2-pt shot from 17 ft,,52-62,,
11:04.0,,,52-62,,Defensive rebound by D. Favors
10:44.0,,,52-64,2,D. Favors makes 2-pt shot from 2 ft (assist by R. Neto)
10:33.0,G. Hill makes 2-pt shot from 21 ft,2,54-64,,
10:13.0,,,54-67,3,R. Neto makes 3-pt shot from 22 ft (assist by G. Hayward)
9:46.0,M. Ellis misses 2-pt shot from 7 ft,,54-67,,
9:45.0,,,54-67,,Defensive rebound by T. Lyles
9:41.0,,,54-69,2,R. Neto makes 2-pt shot from 1 ft (assist by T. Lyles)
9:41.0,Indiana full timeout,,54-69,,
9:27.0,,,54-69,,Personal foul by R. Hood (drawn by I. Mahinmi)
9:27.0,,,54-69,,A. Burks enters the game for R. Hood
9:18.0,C. Miles misses 3-pt shot from 24 ft,,54-69,,
9:18.0,,,54-69,,Defensive rebound by R. Neto
9:00.0,,,54-71,2,R. Neto makes 2-pt shot from 1 ft (assist by D. Favors)
8:39.0,G. Hill makes 2-pt shot from 9 ft,2,56-71,,
8:20.0,,,56-71,,G. Hayward misses 3-pt shot from 24 ft
8:20.0,Defensive rebound by I. Mahinmi,,56-71,,
8:09.0,I. Mahinmi makes 2-pt shot from 2 ft (assist by M. Ellis),2,58-71,,
7:59.0,Personal foul by I. Mahinmi (drawn by D. Favors),,58-71,,
7:47.0,,,58-71,,D. Favors misses 2-pt shot from 18 ft
7:46.0,Defensive rebound by P. George,,58-71,,
7:39.0,Offensive foul by I. Mahinmi,,58-71,,
7:39.0,Turnover by I. Mahinmi (offensive foul),,58-71,,
7:39.0,J. Hill enters the game for I. Mahinmi,,58-71,,
7:27.0,Personal foul by P. George (drawn by G. Hayward),,58-71,,
7:20.0,,,58-71,,A. Burks misses 2-pt shot from 17 ft
7:19.0,,,58-71,,Offensive rebound by D. Favors
7:17.0,,,58-73,2,D. Favors makes 2-pt shot from 2 ft
7:10.0,Offensive foul by J. Hill,,58-73,,
7:10.0,Turnover by J. Hill (offensive foul),,58-73,,
6:55.0,,,58-73,,G. Hayward misses 2-pt shot from 13 ft
6:55.0,Defensive rebound by P. George,,58-73,,
6:55.0,,,58-73,,Personal foul by T. Lyles (drawn by P. George)
6:42.0,J. Hill misses 2-pt shot from 12 ft,,58-73,,
6:41.0,,,58-73,,Defensive rebound by D. Favors
6:25.0,,,58-73,,Turnover by R. Neto (bad pass; steal by G. Hill)
6:25.0,,,58-73,,Loose ball foul by R. Neto (drawn by G. Hill)
6:25.0,,,58-73,,T. Booker enters the game for T. Lyles
6:07.0,C. Miles makes 3-pt shot from 25 ft (assist by G. Hill),3,61-73,,
5:55.0,,,61-73,,A. Burks misses 3-pt shot from 24 ft
5:54.0,Defensive rebound by Team,,61-73,,
5:50.0,Shooting foul by T. Booker (drawn by C. Miles),,61-73,,
5:50.0,C. Miles misses free throw 1 of 3,,61-73,,
5:50.0,Offensive rebound by Team,,61-73,,
5:50.0,C. Miles makes free throw 2 of 3,1,62-73,,
5:50.0,,,62-73,,C. Johnson enters the game for T. Booker
5:50.0,C. Miles makes free throw 3 of 3,1,63-73,,
5:41.0,Personal foul by P. George (drawn by G. Hayward),,63-73,,
5:41.0,,,63-74,1,G. Hayward makes free throw 1 of 2
5:41.0,,,63-75,1,G. Hayward makes free throw 2 of 2
5:32.0,Shooting foul by D. Favors (drawn by M. Ellis),,63-75,,
5:32.0,M. Ellis makes free throw 1 of 2,1,64-75,,
5:32.0,M. Ellis makes free throw 2 of 2,1,65-75,,
5:16.0,,,65-77,2,D. Favors makes 2-pt shot at rim (assist by C. Johnson)
4:56.0,P. George misses 2-pt shot from 11 ft,,65-77,,
4:56.0,Offensive rebound by J. Hill,,65-77,,
4:50.0,P. George makes 3-pt shot from 23 ft,3,68-77,,
4:27.0,,,68-79,2,D. Favors makes 2-pt shot from 2 ft
4:17.0,P. George makes 3-pt shot from 24 ft,3,71-79,,
4:00.0,Personal foul by J. Hill (drawn by G. Hayward),,71-79,,
4:00.0,,,71-80,1,G. Hayward makes free throw 1 of 2
4:00.0,R. Stuckey enters the game for M. Ellis,,71-80,,
4:00.0,,,71-81,1,G. Hayward makes free throw 2 of 2
3:43.0,P. George misses 2-pt shot from 2 ft,,71-81,,
3:43.0,,,71-81,,Defensive rebound by D. Favors
3:43.0,,,71-81,,Offensive foul by D. Favors
3:43.0,,,71-81,,Turnover by D. Favors (offensive foul)
3:34.0,R. Stuckey makes 3-pt shot from 22 ft (assist by G. Hill),3,74-81,,
3:13.0,,,74-81,,A. Burks misses 2-pt shot from 4 ft
3:13.0,,,74-81,,Offensive rebound by D. Favors
3:13.0,,,74-81,,Shooting foul by R. Stuckey (drawn by D. Favors)
3:13.0,,,74-81,,D. Favors misses free throw 1 of 2
3:13.0,,,74-81,,Offensive rebound by Team
3:13.0,,,74-81,,T. Burke enters the game for R. Neto
3:13.0,,,74-82,1,D. Favors makes free throw 2 of 2
3:01.0,Turnover by R. Stuckey (offensive foul),,74-82,,
3:01.0,Offensive charge foul by R. Stuckey,,74-82,,
2:45.0,,,74-82,,G. Hayward misses 3-pt shot from 24 ft
2:44.0,Defensive rebound by C. Miles,,74-82,,
2:32.0,G. Hill makes 3-pt shot from 23 ft (assist by R. Stuckey),3,77-82,,
2:27.0,,,77-82,,Utah full timeout
2:27.0,C. Budinger enters the game for C. Miles,,77-82,,
2:07.0,,,77-84,2,T. Burke makes 2-pt shot from 2 ft
1:57.0,R. Stuckey misses 2-pt shot from 2 ft,,77-84,,
1:56.0,Offensive rebound by R. Stuckey,,77-84,,
1:54.0,R. Stuckey misses 2-pt shot from 1 ft,,77-84,,
1:52.0,,,77-84,,Defensive rebound by A. Burks
1:44.0,,,77-84,,T. Burke misses 3-pt shot from 24 ft
1:44.0,Defensive rebound by C. Budinger,,77-84,,
1:23.0,G. Hill misses 2-pt shot from 17 ft,,77-84,,
1:22.0,,,77-84,,Defensive rebound by D. Favors
1:07.0,,,77-84,,D. Favors misses 2-pt shot from 2 ft
1:07.0,Defensive rebound by J. Hill,,77-84,,
1:00.0,R. Stuckey makes 2-pt shot from 2 ft,2,79-84,,
0:41.0,,,79-84,,G. Hayward misses 3-pt shot from 24 ft
0:40.0,Defensive rebound by G. Hill,,79-84,,
0:33.0,P. George makes 3-pt shot from 26 ft (assist by G. Hill),3,82-84,,
0:18.0,,,82-84,,Shooting foul by J. Hill (drawn by A. Burks)
0:18.0,,,82-84,,A. Burks misses free throw 1 of 2
0:18.0,,,82-84,,Offensive rebound by Team
0:18.0,,,82-84,,J. Withey enters the game for D. Favors
0:18.0,,,82-84,,E. Millsap enters the game for T. Burke
0:18.0,,,82-84,,A. Burks misses free throw 2 of 2
0:17.0,Defensive rebound by C. Budinger,,82-84,,
0:01.0,Shooting foul by C. Johnson (drawn by P. George),,82-84,,
0:01.0,,,82-84,,T. Booker enters the game for C. Johnson
0:01.0,P. George makes free throw 1 of 3,1,83-84,,
0:01.0,P. George misses free throw 2 of 3,,83-84,,
0:01.0,Offensive rebound by Team,,83-84,,
0:01.0,P. George makes free throw 3 of 3,1,84-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,R. Stuckey misses 2-pt shot from 21 ft,,84-84,,
11:40.0,,,84-84,,Defensive rebound by T. Burke
11:21.0,,,84-86,2,T. Burke makes 2-pt shot from 21 ft
11:06.0,,,84-86,,Personal foul by R. Hood (drawn by C. Budinger)
11:06.0,,,84-86,,E. Millsap enters the game for R. Hood
11:00.0,M. Ellis misses 2-pt shot from 3 ft,,84-86,,
10:59.0,Offensive rebound by J. Hill,,84-86,,
10:56.0,J. Hill makes 2-pt shot from 2 ft,2,86-86,,
10:52.0,,,86-86,,Offensive charge foul by A. Burks
10:52.0,,,86-86,,Turnover by A. Burks (offensive foul)
10:40.0,C. Budinger misses 3-pt shot from 24 ft,,86-86,,
10:39.0,,,86-86,,Defensive rebound by Team
10:26.0,,,86-86,,A. Burks misses 3-pt shot from 23 ft
10:25.0,Defensive rebound by C. Budinger,,86-86,,
10:10.0,M. Ellis makes 2-pt shot from 15 ft,2,88-86,,
9:53.0,,,88-86,,T. Burke misses 2-pt shot from 19 ft
9:52.0,Defensive rebound by L. Allen,,88-86,,
9:40.0,M. Ellis misses 2-pt shot from 17 ft,,88-86,,
9:39.0,,,88-86,,Defensive rebound by T. Booker
9:33.0,,,88-88,2,J. Withey makes 2-pt shot from 2 ft (assist by A. Burks)
9:18.0,Turnover by R. Stuckey (lost ball; steal by E. Millsap),,88-88,,
9:13.0,Personal foul by L. Allen (drawn by A. Burks),,88-88,,
9:13.0,,,88-88,,T. Lyles enters the game for T. Booker
9:13.0,I. Mahinmi enters the game for J. Hill,,88-88,,
9:04.0,,,88-88,,Offensive foul by J. Withey
9:04.0,,,88-88,,Turnover by J. Withey (offensive foul)
8:51.0,M. Ellis misses 2-pt shot from 1 ft,,88-88,,
8:50.0,,,88-88,,Defensive rebound by J. Withey
8:40.0,,,88-88,,Utah full timeout
8:40.0,P. George enters the game for C. Budinger,,88-88,,
8:32.0,,,88-90,2,T. Burke makes 2-pt shot from 16 ft
8:17.0,M. Ellis misses 2-pt shot from 6 ft,,88-90,,
8:16.0,,,88-90,,Defensive rebound by J. Withey
8:11.0,,,88-92,2,E. Millsap makes 2-pt shot from 2 ft (assist by T. Burke)
7:57.0,P. George makes 3-pt shot from 24 ft,3,91-92,,
7:36.0,,,91-92,,A. Burks misses 2-pt shot from 10 ft
7:35.0,,,91-92,,Offensive rebound by A. Burks
7:34.0,,,91-92,,A. Burks misses 2-pt shot from 2 ft
7:34.0,Defensive rebound by L. Allen,,91-92,,
7:34.0,,,91-92,,Loose ball foul by A. Burks (drawn by L. Allen)
7:34.0,,,91-92,,G. Hayward enters the game for A. Burks
7:25.0,,,91-92,,Personal foul by E. Millsap (drawn by P. George)
7:25.0,,,91-92,,D. Favors enters the game for J. Withey
7:10.0,Turnover by Team (shot clock),,91-92,,
6:53.0,,,91-94,2,T. Lyles makes 2-pt shot from 22 ft (assist by T. Burke)
6:43.0,P. George makes 3-pt shot from 24 ft (assist by L. Allen),3,94-94,,
6:19.0,,,94-94,,T. Burke misses 3-pt shot from 25 ft
6:19.0,Defensive rebound by P. George,,94-94,,
6:13.0,R. Stuckey makes 2-pt shot from 2 ft (assist by P. George),2,96-94,,
5:48.0,,,96-94,,T. Burke misses 2-pt shot from 2 ft
5:46.0,,,96-94,,Offensive rebound by D. Favors
5:46.0,,,96-94,,D. Favors misses 2-pt shot from 2 ft
5:45.0,,,96-94,,Offensive rebound by D. Favors
5:41.0,,,96-96,2,D. Favors makes 2-pt shot from 4 ft
5:35.0,Offensive foul by I. Mahinmi,,96-96,,
5:35.0,Turnover by I. Mahinmi (offensive foul),,96-96,,
5:35.0,,,96-96,,Utah full timeout
5:35.0,G. Hill enters the game for I. Mahinmi,,96-96,,
