time,Portland,pts.away,score,pts.home,Chicago
3:09.0,D. Lillard misses 2-pt shot from 1 ft,,14-17,,
3:08.0,,,14-17,,Defensive rebound by B. Portis
2:56.0,,,14-17,,Shooting foul by G. Henderson (drawn by D. McDermott)
2:56.0,Portland full timeout,,14-17,,
2:56.0,,,14-18,1,D. McDermott makes free throw 1 of 2
2:56.0,,,14-18,,D. McDermott misses free throw 2 of 2
2:54.0,Defensive rebound by E. Davis,,14-18,,
2:39.0,G. Henderson misses 2-pt shot from 15 ft,,14-18,,
2:38.0,,,14-18,,Defensive rebound by B. Portis
2:20.0,,,14-18,,E. Moore misses 2-pt shot from 1 ft
2:19.0,Defensive rebound by M. Leonard,,14-18,,
2:09.0,M. Leonard makes 3-pt shot from 24 ft (assist by D. Lillard),3,17-18,,
1:53.0,,,17-18,,D. McDermott misses 2-pt shot from 2 ft
1:51.0,Defensive rebound by G. Henderson,,17-18,,
1:45.0,D. Lillard misses 2-pt shot from 1 ft,,17-18,,
1:43.0,,,17-18,,Defensive rebound by B. Portis
1:27.0,,,17-18,,B. Portis misses 3-pt shot from 25 ft
1:26.0,Defensive rebound by D. Lillard,,17-18,,
1:17.0,D. Lillard makes 2-pt shot from 2 ft,2,19-18,,
1:02.0,,,19-18,,E. Moore misses 2-pt shot from 5 ft
1:01.0,Defensive rebound by E. Davis,,19-18,,
0:49.0,E. Davis misses 2-pt shot from 5 ft,,19-18,,
0:48.0,,,19-18,,Defensive rebound by B. Portis
0:38.0,,,19-20,2,P. Gasol makes 2-pt shot from 8 ft (assist by E. Moore)
0:38.0,,,19-20,,Shooting foul by M. Leonard (drawn by P. Gasol)
0:38.0,,,19-21,1,P. Gasol makes free throw 1 of 1
0:33.0,D. Lillard misses 3-pt shot from 26 ft,,19-21,,
0:32.0,,,19-21,,Defensive rebound by Team
0:10.0,,,19-21,,E. Moore misses 3-pt shot from 22 ft
0:09.0,Defensive rebound by A. Crabbe,,19-21,,
0:01.0,D. Lillard makes 2-pt shot from 2 ft,2,21-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,G. Henderson makes 2-pt shot from 16 ft (assist by C. McCollum),2,23-21,,
11:27.0,,,23-21,,D. McDermott misses 2-pt shot from 22 ft
11:26.0,Defensive rebound by M. Leonard,,23-21,,
11:12.0,C. McCollum misses 2-pt shot from 16 ft,,23-21,,
11:11.0,,,23-21,,Defensive rebound by C. Felicio
10:59.0,,,23-21,,A. Brooks misses 2-pt shot from 8 ft
10:57.0,Defensive rebound by E. Davis,,23-21,,
10:45.0,A. Crabbe misses 3-pt shot from 23 ft,,23-21,,
10:44.0,Offensive rebound by M. Leonard,,23-21,,
10:44.0,Shooting foul by B. Portis (drawn by E. Davis),,23-21,,
10:44.0,E. Davis misses free throw 1 of 2,,23-21,,
10:44.0,Offensive rebound by Team,,23-21,,
10:44.0,E. Davis makes free throw 2 of 2,1,24-21,,
10:38.0,,,24-21,,Offensive foul by A. Brooks
10:38.0,,,24-21,,Turnover by A. Brooks (offensive foul)
10:25.0,G. Henderson makes 2-pt shot from 1 ft (assist by C. McCollum),2,26-21,,
10:04.0,,,26-24,3,A. Brooks makes 3-pt shot from 26 ft (assist by C. Felicio)
9:56.0,,,26-24,,Personal foul by A. Brooks (drawn by G. Henderson)
9:51.0,E. Davis makes 2-pt shot from 1 ft (assist by G. Henderson),2,28-24,,
9:40.0,,,28-26,2,B. Portis makes 2-pt shot from 20 ft (assist by A. Brooks)
9:33.0,,,28-26,,Personal foul by A. Brooks (drawn by C. McCollum)
9:33.0,,,28-26,,E. Moore enters the game for A. Brooks
9:33.0,,,28-26,,T. Gibson enters the game for C. Felicio
9:20.0,M. Leonard makes 2-pt shot from 13 ft (assist by C. McCollum),2,30-26,,
9:10.0,,,30-26,,B. Portis misses 2-pt shot from 3 ft (block by E. Davis)
9:08.0,Defensive rebound by C. McCollum,,30-26,,
9:03.0,A. Crabbe makes 3-pt shot from 22 ft (assist by C. McCollum),3,33-26,,
9:03.0,,,33-26,,Chicago full timeout
9:03.0,,,33-26,,M. Dunleavy enters the game for D. McDermott
8:45.0,,,33-26,,E. Moore misses 2-pt shot from 18 ft
8:44.0,Defensive rebound by M. Leonard,,33-26,,
8:36.0,C. McCollum misses 2-pt shot from 19 ft,,33-26,,
8:35.0,,,33-26,,Defensive rebound by B. Portis
8:31.0,Personal foul by M. Leonard (drawn by T. Gibson),,33-26,,
8:23.0,,,33-26,,M. Dunleavy misses 3-pt shot from 26 ft
8:22.0,,,33-26,,Offensive rebound by B. Portis
8:12.0,,,33-26,,B. Portis misses 2-pt shot from 19 ft
8:11.0,Defensive rebound by E. Davis,,33-26,,
7:55.0,C. McCollum misses 2-pt shot from 3 ft (block by T. Gibson),,33-26,,
7:55.0,Offensive rebound by Team,,33-26,,
7:48.0,C. McCollum misses 3-pt shot from 25 ft,,33-26,,
7:47.0,,,33-26,,Defensive rebound by M. Dunleavy
7:37.0,,,33-26,,T. Gibson misses 2-pt shot from 2 ft (block by E. Davis)
7:35.0,Defensive rebound by A. Crabbe,,33-26,,
7:29.0,Shooting foul by T. Gibson (drawn by C. McCollum),,33-26,,
7:29.0,C. McCollum makes free throw 1 of 2,1,34-26,,
7:29.0,,,34-26,,P. Gasol enters the game for T. Gibson
7:29.0,,,34-26,,D. McDermott enters the game for B. Portis
7:29.0,M. Harkless enters the game for M. Leonard,,34-26,,
7:29.0,C. McCollum makes free throw 2 of 2,1,35-26,,
7:26.0,,,35-26,,Turnover by P. Gasol (bad pass; steal by E. Davis)
7:23.0,E. Davis makes 2-pt shot at rim,2,37-26,,
7:05.0,Violation by G. Henderson (def goaltending),,37-26,,
7:05.0,,,37-28,2,P. Gasol makes 2-pt shot from 7 ft
6:49.0,G. Henderson misses 2-pt shot from 13 ft,,37-28,,
6:46.0,,,37-28,,Defensive rebound by M. Dunleavy
6:43.0,Personal foul by C. McCollum (drawn by J. Holiday),,37-28,,
6:36.0,,,37-30,2,D. McDermott makes 2-pt shot from 1 ft (assist by P. Gasol)
6:18.0,M. Harkless misses 3-pt shot from 22 ft,,37-30,,
6:17.0,Offensive rebound by E. Davis,,37-30,,
6:12.0,A. Crabbe makes 2-pt shot from 19 ft (assist by E. Davis),2,39-30,,
6:01.0,,,39-30,,M. Dunleavy misses 3-pt shot from 26 ft
6:00.0,,,39-30,,Offensive rebound by P. Gasol
5:54.0,,,39-30,,E. Moore misses 2-pt shot from 7 ft
5:53.0,Defensive rebound by C. McCollum,,39-30,,
5:50.0,Turnover by C. McCollum (bad pass; steal by D. McDermott),,39-30,,
5:42.0,,,39-30,,M. Dunleavy misses 3-pt shot from 25 ft
5:41.0,Defensive rebound by G. Henderson,,39-30,,
5:29.0,G. Henderson misses 2-pt shot from 16 ft,,39-30,,
5:28.0,,,39-30,,Defensive rebound by E. Moore
5:17.0,,,39-30,,D. McDermott misses 3-pt shot from 24 ft
5:16.0,Defensive rebound by M. Harkless,,39-30,,
5:10.0,C. McCollum misses 3-pt shot from 24 ft,,39-30,,
5:09.0,,,39-30,,Defensive rebound by J. Holiday
4:58.0,,,39-30,,Chicago full timeout
4:58.0,,,39-30,,T. Snell enters the game for J. Holiday
4:58.0,D. Lillard enters the game for C. McCollum,,39-30,,
4:58.0,M. Plumlee enters the game for G. Henderson,,39-30,,
4:58.0,A. Aminu enters the game for E. Davis,,39-30,,
4:53.0,,,39-32,2,D. McDermott makes 2-pt shot from 7 ft (assist by P. Gasol)
4:35.0,M. Harkless misses 3-pt shot from 23 ft,,39-32,,
4:33.0,,,39-32,,Defensive rebound by E. Moore
4:23.0,,,39-32,,Turnover by M. Dunleavy (bad pass; steal by A. Crabbe)
4:19.0,A. Crabbe misses 2-pt shot from 1 ft,,39-32,,
4:18.0,Offensive rebound by M. Harkless,,39-32,,
4:18.0,M. Harkless makes 2-pt shot at rim,2,41-32,,
4:05.0,,,41-34,2,P. Gasol makes 2-pt shot from 18 ft (assist by M. Dunleavy)
3:49.0,A. Crabbe makes 2-pt shot from 19 ft (assist by M. Plumlee),2,43-34,,
3:36.0,,,43-34,,T. Snell misses 2-pt shot from 10 ft
3:35.0,Defensive rebound by D. Lillard,,43-34,,
3:28.0,D. Lillard makes 2-pt shot from 8 ft,2,45-34,,
3:09.0,,,45-34,,E. Moore misses 2-pt shot from 6 ft
3:08.0,Defensive rebound by M. Plumlee,,45-34,,
3:03.0,,,45-34,,Personal foul by D. McDermott (drawn by M. Plumlee)
3:03.0,M. Plumlee makes free throw 1 of 2,1,46-34,,
3:03.0,M. Plumlee makes free throw 2 of 2,1,47-34,,
2:55.0,Personal foul by D. Lillard (drawn by E. Moore),,47-34,,
2:55.0,Portland full timeout,,47-34,,
2:51.0,,,47-34,,M. Dunleavy misses 3-pt shot from 24 ft
2:50.0,Defensive rebound by M. Plumlee,,47-34,,
2:39.0,M. Plumlee makes 2-pt shot from 17 ft (assist by M. Harkless),2,49-34,,
2:21.0,,,49-34,,Turnover by P. Gasol (traveling)
2:02.0,A. Crabbe misses 2-pt shot from 18 ft (block by P. Gasol),,49-34,,
2:01.0,,,49-34,,Defensive rebound by M. Dunleavy
1:55.0,,,49-36,2,E. Moore makes 2-pt shot from 2 ft (assist by M. Dunleavy)
1:40.0,D. Lillard makes 2-pt shot from 1 ft,2,51-36,,
1:26.0,,,51-39,3,M. Dunleavy makes 3-pt shot from 25 ft (assist by P. Gasol)
1:01.0,Offensive charge foul by M. Plumlee,,51-39,,
1:01.0,Turnover by M. Plumlee (offensive foul),,51-39,,
1:01.0,C. McCollum enters the game for A. Crabbe,,51-39,,
0:40.0,,,51-39,,P. Gasol misses 2-pt shot from 1 ft
0:38.0,Defensive rebound by A. Aminu,,51-39,,
0:30.0,D. Lillard misses 3-pt shot from 26 ft,,51-39,,
0:28.0,,,51-39,,Defensive rebound by P. Gasol
0:22.0,,,51-39,,Shooting foul by M. Plumlee (drawn by P. Gasol)
0:22.0,,,51-40,1,P. Gasol makes free throw 1 of 2
0:22.0,,,51-40,,T. Gibson enters the game for D. McDermott
0:22.0,,,51-40,,J. Holiday enters the game for M. Dunleavy
0:22.0,,,51-41,1,P. Gasol makes free throw 2 of 2
0:22.0,Portland full timeout,,51-41,,
0:22.0,M. Leonard enters the game for M. Plumlee,,51-41,,
0:22.0,A. Crabbe enters the game for M. Harkless,,51-41,,
0:22.0,,,51-41,,B. Portis enters the game for P. Gasol
0:02.0,C. McCollum misses 2-pt shot from 2 ft,,51-41,,
0:01.0,,,51-41,,Defensive rebound by E. Moore
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,C. McCollum makes 2-pt shot from 16 ft,2,53-41,,
11:50.0,,,53-41,,Away from play foul by P. Gasol (drawn by M. Plumlee)
11:50.0,M. Plumlee misses free throw 1 of 1,,53-41,,
11:48.0,,,53-41,,Defensive rebound by P. Gasol
11:38.0,Personal foul by A. Aminu (drawn by M. Dunleavy),,53-41,,
11:24.0,,,53-43,2,E. Moore makes 2-pt shot from 20 ft
10:59.0,A. Aminu misses 2-pt shot from 13 ft,,53-43,,
10:58.0,,,53-43,,Defensive rebound by P. Gasol
10:47.0,,,53-45,2,T. Gibson makes 2-pt shot from 17 ft (assist by T. Snell)
10:31.0,C. McCollum misses 2-pt shot from 1 ft,,53-45,,
10:30.0,Offensive rebound by C. McCollum,,53-45,,
10:30.0,Shooting foul by P. Gasol (drawn by C. McCollum),,53-45,,
10:30.0,C. McCollum makes free throw 1 of 2,1,54-45,,
10:30.0,C. McCollum makes free throw 2 of 2,1,55-45,,
10:14.0,Personal foul by A. Aminu (drawn by M. Dunleavy),,55-45,,
10:10.0,,,55-47,2,E. Moore makes 2-pt shot from 7 ft (assist by M. Dunleavy)
9:55.0,N. Vonleh misses 2-pt shot from 2 ft (block by T. Gibson),,55-47,,
9:53.0,Offensive rebound by A. Aminu,,55-47,,
9:50.0,A. Aminu makes 2-pt shot from 2 ft,2,57-47,,
9:25.0,,,57-49,2,E. Moore makes 2-pt shot from 15 ft
9:20.0,Shooting foul by T. Gibson (drawn by M. Plumlee),,57-49,,
9:20.0,M. Plumlee makes free throw 1 of 2,1,58-49,,
9:20.0,M. Plumlee makes free throw 2 of 2,1,59-49,,
9:08.0,,,59-49,,T. Gibson misses 2-pt shot from 3 ft
9:07.0,,,59-49,,Offensive rebound by T. Snell
9:03.0,,,59-51,2,P. Gasol makes 2-pt shot from 17 ft (assist by T. Snell)
8:38.0,N. Vonleh makes 3-pt shot from 23 ft (assist by D. Lillard),3,62-51,,
8:17.0,,,62-51,,Turnover by M. Dunleavy (bad pass; steal by M. Plumlee)
8:13.0,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard),2,64-51,,
7:52.0,,,64-51,,T. Snell misses 3-pt shot from 22 ft
7:52.0,Defensive rebound by Team,,64-51,,
7:38.0,A. Aminu misses 3-pt shot from 26 ft,,64-51,,
7:37.0,,,64-51,,Defensive rebound by P. Gasol
7:27.0,,,64-53,2,P. Gasol makes 2-pt shot from 16 ft (assist by M. Dunleavy)
7:09.0,D. Lillard misses 3-pt shot from 26 ft,,64-53,,
7:07.0,,,64-53,,Defensive rebound by M. Dunleavy
6:59.0,,,64-55,2,E. Moore makes 2-pt shot from 1 ft
6:39.0,D. Lillard makes 2-pt shot from 1 ft (assist by M. Plumlee),2,66-55,,
6:39.0,Shooting foul by E. Moore (drawn by D. Lillard),,66-55,,
6:39.0,D. Lillard makes free throw 1 of 1,1,67-55,,
6:29.0,,,67-57,2,M. Dunleavy makes 2-pt shot from 2 ft (assist by P. Gasol)
6:14.0,N. Vonleh makes 2-pt shot at rim (assist by D. Lillard),2,69-57,,
6:14.0,Shooting foul by T. Gibson (drawn by N. Vonleh),,69-57,,
6:14.0,,,69-57,,B. Portis enters the game for T. Gibson
6:14.0,N. Vonleh misses free throw 1 of 1,,69-57,,
6:12.0,,,69-57,,Defensive rebound by P. Gasol
5:53.0,,,69-59,2,E. Moore makes 2-pt shot from 5 ft (assist by P. Gasol)
5:41.0,D. Lillard misses 2-pt shot from 5 ft (block by B. Portis),,69-59,,
5:39.0,,,69-59,,Defensive rebound by B. Portis
5:31.0,,,69-61,2,E. Moore makes 2-pt shot from 2 ft (assist by P. Gasol)
5:30.0,Portland full timeout,,69-61,,
5:30.0,,,69-61,,D. McDermott enters the game for M. Dunleavy
5:30.0,A. Crabbe enters the game for N. Vonleh,,69-61,,
5:29.0,M. Leonard enters the game for C. McCollum,,69-61,,
5:11.0,M. Leonard misses 2-pt shot from 15 ft,,69-61,,
5:08.0,,,69-61,,Defensive rebound by P. Gasol
4:58.0,,,69-63,2,B. Portis makes 2-pt shot from 19 ft (assist by P. Gasol)
4:41.0,D. Lillard misses 2-pt shot from 3 ft,,69-63,,
4:41.0,Offensive rebound by Team,,69-63,,
4:41.0,G. Henderson enters the game for A. Aminu,,69-63,,
4:35.0,G. Henderson makes 2-pt shot from 19 ft (assist by A. Crabbe),2,71-63,,
4:18.0,,,71-63,,B. Portis misses 2-pt shot from 10 ft
4:17.0,Defensive rebound by M. Leonard,,71-63,,
4:02.0,G. Henderson misses 2-pt shot from 9 ft,,71-63,,
4:00.0,Offensive rebound by M. Plumlee,,71-63,,
3:58.0,M. Leonard misses 3-pt shot from 26 ft,,71-63,,
3:57.0,,,71-63,,Defensive rebound by D. McDermott
3:42.0,,,71-63,,E. Moore misses 2-pt shot from 22 ft
3:41.0,Defensive rebound by Team,,71-63,,
3:41.0,E. Davis enters the game for M. Plumlee,,71-63,,
3:21.0,D. Lillard misses 2-pt shot from 16 ft,,71-63,,
3:20.0,,,71-63,,Defensive rebound by B. Portis
3:07.0,,,71-63,,P. Gasol misses 2-pt shot from 16 ft
3:06.0,,,71-63,,Offensive rebound by B. Portis
3:06.0,,,71-63,,B. Portis misses 2-pt shot from 1 ft
3:05.0,,,71-63,,Offensive rebound by B. Portis
3:05.0,,,71-63,,B. Portis misses 2-pt shot from 1 ft
3:04.0,Defensive rebound by M. Leonard,,71-63,,
2:57.0,D. Lillard misses 2-pt shot from 4 ft,,71-63,,
2:56.0,,,71-63,,Defensive rebound by B. Portis
2:43.0,,,71-65,2,D. McDermott makes 2-pt shot from 17 ft (assist by B. Portis)
2:23.0,E. Davis misses 2-pt shot from 4 ft (block by P. Gasol),,71-65,,
2:21.0,,,71-65,,Defensive rebound by P. Gasol
2:13.0,,,71-65,,T. Snell misses 2-pt shot from 18 ft
2:12.0,,,71-65,,Offensive rebound by T. Snell
2:09.0,,,71-68,3,E. Moore makes 3-pt shot from 22 ft (assist by T. Snell)
1:49.0,D. Lillard makes 2-pt shot from 1 ft,2,73-68,,
1:42.0,,,73-68,,Chicago full timeout
1:42.0,,,73-68,,A. Brooks enters the game for E. Moore
1:42.0,C. McCollum enters the game for D. Lillard,,73-68,,
1:35.0,,,73-68,,D. McDermott misses 3-pt shot from 26 ft
1:34.0,Defensive rebound by M. Leonard,,73-68,,
1:16.0,G. Henderson makes 2-pt shot from 15 ft,2,75-68,,
1:03.0,,,75-70,2,B. Portis makes 2-pt shot from 2 ft (assist by T. Snell)
0:53.0,A. Crabbe misses 2-pt shot from 8 ft,,75-70,,
0:52.0,Offensive rebound by E. Davis,,75-70,,
0:51.0,E. Davis makes 2-pt shot from 2 ft,2,77-70,,
0:31.0,,,77-70,,A. Brooks misses 2-pt shot from 1 ft
0:30.0,Defensive rebound by E. Davis,,77-70,,
0:15.0,A. Crabbe makes 2-pt shot from 1 ft (assist by C. McCollum),2,79-70,,
0:03.0,,,79-73,3,D. McDermott makes 3-pt shot from 23 ft (assist by A. Brooks)
0:00.0,C. McCollum misses 3-pt shot from 41 ft,,79-73,,
0:00.0,Offensive rebound by Team,,79-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,79-73,,D. McDermott misses 2-pt shot from 3 ft
11:41.0,,,79-73,,Offensive rebound by B. Portis
11:39.0,,,79-75,2,B. Portis makes 2-pt shot from 1 ft
11:26.0,G. Henderson misses 2-pt shot from 21 ft,,79-75,,
11:25.0,,,79-75,,Defensive rebound by T. Gibson
11:16.0,,,79-75,,A. Brooks misses 2-pt shot from 5 ft
11:15.0,Defensive rebound by G. Henderson,,79-75,,
11:10.0,G. Henderson makes 2-pt shot from 1 ft,2,81-75,,
10:49.0,,,81-75,,A. Brooks misses 2-pt shot from 16 ft
10:49.0,Defensive rebound by Team,,81-75,,
10:36.0,G. Henderson misses 3-pt shot from 24 ft,,81-75,,
10:34.0,,,81-75,,Defensive rebound by T. Gibson
10:30.0,,,81-75,,D. McDermott misses 2-pt shot at rim (block by E. Davis)
10:28.0,Defensive rebound by E. Davis,,81-75,,
10:20.0,M. Leonard makes 3-pt shot from 24 ft (assist by C. McCollum),3,84-75,,
10:20.0,,,84-75,,Chicago full timeout
9:55.0,,,84-75,,Turnover by A. Brooks (bad pass; steal by E. Davis)
9:40.0,Turnover by C. McCollum (bad pass; steal by A. Brooks),,84-75,,
9:29.0,,,84-75,,J. Holiday misses 3-pt shot from 25 ft
9:28.0,Defensive rebound by M. Leonard,,84-75,,
9:12.0,A. Crabbe makes 2-pt shot from 19 ft (assist by C. McCollum),2,86-75,,
8:45.0,,,86-78,3,A. Brooks makes 3-pt shot from 24 ft (assist by B. Portis)
8:30.0,C. McCollum misses 3-pt shot from 24 ft,,86-78,,
8:29.0,,,86-78,,Defensive rebound by B. Portis
8:21.0,,,86-78,,A. Brooks misses 3-pt shot from 25 ft
8:20.0,Defensive rebound by E. Davis,,86-78,,
8:10.0,A. Crabbe misses 3-pt shot from 23 ft,,86-78,,
8:09.0,,,86-78,,Defensive rebound by B. Portis
7:59.0,,,86-80,2,B. Portis makes 2-pt shot from 21 ft (assist by A. Brooks)
7:37.0,Turnover by C. McCollum (3 sec),,86-80,,
7:18.0,Personal foul by M. Leonard (drawn by B. Portis),,86-80,,
7:18.0,D. Lillard enters the game for C. McCollum,,86-80,,
7:15.0,,,86-80,,Shooting foul by A. Crabbe (drawn by D. McDermott)
7:15.0,,,86-81,1,D. McDermott makes free throw 1 of 3
7:15.0,,,86-82,1,D. McDermott makes free throw 2 of 3
7:15.0,,,86-83,1,D. McDermott makes free throw 3 of 3
6:53.0,G. Henderson makes 3-pt shot from 23 ft,3,89-83,,
6:40.0,,,89-83,,D. McDermott misses 2-pt shot from 1 ft
6:40.0,Defensive rebound by Team,,89-83,,
6:40.0,M. Plumlee enters the game for M. Leonard,,89-83,,
6:25.0,,,89-83,,Personal foul by T. Gibson (drawn by M. Plumlee)
6:25.0,,,89-83,,P. Gasol enters the game for T. Gibson
6:25.0,,,89-83,,M. Dunleavy enters the game for D. McDermott
6:25.0,,,89-83,,T. Snell enters the game for J. Holiday
6:25.0,,,89-83,,E. Moore enters the game for A. Brooks
6:20.0,D. Lillard makes 2-pt shot from 12 ft,2,91-83,,
6:20.0,Shooting foul by T. Snell (drawn by D. Lillard),,91-83,,
6:20.0,D. Lillard makes free throw 1 of 1,1,92-83,,
6:02.0,,,92-83,,B. Portis misses 2-pt shot from 21 ft
6:01.0,Defensive rebound by A. Crabbe,,92-83,,
5:53.0,G. Henderson misses 2-pt shot from 21 ft,,92-83,,
5:52.0,,,92-83,,Defensive rebound by P. Gasol
5:46.0,,,92-83,,E. Moore misses 2-pt shot from 19 ft
5:43.0,Defensive rebound by G. Henderson,,92-83,,
5:28.0,D. Lillard misses 2-pt shot from 20 ft,,92-83,,
5:27.0,,,92-83,,Defensive rebound by P. Gasol
5:15.0,,,92-83,,E. Moore misses 2-pt shot from 3 ft (block by E. Davis)
5:15.0,Defensive rebound by Team,,92-83,,
5:15.0,Portland full timeout,,92-83,,
5:15.0,,,92-83,,D. McDermott enters the game for T. Snell
4:57.0,E. Davis makes 2-pt shot from 1 ft (assist by G. Henderson),2,94-83,,
4:39.0,,,94-85,2,P. Gasol makes 2-pt shot from 2 ft (assist by E. Moore)
4:18.0,Turnover by M. Plumlee (offensive goaltending),,94-85,,
4:08.0,,,94-87,2,E. Moore makes 2-pt shot from 1 ft
3:46.0,D. Lillard makes 2-pt shot from 10 ft (assist by A. Crabbe),2,96-87,,
3:35.0,,,96-90,3,M. Dunleavy makes 3-pt shot from 23 ft (assist by P. Gasol)
3:22.0,Turnover by D. Lillard (lost ball),,96-90,,
3:11.0,,,96-90,,Turnover by E. Moore (bad pass; steal by E. Davis)
3:09.0,Shooting foul by M. Dunleavy (drawn by M. Plumlee),,96-90,,
3:09.0,M. Plumlee makes free throw 1 of 2,1,97-90,,
3:09.0,M. Plumlee makes free throw 2 of 2,1,98-90,,
2:57.0,,,98-92,2,P. Gasol makes 2-pt shot from 18 ft (assist by E. Moore)
2:56.0,Portland full timeout,,98-92,,
