time,Utah,pts.away,score,pts.home,Houston
6:31.0,Shooting foul by C. Capela (drawn by J. Withey),,31-31,,
6:31.0,J. Withey makes free throw 1 of 2,1,32-31,,
6:31.0,,,32-31,,J. Terry enters the game for P. Beverley
6:31.0,R. Neto enters the game for J. Ingles,,32-31,,
6:31.0,G. Hayward enters the game for T. Burke,,32-31,,
6:31.0,J. Withey makes free throw 2 of 2,1,33-31,,
6:18.0,,,33-31,,T. Ariza misses 3-pt shot from 22 ft
6:17.0,Defensive rebound by R. Hood,,33-31,,
6:05.0,T. Lyles makes 2-pt shot at rim (assist by R. Neto),2,35-31,,
5:40.0,,,35-31,,J. Harden misses 3-pt shot from 22 ft
5:38.0,Defensive rebound by Team,,35-31,,
5:38.0,Official timeout,,35-31,,
5:38.0,,,35-31,,C. Brewer enters the game for T. Jones
5:15.0,T. Lyles makes 2-pt shot from 13 ft (assist by G. Hayward),2,37-31,,
5:00.0,,,37-33,2,J. Terry makes 2-pt shot from 8 ft
4:47.0,Offensive foul by T. Lyles,,37-33,,
4:47.0,Turnover by T. Lyles (offensive foul),,37-33,,
4:47.0,C. Johnson enters the game for R. Hood,,37-33,,
4:47.0,J. Ingles enters the game for T. Lyles,,37-33,,
4:34.0,,,37-35,2,J. Harden makes 2-pt shot from 2 ft
4:11.0,J. Ingles makes 3-pt shot from 24 ft (assist by J. Withey),3,40-35,,
4:00.0,,,40-35,,J. Harden misses 2-pt shot from 3 ft
4:00.0,,,40-35,,Offensive rebound by C. Capela
4:00.0,,,40-35,,Shooting foul by C. Johnson (drawn by C. Capela)
4:00.0,,,40-36,1,C. Capela makes free throw 1 of 2
4:00.0,R. Hood enters the game for C. Johnson,,40-36,,
4:00.0,,,40-37,1,C. Capela makes free throw 2 of 2
3:47.0,Shooting foul by C. Brewer (drawn by R. Hood),,40-37,,
3:47.0,R. Hood makes free throw 1 of 2,1,41-37,,
3:47.0,R. Hood makes free throw 2 of 2,1,42-37,,
3:37.0,,,42-37,,J. Harden misses 2-pt shot from 2 ft (block by J. Withey)
3:36.0,Defensive rebound by R. Neto,,42-37,,
3:28.0,J. Ingles makes 2-pt shot from 2 ft (assist by R. Neto),2,44-37,,
3:23.0,,,44-37,,Houston full timeout
3:23.0,T. Burke enters the game for R. Neto,,44-37,,
3:23.0,,,44-37,,M. Thornton enters the game for C. Brewer
3:08.0,,,44-37,,J. Terry misses 2-pt shot from 14 ft
3:07.0,,,44-37,,Offensive rebound by C. Capela
3:00.0,,,44-37,,C. Capela misses 2-pt shot from 1 ft
2:59.0,,,44-37,,Offensive rebound by T. Ariza
2:59.0,,,44-37,,T. Ariza misses 2-pt shot from 1 ft
2:58.0,Defensive rebound by J. Withey,,44-37,,
2:33.0,T. Burke misses 2-pt shot from 18 ft,,44-37,,
2:32.0,Offensive rebound by J. Ingles,,44-37,,
2:31.0,Turnover by J. Ingles (step out of bounds),,44-37,,
2:31.0,,,44-37,,P. Beverley enters the game for J. Terry
2:17.0,,,44-37,,M. Thornton misses 2-pt shot from 7 ft
2:16.0,Defensive rebound by J. Withey,,44-37,,
2:08.0,,,44-37,,Personal foul by T. Ariza (drawn by J. Withey)
2:08.0,,,44-37,,T. Jones enters the game for C. Capela
2:00.0,T. Burke misses 3-pt shot from 25 ft,,44-37,,
1:59.0,,,44-37,,Defensive rebound by T. Ariza
1:49.0,,,44-37,,Turnover by J. Harden (bad pass)
1:49.0,T. Booker enters the game for J. Ingles,,44-37,,
1:32.0,Turnover by T. Burke (bad pass; steal by T. Ariza),,44-37,,
1:27.0,,,44-37,,T. Ariza misses 2-pt shot from 2 ft
1:26.0,Defensive rebound by T. Burke,,44-37,,
1:11.0,R. Hood misses 3-pt shot from 23 ft,,44-37,,
1:10.0,,,44-37,,Defensive rebound by J. Harden
1:06.0,J. Ingles enters the game for J. Withey,,44-37,,
0:53.0,,,44-37,,T. Jones misses 2-pt shot from 8 ft
0:51.0,,,44-37,,Offensive rebound by J. Harden
0:51.0,,,44-37,,J. Harden misses 2-pt shot at rim
0:50.0,,,44-37,,Offensive rebound by J. Harden
0:50.0,,,44-39,2,J. Harden makes 2-pt shot at rim
0:37.0,R. Hood misses 3-pt shot from 22 ft,,44-39,,
0:36.0,,,44-39,,Defensive rebound by T. Ariza
0:28.0,,,44-39,,T. Ariza misses 3-pt shot from 24 ft
0:27.0,Defensive rebound by J. Ingles,,44-39,,
0:02.0,G. Hayward misses 2-pt shot from 13 ft (block by T. Ariza),,44-39,,
0:01.0,,,44-39,,Defensive rebound by M. Thornton
0:00.0,,,44-39,,M. Thornton misses 3-pt shot from 46 ft
0:00.0,,,44-39,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:34.0,G. Hayward makes 2-pt shot from 16 ft (assist by R. Hood),2,46-39,,
11:19.0,,,46-39,,J. Harden misses 3-pt shot from 24 ft
11:17.0,,,46-39,,Offensive rebound by C. Capela
11:13.0,,,46-39,,T. Ariza misses 3-pt shot from 24 ft
11:13.0,Defensive rebound by J. Withey,,46-39,,
10:58.0,T. Lyles misses 2-pt shot from 18 ft,,46-39,,
10:58.0,,,46-39,,Defensive rebound by Team
10:46.0,,,46-39,,C. Capela misses 2-pt shot from 6 ft (block by R. Hood)
10:46.0,,,46-39,,Offensive rebound by Team
10:44.0,,,46-41,2,T. Jones makes 2-pt shot at rim (assist by T. Ariza)
10:38.0,,,46-41,,Personal foul by P. Beverley (drawn by R. Neto)
10:19.0,J. Withey makes 2-pt shot from 2 ft (assist by R. Neto),2,48-41,,
9:59.0,,,48-44,3,P. Beverley makes 3-pt shot from 24 ft (assist by T. Jones)
9:39.0,,,48-44,,Personal foul by P. Beverley (drawn by R. Neto)
9:31.0,Turnover by R. Hood (bad pass; steal by C. Capela),,48-44,,
9:27.0,Violation by R. Hood (kicked ball),,48-44,,
9:20.0,,,48-44,,T. Ariza misses 2-pt shot from 17 ft
9:17.0,Defensive rebound by R. Hood,,48-44,,
8:53.0,R. Hood misses 3-pt shot from 23 ft,,48-44,,
8:52.0,,,48-44,,Defensive rebound by J. Harden
8:47.0,,,48-46,2,J. Harden makes 2-pt shot at rim
8:37.0,Utah full timeout,,48-46,,
8:37.0,C. Johnson enters the game for R. Hood,,48-46,,
8:28.0,Turnover by R. Neto (bad pass; steal by J. Harden),,48-46,,
8:23.0,,,48-48,2,J. Harden makes 2-pt shot from 2 ft
8:08.0,G. Hayward misses 3-pt shot from 24 ft,,48-48,,
8:07.0,,,48-48,,Defensive rebound by C. Capela
8:00.0,,,48-48,,J. Harden misses 3-pt shot from 23 ft
7:59.0,,,48-48,,Offensive rebound by P. Beverley
7:56.0,,,48-50,2,P. Beverley makes 2-pt shot from 5 ft
7:36.0,T. Lyles makes 2-pt shot from 1 ft (assist by G. Hayward),2,50-50,,
7:21.0,,,50-52,2,J. Harden makes 2-pt shot from 3 ft
6:55.0,R. Neto makes 3-pt shot from 23 ft (assist by C. Johnson),3,53-52,,
6:36.0,,,53-54,2,P. Beverley makes 2-pt shot from 11 ft
6:18.0,,,53-54,,Personal foul by P. Beverley (drawn by R. Neto)
6:18.0,R. Gobert enters the game for J. Withey,,53-54,,
6:18.0,T. Burke enters the game for R. Neto,,53-54,,
6:18.0,,,53-54,,J. Terry enters the game for P. Beverley
6:18.0,,,53-54,,M. Harrell enters the game for C. Capela
6:02.0,C. Johnson makes 2-pt shot from 19 ft (assist by G. Hayward),2,55-54,,
5:46.0,,,55-54,,Turnover by J. Harden (bad pass; steal by G. Hayward)
5:41.0,C. Johnson misses 2-pt shot from 2 ft (block by J. Harden),,55-54,,
5:40.0,,,55-54,,Defensive rebound by J. Harden
5:33.0,,,55-57,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
5:15.0,T. Burke misses 2-pt shot from 19 ft,,55-57,,
5:14.0,,,55-57,,Defensive rebound by J. Terry
5:03.0,,,55-57,,Shooting foul by C. Johnson (drawn by J. Harden)
5:03.0,,,55-58,1,J. Harden makes free throw 1 of 2
5:03.0,T. Booker enters the game for T. Lyles,,55-58,,
5:03.0,J. Ingles enters the game for C. Johnson,,55-58,,
5:03.0,,,55-59,1,J. Harden makes free throw 2 of 2
4:47.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,57-59,,
4:31.0,,,57-61,2,T. Jones makes 2-pt shot from 1 ft (assist by M. Harrell)
4:12.0,T. Booker makes 2-pt shot at rim (assist by T. Burke),2,59-61,,
3:59.0,,,59-63,2,J. Harden makes 2-pt shot from 17 ft
3:44.0,G. Hayward makes 2-pt shot from 13 ft,2,61-63,,
3:44.0,Shooting foul by T. Ariza (drawn by G. Hayward),,61-63,,
3:44.0,,,61-63,,C. Capela enters the game for T. Jones
3:44.0,,,61-63,,C. Brewer enters the game for T. Ariza
3:44.0,G. Hayward misses free throw 1 of 1,,61-63,,
3:44.0,,,61-63,,Defensive rebound by M. Harrell
3:24.0,,,61-63,,J. Harden misses 3-pt shot from 25 ft
3:23.0,,,61-63,,Offensive rebound by C. Capela
3:20.0,,,61-63,,Turnover by J. Terry (bad pass)
2:58.0,T. Burke misses 3-pt shot from 26 ft,,61-63,,
2:57.0,,,61-63,,Defensive rebound by C. Brewer
2:51.0,,,61-66,3,J. Terry makes 3-pt shot from 25 ft
2:34.0,R. Gobert misses 2-pt shot from 4 ft,,61-66,,
2:33.0,,,61-66,,Defensive rebound by C. Capela
2:26.0,,,61-66,,J. Harden misses 3-pt shot from 23 ft
2:25.0,Defensive rebound by T. Booker,,61-66,,
2:16.0,Turnover by G. Hayward (lost ball; steal by M. Harrell),,61-66,,
2:11.0,,,61-68,2,M. Harrell makes 2-pt shot at rim (assist by C. Brewer)
1:58.0,Shooting foul by M. Harrell (drawn by T. Burke),,61-68,,
1:58.0,,,61-68,,Houston full timeout
1:58.0,T. Lyles enters the game for R. Gobert,,61-68,,
1:58.0,,,61-68,,M. Thornton enters the game for J. Harden
1:58.0,,,61-68,,Violation by Team (delay of game)
1:58.0,T. Burke makes free throw 1 of 2,1,62-68,,
1:58.0,T. Burke misses free throw 2 of 2,,62-68,,
1:58.0,,,62-68,,Defensive rebound by C. Brewer
1:45.0,,,62-70,2,J. Terry makes 2-pt shot from 1 ft
1:26.0,T. Lyles misses 3-pt shot from 23 ft,,62-70,,
1:25.0,,,62-70,,Defensive rebound by C. Brewer
1:07.0,,,62-70,,M. Thornton misses 3-pt shot from 24 ft
1:06.0,Defensive rebound by T. Lyles,,62-70,,
0:57.0,G. Hayward misses 3-pt shot from 24 ft,,62-70,,
0:56.0,,,62-70,,Defensive rebound by M. Thornton
0:55.0,,,62-70,,Turnover by M. Thornton (lost ball; steal by T. Lyles)
0:47.0,T. Lyles makes 2-pt shot from 1 ft (assist by T. Burke),2,64-70,,
0:47.0,Shooting foul by J. Terry (drawn by T. Lyles),,64-70,,
0:47.0,C. Johnson enters the game for G. Hayward,,64-70,,
0:47.0,,,64-70,,J. Harden enters the game for C. Capela
0:47.0,Violation by Team (double lane),,64-70,,
0:44.0,Jump ball: M. Harrell vs. T. Lyles (T. Booker gains possession),,,,Jump ball: M. Harrell vs. T. Lyles (T. Booker gains possession)
0:33.0,Turnover by J. Ingles (bad pass; steal by M. Thornton),,64-70,,
0:31.0,,,64-70,,Shooting foul by T. Burke (drawn by M. Thornton)
0:31.0,,,64-71,1,M. Thornton makes free throw 1 of 2
0:31.0,,,64-71,,T. Ariza enters the game for J. Terry
0:31.0,,,64-71,,M. Thornton misses free throw 2 of 2
0:31.0,Defensive rebound by T. Booker,,64-71,,
0:19.0,T. Burke misses 2-pt shot from 1 ft,,64-71,,
0:19.0,Offensive rebound by T. Booker,,64-71,,
0:19.0,T. Booker makes 2-pt shot at rim,2,66-71,,
0:16.0,Personal take foul by T. Booker (drawn by M. Harrell),,66-71,,
0:16.0,,,66-72,1,M. Harrell makes free throw 1 of 2
0:16.0,G. Hayward enters the game for T. Booker,,66-72,,
0:16.0,,,66-72,,M. Harrell misses free throw 2 of 2
0:16.0,Defensive rebound by T. Lyles,,66-72,,
0:02.0,T. Burke misses 2-pt shot from 18 ft,,66-72,,
0:01.0,,,66-72,,Defensive rebound by T. Ariza
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,66-74,2,T. Jones makes 2-pt shot from 16 ft (assist by J. Terry)
11:22.0,C. Johnson misses 3-pt shot from 25 ft,,66-74,,
11:21.0,Offensive rebound by T. Booker,,66-74,,
11:21.0,T. Booker misses 2-pt shot at rim,,66-74,,
11:20.0,Offensive rebound by T. Burke,,66-74,,
11:19.0,T. Burke makes 2-pt shot from 14 ft,2,68-74,,
11:03.0,,,68-74,,Turnover by J. Terry (bad pass; steal by T. Booker)
10:46.0,Turnover by T. Booker (bad pass; steal by M. Thornton),,68-74,,
10:46.0,,,68-74,,Turnover by M. Thornton (bad pass)
10:24.0,C. Johnson misses 2-pt shot from 18 ft,,68-74,,
10:23.0,,,68-74,,Defensive rebound by J. Terry
10:05.0,,,68-74,,Turnover by M. Harrell (lost ball)
9:47.0,T. Booker makes 2-pt shot at rim (assist by T. Lyles),2,70-74,,
9:31.0,,,70-77,3,M. Thornton makes 3-pt shot from 23 ft (assist by J. Terry)
9:08.0,C. Johnson makes 2-pt shot from 16 ft (assist by T. Lyles),2,72-77,,
8:44.0,,,72-80,3,J. Terry makes 3-pt shot from 23 ft (assist by T. Jones)
8:26.0,T. Booker makes 2-pt shot from 2 ft (assist by J. Ingles),2,74-80,,
8:03.0,,,74-82,2,J. Terry makes 2-pt shot from 12 ft
7:56.0,Utah full timeout,,74-82,,
7:56.0,R. Neto enters the game for T. Booker,,74-82,,
7:56.0,R. Gobert enters the game for T. Burke,,74-82,,
7:56.0,,,74-82,,T. Ariza enters the game for T. Jones
7:56.0,,,74-82,,C. Capela enters the game for C. Brewer
7:52.0,Shooting foul by M. Harrell (drawn by T. Lyles),,74-82,,
7:52.0,T. Lyles misses free throw 1 of 2,,74-82,,
7:52.0,Offensive rebound by Team,,74-82,,
7:52.0,G. Hayward enters the game for C. Johnson,,74-82,,
7:52.0,T. Lyles misses free throw 2 of 2,,74-82,,
7:50.0,Offensive rebound by J. Ingles,,74-82,,
7:44.0,Turnover by T. Lyles (bad pass),,74-82,,
7:33.0,,,74-82,,J. Terry misses 2-pt shot from 18 ft
7:32.0,Defensive rebound by R. Neto,,74-82,,
7:19.0,R. Gobert makes 2-pt shot at rim (assist by J. Ingles),2,76-82,,
7:05.0,,,76-84,2,M. Thornton makes 2-pt shot from 18 ft
6:46.0,J. Ingles misses 3-pt shot from 24 ft,,76-84,,
6:46.0,,,76-84,,Defensive rebound by C. Capela
6:39.0,,,76-84,,Turnover by M. Thornton (lost ball; steal by R. Neto)
6:34.0,R. Neto makes 2-pt shot at rim,2,78-84,,
6:18.0,,,78-87,3,T. Ariza makes 3-pt shot from 25 ft
5:58.0,J. Ingles misses 3-pt shot from 24 ft,,78-87,,
5:57.0,,,78-87,,Defensive rebound by M. Thornton
5:48.0,,,78-87,,T. Ariza misses 3-pt shot from 25 ft
5:45.0,,,78-87,,Offensive rebound by C. Capela
5:44.0,,,78-87,,Shooting foul by R. Gobert (drawn by C. Capela)
5:44.0,,,78-87,,Houston full timeout
5:44.0,,,78-87,,P. Beverley enters the game for J. Terry
5:44.0,,,78-87,,J. Harden enters the game for M. Thornton
5:44.0,T. Booker enters the game for T. Lyles,,78-87,,
5:44.0,C. Johnson enters the game for J. Ingles,,78-87,,
5:44.0,,,78-87,,C. Capela misses free throw 1 of 2
5:44.0,,,78-87,,Offensive rebound by Team
5:44.0,,,78-88,1,C. Capela makes free throw 2 of 2
5:29.0,T. Booker misses 2-pt shot from 13 ft,,78-88,,
5:28.0,,,78-88,,Defensive rebound by T. Ariza
5:09.0,,,78-88,,Turnover by J. Harden (bad pass; steal by C. Johnson)
4:51.0,G. Hayward makes 3-pt shot from 25 ft,3,81-88,,
4:44.0,Personal take foul by R. Gobert (drawn by C. Capela),,81-88,,
4:35.0,,,81-90,2,J. Harden makes 2-pt shot from 14 ft
4:19.0,C. Johnson makes 2-pt shot from 2 ft,2,83-90,,
4:06.0,,,83-90,,J. Harden misses 2-pt shot from 16 ft
4:05.0,Defensive rebound by G. Hayward,,83-90,,
4:05.0,,,83-90,,Personal foul by M. Harrell (drawn by G. Hayward)
4:05.0,,,83-90,,T. Jones enters the game for M. Harrell
3:50.0,C. Johnson makes 3-pt shot from 23 ft (assist by G. Hayward),3,86-90,,
3:32.0,,,86-92,2,P. Beverley makes 2-pt shot from 7 ft
3:10.0,T. Booker makes 2-pt shot at rim (assist by C. Johnson),2,88-92,,
2:46.0,,,88-94,2,J. Harden makes 2-pt shot from 19 ft
2:29.0,G. Hayward misses 3-pt shot from 24 ft,,88-94,,
2:28.0,Offensive rebound by T. Booker,,88-94,,
2:12.0,Shooting foul by C. Capela (drawn by G. Hayward),,88-94,,
2:12.0,,,88-94,,Houston full timeout
2:12.0,,,88-94,,M. Harrell enters the game for C. Capela
2:12.0,T. Lyles enters the game for R. Gobert,,88-94,,
2:12.0,G. Hayward makes free throw 1 of 2,1,89-94,,
2:12.0,G. Hayward makes free throw 2 of 2,1,90-94,,
1:51.0,,,90-96,2,J. Harden makes 2-pt shot from 1 ft
1:38.0,T. Booker misses 2-pt shot from 8 ft,,90-96,,
1:37.0,Offensive rebound by T. Lyles,,90-96,,
1:37.0,T. Lyles misses 2-pt shot from 2 ft,,90-96,,
1:35.0,,,90-96,,Defensive rebound by J. Harden
1:31.0,,,90-96,,Shooting foul by C. Johnson (drawn by M. Harrell)
1:31.0,,,90-97,1,M. Harrell makes free throw 1 of 2
1:31.0,,,90-98,1,M. Harrell makes free throw 2 of 2
1:07.0,C. Johnson makes 2-pt shot from 13 ft,2,92-98,,
0:46.0,,,92-98,,J. Harden misses 2-pt shot from 11 ft
0:45.0,Defensive rebound by T. Lyles,,92-98,,
0:35.0,G. Hayward makes 2-pt shot from 10 ft (assist by R. Neto),2,94-98,,
0:32.0,Personal foul by C. Johnson (drawn by J. Harden),,94-98,,
0:32.0,J. Ingles enters the game for C. Johnson,,94-98,,
0:32.0,,,94-99,1,J. Harden makes free throw 1 of 2
