time,Boston,pts.away,score,pts.home,Sacramento
6:04.0,,,16-10,,Defensive rebound by R. Gay
5:59.0,,,16-10,,Turnover by R. Rondo (bad pass; steal by A. Bradley)
5:53.0,J. Crowder misses 3-pt shot from 25 ft,,16-10,,
5:50.0,,,16-10,,Defensive rebound by K. Koufos
5:41.0,,,16-13,3,D. Cousins makes 3-pt shot from 25 ft (assist by R. Rondo)
5:28.0,A. Bradley makes 2-pt shot at rim (assist by I. Thomas),2,18-13,,
5:09.0,,,18-13,,B. McLemore misses 3-pt shot from 24 ft
5:09.0,Defensive rebound by T. Zeller,,18-13,,
5:02.0,A. Bradley makes 3-pt shot from 24 ft (assist by I. Thomas),3,21-13,,
4:43.0,,,21-13,,Turnover by D. Cousins (bad pass; steal by I. Thomas)
4:40.0,I. Thomas makes 2-pt shot from 1 ft,2,23-13,,
4:40.0,,,23-13,,Sacramento full timeout
4:40.0,E. Turner enters the game for I. Thomas,,23-13,,
4:40.0,,,23-13,,M. Belinelli enters the game for B. McLemore
4:40.0,,,23-13,,D. Collison enters the game for R. Gay
4:40.0,,,23-13,,Q. Acy enters the game for D. Cousins
4:28.0,,,23-13,,Q. Acy misses 2-pt shot from 18 ft
4:27.0,Defensive rebound by J. Crowder,,23-13,,
4:14.0,Turnover by A. Bradley (bad pass; steal by Q. Acy),,23-13,,
4:03.0,,,23-13,,Turnover by D. Collison (lost ball; steal by A. Bradley)
3:53.0,J. Crowder makes 2-pt shot from 2 ft (assist by A. Bradley),2,25-13,,
3:30.0,,,25-15,2,Q. Acy makes 2-pt shot from 1 ft (assist by R. Rondo)
3:19.0,J. Crowder misses 3-pt shot from 25 ft,,25-15,,
3:19.0,,,25-15,,Defensive rebound by R. Rondo
2:59.0,,,25-15,,M. Belinelli misses 3-pt shot from 27 ft
2:58.0,Defensive rebound by A. Johnson,,25-15,,
2:46.0,A. Bradley misses 3-pt shot from 24 ft,,25-15,,
2:45.0,,,25-15,,Defensive rebound by K. Koufos
2:37.0,,,25-17,2,D. Collison makes 2-pt shot from 17 ft
2:37.0,Boston full timeout,,25-17,,
2:37.0,,,25-17,,S. Curry enters the game for R. Rondo
2:37.0,J. Jerebko enters the game for A. Bradley,,25-17,,
2:37.0,K. Olynyk enters the game for T. Zeller,,25-17,,
2:37.0,I. Thomas enters the game for J. Crowder,,25-17,,
2:37.0,D. Lee enters the game for A. Johnson,,25-17,,
2:15.0,D. Lee misses 2-pt shot from 9 ft (block by K. Koufos),,25-17,,
2:13.0,,,25-17,,Defensive rebound by K. Koufos
1:57.0,,,25-17,,Q. Acy misses 2-pt shot from 4 ft (block by J. Jerebko)
1:56.0,,,25-17,,Offensive rebound by Q. Acy
1:54.0,,,25-17,,Q. Acy misses 2-pt shot from 1 ft
1:53.0,Defensive rebound by J. Jerebko,,25-17,,
1:46.0,K. Olynyk makes 3-pt shot from 25 ft (assist by E. Turner),3,28-17,,
1:19.0,,,28-17,,K. Koufos misses 2-pt shot from 7 ft
1:19.0,Defensive rebound by K. Olynyk,,28-17,,
0:55.0,K. Olynyk makes 2-pt shot from 18 ft (assist by J. Jerebko),2,30-17,,
0:30.0,,,30-17,,D. Collison misses 3-pt shot from 27 ft
0:29.0,Defensive rebound by E. Turner,,30-17,,
0:22.0,K. Olynyk misses 3-pt shot from 26 ft,,30-17,,
0:22.0,Offensive rebound by J. Jerebko,,30-17,,
0:05.0,K. Olynyk makes 2-pt shot from 1 ft (assist by I. Thomas),2,32-17,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,32-17,,D. Cousins misses 2-pt shot from 6 ft
11:46.0,Defensive rebound by D. Lee,,32-17,,
11:37.0,Turnover by D. Lee (bad pass; steal by S. Curry),,32-17,,
11:25.0,,,32-19,2,M. Belinelli makes 2-pt shot from 2 ft (assist by D. Cousins)
11:11.0,K. Olynyk makes 2-pt shot from 1 ft (assist by E. Turner),2,34-19,,
10:51.0,,,34-19,,D. Cousins misses 2-pt shot from 9 ft
10:50.0,Defensive rebound by I. Thomas,,34-19,,
10:41.0,Turnover by K. Olynyk (offensive foul),,34-19,,
10:41.0,Offensive foul by K. Olynyk,,34-19,,
10:41.0,,,34-19,,R. Gay enters the game for Q. Acy
10:27.0,,,34-19,,D. Cousins misses 2-pt shot from 3 ft (block by D. Lee)
10:27.0,,,34-19,,Offensive rebound by D. Cousins
10:27.0,,,34-19,,Turnover by D. Cousins (traveling)
10:15.0,Turnover by K. Olynyk (traveling),,34-19,,
9:51.0,,,34-19,,R. Gay misses 3-pt shot from 25 ft
9:50.0,Defensive rebound by Team,,34-19,,
9:36.0,I. Thomas makes 2-pt shot from 2 ft,2,36-19,,
9:26.0,,,36-19,,D. Cousins misses 3-pt shot from 25 ft
9:25.0,Defensive rebound by K. Olynyk,,36-19,,
9:12.0,E. Turner misses 2-pt shot from 12 ft,,36-19,,
9:11.0,Offensive rebound by D. Lee,,36-19,,
9:06.0,I. Thomas makes 3-pt shot from 24 ft (assist by D. Lee),3,39-19,,
9:05.0,,,39-19,,Sacramento full timeout
9:05.0,,,39-19,,R. Rondo enters the game for S. Curry
8:47.0,,,39-19,,D. Collison misses 3-pt shot from 25 ft
8:46.0,Defensive rebound by Team,,39-19,,
8:46.0,,,39-19,,Loose ball foul by D. Cousins (drawn by D. Lee)
8:35.0,D. Lee misses 2-pt shot from 2 ft (block by D. Cousins),,39-19,,
8:35.0,,,39-19,,Defensive rebound by R. Gay
8:27.0,Personal foul by D. Lee (drawn by D. Cousins),,39-19,,
8:15.0,,,39-19,,Turnover by R. Gay (bad pass; steal by E. Turner)
8:04.0,I. Thomas misses 2-pt shot from 12 ft (block by D. Collison),,39-19,,
8:04.0,,,39-19,,Defensive rebound by D. Cousins
7:55.0,,,39-21,2,R. Rondo makes 2-pt shot from 1 ft
7:35.0,D. Lee misses 2-pt shot from 1 ft,,39-21,,
7:34.0,,,39-21,,Defensive rebound by M. Belinelli
7:23.0,,,39-23,2,R. Gay makes 2-pt shot from 11 ft (assist by R. Rondo)
7:01.0,I. Thomas misses 3-pt shot from 26 ft,,39-23,,
7:01.0,,,39-23,,Defensive rebound by D. Cousins
6:52.0,,,39-23,,D. Cousins misses 3-pt shot from 26 ft
6:52.0,Defensive rebound by J. Jerebko,,39-23,,
6:37.0,Turnover by E. Turner (bad pass; steal by R. Rondo),,39-23,,
6:34.0,Personal foul by D. Lee (drawn by R. Rondo),,39-23,,
6:34.0,,,39-23,,W. Cauley-Stein enters the game for D. Cousins
6:34.0,A. Bradley enters the game for E. Turner,,39-23,,
6:34.0,J. Crowder enters the game for J. Jerebko,,39-23,,
6:34.0,T. Zeller enters the game for D. Lee,,39-23,,
6:10.0,,,39-23,,M. Belinelli misses 2-pt shot from 16 ft
6:09.0,Defensive rebound by K. Olynyk,,39-23,,
6:06.0,A. Bradley misses 2-pt shot from 17 ft,,39-23,,
6:05.0,Offensive rebound by K. Olynyk,,39-23,,
6:01.0,I. Thomas makes 3-pt shot from 27 ft (assist by K. Olynyk),3,42-23,,
5:49.0,,,42-26,3,R. Gay makes 3-pt shot from 26 ft (assist by D. Collison)
5:35.0,Offensive foul by T. Zeller,,42-26,,
5:35.0,Turnover by T. Zeller (offensive foul),,42-26,,
5:35.0,Official timeout,,42-26,,
5:35.0,,,42-26,,D. Cousins enters the game for W. Cauley-Stein
5:26.0,,,42-26,,R. Gay misses 2-pt shot from 16 ft
5:25.0,Defensive rebound by T. Zeller,,42-26,,
5:08.0,K. Olynyk makes 3-pt shot from 25 ft (assist by J. Crowder),3,45-26,,
4:58.0,Personal foul by A. Bradley (drawn by R. Rondo),,45-26,,
4:58.0,,,45-26,,B. McLemore enters the game for M. Belinelli
4:47.0,,,45-26,,Turnover by D. Collison (bad pass; steal by I. Thomas)
4:40.0,K. Olynyk makes 2-pt shot from 1 ft (assist by J. Crowder),2,47-26,,
4:17.0,,,47-26,,D. Cousins misses 2-pt shot from 15 ft
4:17.0,Defensive rebound by A. Bradley,,47-26,,
4:07.0,Turnover by K. Olynyk (traveling),,47-26,,
4:07.0,,,47-26,,W. Cauley-Stein enters the game for D. Collison
4:01.0,Personal foul by T. Zeller (drawn by D. Cousins),,47-26,,
4:01.0,J. Sullinger enters the game for I. Thomas,,47-26,,
4:01.0,E. Turner enters the game for T. Zeller,,47-26,,
4:01.0,A. Johnson enters the game for K. Olynyk,,47-26,,
3:51.0,,,47-26,,D. Cousins misses 2-pt shot from 2 ft (block by J. Sullinger)
3:50.0,Defensive rebound by A. Johnson,,47-26,,
3:29.0,J. Sullinger misses 2-pt shot from 16 ft,,47-26,,
3:28.0,,,47-26,,Defensive rebound by R. Gay
3:21.0,,,47-26,,R. Rondo misses 2-pt shot from 6 ft (block by A. Johnson)
3:18.0,Defensive rebound by A. Bradley,,47-26,,
3:17.0,Turnover by A. Bradley (lost ball),,47-26,,
3:05.0,,,47-28,2,R. Gay makes 2-pt shot at rim (assist by D. Cousins)
2:42.0,Turnover by J. Crowder (bad pass; steal by R. Gay),,47-28,,
2:29.0,,,47-28,,Offensive foul by R. Gay
2:29.0,,,47-28,,Turnover by R. Gay (offensive foul)
2:29.0,Boston full timeout,,47-28,,
2:20.0,A. Johnson makes 2-pt shot from 5 ft (assist by E. Turner),2,49-28,,
2:04.0,,,49-30,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by R. Rondo)
1:54.0,J. Sullinger misses 3-pt shot from 26 ft,,49-30,,
1:54.0,,,49-30,,Defensive rebound by R. Gay
1:48.0,,,49-30,,Offensive foul by D. Cousins
1:48.0,,,49-30,,Turnover by D. Cousins (offensive foul)
1:48.0,,,49-30,,K. Koufos enters the game for D. Cousins
1:48.0,I. Thomas enters the game for J. Sullinger,,49-30,,
1:26.0,J. Crowder misses 2-pt shot from 19 ft,,49-30,,
1:25.0,,,49-30,,Defensive rebound by R. Gay
1:14.0,,,49-30,,Turnover by R. Gay (bad pass; steal by J. Crowder)
1:07.0,I. Thomas makes 2-pt shot from 18 ft (assist by J. Crowder),2,51-30,,
1:00.0,,,51-30,,Shooting foul by J. Crowder (drawn by B. McLemore)
1:00.0,,,51-31,1,B. McLemore makes free throw 1 of 2
1:00.0,,,51-31,,S. Curry enters the game for W. Cauley-Stein
1:00.0,,,51-31,,C. Butler enters the game for R. Gay
1:00.0,,,51-32,1,B. McLemore makes free throw 2 of 2
0:52.0,A. Bradley misses 2-pt shot from 16 ft,,51-32,,
0:51.0,,,51-32,,Defensive rebound by K. Koufos
0:42.0,,,51-34,2,K. Koufos makes 2-pt shot at rim (assist by R. Rondo)
0:26.0,I. Thomas misses 3-pt shot from 25 ft,,51-34,,
0:25.0,,,51-34,,Defensive rebound by Team
0:25.0,Loose ball foul by A. Johnson (drawn by K. Koufos),,51-34,,
0:25.0,,,51-35,1,K. Koufos makes free throw 1 of 2
0:25.0,K. Olynyk enters the game for A. Johnson,,51-35,,
0:25.0,,,51-36,1,K. Koufos makes free throw 2 of 2
0:04.0,E. Turner misses 2-pt shot from 16 ft,,51-36,,
0:03.0,,,51-36,,Defensive rebound by R. Rondo
0:01.0,,,51-36,,Turnover by R. Rondo (bad pass; steal by I. Thomas)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,51-38,2,B. McLemore makes 2-pt shot at rim (assist by R. Rondo)
11:34.0,Offensive foul by J. Sullinger,,51-38,,
11:34.0,Turnover by J. Sullinger (offensive foul),,51-38,,
11:19.0,,,51-38,,D. Cousins misses 2-pt shot from 2 ft
11:19.0,Defensive rebound by J. Sullinger,,51-38,,
11:09.0,J. Crowder makes 3-pt shot from 24 ft (assist by I. Thomas),3,54-38,,
10:51.0,,,54-38,,D. Cousins misses 2-pt shot from 5 ft
10:51.0,,,54-38,,Offensive rebound by D. Cousins
10:48.0,,,54-38,,Shooting foul by J. Sullinger (drawn by D. Cousins)
10:48.0,,,54-39,1,D. Cousins makes free throw 1 of 2
10:48.0,,,54-40,1,D. Cousins makes free throw 2 of 2
10:28.0,Turnover by J. Crowder (bad pass; steal by R. Rondo),,54-40,,
10:18.0,,,54-40,,Shooting foul by A. Bradley (drawn by R. Gay)
10:18.0,,,54-40,,R. Gay misses free throw 1 of 2
10:18.0,,,54-40,,Offensive rebound by Team
10:18.0,,,54-41,1,R. Gay makes free throw 2 of 2
10:06.0,J. Crowder makes 3-pt shot from 24 ft,3,57-41,,
9:45.0,,,57-41,,Shooting foul by J. Sullinger (drawn by D. Cousins)
9:45.0,,,57-42,1,D. Cousins makes free throw 1 of 2
9:45.0,,,57-42,,D. Cousins misses free throw 2 of 2
9:44.0,Defensive rebound by J. Crowder,,57-42,,
9:33.0,,,57-42,,Personal foul by B. McLemore (drawn by A. Bradley)
9:22.0,J. Sullinger misses 2-pt shot from 18 ft,,57-42,,
9:19.0,,,57-42,,Defensive rebound by B. McLemore
9:10.0,,,57-45,3,R. Gay makes 3-pt shot from 24 ft (assist by R. Rondo)
8:51.0,J. Sullinger makes 2-pt shot from 19 ft (assist by A. Johnson),2,59-45,,
8:41.0,,,59-45,,Turnover by R. Rondo (lost ball; steal by J. Sullinger)
8:36.0,A. Bradley makes 2-pt shot from 1 ft (assist by J. Sullinger),2,61-45,,
8:36.0,,,61-45,,Sacramento full timeout
8:29.0,,,61-45,,R. Rondo misses 2-pt shot from 1 ft
8:28.0,,,61-45,,Offensive rebound by D. Cousins
8:25.0,,,61-47,2,B. McLemore makes 2-pt shot from 1 ft (assist by D. Cousins)
8:11.0,A. Bradley makes 3-pt shot from 26 ft (assist by I. Thomas),3,64-47,,
7:59.0,,,64-47,,D. Cousins misses 2-pt shot from 4 ft
7:59.0,,,64-47,,Offensive rebound by Team
7:52.0,,,64-47,,Turnover by R. Gay (lost ball; steal by J. Crowder)
7:34.0,Shooting foul by R. Rondo (drawn by J. Crowder),,64-47,,
7:34.0,J. Crowder makes free throw 1 of 2,1,65-47,,
7:34.0,,,65-47,,W. Cauley-Stein enters the game for R. Gay
7:34.0,J. Crowder makes free throw 2 of 2,1,66-47,,
7:24.0,Violation by J. Crowder (kicked ball),,66-47,,
7:14.0,,,66-47,,Turnover by W. Cauley-Stein (lost ball; steal by A. Johnson)
7:09.0,A. Bradley makes 3-pt shot from 25 ft (assist by J. Crowder),3,69-47,,
6:59.0,Personal foul by J. Sullinger (drawn by R. Rondo),,69-47,,
6:59.0,,,69-47,,D. Collison enters the game for C. Butler
6:52.0,,,69-49,2,D. Cousins makes 2-pt shot at rim (assist by R. Rondo)
6:30.0,Shooting foul by D. Cousins (drawn by J. Crowder),,69-49,,
6:30.0,,,69-49,,Technical foul by R. Rondo
6:30.0,I. Thomas makes technical free throw,1,70-49,,
6:30.0,,,70-49,,Technical foul by R. Rondo
6:30.0,,,70-49,,M. Belinelli enters the game for R. Rondo
6:30.0,I. Thomas makes technical free throw,1,71-49,,
6:30.0,D. Lee enters the game for J. Sullinger,,71-49,,
6:30.0,J. Crowder makes free throw 1 of 2,1,72-49,,
6:30.0,J. Crowder makes free throw 2 of 2,1,73-49,,
6:23.0,Personal foul by D. Lee (drawn by D. Cousins),,73-49,,
6:23.0,,,73-49,,D. Cousins misses free throw 1 of 2
6:23.0,,,73-49,,Offensive rebound by Team
6:23.0,,,73-50,1,D. Cousins makes free throw 2 of 2
6:08.0,J. Crowder makes 3-pt shot from 23 ft (assist by D. Lee),3,76-50,,
5:59.0,,,76-53,3,D. Cousins makes 3-pt shot from 25 ft (assist by D. Collison)
5:42.0,A. Bradley makes 2-pt shot from 17 ft (assist by D. Lee),2,78-53,,
5:26.0,Personal foul by D. Lee (drawn by D. Cousins),,78-53,,
5:26.0,,,78-54,1,D. Cousins makes free throw 1 of 2
5:26.0,,,78-55,1,D. Cousins makes free throw 2 of 2
5:17.0,I. Thomas misses 3-pt shot from 23 ft,,78-55,,
5:16.0,,,78-55,,Defensive rebound by B. McLemore
5:08.0,,,78-55,,Shooting foul by A. Johnson (drawn by W. Cauley-Stein)
5:08.0,,,78-55,,W. Cauley-Stein misses free throw 1 of 2
5:08.0,,,78-55,,Offensive rebound by Team
5:08.0,E. Turner enters the game for I. Thomas,,78-55,,
5:08.0,,,78-56,1,W. Cauley-Stein makes free throw 2 of 2
4:51.0,Shooting foul by B. McLemore (drawn by A. Bradley),,78-56,,
4:51.0,A. Bradley makes free throw 1 of 2,1,79-56,,
4:51.0,A. Bradley makes free throw 2 of 2,1,80-56,,
4:41.0,,,80-56,,D. Collison misses 2-pt shot from 17 ft
4:39.0,Defensive rebound by A. Johnson,,80-56,,
4:39.0,,,80-56,,Personal foul by B. McLemore (drawn by A. Johnson)
4:39.0,A. Johnson misses free throw 1 of 2,,80-56,,
4:39.0,Offensive rebound by Team,,80-56,,
4:39.0,,,80-56,,S. Curry enters the game for B. McLemore
4:39.0,A. Johnson misses free throw 2 of 2,,80-56,,
4:37.0,,,80-56,,Defensive rebound by M. Belinelli
4:28.0,,,80-56,,Turnover by D. Cousins (bad pass; steal by D. Lee)
4:20.0,J. Crowder misses 3-pt shot from 24 ft,,80-56,,
4:19.0,,,80-56,,Defensive rebound by W. Cauley-Stein
4:10.0,,,80-58,2,S. Curry makes 2-pt shot from 22 ft (assist by D. Collison)
3:58.0,,,80-58,,Personal foul by D. Cousins (drawn by E. Turner)
3:58.0,E. Turner makes free throw 1 of 2,1,81-58,,
3:58.0,K. Olynyk enters the game for A. Johnson,,81-58,,
3:58.0,,,81-58,,K. Koufos enters the game for D. Cousins
3:58.0,E. Turner misses free throw 2 of 2,,81-58,,
3:57.0,,,81-58,,Defensive rebound by K. Koufos
3:36.0,,,81-58,,D. Collison misses 2-pt shot from 5 ft
3:36.0,Defensive rebound by J. Crowder,,81-58,,
3:23.0,Turnover by D. Lee (lost ball; steal by K. Koufos),,81-58,,
3:18.0,,,81-60,2,D. Collison makes 2-pt shot from 1 ft (assist by M. Belinelli)
3:18.0,,,81-60,,Shooting foul by A. Bradley (drawn by D. Collison)
3:18.0,,,81-60,,R. Gay enters the game for W. Cauley-Stein
3:18.0,,,81-61,1,D. Collison makes free throw 1 of 1
3:03.0,Turnover by E. Turner (bad pass; steal by K. Koufos),,81-61,,
2:53.0,,,81-63,2,S. Curry makes 2-pt shot from 11 ft
2:53.0,Boston full timeout,,81-63,,
2:53.0,J. Jerebko enters the game for J. Crowder,,81-63,,
2:53.0,I. Thomas enters the game for A. Bradley,,81-63,,
2:38.0,E. Turner makes 2-pt shot from 1 ft (assist by D. Lee),2,83-63,,
2:26.0,,,83-63,,M. Belinelli misses 2-pt shot from 19 ft
2:26.0,Defensive rebound by D. Lee,,83-63,,
2:06.0,D. Lee misses 2-pt shot from 1 ft,,83-63,,
2:05.0,,,83-63,,Defensive rebound by K. Koufos
1:56.0,,,83-65,2,D. Collison makes 2-pt shot from 1 ft
1:56.0,,,83-65,,Shooting foul by E. Turner (drawn by D. Collison)
1:56.0,,,83-66,1,D. Collison makes free throw 1 of 1
1:39.0,D. Lee makes 2-pt shot at rim (assist by K. Olynyk),2,85-66,,
1:24.0,,,85-66,,Turnover by S. Curry (bad pass; steal by K. Olynyk)
1:20.0,J. Jerebko makes 2-pt shot from 2 ft (assist by K. Olynyk),2,87-66,,
1:20.0,Shooting foul by R. Gay (drawn by J. Jerebko),,87-66,,
1:20.0,J. Jerebko makes free throw 1 of 1,1,88-66,,
1:08.0,,,88-68,2,R. Gay makes 2-pt shot from 2 ft (assist by M. Belinelli)
0:48.0,J. Jerebko makes 2-pt shot from 16 ft (assist by I. Thomas),2,90-68,,
0:29.0,,,90-68,,D. Collison misses 2-pt shot from 17 ft
0:29.0,Defensive rebound by J. Jerebko,,90-68,,
0:06.0,K. Olynyk misses 3-pt shot from 26 ft,,90-68,,
0:05.0,,,90-68,,Defensive rebound by S. Curry
0:01.0,,,90-68,,S. Curry misses 3-pt shot from 25 ft
0:00.0,,,90-68,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,R. Hunter misses 3-pt shot from 27 ft,,90-68,,
11:36.0,,,90-68,,Defensive rebound by D. Collison
11:25.0,,,90-71,3,M. Belinelli makes 3-pt shot from 25 ft (assist by D. Collison)
11:09.0,E. Turner makes 2-pt shot from 11 ft,2,92-71,,
11:09.0,Shooting foul by S. Curry (drawn by E. Turner),,92-71,,
11:09.0,E. Turner makes free throw 1 of 1,1,93-71,,
11:01.0,Personal foul by K. Olynyk (drawn by D. Collison),,93-71,,
10:47.0,,,93-71,,R. Gay misses 2-pt shot from 12 ft
10:46.0,Defensive rebound by I. Thomas,,93-71,,
10:33.0,I. Thomas misses 2-pt shot from 7 ft,,93-71,,
10:33.0,,,93-71,,Defensive rebound by M. Belinelli
10:14.0,,,93-71,,R. Gay misses 2-pt shot from 20 ft
10:12.0,Defensive rebound by I. Thomas,,93-71,,
10:05.0,R. Hunter makes 2-pt shot from 11 ft (assist by I. Thomas),2,95-71,,
9:57.0,,,95-71,,Shooting foul by I. Thomas (drawn by D. Collison)
9:57.0,,,95-72,1,D. Collison makes free throw 1 of 2
9:57.0,,,95-72,,W. Cauley-Stein enters the game for K. Koufos
9:57.0,,,95-73,1,D. Collison makes free throw 2 of 2
9:42.0,R. Hunter misses 3-pt shot from 30 ft,,95-73,,
9:41.0,,,95-73,,Defensive rebound by W. Cauley-Stein
9:32.0,,,95-73,,Turnover by M. Belinelli (bad pass; steal by I. Thomas)
9:28.0,Turnover by I. Thomas (lost ball),,95-73,,
9:28.0,Loose ball foul by I. Thomas (drawn by M. Belinelli),,95-73,,
9:28.0,A. Bradley enters the game for I. Thomas,,95-73,,
9:07.0,,,95-75,2,R. Gay makes 2-pt shot from 10 ft
9:07.0,,,95-75,,Shooting foul by A. Bradley (drawn by R. Gay)
9:07.0,,,95-76,1,R. Gay makes free throw 1 of 1
8:54.0,,,95-76,,Personal foul by W. Cauley-Stein (drawn by K. Olynyk)
8:54.0,Official timeout,,95-76,,
8:48.0,K. Olynyk misses 2-pt shot from 21 ft,,95-76,,
8:48.0,Offensive rebound by J. Jerebko,,95-76,,
8:46.0,A. Bradley misses 3-pt shot from 25 ft,,95-76,,
8:45.0,Offensive rebound by J. Jerebko,,95-76,,
8:44.0,J. Jerebko misses 2-pt shot from 9 ft (block by W. Cauley-Stein),,95-76,,
8:36.0,,,95-76,,Defensive rebound by W. Cauley-Stein
8:27.0,Personal foul by R. Hunter (drawn by S. Curry),,95-76,,
8:27.0,J. Crowder enters the game for R. Hunter,,95-76,,
8:27.0,,,95-76,,S. Curry misses free throw 1 of 2
8:27.0,,,95-76,,Offensive rebound by Team
8:27.0,,,95-77,1,S. Curry makes free throw 2 of 2
8:07.0,E. Turner misses 2-pt shot from 18 ft,,95-77,,
8:06.0,,,95-77,,Defensive rebound by S. Curry
7:58.0,,,95-77,,R. Gay misses 2-pt shot from 6 ft
7:57.0,,,95-77,,Offensive rebound by W. Cauley-Stein
7:57.0,,,95-79,2,W. Cauley-Stein makes 2-pt shot from 3 ft
7:34.0,A. Bradley misses 2-pt shot from 17 ft,,95-79,,
7:33.0,,,95-79,,Defensive rebound by R. Gay
7:27.0,,,95-79,,M. Belinelli misses 3-pt shot from 26 ft
7:26.0,Defensive rebound by A. Bradley,,95-79,,
7:11.0,K. Olynyk makes 3-pt shot from 26 ft (assist by J. Crowder),3,98-79,,
