time,LA Lakers,pts.away,score,pts.home,Chicago
4:24.0,,,19-21,,B. Portis enters the game for T. Gibson
4:24.0,N. Young enters the game for K. Bryant,,19-21,,
4:10.0,D. Russell makes 2-pt shot at rim,2,21-21,,
3:51.0,,,21-21,,Shooting foul by R. Hibbert (drawn by P. Gasol)
3:51.0,,,21-22,1,P. Gasol makes free throw 1 of 2
3:51.0,,,21-22,,D. McDermott enters the game for E. Moore
3:51.0,B. Bass enters the game for R. Hibbert,,21-22,,
3:51.0,,,21-23,1,P. Gasol makes free throw 2 of 2
3:35.0,N. Young misses 3-pt shot from 23 ft,,21-23,,
3:34.0,Offensive rebound by J. Randle,,21-23,,
3:32.0,J. Randle misses 2-pt shot from 3 ft,,21-23,,
3:30.0,,,21-23,,Defensive rebound by A. Brooks
3:24.0,,,21-25,2,P. Gasol makes 2-pt shot from 15 ft (assist by A. Brooks)
3:00.0,J. Randle makes 2-pt shot from 2 ft,2,23-25,,
2:49.0,,,23-28,3,B. Portis makes 3-pt shot from 24 ft (assist by A. Brooks)
2:29.0,D. Russell makes 2-pt shot from 15 ft,2,25-28,,
2:09.0,,,25-28,,P. Gasol misses 2-pt shot from 16 ft
2:08.0,Defensive rebound by D. Russell,,25-28,,
2:01.0,,,25-28,,Personal foul by B. Portis (drawn by J. Randle)
2:01.0,LA Lakers full timeout,,25-28,,
2:01.0,L. Nance enters the game for J. Randle,,25-28,,
1:51.0,Shooting foul by P. Gasol (drawn by L. Williams),,25-28,,
1:51.0,L. Williams misses free throw 1 of 3,,25-28,,
1:51.0,Offensive rebound by Team,,25-28,,
1:51.0,L. Williams misses free throw 2 of 3,,25-28,,
1:51.0,Offensive rebound by Team,,25-28,,
1:51.0,L. Williams makes free throw 3 of 3,1,26-28,,
1:25.0,,,26-28,,A. Brooks misses 3-pt shot from 25 ft
1:24.0,Defensive rebound by B. Bass,,26-28,,
1:03.0,D. Russell makes 2-pt shot from 1 ft,2,28-28,,
0:43.0,,,28-28,,B. Portis misses 2-pt shot from 5 ft
0:42.0,Defensive rebound by B. Bass,,28-28,,
0:28.0,L. Williams makes 2-pt shot from 1 ft,2,30-28,,
0:08.0,,,30-31,3,D. McDermott makes 3-pt shot from 24 ft (assist by A. Brooks)
0:02.0,D. Russell misses 2-pt shot from 4 ft (block by P. Gasol),,30-31,,
0:02.0,Offensive rebound by Team,,30-31,,
0:02.0,,,30-31,,C. Felicio enters the game for P. Gasol
0:00.0,Offensive foul by N. Young,,30-31,,
0:00.0,Turnover by N. Young (offensive foul),,30-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,N. Young misses 3-pt shot from 24 ft,,30-31,,
11:46.0,,,30-31,,Defensive rebound by B. Portis
11:34.0,,,30-33,2,A. Brooks makes 2-pt shot from 14 ft
11:24.0,L. Williams misses 2-pt shot from 15 ft,,30-33,,
11:23.0,,,30-33,,Defensive rebound by B. Portis
11:05.0,,,30-33,,A. Brooks misses 3-pt shot from 25 ft
11:04.0,Defensive rebound by L. Nance,,30-33,,
10:49.0,L. Nance misses 2-pt shot from 21 ft,,30-33,,
10:48.0,Offensive rebound by B. Bass,,30-33,,
10:43.0,J. Clarkson makes 2-pt shot from 2 ft,2,32-33,,
10:23.0,,,32-33,,D. McDermott misses 2-pt shot from 19 ft
10:22.0,,,32-33,,Offensive rebound by C. Felicio
10:18.0,,,32-35,2,D. McDermott makes 2-pt shot from 16 ft (assist by A. Brooks)
10:07.0,Turnover by L. Williams (lost ball),,32-35,,
9:55.0,,,32-38,3,B. Portis makes 3-pt shot from 24 ft (assist by A. Brooks)
9:29.0,J. Clarkson misses 2-pt shot from 19 ft,,32-38,,
9:28.0,,,32-38,,Defensive rebound by B. Portis
9:19.0,,,32-41,3,B. Portis makes 3-pt shot from 24 ft (assist by A. Brooks)
9:12.0,LA Lakers full timeout,,32-41,,
9:12.0,K. Bryant enters the game for N. Young,,32-41,,
9:12.0,,,32-41,,E. Moore enters the game for T. Snell
9:03.0,J. Clarkson misses 3-pt shot from 23 ft,,32-41,,
9:03.0,Offensive rebound by Team,,32-41,,
9:03.0,,,32-41,,D. Rose enters the game for A. Brooks
9:01.0,J. Clarkson makes 2-pt shot from 4 ft (assist by K. Bryant),2,34-41,,
8:47.0,,,34-41,,B. Portis misses 2-pt shot from 18 ft
8:45.0,Defensive rebound by L. Nance,,34-41,,
8:20.0,J. Clarkson misses 2-pt shot from 20 ft,,34-41,,
8:20.0,Offensive rebound by Team,,34-41,,
8:17.0,J. Clarkson misses 2-pt shot from 15 ft,,34-41,,
8:16.0,,,34-41,,Defensive rebound by D. Rose
8:06.0,,,34-41,,D. McDermott misses 2-pt shot from 22 ft
8:05.0,Defensive rebound by L. Williams,,34-41,,
7:54.0,Shooting foul by C. Felicio (drawn by B. Bass),,34-41,,
7:54.0,B. Bass makes 2-pt shot from 4 ft,2,36-41,,
7:54.0,,,36-41,,T. Gibson enters the game for C. Felicio
7:54.0,,,36-41,,M. Dunleavy enters the game for D. McDermott
7:54.0,B. Bass makes free throw 1 of 1,1,37-41,,
7:36.0,,,37-41,,Turnover by E. Moore (bad pass; steal by L. Williams)
7:26.0,Shooting foul by T. Gibson (drawn by B. Bass),,37-41,,
7:26.0,B. Bass makes free throw 1 of 2,1,38-41,,
7:26.0,B. Bass makes free throw 2 of 2,1,39-41,,
7:06.0,,,39-41,,E. Moore misses 2-pt shot from 20 ft
7:05.0,Defensive rebound by K. Bryant,,39-41,,
6:56.0,Turnover by B. Bass (traveling),,39-41,,
6:41.0,,,39-44,3,M. Dunleavy makes 3-pt shot from 25 ft (assist by T. Gibson)
6:26.0,K. Bryant makes 2-pt shot from 22 ft (assist by B. Bass),2,41-44,,
6:12.0,,,41-44,,Turnover by B. Portis (lost ball; steal by L. Nance)
6:08.0,L. Nance makes 2-pt shot from 1 ft,2,43-44,,
6:08.0,,,43-44,,Chicago full timeout
6:08.0,,,43-44,,P. Gasol enters the game for B. Portis
6:08.0,J. Randle enters the game for L. Nance,,43-44,,
5:53.0,,,43-44,,D. Rose misses 2-pt shot from 1 ft
5:53.0,,,43-44,,Offensive rebound by D. Rose
5:53.0,,,43-44,,Shooting foul by J. Clarkson (drawn by D. Rose)
5:53.0,,,43-45,1,D. Rose makes free throw 1 of 2
5:53.0,R. Hibbert enters the game for B. Bass,,43-45,,
5:53.0,,,43-46,1,D. Rose makes free throw 2 of 2
5:27.0,J. Randle misses 2-pt shot from 7 ft,,43-46,,
5:26.0,Offensive rebound by K. Bryant,,43-46,,
5:26.0,K. Bryant misses 2-pt shot from 2 ft,,43-46,,
5:25.0,,,43-46,,Defensive rebound by P. Gasol
5:18.0,,,43-48,2,D. Rose makes 2-pt shot from 12 ft
4:59.0,Turnover by J. Clarkson (lost ball),,43-48,,
4:59.0,D. Russell enters the game for L. Williams,,43-48,,
4:53.0,,,43-48,,Shooting foul by R. Hibbert (drawn by D. Rose)
4:53.0,,,43-49,1,D. Rose makes free throw 1 of 2
4:53.0,B. Bass enters the game for R. Hibbert,,43-49,,
4:53.0,,,43-50,1,D. Rose makes free throw 2 of 2
4:32.0,D. Russell misses 2-pt shot from 1 ft (block by E. Moore),,43-50,,
4:30.0,Offensive rebound by B. Bass,,43-50,,
4:25.0,B. Bass makes 2-pt shot from 12 ft,2,45-50,,
4:13.0,,,45-50,,P. Gasol misses 2-pt shot from 11 ft
4:12.0,Defensive rebound by J. Randle,,45-50,,
4:04.0,J. Randle makes 2-pt shot from 4 ft,2,47-50,,
4:04.0,Shooting foul by T. Gibson (drawn by J. Randle),,47-50,,
4:04.0,,,47-50,,B. Portis enters the game for T. Gibson
4:04.0,J. Randle makes free throw 1 of 1,1,48-50,,
3:55.0,Personal foul by J. Clarkson (drawn by D. Rose),,48-50,,
3:48.0,,,48-53,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by P. Gasol)
3:25.0,J. Randle misses 3-pt shot from 25 ft,,48-53,,
3:23.0,Offensive rebound by B. Bass,,48-53,,
3:07.0,Shooting foul by M. Dunleavy (drawn by K. Bryant),,48-53,,
3:07.0,K. Bryant makes free throw 1 of 2,1,49-53,,
3:07.0,K. Bryant misses free throw 2 of 2,,49-53,,
3:06.0,,,49-53,,Defensive rebound by B. Portis
2:56.0,,,49-53,,D. Rose misses 2-pt shot from 14 ft
2:55.0,Defensive rebound by J. Randle,,49-53,,
2:46.0,K. Bryant misses 3-pt shot from 25 ft,,49-53,,
2:45.0,,,49-53,,Defensive rebound by P. Gasol
2:39.0,,,49-55,2,B. Portis makes 2-pt shot from 2 ft
2:23.0,J. Randle makes 2-pt shot from 2 ft (assist by D. Russell),2,51-55,,
2:04.0,,,51-57,2,P. Gasol makes 2-pt shot from 6 ft
1:57.0,Turnover by D. Russell (discontinued dribble),,51-57,,
1:57.0,,,51-57,,Chicago full timeout
1:57.0,,,51-57,,D. McDermott enters the game for M. Dunleavy
1:42.0,,,51-57,,P. Gasol misses 2-pt shot from 4 ft (block by B. Bass)
1:40.0,,,51-57,,Offensive rebound by E. Moore
1:39.0,,,51-57,,E. Moore misses 2-pt shot from 11 ft (block by B. Bass)
1:37.0,Defensive rebound by J. Clarkson,,51-57,,
1:32.0,D. Russell makes 3-pt shot from 24 ft (assist by J. Clarkson),3,54-57,,
1:18.0,,,54-60,3,D. McDermott makes 3-pt shot from 24 ft (assist by D. Rose)
1:00.0,J. Randle makes 2-pt shot from 1 ft,2,56-60,,
0:40.0,,,56-60,,Shooting foul by J. Randle (drawn by B. Portis)
0:40.0,,,56-61,1,B. Portis makes free throw 1 of 2
0:40.0,,,56-62,1,B. Portis makes free throw 2 of 2
0:35.0,Shooting foul by E. Moore (drawn by K. Bryant),,56-62,,
0:35.0,K. Bryant makes free throw 1 of 2,1,57-62,,
0:35.0,K. Bryant makes free throw 2 of 2,1,58-62,,
0:28.0,,,58-62,,Turnover by D. Rose (lost ball)
0:28.0,,,58-62,,T. Snell enters the game for D. McDermott
0:15.0,K. Bryant misses 2-pt shot from 17 ft,,58-62,,
0:14.0,,,58-62,,Defensive rebound by E. Moore
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,K. Bryant makes 2-pt shot from 9 ft,2,60-62,,
11:25.0,,,60-62,,Shooting foul by D. Russell (drawn by M. Dunleavy)
11:25.0,,,60-63,1,M. Dunleavy makes free throw 1 of 2
11:25.0,,,60-64,1,M. Dunleavy makes free throw 2 of 2
11:05.0,K. Bryant makes 2-pt shot from 15 ft,2,62-64,,
10:43.0,,,62-66,2,E. Moore makes 2-pt shot from 8 ft
10:28.0,J. Clarkson misses 3-pt shot from 25 ft,,62-66,,
10:27.0,,,62-66,,Defensive rebound by T. Gibson
10:16.0,,,62-66,,T. Gibson misses 2-pt shot from 12 ft
10:15.0,Defensive rebound by J. Randle,,62-66,,
9:58.0,K. Bryant makes 2-pt shot from 14 ft,2,64-66,,
9:43.0,,,64-66,,M. Dunleavy misses 3-pt shot from 25 ft
9:42.0,Defensive rebound by J. Randle,,64-66,,
9:30.0,K. Bryant makes 2-pt shot from 22 ft,2,66-66,,
9:14.0,,,66-69,3,P. Gasol makes 3-pt shot from 24 ft (assist by T. Gibson)
9:00.0,K. Bryant misses 3-pt shot from 24 ft,,66-69,,
8:59.0,,,66-69,,Defensive rebound by D. Rose
8:56.0,,,66-71,2,M. Dunleavy makes 2-pt shot from 1 ft (assist by D. Rose)
8:29.0,R. Hibbert misses 2-pt shot from 21 ft (block by P. Gasol),,66-71,,
8:29.0,Offensive rebound by Team,,66-71,,
8:29.0,Turnover by Team (shot clock),,66-71,,
8:18.0,,,66-71,,D. Rose misses 2-pt shot from 20 ft
8:17.0,,,66-71,,Offensive rebound by T. Gibson
8:15.0,,,66-74,3,E. Moore makes 3-pt shot from 24 ft (assist by T. Gibson)
7:47.0,K. Bryant misses 3-pt shot from 26 ft,,66-74,,
7:45.0,Offensive rebound by R. Hibbert,,66-74,,
7:44.0,R. Hibbert makes 2-pt shot at rim,2,68-74,,
7:30.0,,,68-74,,M. Dunleavy misses 2-pt shot from 2 ft
7:28.0,,,68-74,,Offensive rebound by M. Dunleavy
7:24.0,,,68-76,2,D. Rose makes 2-pt shot from 1 ft
7:08.0,J. Clarkson makes 2-pt shot from 8 ft,2,70-76,,
6:51.0,,,70-76,,D. Rose misses 2-pt shot from 18 ft
6:50.0,Defensive rebound by R. Hibbert,,70-76,,
6:36.0,J. Randle misses 2-pt shot from 8 ft,,70-76,,
6:34.0,,,70-76,,Defensive rebound by T. Gibson
6:29.0,,,70-78,2,E. Moore makes 2-pt shot from 1 ft (assist by M. Dunleavy)
6:27.0,LA Lakers full timeout,,70-78,,
6:27.0,,,70-78,,A. Brooks enters the game for D. Rose
6:06.0,K. Bryant misses 3-pt shot from 24 ft,,70-78,,
6:05.0,,,70-78,,Defensive rebound by A. Brooks
5:52.0,Personal foul by R. Hibbert (drawn by T. Gibson),,70-78,,
5:45.0,,,70-80,2,M. Dunleavy makes 2-pt shot from 1 ft (assist by P. Gasol)
5:21.0,K. Bryant makes 2-pt shot from 16 ft,2,72-80,,
5:05.0,,,72-80,,Shooting foul by J. Randle (drawn by M. Dunleavy)
5:05.0,,,72-81,1,M. Dunleavy makes free throw 1 of 2
5:05.0,L. Williams enters the game for J. Clarkson,,72-81,,
5:05.0,,,72-81,,B. Portis enters the game for T. Gibson
5:05.0,,,72-82,1,M. Dunleavy makes free throw 2 of 2
4:51.0,,,72-82,,Personal foul by A. Brooks (drawn by J. Randle)
4:51.0,,,72-82,,D. McDermott enters the game for M. Dunleavy
4:44.0,Shooting foul by B. Portis (drawn by D. Russell),,72-82,,
4:44.0,D. Russell makes free throw 1 of 2,1,73-82,,
4:44.0,D. Russell misses free throw 2 of 2,,73-82,,
4:43.0,,,73-82,,Defensive rebound by B. Portis
4:28.0,,,73-82,,A. Brooks misses 2-pt shot from 2 ft
4:26.0,Defensive rebound by J. Randle,,73-82,,
4:20.0,L. Williams makes 3-pt shot from 23 ft (assist by D. Russell),3,76-82,,
3:58.0,,,76-82,,A. Brooks misses 3-pt shot from 26 ft
3:56.0,Defensive rebound by L. Williams,,76-82,,
3:44.0,J. Randle misses 2-pt shot from 2 ft,,76-82,,
3:44.0,Offensive rebound by J. Randle,,76-82,,
3:44.0,J. Randle makes 2-pt shot from 2 ft,2,78-82,,
3:44.0,,,78-82,,Chicago full timeout
3:44.0,N. Young enters the game for K. Bryant,,78-82,,
3:33.0,,,78-85,3,D. McDermott makes 3-pt shot from 25 ft (assist by A. Brooks)
3:15.0,N. Young misses 2-pt shot from 18 ft,,78-85,,
3:13.0,Offensive rebound by J. Randle,,78-85,,
3:00.0,R. Hibbert misses 2-pt shot from 5 ft,,78-85,,
3:00.0,,,78-85,,Defensive rebound by P. Gasol
3:00.0,Personal foul by J. Randle (drawn by P. Gasol),,78-85,,
2:44.0,,,78-85,,P. Gasol misses 2-pt shot from 11 ft
2:43.0,Defensive rebound by J. Randle,,78-85,,
2:25.0,J. Randle makes 2-pt shot from 1 ft (assist by D. Russell),2,80-85,,
2:03.0,,,80-88,3,E. Moore makes 3-pt shot from 24 ft (assist by B. Portis)
1:43.0,Shooting foul by B. Portis (drawn by J. Randle),,80-88,,
1:43.0,J. Randle makes free throw 1 of 2,1,81-88,,
1:43.0,J. Randle misses free throw 2 of 2,,81-88,,
1:41.0,,,81-88,,Defensive rebound by E. Moore
1:23.0,,,81-91,3,E. Moore makes 3-pt shot from 25 ft (assist by B. Portis)
1:10.0,D. Russell misses 2-pt shot from 1 ft (block by P. Gasol),,81-91,,
1:09.0,,,81-91,,Defensive rebound by P. Gasol
1:03.0,,,81-93,2,P. Gasol makes 2-pt shot from 1 ft (assist by E. Moore)
1:01.0,LA Lakers full timeout,,81-93,,
0:42.0,L. Nance enters the game for J. Randle,,81-93,,
0:42.0,L. Nance misses 2-pt shot from 20 ft,,81-93,,
0:39.0,,,81-93,,Defensive rebound by B. Portis
0:30.0,,,81-95,2,B. Portis makes 2-pt shot at rim (assist by A. Brooks)
0:12.0,Turnover by D. Russell (bad pass; steal by A. Brooks),,81-95,,
0:09.0,,,81-97,2,E. Moore makes 2-pt shot at rim (assist by P. Gasol)
0:01.0,N. Young misses 3-pt shot from 26 ft,,81-97,,
0:00.0,,,81-97,,Defensive rebound by A. Brooks
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,Technical foul by N. Young,,81-97,,
12:00.0,,,81-98,1,D. McDermott makes technical free throw
11:48.0,Violation by L. Nance (kicked ball),,81-98,,
11:39.0,,,81-100,2,E. Moore makes 2-pt shot from 12 ft (assist by T. Gibson)
11:25.0,,,81-100,,Personal foul by T. Gibson
11:25.0,L. Williams makes free throw 1 of 2,1,82-100,,
11:25.0,L. Williams misses free throw 2 of 2,,82-100,,
11:24.0,,,82-100,,Defensive rebound by E. Moore
11:04.0,,,82-100,,Turnover by A. Brooks (bad pass; steal by B. Bass)
10:51.0,B. Bass makes 2-pt shot at rim (assist by L. Williams),2,84-100,,
10:40.0,,,84-100,,A. Brooks misses 2-pt shot from 21 ft
10:39.0,Defensive rebound by J. Clarkson,,84-100,,
10:30.0,J. Clarkson makes 2-pt shot from 21 ft,2,86-100,,
10:15.0,Personal foul by L. Nance (drawn by E. Moore),,86-100,,
10:15.0,,,86-100,,D. Rose enters the game for A. Brooks
10:05.0,,,86-102,2,B. Portis makes 2-pt shot from 20 ft (assist by D. Rose)
9:55.0,Shooting foul by D. Rose (drawn by J. Clarkson),,86-102,,
9:55.0,J. Clarkson misses free throw 1 of 2,,86-102,,
9:55.0,Offensive rebound by Team,,86-102,,
9:55.0,J. Clarkson makes free throw 2 of 2,1,87-102,,
9:38.0,,,87-104,2,D. McDermott makes 2-pt shot from 6 ft (assist by B. Portis)
9:28.0,J. Clarkson makes 3-pt shot from 25 ft,3,90-104,,
9:13.0,,,90-104,,E. Moore misses 2-pt shot from 3 ft (block by L. Nance)
9:13.0,,,90-104,,Offensive rebound by Team
9:11.0,Personal foul by J. Clarkson (drawn by D. Rose),,90-104,,
9:05.0,,,90-104,,Turnover by D. Rose (lost ball)
8:54.0,J. Clarkson makes 3-pt shot from 25 ft,3,93-104,,
8:41.0,,,93-106,2,D. Rose makes 2-pt shot from 6 ft
8:26.0,L. Williams misses 2-pt shot from 19 ft,,93-106,,
8:25.0,Offensive rebound by L. Nance,,93-106,,
8:25.0,Shooting foul by D. McDermott (drawn by L. Nance),,93-106,,
8:25.0,LA Lakers full timeout,,93-106,,
8:25.0,L. Nance misses free throw 1 of 2,,93-106,,
8:25.0,Offensive rebound by Team,,93-106,,
8:25.0,L. Nance makes free throw 2 of 2,1,94-106,,
8:14.0,,,94-106,,D. Rose misses 3-pt shot from 24 ft
8:13.0,Defensive rebound by B. Bass,,94-106,,
8:00.0,L. Williams makes 2-pt shot from 1 ft,2,96-106,,
7:40.0,,,96-106,,Turnover by B. Portis (bad pass; steal by J. Clarkson)
7:27.0,Shooting foul by B. Portis (drawn by J. Clarkson),,96-106,,
7:27.0,J. Clarkson makes free throw 1 of 2,1,97-106,,
7:27.0,,,97-106,,P. Gasol enters the game for T. Gibson
7:27.0,J. Clarkson makes free throw 2 of 2,1,98-106,,
7:12.0,,,98-108,2,D. McDermott makes 2-pt shot from 1 ft (assist by P. Gasol)
6:51.0,B. Bass makes 2-pt shot at rim (assist by J. Clarkson),2,100-108,,
6:51.0,Shooting foul by P. Gasol (drawn by B. Bass),,100-108,,
6:51.0,B. Bass misses free throw 1 of 1,,100-108,,
6:49.0,,,100-108,,Defensive rebound by B. Portis
6:35.0,,,100-108,,P. Gasol misses 2-pt shot from 18 ft
6:34.0,Defensive rebound by J. Clarkson,,100-108,,
6:26.0,J. Clarkson misses 3-pt shot from 25 ft,,100-108,,
6:26.0,,,100-108,,Defensive rebound by Team
6:13.0,,,100-108,,B. Portis misses 2-pt shot from 20 ft
6:11.0,Defensive rebound by N. Young,,100-108,,
6:05.0,Shooting foul by B. Portis (drawn by L. Williams),,100-108,,
6:05.0,L. Williams makes free throw 1 of 2,1,101-108,,
6:05.0,,,101-108,,T. Gibson enters the game for B. Portis
6:05.0,L. Williams makes free throw 2 of 2,1,102-108,,
5:55.0,Personal foul by L. Nance (drawn by T. Gibson),,102-108,,
5:55.0,,,102-108,,Chicago full timeout
5:49.0,,,102-108,,D. McDermott misses 3-pt shot from 24 ft
5:48.0,Defensive rebound by L. Nance,,102-108,,
5:33.0,L. Williams misses 3-pt shot from 25 ft,,102-108,,
5:32.0,Offensive rebound by J. Clarkson,,102-108,,
5:26.0,N. Young makes 3-pt shot from 26 ft (assist by J. Clarkson),3,105-108,,
5:02.0,,,105-108,,Shooting foul by B. Bass (drawn by P. Gasol)
5:02.0,,,105-109,1,P. Gasol makes free throw 1 of 2
5:02.0,,,105-109,,M. Dunleavy enters the game for D. McDermott
5:02.0,D. Russell enters the game for L. Williams,,105-109,,
5:02.0,,,105-110,1,P. Gasol makes free throw 2 of 2
4:46.0,,,105-110,,Personal foul by T. Gibson (drawn by B. Bass)
4:46.0,B. Bass makes free throw 1 of 2,1,106-110,,
4:46.0,J. Randle enters the game for L. Nance,,106-110,,
4:46.0,B. Bass makes free throw 2 of 2,1,107-110,,
4:32.0,,,107-112,2,D. Rose makes 2-pt shot from 17 ft
4:16.0,Turnover by J. Randle (bad pass; steal by E. Moore),,107-112,,
4:13.0,,,107-114,2,E. Moore makes 2-pt shot at rim
3:51.0,B. Bass misses 2-pt shot from 4 ft,,107-114,,
3:51.0,Offensive rebound by Team,,107-114,,
3:45.0,N. Young misses 2-pt shot from 3 ft (block by P. Gasol),,107-114,,
3:43.0,Offensive rebound by J. Clarkson,,107-114,,
3:33.0,D. Russell misses 2-pt shot from 11 ft (block by T. Gibson),,107-114,,
3:31.0,Offensive rebound by D. Russell,,107-114,,
3:26.0,D. Russell makes 3-pt shot from 26 ft,3,110-114,,
3:09.0,,,110-117,3,E. Moore makes 3-pt shot from 23 ft (assist by D. Rose)
3:08.0,LA Lakers full timeout,,110-117,,
3:08.0,K. Bryant enters the game for N. Young,,110-117,,
2:56.0,D. Russell misses 2-pt shot from 11 ft,,110-117,,
2:54.0,Offensive rebound by B. Bass,,110-117,,
2:51.0,Shooting foul by M. Dunleavy (drawn by K. Bryant),,110-117,,
2:51.0,K. Bryant makes free throw 1 of 3,1,111-117,,
2:51.0,K. Bryant misses free throw 2 of 3,,111-117,,
2:51.0,Offensive rebound by Team,,111-117,,
2:51.0,K. Bryant makes free throw 3 of 3,1,112-117,,
2:35.0,,,112-117,,Shooting foul by B. Bass (drawn by T. Gibson)
2:35.0,,,112-118,1,T. Gibson makes free throw 1 of 2
