time,Sacramento,pts.away,score,pts.home,Golden State
0:28.0,S. Curry misses 3-pt shot from 23 ft,,59-55,,
0:27.0,,,59-55,,Defensive rebound by S. Curry
0:22.0,,,59-58,3,S. Curry makes 3-pt shot from 28 ft
0:02.0,D. Collison makes 2-pt shot from 12 ft,2,61-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,R. Gay misses 2-pt shot from 2 ft,,61-58,,
11:48.0,,,61-58,,Defensive rebound by D. Green
11:31.0,,,61-61,3,B. Rush makes 3-pt shot from 25 ft (assist by K. Thompson)
11:20.0,Shooting foul by B. Rush (drawn by D. Cousins),,61-61,,
11:20.0,D. Cousins misses free throw 1 of 2,,61-61,,
11:20.0,Offensive rebound by Team,,61-61,,
11:20.0,D. Cousins makes free throw 2 of 2,1,62-61,,
11:02.0,,,62-64,3,K. Thompson makes 3-pt shot from 26 ft (assist by A. Bogut)
10:53.0,D. Cousins misses 3-pt shot from 26 ft,,62-64,,
10:52.0,,,62-64,,Defensive rebound by S. Curry
10:38.0,,,62-64,,S. Curry misses 3-pt shot from 25 ft
10:37.0,Defensive rebound by O. Casspi,,62-64,,
10:25.0,D. Cousins makes 2-pt shot at rim (assist by R. Rondo),2,64-64,,
10:10.0,,,64-64,,K. Thompson misses 3-pt shot from 25 ft
10:09.0,Defensive rebound by R. Rondo,,64-64,,
10:04.0,B. McLemore makes 2-pt shot from 1 ft (assist by R. Rondo),2,66-64,,
9:52.0,,,66-64,,Turnover by D. Green (bad pass; steal by R. Rondo)
9:52.0,,,66-64,,Loose ball foul by B. Rush (drawn by R. Rondo)
9:52.0,,,66-64,,A. Iguodala enters the game for B. Rush
9:33.0,D. Cousins misses 2-pt shot from 20 ft,,66-64,,
9:32.0,,,66-64,,Defensive rebound by S. Curry
9:25.0,Personal foul by D. Cousins (drawn by S. Curry),,66-64,,
9:22.0,,,66-64,,Turnover by K. Thompson (bad pass)
9:07.0,D. Cousins misses 2-pt shot from 7 ft,,66-64,,
9:06.0,,,66-64,,Defensive rebound by A. Bogut
8:57.0,,,66-64,,Shooting foul by D. Cousins (drawn by S. Curry)
8:57.0,Technical foul by D. Cousins (drawn by S. Curry),,66-64,,
8:57.0,Technical foul by D. Cousins (drawn by S. Curry),,66-64,,
8:57.0,Q. Acy enters the game for D. Cousins,,66-64,,
8:57.0,,,66-65,1,S. Curry makes technical free throw
8:57.0,,,66-66,1,S. Curry makes technical free throw
8:57.0,,,66-66,,S. Curry misses free throw 1 of 2
8:57.0,,,66-66,,Offensive rebound by Team
8:57.0,,,66-67,1,S. Curry makes free throw 2 of 2
8:34.0,R. Rondo misses 3-pt shot from 24 ft,,66-67,,
8:33.0,,,66-67,,Defensive rebound by S. Curry
8:26.0,D. Collison enters the game for B. McLemore,,66-67,,
8:18.0,,,66-70,3,D. Green makes 3-pt shot from 25 ft (assist by S. Curry)
7:56.0,R. Gay misses 2-pt shot from 2 ft,,66-70,,
7:56.0,Offensive rebound by Q. Acy,,66-70,,
7:56.0,Turnover by Q. Acy (lost ball; steal by A. Bogut),,66-70,,
7:56.0,Jump ball: Q. Acy vs. A. Bogut (D. Green gains possession),,,,Jump ball: Q. Acy vs. A. Bogut (D. Green gains possession)
7:44.0,,,66-73,3,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry)
7:41.0,Sacramento full timeout,,66-73,,
7:27.0,O. Casspi misses 2-pt shot from 4 ft (block by K. Thompson),,66-73,,
7:26.0,,,66-73,,Defensive rebound by A. Iguodala
7:12.0,,,66-73,,S. Curry misses 2-pt shot from 2 ft
7:10.0,,,66-73,,Offensive rebound by D. Green
