time,Phoenix,pts.away,score,pts.home,Oklahoma City
8:36.0,,,39-35,,Offensive rebound by N. Collison
8:27.0,,,39-35,,C. Payne misses 3-pt shot from 24 ft
8:26.0,Defensive rebound by P. Tucker,,39-35,,
8:09.0,M. Teletovic misses 3-pt shot from 24 ft,,39-35,,
8:08.0,,,39-35,,Defensive rebound by A. Roberson
8:00.0,,,39-35,,E. Kanter misses 2-pt shot from 13 ft
7:59.0,Defensive rebound by T. Warren,,39-35,,
7:41.0,B. Knight misses 2-pt shot from 17 ft,,39-35,,
7:41.0,,,39-35,,Defensive rebound by E. Kanter
7:31.0,,,39-37,2,A. Morrow makes 2-pt shot from 15 ft (assist by C. Payne)
7:14.0,B. Knight makes 2-pt shot from 1 ft,2,41-37,,
7:10.0,Personal foul by B. Knight (drawn by C. Payne),,41-37,,
7:10.0,,,41-37,,R. Westbrook enters the game for N. Collison
7:10.0,,,41-37,,S. Ibaka enters the game for C. Payne
7:10.0,,,41-37,,K. Durant enters the game for A. Morrow
6:54.0,,,41-39,2,R. Westbrook makes 2-pt shot from 18 ft
6:39.0,Turnover by M. Teletovic (traveling),,41-39,,
6:22.0,,,41-41,2,E. Kanter makes 2-pt shot from 12 ft (assist by R. Westbrook)
6:04.0,B. Knight misses 2-pt shot from 17 ft,,41-41,,
6:03.0,,,41-41,,Defensive rebound by E. Kanter
5:50.0,,,41-41,,S. Ibaka misses 2-pt shot from 5 ft
5:50.0,Defensive rebound by M. Teletovic,,41-41,,
5:41.0,P. Tucker misses 3-pt shot from 23 ft,,41-41,,
5:40.0,Offensive rebound by T. Warren,,41-41,,
5:35.0,T. Warren makes 2-pt shot from 6 ft,2,43-41,,
5:08.0,,,43-41,,K. Durant misses 2-pt shot from 14 ft
5:08.0,Defensive rebound by T. Warren,,43-41,,
5:00.0,Turnover by T. Chandler (bad pass; steal by R. Westbrook),,43-41,,
4:55.0,,,43-43,2,K. Durant makes 2-pt shot at rim (assist by R. Westbrook)
4:54.0,Phoenix full timeout,,43-43,,
4:54.0,,,43-43,,S. Adams enters the game for E. Kanter
4:54.0,D. Booker enters the game for M. Teletovic,,43-43,,
4:40.0,Turnover by D. Booker (bad pass; steal by A. Roberson),,43-43,,
4:35.0,,,43-45,2,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook)
4:17.0,T. Warren misses 2-pt shot from 17 ft,,43-45,,
4:16.0,,,43-45,,Defensive rebound by S. Adams
4:08.0,,,43-47,2,K. Durant makes 2-pt shot from 1 ft (assist by R. Westbrook)
3:56.0,,,43-47,,Personal foul by A. Roberson (drawn by D. Booker)
3:47.0,Turnover by D. Booker (bad pass; steal by R. Westbrook),,43-47,,
3:42.0,,,43-47,,Turnover by K. Durant (bad pass; steal by T. Warren)
3:37.0,T. Warren makes 2-pt shot at rim (assist by D. Booker),2,45-47,,
3:22.0,,,45-47,,K. Durant misses 2-pt shot from 5 ft
3:21.0,,,45-47,,Offensive rebound by S. Adams
3:13.0,,,45-47,,Turnover by R. Westbrook (bad pass; steal by B. Knight)
3:02.0,T. Warren makes 3-pt shot from 25 ft (assist by B. Knight),3,48-47,,
2:51.0,,,48-47,,Technical foul by K. Durant
2:51.0,Official timeout,,48-47,,
2:51.0,B. Knight makes technical free throw,1,49-47,,
2:39.0,,,49-47,,R. Westbrook misses 2-pt shot from 15 ft
2:38.0,,,49-47,,Offensive rebound by S. Adams
2:32.0,,,49-47,,Shooting foul by T. Chandler (drawn by R. Westbrook)
2:32.0,,,49-48,1,R. Westbrook makes free throw 1 of 2
2:32.0,,,49-49,1,R. Westbrook makes free throw 2 of 2
2:19.0,Turnover by D. Booker (bad pass; steal by R. Westbrook),,49-49,,
2:15.0,,,49-51,2,R. Westbrook makes 2-pt shot at rim
2:01.0,T. Chandler makes 2-pt shot at rim (assist by T. Warren),2,51-51,,
1:46.0,Personal foul by D. Booker (drawn by K. Durant),,51-51,,
1:46.0,,,51-51,,K. Durant misses free throw 1 of 2
1:46.0,,,51-51,,Offensive rebound by Team
1:46.0,A. Len enters the game for T. Chandler,,51-51,,
1:46.0,,,51-52,1,K. Durant makes free throw 2 of 2
1:33.0,Offensive foul by A. Len,,51-52,,
1:33.0,Turnover by A. Len (offensive foul),,51-52,,
1:20.0,,,51-52,,Turnover by S. Ibaka (lost ball; steal by P. Tucker)
1:13.0,T. Warren misses 3-pt shot from 23 ft,,51-52,,
1:12.0,,,51-52,,Defensive rebound by S. Ibaka
1:00.0,,,51-52,,S. Adams misses 2-pt shot from 2 ft (block by A. Len)
1:00.0,Defensive rebound by T. Warren,,51-52,,
0:54.0,D. Booker misses 2-pt shot from 17 ft,,51-52,,
0:54.0,,,51-52,,Defensive rebound by S. Ibaka
0:46.0,,,51-52,,K. Durant misses 3-pt shot from 24 ft
0:46.0,Defensive rebound by B. Knight,,51-52,,
0:32.0,Shooting foul by S. Adams (drawn by B. Knight),,51-52,,
0:32.0,B. Knight makes free throw 1 of 2,1,52-52,,
0:32.0,M. Teletovic enters the game for P. Tucker,,52-52,,
0:32.0,B. Knight makes free throw 2 of 2,1,53-52,,
0:11.0,,,53-54,2,S. Adams makes 2-pt shot from 3 ft (assist by R. Westbrook)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,Turnover by D. Booker (lost ball; steal by A. Roberson),,53-54,,
11:21.0,,,53-56,2,K. Durant makes 2-pt shot from 21 ft (assist by R. Westbrook)
11:09.0,Turnover by D. Booker (lost ball; steal by A. Roberson),,53-56,,
11:06.0,,,53-56,,Shooting foul by T. Warren (drawn by K. Durant)
11:06.0,,,53-58,2,K. Durant makes 2-pt shot at rim (assist by A. Roberson)
11:06.0,,,53-59,1,K. Durant makes free throw 1 of 1
10:51.0,P. Tucker makes 2-pt shot from 13 ft,2,55-59,,
10:37.0,,,55-59,,Turnover by S. Ibaka (lost ball; steal by B. Knight)
10:27.0,B. Knight misses 2-pt shot from 20 ft,,55-59,,
10:26.0,,,55-59,,Defensive rebound by S. Adams
10:10.0,,,55-59,,Turnover by S. Adams (lost ball; steal by P. Tucker)
10:07.0,T. Warren makes 2-pt shot from 1 ft (assist by D. Booker),2,57-59,,
10:07.0,Shooting foul by R. Westbrook (drawn by T. Warren),,57-59,,
10:07.0,T. Warren makes free throw 1 of 1,1,58-59,,
9:43.0,,,58-59,,R. Westbrook misses 3-pt shot from 23 ft
9:42.0,Defensive rebound by T. Warren,,58-59,,
9:33.0,B. Knight makes 2-pt shot from 1 ft,2,60-59,,
9:29.0,,,60-59,,Oklahoma City full timeout
9:15.0,,,60-59,,R. Westbrook misses 2-pt shot from 1 ft
9:14.0,,,60-59,,Offensive rebound by Team
9:14.0,Loose ball foul by B. Knight (drawn by S. Adams),,60-59,,
9:05.0,,,60-59,,S. Adams misses 2-pt shot from 2 ft
9:04.0,Defensive rebound by T. Chandler,,60-59,,
8:41.0,D. Booker makes 2-pt shot from 8 ft,2,62-59,,
8:25.0,,,62-62,3,A. Roberson makes 3-pt shot from 23 ft (assist by S. Ibaka)
8:08.0,D. Booker misses 2-pt shot from 5 ft,,62-62,,
8:07.0,,,62-62,,Defensive rebound by S. Adams
7:58.0,,,62-62,,K. Durant misses 3-pt shot from 24 ft
7:57.0,Defensive rebound by T. Chandler,,62-62,,
7:31.0,T. Warren misses 3-pt shot from 22 ft,,62-62,,
7:31.0,Offensive rebound by Team,,62-62,,
7:30.0,,,62-62,,D. Waiters enters the game for S. Adams
7:23.0,Shooting foul by D. Waiters (drawn by T. Warren),,62-62,,
7:23.0,T. Warren makes 2-pt shot from 9 ft (assist by B. Knight),2,64-62,,
7:23.0,T. Warren makes free throw 1 of 1,1,65-62,,
7:05.0,,,65-62,,Shooting foul by T. Warren (drawn by K. Durant)
7:05.0,,,65-62,,K. Durant misses free throw 1 of 2
7:05.0,,,65-62,,Offensive rebound by Team
7:05.0,,,65-63,1,K. Durant makes free throw 2 of 2
6:51.0,P. Tucker misses 3-pt shot from 24 ft,,65-63,,
6:51.0,,,65-63,,Defensive rebound by A. Roberson
6:45.0,,,65-65,2,R. Westbrook makes 2-pt shot at rim
6:29.0,B. Knight misses 2-pt shot at rim,,65-65,,
6:28.0,Offensive rebound by T. Chandler,,65-65,,
6:28.0,T. Chandler makes 2-pt shot at rim,2,67-65,,
6:13.0,,,67-67,2,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook)
6:00.0,Turnover by B. Knight (bad pass; steal by D. Waiters),,67-67,,
5:56.0,,,67-69,2,D. Waiters makes 2-pt shot at rim
5:43.0,B. Knight misses 2-pt shot from 17 ft,,67-69,,
5:42.0,,,67-69,,Defensive rebound by A. Roberson
5:29.0,,,67-69,,R. Westbrook misses 2-pt shot from 6 ft
5:28.0,,,67-69,,Offensive rebound by S. Ibaka
5:22.0,,,67-69,,K. Durant misses 2-pt shot from 18 ft
5:22.0,,,67-69,,Offensive rebound by Team
5:22.0,Loose ball foul by P. Tucker (drawn by S. Ibaka),,67-69,,
5:11.0,,,67-71,2,R. Westbrook makes 2-pt shot at rim
5:04.0,Phoenix full timeout,,67-71,,
5:02.0,M. Teletovic enters the game for P. Tucker,,67-71,,
5:02.0,A. Len enters the game for T. Chandler,,67-71,,
4:51.0,T. Warren makes 2-pt shot from 2 ft (assist by M. Teletovic),2,69-71,,
4:40.0,,,69-74,3,K. Durant makes 3-pt shot from 24 ft (assist by R. Westbrook)
4:15.0,B. Knight misses 2-pt shot from 1 ft (block by S. Ibaka),,69-74,,
4:14.0,,,69-74,,Defensive rebound by D. Waiters
4:11.0,,,69-74,,Turnover by D. Waiters (bad pass)
3:57.0,,,69-74,,Personal foul by D. Waiters (drawn by D. Booker)
3:44.0,M. Teletovic makes 2-pt shot from 2 ft,2,71-74,,
3:25.0,,,71-74,,Shooting foul by A. Len (drawn by R. Westbrook)
3:25.0,,,71-75,1,R. Westbrook makes free throw 1 of 2
3:25.0,,,71-76,1,R. Westbrook makes free throw 2 of 2
3:03.0,M. Teletovic makes 2-pt shot from 4 ft (assist by A. Len),2,73-76,,
2:42.0,,,73-78,2,R. Westbrook makes 2-pt shot from 15 ft
2:42.0,,,73-78,,Shooting foul by D. Booker (drawn by R. Westbrook)
2:42.0,P. Tucker enters the game for T. Warren,,73-78,,
2:42.0,,,73-79,1,R. Westbrook makes free throw 1 of 1
2:24.0,,,73-79,,C. Payne enters the game for R. Westbrook
2:24.0,,,73-79,,E. Kanter enters the game for S. Ibaka
2:21.0,M. Teletovic makes 3-pt shot from 24 ft (assist by P. Tucker),3,76-79,,
2:03.0,,,76-82,3,K. Durant makes 3-pt shot from 24 ft (assist by C. Payne)
1:41.0,M. Teletovic misses 3-pt shot from 24 ft,,76-82,,
1:40.0,,,76-82,,Defensive rebound by D. Waiters
1:30.0,,,76-84,2,A. Roberson makes 2-pt shot from 1 ft (assist by C. Payne)
1:17.0,,,76-84,,Personal foul by A. Roberson (drawn by P. Tucker)
1:17.0,,,76-84,,A. Morrow enters the game for A. Roberson
1:17.0,B. Cotton enters the game for B. Knight,,76-84,,
1:06.0,P. Tucker makes 2-pt shot from 1 ft,2,78-84,,
0:53.0,,,78-84,,D. Waiters misses 3-pt shot from 24 ft
0:52.0,,,78-84,,Offensive rebound by E. Kanter
0:50.0,Personal foul by A. Len (drawn by E. Kanter),,78-84,,
0:50.0,,,78-84,,E. Kanter misses free throw 1 of 2
0:50.0,,,78-84,,Offensive rebound by Team
0:50.0,T. Warren enters the game for A. Len,,78-84,,
0:50.0,,,78-84,,K. Singler enters the game for D. Waiters
0:50.0,,,78-85,1,E. Kanter makes free throw 2 of 2
0:29.0,D. Booker misses 2-pt shot from 1 ft,,78-85,,
0:29.0,Offensive rebound by P. Tucker,,78-85,,
0:27.0,P. Tucker makes 2-pt shot from 3 ft,2,80-85,,
0:06.0,,,80-85,,C. Payne misses 2-pt shot from 2 ft
0:04.0,,,80-85,,Offensive rebound by E. Kanter
0:04.0,,,80-85,,Oklahoma City full timeout
0:04.0,T. Chandler enters the game for M. Teletovic,,80-85,,
0:00.0,,,80-87,2,E. Kanter makes 2-pt shot from 3 ft (assist by K. Singler)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,,,80-89,2,K. Singler makes 2-pt shot from 11 ft (assist by C. Payne)
11:36.0,T. Warren misses 2-pt shot from 17 ft,,80-89,,
11:35.0,,,80-89,,Defensive rebound by D. Waiters
11:33.0,,,80-89,,Turnover by D. Waiters (bad pass; steal by T. Warren)
11:24.0,M. Teletovic makes 3-pt shot from 24 ft (assist by P. Tucker),3,83-89,,
11:13.0,,,83-89,,K. Singler misses 2-pt shot at rim (block by M. Teletovic)
11:12.0,,,83-89,,Offensive rebound by K. Singler
11:01.0,,,83-89,,C. Payne misses 2-pt shot from 12 ft
11:01.0,Defensive rebound by T. Warren,,83-89,,
10:52.0,T. Chandler makes 2-pt shot at rim (assist by T. Warren),2,85-89,,
10:25.0,,,85-89,,A. Morrow misses 2-pt shot from 11 ft
10:24.0,Defensive rebound by T. Warren,,85-89,,
10:11.0,,,85-89,,Personal foul by K. Singler (drawn by T. Chandler)
10:11.0,,,85-89,,S. Adams enters the game for E. Kanter
10:11.0,A. Len enters the game for T. Chandler,,85-89,,
9:58.0,T. Warren makes 2-pt shot from 10 ft,2,87-89,,
9:44.0,,,87-89,,Turnover by C. Payne (bad pass; steal by T. Warren)
9:31.0,Turnover by M. Teletovic (bad pass),,87-89,,
9:31.0,,,87-89,,Oklahoma City full timeout
9:19.0,,,87-89,,K. Singler misses 2-pt shot from 5 ft (block by A. Len)
9:17.0,Defensive rebound by A. Len,,87-89,,
9:11.0,B. Knight misses 3-pt shot from 24 ft,,87-89,,
9:10.0,Offensive rebound by M. Teletovic,,87-89,,
8:54.0,Turnover by B. Knight (bad pass; steal by A. Morrow),,87-89,,
8:50.0,,,87-91,2,C. Payne makes 2-pt shot at rim (assist by D. Waiters)
8:30.0,T. Warren misses 2-pt shot from 9 ft,,87-91,,
8:30.0,,,87-91,,Defensive rebound by D. Waiters
8:23.0,,,87-94,3,K. Singler makes 3-pt shot from 22 ft (assist by D. Waiters)
8:20.0,Phoenix full timeout,,87-94,,
8:20.0,,,87-94,,R. Westbrook enters the game for C. Payne
8:20.0,,,87-94,,K. Durant enters the game for A. Morrow
8:20.0,T. Chandler enters the game for A. Len,,87-94,,
8:08.0,M. Teletovic misses 3-pt shot from 24 ft,,87-94,,
8:04.0,Offensive rebound by T. Chandler,,87-94,,
8:04.0,T. Chandler misses 2-pt shot from 2 ft,,87-94,,
8:03.0,,,87-94,,Defensive rebound by K. Singler
7:51.0,,,87-94,,K. Durant misses 3-pt shot from 25 ft
7:50.0,Defensive rebound by T. Warren,,87-94,,
7:41.0,Turnover by B. Knight (lost ball; steal by D. Waiters),,87-94,,
7:37.0,,,87-96,2,D. Waiters makes 2-pt shot from 2 ft
7:31.0,Phoenix full timeout,,87-96,,
7:31.0,D. Booker enters the game for M. Teletovic,,87-96,,
7:20.0,B. Knight makes 2-pt shot at rim (assist by T. Chandler),2,89-96,,
7:02.0,,,89-96,,Turnover by S. Adams (bad pass; steal by P. Tucker)
6:57.0,P. Tucker makes 2-pt shot from 1 ft,2,91-96,,
6:57.0,Violation by Team (delay of game),,91-96,,
6:39.0,,,91-96,,K. Durant misses 3-pt shot from 24 ft
6:38.0,,,91-96,,Offensive rebound by S. Adams
6:21.0,,,91-98,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
6:08.0,T. Chandler makes 2-pt shot at rim (assist by B. Knight),2,93-98,,
5:48.0,,,93-100,2,K. Singler makes 2-pt shot from 8 ft (assist by S. Adams)
5:28.0,Shooting foul by D. Waiters (drawn by T. Warren),,93-100,,
5:28.0,T. Warren makes free throw 1 of 2,1,94-100,,
5:28.0,T. Warren makes free throw 2 of 2,1,95-100,,
5:17.0,,,95-100,,R. Westbrook misses 3-pt shot from 24 ft
5:17.0,Defensive rebound by P. Tucker,,95-100,,
5:03.0,B. Knight misses 2-pt shot from 16 ft,,95-100,,
5:03.0,,,95-100,,Defensive rebound by S. Adams
4:58.0,,,95-100,,Turnover by R. Westbrook (lost ball; steal by T. Warren)
4:51.0,T. Chandler makes 2-pt shot from 2 ft (assist by D. Booker),2,97-100,,
4:51.0,Shooting foul by S. Adams (drawn by T. Chandler),,97-100,,
4:51.0,T. Chandler makes free throw 1 of 1,1,98-100,,
4:37.0,,,98-100,,R. Westbrook misses 2-pt shot from 14 ft
4:36.0,Defensive rebound by P. Tucker,,98-100,,
4:18.0,Turnover by P. Tucker (lost ball; steal by R. Westbrook),,98-100,,
4:16.0,Personal take foul by B. Knight (drawn by K. Durant),,98-100,,
4:03.0,,,98-100,,K. Durant misses 2-pt shot from 18 ft
4:03.0,Defensive rebound by T. Warren,,98-100,,
3:47.0,B. Knight misses 2-pt shot from 10 ft,,98-100,,
3:47.0,Offensive rebound by T. Chandler,,98-100,,
3:43.0,P. Tucker makes 2-pt shot from 22 ft (assist by T. Chandler),2,100-100,,
3:35.0,,,100-100,,Oklahoma City full timeout
3:34.0,,,100-100,,S. Ibaka enters the game for S. Adams
3:19.0,,,100-100,,K. Durant misses 2-pt shot from 12 ft
3:19.0,Defensive rebound by T. Chandler,,100-100,,
2:54.0,B. Knight misses 2-pt shot from 13 ft,,100-100,,
2:52.0,,,100-100,,Defensive rebound by K. Singler
2:34.0,,,100-100,,R. Westbrook misses 2-pt shot from 1 ft
2:33.0,Defensive rebound by T. Chandler,,100-100,,
2:16.0,Turnover by T. Chandler (traveling),,100-100,,
2:02.0,Personal foul by B. Knight (drawn by S. Ibaka),,100-100,,
1:57.0,,,100-102,2,R. Westbrook makes 2-pt shot from 13 ft
1:34.0,T. Chandler misses 2-pt shot from 1 ft,,100-102,,
1:34.0,Offensive rebound by T. Chandler,,100-102,,
1:34.0,T. Chandler makes 2-pt shot from 1 ft,2,102-102,,
1:34.0,Shooting foul by S. Ibaka (drawn by T. Chandler),,102-102,,
1:34.0,T. Chandler misses free throw 1 of 1,,102-102,,
1:34.0,,,102-102,,Defensive rebound by S. Ibaka
1:17.0,,,102-104,2,K. Durant makes 2-pt shot from 13 ft
0:58.0,B. Knight misses 3-pt shot from 25 ft,,102-104,,
0:57.0,,,102-104,,Defensive rebound by K. Durant
0:36.0,,,102-104,,K. Durant misses 3-pt shot from 24 ft
0:35.0,,,102-104,,Offensive rebound by K. Singler
0:32.0,,,102-106,2,K. Durant makes 2-pt shot at rim (assist by K. Singler)
0:32.0,Phoenix full timeout,,102-106,,
0:29.0,B. Knight makes 2-pt shot at rim (assist by T. Chandler),2,104-106,,
0:21.0,Personal take foul by T. Chandler (drawn by K. Singler),,104-106,,
0:18.0,Personal block foul by B. Knight (drawn by R. Westbrook),,104-106,,
0:18.0,,,104-107,1,R. Westbrook makes free throw 1 of 2
0:18.0,,,104-108,1,R. Westbrook makes free throw 2 of 2
0:18.0,Phoenix full timeout,,104-108,,
0:15.0,B. Knight makes 2-pt shot at rim (assist by T. Chandler),2,106-108,,
0:14.0,Personal take foul by P. Tucker (drawn by R. Westbrook),,106-108,,
