time,Atlanta,pts.away,score,pts.home,Detroit
7:20.0,P. Millsap misses 3-pt shot from 25 ft,,68-69,,
7:19.0,,,68-69,,Defensive rebound by T. Harris
7:13.0,,,68-69,,Shooting foul by K. Korver (drawn by K. Caldwell-Pope)
7:13.0,,,68-70,1,K. Caldwell-Pope makes free throw 1 of 2
7:13.0,,,68-70,,S. Blake enters the game for R. Jackson
7:13.0,K. Humphries enters the game for A. Horford,,68-70,,
7:13.0,,,68-71,1,K. Caldwell-Pope makes free throw 2 of 2
6:59.0,K. Humphries misses 2-pt shot from 20 ft,,68-71,,
6:59.0,,,68-71,,Defensive rebound by M. Morris
6:50.0,,,68-71,,A. Drummond misses 2-pt shot from 8 ft
6:49.0,Defensive rebound by P. Millsap,,68-71,,
6:40.0,K. Bazemore misses 3-pt shot from 23 ft,,68-71,,
6:40.0,,,68-71,,Defensive rebound by S. Blake
6:30.0,Technical foul by K. Bazemore,,68-71,,
6:30.0,,,68-72,1,K. Caldwell-Pope makes technical free throw
6:19.0,,,68-72,,Turnover by A. Drummond (lost ball; steal by P. Millsap)
6:13.0,K. Bazemore makes 2-pt shot at rim,2,70-72,,
5:57.0,,,70-72,,T. Harris misses 3-pt shot from 25 ft
5:56.0,Defensive rebound by K. Bazemore,,70-72,,
5:47.0,,,70-72,,Personal foul by A. Drummond
5:47.0,,,70-72,,Detroit full timeout
5:41.0,Turnover by J. Teague (lost ball; steal by M. Morris),,70-72,,
5:35.0,,,70-72,,Shooting foul by K. Humphries (drawn by M. Morris)
5:35.0,,,70-73,1,M. Morris makes free throw 1 of 2
5:35.0,,,70-74,1,M. Morris makes free throw 2 of 2
5:30.0,Shooting foul by S. Blake (drawn by J. Teague),,70-74,,
5:30.0,J. Teague makes free throw 1 of 2,1,71-74,,
5:30.0,,,71-74,,S. Johnson enters the game for M. Morris
5:30.0,T. Sefolosha enters the game for K. Bazemore,,71-74,,
5:30.0,J. Teague misses free throw 2 of 2,,71-74,,
5:29.0,,,71-74,,Defensive rebound by A. Drummond
5:19.0,,,71-74,,Shooting foul by K. Korver (drawn by K. Caldwell-Pope)
5:19.0,,,71-75,1,K. Caldwell-Pope makes free throw 1 of 2
5:19.0,D. Schroder enters the game for J. Teague,,71-75,,
5:19.0,,,71-75,,K. Caldwell-Pope misses free throw 2 of 2
5:18.0,Defensive rebound by K. Humphries,,71-75,,
5:04.0,D. Schroder misses 2-pt shot from 18 ft,,71-75,,
5:03.0,,,71-75,,Defensive rebound by S. Blake
4:54.0,,,71-77,2,T. Harris makes 2-pt shot from 4 ft (assist by S. Blake)
4:44.0,Turnover by D. Schroder (palming),,71-77,,
4:44.0,T. Hardaway enters the game for K. Korver,,71-77,,
4:19.0,,,71-77,,K. Caldwell-Pope misses 3-pt shot from 26 ft
4:18.0,,,71-77,,Offensive rebound by A. Drummond
4:18.0,,,71-79,2,A. Drummond makes 2-pt shot at rim
4:18.0,,,71-79,,Shooting foul by K. Humphries (drawn by A. Drummond)
4:18.0,Atlanta full timeout,,71-79,,
4:18.0,A. Horford enters the game for K. Humphries,,71-79,,
4:18.0,,,71-80,1,A. Drummond makes free throw 1 of 1
4:12.0,Offensive foul by D. Schroder,,71-80,,
4:12.0,Turnover by D. Schroder (offensive foul),,71-80,,
4:02.0,Personal foul by P. Millsap,,71-80,,
4:02.0,,,71-81,1,T. Harris makes free throw 1 of 2
4:02.0,,,71-82,1,T. Harris makes free throw 2 of 2
3:49.0,D. Schroder misses 2-pt shot from 17 ft,,71-82,,
3:49.0,Offensive rebound by A. Horford,,71-82,,
3:40.0,A. Horford makes 3-pt shot from 25 ft (assist by D. Schroder),3,74-82,,
3:36.0,Personal take foul by T. Sefolosha,,74-82,,
3:36.0,,,74-82,,A. Drummond misses free throw 1 of 2
3:36.0,,,74-82,,Offensive rebound by Team
3:36.0,,,74-82,,A. Drummond misses free throw 2 of 2
3:34.0,Defensive rebound by P. Millsap,,74-82,,
3:25.0,Shooting foul by S. Blake (drawn by T. Hardaway),,74-82,,
3:25.0,T. Hardaway makes free throw 1 of 2,1,75-82,,
3:25.0,,,75-82,,A. Baynes enters the game for A. Drummond
3:25.0,T. Hardaway makes free throw 2 of 2,1,76-82,,
3:05.0,,,76-82,,K. Caldwell-Pope misses 2-pt shot from 14 ft
3:04.0,Defensive rebound by P. Millsap,,76-82,,
2:52.0,D. Schroder makes 2-pt shot at rim,2,78-82,,
2:31.0,,,78-84,2,K. Caldwell-Pope makes 2-pt shot from 9 ft (assist by S. Johnson)
2:21.0,D. Schroder misses 3-pt shot from 25 ft,,78-84,,
2:20.0,Offensive rebound by Team,,78-84,,
2:11.0,A. Horford makes 2-pt shot from 15 ft (assist by D. Schroder),2,80-84,,
1:51.0,,,80-84,,Turnover by S. Johnson (lost ball; steal by D. Schroder)
1:46.0,P. Millsap misses 3-pt shot from 27 ft,,80-84,,
1:43.0,Offensive rebound by T. Sefolosha,,80-84,,
1:43.0,T. Sefolosha makes 2-pt shot from 1 ft,2,82-84,,
1:43.0,Shooting foul by K. Caldwell-Pope (drawn by T. Sefolosha),,82-84,,
1:43.0,T. Sefolosha makes free throw 1 of 1,1,83-84,,
1:28.0,,,83-84,,T. Harris misses 2-pt shot from 2 ft (block by A. Horford)
1:27.0,Defensive rebound by A. Horford,,83-84,,
1:23.0,T. Sefolosha misses 2-pt shot at rim (block by K. Caldwell-Pope),,83-84,,
1:22.0,,,83-84,,Defensive rebound by A. Baynes
1:12.0,,,83-84,,S. Johnson misses 2-pt shot from 14 ft
1:11.0,Defensive rebound by P. Millsap,,83-84,,
1:11.0,,,83-84,,Personal foul by S. Blake
1:11.0,D. Schroder makes free throw 1 of 2,1,84-84,,
1:11.0,M. Scott enters the game for P. Millsap,,84-84,,
1:11.0,D. Schroder makes free throw 2 of 2,1,85-84,,
0:57.0,,,85-84,,A. Baynes misses 2-pt shot from 20 ft
0:57.0,Defensive rebound by A. Horford,,85-84,,
0:44.0,A. Horford makes 2-pt shot at rim (assist by D. Schroder),2,87-84,,
0:28.0,,,87-86,2,S. Blake makes 2-pt shot at rim
0:06.0,A. Horford misses 3-pt shot from 26 ft,,87-86,,
0:05.0,,,87-86,,Defensive rebound by S. Johnson
0:02.0,Personal foul by D. Schroder,,87-86,,
0:02.0,,,87-87,1,S. Johnson makes free throw 1 of 2
0:02.0,,,87-88,1,S. Johnson makes free throw 2 of 2
0:01.0,D. Schroder misses 3-pt shot from 44 ft,,87-88,,
0:00.0,Offensive rebound by Team,,87-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,D. Schroder makes 2-pt shot from 14 ft,2,89-88,,
11:22.0,,,89-88,,M. Morris misses 2-pt shot from 17 ft
11:22.0,Defensive rebound by D. Schroder,,89-88,,
11:15.0,K. Korver misses 3-pt shot from 26 ft,,89-88,,
