time,Indiana,pts.away,score,pts.home,Washington
10:46.0,Personal foul by G. Hill (drawn by R. Sessions),,31-39,,
10:35.0,,,31-41,2,G. Temple makes 2-pt shot from 12 ft (assist by A. Anderson)
10:15.0,Offensive foul by J. Hill,,31-41,,
10:15.0,Turnover by J. Hill (offensive foul),,31-41,,
10:15.0,,,31-41,,M. Gortat enters the game for N. Hilario
9:57.0,,,31-41,,R. Sessions misses 2-pt shot from 4 ft
9:56.0,,,31-41,,Offensive rebound by M. Gortat
9:51.0,,,31-41,,A. Anderson misses 2-pt shot from 13 ft
9:50.0,Defensive rebound by J. Hill,,31-41,,
9:30.0,R. Stuckey makes 2-pt shot from 7 ft (assist by G. Hill),2,33-41,,
9:25.0,,,33-41,,R. Sessions misses 2-pt shot from 1 ft
9:23.0,,,33-41,,Offensive rebound by G. Temple
9:19.0,,,33-41,,Shooting foul by J. Hill (drawn by R. Sessions)
9:19.0,,,33-42,1,R. Sessions makes free throw 1 of 2
9:19.0,,,33-42,,B. Beal enters the game for A. Anderson
9:19.0,,,33-43,1,R. Sessions makes free throw 2 of 2
9:06.0,G. Hill misses 2-pt shot from 3 ft,,33-43,,
9:05.0,Offensive rebound by J. Hill,,33-43,,
9:03.0,J. Hill makes 2-pt shot at rim,2,35-43,,
8:51.0,,,35-43,,B. Beal misses 2-pt shot from 12 ft
8:50.0,Defensive rebound by L. Allen,,35-43,,
8:47.0,S. Hill misses 3-pt shot from 26 ft,,35-43,,
8:44.0,,,35-43,,Defensive rebound by Team
8:44.0,Official timeout,,35-43,,
8:27.0,,,35-45,2,J. Dudley makes 2-pt shot from 20 ft (assist by B. Beal)
8:05.0,S. Hill misses 3-pt shot from 23 ft,,35-45,,
8:04.0,,,35-45,,Defensive rebound by G. Temple
7:58.0,,,35-45,,R. Sessions misses 2-pt shot at rim
7:57.0,,,35-45,,Offensive rebound by M. Gortat
7:55.0,,,35-45,,M. Gortat misses 2-pt shot from 1 ft
7:54.0,Defensive rebound by J. Hill,,35-45,,
7:52.0,,,35-45,,Personal foul by J. Dudley (drawn by G. Hill)
7:47.0,J. Hill makes 2-pt shot from 1 ft (assist by G. Hill),2,37-45,,
7:27.0,,,37-45,,B. Beal misses 2-pt shot from 17 ft
7:26.0,Defensive rebound by R. Stuckey,,37-45,,
7:19.0,R. Stuckey makes 2-pt shot from 5 ft,2,39-45,,
7:00.0,Personal foul by S. Hill (drawn by J. Dudley),,39-45,,
7:00.0,,,39-45,,J. Wall enters the game for R. Sessions
6:45.0,,,39-45,,Shooting foul by L. Allen (drawn by M. Gortat)
6:45.0,,,39-45,,M. Gortat misses free throw 1 of 2
6:45.0,,,39-45,,Offensive rebound by Team
6:45.0,,,39-45,,M. Gortat misses free throw 2 of 2
6:44.0,,,39-45,,Offensive rebound by M. Gortat
6:41.0,,,39-47,2,M. Gortat makes 2-pt shot from 8 ft
6:26.0,G. Hill misses 2-pt shot from 7 ft,,39-47,,
6:25.0,Offensive rebound by G. Hill,,39-47,,
6:13.0,Offensive foul by J. Hill,,39-47,,
6:13.0,Turnover by J. Hill (offensive foul),,39-47,,
6:13.0,I. Mahinmi enters the game for J. Hill,,39-47,,
6:05.0,,,39-47,,Turnover by J. Wall (bad pass; steal by S. Hill)
5:50.0,Shooting foul by M. Gortat (drawn by I. Mahinmi),,39-47,,
5:50.0,,,39-47,,Washington full timeout
5:50.0,M. Turner enters the game for G. Hill,,39-47,,
5:50.0,M. Ellis enters the game for R. Stuckey,,39-47,,
5:50.0,P. George enters the game for L. Allen,,39-47,,
5:50.0,I. Mahinmi makes free throw 1 of 2,1,40-47,,
5:50.0,I. Mahinmi makes free throw 2 of 2,1,41-47,,
5:40.0,,,41-47,,Offensive foul by B. Beal
5:40.0,,,41-47,,Turnover by B. Beal (offensive foul)
5:28.0,M. Ellis misses 2-pt shot from 20 ft,,41-47,,
5:27.0,,,41-47,,Defensive rebound by B. Beal
5:20.0,,,41-47,,Turnover by B. Beal (lost ball; steal by M. Ellis)
5:16.0,M. Ellis makes 2-pt shot at rim,2,43-47,,
5:01.0,,,43-47,,Turnover by J. Wall (bad pass; steal by M. Ellis)
4:51.0,I. Mahinmi misses 2-pt shot from 19 ft,,43-47,,
4:50.0,,,43-47,,Defensive rebound by M. Gortat
4:45.0,,,43-47,,B. Beal misses 2-pt shot from 1 ft
4:43.0,Defensive rebound by M. Ellis,,43-47,,
4:38.0,M. Ellis misses 2-pt shot from 1 ft (block by M. Gortat),,43-47,,
4:36.0,Offensive rebound by P. George,,43-47,,
4:34.0,P. George misses 2-pt shot from 11 ft,,43-47,,
4:33.0,,,43-47,,Defensive rebound by M. Gortat
4:30.0,,,43-49,2,G. Temple makes 2-pt shot at rim (assist by B. Beal)
4:23.0,Indiana full timeout,,43-49,,
4:23.0,,,43-49,,M. Morris enters the game for J. Dudley
4:23.0,,,43-49,,A. Anderson enters the game for G. Temple
4:10.0,I. Mahinmi misses 2-pt shot from 7 ft,,43-49,,
4:09.0,,,43-49,,Defensive rebound by M. Gortat
3:59.0,,,43-51,2,J. Wall makes 2-pt shot at rim
3:44.0,M. Turner makes 2-pt shot from 4 ft (assist by I. Mahinmi),2,45-51,,
3:23.0,,,45-53,2,A. Anderson makes 2-pt shot from 18 ft (assist by B. Beal)
3:23.0,,,45-53,,Shooting foul by P. George (drawn by A. Anderson)
3:23.0,,,45-53,,N. Hilario enters the game for M. Gortat
3:23.0,,,45-54,1,A. Anderson makes free throw 1 of 1
3:12.0,M. Ellis misses 2-pt shot from 11 ft,,45-54,,
3:11.0,,,45-54,,Defensive rebound by M. Morris
3:00.0,,,45-56,2,N. Hilario makes 2-pt shot from 1 ft (assist by A. Anderson)
2:40.0,,,45-56,,Personal foul by A. Anderson (drawn by P. George)
2:40.0,G. Hill enters the game for S. Hill,,45-56,,
2:31.0,M. Turner misses 2-pt shot from 17 ft,,45-56,,
2:30.0,,,45-56,,Defensive rebound by A. Anderson
2:19.0,,,45-56,,Shooting foul by G. Hill (drawn by J. Wall)
2:19.0,,,45-58,2,J. Wall makes 2-pt shot from 11 ft
2:19.0,S. Hill enters the game for G. Hill,,45-58,,
2:19.0,,,45-59,1,J. Wall makes free throw 1 of 1
1:59.0,P. George makes 2-pt shot from 15 ft,2,47-59,,
1:50.0,Personal foul by I. Mahinmi (drawn by N. Hilario),,47-59,,
1:50.0,,,47-59,,N. Hilario misses free throw 1 of 2
1:50.0,,,47-59,,Offensive rebound by Team
1:50.0,,,47-60,1,N. Hilario makes free throw 2 of 2
1:35.0,P. George makes 3-pt shot from 24 ft,3,50-60,,
1:15.0,,,50-60,,B. Beal misses 3-pt shot from 26 ft
1:14.0,Defensive rebound by M. Turner,,50-60,,
0:59.0,M. Ellis misses 3-pt shot from 27 ft,,50-60,,
0:58.0,Offensive rebound by M. Turner,,50-60,,
0:57.0,M. Turner makes 2-pt shot from 2 ft,2,52-60,,
0:43.0,,,52-60,,Shooting foul by I. Mahinmi (drawn by J. Wall)
0:43.0,,,52-61,1,J. Wall makes free throw 1 of 2
0:43.0,Indiana full timeout,,52-61,,
0:43.0,L. Allen enters the game for I. Mahinmi,,52-61,,
0:43.0,,,52-62,1,J. Wall makes free throw 2 of 2
0:35.0,M. Ellis makes 2-pt shot from 4 ft,2,54-62,,
0:16.0,,,54-62,,Washington full timeout
0:15.0,,,54-62,,Turnover by B. Beal (lost ball)
0:07.0,M. Ellis makes 2-pt shot from 10 ft,2,56-62,,
0:01.0,,,56-64,2,B. Beal makes 2-pt shot from 16 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,I. Mahinmi makes 2-pt shot from 9 ft (assist by M. Ellis),2,58-64,,
11:20.0,,,58-64,,M. Morris misses 2-pt shot from 17 ft
11:19.0,,,58-64,,Offensive rebound by Team
11:19.0,Loose ball foul by I. Mahinmi (drawn by M. Gortat),,58-64,,
11:15.0,,,58-64,,O. Porter misses 2-pt shot from 4 ft
11:14.0,,,58-64,,Offensive rebound by M. Gortat
11:12.0,,,58-64,,M. Gortat misses 2-pt shot from 1 ft
11:07.0,,,58-64,,Offensive rebound by M. Gortat
11:05.0,,,58-64,,M. Gortat misses 2-pt shot from 2 ft
11:05.0,Defensive rebound by I. Mahinmi,,58-64,,
10:59.0,G. Hill makes 2-pt shot from 17 ft,2,60-64,,
10:49.0,,,60-67,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
10:34.0,I. Mahinmi makes 2-pt shot from 2 ft (assist by P. George),2,62-67,,
10:23.0,,,62-67,,Turnover by J. Wall (bad pass; steal by P. George)
10:10.0,M. Turner misses 2-pt shot from 8 ft,,62-67,,
10:09.0,,,62-67,,Defensive rebound by M. Gortat
9:57.0,,,62-67,,B. Beal misses 2-pt shot from 19 ft
9:56.0,Defensive rebound by M. Ellis,,62-67,,
9:45.0,Turnover by G. Hill (bad pass; steal by J. Wall),,62-67,,
9:45.0,,,62-67,,Turnover by J. Wall (bad pass)
9:34.0,P. George makes 2-pt shot from 1 ft,2,64-67,,
9:20.0,,,64-67,,Shooting foul by M. Turner (drawn by M. Morris)
9:20.0,,,64-67,,M. Morris misses free throw 1 of 2
9:20.0,,,64-67,,Offensive rebound by Team
9:20.0,,,64-68,1,M. Morris makes free throw 2 of 2
9:06.0,M. Ellis misses 2-pt shot from 1 ft,,64-68,,
9:05.0,,,64-68,,Defensive rebound by M. Gortat
8:55.0,,,64-68,,J. Wall misses 2-pt shot at rim (block by I. Mahinmi)
8:53.0,,,64-68,,Offensive rebound by M. Morris
8:51.0,,,64-68,,M. Morris misses 2-pt shot from 2 ft
8:50.0,Defensive rebound by M. Turner,,64-68,,
8:44.0,I. Mahinmi misses 2-pt shot from 1 ft,,64-68,,
8:43.0,,,64-68,,Defensive rebound by M. Gortat
8:22.0,,,64-68,,M. Gortat misses 2-pt shot from 3 ft
8:21.0,Defensive rebound by M. Ellis,,64-68,,
8:15.0,G. Hill misses 3-pt shot from 27 ft,,64-68,,
8:13.0,,,64-68,,Defensive rebound by M. Gortat
7:58.0,,,64-71,3,M. Morris makes 3-pt shot from 25 ft (assist by J. Wall)
7:43.0,P. George makes 2-pt shot from 17 ft (assist by G. Hill),2,66-71,,
7:16.0,,,66-71,,B. Beal misses 3-pt shot from 27 ft
7:15.0,Defensive rebound by Team,,66-71,,
7:07.0,I. Mahinmi misses 2-pt shot from 7 ft (block by M. Gortat),,66-71,,
7:05.0,,,66-71,,Defensive rebound by M. Gortat
6:56.0,,,66-73,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
6:30.0,M. Ellis makes 2-pt shot from 19 ft,2,68-73,,
6:17.0,Personal foul by I. Mahinmi (drawn by B. Beal),,68-73,,
6:17.0,,,68-73,,Washington full timeout
6:17.0,,,68-73,,G. Temple enters the game for B. Beal
6:17.0,J. Hill enters the game for I. Mahinmi,,68-73,,
6:11.0,,,68-73,,O. Porter misses 2-pt shot from 6 ft
6:10.0,Defensive rebound by M. Ellis,,68-73,,
6:05.0,,,68-73,,Personal foul by O. Porter (drawn by P. George)
6:00.0,M. Turner misses 2-pt shot from 18 ft,,68-73,,
5:59.0,,,68-73,,Defensive rebound by G. Temple
5:47.0,,,68-73,,J. Wall misses 2-pt shot from 18 ft
5:45.0,Defensive rebound by J. Hill,,68-73,,
5:33.0,G. Hill makes 3-pt shot from 26 ft (assist by M. Ellis),3,71-73,,
5:15.0,,,71-75,2,M. Morris makes 2-pt shot from 13 ft (assist by G. Temple)
4:48.0,Turnover by P. George (back court),,71-75,,
4:31.0,,,71-78,3,J. Wall makes 3-pt shot from 23 ft (assist by O. Porter)
4:21.0,,,71-78,,Personal foul by G. Temple (drawn by P. George)
4:07.0,G. Hill misses 3-pt shot from 24 ft,,71-78,,
4:07.0,,,71-78,,Defensive rebound by Team
4:07.0,Loose ball foul by J. Hill (drawn by M. Gortat),,71-78,,
4:07.0,,,71-78,,J. Dudley enters the game for M. Morris
4:07.0,L. Allen enters the game for J. Hill,,71-78,,
3:47.0,,,71-78,,J. Wall misses 2-pt shot from 19 ft
3:46.0,,,71-78,,Offensive rebound by J. Dudley
3:38.0,,,71-78,,Offensive foul by O. Porter
3:38.0,,,71-78,,Turnover by O. Porter (offensive foul)
3:38.0,,,71-78,,A. Anderson enters the game for O. Porter
3:38.0,R. Stuckey enters the game for G. Hill,,71-78,,
3:15.0,M. Turner misses 2-pt shot from 20 ft,,71-78,,
3:14.0,,,71-78,,Defensive rebound by G. Temple
3:09.0,,,71-78,,Offensive foul by J. Wall
3:09.0,,,71-78,,Turnover by J. Wall (offensive foul)
3:09.0,,,71-78,,N. Hilario enters the game for M. Gortat
2:46.0,R. Stuckey misses 2-pt shot from 19 ft,,71-78,,
2:44.0,,,71-78,,Defensive rebound by J. Wall
2:25.0,,,71-78,,J. Wall misses 2-pt shot from 16 ft
2:24.0,Defensive rebound by M. Ellis,,71-78,,
2:14.0,Indiana full timeout,,71-78,,
2:14.0,S. Hill enters the game for M. Turner,,71-78,,
2:09.0,,,71-78,,Personal foul by A. Anderson (drawn by P. George)
1:55.0,M. Ellis misses 3-pt shot from 30 ft,,71-78,,
1:54.0,,,71-78,,Defensive rebound by Team
1:43.0,,,71-78,,Turnover by J. Wall (lost ball; steal by M. Ellis)
1:36.0,P. George misses 3-pt shot from 27 ft,,71-78,,
1:35.0,Offensive rebound by S. Hill,,71-78,,
1:34.0,S. Hill makes 2-pt shot at rim,2,73-78,,
1:15.0,,,73-80,2,N. Hilario makes 2-pt shot from 7 ft
1:15.0,,,73-80,,Shooting foul by L. Allen (drawn by N. Hilario)
1:15.0,,,73-80,,N. Hilario misses free throw 1 of 1
1:14.0,Defensive rebound by P. George,,73-80,,
1:07.0,,,73-80,,Personal foul by J. Wall (drawn by P. George)
0:56.0,M. Ellis makes 3-pt shot from 23 ft (assist by S. Hill),3,76-80,,
0:43.0,,,76-80,,N. Hilario misses 2-pt shot from 2 ft
0:42.0,Defensive rebound by P. George,,76-80,,
0:26.0,M. Ellis misses 3-pt shot from 25 ft,,76-80,,
0:25.0,,,76-80,,Defensive rebound by J. Dudley
0:20.0,,,76-80,,J. Wall misses 2-pt shot from 1 ft
0:17.0,Defensive rebound by L. Allen,,76-80,,
0:03.0,,,76-80,,Personal foul by N. Hilario (drawn by P. George)
0:03.0,P. George makes free throw 1 of 2,1,77-80,,
0:03.0,P. George makes free throw 2 of 2,1,78-80,,
0:01.0,,,78-80,,J. Wall misses 2-pt shot from 18 ft
0:00.0,,,78-80,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,78-80,,J. Dudley misses 2-pt shot from 18 ft
11:40.0,Defensive rebound by J. Hill,,78-80,,
11:28.0,Turnover by J. Hill (lost ball; steal by N. Hilario),,78-80,,
11:24.0,,,78-80,,Turnover by J. Dudley (bad pass)
11:10.0,Shooting foul by J. Dudley (drawn by L. Allen),,78-80,,
11:10.0,L. Allen makes free throw 1 of 2,1,79-80,,
11:10.0,L. Allen makes free throw 2 of 2,1,80-80,,
10:51.0,,,80-82,2,N. Hilario makes 2-pt shot from 8 ft (assist by G. Temple)
10:51.0,,,80-82,,Shooting foul by L. Allen (drawn by N. Hilario)
10:51.0,Technical foul by Team,,80-82,,
10:51.0,,,80-83,1,A. Anderson makes technical free throw
10:51.0,,,80-83,,N. Hilario misses free throw 1 of 1
10:49.0,Defensive rebound by J. Hill,,80-83,,
10:31.0,G. Hill makes 2-pt shot from 7 ft,2,82-83,,
10:25.0,Violation by S. Hill (def goaltending),,82-83,,
10:25.0,,,82-85,2,G. Temple makes 2-pt shot from 4 ft
10:16.0,,,82-85,,Personal foul by G. Temple (drawn by R. Stuckey)
10:16.0,,,82-85,,O. Porter enters the game for A. Anderson
10:11.0,Offensive foul by J. Hill,,82-85,,
10:11.0,Turnover by J. Hill (offensive foul),,82-85,,
10:00.0,,,82-85,,R. Sessions misses 2-pt shot from 10 ft
9:59.0,Defensive rebound by L. Allen,,82-85,,
9:40.0,Shooting foul by G. Temple (drawn by G. Hill),,82-85,,
9:40.0,G. Hill makes free throw 1 of 2,1,83-85,,
9:40.0,,,83-85,,M. Morris enters the game for J. Dudley
9:40.0,G. Hill makes free throw 2 of 2,1,84-85,,
9:25.0,,,84-85,,G. Temple misses 2-pt shot from 1 ft (block by S. Hill)
9:24.0,Defensive rebound by S. Hill,,84-85,,
9:08.0,J. Hill misses 2-pt shot from 17 ft,,84-85,,
9:08.0,,,84-85,,Defensive rebound by O. Porter
8:57.0,,,84-85,,R. Sessions misses 3-pt shot from 25 ft
8:56.0,,,84-85,,Offensive rebound by O. Porter
8:43.0,,,84-85,,R. Sessions misses 2-pt shot from 8 ft
8:42.0,Defensive rebound by R. Stuckey,,84-85,,
8:20.0,Shooting foul by O. Porter (drawn by J. Hill),,84-85,,
8:20.0,Official timeout,,84-85,,
8:20.0,,,84-85,,J. Wall enters the game for G. Temple
8:20.0,M. Ellis enters the game for R. Stuckey,,84-85,,
8:20.0,P. George enters the game for S. Hill,,84-85,,
8:20.0,J. Hill makes free throw 1 of 2,1,85-85,,
8:20.0,J. Hill makes free throw 2 of 2,1,86-85,,
8:08.0,,,86-87,2,N. Hilario makes 2-pt shot from 1 ft (assist by J. Wall)
7:43.0,M. Ellis misses 2-pt shot from 5 ft,,86-87,,
7:42.0,Offensive rebound by Team,,86-87,,
7:42.0,S. Hill enters the game for J. Hill,,86-87,,
7:34.0,P. George misses 3-pt shot from 23 ft,,86-87,,
7:33.0,,,86-87,,Defensive rebound by J. Wall
7:29.0,,,86-87,,Turnover by J. Wall (lost ball; steal by S. Hill)
7:11.0,P. George makes 2-pt shot from 6 ft,2,88-87,,
6:46.0,,,88-87,,J. Wall misses 2-pt shot from 2 ft (block by S. Hill)
6:46.0,,,88-87,,Offensive rebound by Team
6:46.0,,,88-87,,Turnover by Team (shot clock)
6:25.0,M. Ellis misses 2-pt shot from 20 ft,,88-87,,
6:24.0,Offensive rebound by L. Allen,,88-87,,
6:21.0,Offensive foul by P. George,,88-87,,
6:21.0,Turnover by P. George (offensive foul),,88-87,,
6:21.0,,,88-87,,A. Anderson enters the game for O. Porter
6:21.0,,,88-87,,G. Temple enters the game for R. Sessions
6:21.0,I. Mahinmi enters the game for G. Hill,,88-87,,
6:21.0,,,88-87,,M. Gortat enters the game for N. Hilario
6:08.0,,,88-87,,M. Morris misses 2-pt shot from 16 ft
6:07.0,Defensive rebound by P. George,,88-87,,
5:55.0,P. George misses 2-pt shot from 18 ft,,88-87,,
5:54.0,,,88-87,,Defensive rebound by M. Morris
5:46.0,,,88-87,,A. Anderson misses 3-pt shot from 27 ft
5:45.0,Defensive rebound by M. Ellis,,88-87,,
5:26.0,Shooting foul by A. Anderson (drawn by P. George),,88-87,,
5:26.0,,,88-87,,Washington full timeout
5:26.0,P. George makes free throw 1 of 2,1,89-87,,
5:26.0,P. George makes free throw 2 of 2,1,90-87,,
5:10.0,,,90-87,,J. Wall misses 2-pt shot from 18 ft
5:10.0,,,90-87,,Offensive rebound by Team
5:10.0,Loose ball foul by S. Hill (drawn by M. Gortat),,90-87,,
4:54.0,,,90-87,,G. Temple misses 3-pt shot from 22 ft
4:54.0,,,90-87,,Offensive rebound by M. Gortat
4:45.0,,,90-87,,A. Anderson misses 2-pt shot from 18 ft
4:44.0,Defensive rebound by L. Allen,,90-87,,
4:30.0,,,90-87,,Personal foul by J. Wall (drawn by S. Hill)
4:30.0,S. Hill makes free throw 1 of 2,1,91-87,,
4:30.0,S. Hill misses free throw 2 of 2,,91-87,,
4:29.0,,,91-87,,Defensive rebound by M. Morris
4:15.0,,,91-89,2,J. Wall makes 2-pt shot from 13 ft (assist by M. Gortat)
4:15.0,,,91-89,,Shooting foul by S. Hill (drawn by J. Wall)
4:15.0,,,91-90,1,J. Wall makes free throw 1 of 1
4:03.0,P. George misses 3-pt shot from 23 ft,,91-90,,
4:02.0,Offensive rebound by S. Hill,,91-90,,
3:41.0,M. Ellis misses 3-pt shot from 30 ft,,91-90,,
3:40.0,,,91-90,,Defensive rebound by A. Anderson
3:36.0,,,91-92,2,J. Wall makes 2-pt shot from 2 ft (assist by A. Anderson)
3:36.0,,,91-92,,Shooting foul by M. Ellis (drawn by J. Wall)
3:36.0,G. Hill enters the game for S. Hill,,91-92,,
3:36.0,Indiana full timeout,,91-92,,
3:36.0,,,91-93,1,J. Wall makes free throw 1 of 1
3:20.0,Turnover by G. Hill (lost ball; steal by M. Gortat),,91-93,,
3:15.0,,,91-93,,J. Wall misses 2-pt shot from 2 ft (block by G. Hill)
