time,Toronto,pts.away,score,pts.home,Golden State
7:50.0,,,6-11,2,S. Curry makes 2-pt shot from 2 ft
7:25.0,D. DeRozan misses 2-pt shot from 7 ft (block by F. Ezeli),,6-11,,
7:25.0,,,6-11,,Defensive rebound by Team
7:25.0,Loose ball foul by D. DeRozan (drawn by D. Green),,6-11,,
7:19.0,Personal block foul by D. Carroll (drawn by K. Thompson),,6-11,,
7:11.0,,,6-11,,Turnover by S. Curry (lost ball; steal by K. Lowry)
7:11.0,,,6-11,,Personal foul by K. Thompson (drawn by D. Carroll)
6:48.0,D. DeRozan misses 2-pt shot from 16 ft,,6-11,,
6:48.0,Offensive rebound by L. Scola,,6-11,,
6:46.0,L. Scola makes 2-pt shot from 2 ft,2,8-11,,
6:34.0,,,8-11,,Turnover by S. Curry (turnover)
6:18.0,D. Carroll misses 2-pt shot from 5 ft,,8-11,,
6:18.0,,,8-11,,Defensive rebound by D. Green
6:13.0,,,8-13,2,H. Barnes makes 2-pt shot at rim (assist by S. Curry)
6:04.0,Toronto full timeout,,8-13,,
6:04.0,,,8-13,,A. Iguodala enters the game for H. Barnes
5:47.0,Shooting foul by F. Ezeli (drawn by K. Lowry),,8-13,,
5:47.0,K. Lowry makes free throw 1 of 2,1,9-13,,
5:47.0,K. Lowry makes free throw 2 of 2,1,10-13,,
5:33.0,,,10-15,2,F. Ezeli makes 2-pt shot at rim (assist by S. Curry)
5:16.0,D. Carroll makes 3-pt shot from 23 ft (assist by K. Lowry),3,13-15,,
5:05.0,Personal foul by K. Lowry (drawn by S. Curry),,13-15,,
5:05.0,P. Patterson enters the game for L. Scola,,13-15,,
4:58.0,,,13-17,2,K. Thompson makes 2-pt shot at rim (assist by S. Curry)
4:38.0,D. DeRozan makes 2-pt shot from 13 ft (assist by P. Patterson),2,15-17,,
4:22.0,,,15-17,,D. Green misses 3-pt shot from 25 ft
4:22.0,Defensive rebound by K. Lowry,,15-17,,
4:06.0,J. Valanciunas misses 2-pt shot from 9 ft,,15-17,,
4:05.0,Offensive rebound by K. Lowry,,15-17,,
4:03.0,K. Lowry makes 2-pt shot from 2 ft,2,17-17,,
3:57.0,,,17-17,,Turnover by S. Curry (bad pass; steal by D. Carroll)
3:36.0,P. Patterson misses 2-pt shot from 6 ft,,17-17,,
3:35.0,Offensive rebound by D. Carroll,,17-17,,
3:33.0,D. Carroll makes 2-pt shot at rim,2,19-17,,
3:20.0,,,19-17,,K. Thompson misses 3-pt shot from 25 ft
3:19.0,,,19-17,,Offensive rebound by A. Iguodala
3:10.0,,,19-17,,Turnover by F. Ezeli (bad pass; steal by D. Carroll)
3:07.0,Shooting foul by D. Green (drawn by K. Lowry),,19-17,,
3:07.0,K. Lowry makes free throw 1 of 2,1,20-17,,
3:07.0,,,20-17,,Golden State full timeout
3:07.0,,,20-17,,L. Barbosa enters the game for K. Thompson
3:07.0,B. Biyombo enters the game for J. Valanciunas,,20-17,,
3:07.0,C. Joseph enters the game for D. Carroll,,20-17,,
3:07.0,,,20-17,,H. Barnes enters the game for D. Green
3:07.0,K. Lowry makes free throw 2 of 2,1,21-17,,
2:54.0,,,21-17,,S. Curry misses 2-pt shot from 3 ft
2:53.0,,,21-17,,Offensive rebound by Team
2:53.0,Loose ball foul by B. Biyombo (drawn by F. Ezeli),,21-17,,
2:39.0,,,21-20,3,S. Curry makes 3-pt shot from 26 ft (assist by H. Barnes)
2:23.0,K. Lowry makes 2-pt shot from 8 ft (assist by C. Joseph),2,23-20,,
2:08.0,,,23-20,,S. Curry misses 3-pt shot from 25 ft
2:07.0,,,23-20,,Offensive rebound by L. Barbosa
2:01.0,Def 3 sec tech foul by B. Biyombo,,23-20,,
2:01.0,,,23-21,1,S. Curry makes technical free throw
1:52.0,,,23-21,,S. Curry misses 3-pt shot from 23 ft
1:52.0,Defensive rebound by Team,,23-21,,
1:52.0,,,23-21,,Loose ball foul by L. Barbosa (drawn by C. Joseph)
1:52.0,C. Joseph misses free throw 1 of 2,,23-21,,
1:52.0,Offensive rebound by Team,,23-21,,
1:52.0,J. Johnson enters the game for K. Lowry,,23-21,,
1:52.0,C. Joseph misses free throw 2 of 2,,23-21,,
1:48.0,,,23-21,,Defensive rebound by F. Ezeli
1:36.0,,,23-24,3,A. Iguodala makes 3-pt shot from 26 ft (assist by L. Barbosa)
1:23.0,D. DeRozan makes 2-pt shot from 13 ft (assist by C. Joseph),2,25-24,,
1:12.0,,,25-24,,S. Curry misses 2-pt shot from 20 ft
1:10.0,Defensive rebound by B. Biyombo,,25-24,,
0:53.0,D. DeRozan misses 2-pt shot from 10 ft,,25-24,,
0:52.0,,,25-24,,Defensive rebound by F. Ezeli
0:38.0,,,25-26,2,H. Barnes makes 2-pt shot from 12 ft (assist by A. Iguodala)
0:26.0,C. Joseph misses 2-pt shot from 11 ft,,25-26,,
0:24.0,,,25-26,,Defensive rebound by F. Ezeli
0:19.0,,,25-29,3,S. Curry makes 3-pt shot from 25 ft (assist by A. Iguodala)
0:02.0,C. Joseph misses 2-pt shot from 7 ft (block by F. Ezeli),,25-29,,
0:00.0,,,25-29,,Defensive rebound by F. Ezeli
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,,,25-29,,Turnover by L. Barbosa (offensive foul)
11:52.0,,,25-29,,Offensive foul by L. Barbosa
11:33.0,,,25-29,,Violation by A. Bogut (kicked ball)
11:23.0,Turnover by J. Johnson (lost ball; steal by I. Clark),,25-29,,
11:23.0,,,25-29,,Shooting foul by C. Joseph (drawn by I. Clark)
11:23.0,,,25-29,,I. Clark misses free throw 1 of 2
11:23.0,,,25-29,,Offensive rebound by Team
11:23.0,,,25-30,1,I. Clark makes free throw 2 of 2
11:08.0,D. Carroll misses 3-pt shot from 26 ft,,25-30,,
11:08.0,Offensive rebound by C. Joseph,,25-30,,
11:00.0,P. Patterson misses 3-pt shot from 22 ft,,25-30,,
10:59.0,,,25-30,,Defensive rebound by A. Bogut
10:54.0,,,25-30,,L. Barbosa misses 2-pt shot from 2 ft
10:51.0,,,25-30,,Offensive rebound by H. Barnes
10:49.0,,,25-30,,L. Barbosa misses 2-pt shot from 6 ft (block by B. Biyombo)
10:47.0,,,25-30,,Offensive rebound by A. Iguodala
10:42.0,,,25-33,3,I. Clark makes 3-pt shot from 26 ft (assist by A. Iguodala)
10:24.0,J. Johnson makes 2-pt shot from 2 ft,2,27-33,,
10:10.0,,,27-33,,Turnover by I. Clark (lost ball)
9:54.0,C. Joseph makes 2-pt shot from 3 ft,2,29-33,,
9:38.0,,,29-33,,I. Clark misses 2-pt shot from 13 ft
9:36.0,,,29-33,,Offensive rebound by A. Bogut
9:36.0,,,29-33,,A. Bogut misses 2-pt shot at rim
9:33.0,Defensive rebound by D. Carroll,,29-33,,
9:21.0,C. Joseph makes 2-pt shot from 18 ft,2,31-33,,
9:09.0,,,31-35,2,L. Barbosa makes 2-pt shot from 20 ft (assist by I. Clark)
8:55.0,J. Johnson makes 2-pt shot from 2 ft (assist by C. Joseph),2,33-35,,
8:39.0,,,33-35,,I. Clark misses 3-pt shot from 23 ft
8:38.0,Defensive rebound by B. Biyombo,,33-35,,
8:30.0,D. Carroll makes 2-pt shot from 17 ft,2,35-35,,
8:27.0,,,35-35,,Golden State full timeout
8:27.0,,,35-35,,K. Thompson enters the game for I. Clark
8:27.0,J. Valanciunas enters the game for B. Biyombo,,35-35,,
8:15.0,,,35-37,2,A. Bogut makes 2-pt shot from 7 ft (assist by A. Iguodala)
8:00.0,Turnover by J. Johnson (traveling),,35-37,,
7:45.0,,,35-37,,K. Thompson misses 3-pt shot from 26 ft
7:44.0,Defensive rebound by J. Johnson,,35-37,,
7:27.0,,,35-37,,Personal foul by A. Iguodala (drawn by D. Carroll)
7:27.0,K. Lowry enters the game for J. Johnson,,35-37,,
7:27.0,,,35-37,,D. Green enters the game for A. Iguodala
7:22.0,,,35-37,,Personal foul by A. Bogut (drawn by J. Valanciunas)
7:22.0,,,35-37,,F. Ezeli enters the game for A. Bogut
7:08.0,J. Valanciunas misses 2-pt shot from 2 ft (block by F. Ezeli),,35-37,,
7:07.0,Offensive rebound by J. Valanciunas,,35-37,,
7:07.0,J. Valanciunas misses 2-pt shot from 2 ft (block by F. Ezeli),,35-37,,
7:07.0,Offensive rebound by Team,,35-37,,
7:07.0,Turnover by Team (shot clock),,35-37,,
7:07.0,,,35-37,,S. Curry enters the game for L. Barbosa
6:48.0,,,35-39,2,K. Thompson makes 2-pt shot from 12 ft (assist by D. Green)
6:27.0,C. Joseph makes 2-pt shot from 2 ft,2,37-39,,
6:18.0,,,37-42,3,D. Green makes 3-pt shot from 25 ft (assist by K. Thompson)
5:55.0,Official timeout,,37-42,,
5:55.0,L. Scola enters the game for P. Patterson,,37-42,,
5:55.0,D. DeRozan enters the game for C. Joseph,,37-42,,
5:50.0,K. Lowry makes 2-pt shot from 19 ft (assist by D. Carroll),2,39-42,,
5:28.0,,,39-44,2,K. Thompson makes 2-pt shot from 7 ft
5:21.0,K. Lowry misses 3-pt shot from 26 ft,,39-44,,
5:20.0,,,39-44,,Defensive rebound by D. Green
5:11.0,,,39-46,2,F. Ezeli makes 2-pt shot from 2 ft (assist by S. Curry)
4:45.0,K. Lowry makes 2-pt shot from 2 ft,2,41-46,,
4:35.0,,,41-49,3,K. Thompson makes 3-pt shot from 25 ft
4:11.0,D. DeRozan makes 2-pt shot from 13 ft (assist by K. Lowry),2,43-49,,
3:57.0,,,43-51,2,S. Curry makes 2-pt shot from 1 ft
3:41.0,D. DeRozan makes 2-pt shot from 15 ft,2,45-51,,
3:35.0,Personal foul by J. Valanciunas (drawn by F. Ezeli),,45-51,,
3:35.0,,,45-51,,A. Iguodala enters the game for H. Barnes
3:25.0,,,45-53,2,K. Thompson makes 2-pt shot from 17 ft (assist by A. Iguodala)
3:19.0,Turnover by J. Valanciunas (bad pass; steal by S. Curry),,45-53,,
3:17.0,,,45-55,2,S. Curry makes 2-pt shot from 5 ft
2:59.0,Turnover by K. Lowry (bad pass; steal by F. Ezeli),,45-55,,
2:53.0,,,45-57,2,A. Iguodala makes 2-pt shot at rim (assist by K. Thompson)
2:53.0,Toronto full timeout,,45-57,,
2:43.0,Turnover by L. Scola (traveling),,45-57,,
2:26.0,,,45-57,,F. Ezeli misses 2-pt shot at rim
2:24.0,Defensive rebound by J. Valanciunas,,45-57,,
2:14.0,D. DeRozan misses 2-pt shot from 3 ft,,45-57,,
2:12.0,,,45-57,,Defensive rebound by S. Curry
2:08.0,,,45-57,,S. Curry misses 3-pt shot from 25 ft
2:06.0,,,45-57,,Offensive rebound by F. Ezeli
1:59.0,,,45-60,3,K. Thompson makes 3-pt shot from 26 ft (assist by F. Ezeli)
1:39.0,K. Lowry misses 3-pt shot from 26 ft,,45-60,,
1:36.0,,,45-60,,Defensive rebound by K. Thompson
1:31.0,,,45-60,,K. Thompson misses 3-pt shot from 26 ft
1:30.0,,,45-60,,Offensive rebound by A. Iguodala
1:25.0,,,45-63,3,S. Curry makes 3-pt shot from 25 ft (assist by A. Iguodala)
1:24.0,Toronto full timeout,,45-63,,
1:24.0,C. Joseph enters the game for L. Scola,,45-63,,
1:05.0,D. DeRozan misses 2-pt shot from 13 ft,,45-63,,
1:03.0,,,45-63,,Defensive rebound by D. Green
0:58.0,,,45-63,,Offensive foul by F. Ezeli
0:58.0,,,45-63,,Turnover by F. Ezeli (offensive foul)
0:47.0,J. Valanciunas makes 2-pt shot from 4 ft (assist by D. DeRozan),2,47-63,,
0:29.0,,,47-63,,Shooting foul by J. Valanciunas (drawn by F. Ezeli)
0:29.0,,,47-63,,F. Ezeli misses free throw 1 of 2
0:29.0,,,47-63,,Offensive rebound by Team
0:29.0,,,47-63,,F. Ezeli misses free throw 2 of 2
0:28.0,Defensive rebound by J. Valanciunas,,47-63,,
0:05.0,K. Lowry misses 2-pt shot from 9 ft,,47-63,,
0:04.0,Offensive rebound by J. Valanciunas,,47-63,,
0:04.0,J. Valanciunas misses 2-pt shot at rim,,47-63,,
0:04.0,Offensive rebound by K. Lowry,,47-63,,
0:03.0,,,47-63,,Personal foul by F. Ezeli (drawn by K. Lowry)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,47-65,2,S. Curry makes 2-pt shot from 20 ft (assist by A. Bogut)
11:23.0,J. Valanciunas makes 2-pt shot from 4 ft (assist by D. DeRozan),2,49-65,,
11:19.0,,,49-65,,Turnover by S. Curry (bad pass; steal by D. Carroll)
11:15.0,D. DeRozan misses 2-pt shot from 11 ft,,49-65,,
11:14.0,,,49-65,,Defensive rebound by H. Barnes
11:11.0,Personal foul by K. Lowry (drawn by S. Curry),,49-65,,
11:01.0,,,49-65,,K. Thompson misses 3-pt shot from 23 ft
10:59.0,Defensive rebound by D. DeRozan,,49-65,,
10:58.0,Turnover by D. DeRozan (lost ball; steal by S. Curry),,49-65,,
10:53.0,,,49-65,,Turnover by A. Bogut (bad pass; steal by D. Carroll)
10:46.0,K. Lowry makes 2-pt shot from 1 ft (assist by D. Carroll),2,51-65,,
10:35.0,,,51-65,,Offensive foul by D. Green
10:35.0,,,51-65,,Turnover by D. Green (offensive foul)
10:12.0,D. Carroll makes 2-pt shot from 8 ft,2,53-65,,
9:59.0,,,53-67,2,A. Bogut makes 2-pt shot at rim (assist by K. Thompson)
9:35.0,D. DeRozan makes 2-pt shot from 9 ft,2,55-67,,
9:26.0,,,55-67,,K. Thompson misses 2-pt shot from 2 ft
9:25.0,,,55-67,,Offensive rebound by A. Bogut
9:25.0,,,55-69,2,A. Bogut makes 2-pt shot at rim
9:00.0,Turnover by Team (shot clock),,55-69,,
8:54.0,,,55-69,,Turnover by S. Curry (lost ball; steal by D. Carroll)
8:47.0,D. Carroll makes 3-pt shot from 26 ft (assist by K. Lowry),3,58-69,,
8:30.0,,,58-71,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
8:09.0,D. Carroll makes 3-pt shot from 25 ft (assist by D. DeRozan),3,61-71,,
7:53.0,,,61-71,,H. Barnes misses 2-pt shot from 18 ft
7:51.0,Defensive rebound by L. Scola,,61-71,,
7:43.0,J. Valanciunas misses 2-pt shot from 2 ft (block by A. Bogut),,61-71,,
7:43.0,Offensive rebound by J. Valanciunas,,61-71,,
7:43.0,Shooting foul by A. Bogut (drawn by J. Valanciunas),,61-71,,
7:43.0,J. Valanciunas makes free throw 1 of 2,1,62-71,,
7:43.0,,,62-71,,F. Ezeli enters the game for A. Bogut
7:43.0,J. Valanciunas makes free throw 2 of 2,1,63-71,,
7:28.0,,,63-73,2,F. Ezeli makes 2-pt shot at rim (assist by D. Green)
7:12.0,D. DeRozan makes 2-pt shot from 2 ft,2,65-73,,
7:02.0,Personal foul by K. Lowry (drawn by S. Curry),,65-73,,
6:56.0,,,65-73,,D. Green misses 3-pt shot from 25 ft
6:56.0,Defensive rebound by J. Valanciunas,,65-73,,
6:46.0,D. Carroll makes 2-pt shot at rim (assist by D. DeRozan),2,67-73,,
6:29.0,,,67-73,,K. Thompson misses 3-pt shot from 23 ft
6:29.0,Defensive rebound by J. Valanciunas,,67-73,,
6:11.0,L. Scola misses 2-pt shot from 6 ft,,67-73,,
6:10.0,,,67-73,,Defensive rebound by F. Ezeli
5:56.0,,,67-75,2,S. Curry makes 2-pt shot from 2 ft
5:48.0,Toronto full timeout,,67-75,,
5:48.0,,,67-75,,A. Iguodala enters the game for H. Barnes
5:47.0,P. Patterson enters the game for L. Scola,,67-75,,
5:45.0,C. Joseph enters the game for D. Carroll,,67-75,,
5:30.0,Turnover by D. DeRozan (lost ball),,67-75,,
5:16.0,,,67-75,,S. Curry misses 3-pt shot from 26 ft
5:16.0,Defensive rebound by P. Patterson,,67-75,,
4:58.0,D. DeRozan makes 2-pt shot from 2 ft,2,69-75,,
4:49.0,,,69-75,,Shooting foul by C. Joseph (drawn by F. Ezeli)
4:49.0,,,69-76,1,F. Ezeli makes free throw 1 of 2
4:49.0,,,69-77,1,F. Ezeli makes free throw 2 of 2
4:29.0,D. DeRozan misses 2-pt shot from 14 ft,,69-77,,
4:25.0,Offensive rebound by J. Valanciunas,,69-77,,
4:25.0,J. Valanciunas misses 2-pt shot from 2 ft,,69-77,,
4:23.0,Offensive rebound by J. Valanciunas,,69-77,,
4:23.0,J. Valanciunas makes 2-pt shot at rim,2,71-77,,
4:13.0,,,71-79,2,S. Curry makes 2-pt shot from 14 ft
3:51.0,Shooting foul by D. Green (drawn by D. DeRozan),,71-79,,
3:51.0,D. DeRozan makes free throw 1 of 2,1,72-79,,
3:51.0,D. DeRozan makes free throw 2 of 2,1,73-79,,
3:33.0,,,73-79,,K. Thompson misses 2-pt shot from 13 ft
3:32.0,Defensive rebound by C. Joseph,,73-79,,
3:24.0,D. DeRozan makes 2-pt shot from 1 ft (assist by C. Joseph),2,75-79,,
3:15.0,,,75-82,3,S. Curry makes 3-pt shot from 25 ft
2:57.0,,,75-82,,Def 3 sec tech foul by F. Ezeli
2:57.0,,,75-82,,Golden State full timeout
2:57.0,L. Scola enters the game for J. Valanciunas,,75-82,,
2:57.0,J. Johnson enters the game for K. Lowry,,75-82,,
2:57.0,,,75-82,,L. Barbosa enters the game for K. Thompson
2:57.0,D. DeRozan makes technical free throw,1,76-82,,
2:51.0,D. DeRozan misses 2-pt shot from 21 ft,,76-82,,
2:49.0,Offensive rebound by Team,,76-82,,
2:49.0,Turnover by J. Johnson (bad pass; steal by F. Ezeli),,76-82,,
2:39.0,,,76-82,,Shooting foul by D. DeRozan (drawn by L. Barbosa)
2:39.0,,,76-83,1,L. Barbosa makes free throw 1 of 2
2:39.0,,,76-84,1,L. Barbosa makes free throw 2 of 2
2:29.0,Turnover by P. Patterson (bad pass; steal by L. Barbosa),,76-84,,
2:24.0,,,76-84,,L. Barbosa misses 2-pt shot from 1 ft
2:23.0,Defensive rebound by C. Joseph,,76-84,,
2:18.0,Turnover by P. Patterson (step out of bounds),,76-84,,
1:56.0,,,76-84,,L. Barbosa misses 3-pt shot from 25 ft
1:54.0,Defensive rebound by L. Scola,,76-84,,
1:31.0,P. Patterson makes 3-pt shot from 24 ft (assist by D. DeRozan),3,79-84,,
1:13.0,,,79-84,,Turnover by D. Green (lost ball)
1:13.0,,,79-84,,H. Barnes enters the game for F. Ezeli
1:06.0,Shooting foul by D. Green (drawn by D. DeRozan),,79-84,,
1:06.0,D. DeRozan misses free throw 1 of 2,,79-84,,
1:06.0,Offensive rebound by Team,,79-84,,
1:06.0,,,79-84,,M. Speights enters the game for D. Green
1:06.0,D. DeRozan misses free throw 2 of 2,,79-84,,
1:04.0,,,79-84,,Defensive rebound by M. Speights
0:51.0,,,79-86,2,M. Speights makes 2-pt shot from 16 ft (assist by S. Curry)
0:33.0,L. Scola misses 3-pt shot from 24 ft,,79-86,,
0:32.0,Offensive rebound by J. Johnson,,79-86,,
0:32.0,J. Johnson makes 2-pt shot at rim,2,81-86,,
0:17.0,,,81-88,2,S. Curry makes 2-pt shot from 8 ft
0:06.0,,,81-88,,Personal foul by M. Speights (drawn by C. Joseph)
0:06.0,C. Joseph makes free throw 1 of 2,1,82-88,,
0:06.0,C. Joseph makes free throw 2 of 2,1,83-88,,
0:04.0,,,83-90,2,A. Iguodala makes 2-pt shot from 6 ft (assist by S. Curry)
0:04.0,,,83-90,,Shooting foul by L. Scola (drawn by A. Iguodala)
0:04.0,,,83-90,,A. Iguodala misses free throw 1 of 1
0:01.0,Defensive rebound by P. Patterson,,83-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,L. Scola makes 2-pt shot from 13 ft (assist by C. Joseph),2,85-90,,
11:42.0,,,85-90,,Turnover by S. Curry (back court)
11:36.0,,,85-90,,Personal foul by M. Speights (drawn by K. Lowry)
11:27.0,K. Lowry makes 3-pt shot from 23 ft (assist by C. Joseph),3,88-90,,
11:08.0,,,88-90,,L. Barbosa misses 2-pt shot from 10 ft
11:08.0,Defensive rebound by K. Lowry,,88-90,,
10:52.0,Turnover by D. Carroll (lost ball; steal by L. Barbosa),,88-90,,
10:42.0,,,88-92,2,M. Speights makes 2-pt shot from 1 ft (assist by A. Iguodala)
10:42.0,,,88-92,,Shooting foul by L. Scola (drawn by M. Speights)
10:42.0,,,88-92,,I. Clark enters the game for S. Curry
10:42.0,,,88-93,1,M. Speights makes free throw 1 of 1
10:31.0,Shooting foul by A. Iguodala (drawn by L. Scola),,88-93,,
10:31.0,L. Scola misses free throw 1 of 2,,88-93,,
10:31.0,Offensive rebound by Team,,88-93,,
10:31.0,L. Scola misses free throw 2 of 2,,88-93,,
10:30.0,,,88-93,,Defensive rebound by H. Barnes
10:14.0,Jump ball: L. Scola vs. M. Speights (P. Patterson gains possession),,,,Jump ball: L. Scola vs. M. Speights (P. Patterson gains possession)
10:14.0,,,88-93,,Turnover by M. Speights (lost ball; steal by L. Scola)
10:06.0,D. Carroll misses 3-pt shot from 26 ft,,88-93,,
10:05.0,,,88-93,,Defensive rebound by Team
9:51.0,,,88-93,,Offensive foul by M. Speights
9:51.0,,,88-93,,Turnover by M. Speights (offensive foul)
9:29.0,Turnover by P. Patterson (lost ball; steal by L. Barbosa),,88-93,,
9:24.0,,,88-95,2,L. Barbosa makes 2-pt shot from 1 ft (assist by I. Clark)
9:15.0,,,88-95,,Personal foul by L. Barbosa (drawn by K. Lowry)
9:15.0,Toronto full timeout,,88-95,,
9:15.0,D. DeRozan enters the game for P. Patterson,,88-95,,
9:15.0,,,88-95,,Technical foul by L. Barbosa (drawn by K. Lowry)
9:15.0,,,88-95,,Technical foul by Team
9:15.0,K. Lowry makes technical free throw,1,89-95,,
9:15.0,K. Lowry makes technical free throw,1,90-95,,
9:01.0,K. Lowry misses 3-pt shot from 26 ft,,90-95,,
9:01.0,,,90-95,,Defensive rebound by Team
9:01.0,Loose ball foul by L. Scola (drawn by I. Clark),,90-95,,
8:48.0,,,90-95,,Turnover by I. Clark (bad pass; steal by D. Carroll)
8:41.0,L. Scola misses 2-pt shot from 16 ft,,90-95,,
8:38.0,Offensive rebound by K. Lowry,,90-95,,
8:30.0,Turnover by L. Scola (traveling),,90-95,,
8:14.0,,,90-95,,L. Barbosa misses 2-pt shot from 18 ft
8:13.0,,,90-95,,Offensive rebound by M. Speights
8:12.0,,,90-95,,M. Speights misses 2-pt shot from 6 ft
8:09.0,Defensive rebound by L. Scola,,90-95,,
7:55.0,Shooting foul by H. Barnes (drawn by D. DeRozan),,90-95,,
7:55.0,D. DeRozan makes free throw 1 of 2,1,91-95,,
7:55.0,,,91-95,,K. Thompson enters the game for I. Clark
7:55.0,,,91-95,,D. Green enters the game for M. Speights
7:55.0,D. DeRozan makes free throw 2 of 2,1,92-95,,
7:36.0,,,92-95,,K. Thompson misses 2-pt shot from 11 ft
7:34.0,Defensive rebound by L. Scola,,92-95,,
7:25.0,K. Lowry misses 2-pt shot from 3 ft,,92-95,,
7:25.0,,,92-95,,Defensive rebound by Team
7:25.0,,,92-95,,A. Bogut enters the game for H. Barnes
7:25.0,J. Valanciunas enters the game for L. Scola,,92-95,,
7:11.0,,,92-95,,Turnover by A. Bogut (bad pass; steal by C. Joseph)
7:10.0,,,92-95,,Personal foul by A. Bogut (drawn by C. Joseph)
7:10.0,C. Joseph makes free throw 1 of 2,1,93-95,,
7:10.0,,,93-95,,S. Curry enters the game for L. Barbosa
7:10.0,C. Joseph makes free throw 2 of 2,1,94-95,,
6:54.0,,,94-95,,Shooting foul by J. Valanciunas (drawn by A. Bogut)
6:54.0,,,94-96,1,A. Bogut makes free throw 1 of 2
6:54.0,,,94-96,,A. Bogut misses free throw 2 of 2
6:52.0,Defensive rebound by C. Joseph,,94-96,,
6:36.0,Shooting foul by K. Thompson (drawn by D. DeRozan),,94-96,,
6:36.0,D. DeRozan makes free throw 1 of 2,1,95-96,,
6:36.0,D. DeRozan makes free throw 2 of 2,1,96-96,,
6:24.0,,,96-96,,S. Curry misses 2-pt shot from 11 ft
6:24.0,Defensive rebound by K. Lowry,,96-96,,
6:14.0,D. DeRozan misses 2-pt shot from 12 ft,,96-96,,
6:14.0,,,96-96,,Defensive rebound by Team
6:14.0,Loose ball foul by J. Valanciunas (drawn by A. Bogut),,96-96,,
5:55.0,,,96-96,,D. Green misses 3-pt shot from 23 ft
5:54.0,Defensive rebound by Team,,96-96,,
5:54.0,,,96-96,,Loose ball foul by A. Iguodala (drawn by K. Lowry)
5:54.0,Official timeout,,96-96,,
5:54.0,K. Lowry makes free throw 1 of 2,1,97-96,,
5:54.0,K. Lowry makes free throw 2 of 2,1,98-96,,
5:48.0,,,98-98,2,A. Bogut makes 2-pt shot at rim (assist by D. Green)
5:29.0,Offensive foul by J. Valanciunas,,98-98,,
5:29.0,Turnover by J. Valanciunas (offensive foul),,98-98,,
5:18.0,,,98-101,3,S. Curry makes 3-pt shot from 25 ft
4:57.0,C. Joseph misses 2-pt shot from 10 ft,,98-101,,
4:56.0,,,98-101,,Defensive rebound by A. Bogut
4:45.0,,,98-101,,K. Thompson misses 3-pt shot from 22 ft
4:44.0,Defensive rebound by D. DeRozan,,98-101,,
4:23.0,Turnover by D. DeRozan (lost ball),,98-101,,
