time,Utah,pts.away,score,pts.home,Sacramento
1:21.0,Utah full timeout,,14-30,,
1:21.0,,,14-30,,K. Koufos enters the game for D. Cousins
1:03.0,T. Booker makes 2-pt shot at rim (assist by G. Hayward),2,16-30,,
0:45.0,,,16-30,,D. Collison misses 3-pt shot from 25 ft
0:44.0,Defensive rebound by G. Hayward,,16-30,,
0:38.0,A. Burks makes 2-pt shot from 22 ft,2,18-30,,
0:38.0,Shooting foul by R. Gay (drawn by A. Burks),,18-30,,
0:38.0,J. Withey enters the game for G. Hayward,,18-30,,
0:38.0,J. Ingles enters the game for D. Favors,,18-30,,
0:38.0,,,18-30,,O. Casspi enters the game for R. Gay
0:38.0,A. Burks makes free throw 1 of 1,1,19-30,,
0:18.0,,,19-33,3,M. Belinelli makes 3-pt shot from 24 ft (assist by R. Rondo)
0:09.0,J. Ingles makes 3-pt shot from 22 ft (assist by T. Booker),3,22-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,22-36,3,O. Casspi makes 3-pt shot from 24 ft (assist by R. Rondo)
11:22.0,T. Booker makes 2-pt shot from 4 ft,2,24-36,,
11:09.0,,,24-36,,Turnover by R. Rondo (bad pass; steal by T. Burke)
10:57.0,A. Burks makes 3-pt shot from 25 ft (assist by J. Ingles),3,27-36,,
10:46.0,,,27-38,2,M. Belinelli makes 2-pt shot from 17 ft (assist by R. Rondo)
10:27.0,T. Burke misses 2-pt shot from 3 ft,,27-38,,
10:26.0,Offensive rebound by J. Withey,,27-38,,
10:26.0,J. Withey misses 2-pt shot from 2 ft,,27-38,,
10:24.0,Offensive rebound by T. Burke,,27-38,,
10:19.0,A. Burks makes 3-pt shot from 25 ft (assist by J. Ingles),3,30-38,,
10:11.0,,,30-38,,B. McLemore enters the game for R. Rondo
9:57.0,,,30-41,3,B. McLemore makes 3-pt shot from 24 ft (assist by O. Casspi)
9:34.0,T. Booker misses 3-pt shot from 24 ft,,30-41,,
9:34.0,,,30-41,,Defensive rebound by O. Casspi
9:26.0,Personal foul by A. Burks (drawn by O. Casspi),,30-41,,
9:22.0,,,30-41,,O. Casspi misses 3-pt shot from 24 ft
9:22.0,Defensive rebound by A. Burks,,30-41,,
9:01.0,T. Burke misses 3-pt shot from 25 ft,,30-41,,
9:00.0,Offensive rebound by J. Withey,,30-41,,
8:52.0,T. Burke makes 3-pt shot from 23 ft (assist by A. Burks),3,33-41,,
8:41.0,,,33-41,,K. Koufos misses 2-pt shot from 2 ft
8:41.0,Defensive rebound by J. Withey,,33-41,,
8:34.0,A. Burks misses 3-pt shot from 23 ft,,33-41,,
8:34.0,,,33-41,,Defensive rebound by Team
8:34.0,Loose ball foul by J. Withey (drawn by K. Koufos),,33-41,,
8:34.0,Official timeout,,33-41,,
8:25.0,,,33-41,,Turnover by O. Casspi (bad pass)
8:07.0,Offensive foul by T. Burke,,33-41,,
8:07.0,Turnover by T. Burke (offensive foul),,33-41,,
7:49.0,R. Hood enters the game for A. Burks,,33-41,,
7:43.0,,,33-43,2,K. Koufos makes 2-pt shot at rim (assist by M. Belinelli)
7:23.0,T. Burke misses 3-pt shot from 24 ft,,33-43,,
7:23.0,Offensive rebound by Team,,33-43,,
7:23.0,,,33-43,,Loose ball foul by B. McLemore (drawn by T. Booker)
7:23.0,,,33-43,,Violation by K. Koufos (kicked ball)
7:13.0,R. Hood misses 3-pt shot from 25 ft,,33-43,,
7:12.0,,,33-43,,Defensive rebound by O. Casspi
7:06.0,Personal foul by J. Ingles (drawn by K. Koufos),,33-43,,
7:01.0,,,33-43,,M. Belinelli misses 2-pt shot from 21 ft
7:00.0,Defensive rebound by T. Booker,,33-43,,
6:45.0,J. Withey misses 2-pt shot from 4 ft (block by K. Koufos),,33-43,,
6:43.0,Offensive rebound by J. Withey,,33-43,,
6:43.0,J. Withey misses 2-pt shot from 2 ft,,33-43,,
6:43.0,Offensive rebound by T. Booker,,33-43,,
6:43.0,Shooting foul by B. McLemore (drawn by T. Booker),,33-43,,
6:43.0,T. Booker misses free throw 1 of 2,,33-43,,
6:43.0,Offensive rebound by Team,,33-43,,
6:43.0,,,33-43,,D. Cousins enters the game for K. Koufos
6:43.0,G. Hayward enters the game for J. Withey,,33-43,,
6:43.0,D. Favors enters the game for J. Ingles,,33-43,,
6:43.0,T. Booker makes free throw 2 of 2,1,34-43,,
6:24.0,,,34-43,,B. McLemore misses 3-pt shot from 23 ft
6:23.0,Defensive rebound by G. Hayward,,34-43,,
6:00.0,G. Hayward makes 2-pt shot from 15 ft,2,36-43,,
5:46.0,,,36-45,2,D. Collison makes 2-pt shot from 1 ft (assist by D. Cousins)
5:20.0,T. Booker misses 2-pt shot from 9 ft,,36-45,,
5:19.0,,,36-45,,Defensive rebound by D. Cousins
5:04.0,,,36-45,,O. Casspi misses 2-pt shot from 3 ft
5:03.0,Defensive rebound by T. Booker,,36-45,,
4:51.0,Turnover by G. Hayward (traveling),,36-45,,
4:51.0,,,36-45,,Sacramento full timeout
4:51.0,,,36-45,,R. Gay enters the game for M. Belinelli
4:51.0,T. Lyles enters the game for T. Burke,,36-45,,
4:51.0,A. Burks enters the game for T. Booker,,36-45,,
4:41.0,,,36-45,,D. Collison misses 2-pt shot from 17 ft
4:39.0,Defensive rebound by R. Hood,,36-45,,
4:31.0,,,36-45,,Personal foul by O. Casspi (drawn by G. Hayward)
4:31.0,,,36-45,,R. Rondo enters the game for D. Collison
4:22.0,T. Lyles makes 3-pt shot from 23 ft (assist by G. Hayward),3,39-45,,
4:12.0,,,39-47,2,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo)
4:00.0,Shooting foul by D. Cousins (drawn by D. Favors),,39-47,,
4:00.0,D. Favors makes free throw 1 of 2,1,40-47,,
4:00.0,D. Favors misses free throw 2 of 2,,40-47,,
3:59.0,,,40-47,,Defensive rebound by O. Casspi
3:40.0,,,40-49,2,R. Gay makes 2-pt shot from 2 ft (assist by R. Rondo)
3:14.0,G. Hayward misses 3-pt shot from 24 ft,,40-49,,
3:14.0,,,40-49,,Defensive rebound by Team
2:58.0,,,40-49,,O. Casspi misses 3-pt shot from 25 ft
2:57.0,,,40-49,,Offensive rebound by B. McLemore
2:44.0,Personal foul by A. Burks (drawn by R. Gay),,40-49,,
2:44.0,Utah full timeout,,40-49,,
2:29.0,,,40-49,,R. Rondo misses 2-pt shot from 16 ft
2:28.0,Defensive rebound by G. Hayward,,40-49,,
2:03.0,G. Hayward makes 3-pt shot from 24 ft (assist by R. Hood),3,43-49,,
1:41.0,,,43-49,,D. Cousins misses 2-pt shot from 21 ft
1:40.0,Defensive rebound by T. Lyles,,43-49,,
1:33.0,R. Hood misses 2-pt shot from 9 ft,,43-49,,
1:32.0,Offensive rebound by D. Favors,,43-49,,
1:21.0,D. Favors makes 2-pt shot from 18 ft (assist by R. Hood),2,45-49,,
1:03.0,,,45-51,2,O. Casspi makes 2-pt shot from 3 ft (assist by R. Rondo)
0:46.0,D. Favors misses 2-pt shot from 11 ft,,45-51,,
0:46.0,Offensive rebound by D. Favors,,45-51,,
0:45.0,D. Favors makes 2-pt shot from 2 ft,2,47-51,,
0:45.0,Shooting foul by O. Casspi (drawn by D. Favors),,47-51,,
0:45.0,T. Burke enters the game for A. Burks,,47-51,,
0:45.0,D. Favors makes free throw 1 of 1,1,48-51,,
0:36.0,,,48-53,2,R. Rondo makes 2-pt shot from 6 ft
0:25.0,T. Burke misses 3-pt shot from 25 ft,,48-53,,
0:23.0,Offensive rebound by T. Lyles,,48-53,,
0:23.0,T. Lyles misses 2-pt shot from 1 ft,,48-53,,
0:23.0,,,48-53,,Defensive rebound by R. Gay
0:12.0,Personal take foul by T. Burke (drawn by R. Rondo),,48-53,,
0:12.0,,,48-54,1,R. Rondo makes free throw 1 of 2
0:12.0,,,48-54,,K. Koufos enters the game for D. Cousins
0:12.0,J. Ingles enters the game for T. Lyles,,48-54,,
0:12.0,,,48-54,,R. Rondo misses free throw 2 of 2
0:11.0,Defensive rebound by R. Hood,,48-54,,
0:07.0,Turnover by R. Hood (bad pass; steal by R. Rondo),,48-54,,
0:03.0,,,48-54,,O. Casspi misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by D. Favors,,48-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,48-56,2,D. Cousins makes 2-pt shot from 3 ft
11:27.0,D. Favors makes 2-pt shot from 1 ft,2,50-56,,
11:15.0,,,50-56,,Shooting foul by T. Lyles (drawn by O. Casspi)
11:15.0,,,50-56,,O. Casspi misses free throw 1 of 2
11:15.0,,,50-56,,Offensive rebound by Team
11:15.0,,,50-57,1,O. Casspi makes free throw 2 of 2
10:56.0,R. Hood makes 3-pt shot from 23 ft (assist by G. Hayward),3,53-57,,
10:36.0,,,53-57,,Turnover by B. McLemore (traveling)
10:16.0,R. Neto makes 3-pt shot from 23 ft (assist by D. Favors),3,56-57,,
10:02.0,,,56-59,2,R. Rondo makes 2-pt shot from 2 ft
9:47.0,D. Favors misses 2-pt shot from 12 ft,,56-59,,
9:45.0,,,56-59,,Defensive rebound by O. Casspi
9:38.0,,,56-62,3,D. Cousins makes 3-pt shot from 24 ft (assist by O. Casspi)
9:17.0,G. Hayward misses 2-pt shot from 18 ft,,56-62,,
9:16.0,,,56-62,,Defensive rebound by D. Cousins
9:08.0,,,56-62,,Turnover by R. Rondo (bad pass; steal by R. Hood)
9:01.0,Turnover by G. Hayward (bad pass; steal by O. Casspi),,56-62,,
8:54.0,,,56-64,2,R. Gay makes 2-pt shot at rim (assist by R. Rondo)
8:54.0,Utah full timeout,,56-64,,
8:30.0,R. Neto misses 3-pt shot from 22 ft,,56-64,,
8:29.0,Offensive rebound by D. Favors,,56-64,,
8:26.0,D. Favors makes 2-pt shot at rim,2,58-64,,
8:13.0,,,58-67,3,O. Casspi makes 3-pt shot from 25 ft (assist by D. Cousins)
7:45.0,R. Neto misses 2-pt shot from 7 ft,,58-67,,
7:44.0,,,58-67,,Defensive rebound by D. Cousins
7:36.0,,,58-67,,Shooting foul by D. Favors (drawn by D. Cousins)
7:36.0,,,58-68,1,D. Cousins makes free throw 1 of 2
7:36.0,,,58-69,1,D. Cousins makes free throw 2 of 2
7:20.0,R. Hood makes 3-pt shot from 24 ft,3,61-69,,
7:15.0,Personal foul by R. Hood (drawn by R. Gay),,61-69,,
7:15.0,T. Burke enters the game for R. Neto,,61-69,,
7:07.0,,,61-69,,B. McLemore misses 3-pt shot from 25 ft
7:05.0,Defensive rebound by T. Lyles,,61-69,,
7:00.0,Shooting foul by R. Gay (drawn by G. Hayward),,61-69,,
7:00.0,G. Hayward misses free throw 1 of 2,,61-69,,
7:00.0,Offensive rebound by Team,,61-69,,
7:00.0,G. Hayward makes free throw 2 of 2,1,62-69,,
6:47.0,,,62-71,2,R. Rondo makes 2-pt shot from 2 ft
6:30.0,D. Favors makes 2-pt shot from 16 ft (assist by T. Burke),2,64-71,,
6:20.0,,,64-73,2,O. Casspi makes 2-pt shot from 2 ft (assist by D. Cousins)
6:20.0,,,64-73,,Violation by Team (delay of game)
6:02.0,T. Burke misses 3-pt shot from 23 ft,,64-73,,
6:01.0,,,64-73,,Defensive rebound by D. Cousins
5:57.0,,,64-73,,Turnover by D. Cousins (bad pass)
5:38.0,T. Lyles misses 2-pt shot from 14 ft,,64-73,,
5:37.0,,,64-73,,Defensive rebound by D. Cousins
5:26.0,,,64-73,,Turnover by R. Rondo (bad pass)
5:26.0,,,64-73,,M. Belinelli enters the game for D. Cousins
5:07.0,T. Burke makes 3-pt shot from 24 ft (assist by D. Favors),3,67-73,,
4:56.0,,,67-73,,R. Gay misses 2-pt shot from 5 ft
4:56.0,,,67-73,,Offensive rebound by Team
4:56.0,Loose ball foul by G. Hayward (drawn by B. McLemore),,67-73,,
4:56.0,,,67-73,,K. Koufos enters the game for B. McLemore
4:46.0,,,67-76,3,O. Casspi makes 3-pt shot from 24 ft (assist by R. Rondo)
4:30.0,G. Hayward misses 2-pt shot from 7 ft,,67-76,,
4:29.0,,,67-76,,Defensive rebound by R. Rondo
4:25.0,,,67-76,,Shooting foul by R. Hood (drawn by R. Gay)
4:25.0,,,67-78,2,R. Gay makes 2-pt shot at rim (assist by R. Rondo)
4:25.0,T. Booker enters the game for T. Lyles,,67-78,,
4:25.0,A. Burks enters the game for R. Hood,,67-78,,
4:25.0,,,67-78,,Sacramento full timeout
4:25.0,,,67-78,,D. Cousins enters the game for K. Koufos
4:25.0,,,67-79,1,R. Gay makes free throw 1 of 1
4:08.0,A. Burks misses 2-pt shot from 11 ft (block by R. Gay),,67-79,,
4:07.0,,,67-79,,Defensive rebound by O. Casspi
4:01.0,,,67-79,,Turnover by D. Cousins (bad pass; steal by G. Hayward)
3:56.0,,,67-79,,Personal foul by M. Belinelli (drawn by T. Burke)
3:50.0,D. Favors misses 2-pt shot from 16 ft,,67-79,,
3:49.0,Offensive rebound by T. Booker,,67-79,,
3:38.0,T. Burke makes 2-pt shot from 1 ft,2,69-79,,
3:29.0,,,69-79,,R. Gay misses 3-pt shot from 24 ft
3:29.0,Defensive rebound by A. Burks,,69-79,,
3:26.0,Turnover by T. Burke (traveling),,69-79,,
3:26.0,,,69-79,,K. Koufos enters the game for D. Cousins
3:19.0,Personal foul by A. Burks (drawn by M. Belinelli),,69-79,,
3:19.0,,,69-80,1,M. Belinelli makes free throw 1 of 2
3:19.0,J. Withey enters the game for D. Favors,,69-80,,
3:19.0,,,69-80,,D. Cousins enters the game for O. Casspi
3:19.0,,,69-81,1,M. Belinelli makes free throw 2 of 2
3:05.0,T. Burke misses 3-pt shot from 24 ft,,69-81,,
3:05.0,,,69-81,,Defensive rebound by D. Cousins
2:49.0,,,69-83,2,R. Gay makes 2-pt shot from 6 ft (assist by R. Rondo)
2:41.0,G. Hayward misses 3-pt shot from 24 ft,,69-83,,
2:41.0,,,69-83,,Defensive rebound by R. Gay
2:38.0,,,69-83,,Turnover by R. Gay (bad pass; steal by G. Hayward)
2:31.0,G. Hayward makes 3-pt shot from 24 ft (assist by T. Burke),3,72-83,,
2:09.0,,,72-83,,K. Koufos misses 2-pt shot from 2 ft
2:08.0,Defensive rebound by G. Hayward,,72-83,,
2:02.0,T. Burke makes 2-pt shot from 15 ft (assist by G. Hayward),2,74-83,,
1:36.0,,,74-83,,D. Cousins misses 3-pt shot from 24 ft
1:36.0,Defensive rebound by T. Burke,,74-83,,
1:28.0,T. Booker makes 2-pt shot from 2 ft (assist by T. Burke),2,76-83,,
1:15.0,,,76-85,2,R. Rondo makes 2-pt shot from 2 ft
1:15.0,,,76-85,,Shooting foul by T. Burke (drawn by R. Rondo)
1:15.0,,,76-85,,D. Collison enters the game for R. Gay
1:15.0,,,76-86,1,R. Rondo makes free throw 1 of 1
0:59.0,T. Burke makes 2-pt shot from 9 ft,2,78-86,,
0:38.0,,,78-86,,Turnover by D. Cousins (bad pass; steal by G. Hayward)
0:35.0,Shooting foul by D. Cousins (drawn by T. Booker),,78-86,,
0:35.0,T. Booker makes free throw 1 of 2,1,79-86,,
0:35.0,R. Neto enters the game for T. Burke,,79-86,,
0:35.0,T. Booker makes free throw 2 of 2,1,80-86,,
0:11.0,,,80-86,,M. Belinelli misses 3-pt shot from 30 ft
0:10.0,Defensive rebound by G. Hayward,,80-86,,
0:00.0,R. Neto misses 3-pt shot from 24 ft,,80-86,,
0:00.0,Offensive rebound by Team,,80-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,J. Ingles misses 3-pt shot from 24 ft,,80-86,,
11:35.0,,,80-86,,Defensive rebound by D. Cousins
11:26.0,,,80-86,,D. Collison misses 2-pt shot from 19 ft
11:25.0,Defensive rebound by T. Booker,,80-86,,
11:10.0,A. Burks misses 2-pt shot from 3 ft,,80-86,,
11:09.0,Offensive rebound by A. Burks,,80-86,,
11:07.0,A. Burks makes 2-pt shot from 5 ft,2,82-86,,
10:53.0,,,82-86,,D. Cousins misses 2-pt shot from 19 ft
10:52.0,Defensive rebound by J. Withey,,82-86,,
10:42.0,R. Hood makes 2-pt shot from 12 ft,2,84-86,,
10:39.0,,,84-86,,Sacramento full timeout
10:26.0,,,84-89,3,M. Belinelli makes 3-pt shot from 25 ft (assist by D. Cousins)
10:09.0,R. Hood misses 3-pt shot from 24 ft,,84-89,,
10:08.0,,,84-89,,Defensive rebound by O. Casspi
9:53.0,,,84-89,,O. Casspi misses 2-pt shot from 11 ft
9:52.0,,,84-89,,Offensive rebound by K. Koufos
9:42.0,,,84-89,,M. Belinelli misses 3-pt shot from 24 ft
9:41.0,,,84-89,,Offensive rebound by O. Casspi
9:33.0,,,84-89,,Shooting foul by T. Booker (drawn by D. Cousins)
9:33.0,,,84-90,1,D. Cousins makes free throw 1 of 2
9:33.0,,,84-91,1,D. Cousins makes free throw 2 of 2
9:10.0,A. Burks misses 3-pt shot from 25 ft,,84-91,,
9:10.0,,,84-91,,Defensive rebound by D. Cousins
8:51.0,,,84-91,,O. Casspi misses 2-pt shot from 8 ft
8:49.0,,,84-91,,Offensive rebound by K. Koufos
8:44.0,,,84-93,2,K. Koufos makes 2-pt shot at rim (assist by M. Belinelli)
8:20.0,R. Hood makes 3-pt shot from 25 ft (assist by A. Burks),3,87-93,,
8:06.0,,,87-93,,M. Belinelli misses 3-pt shot from 25 ft
8:05.0,,,87-93,,Offensive rebound by K. Koufos
8:00.0,,,87-93,,D. Collison misses 3-pt shot from 23 ft
7:59.0,Defensive rebound by Team,,87-93,,
7:59.0,,,87-93,,Personal foul by D. Cousins (drawn by J. Withey)
7:59.0,,,87-93,,R. Gay enters the game for D. Cousins
7:59.0,D. Favors enters the game for J. Withey,,87-93,,
7:47.0,Shooting foul by M. Belinelli (drawn by D. Favors),,87-93,,
7:47.0,D. Favors makes free throw 1 of 2,1,88-93,,
7:47.0,D. Favors misses free throw 2 of 2,,88-93,,
7:46.0,,,88-93,,Defensive rebound by K. Koufos
7:26.0,,,88-95,2,D. Collison makes 2-pt shot from 19 ft
7:08.0,Turnover by R. Hood (bad pass),,88-95,,
7:08.0,,,88-95,,R. Rondo enters the game for M. Belinelli
6:46.0,,,88-97,2,R. Gay makes 2-pt shot from 4 ft (assist by D. Collison)
6:28.0,J. Ingles misses 3-pt shot from 25 ft,,88-97,,
6:27.0,Offensive rebound by D. Favors,,88-97,,
6:27.0,,,88-97,,Personal foul by O. Casspi (drawn by D. Favors)
6:27.0,G. Hayward enters the game for T. Booker,,88-97,,
6:20.0,,,88-97,,Personal foul by O. Casspi (drawn by G. Hayward)
6:13.0,A. Burks makes 2-pt shot from 13 ft,2,90-97,,
6:00.0,,,90-99,2,K. Koufos makes 2-pt shot from 3 ft (assist by R. Rondo)
5:43.0,D. Favors misses 2-pt shot from 9 ft,,90-99,,
5:42.0,,,90-99,,Defensive rebound by R. Rondo
5:33.0,,,90-102,3,R. Gay makes 3-pt shot from 24 ft (assist by O. Casspi)
5:33.0,Utah full timeout,,90-102,,
5:33.0,,,90-102,,D. Cousins enters the game for K. Koufos
5:16.0,A. Burks misses 2-pt shot from 6 ft,,90-102,,
5:16.0,Offensive rebound by D. Favors,,90-102,,
5:16.0,Shooting foul by D. Collison (drawn by D. Favors),,90-102,,
5:16.0,D. Favors misses free throw 1 of 2,,90-102,,
5:16.0,Offensive rebound by Team,,90-102,,
5:16.0,D. Favors makes free throw 2 of 2,1,91-102,,
5:05.0,,,91-102,,Turnover by R. Rondo (bad pass)
4:47.0,R. Hood misses 3-pt shot from 23 ft,,91-102,,
4:46.0,,,91-102,,Defensive rebound by R. Rondo
4:23.0,,,91-102,,R. Rondo misses 2-pt shot from 20 ft
4:23.0,,,91-102,,Offensive rebound by Team
4:23.0,,,91-102,,Turnover by Team (shot clock)
4:05.0,Turnover by A. Burks (lost ball),,91-102,,
3:57.0,Personal foul by D. Favors (drawn by D. Cousins),,91-102,,
3:57.0,T. Booker enters the game for J. Ingles,,91-102,,
3:51.0,,,91-102,,O. Casspi misses 3-pt shot from 25 ft
3:49.0,,,91-102,,Offensive rebound by R. Rondo
3:48.0,,,91-102,,Turnover by R. Rondo (bad pass; steal by T. Booker)
3:36.0,Shooting foul by D. Cousins (drawn by A. Burks),,91-102,,
3:36.0,A. Burks misses free throw 1 of 2,,91-102,,
3:36.0,Offensive rebound by Team,,91-102,,
3:36.0,A. Burks makes free throw 2 of 2,1,92-102,,
3:20.0,,,92-102,,D. Cousins misses 2-pt shot from 9 ft
3:19.0,,,92-102,,Offensive rebound by D. Cousins
3:18.0,,,92-104,2,D. Cousins makes 2-pt shot from 2 ft
3:03.0,D. Favors misses 2-pt shot from 15 ft,,92-104,,
3:02.0,Offensive rebound by T. Booker,,92-104,,
3:01.0,T. Booker misses 2-pt shot from 4 ft,,92-104,,
3:01.0,Offensive rebound by Team,,92-104,,
2:51.0,R. Hood makes 3-pt shot from 25 ft (assist by G. Hayward),3,95-104,,
2:38.0,,,95-106,2,D. Collison makes 2-pt shot from 18 ft
2:22.0,A. Burks misses 2-pt shot from 10 ft,,95-106,,
2:22.0,,,95-106,,Defensive rebound by Team
2:22.0,Official timeout,,95-106,,
1:58.0,,,95-106,,O. Casspi misses 3-pt shot from 24 ft
1:58.0,,,95-106,,Offensive rebound by D. Cousins
1:58.0,,,95-108,2,D. Cousins makes 2-pt shot from 3 ft
1:44.0,R. Hood makes 3-pt shot from 25 ft (assist by D. Favors),3,98-108,,
