time,Cleveland,pts.away,score,pts.home,Atlanta
8:50.0,T. Thompson misses free throw 2 of 2,,6-8,,
8:48.0,Offensive rebound by K. Love,,6-8,,
8:48.0,K. Love makes 2-pt shot at rim,2,8-8,,
8:34.0,,,8-8,,P. Millsap misses 3-pt shot from 24 ft
8:32.0,Defensive rebound by K. Love,,8-8,,
8:27.0,Turnover by L. James (lost ball; steal by T. Sefolosha),,8-8,,
8:15.0,,,8-11,3,K. Humphries makes 3-pt shot from 25 ft (assist by J. Teague)
7:57.0,K. Love misses 3-pt shot from 24 ft,,8-11,,
7:57.0,Offensive rebound by K. Love,,8-11,,
7:57.0,Shooting foul by K. Bazemore (drawn by K. Love),,8-11,,
7:57.0,K. Love makes free throw 1 of 2,1,9-11,,
7:57.0,K. Love makes free throw 2 of 2,1,10-11,,
7:38.0,,,10-11,,Shooting foul by K. Love (drawn by J. Teague)
7:38.0,,,10-12,1,J. Teague makes free throw 1 of 2
7:38.0,,,10-13,1,J. Teague makes free throw 2 of 2
7:24.0,K. Love makes 3-pt shot from 25 ft (assist by J. Smith),3,13-13,,
7:11.0,,,13-13,,K. Bazemore misses 2-pt shot from 19 ft
7:10.0,Defensive rebound by K. Love,,13-13,,
7:03.0,Turnover by L. James (bad pass),,13-13,,
6:55.0,,,13-13,,K. Humphries misses 3-pt shot from 24 ft
6:54.0,Defensive rebound by T. Thompson,,13-13,,
6:41.0,L. James makes 2-pt shot from 2 ft (assist by K. Love),2,15-13,,
6:41.0,,,15-13,,Atlanta full timeout
6:27.0,,,15-13,,P. Millsap misses 2-pt shot from 3 ft
6:23.0,,,15-13,,Offensive rebound by T. Sefolosha
6:22.0,,,15-13,,T. Sefolosha misses 2-pt shot at rim
6:21.0,Defensive rebound by K. Love,,15-13,,
6:13.0,J. Smith makes 3-pt shot from 23 ft (assist by K. Love),3,18-13,,
5:51.0,,,18-13,,J. Teague misses 2-pt shot from 16 ft
5:50.0,Defensive rebound by L. James,,18-13,,
5:38.0,T. Thompson makes 2-pt shot from 9 ft,2,20-13,,
5:21.0,,,20-15,2,P. Millsap makes 2-pt shot from 8 ft (assist by T. Sefolosha)
5:21.0,,,20-15,,Shooting foul by T. Thompson (drawn by P. Millsap)
5:21.0,,,20-15,,K. Korver enters the game for K. Bazemore
5:21.0,,,20-15,,P. Millsap misses free throw 1 of 1
5:20.0,Defensive rebound by J. Smith,,20-15,,
5:19.0,,,20-15,,Personal take foul by K. Humphries
5:19.0,T. Thompson makes free throw 1 of 2,1,21-15,,
5:19.0,T. Thompson misses free throw 2 of 2,,21-15,,
5:18.0,,,21-15,,Defensive rebound by T. Sefolosha
4:55.0,,,21-18,3,T. Sefolosha makes 3-pt shot from 24 ft (assist by J. Teague)
4:40.0,,,21-18,,Personal foul by T. Sefolosha
4:40.0,L. James makes free throw 1 of 2,1,22-18,,
4:40.0,,,22-18,,D. Schroder enters the game for J. Teague
4:40.0,L. James makes free throw 2 of 2,1,23-18,,
4:23.0,,,23-18,,K. Korver misses 3-pt shot from 23 ft
4:20.0,Defensive rebound by L. James,,23-18,,
4:09.0,K. Irving misses 2-pt shot from 2 ft,,23-18,,
4:08.0,,,23-18,,Defensive rebound by D. Schroder
4:03.0,,,23-18,,Atlanta full timeout
4:03.0,I. Shumpert enters the game for L. James,,23-18,,
4:03.0,,,23-18,,K. Bazemore enters the game for T. Sefolosha
3:56.0,,,23-18,,Turnover by D. Schroder (bad pass)
3:31.0,K. Love misses 3-pt shot from 23 ft,,23-18,,
3:29.0,,,23-18,,Defensive rebound by K. Humphries
3:20.0,,,23-18,,D. Schroder misses 3-pt shot from 24 ft
3:18.0,,,23-18,,Offensive rebound by K. Humphries
3:08.0,,,23-20,2,K. Humphries makes 2-pt shot from 5 ft (assist by D. Schroder)
2:54.0,K. Irving misses 2-pt shot from 8 ft,,23-20,,
2:53.0,Offensive rebound by T. Thompson,,23-20,,
2:51.0,T. Thompson misses 2-pt shot from 1 ft (block by K. Humphries),,23-20,,
2:49.0,Offensive rebound by T. Thompson,,23-20,,
2:47.0,K. Love misses 3-pt shot from 25 ft,,23-20,,
2:46.0,Offensive rebound by T. Thompson,,23-20,,
2:32.0,K. Irving misses 2-pt shot from 11 ft,,23-20,,
2:30.0,,,23-20,,Defensive rebound by P. Millsap
2:23.0,,,23-20,,T. Hardaway enters the game for K. Bazemore
2:23.0,M. Dellavedova enters the game for K. Irving,,23-20,,
2:09.0,,,23-20,,K. Humphries misses 2-pt shot from 17 ft
2:09.0,,,23-20,,Offensive rebound by Team
2:09.0,Loose ball foul by J. Smith,,23-20,,
2:02.0,,,23-23,3,D. Schroder makes 3-pt shot from 25 ft
1:39.0,Turnover by J. Smith (lost ball),,23-23,,
1:39.0,Technical foul by J. Smith,,23-23,,
1:39.0,,,23-24,1,K. Korver makes technical free throw
1:39.0,,,23-24,,A. Horford enters the game for P. Millsap
1:39.0,C. Frye enters the game for T. Thompson,,23-24,,
1:23.0,,,23-24,,A. Horford misses 2-pt shot from 17 ft
1:21.0,Defensive rebound by I. Shumpert,,23-24,,
1:14.0,M. Dellavedova makes 3-pt shot from 25 ft (assist by I. Shumpert),3,26-24,,
1:00.0,,,26-24,,D. Schroder misses 2-pt shot from 20 ft
0:58.0,Defensive rebound by C. Frye,,26-24,,
0:52.0,C. Frye makes 3-pt shot from 24 ft (assist by I. Shumpert),3,29-24,,
0:35.0,,,29-24,,Shooting foul by K. Love (drawn by D. Schroder)
0:35.0,,,29-25,1,D. Schroder makes free throw 1 of 2
0:35.0,R. Jefferson enters the game for K. Love,,29-25,,
0:35.0,,,29-25,,M. Muscala enters the game for A. Horford
0:35.0,,,29-25,,M. Scott enters the game for K. Humphries
0:35.0,,,29-26,1,D. Schroder makes free throw 2 of 2
0:11.0,M. Dellavedova misses 2-pt shot from 19 ft,,29-26,,
0:10.0,,,29-26,,Defensive rebound by Team
0:10.0,Personal foul by R. Jefferson,,29-26,,
0:10.0,,,29-27,1,T. Hardaway makes free throw 1 of 2
0:10.0,L. James enters the game for I. Shumpert,,29-27,,
0:10.0,K. Irving enters the game for R. Jefferson,,29-27,,
0:10.0,,,29-28,1,T. Hardaway makes free throw 2 of 2
0:03.0,L. James makes 2-pt shot from 1 ft,2,31-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,Shooting foul by D. Schroder (drawn by I. Shumpert),,31-28,,
11:40.0,I. Shumpert misses free throw 1 of 2,,31-28,,
11:40.0,Offensive rebound by Team,,31-28,,
11:40.0,,,31-28,,A. Horford enters the game for M. Scott
11:40.0,I. Shumpert misses free throw 2 of 2,,31-28,,
11:38.0,Offensive rebound by C. Frye,,31-28,,
11:32.0,C. Frye makes 3-pt shot from 25 ft (assist by R. Jefferson),3,34-28,,
11:24.0,,,34-28,,Turnover by K. Bazemore (bad pass)
11:13.0,L. James makes 2-pt shot at rim (assist by I. Shumpert),2,36-28,,
11:00.0,,,36-30,2,A. Horford makes 2-pt shot from 1 ft (assist by D. Schroder)
10:32.0,L. James misses 3-pt shot from 24 ft,,36-30,,
10:31.0,,,36-30,,Defensive rebound by D. Schroder
10:29.0,,,36-30,,Turnover by D. Schroder (lost ball; steal by I. Shumpert)
10:29.0,,,36-30,,Personal foul by P. Millsap
10:29.0,,,36-30,,J. Teague enters the game for D. Schroder
10:05.0,L. James misses 2-pt shot from 6 ft,,36-30,,
10:04.0,Offensive rebound by I. Shumpert,,36-30,,
10:04.0,I. Shumpert makes 2-pt shot at rim,2,38-30,,
9:56.0,,,38-30,,P. Millsap misses 2-pt shot from 2 ft
9:54.0,Defensive rebound by C. Frye,,38-30,,
9:52.0,Offensive charge foul by M. Dellavedova,,38-30,,
9:52.0,Turnover by M. Dellavedova (offensive foul),,38-30,,
9:45.0,,,38-33,3,K. Korver makes 3-pt shot from 25 ft (assist by J. Teague)
9:25.0,Turnover by C. Frye (lost ball; steal by A. Horford),,38-33,,
9:24.0,Personal foul by M. Dellavedova,,38-33,,
9:24.0,K. Irving enters the game for M. Dellavedova,,38-33,,
9:19.0,,,38-33,,Offensive foul by P. Millsap
9:19.0,,,38-33,,Turnover by P. Millsap (offensive foul)
9:04.0,C. Frye makes 3-pt shot from 24 ft (assist by L. James),3,41-33,,
8:50.0,,,41-35,2,A. Horford makes 2-pt shot from 2 ft (assist by P. Millsap)
8:23.0,C. Frye misses 3-pt shot from 23 ft,,41-35,,
8:20.0,,,41-35,,Defensive rebound by Team
8:20.0,Official timeout,,41-35,,
8:08.0,,,41-37,2,A. Horford makes 2-pt shot at rim (assist by J. Teague)
7:48.0,R. Jefferson makes 2-pt shot at rim (assist by I. Shumpert),2,43-37,,
7:37.0,,,43-37,,J. Teague misses 2-pt shot from 1 ft
7:35.0,Defensive rebound by L. James,,43-37,,
7:30.0,K. Irving misses 2-pt shot from 20 ft,,43-37,,
7:29.0,,,43-37,,Defensive rebound by A. Horford
7:29.0,Personal foul by C. Frye,,43-37,,
7:29.0,,,43-37,,K. Humphries enters the game for P. Millsap
7:15.0,Personal foul by C. Frye,,43-37,,
7:11.0,,,43-40,3,J. Teague makes 3-pt shot from 24 ft
6:48.0,I. Shumpert misses 2-pt shot from 2 ft (block by A. Horford),,43-40,,
6:46.0,,,43-40,,Defensive rebound by K. Bazemore
6:41.0,,,43-40,,K. Humphries misses 2-pt shot from 18 ft
6:40.0,Defensive rebound by C. Frye,,43-40,,
6:32.0,I. Shumpert makes 3-pt shot from 25 ft (assist by L. James),3,46-40,,
6:21.0,,,46-40,,Turnover by A. Horford (lost ball; steal by K. Irving)
6:18.0,K. Irving makes 2-pt shot from 1 ft,2,48-40,,
6:18.0,,,48-40,,Atlanta full timeout
6:18.0,,,48-40,,T. Sefolosha enters the game for A. Horford
6:18.0,,,48-40,,P. Millsap enters the game for K. Bazemore
6:03.0,,,48-43,3,K. Korver makes 3-pt shot from 25 ft (assist by J. Teague)
5:44.0,L. James makes 2-pt shot from 1 ft,2,50-43,,
5:25.0,Personal foul by K. Irving,,50-43,,
5:25.0,K. Love enters the game for I. Shumpert,,50-43,,
5:25.0,T. Thompson enters the game for C. Frye,,50-43,,
5:25.0,J. Smith enters the game for R. Jefferson,,50-43,,
5:12.0,,,50-45,2,J. Teague makes 2-pt shot from 7 ft
5:07.0,Turnover by L. James (traveling),,50-45,,
4:49.0,,,50-48,3,J. Teague makes 3-pt shot from 24 ft
4:36.0,K. Love misses 3-pt shot from 23 ft,,50-48,,
4:34.0,,,50-48,,Defensive rebound by K. Humphries
4:26.0,,,50-51,3,K. Korver makes 3-pt shot from 25 ft (assist by J. Teague)
4:00.0,L. James misses 2-pt shot at rim,,50-51,,
3:57.0,Offensive rebound by K. Love,,50-51,,
3:56.0,Turnover by K. Love (lost ball; steal by P. Millsap),,50-51,,
3:52.0,,,50-53,2,K. Humphries makes 2-pt shot at rim (assist by T. Sefolosha)
3:52.0,Cleveland full timeout,,50-53,,
3:48.0,,,50-53,,Inbound foul by K. Humphries
3:48.0,T. Thompson misses free throw 1 of 2,,50-53,,
3:48.0,Offensive rebound by Team,,50-53,,
3:48.0,T. Thompson makes free throw 2 of 2,1,51-53,,
3:40.0,,,51-56,3,K. Korver makes 3-pt shot from 24 ft (assist by P. Millsap)
3:24.0,K. Irving makes 2-pt shot from 17 ft,2,53-56,,
3:06.0,,,53-56,,K. Korver misses 3-pt shot from 25 ft
3:04.0,Defensive rebound by L. James,,53-56,,
2:52.0,K. Love misses 3-pt shot from 23 ft,,53-56,,
2:49.0,Offensive rebound by T. Thompson,,53-56,,
2:47.0,K. Love misses 2-pt shot from 1 ft,,53-56,,
2:44.0,Offensive rebound by T. Thompson,,53-56,,
2:43.0,T. Thompson misses 2-pt shot from 1 ft,,53-56,,
2:41.0,,,53-56,,Defensive rebound by P. Millsap
2:24.0,,,53-58,2,K. Humphries makes 2-pt shot from 2 ft (assist by P. Millsap)
1:57.0,K. Irving misses 3-pt shot from 25 ft,,53-58,,
1:55.0,Offensive rebound by T. Thompson,,53-58,,
1:55.0,T. Thompson misses 2-pt shot from 1 ft,,53-58,,
1:53.0,,,53-58,,Defensive rebound by K. Korver
1:49.0,,,53-58,,T. Sefolosha misses 2-pt shot from 16 ft
1:48.0,Defensive rebound by T. Thompson,,53-58,,
1:48.0,Turnover by T. Thompson (step out of bounds),,53-58,,
1:48.0,,,53-58,,K. Bazemore enters the game for K. Korver
1:48.0,,,53-58,,A. Horford enters the game for P. Millsap
1:48.0,R. Jefferson enters the game for K. Love,,53-58,,
1:36.0,,,53-60,2,A. Horford makes 2-pt shot from 7 ft
1:09.0,K. Irving misses 2-pt shot from 14 ft,,53-60,,
1:08.0,,,53-60,,Defensive rebound by T. Sefolosha
1:00.0,,,53-63,3,A. Horford makes 3-pt shot from 24 ft (assist by K. Humphries)
0:43.0,R. Jefferson misses 3-pt shot from 23 ft,,53-63,,
0:41.0,Offensive rebound by T. Thompson,,53-63,,
0:37.0,Turnover by T. Thompson (lost ball; steal by A. Horford),,53-63,,
0:30.0,,,53-63,,K. Humphries misses 2-pt shot from 2 ft
0:28.0,Defensive rebound by L. James,,53-63,,
0:07.0,R. Jefferson makes 2-pt shot at rim,2,55-63,,
0:01.0,,,55-63,,Turnover by K. Humphries (lost ball; steal by R. Jefferson)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,,,55-63,,Inbound foul by M. Scott
12:00.0,T. Thompson misses free throw 1 of 2,,55-63,,
12:00.0,Offensive rebound by Team,,55-63,,
12:00.0,,,55-63,,A. Horford enters the game for M. Scott
12:00.0,T. Thompson makes free throw 2 of 2,1,56-63,,
11:44.0,,,56-63,,K. Bazemore misses 3-pt shot from 25 ft
11:42.0,Defensive rebound by L. James,,56-63,,
11:32.0,Offensive charge foul by K. Love,,56-63,,
11:32.0,Turnover by K. Love (offensive foul),,56-63,,
11:20.0,,,56-63,,A. Horford misses 2-pt shot from 19 ft
11:17.0,,,56-63,,Offensive rebound by P. Millsap
11:06.0,,,56-65,2,A. Horford makes 2-pt shot at rim (assist by J. Teague)
10:41.0,K. Love makes 2-pt shot from 12 ft,2,58-65,,
10:31.0,,,58-68,3,A. Horford makes 3-pt shot from 24 ft (assist by J. Teague)
10:10.0,K. Love misses 2-pt shot from 1 ft,,58-68,,
10:09.0,Offensive rebound by K. Love,,58-68,,
10:00.0,K. Love makes 3-pt shot from 23 ft (assist by T. Thompson),3,61-68,,
9:42.0,,,61-70,2,P. Millsap makes 2-pt shot at rim (assist by J. Teague)
9:26.0,,,61-70,,Personal foul by K. Bazemore
9:18.0,Offensive charge foul by K. Love,,61-70,,
9:18.0,Turnover by K. Love (offensive foul),,61-70,,
9:18.0,C. Frye enters the game for K. Love,,61-70,,
9:09.0,,,61-72,2,J. Teague makes 2-pt shot from 5 ft
8:49.0,T. Thompson misses 2-pt shot from 5 ft,,61-72,,
8:49.0,Offensive rebound by Team,,61-72,,
8:49.0,,,61-72,,Personal foul by T. Sefolosha
8:49.0,Cleveland full timeout,,61-72,,
8:49.0,,,61-72,,M. Scott enters the game for A. Horford
8:49.0,,,61-72,,Inbound foul by M. Scott
8:49.0,T. Thompson misses free throw 1 of 2,,61-72,,
8:49.0,Offensive rebound by Team,,61-72,,
8:49.0,,,61-72,,A. Horford enters the game for M. Scott
8:49.0,T. Thompson makes free throw 2 of 2,1,62-72,,
8:37.0,,,62-72,,Offensive foul by A. Horford
8:37.0,,,62-72,,Turnover by A. Horford (offensive foul)
8:26.0,C. Frye makes 3-pt shot from 24 ft (assist by L. James),3,65-72,,
8:06.0,,,65-74,2,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague)
7:49.0,C. Frye misses 3-pt shot from 23 ft (block by P. Millsap),,65-74,,
7:47.0,Offensive rebound by T. Thompson,,65-74,,
7:44.0,K. Irving makes 3-pt shot from 25 ft (assist by T. Thompson),3,68-74,,
7:18.0,,,68-74,,J. Teague misses 3-pt shot from 24 ft
7:16.0,,,68-74,,Offensive rebound by K. Bazemore
7:16.0,,,68-74,,K. Bazemore misses 2-pt shot from 1 ft
7:14.0,Defensive rebound by L. James,,68-74,,
7:09.0,Turnover by C. Frye (lost ball; steal by K. Bazemore),,68-74,,
7:06.0,,,68-74,,Turnover by K. Bazemore (lost ball; steal by K. Irving)
7:05.0,Offensive foul by K. Irving,,68-74,,
7:05.0,Turnover by K. Irving (offensive foul),,68-74,,
6:54.0,,,68-77,3,P. Millsap makes 3-pt shot from 24 ft (assist by J. Teague)
6:32.0,C. Frye makes 2-pt shot from 16 ft (assist by K. Irving),2,70-77,,
6:16.0,,,70-77,,K. Bazemore misses 3-pt shot from 25 ft
6:14.0,Defensive rebound by L. James,,70-77,,
6:05.0,J. Smith makes 3-pt shot from 26 ft (assist by L. James),3,73-77,,
6:05.0,,,73-77,,Atlanta full timeout
6:05.0,,,73-77,,K. Humphries enters the game for A. Horford
6:05.0,,,73-77,,K. Korver enters the game for K. Bazemore
5:49.0,,,73-77,,Shooting foul by L. James (drawn by P. Millsap)
5:49.0,,,73-78,1,P. Millsap makes free throw 1 of 2
5:49.0,,,73-79,1,P. Millsap makes free throw 2 of 2
5:46.0,,,73-79,,Personal take foul by K. Humphries
5:46.0,T. Thompson misses free throw 1 of 2,,73-79,,
5:46.0,Offensive rebound by Team,,73-79,,
5:46.0,T. Thompson makes free throw 2 of 2,1,74-79,,
5:31.0,,,74-81,2,P. Millsap makes 2-pt shot at rim (assist by J. Teague)
5:14.0,K. Irving misses 2-pt shot from 4 ft,,74-81,,
5:12.0,Offensive rebound by T. Thompson,,74-81,,
5:11.0,Turnover by T. Thompson (lost ball; steal by K. Humphries),,74-81,,
5:11.0,Jump ball: K. Humphries vs. T. Thompson (P. Millsap gains possession),,,,Jump ball: K. Humphries vs. T. Thompson (P. Millsap gains possession)
4:56.0,,,74-81,,J. Teague misses 3-pt shot from 25 ft
4:53.0,Defensive rebound by L. James,,74-81,,
4:49.0,L. James misses 2-pt shot from 1 ft (block by K. Humphries),,74-81,,
4:47.0,,,74-81,,Defensive rebound by P. Millsap
4:36.0,,,74-83,2,P. Millsap makes 2-pt shot from 11 ft (assist by J. Teague)
4:20.0,C. Frye misses 2-pt shot from 20 ft,,74-83,,
4:17.0,,,74-83,,Defensive rebound by K. Humphries
4:10.0,,,74-83,,K. Humphries misses 3-pt shot from 25 ft
4:09.0,Defensive rebound by L. James,,74-83,,
4:03.0,K. Irving makes 3-pt shot from 23 ft (assist by J. Smith),3,77-83,,
3:39.0,,,77-86,3,T. Sefolosha makes 3-pt shot from 25 ft (assist by J. Teague)
3:20.0,L. James misses 3-pt shot from 24 ft,,77-86,,
3:19.0,,,77-86,,Defensive rebound by K. Korver
3:02.0,,,77-86,,P. Millsap misses 2-pt shot from 11 ft
2:59.0,Defensive rebound by T. Thompson,,77-86,,
2:52.0,K. Irving makes 2-pt shot from 16 ft,2,79-86,,
2:37.0,Personal foul by K. Irving,,79-86,,
2:37.0,,,79-86,,D. Schroder enters the game for J. Teague
2:37.0,,,79-86,,A. Horford enters the game for K. Humphries
2:37.0,M. Dellavedova enters the game for K. Irving,,79-86,,
2:32.0,,,79-86,,Turnover by P. Millsap (lost ball; steal by L. James)
2:30.0,Shooting foul by D. Schroder (drawn by L. James),,79-86,,
2:30.0,L. James misses free throw 1 of 3,,79-86,,
2:30.0,Offensive rebound by Team,,79-86,,
2:30.0,L. James makes free throw 2 of 3,1,80-86,,
2:30.0,,,80-86,,K. Bazemore enters the game for T. Sefolosha
2:30.0,L. James makes free throw 3 of 3,1,81-86,,
2:20.0,Personal foul by J. Smith,,81-86,,
2:11.0,,,81-86,,P. Millsap misses 3-pt shot from 25 ft
2:10.0,Defensive rebound by C. Frye,,81-86,,
2:04.0,Offensive charge foul by L. James,,81-86,,
2:04.0,Turnover by L. James (offensive foul),,81-86,,
1:52.0,Personal foul by C. Frye,,81-86,,
1:41.0,,,81-89,3,K. Bazemore makes 3-pt shot from 27 ft
1:16.0,C. Frye makes 2-pt shot at rim (assist by M. Dellavedova),2,83-89,,
1:00.0,,,83-89,,D. Schroder misses 2-pt shot from 11 ft
0:59.0,Defensive rebound by T. Thompson,,83-89,,
0:46.0,T. Thompson misses 2-pt shot from 1 ft,,83-89,,
0:46.0,Offensive rebound by L. James,,83-89,,
0:46.0,L. James makes 2-pt shot from 2 ft,2,85-89,,
0:25.0,,,85-89,,Turnover by A. Horford (lost ball; steal by L. James)
0:20.0,Turnover by L. James (bad pass),,85-89,,
0:20.0,,,85-89,,M. Scott enters the game for P. Millsap
0:20.0,R. Jefferson enters the game for L. James,,85-89,,
0:03.0,,,85-91,2,A. Horford makes 2-pt shot from 2 ft (assist by D. Schroder)
0:01.0,M. Dellavedova misses 3-pt shot from 62 ft (block by K. Korver),,85-91,,
0:00.0,Offensive rebound by Team,,85-91,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,85-91,,K. Korver misses 2-pt shot from 21 ft
11:42.0,Defensive rebound by M. Dellavedova,,85-91,,
11:22.0,K. Irving misses 2-pt shot from 1 ft (block by A. Horford),,85-91,,
11:19.0,,,85-91,,Defensive rebound by K. Bazemore
11:14.0,,,85-94,3,K. Korver makes 3-pt shot from 25 ft (assist by K. Bazemore)
10:59.0,C. Frye makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,88-94,,
10:46.0,,,88-94,,A. Horford misses 3-pt shot from 25 ft
10:45.0,Defensive rebound by K. Love,,88-94,,
10:37.0,K. Irving makes 2-pt shot from 20 ft,2,90-94,,
10:22.0,,,90-96,2,A. Horford makes 2-pt shot at rim (assist by D. Schroder)
10:08.0,K. Irving makes 3-pt shot from 25 ft,3,93-96,,
9:45.0,,,93-99,3,D. Schroder makes 3-pt shot from 25 ft
9:27.0,K. Love misses 3-pt shot from 25 ft,,93-99,,
9:27.0,,,93-99,,Defensive rebound by M. Scott
9:27.0,Personal foul by M. Dellavedova,,93-99,,
9:27.0,,,93-99,,J. Teague enters the game for D. Schroder
9:14.0,,,93-101,2,J. Teague makes 2-pt shot from 2 ft
9:02.0,K. Irving makes 3-pt shot from 24 ft,3,96-101,,
8:48.0,,,96-101,,J. Teague misses 3-pt shot from 25 ft
8:46.0,Defensive rebound by K. Irving,,96-101,,
8:39.0,C. Frye makes 3-pt shot from 25 ft (assist by K. Irving),3,99-101,,
8:38.0,,,99-101,,Atlanta full timeout
8:38.0,,,99-101,,P. Millsap enters the game for K. Bazemore
8:38.0,,,99-101,,T. Sefolosha enters the game for M. Scott
8:17.0,,,99-103,2,J. Teague makes 2-pt shot from 8 ft (assist by A. Horford)
7:54.0,M. Dellavedova misses 3-pt shot from 26 ft,,99-103,,
7:52.0,,,99-103,,Defensive rebound by Team
7:41.0,,,99-103,,Turnover by P. Millsap (bad pass)
7:41.0,L. James enters the game for M. Dellavedova,,99-103,,
7:31.0,K. Irving misses 2-pt shot from 19 ft,,99-103,,
7:30.0,,,99-103,,Defensive rebound by P. Millsap
7:19.0,,,99-103,,P. Millsap misses 2-pt shot from 19 ft
7:17.0,Defensive rebound by C. Frye,,99-103,,
6:59.0,L. James makes 2-pt shot at rim,2,101-103,,
6:44.0,,,101-103,,J. Teague misses 2-pt shot from 2 ft
6:43.0,Defensive rebound by C. Frye,,101-103,,
6:42.0,,,101-103,,Personal foul by K. Korver
6:42.0,J. Smith enters the game for I. Shumpert,,101-103,,
6:42.0,,,101-103,,K. Bazemore enters the game for K. Korver
6:23.0,L. James makes 3-pt shot from 25 ft (assist by J. Smith),3,104-103,,
6:00.0,,,104-103,,Turnover by P. Millsap (lost ball; steal by J. Smith)
5:56.0,C. Frye makes 2-pt shot from 1 ft (assist by L. James),2,106-103,,
5:56.0,,,106-103,,Atlanta full timeout
5:56.0,Official timeout,,106-103,,
5:56.0,,,106-103,,K. Korver enters the game for K. Bazemore
5:40.0,,,106-103,,P. Millsap misses 2-pt shot from 10 ft
5:38.0,,,106-103,,Offensive rebound by P. Millsap
5:33.0,Personal foul by K. Irving,,106-103,,
5:27.0,,,106-103,,J. Teague misses 2-pt shot from 16 ft
5:24.0,Defensive rebound by L. James,,106-103,,
5:03.0,L. James makes 2-pt shot from 20 ft,2,108-103,,
4:40.0,,,108-103,,P. Millsap misses 3-pt shot from 23 ft
4:38.0,Defensive rebound by K. Love,,108-103,,
4:29.0,K. Irving makes 2-pt shot at rim (assist by L. James),2,110-103,,
4:23.0,,,110-103,,Shooting foul by K. Irving (drawn by J. Teague)
4:23.0,,,110-103,,J. Teague misses free throw 1 of 2
4:23.0,,,110-103,,Offensive rebound by Team
4:23.0,,,110-104,1,J. Teague makes free throw 2 of 2
3:59.0,L. James misses 2-pt shot from 14 ft,,110-104,,
3:56.0,,,110-104,,Defensive rebound by K. Korver
3:50.0,,,110-104,,Turnover by K. Korver (lost ball; steal by C. Frye)
3:35.0,C. Frye makes 3-pt shot from 24 ft (assist by K. Love),3,113-104,,
3:13.0,,,113-106,2,K. Korver makes 2-pt shot from 21 ft (assist by A. Horford)
3:06.0,Cleveland full timeout,,113-106,,
3:06.0,,,113-106,,K. Bazemore enters the game for T. Sefolosha
2:47.0,K. Love misses 3-pt shot from 25 ft,,113-106,,
2:45.0,Offensive rebound by J. Smith,,113-106,,
2:45.0,Turnover by Team (shot clock),,113-106,,
2:35.0,,,113-106,,P. Millsap misses 2-pt shot from 2 ft
2:33.0,Defensive rebound by K. Love,,113-106,,
2:22.0,J. Smith misses 3-pt shot from 24 ft,,113-106,,
2:20.0,Offensive rebound by L. James,,113-106,,
