time,Chicago,pts.away,score,pts.home,Memphis
10:41.0,,,21-28,,Turnover by X. Munford (lost ball; steal by D. Rose)
10:31.0,D. McDermott makes 2-pt shot from 2 ft,2,23-28,,
10:14.0,,,23-28,,V. Carter misses 2-pt shot from 11 ft (block by C. Felicio)
10:14.0,,,23-28,,Offensive rebound by Team
10:09.0,,,23-30,2,J. Martin makes 2-pt shot at rim (assist by M. Barnes)
9:48.0,J. Holiday misses 3-pt shot from 24 ft,,23-30,,
9:45.0,Offensive rebound by N. Mirotic,,23-30,,
9:42.0,J. Holiday makes 3-pt shot from 23 ft (assist by N. Mirotic),3,26-30,,
9:21.0,,,26-32,2,V. Carter makes 2-pt shot from 1 ft
9:09.0,D. Rose makes 2-pt shot from 2 ft,2,28-32,,
8:57.0,,,28-32,,M. Barnes misses 3-pt shot from 25 ft
8:55.0,Defensive rebound by C. Felicio,,28-32,,
8:45.0,D. Rose makes 2-pt shot from 7 ft,2,30-32,,
8:26.0,,,30-32,,X. Munford misses 2-pt shot from 13 ft
8:24.0,Defensive rebound by C. Felicio,,30-32,,
8:14.0,J. Holiday misses 2-pt shot from 1 ft,,30-32,,
8:14.0,,,30-32,,Defensive rebound by M. Barnes
8:12.0,Shooting block foul by D. Rose (drawn by M. Barnes),,30-32,,
8:12.0,,,30-32,,Memphis full timeout
8:12.0,,,30-32,,T. Allen enters the game for V. Carter
8:12.0,,,30-32,,J. Farmar enters the game for X. Munford
8:12.0,,,30-33,1,M. Barnes makes free throw 1 of 2
8:12.0,,,30-34,1,M. Barnes makes free throw 2 of 2
8:03.0,,,30-34,,Personal foul by J. Green
7:50.0,Turnover by D. McDermott (lost ball; steal by T. Allen),,30-34,,
7:49.0,Personal foul by D. McDermott,,30-34,,
7:49.0,J. Butler enters the game for D. McDermott,,30-34,,
7:25.0,,,30-34,,J. Farmar misses 2-pt shot from 2 ft
7:23.0,,,30-34,,Offensive rebound by J. Green
7:23.0,,,30-34,,J. Green misses 2-pt shot from 2 ft
7:21.0,Defensive rebound by N. Mirotic,,30-34,,
7:04.0,D. Rose misses 3-pt shot from 24 ft,,30-34,,
7:03.0,,,30-34,,Defensive rebound by T. Allen
6:54.0,,,30-36,2,T. Allen makes 2-pt shot from 3 ft
6:42.0,Turnover by C. Felicio (lost ball; steal by T. Allen),,30-36,,
6:36.0,,,30-39,3,J. Farmar makes 3-pt shot from 22 ft (assist by J. Martin)
6:36.0,Chicago full timeout,,30-39,,
6:36.0,,,30-39,,Z. Randolph enters the game for J. Green
6:36.0,P. Gasol enters the game for C. Felicio,,30-39,,
6:19.0,N. Mirotic misses 3-pt shot from 23 ft,,30-39,,
6:18.0,Offensive rebound by N. Mirotic,,30-39,,
6:07.0,N. Mirotic makes 3-pt shot from 22 ft (assist by P. Gasol),3,33-39,,
5:42.0,,,33-39,,Turnover by J. Farmar (lost ball; steal by P. Gasol)
5:37.0,Turnover by J. Butler (bad pass),,33-39,,
5:14.0,,,33-41,2,Z. Randolph makes 2-pt shot from 4 ft
4:54.0,J. Holiday misses 2-pt shot from 11 ft,,33-41,,
4:52.0,,,33-41,,Defensive rebound by Z. Randolph
4:43.0,,,33-43,2,J. Farmar makes 2-pt shot from 2 ft
4:31.0,P. Gasol makes 2-pt shot from 13 ft (assist by D. Rose),2,35-43,,
4:18.0,,,35-45,2,Z. Randolph makes 2-pt shot from 18 ft (assist by J. Farmar)
4:03.0,Shooting foul by M. Barnes (drawn by P. Gasol),,35-45,,
4:03.0,P. Gasol makes free throw 1 of 2,1,36-45,,
4:03.0,B. Portis enters the game for J. Holiday,,36-45,,
4:03.0,M. Dunleavy enters the game for N. Mirotic,,36-45,,
4:03.0,,,36-45,,J. Green enters the game for J. Martin
4:03.0,P. Gasol misses free throw 2 of 2,,36-45,,
4:02.0,,,36-45,,Defensive rebound by Z. Randolph
3:48.0,,,36-48,3,M. Barnes makes 3-pt shot from 24 ft (assist by J. Green)
3:36.0,D. Rose makes 2-pt shot from 15 ft,2,38-48,,
3:21.0,,,38-50,2,J. Farmar makes 2-pt shot from 13 ft
3:02.0,D. Rose misses 3-pt shot from 24 ft,,38-50,,
3:01.0,,,38-50,,Defensive rebound by T. Allen
2:54.0,,,38-50,,Memphis full timeout
2:46.0,,,38-50,,J. Green misses 3-pt shot from 24 ft (block by P. Gasol)
2:46.0,,,38-50,,Offensive rebound by Team
2:46.0,Loose ball foul by M. Dunleavy,,38-50,,
2:34.0,,,38-50,,J. Farmar misses 3-pt shot from 28 ft
2:33.0,Defensive rebound by P. Gasol,,38-50,,
2:10.0,P. Gasol misses 2-pt shot from 7 ft,,38-50,,
2:08.0,Offensive rebound by B. Portis,,38-50,,
2:08.0,B. Portis misses 2-pt shot from 2 ft,,38-50,,
2:06.0,,,38-50,,Defensive rebound by T. Allen
1:50.0,,,38-52,2,Z. Randolph makes 2-pt shot from 4 ft
1:33.0,B. Portis misses 2-pt shot from 17 ft,,38-52,,
1:32.0,,,38-52,,Defensive rebound by Z. Randolph
1:25.0,,,38-52,,M. Barnes misses 3-pt shot from 25 ft
1:23.0,Defensive rebound by D. Rose,,38-52,,
1:18.0,D. Rose misses 2-pt shot from 2 ft,,38-52,,
1:17.0,Offensive rebound by B. Portis,,38-52,,
1:17.0,B. Portis misses 2-pt shot from 3 ft,,38-52,,
1:15.0,Offensive rebound by B. Portis,,38-52,,
1:15.0,B. Portis makes 2-pt shot from 2 ft,2,40-52,,
1:01.0,,,40-52,,J. Farmar misses 2-pt shot from 19 ft
1:00.0,Defensive rebound by P. Gasol,,40-52,,
0:41.0,Shooting foul by J. Green (drawn by P. Gasol),,40-52,,
0:41.0,P. Gasol makes free throw 1 of 2,1,41-52,,
0:41.0,,,41-52,,V. Carter enters the game for T. Allen
0:41.0,P. Gasol makes free throw 2 of 2,1,42-52,,
0:28.0,,,42-52,,Shooting foul by B. Portis (drawn by Z. Randolph)
0:28.0,,,42-53,1,Z. Randolph makes free throw 1 of 2
0:28.0,N. Mirotic enters the game for B. Portis,,42-53,,
0:28.0,,,42-53,,T. Allen enters the game for V. Carter
0:28.0,,,42-53,,C. Andersen enters the game for J. Green
0:28.0,,,42-54,1,Z. Randolph makes free throw 2 of 2
0:06.0,M. Dunleavy makes 2-pt shot from 19 ft (assist by D. Rose),2,44-54,,
0:00.0,,,44-54,,T. Allen misses 2-pt shot from 23 ft
0:00.0,,,44-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,D. Rose misses 2-pt shot from 1 ft,,44-54,,
11:40.0,Offensive rebound by P. Gasol,,44-54,,
11:40.0,P. Gasol makes 2-pt shot from 2 ft,2,46-54,,
11:22.0,,,46-54,,Shooting foul by M. Dunleavy (drawn by Z. Randolph)
11:22.0,,,46-55,1,Z. Randolph makes free throw 1 of 2
11:22.0,,,46-55,,Z. Randolph misses free throw 2 of 2
11:20.0,Defensive rebound by B. Portis,,46-55,,
11:08.0,B. Portis makes 2-pt shot from 18 ft (assist by D. Rose),2,48-55,,
10:51.0,,,48-57,2,M. Barnes makes 2-pt shot from 21 ft
10:22.0,P. Gasol misses 2-pt shot from 22 ft,,48-57,,
10:21.0,,,48-57,,Defensive rebound by Team
10:11.0,,,48-57,,Z. Randolph misses 2-pt shot from 20 ft
10:10.0,Defensive rebound by P. Gasol,,48-57,,
10:02.0,D. Rose misses 2-pt shot from 20 ft,,48-57,,
10:01.0,,,48-57,,Defensive rebound by M. Barnes
9:53.0,,,48-59,2,J. Farmar makes 2-pt shot from 20 ft
9:34.0,M. Dunleavy misses 3-pt shot from 24 ft,,48-59,,
9:33.0,,,48-59,,Defensive rebound by J. Farmar
9:20.0,,,48-59,,J. Farmar misses 3-pt shot from 23 ft
9:18.0,,,48-59,,Offensive rebound by Z. Randolph
8:59.0,,,48-59,,M. Barnes misses 2-pt shot from 3 ft
8:57.0,Defensive rebound by P. Gasol,,48-59,,
8:57.0,,,48-59,,Personal take foul by T. Allen
8:47.0,B. Portis misses 3-pt shot from 23 ft,,48-59,,
8:46.0,Offensive rebound by B. Portis,,48-59,,
8:44.0,Shooting foul by C. Andersen (drawn by B. Portis),,48-59,,
8:44.0,B. Portis makes free throw 1 of 2,1,49-59,,
8:44.0,B. Portis makes free throw 2 of 2,1,50-59,,
8:35.0,,,50-59,,Shooting foul by M. Dunleavy (drawn by C. Andersen)
8:35.0,,,50-60,1,C. Andersen makes free throw 1 of 2
8:35.0,,,50-61,1,C. Andersen makes free throw 2 of 2
8:19.0,P. Gasol misses 2-pt shot from 10 ft,,50-61,,
8:17.0,Offensive rebound by D. Rose,,50-61,,
8:14.0,D. Rose makes 2-pt shot from 15 ft,2,52-61,,
7:53.0,,,52-64,3,M. Barnes makes 3-pt shot from 23 ft (assist by J. Farmar)
7:28.0,Turnover by P. Gasol (lost ball),,52-64,,
7:16.0,,,52-66,2,Z. Randolph makes 2-pt shot from 20 ft (assist by J. Farmar)
7:15.0,Chicago full timeout,,52-66,,
6:58.0,P. Gasol makes 2-pt shot from 5 ft,2,54-66,,
6:46.0,,,54-66,,Turnover by M. Barnes (lost ball; steal by M. Dunleavy)
6:39.0,Turnover by D. Rose (lost ball; steal by Z. Randolph),,54-66,,
6:15.0,,,54-66,,M. Barnes misses 3-pt shot from 24 ft
6:13.0,,,54-66,,Offensive rebound by J. Farmar
6:07.0,Personal foul by M. Dunleavy,,54-66,,
6:07.0,,,54-66,,V. Carter enters the game for M. Barnes
6:07.0,D. McDermott enters the game for M. Dunleavy,,54-66,,
5:52.0,,,54-69,3,V. Carter makes 3-pt shot from 28 ft (assist by Z. Randolph)
5:36.0,D. McDermott misses 3-pt shot from 28 ft,,54-69,,
5:36.0,,,54-69,,Defensive rebound by T. Allen
5:28.0,,,54-69,,J. Farmar misses 3-pt shot from 24 ft
5:25.0,Defensive rebound by P. Gasol,,54-69,,
5:20.0,B. Portis makes 2-pt shot from 2 ft (assist by D. McDermott),2,56-69,,
4:58.0,,,56-71,2,V. Carter makes 2-pt shot from 3 ft (assist by Z. Randolph)
4:38.0,D. Rose misses 2-pt shot from 16 ft,,56-71,,
4:37.0,,,56-71,,Defensive rebound by C. Andersen
4:37.0,,,56-71,,Memphis full timeout
4:37.0,J. Holiday enters the game for B. Portis,,56-71,,
4:37.0,N. Mirotic enters the game for J. Butler,,56-71,,
4:37.0,A. Brooks enters the game for D. Rose,,56-71,,
4:37.0,,,56-71,,X. Munford enters the game for Z. Randolph
4:37.0,,,56-71,,J. Green enters the game for J. Farmar
4:21.0,,,56-71,,Turnover by T. Allen (traveling)
4:10.0,Turnover by J. Holiday (lost ball; steal by T. Allen),,56-71,,
3:59.0,,,56-74,3,X. Munford makes 3-pt shot from 23 ft (assist by V. Carter)
3:44.0,A. Brooks misses 3-pt shot from 24 ft,,56-74,,
3:44.0,,,56-74,,Defensive rebound by J. Green
3:35.0,,,56-74,,Turnover by V. Carter (lost ball; steal by D. McDermott)
3:29.0,J. Holiday makes 2-pt shot at rim (assist by A. Brooks),2,58-74,,
3:04.0,,,58-76,2,J. Green makes 2-pt shot from 5 ft (assist by T. Allen)
2:47.0,,,58-76,,Personal foul by X. Munford
2:47.0,,,58-76,,J. Martin enters the game for T. Allen
2:47.0,,,58-76,,M. Barnes enters the game for C. Andersen
2:32.0,A. Brooks makes 3-pt shot from 24 ft,3,61-76,,
2:15.0,,,61-79,3,X. Munford makes 3-pt shot from 23 ft (assist by M. Barnes)
2:02.0,Turnover by A. Brooks (bad pass),,61-79,,
1:47.0,,,61-81,2,V. Carter makes 2-pt shot from 10 ft
1:32.0,Shooting foul by J. Martin (drawn by P. Gasol),,61-81,,
1:32.0,P. Gasol misses free throw 1 of 2,,61-81,,
1:32.0,Offensive rebound by Team,,61-81,,
1:32.0,P. Gasol misses free throw 2 of 2,,61-81,,
1:31.0,,,61-81,,Defensive rebound by M. Barnes
1:17.0,,,61-81,,V. Carter misses 2-pt shot from 2 ft (block by P. Gasol)
1:15.0,Defensive rebound by P. Gasol,,61-81,,
1:12.0,Turnover by D. McDermott (lost ball; steal by J. Green),,61-81,,
1:01.0,,,61-81,,J. Green misses 2-pt shot from 15 ft
1:00.0,,,61-81,,Offensive rebound by J. Green
0:48.0,,,61-83,2,V. Carter makes 2-pt shot from 17 ft
0:39.0,A. Brooks misses 3-pt shot from 24 ft,,61-83,,
0:37.0,,,61-83,,Defensive rebound by V. Carter
0:28.0,,,61-83,,Offensive foul by J. Green
0:28.0,,,61-83,,Turnover by J. Green (offensive foul)
0:28.0,C. Felicio enters the game for P. Gasol,,61-83,,
0:14.0,J. Holiday makes 3-pt shot from 23 ft (assist by A. Brooks),3,64-83,,
0:14.0,Shooting foul by J. Martin (drawn by J. Holiday),,64-83,,
0:14.0,J. Holiday makes free throw 1 of 1,1,65-83,,
0:03.0,,,65-83,,V. Carter misses 2-pt shot from 19 ft
0:01.0,Defensive rebound by C. Felicio,,65-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,65-83,,J. Green misses 2-pt shot from 6 ft (block by N. Mirotic)
11:37.0,Defensive rebound by N. Mirotic,,65-83,,
11:15.0,Turnover by A. Brooks (lost ball; steal by J. Green),,65-83,,
11:03.0,,,65-85,2,V. Carter makes 2-pt shot from 12 ft
10:48.0,N. Mirotic makes 3-pt shot from 23 ft (assist by A. Brooks),3,68-85,,
10:28.0,,,68-87,2,J. Martin makes 2-pt shot from 6 ft
10:12.0,Offensive charge foul by N. Mirotic,,68-87,,
10:12.0,Turnover by N. Mirotic (offensive foul),,68-87,,
10:05.0,,,68-87,,Shooting foul by N. Mirotic (drawn by J. Green)
10:05.0,,,68-88,1,J. Green makes free throw 1 of 2
10:05.0,D. Rose enters the game for A. Brooks,,68-88,,
10:05.0,,,68-89,1,J. Green makes free throw 2 of 2
9:48.0,D. McDermott misses 2-pt shot from 14 ft,,68-89,,
9:45.0,,,68-89,,Defensive rebound by X. Munford
9:37.0,Personal foul by D. McDermott,,68-89,,
9:30.0,,,68-89,,J. Green misses 2-pt shot from 19 ft
9:29.0,Defensive rebound by D. McDermott,,68-89,,
9:26.0,Shooting foul by V. Carter (drawn by N. Mirotic),,68-89,,
9:26.0,N. Mirotic makes free throw 1 of 2,1,69-89,,
9:26.0,,,69-89,,Z. Randolph enters the game for J. Martin
9:26.0,N. Mirotic makes free throw 2 of 2,1,70-89,,
9:19.0,Personal foul by C. Felicio,,70-89,,
9:06.0,,,70-89,,Z. Randolph misses 2-pt shot from 19 ft
9:03.0,Defensive rebound by N. Mirotic,,70-89,,
9:01.0,Turnover by J. Holiday (lost ball; steal by V. Carter),,70-89,,
8:55.0,,,70-89,,X. Munford misses 2-pt shot from 2 ft (block by J. Holiday)
8:55.0,,,70-89,,Offensive rebound by Team
8:55.0,J. Butler enters the game for J. Holiday,,70-89,,
8:45.0,,,70-89,,Shooting foul by N. Mirotic (drawn by J. Green)
8:45.0,,,70-90,1,J. Green makes free throw 1 of 2
8:45.0,,,70-90,,T. Allen enters the game for V. Carter
8:45.0,,,70-91,1,J. Green makes free throw 2 of 2
8:29.0,D. McDermott makes 3-pt shot from 22 ft (assist by J. Butler),3,73-91,,
8:07.0,,,73-91,,T. Allen misses 2-pt shot from 3 ft
8:04.0,Defensive rebound by C. Felicio,,73-91,,
7:53.0,J. Butler misses 3-pt shot from 25 ft,,73-91,,
7:52.0,,,73-91,,Defensive rebound by X. Munford
7:41.0,,,73-91,,J. Green misses 2-pt shot from 19 ft
7:40.0,Defensive rebound by C. Felicio,,73-91,,
7:32.0,D. McDermott makes 2-pt shot from 1 ft (assist by N. Mirotic),2,75-91,,
7:14.0,,,75-91,,Turnover by Z. Randolph (bad pass)
7:14.0,,,75-91,,J. Farmar enters the game for X. Munford
7:06.0,Shooting foul by T. Allen (drawn by C. Felicio),,75-91,,
7:06.0,C. Felicio misses free throw 1 of 2,,75-91,,
7:06.0,Offensive rebound by Team,,75-91,,
7:06.0,C. Felicio misses free throw 2 of 2,,75-91,,
7:05.0,,,75-91,,Defensive rebound by M. Barnes
6:52.0,,,75-91,,T. Allen misses 2-pt shot from 4 ft
6:50.0,Defensive rebound by N. Mirotic,,75-91,,
6:42.0,D. Rose makes 2-pt shot from 8 ft,2,77-91,,
6:42.0,,,77-91,,Memphis full timeout
6:21.0,,,77-91,,Shooting foul by D. McDermott (drawn by T. Allen)
6:21.0,,,77-91,,T. Allen misses free throw 1 of 2
6:21.0,,,77-91,,Offensive rebound by Team
6:21.0,,,77-91,,T. Allen misses free throw 2 of 2
6:21.0,Defensive rebound by Team,,77-91,,
6:06.0,N. Mirotic makes 3-pt shot from 26 ft (assist by D. Rose),3,80-91,,
5:50.0,,,80-91,,Shooting foul by C. Felicio (drawn by Z. Randolph)
5:50.0,,,80-92,1,Z. Randolph makes free throw 1 of 2
5:50.0,,,80-93,1,Z. Randolph makes free throw 2 of 2
5:41.0,Shooting foul by Z. Randolph (drawn by C. Felicio),,80-93,,
5:41.0,C. Felicio makes free throw 1 of 2,1,81-93,,
5:41.0,,,81-93,,V. Carter enters the game for J. Green
5:41.0,P. Gasol enters the game for D. McDermott,,81-93,,
5:41.0,C. Felicio makes free throw 2 of 2,1,82-93,,
5:31.0,,,82-93,,Turnover by T. Allen (lost ball; steal by N. Mirotic)
5:22.0,D. Rose misses 3-pt shot from 24 ft,,82-93,,
5:21.0,,,82-93,,Defensive rebound by Team
5:21.0,Loose ball foul by C. Felicio,,82-93,,
5:21.0,,,82-94,1,M. Barnes makes free throw 1 of 2
5:21.0,,,82-94,,C. Andersen enters the game for T. Allen
5:21.0,,,82-95,1,M. Barnes makes free throw 2 of 2
5:11.0,N. Mirotic misses 3-pt shot from 24 ft,,82-95,,
5:10.0,Offensive rebound by J. Butler,,82-95,,
5:08.0,Turnover by P. Gasol (lost ball; steal by C. Andersen),,82-95,,
4:44.0,,,82-95,,J. Farmar misses 2-pt shot from 10 ft
4:44.0,,,82-95,,Offensive rebound by Z. Randolph
4:44.0,,,82-97,2,Z. Randolph makes 2-pt shot from 2 ft
4:44.0,Chicago full timeout,,82-97,,
4:44.0,D. McDermott enters the game for C. Felicio,,82-97,,
4:29.0,J. Butler makes 2-pt shot from 2 ft (assist by D. Rose),2,84-97,,
4:04.0,,,84-99,2,C. Andersen makes 2-pt shot from 1 ft (assist by Z. Randolph)
3:50.0,Shooting foul by M. Barnes (drawn by J. Butler),,84-99,,
3:50.0,J. Butler misses free throw 1 of 2,,84-99,,
3:50.0,Offensive rebound by Team,,84-99,,
3:50.0,J. Butler makes free throw 2 of 2,1,85-99,,
3:33.0,,,85-101,2,Z. Randolph makes 2-pt shot from 5 ft
3:20.0,Turnover by P. Gasol (lost ball; steal by J. Farmar),,85-101,,
2:58.0,,,85-101,,V. Carter misses 3-pt shot from 22 ft
2:57.0,Defensive rebound by P. Gasol,,85-101,,
2:46.0,D. Rose misses 2-pt shot from 14 ft,,85-101,,
2:44.0,,,85-101,,Defensive rebound by M. Barnes
2:24.0,,,85-101,,Z. Randolph misses 3-pt shot from 24 ft
2:24.0,Defensive rebound by D. Rose,,85-101,,
