time,Orlando,pts.away,score,pts.home,New York
2:07.0,Shooting foul by K. O'Quinn (drawn by J. Smith),,19-25,,
2:07.0,J. Smith misses free throw 1 of 2,,19-25,,
2:07.0,Offensive rebound by Team,,19-25,,
2:07.0,J. Smith makes free throw 2 of 2,1,20-25,,
1:50.0,,,20-27,2,C. Anthony makes 2-pt shot at rim
1:31.0,J. Smith misses 2-pt shot from 18 ft,,20-27,,
1:31.0,Offensive rebound by M. Hezonja,,20-27,,
1:21.0,C. Watson misses 2-pt shot from 16 ft,,20-27,,
1:20.0,Offensive rebound by J. Smith,,20-27,,
1:18.0,C. Watson misses 3-pt shot from 26 ft,,20-27,,
1:14.0,Offensive rebound by A. Gordon,,20-27,,
1:06.0,B. Jennings misses 3-pt shot from 25 ft,,20-27,,
1:05.0,,,20-27,,Defensive rebound by C. Anthony
0:56.0,,,20-27,,C. Anthony misses 3-pt shot from 25 ft
0:55.0,Defensive rebound by J. Smith,,20-27,,
0:49.0,B. Jennings misses 2-pt shot from 2 ft,,20-27,,
0:49.0,,,20-27,,Defensive rebound by J. Grant
0:33.0,,,20-30,3,J. Grant makes 3-pt shot from 25 ft (assist by L. Galloway)
0:22.0,Turnover by B. Jennings (bad pass; steal by L. Thomas),,20-30,,
0:17.0,,,20-32,2,L. Galloway makes 2-pt shot from 1 ft (assist by J. Grant)
0:05.0,,,20-32,,Personal foul by L. Galloway (drawn by B. Jennings)
0:05.0,E. Ilyasova enters the game for A. Gordon,,20-32,,
0:05.0,,,20-32,,D. Williams enters the game for C. Anthony
0:00.0,B. Jennings makes 3-pt shot from 26 ft,3,23-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,M. Hezonja makes 2-pt shot from 23 ft (assist by J. Smith),2,25-32,,
11:25.0,,,25-32,,K. Porzingis misses 2-pt shot from 20 ft
11:24.0,Defensive rebound by E. Ilyasova,,25-32,,
11:15.0,J. Smith misses 2-pt shot from 21 ft,,25-32,,
11:14.0,,,25-32,,Defensive rebound by L. Thomas
11:00.0,,,25-32,,L. Thomas misses 2-pt shot from 18 ft
10:59.0,Defensive rebound by M. Hezonja,,25-32,,
10:39.0,Turnover by M. Hezonja (bad pass; steal by J. Grant),,25-32,,
10:35.0,,,25-32,,Shooting foul by C. Watson (drawn by D. Williams)
10:35.0,,,25-32,,D. Williams misses free throw 1 of 2
10:35.0,,,25-32,,Offensive rebound by Team
10:35.0,,,25-33,1,D. Williams makes free throw 2 of 2
10:10.0,J. Smith makes 2-pt shot from 14 ft (assist by E. Ilyasova),2,27-33,,
9:54.0,,,27-35,2,L. Thomas makes 2-pt shot from 3 ft (assist by L. Galloway)
9:54.0,,,27-35,,Shooting foul by E. Ilyasova (drawn by L. Thomas)
9:54.0,,,27-36,1,L. Thomas makes free throw 1 of 1
9:40.0,J. Smith misses 2-pt shot from 19 ft,,27-36,,
9:39.0,,,27-36,,Defensive rebound by L. Galloway
9:32.0,,,27-36,,Shooting foul by M. Hezonja (drawn by D. Williams)
9:32.0,,,27-37,1,D. Williams makes free throw 1 of 2
9:32.0,,,27-38,1,D. Williams makes free throw 2 of 2
9:13.0,M. Hezonja makes 2-pt shot from 19 ft,2,29-38,,
8:55.0,,,29-38,,L. Galloway misses 2-pt shot from 17 ft
8:54.0,,,29-38,,Offensive rebound by K. Porzingis
8:54.0,,,29-40,2,K. Porzingis makes 2-pt shot from 2 ft
8:41.0,B. Jennings misses 3-pt shot from 26 ft,,29-40,,
8:41.0,,,29-40,,Defensive rebound by J. Grant
8:33.0,,,29-40,,Shooting foul by M. Hezonja (drawn by K. Porzingis)
8:33.0,Official timeout,,29-40,,
8:33.0,N. Vucevic enters the game for J. Smith,,29-40,,
8:33.0,,,29-41,1,K. Porzingis makes free throw 1 of 2
8:33.0,,,29-42,1,K. Porzingis makes free throw 2 of 2
8:20.0,Turnover by B. Jennings (bad pass; steal by K. Porzingis),,29-42,,
7:59.0,,,29-42,,D. Williams misses 3-pt shot from 25 ft
7:58.0,Defensive rebound by C. Watson,,29-42,,
7:45.0,M. Hezonja misses 3-pt shot from 26 ft,,29-42,,
7:44.0,,,29-42,,Defensive rebound by L. Thomas
7:27.0,,,29-42,,K. Porzingis misses 2-pt shot from 12 ft
7:26.0,,,29-42,,Offensive rebound by L. Thomas
7:15.0,,,29-42,,Shooting foul by E. Ilyasova (drawn by L. Thomas)
7:15.0,,,29-43,1,L. Thomas makes free throw 1 of 2
7:15.0,V. Oladipo enters the game for B. Jennings,,29-43,,
7:15.0,A. Gordon enters the game for E. Ilyasova,,29-43,,
7:15.0,,,29-43,,A. Afflalo enters the game for L. Galloway
7:15.0,,,29-44,1,L. Thomas makes free throw 2 of 2
7:03.0,N. Vucevic makes 2-pt shot from 18 ft (assist by C. Watson),2,31-44,,
6:47.0,,,31-46,2,D. Williams makes 2-pt shot from 4 ft
6:38.0,C. Watson misses 3-pt shot from 25 ft,,31-46,,
6:37.0,,,31-46,,Defensive rebound by A. Afflalo
6:27.0,,,31-48,2,D. Williams makes 2-pt shot from 2 ft (assist by K. Porzingis)
6:17.0,Turnover by C. Watson (lost ball),,31-48,,
6:17.0,,,31-48,,J. Calderon enters the game for J. Grant
6:17.0,,,31-48,,C. Anthony enters the game for L. Thomas
6:17.0,E. Fournier enters the game for C. Watson,,31-48,,
6:17.0,E. Payton enters the game for M. Hezonja,,31-48,,
6:03.0,,,31-48,,R. Lopez enters the game for K. Porzingis
6:00.0,,,31-50,2,A. Afflalo makes 2-pt shot from 14 ft (assist by C. Anthony)
5:49.0,N. Vucevic makes 2-pt shot from 20 ft (assist by E. Payton),2,33-50,,
5:37.0,,,33-50,,Shooting foul by E. Fournier (drawn by C. Anthony)
5:37.0,,,33-50,,New York full timeout
5:37.0,,,33-50,,C. Anthony misses free throw 1 of 2
5:37.0,,,33-50,,Offensive rebound by Team
5:37.0,,,33-51,1,C. Anthony makes free throw 2 of 2
5:18.0,N. Vucevic makes 2-pt shot from 1 ft,2,35-51,,
5:13.0,,,35-51,,Shooting foul by E. Fournier (drawn by D. Williams)
5:13.0,,,35-52,1,D. Williams makes free throw 1 of 2
5:13.0,M. Hezonja enters the game for E. Fournier,,35-52,,
5:13.0,,,35-53,1,D. Williams makes free throw 2 of 2
4:56.0,M. Hezonja misses 3-pt shot from 23 ft,,35-53,,
4:56.0,Offensive rebound by E. Payton,,35-53,,
4:46.0,Turnover by N. Vucevic (bad pass; steal by C. Anthony),,35-53,,
4:37.0,,,35-53,,A. Afflalo misses 2-pt shot at rim
4:36.0,,,35-53,,Offensive rebound by C. Anthony
4:36.0,,,35-55,2,C. Anthony makes 2-pt shot at rim
4:28.0,N. Vucevic makes 2-pt shot from 21 ft (assist by E. Payton),2,37-55,,
4:05.0,,,37-57,2,R. Lopez makes 2-pt shot from 7 ft (assist by A. Afflalo)
3:52.0,Shooting foul by R. Lopez (drawn by N. Vucevic),,37-57,,
3:52.0,N. Vucevic makes free throw 1 of 2,1,38-57,,
3:52.0,N. Vucevic makes free throw 2 of 2,1,39-57,,
3:29.0,,,39-57,,C. Anthony misses 2-pt shot from 19 ft
3:28.0,Defensive rebound by V. Oladipo,,39-57,,
3:22.0,V. Oladipo misses 2-pt shot from 16 ft,,39-57,,
3:21.0,,,39-57,,Defensive rebound by R. Lopez
3:09.0,,,39-59,2,A. Afflalo makes 2-pt shot from 19 ft (assist by C. Anthony)
3:01.0,Orlando full timeout,,39-59,,
2:46.0,N. Vucevic misses 2-pt shot from 12 ft,,39-59,,
2:46.0,,,39-59,,Defensive rebound by A. Afflalo
2:35.0,,,39-59,,C. Anthony misses 3-pt shot from 24 ft
2:34.0,Defensive rebound by N. Vucevic,,39-59,,
2:26.0,,,39-59,,Personal foul by J. Calderon (drawn by E. Payton)
2:18.0,M. Hezonja misses 2-pt shot from 19 ft,,39-59,,
2:17.0,,,39-59,,Defensive rebound by J. Calderon
2:10.0,,,39-59,,Turnover by A. Afflalo (bad pass)
2:00.0,,,39-59,,Def 3 sec tech foul by R. Lopez
2:00.0,V. Oladipo makes technical free throw,1,40-59,,
2:00.0,,,40-59,,L. Thomas enters the game for D. Williams
1:50.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,42-59,,
1:36.0,,,42-59,,J. Calderon misses 3-pt shot from 26 ft
1:35.0,Defensive rebound by M. Hezonja,,42-59,,
1:17.0,E. Payton misses 2-pt shot from 21 ft,,42-59,,
1:17.0,,,42-59,,Defensive rebound by A. Afflalo
1:08.0,,,42-59,,C. Anthony misses 2-pt shot from 18 ft
1:07.0,Defensive rebound by M. Hezonja,,42-59,,
0:59.0,Turnover by V. Oladipo (bad pass),,42-59,,
0:44.0,,,42-61,2,C. Anthony makes 2-pt shot at rim
0:38.0,V. Oladipo makes 2-pt shot from 7 ft,2,44-61,,
0:26.0,,,44-61,,Shooting foul by A. Gordon (drawn by C. Anthony)
0:26.0,,,44-62,1,C. Anthony makes free throw 1 of 2
0:26.0,,,44-62,,C. Anthony misses free throw 2 of 2
0:24.0,Defensive rebound by M. Hezonja,,44-62,,
0:08.0,,,44-62,,Personal foul by J. Calderon (drawn by E. Payton)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,N. Vucevic makes 2-pt shot from 8 ft,2,46-62,,
11:18.0,,,46-64,2,C. Anthony makes 2-pt shot from 16 ft
11:07.0,E. Fournier misses 2-pt shot from 17 ft,,46-64,,
11:06.0,Offensive rebound by A. Gordon,,46-64,,
11:05.0,A. Gordon misses 2-pt shot from 1 ft,,46-64,,
11:03.0,,,46-64,,Defensive rebound by C. Anthony
10:54.0,,,46-64,,K. Porzingis misses 2-pt shot from 11 ft
10:52.0,,,46-64,,Offensive rebound by R. Lopez
10:52.0,,,46-66,2,R. Lopez makes 2-pt shot from 1 ft
10:37.0,E. Payton misses 3-pt shot from 25 ft,,46-66,,
10:37.0,,,46-66,,Defensive rebound by A. Afflalo
10:31.0,,,46-66,,Shooting foul by N. Vucevic (drawn by R. Lopez)
10:31.0,,,46-67,1,R. Lopez makes free throw 1 of 2
10:31.0,,,46-68,1,R. Lopez makes free throw 2 of 2
10:16.0,V. Oladipo misses 2-pt shot from 2 ft (block by K. Porzingis),,46-68,,
10:15.0,,,46-68,,Defensive rebound by K. Porzingis
10:09.0,,,46-68,,J. Calderon misses 2-pt shot from 20 ft
10:08.0,Defensive rebound by V. Oladipo,,46-68,,
9:53.0,N. Vucevic misses 2-pt shot from 20 ft,,46-68,,
9:52.0,,,46-68,,Defensive rebound by Team
9:31.0,,,46-70,2,R. Lopez makes 2-pt shot from 9 ft (assist by C. Anthony)
9:06.0,A. Gordon misses 3-pt shot from 26 ft,,46-70,,
9:05.0,,,46-70,,Defensive rebound by K. Porzingis
8:55.0,,,46-70,,K. Porzingis misses 3-pt shot from 26 ft
8:54.0,,,46-70,,Offensive rebound by Team
8:45.0,,,46-70,,K. Porzingis misses 2-pt shot from 13 ft
8:44.0,Defensive rebound by N. Vucevic,,46-70,,
8:44.0,,,46-70,,Personal foul by R. Lopez (drawn by N. Vucevic)
8:44.0,,,46-70,,Technical foul by R. Lopez (drawn by N. Vucevic)
8:44.0,V. Oladipo makes technical free throw,1,47-70,,
8:22.0,E. Fournier misses 2-pt shot from 6 ft (block by R. Lopez),,47-70,,
8:21.0,Offensive rebound by E. Fournier,,47-70,,
8:19.0,E. Fournier misses 2-pt shot from 11 ft,,47-70,,
8:17.0,Offensive rebound by V. Oladipo,,47-70,,
8:03.0,A. Gordon misses 3-pt shot from 24 ft,,47-70,,
8:02.0,,,47-70,,Defensive rebound by K. Porzingis
7:55.0,,,47-70,,C. Anthony misses 2-pt shot from 21 ft
7:54.0,Defensive rebound by A. Gordon,,47-70,,
7:46.0,A. Gordon misses 2-pt shot from 1 ft (block by K. Porzingis),,47-70,,
7:45.0,Offensive rebound by E. Payton,,47-70,,
7:38.0,V. Oladipo makes 3-pt shot from 25 ft (assist by E. Payton),3,50-70,,
7:24.0,,,50-70,,Offensive foul by C. Anthony
7:24.0,,,50-70,,Turnover by C. Anthony (offensive foul)
7:12.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,52-70,,
7:02.0,,,52-70,,R. Lopez misses 2-pt shot from 9 ft
7:01.0,Defensive rebound by N. Vucevic,,52-70,,
6:52.0,V. Oladipo misses 3-pt shot from 24 ft,,52-70,,
6:51.0,,,52-70,,Defensive rebound by A. Afflalo
6:43.0,,,52-72,2,R. Lopez makes 2-pt shot from 2 ft (assist by A. Afflalo)
6:33.0,E. Fournier makes 3-pt shot from 25 ft (assist by N. Vucevic),3,55-72,,
6:21.0,,,55-72,,Turnover by J. Calderon (bad pass; steal by A. Gordon)
6:16.0,V. Oladipo makes 2-pt shot from 1 ft (assist by A. Gordon),2,57-72,,
6:16.0,,,57-72,,New York full timeout
6:16.0,,,57-72,,L. Thomas enters the game for K. Porzingis
5:59.0,,,57-72,,A. Afflalo misses 2-pt shot from 16 ft (block by V. Oladipo)
5:57.0,Defensive rebound by Team,,57-72,,
5:57.0,,,57-72,,Violation by A. Afflalo (kicked ball)
5:47.0,Turnover by E. Fournier (bad pass; steal by R. Lopez),,57-72,,
5:44.0,Personal foul by E. Payton (drawn by L. Thomas),,57-72,,
5:44.0,,,57-72,,L. Galloway enters the game for A. Afflalo
5:37.0,,,57-74,2,J. Calderon makes 2-pt shot from 16 ft
5:25.0,V. Oladipo misses 2-pt shot from 2 ft,,57-74,,
5:23.0,Offensive rebound by N. Vucevic,,57-74,,
5:23.0,N. Vucevic misses 2-pt shot from 2 ft,,57-74,,
5:21.0,,,57-74,,Defensive rebound by C. Anthony
5:15.0,,,57-74,,Turnover by C. Anthony (lost ball; steal by N. Vucevic)
5:03.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,59-74,,
4:48.0,,,59-74,,Shooting foul by E. Fournier (drawn by L. Thomas)
4:48.0,,,59-75,1,L. Thomas makes free throw 1 of 2
4:48.0,M. Hezonja enters the game for E. Fournier,,59-75,,
4:48.0,,,59-75,,L. Thomas misses free throw 2 of 2
4:46.0,Defensive rebound by A. Gordon,,59-75,,
4:38.0,,,59-75,,Personal foul by L. Thomas (drawn by M. Hezonja)
4:22.0,N. Vucevic misses 2-pt shot from 21 ft,,59-75,,
4:22.0,Offensive rebound by A. Gordon,,59-75,,
4:20.0,A. Gordon misses 2-pt shot from 1 ft,,59-75,,
4:18.0,,,59-75,,Defensive rebound by C. Anthony
4:10.0,,,59-75,,Turnover by C. Anthony (bad pass; steal by M. Hezonja)
4:06.0,Shooting foul by L. Galloway (drawn by A. Gordon),,59-75,,
4:06.0,,,59-75,,Flagrant foul type 1 by J. Calderon (drawn by A. Gordon)
4:06.0,A. Gordon makes free throw 1 of 2,1,60-75,,
4:06.0,A. Gordon makes free throw 2 of 2,1,61-75,,
4:06.0,A. Gordon misses flagrant free throw 1 of 2,,61-75,,
4:06.0,Offensive rebound by Team,,61-75,,
4:06.0,A. Gordon makes flagrant free throw 2 of 2,1,62-75,,
3:55.0,M. Hezonja makes 2-pt shot from 4 ft (assist by A. Gordon),2,64-75,,
3:35.0,,,64-77,2,C. Anthony makes 2-pt shot from 11 ft
3:14.0,M. Hezonja misses 3-pt shot from 25 ft,,64-77,,
3:12.0,,,64-77,,Defensive rebound by J. Calderon
2:59.0,Personal foul by N. Vucevic (drawn by R. Lopez),,64-77,,
2:59.0,Orlando full timeout,,64-77,,
2:59.0,C. Watson enters the game for E. Payton,,64-77,,
2:59.0,,,64-77,,J. Grant enters the game for J. Calderon
2:43.0,,,64-79,2,J. Grant makes 2-pt shot from 22 ft
2:26.0,N. Vucevic misses 2-pt shot from 12 ft,,64-79,,
2:26.0,,,64-79,,Defensive rebound by C. Anthony
2:09.0,,,64-79,,J. Grant misses 2-pt shot from 2 ft
2:09.0,Defensive rebound by V. Oladipo,,64-79,,
1:52.0,N. Vucevic misses 2-pt shot from 9 ft,,64-79,,
1:50.0,,,64-79,,Defensive rebound by C. Anthony
1:32.0,,,64-79,,C. Anthony misses 2-pt shot from 13 ft
1:31.0,Defensive rebound by C. Watson,,64-79,,
1:22.0,V. Oladipo makes 2-pt shot from 15 ft (assist by C. Watson),2,66-79,,
1:02.0,,,66-79,,L. Galloway misses 2-pt shot from 1 ft
1:01.0,Defensive rebound by C. Watson,,66-79,,
0:59.0,Shooting foul by J. Grant (drawn by V. Oladipo),,66-79,,
0:59.0,V. Oladipo misses free throw 1 of 2,,66-79,,
0:59.0,Offensive rebound by Team,,66-79,,
0:59.0,D. Dedmon enters the game for N. Vucevic,,66-79,,
0:59.0,,,66-79,,K. Porzingis enters the game for R. Lopez
0:59.0,V. Oladipo misses free throw 2 of 2,,66-79,,
0:58.0,,,66-79,,Defensive rebound by C. Anthony
0:36.0,,,66-79,,K. Porzingis misses 2-pt shot from 14 ft
0:35.0,,,66-79,,Offensive rebound by K. Porzingis
0:30.0,Personal foul by M. Hezonja (drawn by L. Thomas),,66-79,,
0:30.0,,,66-79,,L. Thomas misses free throw 1 of 2
0:30.0,,,66-79,,Offensive rebound by Team
0:30.0,,,66-80,1,L. Thomas makes free throw 2 of 2
0:08.0,A. Gordon makes 3-pt shot from 24 ft (assist by V. Oladipo),3,69-80,,
0:00.0,,,69-82,2,K. Porzingis makes 2-pt shot at rim (assist by C. Anthony)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,69-84,2,K. Porzingis makes 2-pt shot from 15 ft (assist by J. Grant)
11:20.0,D. Dedmon makes 2-pt shot from 5 ft,2,71-84,,
10:58.0,,,71-87,3,A. Afflalo makes 3-pt shot from 24 ft (assist by J. Grant)
10:40.0,C. Watson misses 2-pt shot from 18 ft,,71-87,,
10:40.0,,,71-87,,Defensive rebound by D. Williams
10:32.0,,,71-87,,Offensive foul by D. Williams
10:32.0,,,71-87,,Turnover by D. Williams (offensive foul)
10:18.0,D. Dedmon makes 2-pt shot at rim (assist by M. Hezonja),2,73-87,,
10:09.0,,,73-87,,K. Porzingis misses 3-pt shot from 26 ft
10:08.0,Defensive rebound by M. Hezonja,,73-87,,
10:01.0,M. Hezonja misses 3-pt shot from 26 ft,,73-87,,
10:00.0,,,73-87,,Defensive rebound by A. Afflalo
9:55.0,,,73-89,2,K. Porzingis makes 2-pt shot from 1 ft (assist by A. Afflalo)
9:38.0,M. Hezonja misses 2-pt shot from 19 ft,,73-89,,
9:37.0,,,73-89,,Defensive rebound by A. Afflalo
9:30.0,,,73-91,2,K. Porzingis makes 2-pt shot from 2 ft (assist by L. Thomas)
9:30.0,Orlando full timeout,,73-91,,
9:30.0,V. Oladipo enters the game for M. Hezonja,,73-91,,
9:30.0,E. Payton enters the game for C. Watson,,73-91,,
9:17.0,Turnover by E. Payton (bad pass; steal by K. Porzingis),,73-91,,
8:56.0,,,73-93,2,K. Porzingis makes 2-pt shot from 7 ft
8:45.0,E. Ilyasova misses 3-pt shot from 26 ft,,73-93,,
8:42.0,Offensive rebound by D. Dedmon,,73-93,,
8:42.0,D. Dedmon makes 2-pt shot at rim,2,75-93,,
8:26.0,,,75-93,,Turnover by J. Grant (bad pass)
8:10.0,E. Fournier makes 3-pt shot from 25 ft (assist by E. Payton),3,78-93,,
7:57.0,,,78-93,,Shooting foul by V. Oladipo (drawn by A. Afflalo)
7:57.0,,,78-94,1,A. Afflalo makes free throw 1 of 2
7:57.0,,,78-95,1,A. Afflalo makes free throw 2 of 2
7:44.0,D. Dedmon makes 2-pt shot at rim (assist by E. Payton),2,80-95,,
7:44.0,,,80-95,,New York full timeout
7:44.0,,,80-95,,C. Anthony enters the game for L. Thomas
7:44.0,,,80-95,,J. Calderon enters the game for J. Grant
7:20.0,,,80-95,,D. Williams misses 3-pt shot from 25 ft
7:20.0,Defensive rebound by V. Oladipo,,80-95,,
7:07.0,,,80-95,,Personal foul by C. Anthony (drawn by E. Fournier)
6:54.0,E. Payton makes 2-pt shot from 2 ft,2,82-95,,
6:40.0,,,82-97,2,C. Anthony makes 2-pt shot from 10 ft
6:40.0,,,82-97,,Shooting foul by E. Fournier (drawn by C. Anthony)
6:40.0,,,82-97,,R. Lopez enters the game for K. Porzingis
6:40.0,,,82-98,1,C. Anthony makes free throw 1 of 1
6:26.0,E. Ilyasova misses 2-pt shot from 20 ft,,82-98,,
6:26.0,,,82-98,,Defensive rebound by R. Lopez
6:21.0,,,82-98,,Shooting foul by E. Payton (drawn by J. Calderon)
6:21.0,,,82-99,1,J. Calderon makes free throw 1 of 2
6:21.0,A. Gordon enters the game for E. Ilyasova,,82-99,,
6:21.0,B. Jennings enters the game for E. Payton,,82-99,,
6:21.0,,,82-100,1,J. Calderon makes free throw 2 of 2
6:10.0,V. Oladipo misses 2-pt shot from 3 ft (block by R. Lopez),,82-100,,
6:10.0,Offensive rebound by D. Dedmon,,82-100,,
6:10.0,Shooting foul by R. Lopez (drawn by D. Dedmon),,82-100,,
6:10.0,D. Dedmon makes free throw 1 of 2,1,83-100,,
6:10.0,D. Dedmon makes free throw 2 of 2,1,84-100,,
5:54.0,,,84-100,,A. Afflalo misses 3-pt shot from 23 ft
5:53.0,Defensive rebound by B. Jennings,,84-100,,
5:42.0,E. Fournier misses 3-pt shot from 26 ft,,84-100,,
5:41.0,,,84-100,,Defensive rebound by A. Afflalo
5:22.0,,,84-100,,C. Anthony misses 2-pt shot from 14 ft
5:21.0,Defensive rebound by V. Oladipo,,84-100,,
5:16.0,E. Fournier makes 2-pt shot from 1 ft (assist by V. Oladipo),2,86-100,,
5:02.0,,,86-100,,Shooting foul by E. Fournier (drawn by D. Williams)
5:02.0,M. Hezonja enters the game for E. Fournier,,86-100,,
