time,Denver,pts.away,score,pts.home,Golden State
9:46.0,Defensive rebound by E. Mudiay,,23-47,,
9:31.0,Turnover by G. Harris (lost ball; steal by L. Barbosa),,23-47,,
9:26.0,Personal foul by M. Miller (drawn by A. Iguodala),,23-47,,
9:23.0,,,23-47,,Turnover by L. Barbosa (bad pass; steal by N. Jokic)
9:09.0,Turnover by J. Nelson (bad pass),,23-47,,
8:56.0,,,23-47,,S. Livingston misses 2-pt shot from 19 ft
8:55.0,Defensive rebound by M. Miller,,23-47,,
8:49.0,E. Mudiay misses 2-pt shot from 20 ft,,23-47,,
8:47.0,,,23-47,,Defensive rebound by H. Barnes
8:35.0,,,23-47,,J. McAdoo misses 2-pt shot from 4 ft
8:32.0,,,23-47,,Offensive rebound by J. McAdoo
8:32.0,,,23-47,,J. McAdoo misses 2-pt shot from 2 ft (block by N. Jokic)
8:30.0,,,23-47,,Offensive rebound by S. Livingston
8:25.0,,,23-49,2,H. Barnes makes 2-pt shot from 19 ft (assist by A. Iguodala)
8:18.0,,,23-49,,Personal foul by A. Iguodala (drawn by E. Mudiay)
8:18.0,K. Faried enters the game for J. Nelson,,23-49,,
8:18.0,D. Gallinari enters the game for M. Miller,,23-49,,
8:18.0,D. Arthur enters the game for N. Jokic,,23-49,,
8:18.0,,,23-49,,K. Thompson enters the game for A. Iguodala
8:11.0,Turnover by K. Faried (lost ball),,23-49,,
8:04.0,,,23-49,,Turnover by S. Livingston (bad pass; steal by E. Mudiay)
8:02.0,,,23-49,,Personal foul by L. Barbosa (drawn by G. Harris)
8:02.0,,,23-49,,D. Green enters the game for H. Barnes
7:45.0,E. Mudiay misses 3-pt shot from 25 ft,,23-49,,
7:44.0,Offensive rebound by K. Faried,,23-49,,
7:43.0,Shooting foul by S. Livingston (drawn by D. Arthur),,23-49,,
7:43.0,D. Arthur makes free throw 1 of 2,1,24-49,,
7:43.0,,,24-49,,F. Ezeli enters the game for J. McAdoo
7:43.0,D. Arthur makes free throw 2 of 2,1,25-49,,
7:30.0,,,25-49,,K. Thompson misses 2-pt shot from 2 ft
7:29.0,Defensive rebound by G. Harris,,25-49,,
7:20.0,D. Arthur misses 2-pt shot from 8 ft,,25-49,,
7:19.0,,,25-49,,Defensive rebound by S. Livingston
7:09.0,,,25-52,3,K. Thompson makes 3-pt shot from 24 ft (assist by S. Livingston)
6:53.0,D. Gallinari misses 3-pt shot from 26 ft,,25-52,,
6:53.0,,,25-52,,Defensive rebound by F. Ezeli
6:44.0,,,25-52,,L. Barbosa misses 3-pt shot from 23 ft
6:42.0,Defensive rebound by G. Harris,,25-52,,
6:35.0,K. Faried misses 2-pt shot from 7 ft,,25-52,,
6:35.0,Offensive rebound by D. Arthur,,25-52,,
6:34.0,D. Arthur misses 2-pt shot at rim (block by F. Ezeli),,25-52,,
6:32.0,,,25-52,,Defensive rebound by K. Thompson
6:24.0,,,25-52,,L. Barbosa misses 3-pt shot from 24 ft
6:23.0,,,25-52,,Offensive rebound by L. Barbosa
6:11.0,,,25-55,3,D. Green makes 3-pt shot from 25 ft (assist by L. Barbosa)
5:58.0,E. Mudiay makes 2-pt shot from 14 ft,2,27-55,,
5:54.0,,,27-55,,Golden State full timeout
5:54.0,W. Barton enters the game for D. Arthur,,27-55,,
5:54.0,,,27-55,,S. Curry enters the game for S. Livingston
5:54.0,,,27-55,,I. Clark enters the game for L. Barbosa
5:54.0,,,27-55,,Golden State full timeout
5:49.0,,,27-57,2,F. Ezeli makes 2-pt shot at rim (assist by S. Curry)
5:37.0,E. Mudiay misses 2-pt shot from 4 ft (block by F. Ezeli),,27-57,,
5:36.0,,,27-57,,Defensive rebound by D. Green
5:30.0,,,27-59,2,F. Ezeli makes 2-pt shot at rim (assist by D. Green)
5:17.0,Shooting foul by F. Ezeli (drawn by D. Gallinari),,27-59,,
5:17.0,D. Gallinari makes free throw 1 of 2,1,28-59,,
5:17.0,,,28-59,,J. Thompson enters the game for F. Ezeli
5:17.0,D. Gallinari makes free throw 2 of 2,1,29-59,,
4:59.0,,,29-59,,D. Green misses 2-pt shot from 7 ft
4:59.0,Defensive rebound by D. Gallinari,,29-59,,
4:46.0,G. Harris misses 2-pt shot from 1 ft,,29-59,,
4:45.0,Offensive rebound by K. Faried,,29-59,,
4:45.0,K. Faried makes 2-pt shot at rim,2,31-59,,
4:27.0,,,31-59,,I. Clark misses 2-pt shot from 20 ft (block by E. Mudiay)
4:26.0,Defensive rebound by D. Gallinari,,31-59,,
4:20.0,E. Mudiay misses 2-pt shot from 3 ft,,31-59,,
4:20.0,,,31-59,,Defensive rebound by D. Green
4:20.0,Personal foul by K. Faried (drawn by D. Green),,31-59,,
4:04.0,,,31-61,2,K. Thompson makes 2-pt shot at rim (assist by S. Curry)
3:46.0,E. Mudiay makes 2-pt shot from 10 ft (assist by D. Gallinari),2,33-61,,
3:35.0,,,33-61,,I. Clark misses 3-pt shot from 23 ft
3:34.0,Defensive rebound by K. Faried,,33-61,,
3:20.0,E. Mudiay misses 3-pt shot from 25 ft,,33-61,,
3:20.0,,,33-61,,Defensive rebound by K. Thompson
3:13.0,,,33-63,2,S. Curry makes 2-pt shot from 2 ft (assist by K. Thompson)
3:01.0,W. Barton misses 2-pt shot from 17 ft,,33-63,,
3:00.0,,,33-63,,Defensive rebound by I. Clark
2:52.0,,,33-63,,K. Thompson misses 3-pt shot from 23 ft
2:51.0,Defensive rebound by K. Faried,,33-63,,
2:36.0,D. Gallinari misses 2-pt shot from 2 ft,,33-63,,
2:36.0,Offensive rebound by K. Faried,,33-63,,
2:31.0,K. Faried misses 2-pt shot from 2 ft,,33-63,,
2:27.0,,,33-63,,Defensive rebound by D. Green
2:23.0,,,33-65,2,J. Thompson makes 2-pt shot from 2 ft (assist by S. Curry)
2:23.0,Denver full timeout,,33-65,,
2:08.0,D. Gallinari makes 3-pt shot from 25 ft,3,36-65,,
1:52.0,,,36-65,,Turnover by J. Thompson (bad pass; steal by E. Mudiay)
1:52.0,,,36-65,,Personal foul by J. Thompson (drawn by E. Mudiay)
1:52.0,E. Mudiay makes free throw 1 of 2,1,37-65,,
1:52.0,E. Mudiay misses free throw 2 of 2,,37-65,,
1:51.0,,,37-65,,Defensive rebound by K. Thompson
1:39.0,,,37-65,,K. Thompson misses 3-pt shot from 25 ft
1:39.0,Defensive rebound by W. Barton,,37-65,,
1:33.0,,,37-65,,Personal block foul by D. Green (drawn by D. Gallinari)
1:33.0,D. Gallinari makes free throw 1 of 2,1,38-65,,
1:33.0,D. Gallinari makes free throw 2 of 2,1,39-65,,
1:16.0,,,39-65,,D. Green misses 2-pt shot from 5 ft
1:16.0,Defensive rebound by K. Faried,,39-65,,
1:15.0,Turnover by E. Mudiay (lost ball),,39-65,,
1:06.0,,,39-68,3,S. Curry makes 3-pt shot from 25 ft (assist by I. Clark)
0:59.0,K. Faried makes 2-pt shot at rim (assist by E. Mudiay),2,41-68,,
0:50.0,,,41-71,3,K. Thompson makes 3-pt shot from 23 ft (assist by I. Clark)
0:38.0,D. Gallinari makes 3-pt shot from 25 ft (assist by W. Barton),3,44-71,,
0:26.0,,,44-74,3,S. Curry makes 3-pt shot from 25 ft (assist by I. Clark)
0:05.0,E. Mudiay misses 3-pt shot from 25 ft,,44-74,,
0:05.0,Offensive rebound by Team,,44-74,,
0:02.0,K. Faried misses 2-pt shot from 8 ft,,44-74,,
0:01.0,,,44-74,,Defensive rebound by D. Green
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,G. Harris makes 3-pt shot from 23 ft (assist by E. Mudiay),3,47-74,,
11:32.0,,,47-74,,Turnover by S. Curry (bad pass)
11:19.0,E. Mudiay makes 2-pt shot from 9 ft,2,49-74,,
11:00.0,,,49-74,,D. Green misses 3-pt shot from 24 ft
10:59.0,Defensive rebound by E. Mudiay,,49-74,,
10:51.0,E. Mudiay makes 2-pt shot from 2 ft,2,51-74,,
10:43.0,,,51-74,,S. Curry misses 3-pt shot from 27 ft
10:42.0,Defensive rebound by K. Faried,,51-74,,
10:35.0,Turnover by E. Mudiay (lost ball; steal by S. Curry),,51-74,,
10:28.0,,,51-74,,Offensive foul by F. Ezeli
10:28.0,,,51-74,,Turnover by F. Ezeli (offensive foul)
10:09.0,E. Mudiay misses 2-pt shot from 16 ft,,51-74,,
10:09.0,,,51-74,,Defensive rebound by F. Ezeli
9:48.0,,,51-77,3,D. Green makes 3-pt shot from 22 ft (assist by H. Barnes)
9:29.0,D. Gallinari misses 2-pt shot from 9 ft,,51-77,,
9:29.0,Offensive rebound by Team,,51-77,,
9:29.0,,,51-77,,Loose ball foul by D. Green (drawn by K. Faried)
9:24.0,K. Faried misses 2-pt shot from 6 ft,,51-77,,
9:24.0,,,51-77,,Defensive rebound by D. Green
9:15.0,,,51-77,,K. Thompson misses 3-pt shot from 28 ft
9:15.0,Defensive rebound by Team,,51-77,,
8:55.0,Shooting foul by H. Barnes (drawn by G. Harris),,51-77,,
8:55.0,G. Harris makes free throw 1 of 2,1,52-77,,
8:55.0,G. Harris makes free throw 2 of 2,1,53-77,,
8:46.0,,,53-77,,Turnover by S. Curry (lost ball; steal by E. Mudiay)
8:40.0,K. Faried makes 2-pt shot from 6 ft (assist by E. Mudiay),2,55-77,,
8:36.0,,,55-77,,Golden State full timeout
8:25.0,,,55-79,2,D. Green makes 2-pt shot from 5 ft (assist by S. Curry)
7:59.0,D. Gallinari makes 2-pt shot from 18 ft,2,57-79,,
7:47.0,,,57-81,2,F. Ezeli makes 2-pt shot from 5 ft (assist by K. Thompson)
7:36.0,Shooting foul by D. Green (drawn by D. Gallinari),,57-81,,
7:36.0,D. Gallinari makes free throw 1 of 2,1,58-81,,
7:36.0,D. Gallinari makes free throw 2 of 2,1,59-81,,
7:24.0,,,59-83,2,F. Ezeli makes 2-pt shot at rim (assist by K. Thompson)
7:07.0,G. Harris makes 2-pt shot from 15 ft (assist by K. Faried),2,61-83,,
6:58.0,,,61-83,,Shooting foul by K. Faried (drawn by F. Ezeli)
6:58.0,,,61-84,1,F. Ezeli makes free throw 1 of 2
6:58.0,,,61-84,,F. Ezeli misses free throw 2 of 2
6:58.0,Defensive rebound by K. Faried,,61-84,,
6:35.0,E. Mudiay misses 2-pt shot from 17 ft,,61-84,,
6:34.0,,,61-84,,Defensive rebound by S. Curry
6:28.0,,,61-84,,K. Thompson misses 3-pt shot from 26 ft
6:27.0,,,61-84,,Offensive rebound by F. Ezeli
6:25.0,,,61-84,,Turnover by F. Ezeli (lost ball; steal by G. Harris)
6:19.0,G. Harris makes 2-pt shot at rim,2,63-84,,
6:03.0,,,63-84,,S. Curry misses 3-pt shot from 23 ft
6:02.0,,,63-84,,Offensive rebound by F. Ezeli
5:58.0,,,63-87,3,S. Curry makes 3-pt shot from 22 ft (assist by F. Ezeli)
5:38.0,W. Barton makes 2-pt shot from 17 ft,2,65-87,,
5:21.0,,,65-87,,D. Green misses 2-pt shot from 1 ft
5:19.0,Defensive rebound by W. Barton,,65-87,,
5:14.0,Turnover by D. Gallinari (lost ball; steal by S. Curry),,65-87,,
5:11.0,Loose ball foul by D. Gallinari (drawn by S. Curry),,65-87,,
5:11.0,,,65-87,,A. Iguodala enters the game for H. Barnes
4:57.0,,,65-87,,S. Curry misses 3-pt shot from 23 ft
4:57.0,Defensive rebound by K. Faried,,65-87,,
4:46.0,E. Mudiay makes 2-pt shot from 11 ft,2,67-87,,
4:34.0,Personal foul by E. Mudiay (drawn by D. Green),,67-87,,
4:34.0,N. Jokic enters the game for K. Faried,,67-87,,
4:34.0,,,67-87,,M. Speights enters the game for F. Ezeli
4:28.0,,,67-87,,K. Thompson misses 2-pt shot from 20 ft
4:28.0,Defensive rebound by N. Jokic,,67-87,,
4:20.0,G. Harris makes 2-pt shot from 1 ft (assist by W. Barton),2,69-87,,
3:55.0,,,69-87,,M. Speights misses 3-pt shot from 26 ft
3:55.0,Defensive rebound by G. Harris,,69-87,,
3:42.0,W. Barton makes 2-pt shot from 2 ft (assist by N. Jokic),2,71-87,,
3:23.0,,,71-89,2,S. Curry makes 2-pt shot from 11 ft
3:12.0,Turnover by E. Mudiay (offensive foul),,71-89,,
3:12.0,Offensive foul by E. Mudiay,,71-89,,
3:12.0,R. Foye enters the game for G. Harris,,71-89,,
3:01.0,,,71-92,3,S. Curry makes 3-pt shot from 25 ft (assist by A. Iguodala)
3:01.0,Denver full timeout,,71-92,,
2:48.0,D. Gallinari makes 2-pt shot from 21 ft (assist by W. Barton),2,73-92,,
2:28.0,,,73-94,2,S. Curry makes 2-pt shot from 1 ft
2:14.0,E. Mudiay misses 3-pt shot from 28 ft,,73-94,,
2:13.0,,,73-94,,Defensive rebound by M. Speights
2:09.0,Personal foul by W. Barton (drawn by D. Green),,73-94,,
2:09.0,,,73-94,,S. Livingston enters the game for K. Thompson
1:57.0,,,73-94,,A. Iguodala misses 2-pt shot from 21 ft
1:57.0,Defensive rebound by E. Mudiay,,73-94,,
1:54.0,,,73-94,,Personal foul by S. Curry (drawn by E. Mudiay)
1:43.0,N. Jokic misses 2-pt shot from 3 ft (block by D. Green),,73-94,,
1:42.0,,,73-94,,Defensive rebound by A. Iguodala
1:36.0,,,73-96,2,S. Livingston makes 2-pt shot from 2 ft (assist by A. Iguodala)
1:11.0,E. Mudiay misses 2-pt shot from 17 ft,,73-96,,
1:11.0,,,73-96,,Defensive rebound by S. Curry
1:04.0,,,73-96,,Turnover by S. Curry (bad pass)
1:04.0,J. Nelson enters the game for E. Mudiay,,73-96,,
0:57.0,R. Foye misses 2-pt shot from 19 ft,,73-96,,
0:56.0,,,73-96,,Defensive rebound by M. Speights
0:43.0,,,73-98,2,S. Curry makes 2-pt shot from 2 ft
0:43.0,,,73-98,,Shooting foul by N. Jokic (drawn by S. Curry)
0:43.0,,,73-99,1,S. Curry makes free throw 1 of 1
0:25.0,,,73-99,,Violation by M. Speights (def goaltending)
0:25.0,N. Jokic makes 2-pt shot from 2 ft (assist by R. Foye),2,75-99,,
0:03.0,,,75-99,,Turnover by M. Speights (bad pass; steal by J. Nelson)
0:01.0,J. Nelson misses 3-pt shot from 35 ft,,75-99,,
0:00.0,Offensive rebound by Team,,75-99,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,75-99,,M. Speights misses 2-pt shot from 20 ft
11:47.0,Defensive rebound by R. Foye,,75-99,,
11:35.0,D. Arthur makes 2-pt shot from 18 ft (assist by W. Barton),2,77-99,,
11:12.0,,,77-99,,A. Iguodala misses 3-pt shot from 23 ft
11:11.0,Defensive rebound by W. Barton,,77-99,,
11:05.0,Turnover by W. Barton (bad pass),,77-99,,
10:52.0,,,77-99,,Offensive foul by S. Livingston
10:52.0,,,77-99,,Turnover by S. Livingston (offensive foul)
10:36.0,W. Barton makes 3-pt shot from 24 ft (assist by J. Nelson),3,80-99,,
10:12.0,,,80-101,2,M. Speights makes 2-pt shot from 4 ft (assist by A. Iguodala)
9:53.0,N. Jokic makes 2-pt shot from 1 ft (assist by D. Arthur),2,82-101,,
9:37.0,,,82-101,,Turnover by M. Speights (lost ball; steal by J. Nelson)
9:32.0,W. Barton makes 2-pt shot from 1 ft (assist by J. Nelson),2,84-101,,
9:32.0,Shooting foul by L. Barbosa (drawn by W. Barton),,84-101,,
9:32.0,,,84-101,,Golden State full timeout
9:32.0,,,84-101,,J. McAdoo enters the game for M. Speights
9:32.0,W. Barton makes free throw 1 of 1,1,85-101,,
9:17.0,,,85-101,,Shooting foul by J. Nelson (drawn by L. Barbosa)
9:17.0,,,85-102,1,L. Barbosa makes free throw 1 of 2
9:17.0,,,85-102,,L. Barbosa misses free throw 2 of 2
9:15.0,Defensive rebound by W. Barton,,85-102,,
8:56.0,Turnover by R. Foye (bad pass; steal by A. Iguodala),,85-102,,
8:49.0,,,85-104,2,H. Barnes makes 2-pt shot at rim (assist by J. McAdoo)
8:41.0,,,85-104,,Personal foul by L. Barbosa (drawn by J. Nelson)
8:27.0,W. Barton misses 3-pt shot from 27 ft,,85-104,,
8:27.0,,,85-104,,Defensive rebound by Team
8:12.0,,,85-104,,L. Barbosa misses 2-pt shot from 10 ft
8:12.0,Defensive rebound by W. Barton,,85-104,,
8:09.0,Shooting foul by H. Barnes (drawn by W. Barton),,85-104,,
8:09.0,W. Barton makes free throw 1 of 2,1,86-104,,
8:09.0,W. Barton makes free throw 2 of 2,1,87-104,,
7:53.0,,,87-104,,H. Barnes misses 3-pt shot from 23 ft
7:52.0,Defensive rebound by D. Arthur,,87-104,,
7:44.0,J. Nelson misses 3-pt shot from 27 ft,,87-104,,
7:43.0,,,87-104,,Defensive rebound by L. Barbosa
7:39.0,,,87-104,,Shooting foul by D. Arthur (drawn by J. McAdoo)
7:39.0,,,87-104,,J. McAdoo misses free throw 1 of 2
7:39.0,,,87-104,,Offensive rebound by Team
7:39.0,,,87-104,,J. McAdoo misses free throw 2 of 2
7:38.0,Defensive rebound by R. Foye,,87-104,,
7:22.0,W. Barton makes 2-pt shot from 7 ft (assist by J. Nelson),2,89-104,,
7:13.0,,,89-104,,J. McAdoo misses 2-pt shot from 4 ft (block by W. Barton)
7:12.0,Defensive rebound by R. Foye,,89-104,,
7:06.0,W. Barton makes 2-pt shot at rim (assist by R. Foye),2,91-104,,
6:45.0,,,91-106,2,L. Barbosa makes 2-pt shot from 18 ft
6:29.0,R. Foye misses 3-pt shot from 24 ft,,91-106,,
6:28.0,,,91-106,,Defensive rebound by H. Barnes
6:22.0,,,91-106,,Shooting foul by D. Arthur (drawn by J. McAdoo)
6:22.0,,,91-107,1,J. McAdoo makes free throw 1 of 2
6:22.0,,,91-107,,S. Curry enters the game for L. Barbosa
6:22.0,,,91-107,,J. McAdoo misses free throw 2 of 2
6:21.0,Defensive rebound by N. Jokic,,91-107,,
6:06.0,W. Barton makes 3-pt shot from 23 ft (assist by J. Nelson),3,94-107,,
