time,Washington,pts.away,score,pts.home,Houston
6:22.0,B. Beal enters the game for O. Porter,,15-11,,
6:22.0,,,15-11,,J. Terry enters the game for C. Brewer
6:22.0,,,15-11,,J. Smith enters the game for P. Beverley
5:59.0,,,15-11,,J. Smith misses 2-pt shot from 5 ft
5:59.0,,,15-11,,Offensive rebound by D. Howard
5:52.0,,,15-11,,T. Ariza misses 2-pt shot from 2 ft (block by M. Gortat)
5:51.0,Defensive rebound by J. Dudley,,15-11,,
5:38.0,B. Beal misses 3-pt shot from 25 ft,,15-11,,
5:37.0,,,15-11,,Defensive rebound by Team
5:23.0,,,15-13,2,D. Howard makes 2-pt shot from 7 ft (assist by J. Smith)
4:59.0,G. Temple misses 2-pt shot from 19 ft,,15-13,,
4:58.0,,,15-13,,Defensive rebound by J. Harden
4:40.0,,,15-15,2,J. Harden makes 2-pt shot from 1 ft
4:33.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,17-15,,
4:20.0,,,17-15,,Turnover by J. Smith (lost ball; steal by J. Dudley)
4:15.0,J. Wall makes 2-pt shot at rim (assist by J. Dudley),2,19-15,,
3:56.0,,,19-17,2,D. Howard makes 2-pt shot from 6 ft (assist by J. Harden)
3:44.0,J. Wall makes 2-pt shot from 19 ft,2,21-17,,
3:40.0,,,21-17,,Shooting foul by J. Wall (drawn by D. Howard)
3:40.0,,,21-18,1,D. Howard makes free throw 1 of 2
3:40.0,,,21-18,,C. Brewer enters the game for J. Harden
3:40.0,,,21-18,,T. Lawson enters the game for T. Ariza
3:40.0,,,21-19,1,D. Howard makes free throw 2 of 2
3:29.0,J. Wall misses 2-pt shot from 16 ft,,21-19,,
3:27.0,,,21-19,,Defensive rebound by D. Howard
3:16.0,,,21-19,,C. Brewer misses 2-pt shot from 1 ft
3:14.0,Defensive rebound by J. Wall,,21-19,,
3:08.0,J. Dudley misses 3-pt shot from 24 ft,,21-19,,
3:07.0,,,21-19,,Defensive rebound by C. Brewer
2:58.0,,,21-21,2,D. Howard makes 2-pt shot from 4 ft (assist by J. Smith)
2:58.0,,,21-21,,Shooting foul by M. Gortat (drawn by D. Howard)
2:58.0,Washington full timeout,,21-21,,
2:58.0,N. Hilario enters the game for M. Gortat,,21-21,,
2:58.0,,,21-22,1,D. Howard makes free throw 1 of 1
2:37.0,J. Wall misses 3-pt shot from 24 ft,,21-22,,
2:36.0,Offensive rebound by Team,,21-22,,
2:36.0,D. Gooden enters the game for J. Dudley,,21-22,,
2:26.0,B. Beal makes 2-pt shot from 17 ft (assist by J. Wall),2,23-22,,
2:13.0,G. Neal enters the game for G. Temple,,23-22,,
2:00.0,,,23-24,2,T. Lawson makes 2-pt shot from 12 ft
1:39.0,B. Beal makes 3-pt shot from 22 ft (assist by J. Wall),3,26-24,,
1:29.0,,,26-24,,J. Terry misses 3-pt shot from 24 ft
1:26.0,Defensive rebound by D. Gooden,,26-24,,
1:16.0,J. Wall misses 2-pt shot from 12 ft,,26-24,,
1:15.0,,,26-24,,Defensive rebound by D. Howard
1:10.0,,,26-27,3,J. Smith makes 3-pt shot from 24 ft (assist by J. Terry)
0:55.0,D. Gooden misses 2-pt shot from 18 ft,,26-27,,
0:54.0,,,26-27,,Defensive rebound by C. Brewer
0:43.0,,,26-27,,C. Brewer misses 3-pt shot from 24 ft
0:42.0,,,26-27,,Offensive rebound by J. Smith
0:39.0,,,26-30,3,J. Terry makes 3-pt shot from 24 ft (assist by J. Smith)
0:29.0,N. Hilario makes 2-pt shot from 13 ft,2,28-30,,
0:08.0,,,28-30,,Shooting foul by J. Wall (drawn by T. Lawson)
0:08.0,,,28-31,1,T. Lawson makes free throw 1 of 2
0:08.0,,,28-31,,T. Ariza enters the game for J. Terry
0:08.0,,,28-32,1,T. Lawson makes free throw 2 of 2
0:01.0,J. Wall misses 2-pt shot from 1 ft,,28-32,,
0:00.0,Offensive rebound by Team,,28-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Shooting foul by T. Lawson (drawn by R. Sessions),,28-32,,
11:43.0,R. Sessions makes free throw 1 of 2,1,29-32,,
11:43.0,R. Sessions misses free throw 2 of 2,,29-32,,
11:41.0,Offensive rebound by D. Gooden,,29-32,,
11:34.0,D. Gooden makes 2-pt shot from 7 ft,2,31-32,,
11:20.0,,,31-34,2,P. Beverley makes 2-pt shot from 2 ft
11:07.0,B. Beal misses 3-pt shot from 25 ft,,31-34,,
11:06.0,,,31-34,,Defensive rebound by T. Lawson
11:00.0,,,31-37,3,P. Beverley makes 3-pt shot from 24 ft (assist by T. Lawson)
10:37.0,G. Neal makes 2-pt shot from 4 ft,2,33-37,,
10:32.0,Personal foul by R. Sessions (drawn by T. Lawson),,33-37,,
10:17.0,,,33-37,,J. Smith misses 3-pt shot from 25 ft
10:16.0,Defensive rebound by R. Sessions,,33-37,,
10:04.0,B. Beal makes 2-pt shot from 1 ft,2,35-37,,
9:48.0,,,35-37,,P. Beverley misses 2-pt shot from 1 ft
9:47.0,Defensive rebound by R. Sessions,,35-37,,
9:41.0,R. Sessions misses 2-pt shot from 2 ft (block by C. Capela),,35-37,,
9:41.0,,,35-37,,Defensive rebound by J. Smith
9:29.0,,,35-37,,P. Beverley misses 3-pt shot from 23 ft
9:28.0,,,35-37,,Offensive rebound by C. Capela
9:21.0,,,35-37,,T. Lawson misses 2-pt shot from 19 ft
9:21.0,Defensive rebound by D. Gooden,,35-37,,
9:13.0,,,35-37,,Personal foul by C. Brewer (drawn by R. Sessions)
9:13.0,,,35-37,,T. Jones enters the game for J. Smith
9:05.0,N. Hilario makes 2-pt shot at rim (assist by B. Beal),2,37-37,,
8:52.0,,,37-37,,C. Brewer misses 2-pt shot from 12 ft
8:52.0,,,37-37,,Offensive rebound by Team
8:52.0,Official timeout,,37-37,,
8:52.0,,,37-37,,T. Ariza enters the game for C. Brewer
8:52.0,,,37-37,,J. Harden enters the game for T. Lawson
8:34.0,,,37-39,2,T. Jones makes 2-pt shot from 6 ft (assist by J. Harden)
8:18.0,Turnover by R. Sessions (lost ball; steal by C. Capela),,37-39,,
8:16.0,,,37-39,,Shooting foul by R. Sessions (drawn by C. Capela)
8:16.0,,,37-39,,C. Capela misses free throw 1 of 2
8:16.0,,,37-39,,Offensive rebound by Team
8:16.0,,,37-39,,C. Capela misses free throw 2 of 2
8:13.0,Defensive rebound by B. Beal,,37-39,,
8:08.0,R. Sessions makes 2-pt shot from 1 ft (assist by B. Beal),2,39-39,,
7:51.0,,,39-39,,T. Jones misses 2-pt shot from 5 ft
7:50.0,Defensive rebound by D. Gooden,,39-39,,
7:48.0,Turnover by D. Gooden (bad pass; steal by J. Harden),,39-39,,
7:43.0,,,39-42,3,J. Harden makes 3-pt shot from 25 ft
7:25.0,B. Beal misses 2-pt shot from 6 ft,,39-42,,
7:25.0,Offensive rebound by Team,,39-42,,
7:25.0,J. Dudley enters the game for D. Gooden,,39-42,,
7:14.0,G. Neal makes 2-pt shot from 17 ft (assist by N. Hilario),2,41-42,,
6:57.0,,,41-42,,T. Jones misses 2-pt shot from 5 ft (block by N. Hilario)
6:56.0,Defensive rebound by J. Dudley,,41-42,,
6:55.0,,,41-42,,Personal foul by P. Beverley (drawn by R. Sessions)
6:55.0,,,41-42,,D. Howard enters the game for C. Capela
6:44.0,G. Neal makes 2-pt shot from 10 ft (assist by B. Beal),2,43-42,,
6:19.0,,,43-42,,D. Howard misses 2-pt shot from 5 ft
6:18.0,,,43-42,,Offensive rebound by T. Ariza
6:16.0,Flagrant foul type 1 by J. Dudley (drawn by D. Howard),,43-42,,
6:16.0,,,43-42,,Technical foul by D. Howard
6:16.0,B. Beal makes technical free throw,1,44-42,,
6:16.0,G. Temple enters the game for B. Beal,,44-42,,
6:16.0,,,44-42,,D. Howard misses flagrant free throw 1 of 2
6:16.0,,,44-42,,Offensive rebound by Team
6:16.0,,,44-42,,D. Howard misses flagrant free throw 2 of 2
6:16.0,,,44-42,,Offensive rebound by Team
6:07.0,,,44-44,2,J. Harden makes 2-pt shot from 15 ft
5:42.0,Turnover by Team (shot clock),,44-44,,
5:42.0,,,44-44,,Houston full timeout
5:28.0,,,44-44,,Shooting foul by G. Temple (drawn by J. Harden)
5:28.0,,,44-45,1,J. Harden makes free throw 1 of 2
5:28.0,J. Wall enters the game for R. Sessions,,44-45,,
5:28.0,,,44-46,1,J. Harden makes free throw 2 of 2
5:11.0,G. Neal makes 3-pt shot from 24 ft (assist by J. Wall),3,47-46,,
5:01.0,,,47-46,,J. Harden misses 3-pt shot from 25 ft
4:59.0,Defensive rebound by J. Wall,,47-46,,
4:55.0,Shooting foul by J. Harden (drawn by N. Hilario),,47-46,,
4:55.0,N. Hilario misses free throw 1 of 2,,47-46,,
4:55.0,Offensive rebound by Team,,47-46,,
4:55.0,N. Hilario makes free throw 2 of 2,1,48-46,,
4:35.0,,,48-46,,T. Jones misses 3-pt shot from 23 ft
4:34.0,Defensive rebound by N. Hilario,,48-46,,
4:27.0,Turnover by J. Wall (bad pass),,48-46,,
4:21.0,,,48-46,,Houston full timeout
4:21.0,M. Gortat enters the game for N. Hilario,,48-46,,
4:21.0,,,48-46,,C. Capela enters the game for D. Howard
4:03.0,,,48-46,,J. Harden misses 2-pt shot from 18 ft
4:01.0,Defensive rebound by M. Gortat,,48-46,,
3:54.0,J. Dudley makes 2-pt shot from 20 ft (assist by J. Wall),2,50-46,,
3:40.0,,,50-48,2,T. Ariza makes 2-pt shot from 14 ft (assist by P. Beverley)
3:29.0,Shooting foul by C. Capela (drawn by M. Gortat),,50-48,,
3:29.0,M. Gortat misses free throw 1 of 2,,50-48,,
3:29.0,Offensive rebound by Team,,50-48,,
3:29.0,,,50-48,,C. Brewer enters the game for T. Jones
3:29.0,M. Gortat makes free throw 2 of 2,1,51-48,,
3:13.0,,,51-50,2,P. Beverley makes 2-pt shot from 4 ft (assist by C. Brewer)
2:50.0,J. Wall makes 2-pt shot from 19 ft,2,53-50,,
2:36.0,,,53-50,,C. Capela misses 2-pt shot from 2 ft
2:36.0,,,53-50,,Offensive rebound by C. Capela
2:35.0,Personal foul by M. Gortat (drawn by C. Capela),,53-50,,
2:35.0,,,53-50,,C. Capela misses free throw 1 of 2
2:35.0,,,53-50,,Offensive rebound by Team
2:35.0,N. Hilario enters the game for G. Neal,,53-50,,
2:35.0,B. Beal enters the game for M. Gortat,,53-50,,
2:35.0,,,53-50,,C. Capela misses free throw 2 of 2
2:35.0,Defensive rebound by G. Temple,,53-50,,
2:09.0,J. Wall misses 2-pt shot from 2 ft (block by C. Capela),,53-50,,
2:08.0,,,53-50,,Defensive rebound by C. Capela
2:07.0,,,53-50,,Shooting foul by G. Temple (drawn by T. Ariza)
2:07.0,,,53-51,1,T. Ariza makes free throw 1 of 2
2:07.0,,,53-52,1,T. Ariza makes free throw 2 of 2
1:52.0,G. Temple misses 3-pt shot from 22 ft,,53-52,,
1:51.0,,,53-52,,Defensive rebound by P. Beverley
1:42.0,,,53-55,3,C. Brewer makes 3-pt shot from 24 ft (assist by J. Harden)
1:24.0,N. Hilario makes 2-pt shot from 4 ft (assist by J. Wall),2,55-55,,
1:13.0,,,55-55,,Shooting foul by N. Hilario (drawn by J. Harden)
1:13.0,,,55-56,1,J. Harden makes free throw 1 of 2
1:13.0,,,55-57,1,J. Harden makes free throw 2 of 2
1:02.0,Turnover by J. Wall (bad pass),,55-57,,
0:54.0,,,55-57,,C. Brewer misses 3-pt shot from 25 ft
0:53.0,Defensive rebound by J. Dudley,,55-57,,
0:47.0,J. Wall makes 2-pt shot at rim (assist by J. Dudley),2,57-57,,
0:35.0,,,57-57,,Turnover by J. Harden (bad pass; steal by J. Wall)
0:31.0,Turnover by N. Hilario (bad pass; steal by J. Harden),,57-57,,
0:29.0,,,57-59,2,C. Brewer makes 2-pt shot from 1 ft (assist by J. Harden)
0:29.0,,,57-59,,Shooting foul by J. Wall (drawn by C. Brewer)
0:29.0,,,57-59,,C. Brewer misses free throw 1 of 1
0:28.0,Defensive rebound by Team,,57-59,,
0:10.0,B. Beal makes 2-pt shot from 8 ft,2,59-59,,
0:02.0,,,59-62,3,J. Harden makes 3-pt shot from 24 ft
0:00.0,G. Temple misses 3-pt shot from 39 ft,,59-62,,
0:00.0,Offensive rebound by Team,,59-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,O. Porter misses 3-pt shot from 24 ft,,59-62,,
11:38.0,,,59-62,,Defensive rebound by P. Beverley
11:20.0,,,59-62,,J. Harden misses 3-pt shot from 22 ft
11:18.0,Defensive rebound by J. Wall,,59-62,,
11:06.0,J. Dudley makes 3-pt shot from 22 ft (assist by J. Wall),3,62-62,,
10:47.0,Violation by M. Gortat (kicked ball),,62-62,,
10:34.0,,,62-62,,D. Howard misses 2-pt shot from 9 ft
10:34.0,Defensive rebound by J. Wall,,62-62,,
10:17.0,J. Wall misses 3-pt shot from 23 ft,,62-62,,
10:17.0,,,62-62,,Defensive rebound by T. Ariza
10:06.0,,,62-64,2,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden)
9:47.0,Turnover by M. Gortat (bad pass),,62-64,,
9:36.0,,,62-64,,J. Harden misses 3-pt shot from 25 ft
9:36.0,Defensive rebound by M. Gortat,,62-64,,
9:25.0,O. Porter makes 2-pt shot from 19 ft (assist by J. Wall),2,64-64,,
9:10.0,,,64-66,2,D. Howard makes 2-pt shot from 4 ft (assist by J. Harden)
8:52.0,O. Porter misses 2-pt shot from 20 ft,,64-66,,
8:52.0,Offensive rebound by M. Gortat,,64-66,,
8:47.0,O. Porter makes 2-pt shot at rim (assist by M. Gortat),2,66-66,,
8:27.0,,,66-66,,Turnover by D. Howard (bad pass)
8:12.0,G. Temple misses 2-pt shot from 8 ft,,66-66,,
8:09.0,,,66-66,,Defensive rebound by D. Howard
7:48.0,,,66-66,,P. Beverley misses 2-pt shot from 4 ft
7:46.0,Defensive rebound by M. Gortat,,66-66,,
7:42.0,J. Wall misses 2-pt shot from 1 ft (block by C. Brewer),,66-66,,
7:42.0,Offensive rebound by Team,,66-66,,
7:42.0,,,66-66,,Loose ball foul by D. Howard (drawn by G. Temple)
7:33.0,Turnover by J. Dudley (bad pass; steal by P. Beverley),,66-66,,
7:16.0,,,66-69,3,J. Harden makes 3-pt shot from 25 ft
6:59.0,G. Temple makes 3-pt shot from 23 ft (assist by J. Wall),3,69-69,,
6:49.0,,,69-69,,Shooting foul by G. Temple (drawn by J. Harden)
6:49.0,,,69-70,1,J. Harden makes free throw 1 of 2
6:49.0,,,69-70,,J. Terry enters the game for P. Beverley
6:49.0,,,69-71,1,J. Harden makes free throw 2 of 2
6:38.0,Shooting foul by D. Howard (drawn by J. Wall),,69-71,,
6:38.0,J. Wall makes 2-pt shot from 4 ft,2,71-71,,
6:38.0,J. Wall makes free throw 1 of 1,1,72-71,,
6:16.0,,,72-71,,D. Howard misses 2-pt shot from 7 ft
6:15.0,Defensive rebound by O. Porter,,72-71,,
6:08.0,J. Wall misses 2-pt shot from 18 ft,,72-71,,
6:08.0,,,72-71,,Defensive rebound by J. Harden
6:00.0,,,72-74,3,T. Ariza makes 3-pt shot from 22 ft (assist by J. Harden)
5:50.0,J. Dudley misses 3-pt shot from 24 ft,,72-74,,
5:49.0,,,72-74,,Defensive rebound by J. Harden
5:46.0,Personal foul by J. Wall (drawn by J. Harden),,72-74,,
5:46.0,,,72-74,,Houston full timeout
5:46.0,R. Sessions enters the game for O. Porter,,72-74,,
5:46.0,B. Beal enters the game for J. Wall,,72-74,,
5:35.0,,,72-76,2,J. Harden makes 2-pt shot from 18 ft
5:19.0,Turnover by B. Beal (lost ball; steal by T. Ariza),,72-76,,
5:16.0,,,72-76,,Turnover by D. Howard (bad pass)
4:50.0,G. Temple makes 2-pt shot from 22 ft,2,74-76,,
4:36.0,,,74-76,,Turnover by C. Brewer (bad pass; steal by M. Gortat)
4:30.0,B. Beal misses 3-pt shot from 26 ft,,74-76,,
4:27.0,,,74-76,,Defensive rebound by T. Ariza
4:22.0,,,74-76,,J. Terry misses 3-pt shot from 24 ft
4:20.0,Defensive rebound by R. Sessions,,74-76,,
4:12.0,Shooting foul by J. Terry (drawn by R. Sessions),,74-76,,
4:12.0,R. Sessions makes free throw 1 of 2,1,75-76,,
4:12.0,,,75-76,,J. Smith enters the game for C. Brewer
4:12.0,R. Sessions makes free throw 2 of 2,1,76-76,,
4:02.0,Violation by J. Dudley (kicked ball),,76-76,,
3:46.0,,,76-76,,T. Ariza misses 3-pt shot from 26 ft
3:46.0,,,76-76,,Offensive rebound by D. Howard
3:45.0,,,76-76,,Shooting foul by J. Dudley (drawn by D. Howard)
3:45.0,,,76-77,1,D. Howard makes free throw 1 of 2
3:45.0,,,76-78,1,D. Howard makes free throw 2 of 2
3:34.0,Turnover by M. Gortat (traveling),,76-78,,
3:09.0,,,76-81,3,J. Harden makes 3-pt shot from 24 ft
2:53.0,R. Sessions makes 2-pt shot from 1 ft (assist by M. Gortat),2,78-81,,
2:27.0,,,78-84,3,J. Terry makes 3-pt shot from 24 ft (assist by T. Ariza)
2:10.0,R. Sessions makes 3-pt shot from 25 ft (assist by B. Beal),3,81-84,,
1:55.0,,,81-84,,Offensive foul by J. Terry
1:55.0,,,81-84,,Turnover by J. Terry (offensive foul)
1:55.0,Washington full timeout,,81-84,,
1:55.0,N. Hilario enters the game for M. Gortat,,81-84,,
1:55.0,,,81-84,,C. Capela enters the game for T. Ariza
1:55.0,,,81-84,,C. Brewer enters the game for D. Howard
1:41.0,Shooting foul by C. Brewer (drawn by N. Hilario),,81-84,,
1:41.0,N. Hilario misses free throw 1 of 2,,81-84,,
1:41.0,Offensive rebound by Team,,81-84,,
1:41.0,N. Hilario makes free throw 2 of 2,1,82-84,,
1:26.0,,,82-84,,Turnover by J. Harden (bad pass; steal by R. Sessions)
1:20.0,J. Dudley makes 3-pt shot from 24 ft (assist by R. Sessions),3,85-84,,
1:07.0,,,85-84,,J. Terry misses 3-pt shot from 24 ft
1:06.0,Defensive rebound by G. Temple,,85-84,,
1:00.0,R. Sessions makes 2-pt shot at rim (assist by G. Temple),2,87-84,,
0:41.0,,,87-84,,C. Capela misses 2-pt shot from 5 ft
0:41.0,,,87-84,,Offensive rebound by J. Smith
0:41.0,,,87-86,2,J. Smith makes 2-pt shot from 1 ft
0:25.0,R. Sessions makes 3-pt shot from 23 ft (assist by G. Temple),3,90-86,,
0:08.0,Personal take foul by R. Sessions (drawn by J. Harden),,90-86,,
0:08.0,,,90-86,,T. Ariza enters the game for C. Capela
0:08.0,,,90-86,,T. Lawson enters the game for J. Smith
0:08.0,K. Oubre enters the game for N. Hilario,,90-86,,
0:02.0,Shooting block foul by J. Dudley (drawn by T. Ariza),,90-86,,
0:02.0,,,90-87,1,T. Ariza makes free throw 1 of 2
0:02.0,N. Hilario enters the game for J. Dudley,,90-87,,
0:02.0,D. Gooden enters the game for K. Oubre,,90-87,,
0:02.0,,,90-87,,C. Capela enters the game for J. Terry
0:02.0,,,90-87,,J. Smith enters the game for T. Lawson
0:02.0,,,90-88,1,T. Ariza makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,90-88,,Turnover by J. Smith (bad pass; steal by N. Hilario)
11:38.0,Shooting foul by P. Beverley (drawn by R. Sessions),,90-88,,
11:38.0,R. Sessions makes free throw 1 of 2,1,91-88,,
11:38.0,R. Sessions makes free throw 2 of 2,1,92-88,,
11:20.0,,,92-90,2,J. Smith makes 2-pt shot from 18 ft (assist by P. Beverley)
11:04.0,N. Hilario makes 2-pt shot from 2 ft (assist by J. Wall),2,94-90,,
11:04.0,Shooting foul by J. Smith (drawn by N. Hilario),,94-90,,
11:04.0,G. Neal enters the game for B. Beal,,94-90,,
11:04.0,N. Hilario misses free throw 1 of 1,,94-90,,
11:04.0,,,94-90,,Defensive rebound by D. Howard
10:53.0,Personal foul by N. Hilario (drawn by D. Howard),,94-90,,
10:42.0,,,94-92,2,D. Howard makes 2-pt shot from 2 ft (assist by P. Beverley)
10:42.0,,,94-92,,Shooting foul by N. Hilario (drawn by D. Howard)
10:42.0,,,94-93,1,D. Howard makes free throw 1 of 1
10:29.0,D. Gooden makes 3-pt shot from 23 ft (assist by N. Hilario),3,97-93,,
10:11.0,,,97-95,2,J. Smith makes 2-pt shot from 16 ft
9:58.0,J. Wall makes 2-pt shot at rim,2,99-95,,
9:40.0,,,99-95,,J. Smith misses 3-pt shot from 24 ft
9:39.0,Defensive rebound by N. Hilario,,99-95,,
9:20.0,J. Wall misses 2-pt shot from 19 ft,,99-95,,
9:19.0,,,99-95,,Defensive rebound by D. Howard
9:13.0,,,99-95,,C. Brewer misses 2-pt shot from 4 ft
9:12.0,Defensive rebound by D. Gooden,,99-95,,
9:05.0,R. Sessions misses 2-pt shot from 16 ft,,99-95,,
9:04.0,,,99-95,,Defensive rebound by C. Brewer
8:54.0,,,99-98,3,T. Lawson makes 3-pt shot from 24 ft (assist by P. Beverley)
8:35.0,G. Neal makes 3-pt shot from 24 ft,3,102-98,,
8:20.0,,,102-98,,J. Smith misses 2-pt shot from 3 ft
8:19.0,Defensive rebound by J. Wall,,102-98,,
8:14.0,Turnover by J. Wall (lost ball; steal by P. Beverley),,102-98,,
8:08.0,,,102-98,,T. Lawson misses 3-pt shot from 24 ft
8:08.0,Defensive rebound by G. Neal,,102-98,,
8:08.0,,,102-98,,Personal foul by J. Smith (drawn by G. Neal)
8:08.0,Washington full timeout,,102-98,,
8:08.0,,,102-98,,Technical foul by D. Howard
8:08.0,Technical foul by N. Hilario,,102-98,,
8:08.0,Technical foul by N. Hilario,,102-98,,
8:08.0,,,102-98,,J. Harden enters the game for C. Brewer
8:08.0,,,102-98,,T. Ariza enters the game for D. Howard
8:08.0,,,102-98,,C. Capela enters the game for J. Smith
8:08.0,M. Gortat enters the game for N. Hilario,,102-98,,
8:08.0,B. Beal enters the game for R. Sessions,,102-98,,
8:08.0,,,102-99,1,J. Harden makes technical free throw
8:08.0,J. Dudley enters the game for D. Gooden,,102-99,,
7:52.0,,,102-99,,Personal foul by J. Harden (drawn by J. Dudley)
7:44.0,J. Wall misses 2-pt shot from 19 ft,,102-99,,
7:43.0,,,102-99,,Defensive rebound by J. Harden
7:34.0,,,102-99,,C. Capela misses 2-pt shot from 2 ft (block by J. Wall)
7:33.0,Defensive rebound by J. Dudley,,102-99,,
7:30.0,Shooting foul by J. Harden (drawn by J. Wall),,102-99,,
7:30.0,J. Wall makes free throw 1 of 2,1,103-99,,
7:30.0,J. Wall misses free throw 2 of 2,,103-99,,
7:30.0,,,103-99,,Defensive rebound by J. Harden
7:06.0,,,103-102,3,J. Harden makes 3-pt shot from 24 ft
6:46.0,Turnover by B. Beal (lost ball; steal by J. Harden),,103-102,,
6:40.0,,,103-104,2,J. Harden makes 2-pt shot from 2 ft
6:40.0,Washington full timeout,,103-104,,
6:40.0,G. Temple enters the game for G. Neal,,103-104,,
6:24.0,Turnover by J. Wall (lost ball; steal by J. Harden),,103-104,,
6:15.0,,,103-104,,J. Harden misses 2-pt shot from 4 ft
6:14.0,,,103-104,,Offensive rebound by J. Harden
6:10.0,,,103-107,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
5:58.0,M. Gortat makes 2-pt shot from 4 ft (assist by J. Dudley),2,105-107,,
5:58.0,Shooting foul by P. Beverley (drawn by M. Gortat),,105-107,,
5:58.0,M. Gortat makes free throw 1 of 1,1,106-107,,
5:51.0,Personal foul by G. Temple (drawn by J. Harden),,106-107,,
5:50.0,,,106-107,,Offensive foul by C. Capela
5:50.0,,,106-107,,Turnover by C. Capela (offensive foul)
5:34.0,,,106-107,,Personal foul by C. Capela (drawn by M. Gortat)
5:34.0,M. Gortat misses free throw 1 of 2,,106-107,,
5:34.0,Offensive rebound by Team,,106-107,,
5:34.0,M. Gortat makes free throw 2 of 2,1,107-107,,
5:09.0,,,107-110,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden)
4:50.0,G. Temple misses 3-pt shot from 24 ft,,107-110,,
4:50.0,,,107-110,,Defensive rebound by J. Harden
4:44.0,,,107-113,3,J. Harden makes 3-pt shot from 24 ft
4:44.0,Washington full timeout,,107-113,,
4:31.0,G. Temple misses 3-pt shot from 22 ft,,107-113,,
4:29.0,Offensive rebound by M. Gortat,,107-113,,
4:25.0,Shooting foul by J. Harden (drawn by J. Dudley),,107-113,,
4:25.0,J. Dudley makes free throw 1 of 3,1,108-113,,
4:25.0,J. Dudley misses free throw 2 of 3,,108-113,,
4:25.0,Offensive rebound by Team,,108-113,,
