time,New Orleans,pts.away,score,pts.home,Denver
4:45.0,R. Anderson makes 2-pt shot from 2 ft (assist by T. Evans),2,54-55,,
4:34.0,,,54-55,,D. Gallinari misses 2-pt shot from 1 ft (block by R. Anderson)
4:32.0,Defensive rebound by R. Anderson,,54-55,,
4:24.0,Shooting foul by J. Nelson (drawn by J. Holiday),,54-55,,
4:24.0,J. Holiday misses free throw 1 of 2,,54-55,,
4:24.0,Offensive rebound by Team,,54-55,,
4:24.0,J. Holiday makes free throw 2 of 2,1,55-55,,
4:00.0,,,55-58,3,J. Nelson makes 3-pt shot from 22 ft (assist by W. Barton)
3:51.0,Turnover by T. Evans (lost ball; steal by G. Harris),,55-58,,
3:48.0,,,55-60,2,W. Barton makes 2-pt shot at rim (assist by D. Gallinari)
3:48.0,,,55-60,,Shooting foul by J. Holiday (drawn by W. Barton)
3:48.0,A. Gee enters the game for R. Anderson,,55-60,,
3:48.0,N. Cole enters the game for J. Holiday,,55-60,,
3:48.0,O. Asik enters the game for K. Perkins,,55-60,,
3:48.0,,,55-61,1,W. Barton makes free throw 1 of 1
3:37.0,E. Gordon makes 3-pt shot from 24 ft (assist by O. Asik),3,58-61,,
3:20.0,,,58-63,2,D. Gallinari makes 2-pt shot from 19 ft (assist by W. Barton)
3:08.0,Shooting foul by W. Barton (drawn by E. Gordon),,58-63,,
3:08.0,E. Gordon makes free throw 1 of 3,1,59-63,,
3:08.0,E. Gordon makes free throw 2 of 3,1,60-63,,
3:08.0,E. Gordon makes free throw 3 of 3,1,61-63,,
2:52.0,,,61-65,2,J. Nelson makes 2-pt shot from 11 ft
2:36.0,Turnover by E. Gordon (bad pass; steal by G. Harris),,61-65,,
2:28.0,,,61-65,,W. Barton misses 2-pt shot from 2 ft (block by E. Gordon)
2:26.0,Defensive rebound by E. Gordon,,61-65,,
2:17.0,Offensive foul by O. Asik,,61-65,,
2:17.0,Turnover by O. Asik (offensive foul),,61-65,,
2:17.0,New Orleans full timeout,,61-65,,
2:16.0,K. Perkins enters the game for O. Asik,,61-65,,
1:57.0,,,61-67,2,K. Faried makes 2-pt shot from 1 ft
1:45.0,E. Gordon makes 3-pt shot from 26 ft (assist by A. Gee),3,64-67,,
1:25.0,,,64-69,2,D. Gallinari makes 2-pt shot from 13 ft
1:04.0,T. Evans makes 2-pt shot from 2 ft,2,66-69,,
0:46.0,,,66-71,2,K. Faried makes 2-pt shot at rim (assist by W. Barton)
0:46.0,,,66-71,,Shooting foul by N. Cole (drawn by K. Faried)
0:46.0,,,66-72,1,K. Faried makes free throw 1 of 1
0:39.0,,,66-72,,Personal foul by W. Barton (drawn by E. Gordon)
0:39.0,E. Gordon misses free throw 1 of 2,,66-72,,
0:39.0,Offensive rebound by Team,,66-72,,
0:39.0,E. Gordon makes free throw 2 of 2,1,67-72,,
0:34.0,,,67-72,,Denver full timeout
0:25.0,,,67-72,,D. Gallinari misses 2-pt shot from 15 ft
0:24.0,,,67-72,,Offensive rebound by K. Faried
0:23.0,,,67-72,,K. Faried misses 2-pt shot from 2 ft
0:23.0,,,67-72,,Offensive rebound by K. Faried
0:23.0,,,67-74,2,K. Faried makes 2-pt shot from 2 ft
0:16.0,New Orleans full timeout,,67-74,,
0:16.0,R. Anderson enters the game for K. Perkins,,67-74,,
0:01.0,T. Evans misses 2-pt shot at rim,,67-74,,
0:01.0,,,67-74,,Defensive rebound by G. Harris
0:00.0,,,67-74,,G. Harris misses 3-pt shot from 53 ft
0:00.0,,,67-74,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,67-74,,D. Gallinari misses 3-pt shot from 26 ft
11:41.0,Defensive rebound by Team,,67-74,,
11:41.0,,,67-74,,Loose ball foul by K. Faried (drawn by O. Asik)
11:20.0,E. Gordon misses 2-pt shot from 20 ft,,67-74,,
11:18.0,Offensive rebound by E. Gordon,,67-74,,
11:09.0,E. Gordon makes 3-pt shot from 26 ft,3,70-74,,
10:50.0,,,70-74,,D. Gallinari misses 2-pt shot from 19 ft
10:50.0,Defensive rebound by A. Gee,,70-74,,
10:43.0,A. Gee misses 3-pt shot from 23 ft,,70-74,,
10:40.0,,,70-74,,Defensive rebound by J. Lauvergne
10:24.0,,,70-76,2,G. Harris makes 2-pt shot from 2 ft (assist by J. Lauvergne)
10:05.0,A. Gee makes 2-pt shot from 2 ft,2,72-76,,
9:51.0,,,72-76,,G. Harris misses 3-pt shot from 23 ft
9:50.0,Defensive rebound by Team,,72-76,,
9:41.0,,,72-76,,Personal foul by G. Harris (drawn by E. Gordon)
9:31.0,Turnover by T. Evans (traveling),,72-76,,
9:18.0,Personal foul by E. Gordon (drawn by J. Nelson),,72-76,,
9:03.0,,,72-76,,D. Gallinari misses 2-pt shot from 19 ft
9:02.0,,,72-76,,Offensive rebound by K. Faried
9:01.0,,,72-78,2,K. Faried makes 2-pt shot from 1 ft
8:42.0,Shooting foul by J. Nelson (drawn by T. Evans),,72-78,,
8:42.0,T. Evans makes free throw 1 of 2,1,73-78,,
8:42.0,T. Evans makes free throw 2 of 2,1,74-78,,
8:20.0,,,74-80,2,K. Faried makes 2-pt shot from 6 ft (assist by D. Gallinari)
8:12.0,R. Anderson makes 3-pt shot from 25 ft (assist by T. Evans),3,77-80,,
8:12.0,,,77-80,,Denver full timeout
8:12.0,,,77-80,,W. Barton enters the game for D. Gallinari
8:02.0,Personal foul by A. Gee (drawn by W. Barton),,77-80,,
7:48.0,,,77-82,2,K. Faried makes 2-pt shot at rim (assist by J. Nelson)
7:31.0,O. Asik makes 2-pt shot at rim (assist by E. Gordon),2,79-82,,
7:19.0,,,79-82,,J. Lauvergne misses 2-pt shot from 7 ft
7:17.0,Defensive rebound by T. Evans,,79-82,,
6:59.0,Turnover by R. Anderson (lost ball; steal by G. Harris),,79-82,,
6:52.0,,,79-82,,G. Harris misses 2-pt shot from 2 ft
6:51.0,,,79-82,,Offensive rebound by K. Faried
6:51.0,,,79-82,,K. Faried misses 2-pt shot from 1 ft
6:49.0,Defensive rebound by O. Asik,,79-82,,
6:39.0,R. Anderson makes 2-pt shot from 2 ft (assist by T. Evans),2,81-82,,
6:28.0,,,81-82,,Turnover by K. Faried (bad pass; steal by A. Gee)
6:17.0,T. Evans makes 2-pt shot from 1 ft,2,83-82,,
6:17.0,,,83-82,,Denver full timeout
6:17.0,,,83-82,,K. Papanikolaou enters the game for K. Faried
6:17.0,Violation by Team (delay of game),,83-82,,
6:00.0,,,83-82,,W. Barton misses 3-pt shot from 25 ft
5:59.0,Defensive rebound by T. Evans,,83-82,,
5:48.0,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans),3,86-82,,
5:35.0,,,86-82,,G. Harris misses 3-pt shot from 24 ft
5:32.0,Defensive rebound by R. Anderson,,86-82,,
5:24.0,Offensive foul by R. Anderson,,86-82,,
5:24.0,Turnover by R. Anderson (offensive foul),,86-82,,
5:24.0,,,86-82,,N. Jokic enters the game for J. Lauvergne
5:05.0,,,86-82,,K. Papanikolaou misses 3-pt shot from 25 ft
5:04.0,Defensive rebound by A. Gee,,86-82,,
4:52.0,T. Evans misses 2-pt shot from 2 ft,,86-82,,
4:51.0,,,86-82,,Defensive rebound by N. Jokic
4:44.0,,,86-82,,G. Harris misses 2-pt shot from 3 ft (block by T. Evans)
4:43.0,Defensive rebound by T. Evans,,86-82,,
4:38.0,E. Gordon misses 3-pt shot from 25 ft,,86-82,,
4:37.0,Offensive rebound by R. Anderson,,86-82,,
4:27.0,T. Evans makes 3-pt shot from 25 ft,3,89-82,,
4:08.0,,,89-82,,W. Barton misses 2-pt shot from 10 ft
4:08.0,Defensive rebound by Team,,89-82,,
4:08.0,K. Perkins enters the game for O. Asik,,89-82,,
4:08.0,J. Holiday enters the game for T. Evans,,89-82,,
4:08.0,,,89-82,,R. Foye enters the game for G. Harris
3:49.0,R. Anderson makes 2-pt shot from 10 ft (assist by K. Perkins),2,91-82,,
3:24.0,,,91-82,,N. Jokic misses 2-pt shot from 2 ft
3:23.0,,,91-82,,Offensive rebound by N. Jokic
3:20.0,,,91-84,2,N. Jokic makes 2-pt shot from 1 ft
3:01.0,J. Holiday misses 2-pt shot from 11 ft,,91-84,,
3:00.0,,,91-84,,Defensive rebound by R. Foye
2:53.0,,,91-87,3,R. Foye makes 3-pt shot from 25 ft
2:52.0,New Orleans full timeout,,91-87,,
2:52.0,L. Babbitt enters the game for A. Gee,,91-87,,
2:52.0,D. Cunningham enters the game for R. Anderson,,91-87,,
2:43.0,E. Gordon misses 3-pt shot from 25 ft,,91-87,,
2:43.0,,,91-87,,Defensive rebound by Team
2:43.0,Loose ball foul by K. Perkins (drawn by N. Jokic),,91-87,,
2:28.0,,,91-87,,Turnover by J. Nelson (bad pass; steal by J. Holiday)
2:24.0,J. Holiday makes 2-pt shot from 1 ft,2,93-87,,
1:59.0,,,93-90,3,R. Foye makes 3-pt shot from 23 ft (assist by J. Nelson)
1:49.0,J. Holiday misses 3-pt shot from 24 ft,,93-90,,
1:49.0,,,93-90,,Defensive rebound by K. Papanikolaou
1:41.0,Personal foul by D. Cunningham (drawn by W. Barton),,93-90,,
1:41.0,,,93-90,,M. Miller enters the game for J. Nelson
1:40.0,Personal foul by K. Perkins (drawn by N. Jokic),,93-90,,
1:40.0,,,93-91,1,N. Jokic makes free throw 1 of 2
1:40.0,N. Cole enters the game for E. Gordon,,93-91,,
1:40.0,,,93-91,,N. Jokic misses free throw 2 of 2
1:39.0,Defensive rebound by D. Cunningham,,93-91,,
1:18.0,J. Holiday makes 2-pt shot from 12 ft,2,95-91,,
1:10.0,,,95-91,,K. Papanikolaou misses 2-pt shot from 1 ft (block by D. Cunningham)
1:09.0,Defensive rebound by K. Perkins,,95-91,,
1:00.0,J. Holiday makes 2-pt shot at rim,2,97-91,,
0:53.0,,,97-94,3,W. Barton makes 3-pt shot from 24 ft (assist by R. Foye)
0:42.0,N. Cole makes 2-pt shot from 8 ft,2,99-94,,
0:14.0,,,99-94,,W. Barton misses 3-pt shot from 40 ft
0:14.0,,,99-94,,Offensive rebound by Team
0:04.0,,,99-96,2,R. Foye makes 2-pt shot from 1 ft
0:02.0,Turnover by K. Perkins (bad pass; steal by R. Foye),,99-96,,
0:01.0,,,99-96,,R. Foye misses 3-pt shot from 28 ft
0:00.0,,,99-96,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,L. Babbitt makes 3-pt shot from 27 ft (assist by J. Holiday),3,102-96,,
11:27.0,,,102-98,2,N. Jokic makes 2-pt shot from 3 ft (assist by W. Barton)
11:13.0,Turnover by K. Perkins (traveling),,102-98,,
10:58.0,,,102-98,,R. Foye misses 2-pt shot from 11 ft
10:57.0,Defensive rebound by J. Holiday,,102-98,,
10:34.0,N. Cole misses 2-pt shot from 16 ft,,102-98,,
10:33.0,,,102-98,,Defensive rebound by W. Barton
10:27.0,,,102-98,,W. Barton misses 2-pt shot from 10 ft
10:26.0,Defensive rebound by Team,,102-98,,
10:16.0,,,102-98,,Personal foul by N. Jokic (drawn by K. Perkins)
10:11.0,O. Asik enters the game for K. Perkins,,102-98,,
10:05.0,Turnover by J. Holiday (bad pass; steal by M. Miller),,102-98,,
10:00.0,,,102-100,2,W. Barton makes 2-pt shot from 1 ft (assist by M. Miller)
9:53.0,L. Babbitt misses 3-pt shot from 25 ft,,102-100,,
9:52.0,,,102-100,,Defensive rebound by Team
9:31.0,,,102-103,3,W. Barton makes 3-pt shot from 24 ft
9:17.0,Shooting foul by M. Miller (drawn by N. Cole),,102-103,,
9:17.0,N. Cole makes free throw 1 of 2,1,103-103,,
9:17.0,T. Evans enters the game for J. Holiday,,103-103,,
9:17.0,N. Cole makes free throw 2 of 2,1,104-103,,
8:55.0,,,104-103,,K. Papanikolaou misses 2-pt shot from 11 ft
8:54.0,Defensive rebound by T. Evans,,104-103,,
8:39.0,L. Babbitt misses 3-pt shot from 27 ft (block by M. Miller),,104-103,,
8:37.0,,,104-103,,Defensive rebound by K. Papanikolaou
8:32.0,,,104-106,3,W. Barton makes 3-pt shot from 25 ft (assist by K. Papanikolaou)
8:20.0,,,104-106,,Personal foul by M. Miller (drawn by O. Asik)
8:20.0,Official timeout,,104-106,,
8:20.0,R. Anderson enters the game for O. Asik,,104-106,,
8:20.0,A. Davis enters the game for L. Babbitt,,104-106,,
8:04.0,N. Cole misses 2-pt shot from 19 ft,,104-106,,
8:03.0,,,104-106,,Defensive rebound by W. Barton
7:50.0,,,104-109,3,W. Barton makes 3-pt shot from 25 ft (assist by R. Foye)
7:36.0,A. Davis makes 2-pt shot from 20 ft (assist by T. Evans),2,106-109,,
7:19.0,,,106-109,,R. Foye misses 3-pt shot from 24 ft
7:19.0,Defensive rebound by A. Davis,,106-109,,
7:07.0,A. Davis makes 2-pt shot from 15 ft (assist by T. Evans),2,108-109,,
6:43.0,,,108-111,2,N. Jokic makes 2-pt shot from 2 ft
6:32.0,A. Davis misses 2-pt shot from 21 ft,,108-111,,
6:31.0,,,108-111,,Defensive rebound by R. Foye
6:10.0,,,108-114,3,W. Barton makes 3-pt shot from 24 ft
5:53.0,T. Evans makes 2-pt shot from 2 ft,2,110-114,,
5:42.0,Personal foul by A. Davis (drawn by N. Jokic),,110-114,,
5:42.0,,,110-114,,Denver full timeout
5:42.0,E. Gordon enters the game for D. Cunningham,,110-114,,
5:42.0,J. Holiday enters the game for N. Cole,,110-114,,
5:42.0,,,110-114,,K. Faried enters the game for N. Jokic
5:42.0,,,110-114,,J. Nelson enters the game for R. Foye
5:42.0,,,110-114,,G. Harris enters the game for K. Papanikolaou
5:32.0,,,110-114,,J. Nelson misses 2-pt shot from 16 ft
5:31.0,Defensive rebound by Team,,110-114,,
5:08.0,A. Davis misses 2-pt shot from 5 ft,,110-114,,
5:08.0,,,110-114,,Defensive rebound by W. Barton
5:02.0,,,110-114,,Turnover by W. Barton (lost ball; steal by J. Holiday)
4:56.0,J. Holiday makes 2-pt shot at rim,2,112-114,,
4:44.0,,,112-114,,Turnover by J. Nelson (bad pass; steal by T. Evans)
4:43.0,,,112-114,,Personal foul by M. Miller (drawn by T. Evans)
4:28.0,T. Evans makes 2-pt shot from 1 ft,2,114-114,,
4:06.0,,,114-114,,W. Barton misses 2-pt shot from 12 ft
4:05.0,Defensive rebound by A. Davis,,114-114,,
3:59.0,T. Evans makes 2-pt shot from 1 ft,2,116-114,,
3:59.0,,,116-114,,Denver full timeout
3:59.0,,,116-114,,K. Papanikolaou enters the game for M. Miller
3:42.0,,,116-116,2,W. Barton makes 2-pt shot at rim (assist by J. Nelson)
