time,Atlanta,pts.away,score,pts.home,Houston
4:28.0,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague),2,48-61,,
4:28.0,P. Millsap misses free throw 1 of 1,,48-61,,
4:28.0,,,48-61,,Defensive rebound by J. Harden
4:14.0,,,48-61,,Turnover by D. Howard (traveling)
3:57.0,P. Millsap misses 2-pt shot from 4 ft,,48-61,,
3:56.0,Offensive rebound by E. Tavares,,48-61,,
3:56.0,E. Tavares misses 2-pt shot from 1 ft,,48-61,,
3:55.0,Offensive rebound by E. Tavares,,48-61,,
3:55.0,E. Tavares makes 2-pt shot from 1 ft,2,50-61,,
3:30.0,,,50-64,3,P. Beverley makes 3-pt shot from 24 ft (assist by T. Ariza)
3:12.0,Turnover by K. Bazemore (lost ball; steal by D. Howard),,50-64,,
3:06.0,,,50-64,,T. Ariza misses 3-pt shot from 22 ft
3:05.0,,,50-64,,Offensive rebound by D. Motiejunas
2:57.0,,,50-64,,P. Beverley misses 3-pt shot from 22 ft
2:55.0,Defensive rebound by E. Tavares,,50-64,,
2:35.0,J. Teague makes 2-pt shot at rim,2,52-64,,
2:20.0,Personal foul by P. Millsap (drawn by D. Motiejunas),,52-64,,
2:20.0,Atlanta full timeout,,52-64,,
2:20.0,,,52-64,,T. Lawson enters the game for P. Beverley
2:20.0,Inbound foul by E. Tavares,,52-64,,
2:20.0,,,52-64,,D. Howard misses free throw 1 of 2
2:20.0,,,52-64,,Offensive rebound by Team
2:20.0,,,52-65,1,D. Howard makes free throw 2 of 2
2:08.0,P. Millsap makes 2-pt shot from 3 ft (assist by J. Teague),2,54-65,,
1:51.0,,,54-67,2,D. Howard makes 2-pt shot at rim (assist by D. Motiejunas)
1:26.0,E. Tavares misses 2-pt shot from 2 ft (block by D. Howard),,54-67,,
1:24.0,Offensive rebound by E. Tavares,,54-67,,
1:21.0,E. Tavares makes 2-pt shot from 9 ft,2,56-67,,
1:10.0,,,56-67,,D. Motiejunas misses 2-pt shot from 6 ft
1:08.0,Defensive rebound by E. Tavares,,56-67,,
1:00.0,K. Bazemore misses 3-pt shot from 22 ft,,56-67,,
0:58.0,,,56-67,,Defensive rebound by Team
0:58.0,K. Korver enters the game for K. Bazemore,,56-67,,
0:58.0,A. Horford enters the game for E. Tavares,,56-67,,
0:58.0,Inbound foul by K. Korver,,56-67,,
0:58.0,,,56-68,1,D. Howard makes free throw 1 of 2
0:58.0,,,56-68,,D. Howard misses free throw 2 of 2
0:58.0,Defensive rebound by P. Millsap,,56-68,,
0:42.0,A. Horford misses 3-pt shot from 23 ft,,56-68,,
0:41.0,Offensive rebound by P. Millsap,,56-68,,
0:35.0,J. Teague misses 2-pt shot from 5 ft,,56-68,,
0:34.0,,,56-68,,Defensive rebound by T. Lawson
0:22.0,,,56-71,3,T. Ariza makes 3-pt shot from 22 ft (assist by J. Harden)
0:01.0,J. Teague misses 2-pt shot from 1 ft,,56-71,,
