time,Golden State,pts.away,score,pts.home,Chicago
3:23.0,,,73-59,,N. Mirotic misses 2-pt shot from 2 ft
3:23.0,,,73-59,,Offensive rebound by Team
3:19.0,,,73-61,2,B. Portis makes 2-pt shot from 19 ft (assist by A. Brooks)
3:03.0,,,73-61,,Personal foul by D. McDermott (drawn by L. Barbosa)
2:56.0,S. Curry makes 3-pt shot from 24 ft (assist by A. Iguodala),3,76-61,,
2:41.0,,,76-61,,Turnover by N. Mirotic (lost ball)
2:31.0,H. Barnes makes 3-pt shot from 25 ft (assist by S. Curry),3,79-61,,
2:17.0,,,79-61,,A. Brooks misses 3-pt shot from 26 ft
2:16.0,Defensive rebound by F. Ezeli,,79-61,,
2:09.0,Shooting foul by N. Mirotic (drawn by L. Barbosa),,79-61,,
2:09.0,L. Barbosa misses free throw 1 of 2,,79-61,,
2:09.0,Offensive rebound by Team,,79-61,,
2:09.0,,,79-61,,D. Rose enters the game for A. Brooks
2:09.0,L. Barbosa makes free throw 2 of 2,1,80-61,,
1:54.0,,,80-61,,N. Mirotic misses 3-pt shot from 23 ft
1:53.0,,,80-61,,Offensive rebound by D. McDermott
1:53.0,,,80-61,,D. McDermott misses 2-pt shot from 2 ft
1:46.0,Defensive rebound by H. Barnes,,80-61,,
1:43.0,A. Iguodala makes 2-pt shot at rim (assist by L. Barbosa),2,82-61,,
1:26.0,,,82-61,,B. Portis misses 2-pt shot from 14 ft
1:25.0,Defensive rebound by L. Barbosa,,82-61,,
1:17.0,F. Ezeli makes 2-pt shot from 3 ft (assist by S. Curry),2,84-61,,
1:16.0,,,84-61,,Chicago full timeout
1:16.0,B. Rush enters the game for H. Barnes,,84-61,,
1:03.0,,,84-63,2,J. Butler makes 2-pt shot from 2 ft
0:47.0,B. Rush misses 3-pt shot from 23 ft,,84-63,,
0:45.0,Offensive rebound by F. Ezeli,,84-63,,
0:45.0,Shooting foul by N. Mirotic (drawn by F. Ezeli),,84-63,,
0:45.0,F. Ezeli misses free throw 1 of 2,,84-63,,
0:45.0,Offensive rebound by Team,,84-63,,
0:45.0,F. Ezeli makes free throw 2 of 2,1,85-63,,
0:31.0,,,85-63,,J. Butler misses 2-pt shot from 20 ft
0:29.0,,,85-63,,Offensive rebound by B. Portis
0:29.0,,,85-63,,B. Portis misses 2-pt shot at rim (block by A. Iguodala)
0:28.0,Defensive rebound by S. Curry,,85-63,,
0:10.0,S. Curry makes 2-pt shot at rim,2,87-63,,
0:02.0,,,87-63,,Turnover by D. Rose (lost ball; steal by L. Barbosa)
0:00.0,A. Iguodala misses 3-pt shot from 41 ft,,87-63,,
0:00.0,Offensive rebound by Team,,87-63,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Personal foul by L. Barbosa (drawn by B. Portis),,87-63,,
11:50.0,,,87-64,1,B. Portis makes free throw 1 of 2
11:50.0,,,87-65,1,B. Portis makes free throw 2 of 2
11:35.0,B. Rush misses 3-pt shot from 24 ft,,87-65,,
11:34.0,,,87-65,,Defensive rebound by T. Snell
11:28.0,,,87-65,,T. Snell misses 2-pt shot from 5 ft
11:28.0,,,87-65,,Offensive rebound by Team
11:28.0,D. Green enters the game for F. Ezeli,,87-65,,
11:13.0,,,87-67,2,E. Moore makes 2-pt shot from 4 ft
10:53.0,L. Barbosa misses 2-pt shot from 20 ft,,87-67,,
10:52.0,,,87-67,,Defensive rebound by T. Snell
10:47.0,Personal foul by L. Barbosa (drawn by D. Rose),,87-67,,
10:41.0,,,87-67,,Shooting foul by L. Barbosa (drawn by D. Rose)
10:41.0,,,87-68,1,D. Rose makes free throw 1 of 2
10:41.0,,,87-69,1,D. Rose makes free throw 2 of 2
10:30.0,Turnover by L. Barbosa (bad pass),,87-69,,
10:14.0,,,87-71,2,E. Moore makes 2-pt shot from 9 ft
10:13.0,Golden State full timeout,,87-71,,
10:13.0,H. Barnes enters the game for L. Barbosa,,87-71,,
10:13.0,K. Thompson enters the game for B. Rush,,87-71,,
10:02.0,S. Livingston misses 2-pt shot from 6 ft,,87-71,,
10:01.0,,,87-71,,Defensive rebound by B. Portis
9:48.0,,,87-71,,D. Rose misses 3-pt shot from 24 ft
9:47.0,Defensive rebound by D. Green,,87-71,,
9:37.0,Shooting foul by B. Portis (drawn by K. Thompson),,87-71,,
9:37.0,K. Thompson makes free throw 1 of 2,1,88-71,,
9:37.0,K. Thompson makes free throw 2 of 2,1,89-71,,
9:28.0,,,89-73,2,D. Rose makes 2-pt shot from 11 ft
9:14.0,K. Thompson makes 2-pt shot from 2 ft (assist by S. Livingston),2,91-73,,
9:02.0,,,91-73,,D. Rose misses 2-pt shot from 1 ft
9:01.0,,,91-73,,Offensive rebound by B. Portis
9:01.0,,,91-75,2,B. Portis makes 2-pt shot at rim
8:41.0,S. Livingston makes 2-pt shot at rim (assist by H. Barnes),2,93-75,,
8:27.0,,,93-75,,B. Portis misses 2-pt shot from 11 ft
8:26.0,Defensive rebound by A. Iguodala,,93-75,,
8:18.0,Turnover by A. Iguodala (bad pass),,93-75,,
8:11.0,,,93-75,,Shooting foul by D. Green (drawn by D. Rose)
8:11.0,,,93-76,1,D. Rose makes free throw 1 of 2
8:11.0,,,93-77,1,D. Rose makes free throw 2 of 2
8:00.0,K. Thompson makes 2-pt shot from 1 ft (assist by S. Livingston),2,95-77,,
7:59.0,Technical foul by D. Green,,95-77,,
7:59.0,,,95-78,1,D. McDermott makes technical free throw
7:53.0,,,95-78,,Turnover by D. Rose (bad pass; steal by S. Livingston)
7:53.0,,,95-78,,Personal foul by D. Rose (drawn by S. Livingston)
7:53.0,,,95-78,,J. Butler enters the game for E. Moore
7:42.0,K. Thompson misses 2-pt shot from 14 ft,,95-78,,
7:42.0,,,95-78,,Defensive rebound by Team
7:31.0,,,95-78,,Shooting foul by K. Thompson (drawn by J. Butler)
7:31.0,,,95-79,1,J. Butler makes free throw 1 of 2
7:31.0,S. Curry enters the game for A. Iguodala,,95-79,,
7:31.0,,,95-79,,J. Butler misses free throw 2 of 2
7:28.0,Defensive rebound by D. Green,,95-79,,
7:22.0,S. Livingston makes 2-pt shot at rim (assist by D. Green),2,97-79,,
7:22.0,,,97-79,,Chicago full timeout
7:08.0,,,97-79,,D. Rose misses 2-pt shot from 8 ft
7:08.0,,,97-79,,Offensive rebound by Team
7:05.0,,,97-79,,Shooting foul by S. Curry (drawn by J. Butler)
7:05.0,,,97-79,,J. Butler misses free throw 1 of 2
7:05.0,,,97-79,,Offensive rebound by Team
