time,Golden State,pts.away,score,pts.home,Sacramento
7:37.0,,,33-36,,R. Rondo enters the game for B. McLemore
7:37.0,,,33-36,,R. Gay misses free throw 2 of 2
7:36.0,Defensive rebound by D. Green,,33-36,,
7:18.0,K. Thompson misses 2-pt shot from 2 ft,,33-36,,
7:17.0,,,33-36,,Defensive rebound by R. Gay
7:09.0,,,33-39,3,R. Gay makes 3-pt shot from 24 ft (assist by R. Rondo)
6:58.0,,,33-39,,Personal foul by M. Belinelli (drawn by K. Thompson)
6:48.0,S. Curry makes 3-pt shot from 24 ft,3,36-39,,
6:40.0,,,36-39,,R. Rondo misses 2-pt shot from 3 ft (block by A. Iguodala)
6:38.0,Defensive rebound by A. Iguodala,,36-39,,
6:30.0,H. Barnes makes 3-pt shot from 23 ft (assist by A. Iguodala),3,39-39,,
6:28.0,,,39-39,,Sacramento full timeout
6:28.0,,,39-39,,D. Cousins enters the game for W. Cauley-Stein
6:28.0,A. Bogut enters the game for A. Iguodala,,39-39,,
6:13.0,,,39-39,,D. Cousins misses 2-pt shot from 8 ft
6:12.0,Defensive rebound by D. Green,,39-39,,
6:07.0,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry),2,41-39,,
5:47.0,,,41-41,2,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo)
5:24.0,S. Curry makes 2-pt shot from 9 ft,2,43-41,,
5:13.0,,,43-41,,Shooting foul by A. Bogut (drawn by D. Cousins)
5:13.0,,,43-42,1,D. Cousins makes free throw 1 of 2
5:13.0,,,43-42,,Q. Acy enters the game for D. Collison
5:13.0,,,43-43,1,D. Cousins makes free throw 2 of 2
4:59.0,S. Curry misses 2-pt shot from 9 ft,,43-43,,
4:59.0,,,43-43,,Defensive rebound by R. Gay
4:42.0,,,43-43,,M. Belinelli misses 3-pt shot from 24 ft
4:41.0,Defensive rebound by H. Barnes,,43-43,,
4:38.0,H. Barnes misses 2-pt shot from 2 ft,,43-43,,
4:36.0,,,43-43,,Defensive rebound by R. Rondo
4:31.0,,,43-43,,M. Belinelli misses 3-pt shot from 24 ft
4:31.0,Defensive rebound by Team,,43-43,,
4:31.0,,,43-43,,Loose ball foul by D. Cousins (drawn by K. Thompson)
4:31.0,B. Rush enters the game for K. Thompson,,43-43,,
4:31.0,,,43-43,,B. McLemore enters the game for M. Belinelli
4:21.0,S. Curry misses 3-pt shot from 25 ft,,43-43,,
4:20.0,,,43-43,,Defensive rebound by R. Gay
4:16.0,Violation by S. Curry (kicked ball),,43-43,,
4:04.0,,,43-43,,Q. Acy misses 2-pt shot from 3 ft
4:03.0,Defensive rebound by S. Curry,,43-43,,
3:57.0,Shooting foul by Q. Acy (drawn by S. Curry),,43-43,,
3:57.0,S. Curry makes free throw 1 of 2,1,44-43,,
3:57.0,A. Iguodala enters the game for H. Barnes,,44-43,,
3:57.0,S. Curry misses free throw 2 of 2,,44-43,,
3:56.0,,,44-43,,Defensive rebound by D. Cousins
3:44.0,,,44-43,,Shooting foul by A. Iguodala (drawn by D. Cousins)
3:44.0,,,44-44,1,D. Cousins makes free throw 1 of 2
3:44.0,,,44-44,,D. Cousins misses free throw 2 of 2
3:44.0,,,44-44,,Offensive rebound by Team
3:44.0,Technical foul by D. Green,,44-44,,
3:44.0,,,44-44,,B. McLemore misses technical free throw
3:44.0,,,44-44,,Offensive rebound by Team
3:34.0,,,44-44,,D. Cousins misses 2-pt shot from 2 ft
3:33.0,Defensive rebound by D. Green,,44-44,,
3:23.0,S. Curry makes 2-pt shot from 3 ft (assist by D. Green),2,46-44,,
3:04.0,,,46-46,2,Q. Acy makes 2-pt shot from 2 ft (assist by B. McLemore)
2:48.0,Shooting foul by B. McLemore (drawn by S. Curry),,46-46,,
2:48.0,Official timeout,,46-46,,
2:48.0,H. Barnes enters the game for D. Green,,46-46,,
2:48.0,,,46-46,,Violation by Team (delay of game)
2:48.0,S. Curry makes free throw 1 of 2,1,47-46,,
2:48.0,S. Curry makes free throw 2 of 2,1,48-46,,
2:34.0,,,48-46,,Shooting foul by A. Bogut (drawn by D. Cousins)
2:34.0,,,48-47,1,D. Cousins makes free throw 1 of 2
2:34.0,,,48-48,1,D. Cousins makes free throw 2 of 2
2:20.0,S. Curry makes 3-pt shot from 28 ft,3,51-48,,
2:04.0,,,51-50,2,D. Cousins makes 2-pt shot from 6 ft
1:49.0,H. Barnes misses 2-pt shot from 7 ft,,51-50,,
1:49.0,,,51-50,,Defensive rebound by D. Cousins
1:42.0,,,51-52,2,D. Cousins makes 2-pt shot from 16 ft
1:33.0,S. Curry makes 3-pt shot from 27 ft,3,54-52,,
1:13.0,,,54-54,2,D. Cousins makes 2-pt shot from 21 ft
1:04.0,H. Barnes makes 2-pt shot from 4 ft (assist by S. Curry),2,56-54,,
1:04.0,Shooting foul by D. Cousins (drawn by H. Barnes),,56-54,,
1:04.0,,,56-54,,D. Collison enters the game for Q. Acy
1:04.0,,,56-54,,K. Koufos enters the game for D. Cousins
1:04.0,H. Barnes makes free throw 1 of 1,1,57-54,,
0:49.0,,,57-56,2,R. Gay makes 2-pt shot from 8 ft
0:33.0,S. Curry misses 3-pt shot from 27 ft,,57-56,,
0:32.0,,,57-56,,Defensive rebound by R. Gay
0:29.0,,,57-56,,Shooting foul by A. Iguodala (drawn by D. Collison)
0:29.0,,,57-57,1,D. Collison makes free throw 1 of 2
0:29.0,,,57-57,,S. Curry enters the game for R. Rondo
0:29.0,K. Thompson enters the game for A. Bogut,,57-57,,
0:29.0,D. Green enters the game for A. Iguodala,,57-57,,
0:29.0,,,57-57,,Q. Acy enters the game for K. Koufos
0:29.0,,,57-58,1,D. Collison makes free throw 2 of 2
0:11.0,D. Green makes 3-pt shot from 28 ft (assist by S. Curry),3,60-58,,
0:00.0,,,60-58,,R. Gay misses 3-pt shot from 25 ft
0:00.0,,,60-58,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,K. Thompson makes 3-pt shot from 23 ft (assist by A. Bogut),3,63-58,,
11:18.0,,,63-60,2,R. Gay makes 2-pt shot from 7 ft
11:18.0,,,63-60,,Shooting foul by A. Bogut (drawn by R. Gay)
11:18.0,,,63-60,,R. Gay misses free throw 1 of 1
