time,Milwaukee,pts.away,score,pts.home,Brooklyn
7:58.0,Jump ball: J. Bayless vs. B. Lopez (G. Monroe gains possession),,,,Jump ball: J. Bayless vs. B. Lopez (G. Monroe gains possession)
7:32.0,G. Monroe makes 2-pt shot from 3 ft (assist by G. Antetokounmpo),2,13-4,,
7:20.0,,,13-6,2,B. Lopez makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
6:57.0,G. Monroe misses 2-pt shot from 1 ft,,13-6,,
6:56.0,Offensive rebound by G. Monroe,,13-6,,
6:54.0,G. Monroe misses 2-pt shot from 1 ft,,13-6,,
6:53.0,,,13-6,,Defensive rebound by B. Lopez
6:37.0,,,13-6,,T. Young misses 2-pt shot from 2 ft
6:36.0,Defensive rebound by G. Monroe,,13-6,,
6:29.0,K. Middleton makes 3-pt shot from 24 ft (assist by G. Antetokounmpo),3,16-6,,
6:13.0,,,16-6,,Shooting foul by K. Middleton (drawn by B. Bogdanovic)
6:13.0,,,16-7,1,B. Bogdanovic makes free throw 1 of 2
6:13.0,,,16-8,1,B. Bogdanovic makes free throw 2 of 2
5:56.0,J. Bayless misses 3-pt shot from 24 ft,,16-8,,
5:55.0,Offensive rebound by G. Antetokounmpo,,16-8,,
5:50.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,16-8,,
5:49.0,,,16-8,,Defensive rebound by B. Lopez
5:37.0,,,16-8,,B. Bogdanovic misses 2-pt shot from 2 ft
5:36.0,Defensive rebound by G. Monroe,,16-8,,
5:26.0,J. Parker makes 2-pt shot from 6 ft (assist by G. Antetokounmpo),2,18-8,,
5:12.0,,,18-8,,B. Bogdanovic misses 3-pt shot from 25 ft
5:11.0,Defensive rebound by K. Middleton,,18-8,,
5:03.0,K. Middleton misses 2-pt shot from 18 ft,,18-8,,
5:02.0,,,18-8,,Defensive rebound by T. Young
4:55.0,,,18-8,,D. Sloan misses 2-pt shot from 2 ft
4:54.0,,,18-8,,Offensive rebound by T. Young
4:52.0,,,18-10,2,T. Young makes 2-pt shot from 2 ft
4:35.0,G. Monroe makes 2-pt shot from 3 ft (assist by G. Antetokounmpo),2,20-10,,
4:19.0,,,20-12,2,T. Young makes 2-pt shot at rim (assist by B. Lopez)
4:05.0,J. Parker misses 2-pt shot from 19 ft,,20-12,,
4:04.0,,,20-12,,Defensive rebound by T. Young
3:57.0,,,20-14,2,B. Lopez makes 2-pt shot at rim (assist by M. Brown)
3:42.0,J. Parker makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,22-14,,
3:42.0,Shooting foul by T. Young (drawn by J. Parker),,22-14,,
3:42.0,M. Plumlee enters the game for G. Monroe,,22-14,,
3:42.0,R. Vaughn enters the game for K. Middleton,,22-14,,
3:42.0,,,22-14,,S. Karasev enters the game for M. Brown
3:42.0,J. Parker makes free throw 1 of 1,1,23-14,,
3:23.0,,,23-16,2,B. Lopez makes 2-pt shot from 2 ft
3:02.0,M. Plumlee misses 2-pt shot from 1 ft,,23-16,,
3:01.0,Offensive rebound by J. Parker,,23-16,,
2:44.0,M. Plumlee misses 2-pt shot from 1 ft,,23-16,,
2:43.0,,,23-16,,Defensive rebound by D. Sloan
2:34.0,,,23-19,3,S. Karasev makes 3-pt shot from 25 ft (assist by D. Sloan)
2:34.0,Milwaukee full timeout,,23-19,,
2:34.0,J. O'Bryant enters the game for G. Antetokounmpo,,23-19,,
2:14.0,Turnover by M. Plumlee (lost ball; steal by D. Sloan),,23-19,,
2:10.0,,,23-21,2,D. Sloan makes 2-pt shot from 1 ft
1:56.0,Shooting foul by B. Bogdanovic (drawn by M. Plumlee),,23-21,,
1:56.0,M. Plumlee makes free throw 1 of 2,1,24-21,,
1:56.0,M. Plumlee makes free throw 2 of 2,1,25-21,,
1:42.0,,,25-21,,T. Young misses 2-pt shot from 15 ft
1:41.0,Defensive rebound by M. Plumlee,,25-21,,
1:19.0,M. Plumlee misses 2-pt shot from 11 ft,,25-21,,
1:18.0,Offensive rebound by J. O'Bryant,,25-21,,
1:17.0,Turnover by Team (shot clock),,25-21,,
1:17.0,,,25-21,,S. Kilpatrick enters the game for B. Bogdanovic
1:17.0,,,25-21,,S. Larkin enters the game for D. Sloan
1:01.0,,,25-21,,S. Kilpatrick misses 3-pt shot from 24 ft
1:01.0,Defensive rebound by J. Bayless,,25-21,,
0:53.0,Turnover by J. Bayless (lost ball; steal by S. Karasev),,25-21,,
0:49.0,,,25-23,2,S. Larkin makes 2-pt shot at rim (assist by S. Karasev)
0:38.0,J. Bayless misses 3-pt shot from 24 ft,,25-23,,
0:37.0,,,25-23,,Defensive rebound by S. Karasev
0:29.0,,,25-23,,S. Kilpatrick misses 2-pt shot at rim (block by M. Plumlee)
0:28.0,,,25-23,,Offensive rebound by Team
0:28.0,,,25-23,,T. Robinson enters the game for B. Lopez
0:28.0,,,25-23,,C. McCullough enters the game for T. Young
0:28.0,T. Ennis enters the game for J. Bayless,,25-23,,
0:27.0,,,25-23,,Shooting foul by R. Vaughn (drawn by S. Karasev)
0:27.0,,,25-24,1,S. Karasev makes free throw 1 of 2
0:27.0,,,25-25,1,S. Karasev makes free throw 2 of 2
0:04.0,J. Parker makes 2-pt shot from 18 ft,2,27-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,R. Vaughn misses 2-pt shot from 10 ft,,27-25,,
11:44.0,Offensive rebound by M. Plumlee,,27-25,,
11:42.0,M. Plumlee makes 2-pt shot at rim,2,29-25,,
11:28.0,,,29-25,,S. Karasev misses 3-pt shot from 23 ft
11:27.0,Defensive rebound by J. O'Bryant,,29-25,,
11:22.0,,,29-25,,Personal foul by S. Karasev
11:11.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,31-25,,
10:51.0,,,31-25,,T. Robinson misses 2-pt shot from 1 ft
10:50.0,Defensive rebound by G. Antetokounmpo,,31-25,,
10:46.0,Shooting foul by S. Larkin (drawn by G. Antetokounmpo),,31-25,,
10:46.0,G. Antetokounmpo misses free throw 1 of 2,,31-25,,
10:46.0,Offensive rebound by Team,,31-25,,
10:46.0,G. Antetokounmpo misses free throw 2 of 2,,31-25,,
10:45.0,,,31-25,,Defensive rebound by T. Robinson
10:34.0,,,31-25,,S. Kilpatrick misses 2-pt shot from 6 ft
10:33.0,Defensive rebound by G. Antetokounmpo,,31-25,,
10:28.0,G. Antetokounmpo makes 2-pt shot at rim,2,33-25,,
10:08.0,Personal foul by T. Ennis,,33-25,,
10:01.0,,,33-25,,Turnover by S. Karasev (bad pass)
9:54.0,Turnover by G. Antetokounmpo (palming),,33-25,,
9:36.0,,,33-28,3,C. McCullough makes 3-pt shot from 24 ft (assist by S. Kilpatrick)
9:17.0,T. Ennis misses 3-pt shot from 24 ft,,33-28,,
9:16.0,Offensive rebound by M. Plumlee,,33-28,,
8:56.0,J. O'Bryant misses 2-pt shot at rim (block by C. McCullough),,33-28,,
8:55.0,Offensive rebound by M. Plumlee,,33-28,,
8:51.0,G. Antetokounmpo makes 2-pt shot at rim,2,35-28,,
8:46.0,,,35-28,,Brooklyn full timeout
8:46.0,,,35-28,,W. Reed enters the game for T. Robinson
8:34.0,,,35-30,2,S. Kilpatrick makes 2-pt shot from 21 ft
8:14.0,J. O'Bryant misses 2-pt shot from 19 ft,,35-30,,
8:13.0,Offensive rebound by G. Antetokounmpo,,35-30,,
8:11.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,37-30,,
7:44.0,,,37-32,2,S. Kilpatrick makes 2-pt shot from 8 ft (assist by S. Larkin)
7:33.0,T. Ennis misses 2-pt shot from 4 ft,,37-32,,
7:31.0,Offensive rebound by M. Plumlee,,37-32,,
7:30.0,M. Plumlee misses 2-pt shot at rim,,37-32,,
7:29.0,,,37-32,,Defensive rebound by W. Reed
7:22.0,,,37-34,2,S. Kilpatrick makes 2-pt shot from 17 ft (assist by S. Larkin)
6:58.0,M. Plumlee misses 2-pt shot from 1 ft (block by C. McCullough),,37-34,,
6:57.0,,,37-34,,Defensive rebound by S. Larkin
6:51.0,,,37-34,,S. Kilpatrick misses 3-pt shot from 24 ft
6:50.0,Defensive rebound by R. Vaughn,,37-34,,
6:36.0,M. Plumlee misses 2-pt shot from 1 ft (block by S. Karasev),,37-34,,
6:35.0,Offensive rebound by Team,,37-34,,
6:35.0,,,37-34,,M. Brown enters the game for S. Karasev
6:35.0,G. Monroe enters the game for M. Plumlee,,37-34,,
6:35.0,K. Middleton enters the game for R. Vaughn,,37-34,,
6:26.0,G. Monroe misses 2-pt shot from 18 ft,,37-34,,
6:25.0,,,37-34,,Defensive rebound by W. Reed
6:16.0,Shooting block foul by J. O'Bryant (drawn by C. McCullough),,37-34,,
6:16.0,,,37-35,1,C. McCullough makes free throw 1 of 2
6:16.0,,,37-35,,C. McCullough misses free throw 2 of 2
6:15.0,Defensive rebound by T. Ennis,,37-35,,
5:59.0,J. O'Bryant makes 2-pt shot at rim (assist by K. Middleton),2,39-35,,
5:40.0,,,39-35,,M. Brown misses 2-pt shot from 18 ft
5:39.0,Defensive rebound by K. Middleton,,39-35,,
5:35.0,Turnover by G. Antetokounmpo (traveling),,39-35,,
5:35.0,Official timeout,,39-35,,
5:35.0,,,39-35,,T. Young enters the game for C. McCullough
5:35.0,J. Bayless enters the game for T. Ennis,,39-35,,
5:35.0,J. Parker enters the game for J. O'Bryant,,39-35,,
5:21.0,,,39-37,2,S. Larkin makes 2-pt shot from 1 ft
5:01.0,G. Monroe misses 2-pt shot from 1 ft,,39-37,,
4:59.0,Offensive rebound by G. Antetokounmpo,,39-37,,
4:54.0,Turnover by Team (shot clock),,39-37,,
4:54.0,,,39-37,,B. Lopez enters the game for W. Reed
4:54.0,,,39-37,,B. Bogdanovic enters the game for S. Kilpatrick
4:32.0,,,39-37,,Shooting foul by J. Parker (drawn by B. Lopez)
4:32.0,,,39-38,1,B. Lopez makes free throw 1 of 2
4:32.0,,,39-39,1,B. Lopez makes free throw 2 of 2
4:20.0,K. Middleton misses 2-pt shot from 22 ft,,39-39,,
4:19.0,Offensive rebound by Team,,39-39,,
4:19.0,,,39-39,,Loose ball foul by M. Brown
4:12.0,J. Bayless makes 3-pt shot from 22 ft (assist by G. Antetokounmpo),3,42-39,,
3:53.0,,,42-42,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by T. Young)
3:39.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,42-42,,
3:38.0,,,42-42,,Defensive rebound by T. Young
3:28.0,,,42-42,,M. Brown misses 3-pt shot from 24 ft
3:27.0,Defensive rebound by G. Antetokounmpo,,42-42,,
3:21.0,Offensive foul by G. Monroe,,42-42,,
3:21.0,Turnover by G. Monroe (offensive foul),,42-42,,
3:05.0,Def 3 sec tech foul by J. Parker,,42-42,,
3:05.0,,,42-42,,B. Bogdanovic misses technical free throw
3:05.0,,,42-42,,Offensive rebound by Team
2:59.0,,,42-42,,Turnover by S. Larkin (lost ball; steal by K. Middleton)
2:55.0,Shooting foul by B. Lopez (drawn by G. Antetokounmpo),,42-42,,
2:55.0,Milwaukee full timeout,,42-42,,
2:55.0,G. Antetokounmpo makes free throw 1 of 2,1,43-42,,
2:55.0,G. Antetokounmpo makes free throw 2 of 2,1,44-42,,
2:43.0,,,44-45,3,M. Brown makes 3-pt shot from 24 ft
2:27.0,G. Monroe misses 2-pt shot from 5 ft,,44-45,,
2:26.0,,,44-45,,Defensive rebound by T. Young
2:19.0,,,44-45,,B. Lopez misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
2:18.0,,,44-45,,Offensive rebound by Team
2:07.0,,,44-47,2,T. Young makes 2-pt shot from 4 ft (assist by B. Bogdanovic)
1:50.0,G. Monroe makes 2-pt shot at rim (assist by G. Antetokounmpo),2,46-47,,
1:19.0,,,46-49,2,T. Young makes 2-pt shot from 1 ft
1:01.0,K. Middleton makes 2-pt shot from 1 ft,2,48-49,,
0:47.0,,,48-49,,Turnover by B. Bogdanovic (lost ball)
0:35.0,,,48-49,,Loose ball foul by B. Lopez
0:35.0,,,48-49,,Violation by Team (delay of game)
0:35.0,G. Monroe makes free throw 1 of 2,1,49-49,,
0:35.0,G. Monroe makes free throw 2 of 2,1,50-49,,
0:20.0,,,50-51,2,B. Lopez makes 2-pt shot from 2 ft
0:00.0,G. Monroe misses 2-pt shot at rim,,50-51,,
0:00.0,Offensive rebound by Team,,50-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,G. Monroe misses 2-pt shot from 2 ft (block by B. Lopez),,50-51,,
11:49.0,,,50-51,,Defensive rebound by B. Bogdanovic
11:34.0,,,50-51,,Turnover by B. Bogdanovic (lost ball)
11:22.0,G. Antetokounmpo makes 2-pt shot from 22 ft (assist by J. Bayless),2,52-51,,
11:11.0,,,52-53,2,T. Young makes 2-pt shot from 6 ft (assist by D. Sloan)
10:59.0,K. Middleton makes 3-pt shot from 23 ft (assist by G. Antetokounmpo),3,55-53,,
10:42.0,,,55-53,,Turnover by T. Young (lost ball; steal by J. Bayless)
10:38.0,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo),2,57-53,,
10:19.0,,,57-55,2,B. Lopez makes 2-pt shot from 2 ft
9:56.0,J. Bayless makes 3-pt shot from 23 ft (assist by K. Middleton),3,60-55,,
9:32.0,,,60-55,,M. Brown misses 3-pt shot from 24 ft
9:31.0,Defensive rebound by G. Antetokounmpo,,60-55,,
9:20.0,J. Parker makes 2-pt shot at rim (assist by G. Monroe),2,62-55,,
9:20.0,,,62-55,,Brooklyn full timeout
9:07.0,,,62-55,,B. Lopez misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
9:05.0,Defensive rebound by G. Monroe,,62-55,,
9:00.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,64-55,,
8:39.0,,,64-58,3,D. Sloan makes 3-pt shot from 25 ft (assist by B. Lopez)
8:17.0,J. Parker misses 3-pt shot from 23 ft,,64-58,,
8:16.0,,,64-58,,Defensive rebound by B. Bogdanovic
7:54.0,,,64-60,2,M. Brown makes 2-pt shot from 17 ft
7:30.0,Offensive foul by K. Middleton,,64-60,,
7:30.0,Turnover by K. Middleton (offensive foul),,64-60,,
7:12.0,,,64-60,,Shooting foul by G. Monroe (drawn by B. Lopez)
7:12.0,,,64-61,1,B. Lopez makes free throw 1 of 2
7:12.0,,,64-62,1,B. Lopez makes free throw 2 of 2
7:06.0,Turnover by K. Middleton (lost ball),,64-62,,
6:54.0,Personal foul by J. Bayless,,64-62,,
6:46.0,,,64-62,,Turnover by D. Sloan (lost ball; steal by K. Middleton)
6:42.0,K. Middleton makes 2-pt shot at rim,2,66-62,,
6:33.0,,,66-62,,Turnover by B. Bogdanovic (lost ball; steal by G. Antetokounmpo)
6:26.0,J. Parker misses 2-pt shot from 1 ft (block by B. Lopez),,66-62,,
6:25.0,Offensive rebound by J. Parker,,66-62,,
6:23.0,J. Parker makes 2-pt shot from 2 ft,2,68-62,,
6:03.0,,,68-62,,S. Karasev enters the game for M. Brown
5:57.0,,,68-65,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by D. Sloan)
5:41.0,K. Middleton misses 2-pt shot from 2 ft,,68-65,,
5:40.0,Offensive rebound by G. Monroe,,68-65,,
5:39.0,G. Monroe makes 2-pt shot from 1 ft,2,70-65,,
5:27.0,,,70-65,,B. Bogdanovic misses 3-pt shot from 24 ft
5:24.0,,,70-65,,Offensive rebound by T. Young
5:20.0,,,70-65,,D. Sloan misses 3-pt shot from 24 ft
5:19.0,,,70-65,,Offensive rebound by B. Lopez
5:09.0,,,70-65,,Turnover by B. Lopez (lost ball; steal by J. Bayless)
5:05.0,K. Middleton makes 2-pt shot at rim (assist by G. Antetokounmpo),2,72-65,,
5:05.0,,,72-65,,Brooklyn full timeout
4:46.0,,,72-67,2,B. Lopez makes 2-pt shot from 14 ft (assist by B. Bogdanovic)
4:18.0,J. Parker misses 2-pt shot from 10 ft,,72-67,,
4:17.0,Offensive rebound by Team,,72-67,,
4:17.0,Turnover by Team (shot clock),,72-67,,
4:03.0,,,72-69,2,B. Lopez makes 2-pt shot from 13 ft (assist by B. Bogdanovic)
3:44.0,G. Antetokounmpo makes 2-pt shot from 20 ft (assist by G. Monroe),2,74-69,,
3:21.0,,,74-69,,B. Bogdanovic misses 3-pt shot from 25 ft
3:20.0,Defensive rebound by K. Middleton,,74-69,,
3:14.0,J. Bayless misses 3-pt shot from 24 ft,,74-69,,
3:13.0,,,74-69,,Defensive rebound by B. Bogdanovic
3:07.0,,,74-71,2,T. Young makes 2-pt shot at rim (assist by B. Bogdanovic)
2:49.0,K. Middleton misses 2-pt shot from 20 ft,,74-71,,
2:48.0,,,74-71,,Defensive rebound by T. Young
2:40.0,,,74-74,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by T. Young)
2:40.0,Milwaukee full timeout,,74-74,,
2:40.0,M. Plumlee enters the game for G. Monroe,,74-74,,
2:40.0,T. Ennis enters the game for J. Bayless,,74-74,,
2:18.0,J. Parker makes 2-pt shot at rim (assist by K. Middleton),2,76-74,,
2:02.0,,,76-77,3,T. Young makes 3-pt shot from 25 ft (assist by B. Bogdanovic)
1:49.0,J. Parker misses 2-pt shot from 2 ft,,76-77,,
1:48.0,Offensive rebound by Team,,76-77,,
1:48.0,,,76-77,,Loose ball foul by T. Young
1:48.0,,,76-77,,S. Kilpatrick enters the game for B. Bogdanovic
1:35.0,J. Parker makes 2-pt shot from 20 ft (assist by T. Ennis),2,78-77,,
1:14.0,,,78-79,2,B. Lopez makes 2-pt shot from 1 ft
0:55.0,K. Middleton misses 2-pt shot from 10 ft,,78-79,,
0:54.0,,,78-79,,Defensive rebound by Team
0:54.0,,,78-79,,T. Robinson enters the game for B. Lopez
0:54.0,J. O'Bryant enters the game for G. Antetokounmpo,,78-79,,
0:33.0,,,78-79,,T. Young misses 2-pt shot from 5 ft
0:32.0,Defensive rebound by J. O'Bryant,,78-79,,
0:13.0,J. O'Bryant misses 2-pt shot at rim,,78-79,,
0:12.0,,,78-79,,Defensive rebound by D. Sloan
0:02.0,Personal foul by J. Parker,,78-79,,
0:01.0,,,78-79,,T. Young misses 2-pt shot from 20 ft
0:00.0,,,78-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,78-82,3,S. Kilpatrick makes 3-pt shot from 26 ft
11:21.0,,,78-82,,Personal foul by T. Robinson
11:17.0,K. Middleton misses 2-pt shot from 13 ft,,78-82,,
11:16.0,Offensive rebound by M. Plumlee,,78-82,,
11:09.0,T. Ennis makes 2-pt shot from 1 ft,2,80-82,,
10:48.0,,,80-82,,Turnover by S. Kilpatrick (lost ball; steal by K. Middleton)
10:43.0,K. Middleton makes 2-pt shot at rim,2,82-82,,
10:26.0,,,82-85,3,S. Kilpatrick makes 3-pt shot from 24 ft (assist by S. Larkin)
10:04.0,J. O'Bryant misses 2-pt shot from 2 ft (block by T. Robinson),,82-85,,
10:03.0,,,82-85,,Defensive rebound by T. Robinson
9:55.0,,,82-85,,Turnover by T. Robinson (step out of bounds)
9:33.0,J. O'Bryant misses 2-pt shot from 6 ft,,82-85,,
9:32.0,,,82-85,,Defensive rebound by T. Robinson
9:18.0,,,82-88,3,S. Karasev makes 3-pt shot from 24 ft (assist by S. Larkin)
9:02.0,M. Plumlee makes 2-pt shot at rim,2,84-88,,
8:45.0,,,84-90,2,T. Robinson makes 2-pt shot from 1 ft (assist by S. Larkin)
8:45.0,,,84-90,,Shooting foul by J. O'Bryant (drawn by T. Robinson)
8:45.0,Official timeout,,84-90,,
8:45.0,G. Antetokounmpo enters the game for J. O'Bryant,,84-90,,
8:45.0,,,84-91,1,T. Robinson makes free throw 1 of 1
8:31.0,K. Middleton misses 3-pt shot from 25 ft,,84-91,,
8:30.0,,,84-91,,Defensive rebound by T. Robinson
8:20.0,,,84-91,,Offensive foul by T. Robinson
8:20.0,,,84-91,,Turnover by T. Robinson (offensive foul)
8:12.0,Shooting foul by C. McCullough (drawn by G. Antetokounmpo),,84-91,,
8:12.0,G. Antetokounmpo misses free throw 1 of 2,,84-91,,
8:12.0,Offensive rebound by Team,,84-91,,
8:12.0,G. Antetokounmpo misses free throw 2 of 2,,84-91,,
8:10.0,Offensive rebound by J. Bayless,,84-91,,
8:06.0,M. Plumlee makes 2-pt shot at rim (assist by K. Middleton),2,86-91,,
8:06.0,Shooting foul by C. McCullough (drawn by M. Plumlee),,86-91,,
8:06.0,,,86-91,,T. Young enters the game for C. McCullough
8:06.0,M. Plumlee makes free throw 1 of 1,1,87-91,,
7:51.0,,,87-91,,Turnover by Team (back court)
7:41.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,89-91,,
7:40.0,,,89-91,,Brooklyn full timeout
7:40.0,,,89-91,,B. Lopez enters the game for T. Robinson
7:40.0,,,89-91,,B. Bogdanovic enters the game for S. Karasev
7:40.0,J. Parker enters the game for T. Ennis,,89-91,,
7:23.0,,,89-91,,Turnover by B. Bogdanovic (lost ball; steal by K. Middleton)
7:02.0,Turnover by G. Antetokounmpo (lost ball; steal by T. Young),,89-91,,
7:01.0,Personal foul by G. Antetokounmpo,,89-91,,
6:51.0,,,89-94,3,S. Kilpatrick makes 3-pt shot from 23 ft (assist by T. Young)
6:27.0,Turnover by J. Bayless (step out of bounds),,89-94,,
6:14.0,,,89-94,,Turnover by S. Larkin (lost ball)
6:12.0,,,89-94,,Personal foul by B. Bogdanovic
6:01.0,G. Antetokounmpo makes 2-pt shot from 7 ft,2,91-94,,
5:43.0,,,91-96,2,B. Bogdanovic makes 2-pt shot from 8 ft
5:24.0,G. Antetokounmpo makes 2-pt shot at rim,2,93-96,,
5:24.0,Shooting foul by B. Bogdanovic (drawn by G. Antetokounmpo),,93-96,,
5:24.0,G. Antetokounmpo misses free throw 1 of 1,,93-96,,
5:23.0,,,93-96,,Defensive rebound by S. Larkin
5:17.0,,,93-96,,Turnover by S. Larkin (lost ball; steal by G. Antetokounmpo)
5:10.0,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton),2,95-96,,
4:53.0,Def 3 sec tech foul by G. Antetokounmpo,,95-96,,
4:53.0,,,95-96,,B. Bogdanovic misses technical free throw
4:53.0,,,95-96,,Offensive rebound by Team
4:53.0,,,95-96,,D. Sloan enters the game for S. Larkin
4:46.0,,,95-96,,Turnover by B. Bogdanovic (lost ball; steal by K. Middleton)
4:43.0,Shooting foul by B. Bogdanovic (drawn by M. Plumlee),,95-96,,
4:43.0,M. Plumlee makes free throw 1 of 2,1,96-96,,
4:43.0,M. Plumlee misses free throw 2 of 2,,96-96,,
4:43.0,,,96-96,,Defensive rebound by B. Bogdanovic
4:27.0,,,96-96,,B. Lopez misses 2-pt shot from 7 ft
4:26.0,Defensive rebound by G. Antetokounmpo,,96-96,,
4:22.0,Shooting foul by T. Young (drawn by G. Antetokounmpo),,96-96,,
4:22.0,G. Antetokounmpo misses free throw 1 of 2,,96-96,,
4:22.0,Offensive rebound by Team,,96-96,,
4:22.0,G. Antetokounmpo makes free throw 2 of 2,1,97-96,,
4:09.0,,,97-98,2,S. Kilpatrick makes 2-pt shot from 19 ft
3:52.0,K. Middleton misses 3-pt shot from 24 ft,,97-98,,
3:51.0,,,97-98,,Defensive rebound by S. Kilpatrick
3:38.0,,,97-98,,D. Sloan misses 3-pt shot from 25 ft
3:37.0,Defensive rebound by M. Plumlee,,97-98,,
3:20.0,M. Plumlee makes 2-pt shot at rim (assist by G. Antetokounmpo),2,99-98,,
3:02.0,,,99-98,,Turnover by B. Bogdanovic (bad pass)
3:02.0,G. Monroe enters the game for M. Plumlee,,99-98,,
2:44.0,J. Bayless misses 2-pt shot from 22 ft,,99-98,,
2:43.0,Offensive rebound by J. Parker,,99-98,,
2:31.0,J. Parker misses 2-pt shot from 6 ft,,99-98,,
2:30.0,,,99-98,,Defensive rebound by T. Young
2:18.0,,,99-98,,Turnover by B. Lopez (lost ball; steal by G. Antetokounmpo)
2:14.0,Shooting foul by S. Kilpatrick (drawn by G. Antetokounmpo),,99-98,,
2:14.0,Milwaukee full timeout,,99-98,,
2:14.0,G. Antetokounmpo makes free throw 1 of 2,1,100-98,,
2:14.0,G. Antetokounmpo misses free throw 2 of 2,,100-98,,
2:13.0,,,100-98,,Defensive rebound by B. Bogdanovic
1:56.0,,,100-98,,Turnover by D. Sloan (lost ball; steal by J. Parker)
1:41.0,J. Parker makes 2-pt shot from 1 ft (assist by K. Middleton),2,102-98,,
1:41.0,Violation by Team (delay of game),,102-98,,
1:24.0,,,102-98,,S. Kilpatrick misses 3-pt shot from 25 ft
1:22.0,Defensive rebound by G. Antetokounmpo,,102-98,,
1:01.0,K. Middleton makes 3-pt shot from 25 ft,3,105-98,,
0:56.0,,,105-98,,Turnover by B. Bogdanovic (lost ball; steal by G. Antetokounmpo)
0:52.0,G. Monroe makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,107-98,,
0:52.0,,,107-98,,Brooklyn full timeout
0:44.0,,,107-98,,T. Young misses 3-pt shot from 22 ft
0:43.0,Defensive rebound by J. Parker,,107-98,,
0:38.0,,,107-98,,Personal foul by S. Kilpatrick
0:38.0,K. Middleton makes free throw 1 of 2,1,108-98,,
0:38.0,,,108-98,,C. McCullough enters the game for T. Young
0:38.0,,,108-98,,M. Brown enters the game for B. Bogdanovic
0:38.0,,,108-98,,T. Robinson enters the game for B. Lopez
