time,Boston,pts.away,score,pts.home,Detroit
2:05.0,,,23-18,,S. Blake enters the game for M. Morris
2:05.0,,,23-18,,S. Johnson enters the game for R. Jackson
2:05.0,J. Young enters the game for I. Thomas,,23-18,,
1:49.0,,,23-18,,E. Ilyasova misses 2-pt shot from 2 ft (block by A. Johnson)
1:48.0,Defensive rebound by E. Turner,,23-18,,
1:43.0,A. Bradley misses 3-pt shot from 27 ft,,23-18,,
1:42.0,Offensive rebound by E. Turner,,23-18,,
1:41.0,E. Turner misses 2-pt shot from 11 ft (block by E. Ilyasova),,23-18,,
1:40.0,,,23-18,,Defensive rebound by S. Blake
1:35.0,,,23-18,,Turnover by A. Drummond (lost ball)
1:35.0,,,23-18,,Loose ball foul by A. Drummond (drawn by K. Olynyk)
1:35.0,D. Lee enters the game for A. Johnson,,23-18,,
1:26.0,Turnover by D. Lee (lost ball),,23-18,,
1:16.0,,,23-18,,S. Johnson misses 2-pt shot from 11 ft
1:14.0,Defensive rebound by J. Young,,23-18,,
1:08.0,D. Lee misses 2-pt shot from 2 ft (block by E. Ilyasova),,23-18,,
1:06.0,Offensive rebound by Team,,23-18,,
1:02.0,E. Turner misses 2-pt shot from 14 ft,,23-18,,
1:00.0,,,23-18,,Defensive rebound by K. Caldwell-Pope
0:54.0,,,23-18,,Shooting foul by D. Lee (drawn by A. Drummond)
0:54.0,,,23-18,,A. Drummond misses free throw 1 of 2
0:54.0,,,23-18,,Offensive rebound by Team
0:54.0,,,23-18,,A. Tolliver enters the game for E. Ilyasova
0:54.0,,,23-18,,A. Drummond misses free throw 2 of 2
0:54.0,Defensive rebound by K. Olynyk,,23-18,,
0:42.0,A. Bradley misses 2-pt shot from 21 ft,,23-18,,
0:41.0,,,23-18,,Defensive rebound by S. Johnson
0:35.0,,,23-18,,S. Johnson misses 2-pt shot at rim
0:34.0,Defensive rebound by E. Turner,,23-18,,
0:24.0,D. Lee makes 2-pt shot from 15 ft (assist by K. Olynyk),2,25-18,,
0:22.0,Personal foul by J. Young (drawn by A. Drummond),,25-18,,
0:22.0,,,25-18,,A. Drummond misses free throw 1 of 2
0:22.0,,,25-18,,Offensive rebound by Team
0:22.0,,,25-18,,A. Drummond misses free throw 2 of 2
0:21.0,Defensive rebound by Team,,25-18,,
0:04.0,A. Bradley misses 3-pt shot from 25 ft,,25-18,,
0:02.0,,,25-18,,Defensive rebound by S. Johnson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,25-18,,Shooting foul by E. Turner (drawn by S. Johnson)
11:49.0,,,25-19,1,S. Johnson makes free throw 1 of 2
11:49.0,,,25-20,1,S. Johnson makes free throw 2 of 2
11:33.0,E. Turner misses 2-pt shot from 7 ft,,25-20,,
11:32.0,,,25-20,,Defensive rebound by S. Johnson
11:11.0,,,25-20,,Turnover by S. Blake (traveling)
10:55.0,D. Lee misses 2-pt shot from 4 ft,,25-20,,
10:53.0,,,25-20,,Defensive rebound by S. Johnson
10:52.0,,,25-22,2,S. Johnson makes 2-pt shot at rim
10:52.0,,,25-22,,Shooting foul by J. Crowder (drawn by S. Johnson)
10:52.0,,,25-22,,S. Johnson misses free throw 1 of 1
10:51.0,Defensive rebound by E. Turner,,25-22,,
10:28.0,E. Turner makes 2-pt shot from 11 ft,2,27-22,,
10:05.0,,,27-22,,K. Caldwell-Pope misses 2-pt shot from 13 ft
10:05.0,Defensive rebound by K. Olynyk,,27-22,,
10:03.0,Shooting foul by A. Tolliver (drawn by D. Lee),,27-22,,
10:03.0,D. Lee makes free throw 1 of 2,1,28-22,,
10:03.0,,,28-22,,M. Morris enters the game for K. Caldwell-Pope
10:03.0,D. Lee makes free throw 2 of 2,1,29-22,,
9:46.0,,,29-24,2,M. Morris makes 2-pt shot from 9 ft
9:29.0,D. Lee makes 2-pt shot at rim (assist by E. Turner),2,31-24,,
9:14.0,,,31-24,,A. Tolliver misses 3-pt shot from 26 ft
9:13.0,Defensive rebound by E. Turner,,31-24,,
9:06.0,Offensive charge foul by J. Young,,31-24,,
9:06.0,Turnover by J. Young (offensive foul),,31-24,,
8:52.0,,,31-24,,A. Baynes misses 2-pt shot from 6 ft
8:51.0,Defensive rebound by D. Lee,,31-24,,
8:34.0,Turnover by E. Turner (bad pass; steal by M. Morris),,31-24,,
8:24.0,,,31-26,2,A. Baynes makes 2-pt shot at rim (assist by A. Tolliver)
8:05.0,D. Lee misses 2-pt shot at rim,,31-26,,
8:04.0,,,31-26,,Defensive rebound by A. Baynes
7:54.0,,,31-26,,Shooting foul by K. Olynyk (drawn by A. Baynes)
7:54.0,Official timeout,,31-26,,
7:54.0,J. Sullinger enters the game for K. Olynyk,,31-26,,
7:54.0,,,31-27,1,A. Baynes makes free throw 1 of 2
7:54.0,,,31-28,1,A. Baynes makes free throw 2 of 2
7:35.0,D. Lee misses 2-pt shot from 5 ft,,31-28,,
7:33.0,,,31-28,,Defensive rebound by A. Baynes
7:22.0,,,31-30,2,A. Baynes makes 2-pt shot from 5 ft (assist by A. Tolliver)
7:07.0,J. Crowder misses 2-pt shot from 13 ft,,31-30,,
7:06.0,,,31-30,,Defensive rebound by A. Tolliver
6:53.0,,,31-33,3,A. Tolliver makes 3-pt shot from 26 ft (assist by S. Blake)
6:27.0,J. Crowder makes 2-pt shot from 1 ft (assist by J. Sullinger),2,33-33,,
6:16.0,,,33-33,,Personal foul by S. Johnson (drawn by J. Crowder)
6:16.0,Personal foul by J. Crowder,,33-33,,
6:05.0,,,33-33,,Shooting foul by E. Turner (drawn by M. Morris)
6:05.0,,,33-34,1,M. Morris makes free throw 1 of 2
6:05.0,I. Thomas enters the game for J. Young,,33-34,,
6:05.0,,,33-34,,A. Drummond enters the game for A. Baynes
6:05.0,,,33-34,,R. Jackson enters the game for S. Blake
6:05.0,,,33-35,1,M. Morris makes free throw 2 of 2
5:54.0,Shooting foul by M. Morris (drawn by J. Crowder),,33-35,,
5:54.0,,,33-35,,Detroit full timeout
5:54.0,,,33-35,,E. Ilyasova enters the game for A. Tolliver
5:54.0,A. Johnson enters the game for E. Turner,,33-35,,
5:54.0,A. Bradley enters the game for D. Lee,,33-35,,
5:54.0,J. Crowder makes free throw 1 of 2,1,34-35,,
5:54.0,,,34-35,,K. Caldwell-Pope enters the game for S. Johnson
5:54.0,J. Crowder makes free throw 2 of 2,1,35-35,,
5:41.0,,,35-37,2,R. Jackson makes 2-pt shot from 6 ft
5:41.0,,,35-37,,Shooting foul by I. Thomas (drawn by R. Jackson)
5:41.0,,,35-38,1,R. Jackson makes free throw 1 of 1
5:28.0,J. Crowder misses 2-pt shot from 4 ft,,35-38,,
5:27.0,Offensive rebound by J. Crowder,,35-38,,
5:25.0,J. Crowder makes 2-pt shot at rim,2,37-38,,
5:11.0,,,37-38,,R. Jackson misses 2-pt shot from 15 ft
5:11.0,Defensive rebound by J. Sullinger,,37-38,,
5:03.0,A. Johnson makes 2-pt shot at rim (assist by I. Thomas),2,39-38,,
4:47.0,,,39-38,,R. Jackson misses 2-pt shot from 12 ft
4:47.0,Defensive rebound by A. Bradley,,39-38,,
4:47.0,Shooting foul by R. Jackson (drawn by I. Thomas),,39-38,,
4:47.0,I. Thomas makes free throw 1 of 2,1,40-38,,
4:47.0,I. Thomas makes free throw 2 of 2,1,41-38,,
4:34.0,,,41-38,,Turnover by E. Ilyasova (traveling)
4:23.0,I. Thomas makes 2-pt shot from 16 ft,2,43-38,,
4:08.0,,,43-38,,R. Jackson misses 2-pt shot at rim
4:07.0,Defensive rebound by J. Sullinger,,43-38,,
4:02.0,I. Thomas makes 3-pt shot from 26 ft,3,46-38,,
4:02.0,,,46-38,,Detroit full timeout
4:02.0,,,46-38,,S. Blake enters the game for R. Jackson
3:42.0,,,46-40,2,K. Caldwell-Pope makes 2-pt shot from 11 ft
3:32.0,Offensive foul by A. Johnson,,46-40,,
3:32.0,Turnover by A. Johnson (offensive foul),,46-40,,
3:32.0,E. Turner enters the game for A. Johnson,,46-40,,
3:21.0,,,46-40,,Turnover by M. Morris (bad pass; steal by A. Bradley)
3:15.0,Turnover by I. Thomas (lost ball),,46-40,,
2:57.0,,,46-43,3,K. Caldwell-Pope makes 3-pt shot from 26 ft
2:38.0,I. Thomas makes 2-pt shot from 13 ft,2,48-43,,
2:21.0,,,48-45,2,K. Caldwell-Pope makes 2-pt shot from 15 ft
2:04.0,J. Sullinger makes 2-pt shot from 19 ft (assist by I. Thomas),2,50-45,,
1:47.0,,,50-48,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by M. Morris)
1:32.0,J. Sullinger misses 3-pt shot from 24 ft,,50-48,,
1:32.0,,,50-48,,Defensive rebound by S. Blake
1:17.0,,,50-48,,M. Morris misses 2-pt shot from 19 ft
1:16.0,,,50-48,,Offensive rebound by E. Ilyasova
1:16.0,,,50-48,,Shooting foul by J. Crowder (drawn by E. Ilyasova)
1:16.0,,,50-49,1,E. Ilyasova makes free throw 1 of 2
1:16.0,K. Olynyk enters the game for J. Crowder,,50-49,,
1:16.0,,,50-49,,S. Johnson enters the game for M. Morris
1:16.0,,,50-50,1,E. Ilyasova makes free throw 2 of 2
1:16.0,Boston full timeout,,50-50,,
0:59.0,J. Sullinger makes 2-pt shot from 6 ft,2,52-50,,
0:43.0,,,52-50,,A. Drummond misses 2-pt shot from 4 ft
0:42.0,,,52-50,,Offensive rebound by S. Johnson
0:42.0,,,52-52,2,S. Johnson makes 2-pt shot at rim
0:32.0,I. Thomas misses 2-pt shot at rim,,52-52,,
0:32.0,,,52-52,,Defensive rebound by E. Ilyasova
0:28.0,,,52-52,,Turnover by S. Johnson (traveling)
0:12.0,,,52-52,,Personal foul by S. Blake (drawn by I. Thomas)
0:04.0,K. Olynyk misses 3-pt shot from 27 ft,,52-52,,
0:04.0,,,52-52,,Defensive rebound by A. Drummond
0:00.0,,,52-55,3,A. Drummond makes 3-pt shot from 37 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,Personal foul by I. Thomas (drawn by R. Jackson),,52-55,,
11:45.0,,,52-55,,Turnover by K. Caldwell-Pope (lost ball)
11:33.0,J. Crowder misses 3-pt shot from 26 ft,,52-55,,
11:32.0,Offensive rebound by Team,,52-55,,
11:32.0,,,52-55,,Loose ball foul by E. Ilyasova (drawn by J. Sullinger)
11:23.0,Shooting foul by E. Ilyasova (drawn by J. Sullinger),,52-55,,
11:23.0,J. Sullinger makes free throw 1 of 2,1,53-55,,
11:23.0,J. Sullinger misses free throw 2 of 2,,53-55,,
11:22.0,,,53-55,,Defensive rebound by A. Drummond
11:00.0,,,53-55,,R. Jackson misses 3-pt shot from 27 ft
10:59.0,Defensive rebound by J. Crowder,,53-55,,
10:39.0,J. Sullinger makes 2-pt shot at rim,2,55-55,,
10:10.0,,,55-58,3,K. Caldwell-Pope makes 3-pt shot from 26 ft
9:56.0,I. Thomas makes 2-pt shot from 4 ft,2,57-58,,
9:35.0,Personal foul by A. Bradley (drawn by K. Caldwell-Pope),,57-58,,
9:26.0,,,57-58,,M. Morris misses 3-pt shot from 26 ft
9:25.0,,,57-58,,Offensive rebound by A. Drummond
9:22.0,,,57-60,2,A. Drummond makes 2-pt shot at rim
9:15.0,Offensive foul by J. Sullinger,,57-60,,
9:15.0,Turnover by J. Sullinger (offensive foul),,57-60,,
8:59.0,,,57-62,2,R. Jackson makes 2-pt shot at rim
8:37.0,J. Sullinger misses 2-pt shot from 3 ft,,57-62,,
8:37.0,Offensive rebound by J. Sullinger,,57-62,,
8:32.0,J. Sullinger misses 2-pt shot at rim,,57-62,,
8:32.0,Offensive rebound by J. Sullinger,,57-62,,
8:29.0,J. Sullinger makes 2-pt shot at rim,2,59-62,,
8:20.0,,,59-65,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by R. Jackson)
8:00.0,Shooting foul by K. Caldwell-Pope (drawn by I. Thomas),,59-65,,
8:00.0,I. Thomas makes free throw 1 of 2,1,60-65,,
8:00.0,I. Thomas makes free throw 2 of 2,1,61-65,,
7:50.0,,,61-65,,R. Jackson misses 2-pt shot from 3 ft
7:50.0,,,61-65,,Offensive rebound by Team
7:46.0,,,61-65,,R. Jackson misses 3-pt shot from 25 ft
7:46.0,,,61-65,,Offensive rebound by A. Drummond
7:43.0,,,61-67,2,A. Drummond makes 2-pt shot at rim
7:24.0,Turnover by A. Johnson (lost ball; steal by E. Ilyasova),,61-67,,
7:21.0,,,61-67,,Shooting foul by J. Crowder (drawn by E. Ilyasova)
7:21.0,,,61-68,1,E. Ilyasova makes free throw 1 of 2
7:21.0,E. Turner enters the game for J. Crowder,,61-68,,
7:21.0,J. Jerebko enters the game for A. Johnson,,61-68,,
7:21.0,,,61-69,1,E. Ilyasova makes free throw 2 of 2
7:10.0,I. Thomas misses 3-pt shot from 25 ft,,61-69,,
7:09.0,,,61-69,,Defensive rebound by A. Drummond
7:05.0,,,61-69,,Turnover by R. Jackson (lost ball)
6:58.0,,,61-69,,Personal foul by K. Caldwell-Pope (drawn by I. Thomas)
6:56.0,Turnover by I. Thomas (lost ball),,61-69,,
6:42.0,,,61-71,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
6:42.0,Boston full timeout,,61-71,,
6:42.0,T. Zeller enters the game for J. Sullinger,,61-71,,
6:27.0,Turnover by I. Thomas (lost ball; steal by A. Drummond),,61-71,,
6:10.0,,,61-71,,Shooting foul by E. Turner (drawn by E. Ilyasova)
6:10.0,,,61-71,,E. Ilyasova misses free throw 1 of 2
6:10.0,,,61-71,,Offensive rebound by Team
6:10.0,,,61-72,1,E. Ilyasova makes free throw 2 of 2
5:55.0,A. Bradley makes 2-pt shot from 20 ft (assist by T. Zeller),2,63-72,,
5:42.0,,,63-72,,M. Morris misses 2-pt shot from 6 ft
5:41.0,Defensive rebound by Team,,63-72,,
5:41.0,,,63-72,,Loose ball foul by A. Drummond (drawn by T. Zeller)
5:41.0,T. Zeller misses free throw 1 of 2,,63-72,,
5:41.0,Offensive rebound by Team,,63-72,,
5:41.0,T. Zeller misses free throw 2 of 2,,63-72,,
5:40.0,,,63-72,,Defensive rebound by A. Drummond
5:37.0,Personal take foul by T. Zeller (drawn by A. Drummond),,63-72,,
5:37.0,,,63-73,1,A. Drummond makes free throw 1 of 2
5:37.0,,,63-73,,A. Drummond misses free throw 2 of 2
5:34.0,Defensive rebound by E. Turner,,63-73,,
5:16.0,I. Thomas makes 2-pt shot from 21 ft,2,65-73,,
5:14.0,Personal take foul by J. Jerebko (drawn by A. Drummond),,65-73,,
5:14.0,,,65-74,1,A. Drummond makes free throw 1 of 2
5:14.0,Violation by T. Zeller (lane),,65-74,,
5:14.0,,,65-74,,A. Drummond misses free throw 2 of 2
5:13.0,Defensive rebound by E. Turner,,65-74,,
4:56.0,T. Zeller misses 2-pt shot at rim,,65-74,,
4:56.0,Offensive rebound by Team,,65-74,,
4:56.0,T. Zeller makes 2-pt shot at rim (assist by I. Thomas),2,67-74,,
4:56.0,Personal take foul by J. Jerebko (drawn by A. Drummond),,67-74,,
4:56.0,,,67-75,1,A. Drummond makes free throw 1 of 2
4:56.0,,,67-75,,A. Baynes enters the game for A. Drummond
4:56.0,,,67-75,,A. Drummond misses free throw 2 of 2
4:56.0,Defensive rebound by Team,,67-75,,
4:32.0,A. Bradley misses 2-pt shot from 18 ft,,67-75,,
4:32.0,Offensive rebound by Team,,67-75,,
4:19.0,T. Zeller makes 2-pt shot from 6 ft (assist by E. Turner),2,69-75,,
4:05.0,,,69-75,,R. Jackson misses 2-pt shot from 5 ft
4:04.0,Defensive rebound by E. Turner,,69-75,,
4:01.0,,,69-75,,S. Johnson enters the game for M. Morris
3:55.0,T. Zeller misses 2-pt shot from 8 ft,,69-75,,
3:54.0,,,69-75,,Defensive rebound by Team
3:31.0,,,69-77,2,S. Johnson makes 2-pt shot from 3 ft
3:02.0,I. Thomas makes 2-pt shot at rim,2,71-77,,
2:49.0,Personal foul by A. Bradley (drawn by K. Caldwell-Pope),,71-77,,
2:49.0,,,71-77,,Detroit full timeout
2:49.0,K. Olynyk enters the game for A. Bradley,,71-77,,
2:49.0,,,71-77,,S. Blake enters the game for R. Jackson
2:49.0,,,71-78,1,K. Caldwell-Pope makes free throw 1 of 2
2:49.0,,,71-79,1,K. Caldwell-Pope makes free throw 2 of 2
2:30.0,T. Zeller makes 2-pt shot from 4 ft,2,73-79,,
2:10.0,,,73-79,,K. Caldwell-Pope misses 3-pt shot from 26 ft
2:10.0,Defensive rebound by J. Jerebko,,73-79,,
1:58.0,E. Turner misses 2-pt shot from 6 ft,,73-79,,
1:58.0,,,73-79,,Defensive rebound by E. Ilyasova
1:50.0,,,73-79,,S. Blake misses 2-pt shot from 20 ft
1:50.0,Defensive rebound by Team,,73-79,,
1:50.0,,,73-79,,J. Anthony enters the game for A. Baynes
1:39.0,I. Thomas makes 2-pt shot at rim,2,75-79,,
1:35.0,Personal take foul by T. Zeller (drawn by J. Anthony),,75-79,,
1:35.0,,,75-80,1,J. Anthony makes free throw 1 of 2
1:35.0,,,75-80,,J. Anthony misses free throw 2 of 2
1:34.0,Defensive rebound by T. Zeller,,75-80,,
1:20.0,Shooting foul by E. Ilyasova (drawn by T. Zeller),,75-80,,
1:20.0,T. Zeller makes free throw 1 of 2,1,76-80,,
1:20.0,,,76-80,,A. Tolliver enters the game for E. Ilyasova
1:20.0,,,76-80,,A. Baynes enters the game for J. Anthony
1:20.0,T. Zeller makes free throw 2 of 2,1,77-80,,
1:06.0,,,77-82,2,K. Caldwell-Pope makes 2-pt shot from 18 ft
0:51.0,I. Thomas misses 2-pt shot from 13 ft,,77-82,,
0:50.0,Offensive rebound by T. Zeller,,77-82,,
0:50.0,T. Zeller makes 2-pt shot at rim,2,79-82,,
0:37.0,,,79-84,2,A. Baynes makes 2-pt shot from 3 ft (assist by S. Blake)
0:37.0,,,79-84,,Shooting foul by T. Zeller (drawn by A. Baynes)
0:37.0,,,79-85,1,A. Baynes makes free throw 1 of 1
0:31.0,Shooting foul by A. Baynes (drawn by I. Thomas),,79-85,,
0:31.0,I. Thomas makes free throw 1 of 2,1,80-85,,
0:31.0,I. Thomas makes free throw 2 of 2,1,81-85,,
0:12.0,,,81-85,,S. Blake misses 2-pt shot from 18 ft
0:12.0,Defensive rebound by T. Zeller,,81-85,,
0:05.0,I. Thomas makes 2-pt shot from 14 ft,2,83-85,,
0:00.0,,,83-85,,S. Blake misses 2-pt shot from 15 ft (block by K. Olynyk)
0:00.0,,,83-85,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,T. Zeller makes 2-pt shot at rim (assist by K. Olynyk),2,85-85,,
11:33.0,,,85-85,,A. Drummond misses 2-pt shot from 6 ft
11:32.0,Defensive rebound by Team,,85-85,,
11:32.0,,,85-85,,Loose ball foul by A. Drummond (drawn by T. Zeller)
11:32.0,,,85-85,,Violation by Team (delay of game)
11:19.0,I. Thomas misses 2-pt shot from 6 ft (block by K. Caldwell-Pope),,85-85,,
11:17.0,Offensive rebound by I. Thomas,,85-85,,
11:12.0,E. Turner misses 2-pt shot from 10 ft,,85-85,,
11:12.0,,,85-85,,Defensive rebound by A. Drummond
10:56.0,,,85-85,,K. Caldwell-Pope misses 2-pt shot from 19 ft
10:56.0,Defensive rebound by E. Turner,,85-85,,
10:48.0,,,85-85,,Personal foul by A. Tolliver (drawn by E. Turner)
10:45.0,Offensive foul by T. Zeller,,85-85,,
10:45.0,Turnover by T. Zeller (offensive foul),,85-85,,
10:45.0,A. Bradley enters the game for I. Thomas,,85-85,,
10:31.0,,,85-87,2,K. Caldwell-Pope makes 2-pt shot from 18 ft
10:14.0,Turnover by J. Jerebko (lost ball; steal by K. Caldwell-Pope),,85-87,,
10:08.0,,,85-89,2,K. Caldwell-Pope makes 2-pt shot at rim
10:01.0,Offensive charge foul by E. Turner,,85-89,,
10:01.0,Turnover by E. Turner (offensive foul),,85-89,,
9:44.0,,,85-89,,K. Caldwell-Pope misses 2-pt shot from 17 ft
9:43.0,Defensive rebound by J. Jerebko,,85-89,,
9:35.0,Turnover by T. Zeller (lost ball; steal by A. Drummond),,85-89,,
9:28.0,,,85-89,,A. Tolliver misses 2-pt shot from 1 ft
9:28.0,,,85-89,,Offensive rebound by A. Drummond
9:28.0,,,85-91,2,A. Drummond makes 2-pt shot at rim
9:12.0,K. Olynyk misses 3-pt shot from 25 ft,,85-91,,
9:12.0,Offensive rebound by Team,,85-91,,
9:12.0,,,85-91,,Loose ball foul by S. Blake (drawn by E. Turner)
9:12.0,J. Crowder enters the game for J. Jerebko,,85-91,,
9:12.0,Violation by Team (delay of game),,85-91,,
9:12.0,A. Johnson enters the game for T. Zeller,,85-91,,
8:59.0,A. Bradley misses 2-pt shot from 20 ft,,85-91,,
8:58.0,,,85-91,,Defensive rebound by S. Johnson
8:42.0,,,85-94,3,A. Tolliver makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope)
8:41.0,Boston full timeout,,85-94,,
8:41.0,I. Thomas enters the game for E. Turner,,85-94,,
8:41.0,J. Sullinger enters the game for K. Olynyk,,85-94,,
8:23.0,A. Johnson misses 3-pt shot from 23 ft,,85-94,,
8:23.0,,,85-94,,Defensive rebound by K. Caldwell-Pope
8:16.0,,,85-97,3,A. Tolliver makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope)
7:53.0,A. Johnson misses 2-pt shot at rim (block by A. Tolliver),,85-97,,
7:52.0,,,85-97,,Defensive rebound by A. Tolliver
7:50.0,,,85-97,,Shooting foul by J. Sullinger (drawn by K. Caldwell-Pope)
7:50.0,,,85-98,1,K. Caldwell-Pope makes free throw 1 of 2
7:50.0,,,85-99,1,K. Caldwell-Pope makes free throw 2 of 2
7:36.0,J. Sullinger makes 3-pt shot from 27 ft (assist by I. Thomas),3,88-99,,
7:16.0,,,88-99,,A. Drummond misses 2-pt shot at rim
7:14.0,Defensive rebound by J. Crowder,,88-99,,
7:06.0,I. Thomas misses 3-pt shot from 25 ft,,88-99,,
7:05.0,Offensive rebound by J. Sullinger,,88-99,,
6:59.0,J. Sullinger makes 2-pt shot at rim,2,90-99,,
6:39.0,,,90-99,,S. Blake misses 3-pt shot from 24 ft
6:39.0,Defensive rebound by J. Crowder,,90-99,,
6:27.0,Boston full timeout,,90-99,,
6:27.0,,,90-99,,R. Jackson enters the game for S. Blake
6:27.0,,,90-99,,M. Morris enters the game for S. Johnson
6:17.0,J. Crowder misses 2-pt shot from 7 ft,,90-99,,
6:16.0,,,90-99,,Defensive rebound by A. Drummond
6:00.0,,,90-101,2,K. Caldwell-Pope makes 2-pt shot at rim
