time,Chicago,pts.away,score,pts.home,Sacramento
2:28.0,,,27-20,2,D. Collison makes 2-pt shot from 4 ft (assist by B. McLemore)
2:28.0,,,27-20,,Shooting foul by E. Moore (drawn by D. Collison)
2:28.0,,,27-21,1,D. Collison makes free throw 1 of 1
2:09.0,P. Gasol makes 3-pt shot from 24 ft (assist by D. Rose),3,30-21,,
1:56.0,,,30-21,,K. Koufos misses 2-pt shot from 7 ft
1:56.0,Defensive rebound by Team,,30-21,,
1:56.0,,,30-21,,Loose ball foul by K. Koufos (drawn by P. Gasol)
1:43.0,D. Rose makes 2-pt shot from 19 ft (assist by E. Moore),2,32-21,,
1:22.0,,,32-23,2,D. Collison makes 2-pt shot from 17 ft (assist by K. Koufos)
1:10.0,Turnover by D. Rose (bad pass; steal by O. Casspi),,32-23,,
1:03.0,,,32-23,,B. McLemore misses 3-pt shot from 25 ft
1:03.0,Defensive rebound by P. Gasol,,32-23,,
0:56.0,D. Rose misses 2-pt shot from 3 ft,,32-23,,
0:56.0,Offensive rebound by D. Rose,,32-23,,
0:56.0,Shooting foul by R. Gay (drawn by D. Rose),,32-23,,
0:56.0,D. Rose makes free throw 1 of 2,1,33-23,,
0:56.0,K. Hinrich enters the game for E. Moore,,33-23,,
0:56.0,D. Rose makes free throw 2 of 2,1,34-23,,
0:40.0,,,34-23,,R. Gay misses 2-pt shot from 11 ft
0:40.0,Defensive rebound by B. Portis,,34-23,,
0:30.0,D. Rose misses 2-pt shot from 12 ft (block by K. Koufos),,34-23,,
0:30.0,,,34-23,,Defensive rebound by Team
0:30.0,Loose ball foul by D. Rose (drawn by B. McLemore),,34-23,,
0:09.0,,,34-25,2,O. Casspi makes 2-pt shot from 8 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,34-25,,D. Collison misses 3-pt shot from 24 ft
11:38.0,Defensive rebound by T. Gibson,,34-25,,
11:18.0,D. McDermott makes 3-pt shot from 24 ft (assist by K. Hinrich),3,37-25,,
10:54.0,,,37-27,2,D. Collison makes 2-pt shot from 2 ft
10:33.0,D. McDermott misses 3-pt shot from 25 ft,,37-27,,
10:33.0,Offensive rebound by K. Hinrich,,37-27,,
10:28.0,B. Portis makes 2-pt shot from 15 ft (assist by K. Hinrich),2,39-27,,
10:20.0,,,39-29,2,D. Collison makes 2-pt shot from 2 ft
9:59.0,A. Brooks misses 2-pt shot from 6 ft,,39-29,,
9:59.0,,,39-29,,Defensive rebound by O. Casspi
9:52.0,,,39-29,,O. Casspi misses 3-pt shot from 24 ft
9:51.0,Defensive rebound by T. Gibson,,39-29,,
9:47.0,,,39-29,,Personal foul by B. McLemore (drawn by D. McDermott)
9:47.0,D. McDermott misses free throw 1 of 2,,39-29,,
9:47.0,Offensive rebound by Team,,39-29,,
9:47.0,,,39-29,,D. Cousins enters the game for K. Koufos
9:47.0,D. McDermott makes free throw 2 of 2,1,40-29,,
9:32.0,,,40-29,,R. Gay misses 2-pt shot from 2 ft
9:31.0,Defensive rebound by K. Hinrich,,40-29,,
9:21.0,B. Portis misses 3-pt shot from 23 ft,,40-29,,
9:21.0,,,40-29,,Defensive rebound by O. Casspi
9:20.0,Personal foul by T. Gibson (drawn by O. Casspi),,40-29,,
9:02.0,,,40-32,3,B. McLemore makes 3-pt shot from 22 ft (assist by R. Gay)
8:46.0,T. Gibson makes 2-pt shot from 6 ft (assist by K. Hinrich),2,42-32,,
8:31.0,,,42-34,2,B. McLemore makes 2-pt shot from 3 ft
8:20.0,Turnover by B. Portis (lost ball; steal by B. McLemore),,42-34,,
8:17.0,,,42-36,2,D. Collison makes 2-pt shot from 2 ft (assist by B. McLemore)
8:17.0,Chicago full timeout,,42-36,,
8:17.0,E. Moore enters the game for D. McDermott,,42-36,,
8:17.0,,,42-36,,M. Belinelli enters the game for R. Gay
7:59.0,A. Brooks misses 2-pt shot from 17 ft,,42-36,,
7:58.0,,,42-36,,Defensive rebound by B. McLemore
7:42.0,,,42-39,3,O. Casspi makes 3-pt shot from 25 ft (assist by D. Cousins)
7:23.0,K. Hinrich makes 3-pt shot from 25 ft,3,45-39,,
7:04.0,,,45-39,,Shooting foul by T. Gibson (drawn by D. Cousins)
7:04.0,,,45-40,1,D. Cousins makes free throw 1 of 2
7:04.0,P. Gasol enters the game for B. Portis,,45-40,,
7:04.0,T. Snell enters the game for A. Brooks,,45-40,,
7:04.0,,,45-41,1,D. Cousins makes free throw 2 of 2
6:47.0,K. Hinrich misses 2-pt shot from 8 ft,,45-41,,
6:47.0,,,45-41,,Defensive rebound by O. Casspi
6:39.0,,,45-41,,D. Cousins misses 2-pt shot from 4 ft
6:37.0,Defensive rebound by T. Snell,,45-41,,
6:27.0,T. Snell misses 2-pt shot from 3 ft (block by O. Casspi),,45-41,,
6:26.0,Offensive rebound by T. Snell,,45-41,,
6:24.0,T. Snell makes 2-pt shot from 2 ft,2,47-41,,
6:11.0,,,47-43,2,D. Collison makes 2-pt shot from 5 ft
6:11.0,,,47-43,,Shooting foul by K. Hinrich (drawn by D. Collison)
6:11.0,D. Rose enters the game for T. Gibson,,47-43,,
6:11.0,B. Portis enters the game for K. Hinrich,,47-43,,
6:11.0,,,47-43,,D. Collison misses free throw 1 of 1
6:10.0,Defensive rebound by P. Gasol,,47-43,,
5:46.0,T. Snell makes 2-pt shot from 18 ft (assist by P. Gasol),2,49-43,,
5:38.0,,,49-43,,D. Cousins misses 2-pt shot from 5 ft
5:37.0,Defensive rebound by P. Gasol,,49-43,,
5:31.0,E. Moore misses 3-pt shot from 23 ft,,49-43,,
5:31.0,,,49-43,,Defensive rebound by B. McLemore
5:20.0,,,49-45,2,D. Cousins makes 2-pt shot from 2 ft (assist by B. McLemore)
5:03.0,P. Gasol misses 2-pt shot from 20 ft,,49-45,,
5:02.0,Offensive rebound by B. Portis,,49-45,,
4:59.0,B. Portis makes 2-pt shot from 3 ft,2,51-45,,
4:45.0,,,51-47,2,O. Casspi makes 2-pt shot from 6 ft (assist by D. Collison)
4:35.0,,,51-47,,Technical foul by O. Casspi
4:35.0,Technical foul by B. Portis,,51-47,,
4:35.0,Official timeout,,51-47,,
4:35.0,D. McDermott enters the game for B. Portis,,51-47,,
4:35.0,,,51-47,,W. Cauley-Stein enters the game for O. Casspi
4:35.0,,,51-47,,R. Rondo enters the game for B. McLemore
4:30.0,D. Rose misses 2-pt shot from 10 ft,,51-47,,
4:29.0,,,51-47,,Defensive rebound by W. Cauley-Stein
4:11.0,Loose ball foul by D. McDermott (drawn by W. Cauley-Stein),,51-47,,
3:57.0,,,51-47,,D. Collison misses 3-pt shot from 28 ft
3:56.0,Defensive rebound by D. McDermott,,51-47,,
3:44.0,P. Gasol misses 2-pt shot from 3 ft,,51-47,,
3:42.0,Offensive rebound by P. Gasol,,51-47,,
3:42.0,P. Gasol makes 2-pt shot from 1 ft,2,53-47,,
3:27.0,,,53-47,,M. Belinelli misses 2-pt shot from 15 ft
3:26.0,Defensive rebound by P. Gasol,,53-47,,
3:23.0,T. Snell makes 2-pt shot at rim (assist by D. Rose),2,55-47,,
3:04.0,,,55-47,,D. Cousins misses 2-pt shot from 20 ft
3:03.0,Defensive rebound by T. Snell,,55-47,,
2:56.0,D. McDermott makes 2-pt shot from 15 ft (assist by D. Rose),2,57-47,,
2:39.0,,,57-47,,R. Rondo misses 2-pt shot from 2 ft
2:38.0,Defensive rebound by D. Rose,,57-47,,
2:28.0,Turnover by P. Gasol (bad pass; steal by D. Cousins),,57-47,,
2:14.0,,,57-50,3,M. Belinelli makes 3-pt shot from 23 ft (assist by D. Cousins)
2:00.0,,,57-50,,Personal foul by W. Cauley-Stein (drawn by P. Gasol)
2:00.0,,,57-50,,Sacramento full timeout
2:00.0,,,57-50,,R. Gay enters the game for W. Cauley-Stein
2:00.0,,,57-50,,B. McLemore enters the game for D. Collison
1:56.0,P. Gasol misses 2-pt shot from 2 ft,,57-50,,
1:55.0,,,57-50,,Defensive rebound by B. McLemore
1:44.0,,,57-50,,D. Cousins misses 3-pt shot from 24 ft
1:43.0,Defensive rebound by T. Snell,,57-50,,
1:35.0,Shooting foul by D. Cousins (drawn by D. Rose),,57-50,,
1:35.0,D. Rose makes free throw 1 of 2,1,58-50,,
1:35.0,D. Rose misses free throw 2 of 2,,58-50,,
1:35.0,,,58-50,,Defensive rebound by R. Gay
1:19.0,,,58-52,2,D. Cousins makes 2-pt shot from 19 ft (assist by R. Rondo)
1:07.0,P. Gasol misses 2-pt shot from 4 ft,,58-52,,
1:06.0,,,58-52,,Defensive rebound by D. Cousins
1:03.0,,,58-52,,Turnover by D. Cousins (bad pass; steal by E. Moore)
1:00.0,E. Moore makes 2-pt shot from 5 ft,2,60-52,,
0:44.0,,,60-54,2,R. Gay makes 2-pt shot from 3 ft
0:35.0,D. Rose misses 2-pt shot from 14 ft,,60-54,,
0:34.0,,,60-54,,Defensive rebound by M. Belinelli
0:26.0,,,60-57,3,M. Belinelli makes 3-pt shot from 25 ft (assist by D. Cousins)
0:26.0,Chicago full timeout,,60-57,,
0:26.0,,,60-57,,K. Koufos enters the game for R. Gay
0:26.0,,,60-57,,O. Casspi enters the game for D. Cousins
0:00.0,E. Moore misses 2-pt shot from 15 ft,,60-57,,
0:00.0,Offensive rebound by Team,,60-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:33.0,,,60-57,,R. Gay misses 3-pt shot from 25 ft
11:32.0,,,60-57,,Offensive rebound by R. Rondo
11:31.0,,,60-57,,Turnover by R. Rondo (lost ball)
11:12.0,Turnover by D. Rose (step out of bounds),,60-57,,
11:10.0,Violation by Team (jump ball),,60-57,,
11:01.0,,,60-57,,M. Belinelli misses 2-pt shot from 10 ft
10:59.0,,,60-57,,Offensive rebound by W. Cauley-Stein
10:59.0,,,60-57,,W. Cauley-Stein misses 2-pt shot from 3 ft
10:58.0,Defensive rebound by T. Snell,,60-57,,
10:48.0,T. Gibson misses 2-pt shot from 3 ft,,60-57,,
10:47.0,,,60-57,,Defensive rebound by D. Cousins
10:31.0,,,60-57,,M. Belinelli misses 3-pt shot from 23 ft
10:30.0,,,60-57,,Offensive rebound by R. Gay
10:27.0,,,60-59,2,R. Gay makes 2-pt shot from 2 ft
10:08.0,Turnover by T. Gibson (bad pass; steal by M. Belinelli),,60-59,,
10:00.0,,,60-59,,Shooting foul by T. Gibson (drawn by D. Cousins)
10:00.0,,,60-60,1,D. Cousins makes free throw 1 of 2
10:00.0,,,60-60,,D. Cousins misses free throw 2 of 2
9:59.0,Defensive rebound by E. Moore,,60-60,,
9:38.0,P. Gasol misses 2-pt shot from 8 ft,,60-60,,
9:37.0,Offensive rebound by Team,,60-60,,
9:35.0,P. Gasol misses 2-pt shot from 4 ft (block by W. Cauley-Stein),,60-60,,
9:33.0,,,60-60,,Defensive rebound by D. Cousins
9:20.0,,,60-62,2,W. Cauley-Stein makes 2-pt shot from 5 ft (assist by D. Cousins)
9:06.0,D. Rose makes 2-pt shot from 11 ft,2,62-62,,
8:55.0,Personal foul by E. Moore (drawn by R. Gay),,62-62,,
8:49.0,,,62-62,,M. Belinelli misses 2-pt shot from 4 ft
8:48.0,Defensive rebound by P. Gasol,,62-62,,
8:44.0,T. Gibson makes 2-pt shot at rim (assist by E. Moore),2,64-62,,
8:44.0,Shooting foul by W. Cauley-Stein (drawn by T. Gibson),,64-62,,
8:44.0,,,64-62,,Sacramento full timeout
8:44.0,T. Gibson makes free throw 1 of 1,1,65-62,,
8:26.0,,,65-62,,R. Gay misses 2-pt shot from 5 ft
8:26.0,Defensive rebound by P. Gasol,,65-62,,
8:17.0,Turnover by D. Rose (bad pass; steal by D. Cousins),,65-62,,
8:16.0,Personal foul by E. Moore (drawn by D. Cousins),,65-62,,
7:47.0,,,65-62,,Turnover by Team (shot clock)
7:31.0,T. Gibson makes 2-pt shot from 4 ft (assist by P. Gasol),2,67-62,,
7:09.0,,,67-62,,R. Rondo misses 3-pt shot from 24 ft
7:08.0,,,67-62,,Offensive rebound by R. Gay
7:03.0,,,67-64,2,R. Gay makes 2-pt shot from 8 ft
6:53.0,Turnover by P. Gasol (bad pass; steal by R. Rondo),,67-64,,
6:53.0,Personal foul by P. Gasol (drawn by R. Rondo),,67-64,,
6:53.0,,,67-64,,K. Koufos enters the game for W. Cauley-Stein
6:35.0,,,67-64,,Turnover by R. Rondo (lost ball)
6:18.0,T. Gibson makes 2-pt shot at rim (assist by E. Moore),2,69-64,,
6:03.0,,,69-64,,Turnover by D. Cousins (bad pass; steal by D. Rose)
6:02.0,,,69-64,,Personal foul by M. Belinelli (drawn by D. Rose)
5:52.0,Offensive foul by P. Gasol,,69-64,,
5:52.0,Turnover by P. Gasol (offensive foul),,69-64,,
5:38.0,,,69-64,,Turnover by M. Belinelli (lost ball)
5:27.0,Turnover by P. Gasol (lost ball; steal by M. Belinelli),,69-64,,
5:26.0,,,69-64,,Turnover by M. Belinelli (step out of bounds)
5:20.0,E. Moore misses 2-pt shot from 19 ft,,69-64,,
5:19.0,,,69-64,,Defensive rebound by K. Koufos
5:14.0,,,69-64,,Turnover by R. Rondo (bad pass; steal by T. Snell)
5:09.0,E. Moore misses 2-pt shot from 3 ft (block by D. Cousins),,69-64,,
5:06.0,,,69-64,,Defensive rebound by D. Cousins
5:04.0,,,69-64,,Offensive charge foul by R. Gay
5:04.0,,,69-64,,Turnover by R. Gay (offensive foul)
5:04.0,B. Portis enters the game for P. Gasol,,69-64,,
4:52.0,D. Rose misses 2-pt shot from 14 ft (block by R. Gay),,69-64,,
4:51.0,,,69-64,,Defensive rebound by M. Belinelli
4:40.0,,,69-66,2,R. Gay makes 2-pt shot from 20 ft (assist by R. Rondo)
4:40.0,Chicago full timeout,,69-66,,
4:40.0,D. McDermott enters the game for T. Snell,,69-66,,
4:40.0,,,69-66,,O. Casspi enters the game for K. Koufos
4:24.0,D. Rose misses 2-pt shot from 18 ft,,69-66,,
4:23.0,,,69-66,,Defensive rebound by O. Casspi
4:18.0,,,69-66,,R. Rondo misses 2-pt shot from 3 ft
4:15.0,Defensive rebound by D. McDermott,,69-66,,
4:05.0,E. Moore makes 3-pt shot from 25 ft (assist by T. Gibson),3,72-66,,
3:48.0,,,72-68,2,D. Cousins makes 2-pt shot from 20 ft (assist by R. Rondo)
3:32.0,D. Rose makes 2-pt shot from 12 ft,2,74-68,,
3:18.0,,,74-70,2,D. Cousins makes 2-pt shot from 19 ft (assist by R. Rondo)
3:01.0,D. Rose misses 2-pt shot from 16 ft,,74-70,,
3:00.0,,,74-70,,Defensive rebound by R. Gay
2:48.0,,,74-70,,R. Gay misses 2-pt shot from 20 ft
2:47.0,Defensive rebound by E. Moore,,74-70,,
2:34.0,B. Portis misses 2-pt shot from 19 ft,,74-70,,
2:32.0,,,74-70,,Defensive rebound by O. Casspi
2:27.0,,,74-70,,Shooting foul by B. Portis (drawn by D. Cousins)
2:27.0,,,74-71,1,D. Cousins makes free throw 1 of 2
2:27.0,P. Gasol enters the game for T. Gibson,,74-71,,
2:27.0,,,74-71,,D. Collison enters the game for R. Gay
2:27.0,,,74-71,,B. McLemore enters the game for M. Belinelli
2:27.0,,,74-71,,D. Cousins misses free throw 2 of 2
2:23.0,Defensive rebound by D. Rose,,74-71,,
2:03.0,E. Moore misses 2-pt shot from 11 ft,,74-71,,
2:02.0,Offensive rebound by E. Moore,,74-71,,
1:56.0,E. Moore makes 2-pt shot from 10 ft,2,76-71,,
1:50.0,,,76-71,,O. Casspi misses 2-pt shot from 21 ft
1:49.0,Defensive rebound by D. Rose,,76-71,,
1:40.0,E. Moore makes 2-pt shot from 6 ft (assist by D. Rose),2,78-71,,
1:23.0,,,78-73,2,D. Cousins makes 2-pt shot from 3 ft (assist by O. Casspi)
1:22.0,Chicago full timeout,,78-73,,
1:22.0,,,78-73,,K. Koufos enters the game for D. Cousins
1:04.0,,,78-73,,Personal foul by R. Rondo (drawn by P. Gasol)
1:04.0,K. Hinrich enters the game for D. Rose,,78-73,,
1:00.0,D. McDermott misses 3-pt shot from 26 ft,,78-73,,
1:00.0,,,78-73,,Defensive rebound by O. Casspi
0:50.0,,,78-73,,O. Casspi misses 2-pt shot from 3 ft
0:49.0,Defensive rebound by P. Gasol,,78-73,,
0:40.0,P. Gasol makes 2-pt shot from 17 ft (assist by K. Hinrich),2,80-73,,
0:25.0,,,80-75,2,R. Rondo makes 2-pt shot from 19 ft
0:03.0,E. Moore misses 2-pt shot from 8 ft,,80-75,,
0:02.0,,,80-75,,Defensive rebound by K. Koufos
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,A. Brooks misses 3-pt shot from 27 ft,,80-75,,
11:37.0,,,80-75,,Defensive rebound by K. Koufos
11:34.0,Personal foul by A. Brooks (drawn by R. Gay),,80-75,,
11:23.0,,,80-75,,R. Gay misses 3-pt shot from 25 ft
11:22.0,Defensive rebound by K. Hinrich,,80-75,,
11:09.0,B. Portis makes 2-pt shot from 3 ft,2,82-75,,
10:55.0,,,82-77,2,D. Collison makes 2-pt shot from 18 ft
10:39.0,Shooting foul by R. Gay (drawn by T. Gibson),,82-77,,
10:39.0,T. Gibson makes free throw 1 of 2,1,83-77,,
10:39.0,T. Gibson misses free throw 2 of 2,,83-77,,
10:39.0,,,83-77,,Defensive rebound by K. Koufos
10:15.0,,,83-80,3,O. Casspi makes 3-pt shot from 25 ft
9:52.0,D. McDermott makes 3-pt shot from 27 ft (assist by K. Hinrich),3,86-80,,
9:44.0,,,86-80,,B. McLemore misses 2-pt shot from 4 ft
9:43.0,Defensive rebound by B. Portis,,86-80,,
9:28.0,B. Portis misses 2-pt shot from 5 ft,,86-80,,
9:27.0,,,86-80,,Defensive rebound by R. Gay
9:19.0,,,86-80,,Turnover by B. McLemore (lost ball; steal by T. Gibson)
9:02.0,A. Brooks makes 3-pt shot from 25 ft,3,89-80,,
9:02.0,,,89-80,,Sacramento full timeout
9:02.0,,,89-80,,M. Belinelli enters the game for B. McLemore
8:38.0,,,89-80,,M. Belinelli misses 3-pt shot from 24 ft
8:37.0,Defensive rebound by A. Brooks,,89-80,,
8:22.0,D. McDermott misses 3-pt shot from 25 ft,,89-80,,
8:22.0,,,89-80,,Defensive rebound by K. Koufos
8:13.0,,,89-80,,Shooting foul by B. Portis (drawn by R. Gay)
8:13.0,,,89-81,1,R. Gay makes free throw 1 of 2
8:13.0,,,89-81,,D. Cousins enters the game for K. Koufos
8:13.0,P. Gasol enters the game for B. Portis,,89-81,,
8:13.0,,,89-82,1,R. Gay makes free throw 2 of 2
7:59.0,D. McDermott misses 3-pt shot from 24 ft,,89-82,,
7:58.0,Offensive rebound by T. Gibson,,89-82,,
7:55.0,D. McDermott makes 2-pt shot at rim (assist by T. Gibson),2,91-82,,
7:38.0,,,91-82,,R. Gay misses 2-pt shot from 7 ft
7:38.0,Defensive rebound by P. Gasol,,91-82,,
7:38.0,,,91-82,,Personal foul by R. Gay (drawn by P. Gasol)
7:38.0,,,91-82,,R. Rondo enters the game for O. Casspi
7:38.0,,,91-82,,W. Cauley-Stein enters the game for R. Gay
7:21.0,A. Brooks misses 2-pt shot from 8 ft,,91-82,,
7:21.0,Offensive rebound by Team,,91-82,,
7:17.0,P. Gasol misses 2-pt shot from 19 ft,,91-82,,
7:17.0,,,91-82,,Defensive rebound by M. Belinelli
7:08.0,Def 3 sec tech foul by T. Gibson,,91-82,,
7:08.0,,,91-83,1,M. Belinelli makes technical free throw
7:01.0,,,91-83,,Turnover by D. Cousins (bad pass; steal by P. Gasol)
6:51.0,P. Gasol makes 2-pt shot from 17 ft (assist by A. Brooks),2,93-83,,
6:34.0,,,93-83,,R. Rondo misses 2-pt shot from 4 ft
6:34.0,Defensive rebound by T. Gibson,,93-83,,
6:22.0,A. Brooks misses 3-pt shot from 27 ft,,93-83,,
6:21.0,,,93-83,,Defensive rebound by D. Collison
6:17.0,,,93-83,,Shooting foul by K. Hinrich (drawn by D. Collison)
6:17.0,,,93-84,1,D. Collison makes free throw 1 of 2
6:17.0,D. Rose enters the game for K. Hinrich,,93-84,,
6:17.0,E. Moore enters the game for A. Brooks,,93-84,,
6:17.0,,,93-85,1,D. Collison makes free throw 2 of 2
6:04.0,Turnover by P. Gasol (bad pass; steal by M. Belinelli),,93-85,,
6:03.0,Personal foul by T. Gibson (drawn by M. Belinelli),,93-85,,
5:45.0,,,93-85,,D. Cousins misses 2-pt shot from 2 ft
5:43.0,Defensive rebound by T. Gibson,,93-85,,
5:36.0,D. McDermott misses 2-pt shot from 8 ft (block by W. Cauley-Stein),,93-85,,
5:35.0,Offensive rebound by P. Gasol,,93-85,,
5:34.0,P. Gasol misses 2-pt shot from 1 ft,,93-85,,
5:32.0,,,93-85,,Defensive rebound by D. Cousins
5:27.0,,,93-85,,R. Rondo misses 2-pt shot from 3 ft
5:25.0,,,93-85,,Offensive rebound by D. Cousins
5:25.0,,,93-87,2,D. Cousins makes 2-pt shot from 3 ft
5:23.0,Chicago full timeout,,93-87,,
5:23.0,K. Hinrich enters the game for D. McDermott,,93-87,,
5:07.0,T. Gibson misses 2-pt shot from 12 ft,,93-87,,
5:06.0,,,93-87,,Defensive rebound by W. Cauley-Stein
4:46.0,,,93-89,2,D. Cousins makes 2-pt shot from 17 ft
4:23.0,Shooting foul by W. Cauley-Stein (drawn by D. Rose),,93-89,,
4:23.0,D. Rose makes free throw 1 of 2,1,94-89,,
4:23.0,,,94-89,,R. Gay enters the game for W. Cauley-Stein
4:23.0,D. Rose makes free throw 2 of 2,1,95-89,,
4:13.0,,,95-89,,Turnover by D. Cousins (lost ball; steal by E. Moore)
4:10.0,Shooting foul by M. Belinelli (drawn by E. Moore),,95-89,,
4:10.0,E. Moore makes free throw 1 of 2,1,96-89,,
4:10.0,E. Moore makes free throw 2 of 2,1,97-89,,
3:57.0,Personal foul by K. Hinrich (drawn by D. Cousins),,97-89,,
3:57.0,,,97-89,,D. Cousins misses free throw 1 of 2
3:57.0,,,97-89,,Offensive rebound by Team
3:57.0,,,97-90,1,D. Cousins makes free throw 2 of 2
3:38.0,D. Rose makes 2-pt shot from 16 ft,2,99-90,,
3:28.0,,,99-90,,D. Cousins misses 3-pt shot from 24 ft
3:27.0,Defensive rebound by T. Gibson,,99-90,,
3:10.0,D. Rose misses 2-pt shot from 16 ft,,99-90,,
