time,Memphis,pts.away,score,pts.home,Detroit
0:01.0,M. Conley misses 3-pt shot from 38 ft,,43-47,,
0:00.0,Offensive rebound by Team,,43-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,Z. Randolph misses 2-pt shot from 18 ft,,43-47,,
11:35.0,,,43-47,,Defensive rebound by K. Caldwell-Pope
11:17.0,,,43-50,3,M. Morris makes 3-pt shot from 26 ft (assist by E. Ilyasova)
10:58.0,M. Gasol misses 2-pt shot from 4 ft,,43-50,,
10:56.0,Offensive rebound by T. Allen,,43-50,,
10:52.0,M. Gasol makes 2-pt shot from 16 ft,2,45-50,,
10:33.0,,,45-52,2,K. Caldwell-Pope makes 2-pt shot from 9 ft
10:17.0,M. Conley makes 2-pt shot at rim,2,47-52,,
10:07.0,,,47-52,,Shooting foul by M. Conley (drawn by R. Jackson)
10:07.0,,,47-53,1,R. Jackson makes free throw 1 of 2
10:07.0,,,47-54,1,R. Jackson makes free throw 2 of 2
9:49.0,M. Gasol makes 2-pt shot from 14 ft (assist by M. Conley),2,49-54,,
9:27.0,Personal foul by T. Allen (drawn by R. Jackson),,49-54,,
9:17.0,,,49-56,2,R. Jackson makes 2-pt shot from 15 ft
9:02.0,Turnover by M. Gasol (bad pass),,49-56,,
8:52.0,,,49-58,2,M. Morris makes 2-pt shot from 1 ft (assist by R. Jackson)
8:52.0,Memphis full timeout,,49-58,,
8:41.0,M. Conley makes 2-pt shot from 15 ft,2,51-58,,
8:21.0,,,51-58,,K. Caldwell-Pope misses 3-pt shot from 26 ft
8:21.0,Defensive rebound by Z. Randolph,,51-58,,
8:12.0,Turnover by M. Gasol (lost ball; steal by A. Drummond),,51-58,,
8:10.0,Personal foul by T. Allen (drawn by K. Caldwell-Pope),,51-58,,
8:01.0,,,51-58,,R. Jackson misses 3-pt shot from 27 ft
8:00.0,Defensive rebound by Z. Randolph,,51-58,,
7:41.0,J. Green misses 2-pt shot from 9 ft,,51-58,,
7:39.0,,,51-58,,Defensive rebound by A. Drummond
7:35.0,,,51-60,2,R. Jackson makes 2-pt shot at rim
7:13.0,M. Conley misses 2-pt shot from 17 ft,,51-60,,
7:13.0,,,51-60,,Defensive rebound by R. Jackson
7:04.0,,,51-62,2,A. Drummond makes 2-pt shot from 6 ft (assist by R. Jackson)
6:41.0,,,51-62,,Personal foul by E. Ilyasova (drawn by Z. Randolph)
6:41.0,M. Barnes enters the game for J. Green,,51-62,,
6:35.0,T. Allen misses 2-pt shot at rim,,51-62,,
6:34.0,Offensive rebound by Z. Randolph,,51-62,,
6:31.0,Z. Randolph makes 2-pt shot at rim,2,53-62,,
6:16.0,,,53-64,2,A. Drummond makes 2-pt shot from 5 ft (assist by E. Ilyasova)
6:02.0,Turnover by M. Conley (bad pass; steal by A. Drummond),,53-64,,
5:56.0,,,53-66,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson)
5:41.0,Z. Randolph makes 2-pt shot from 18 ft (assist by M. Conley),2,55-66,,
5:18.0,,,55-66,,E. Ilyasova misses 3-pt shot from 24 ft
5:18.0,Defensive rebound by M. Barnes,,55-66,,
5:12.0,Z. Randolph makes 2-pt shot at rim (assist by M. Barnes),2,57-66,,
4:59.0,,,57-68,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
4:49.0,Turnover by M. Conley (lost ball; steal by K. Caldwell-Pope),,57-68,,
4:36.0,,,57-68,,M. Morris misses 3-pt shot from 24 ft
4:35.0,Defensive rebound by Z. Randolph,,57-68,,
4:27.0,M. Barnes makes 3-pt shot from 25 ft (assist by M. Conley),3,60-68,,
4:10.0,,,60-68,,Turnover by A. Drummond (3 sec)
4:10.0,C. Lee enters the game for Z. Randolph,,60-68,,
3:51.0,M. Gasol makes 2-pt shot from 3 ft (assist by M. Conley),2,62-68,,
3:31.0,,,62-68,,M. Morris misses 2-pt shot from 11 ft
3:31.0,Defensive rebound by M. Barnes,,62-68,,
3:19.0,M. Barnes makes 2-pt shot from 9 ft (assist by M. Gasol),2,64-68,,
3:19.0,,,64-68,,Detroit full timeout
3:19.0,,,64-68,,S. Blake enters the game for M. Morris
3:19.0,,,64-68,,S. Johnson enters the game for R. Jackson
2:58.0,,,64-68,,E. Ilyasova misses 2-pt shot from 19 ft
2:58.0,,,64-68,,Offensive rebound by A. Drummond
2:58.0,,,64-70,2,A. Drummond makes 2-pt shot at rim
2:58.0,,,64-70,,Shooting foul by M. Barnes (drawn by A. Drummond)
2:58.0,,,64-70,,A. Drummond misses free throw 1 of 1
2:57.0,Defensive rebound by M. Gasol,,64-70,,
2:39.0,Turnover by C. Lee (bad pass),,64-70,,
2:26.0,,,64-72,2,S. Blake makes 2-pt shot at rim (assist by A. Drummond)
2:07.0,M. Barnes misses 2-pt shot at rim,,64-72,,
2:06.0,,,64-72,,Defensive rebound by S. Blake
1:58.0,,,64-72,,A. Drummond misses 2-pt shot from 1 ft
1:57.0,Defensive rebound by T. Allen,,64-72,,
1:52.0,T. Allen misses 2-pt shot from 3 ft,,64-72,,
1:52.0,Offensive rebound by T. Allen,,64-72,,
1:52.0,T. Allen misses 2-pt shot from 3 ft (block by E. Ilyasova),,64-72,,
1:52.0,Offensive rebound by Team,,64-72,,
1:52.0,M. Chalmers enters the game for M. Conley,,64-72,,
1:51.0,Turnover by T. Allen (lost ball; steal by E. Ilyasova),,64-72,,
1:51.0,Jump ball: T. Allen vs. E. Ilyasova (S. Johnson gains possession),,,,Jump ball: T. Allen vs. E. Ilyasova (S. Johnson gains possession)
1:21.0,,,64-72,,S. Blake misses 3-pt shot from 26 ft
1:21.0,Defensive rebound by M. Gasol,,64-72,,
1:10.0,Turnover by M. Gasol (lost ball),,64-72,,
1:00.0,,,64-72,,K. Caldwell-Pope misses 3-pt shot from 27 ft
1:00.0,,,64-72,,Offensive rebound by A. Drummond
0:59.0,,,64-72,,Shooting foul by M. Gasol (drawn by A. Drummond)
0:59.0,,,64-72,,A. Drummond misses free throw 1 of 2
0:59.0,,,64-72,,Offensive rebound by Team
0:59.0,J. Green enters the game for T. Allen,,64-72,,
0:59.0,,,64-73,1,A. Drummond makes free throw 2 of 2
0:40.0,M. Gasol misses 2-pt shot from 3 ft,,64-73,,
0:39.0,Offensive rebound by M. Gasol,,64-73,,
0:36.0,M. Gasol makes 2-pt shot from 10 ft,2,66-73,,
0:19.0,,,66-73,,A. Drummond misses 2-pt shot at rim
0:19.0,,,66-73,,Offensive rebound by Team
0:16.0,,,66-73,,A. Drummond misses 2-pt shot at rim (block by M. Gasol)
0:14.0,Defensive rebound by M. Gasol,,66-73,,
0:12.0,Turnover by M. Gasol (bad pass; steal by K. Caldwell-Pope),,66-73,,
0:09.0,,,66-73,,Turnover by K. Caldwell-Pope (lost ball; steal by M. Chalmers)
0:04.0,Shooting foul by A. Drummond (drawn by M. Chalmers),,66-73,,
0:04.0,M. Chalmers misses free throw 1 of 2,,66-73,,
0:04.0,Offensive rebound by Team,,66-73,,
0:04.0,M. Chalmers makes free throw 2 of 2,1,67-73,,
0:00.0,,,67-73,,Shooting foul by C. Lee (drawn by S. Blake)
0:00.0,,,67-74,1,S. Blake makes free throw 1 of 2
0:00.0,,,67-74,,S. Blake misses free throw 2 of 2
0:00.0,Defensive rebound by M. Gasol,,67-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,67-74,,A. Tolliver misses 3-pt shot from 22 ft
11:36.0,Defensive rebound by Z. Randolph,,67-74,,
11:19.0,C. Lee makes 2-pt shot from 6 ft (assist by Z. Randolph),2,69-74,,
11:19.0,Shooting foul by S. Johnson (drawn by C. Lee),,69-74,,
11:19.0,C. Lee makes free throw 1 of 1,1,70-74,,
11:14.0,,,70-74,,Offensive foul by A. Baynes
11:14.0,,,70-74,,Turnover by A. Baynes (offensive foul)
10:54.0,C. Lee misses 2-pt shot from 14 ft,,70-74,,
10:54.0,,,70-74,,Defensive rebound by S. Blake
10:38.0,,,70-76,2,M. Morris makes 2-pt shot from 16 ft
10:15.0,Z. Randolph makes 2-pt shot from 18 ft (assist by C. Lee),2,72-76,,
10:00.0,,,72-76,,S. Blake misses 2-pt shot from 5 ft
9:59.0,,,72-76,,Offensive rebound by A. Baynes
9:57.0,,,72-78,2,A. Baynes makes 2-pt shot at rim
9:44.0,M. Barnes misses 3-pt shot from 25 ft,,72-78,,
9:44.0,Offensive rebound by J. Green,,72-78,,
9:40.0,J. Green misses 2-pt shot from 1 ft,,72-78,,
9:38.0,,,72-78,,Defensive rebound by S. Johnson
9:31.0,,,72-78,,A. Baynes misses 2-pt shot from 17 ft
9:30.0,Defensive rebound by M. Barnes,,72-78,,
9:18.0,J. Green makes 2-pt shot at rim (assist by M. Chalmers),2,74-78,,
9:18.0,Shooting foul by S. Blake (drawn by J. Green),,74-78,,
9:18.0,J. Green makes free throw 1 of 1,1,75-78,,
8:56.0,,,75-78,,A. Tolliver misses 3-pt shot from 25 ft
8:56.0,Defensive rebound by M. Barnes,,75-78,,
8:41.0,M. Chalmers makes 2-pt shot at rim,2,77-78,,
8:25.0,,,77-81,3,S. Blake makes 3-pt shot from 25 ft
8:09.0,Z. Randolph misses 2-pt shot from 18 ft,,77-81,,
8:07.0,Offensive rebound by Z. Randolph,,77-81,,
8:03.0,Z. Randolph misses 2-pt shot from 3 ft,,77-81,,
8:03.0,,,77-81,,Defensive rebound by M. Morris
7:52.0,,,77-81,,S. Blake misses 3-pt shot from 25 ft
7:52.0,,,77-81,,Offensive rebound by A. Baynes
7:47.0,,,77-81,,A. Baynes misses 2-pt shot from 5 ft
7:47.0,Defensive rebound by Z. Randolph,,77-81,,
7:29.0,Z. Randolph makes 2-pt shot from 10 ft,2,79-81,,
7:21.0,,,79-81,,Detroit full timeout
7:21.0,M. Gasol enters the game for J. Green,,79-81,,
7:21.0,,,79-81,,R. Jackson enters the game for S. Blake
7:21.0,,,79-81,,A. Drummond enters the game for A. Tolliver
7:21.0,,,79-81,,E. Ilyasova enters the game for A. Baynes
7:11.0,,,79-83,2,R. Jackson makes 2-pt shot from 19 ft
7:01.0,,,79-83,,Personal foul by R. Jackson (drawn by M. Chalmers)
7:01.0,,,79-83,,K. Caldwell-Pope enters the game for S. Johnson
6:50.0,Z. Randolph misses 2-pt shot from 5 ft (block by E. Ilyasova),,79-83,,
6:49.0,Offensive rebound by Z. Randolph,,79-83,,
6:48.0,Z. Randolph misses 2-pt shot from 3 ft,,79-83,,
6:47.0,,,79-83,,Defensive rebound by R. Jackson
6:26.0,,,79-85,2,A. Drummond makes 2-pt shot from 6 ft
6:26.0,,,79-85,,Violation by Team (delay of game)
6:11.0,M. Gasol misses 2-pt shot from 9 ft,,79-85,,
6:11.0,,,79-85,,Defensive rebound by A. Drummond
6:07.0,,,79-85,,Offensive charge foul by A. Drummond
6:07.0,,,79-85,,Turnover by A. Drummond (offensive foul)
5:53.0,M. Gasol makes 2-pt shot at rim (assist by M. Barnes),2,81-85,,
5:30.0,,,81-85,,Turnover by A. Drummond (traveling)
5:30.0,Official timeout,,81-85,,
5:11.0,M. Gasol misses 2-pt shot from 5 ft,,81-85,,
5:10.0,Offensive rebound by M. Barnes,,81-85,,
5:05.0,C. Lee misses 3-pt shot from 25 ft,,81-85,,
5:04.0,,,81-85,,Defensive rebound by A. Drummond
4:51.0,Personal foul by M. Barnes (drawn by M. Morris),,81-85,,
4:47.0,,,81-85,,Turnover by R. Jackson (offensive foul)
4:47.0,,,81-85,,Offensive foul by R. Jackson
4:30.0,M. Gasol misses 2-pt shot from 19 ft,,81-85,,
4:30.0,Offensive rebound by C. Lee,,81-85,,
4:22.0,C. Lee makes 2-pt shot from 13 ft (assist by M. Barnes),2,83-85,,
4:09.0,,,83-85,,R. Jackson misses 3-pt shot from 22 ft
4:09.0,,,83-85,,Offensive rebound by A. Drummond
4:03.0,Personal foul by M. Chalmers (drawn by R. Jackson),,83-85,,
3:54.0,,,83-85,,R. Jackson misses 2-pt shot from 8 ft (block by M. Chalmers)
3:52.0,Defensive rebound by Z. Randolph,,83-85,,
3:42.0,C. Lee misses 2-pt shot from 4 ft (block by E. Ilyasova),,83-85,,
3:42.0,Offensive rebound by Z. Randolph,,83-85,,
3:42.0,Shooting foul by E. Ilyasova (drawn by Z. Randolph),,83-85,,
3:42.0,Z. Randolph misses free throw 1 of 2,,83-85,,
3:42.0,Offensive rebound by Team,,83-85,,
3:42.0,Z. Randolph misses free throw 2 of 2,,83-85,,
3:40.0,,,83-85,,Defensive rebound by A. Drummond
3:25.0,,,83-87,2,R. Jackson makes 2-pt shot at rim
3:12.0,M. Chalmers misses 2-pt shot from 4 ft,,83-87,,
3:11.0,Offensive rebound by Z. Randolph,,83-87,,
3:08.0,Z. Randolph makes 2-pt shot at rim,2,85-87,,
2:53.0,,,85-87,,K. Caldwell-Pope misses 3-pt shot from 22 ft
2:53.0,Defensive rebound by M. Barnes,,85-87,,
2:52.0,Turnover by M. Chalmers (lost ball),,85-87,,
2:52.0,Memphis full timeout,,85-87,,
2:52.0,M. Conley enters the game for M. Chalmers,,85-87,,
2:37.0,,,85-87,,K. Caldwell-Pope misses 2-pt shot from 15 ft
2:37.0,,,85-87,,Offensive rebound by E. Ilyasova
2:37.0,,,85-87,,Shooting foul by Z. Randolph (drawn by E. Ilyasova)
2:37.0,,,85-89,2,E. Ilyasova makes 2-pt shot from 1 ft
2:37.0,,,85-89,,E. Ilyasova misses free throw 1 of 1
2:35.0,Defensive rebound by M. Barnes,,85-89,,
2:17.0,M. Conley misses 3-pt shot from 24 ft,,85-89,,
2:17.0,Offensive rebound by Team,,85-89,,
2:17.0,,,85-89,,Personal foul by E. Ilyasova (drawn by Z. Randolph)
2:17.0,Z. Randolph makes free throw 1 of 2,1,86-89,,
2:17.0,Z. Randolph misses free throw 2 of 2,,86-89,,
2:15.0,Offensive rebound by M. Barnes,,86-89,,
2:10.0,,,86-89,,Personal foul by K. Caldwell-Pope (drawn by M. Conley)
2:10.0,M. Conley makes free throw 1 of 2,1,87-89,,
2:10.0,M. Conley misses free throw 2 of 2,,87-89,,
2:09.0,,,87-89,,Defensive rebound by A. Drummond
1:48.0,,,87-92,3,R. Jackson makes 3-pt shot from 24 ft
1:36.0,Z. Randolph misses 2-pt shot at rim,,87-92,,
1:36.0,Offensive rebound by Z. Randolph,,87-92,,
1:34.0,Z. Randolph makes 2-pt shot from 1 ft,2,89-92,,
1:12.0,,,89-92,,Turnover by Team (shot clock)
1:03.0,M. Conley misses 3-pt shot from 24 ft,,89-92,,
1:03.0,,,89-92,,Defensive rebound by A. Drummond
