time,Oklahoma City,pts.away,score,pts.home,Minnesota
11:47.0,E. Kanter misses 3-pt shot from 22 ft,,28-28,,
11:45.0,,,28-28,,Defensive rebound by Team
11:28.0,,,28-28,,N. Pekovic misses 2-pt shot from 7 ft (block by E. Kanter)
11:26.0,Defensive rebound by A. Morrow,,28-28,,
11:24.0,Shooting foul by T. Prince (drawn by N. Collison),,28-28,,
11:24.0,N. Collison makes free throw 1 of 2,1,29-28,,
11:24.0,N. Collison makes free throw 2 of 2,1,30-28,,
11:07.0,,,30-28,,S. Muhammad misses 2-pt shot from 1 ft (block by N. Collison)
11:05.0,Defensive rebound by E. Kanter,,30-28,,
11:02.0,Turnover by E. Kanter (bad pass),,30-28,,
11:02.0,S. Ibaka enters the game for N. Collison,,30-28,,
10:50.0,,,30-31,3,Z. LaVine makes 3-pt shot from 24 ft (assist by N. Pekovic)
10:24.0,E. Kanter misses 2-pt shot from 10 ft,,30-31,,
10:23.0,,,30-31,,Defensive rebound by Z. LaVine
10:15.0,,,30-33,2,Z. LaVine makes 2-pt shot from 8 ft
9:47.0,A. Morrow makes 3-pt shot from 25 ft,3,33-33,,
9:29.0,,,33-36,3,Z. LaVine makes 3-pt shot from 24 ft (assist by N. Pekovic)
9:19.0,K. Singler makes 2-pt shot from 6 ft,2,35-36,,
9:08.0,,,35-38,2,Z. LaVine makes 2-pt shot from 18 ft
9:07.0,,,35-38,,Personal foul by N. Pekovic (drawn by S. Ibaka)
9:07.0,Personal foul by S. Ibaka,,35-38,,
9:07.0,,,35-38,,G. Dieng enters the game for N. Pekovic
8:54.0,A. Morrow misses 3-pt shot from 23 ft,,35-38,,
8:53.0,,,35-38,,Defensive rebound by Team
8:53.0,,,35-38,,Minnesota full timeout
8:53.0,R. Westbrook enters the game for C. Payne,,35-38,,
8:35.0,,,35-38,,Shooting foul by S. Ibaka (drawn by N. Bjelica)
8:35.0,Technical foul by S. Ibaka (drawn by N. Bjelica),,35-38,,
8:35.0,,,35-38,,Z. LaVine misses technical free throw
8:35.0,,,35-38,,Offensive rebound by Team
8:35.0,K. Durant enters the game for S. Ibaka,,35-38,,
8:35.0,,,35-39,1,N. Bjelica makes free throw 1 of 2
8:35.0,,,35-39,,A. Wiggins enters the game for T. Prince
8:35.0,,,35-40,1,N. Bjelica makes free throw 2 of 2
8:25.0,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook),2,37-40,,
8:00.0,,,37-42,2,G. Dieng makes 2-pt shot from 8 ft (assist by N. Bjelica)
7:47.0,E. Kanter makes 2-pt shot from 2 ft (assist by R. Westbrook),2,39-42,,
7:47.0,Shooting foul by G. Dieng (drawn by E. Kanter),,39-42,,
7:47.0,E. Kanter makes free throw 1 of 1,1,40-42,,
7:32.0,Personal foul by K. Singler (drawn by S. Muhammad),,40-42,,
7:27.0,,,40-42,,S. Muhammad misses 2-pt shot from 12 ft
7:26.0,,,40-42,,Offensive rebound by S. Muhammad
7:24.0,,,40-42,,S. Muhammad misses 2-pt shot at rim
7:23.0,,,40-42,,Offensive rebound by G. Dieng
7:23.0,,,40-44,2,G. Dieng makes 2-pt shot at rim
7:07.0,A. Morrow misses 3-pt shot from 23 ft,,40-44,,
7:05.0,Offensive rebound by E. Kanter,,40-44,,
7:05.0,E. Kanter misses 2-pt shot at rim,,40-44,,
7:04.0,,,40-44,,Defensive rebound by N. Bjelica
6:59.0,,,40-46,2,S. Muhammad makes 2-pt shot at rim (assist by N. Bjelica)
6:51.0,Oklahoma City full timeout,,40-46,,
6:51.0,D. Waiters enters the game for A. Morrow,,40-46,,
6:51.0,,,40-46,,K. Towns enters the game for G. Dieng
6:44.0,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook),2,42-46,,
6:28.0,,,42-46,,A. Wiggins misses 2-pt shot from 15 ft
6:27.0,Defensive rebound by K. Durant,,42-46,,
