time,Portland,pts.away,score,pts.home,Toronto
4:21.0,,,16-18,,K. Lowry misses 3-pt shot from 27 ft
4:21.0,Defensive rebound by M. Leonard,,16-18,,
4:14.0,,,16-18,,Personal foul by K. Lowry (drawn by D. Lillard)
4:14.0,D. Lillard makes free throw 1 of 2,1,17-18,,
4:14.0,,,17-18,,C. Joseph enters the game for K. Lowry
4:14.0,D. Lillard makes free throw 2 of 2,1,18-18,,
4:01.0,,,18-18,,Shooting foul by M. Leonard (drawn by D. DeRozan)
4:01.0,,,18-19,1,D. DeRozan makes free throw 1 of 2
4:01.0,,,18-20,1,D. DeRozan makes free throw 2 of 2
3:47.0,G. Henderson makes 2-pt shot from 1 ft (assist by D. Lillard),2,20-20,,
3:30.0,,,20-20,,Turnover by B. Biyombo (lost ball; steal by G. Henderson)
3:24.0,M. Leonard misses 2-pt shot from 2 ft,,20-20,,
3:24.0,Offensive rebound by E. Davis,,20-20,,
3:24.0,E. Davis makes 2-pt shot from 1 ft,2,22-20,,
3:24.0,Shooting foul by P. Patterson (drawn by E. Davis),,22-20,,
3:24.0,E. Davis misses free throw 1 of 1,,22-20,,
3:23.0,,,22-20,,Defensive rebound by P. Patterson
3:09.0,,,22-22,2,D. DeRozan makes 2-pt shot from 8 ft
2:57.0,M. Leonard misses 3-pt shot from 25 ft,,22-22,,
2:57.0,,,22-22,,Defensive rebound by D. DeRozan
2:47.0,,,22-24,2,D. DeRozan makes 2-pt shot from 1 ft
2:28.0,A. Crabbe misses 2-pt shot from 13 ft,,22-24,,
2:28.0,,,22-24,,Defensive rebound by B. Biyombo
2:17.0,,,22-26,2,B. Biyombo makes 2-pt shot from 12 ft (assist by D. DeRozan)
2:17.0,Portland full timeout,,22-26,,
1:58.0,E. Davis makes 2-pt shot from 2 ft (assist by G. Henderson),2,24-26,,
1:39.0,,,24-26,,D. DeRozan misses 2-pt shot from 13 ft
1:39.0,,,24-26,,Offensive rebound by Team
1:24.0,,,24-26,,P. Patterson misses 2-pt shot from 8 ft
1:24.0,,,24-26,,Offensive rebound by Team
1:24.0,Loose ball foul by M. Leonard (drawn by B. Biyombo),,24-26,,
1:24.0,,,24-27,1,B. Biyombo makes free throw 1 of 2
1:24.0,M. Harkless enters the game for M. Leonard,,24-27,,
1:24.0,,,24-27,,B. Biyombo misses free throw 2 of 2
1:23.0,Defensive rebound by G. Henderson,,24-27,,
1:16.0,D. Lillard makes 2-pt shot from 1 ft,2,26-27,,
1:16.0,Shooting foul by B. Biyombo (drawn by D. Lillard),,26-27,,
1:16.0,D. Lillard makes free throw 1 of 1,1,27-27,,
1:03.0,,,27-27,,Shooting foul by E. Davis (drawn by D. DeRozan)
1:03.0,,,27-28,1,D. DeRozan makes free throw 1 of 2
1:03.0,,,27-29,1,D. DeRozan makes free throw 2 of 2
0:46.0,D. Lillard misses 3-pt shot from 24 ft,,27-29,,
0:45.0,,,27-29,,Defensive rebound by B. Biyombo
0:31.0,,,27-29,,C. Joseph misses 2-pt shot from 21 ft
0:30.0,Defensive rebound by E. Davis,,27-29,,
0:15.0,M. Harkless misses 3-pt shot from 26 ft,,27-29,,
0:14.0,,,27-29,,Defensive rebound by C. Joseph
0:03.0,,,27-29,,Shooting foul by G. Henderson (drawn by D. DeRozan)
0:03.0,,,27-30,1,D. DeRozan makes free throw 1 of 2
0:03.0,,,27-31,1,D. DeRozan makes free throw 2 of 2
0:00.0,D. Lillard makes 3-pt shot from 40 ft,3,30-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,G. Henderson makes 3-pt shot from 25 ft (assist by C. McCollum),3,33-31,,
11:16.0,,,33-34,3,K. Lowry makes 3-pt shot from 24 ft
10:53.0,E. Davis misses 2-pt shot from 3 ft (block by B. Biyombo),,33-34,,
10:51.0,Offensive rebound by E. Davis,,33-34,,
10:47.0,C. McCollum makes 3-pt shot from 25 ft (assist by A. Crabbe),3,36-34,,
10:23.0,,,36-36,2,B. Biyombo makes 2-pt shot at rim (assist by K. Lowry)
9:59.0,C. McCollum misses 2-pt shot from 9 ft,,36-36,,
9:58.0,,,36-36,,Defensive rebound by P. Patterson
9:40.0,,,36-36,,P. Patterson misses 2-pt shot from 14 ft
9:40.0,Defensive rebound by M. Harkless,,36-36,,
9:27.0,A. Crabbe misses 2-pt shot from 15 ft,,36-36,,
9:27.0,Offensive rebound by M. Harkless,,36-36,,
9:25.0,Shooting foul by B. Biyombo (drawn by M. Harkless),,36-36,,
9:25.0,M. Harkless misses free throw 1 of 2,,36-36,,
9:25.0,Offensive rebound by Team,,36-36,,
9:25.0,,,36-36,,J. Valanciunas enters the game for B. Biyombo
9:25.0,M. Harkless makes free throw 2 of 2,1,37-36,,
9:12.0,,,37-36,,K. Lowry misses 2-pt shot from 10 ft
9:12.0,,,37-36,,Offensive rebound by J. Valanciunas
9:10.0,,,37-36,,Shooting foul by M. Harkless (drawn by J. Valanciunas)
9:10.0,,,37-36,,J. Valanciunas misses free throw 1 of 2
9:10.0,,,37-36,,Offensive rebound by Team
9:10.0,,,37-36,,J. Valanciunas misses free throw 2 of 2
9:10.0,Defensive rebound by E. Davis,,37-36,,
8:46.0,G. Henderson misses 3-pt shot from 31 ft,,37-36,,
8:46.0,Offensive rebound by Team,,37-36,,
8:46.0,Turnover by Team (shot clock),,37-36,,
8:46.0,Official timeout,,37-36,,
8:29.0,,,37-36,,Shooting foul by A. Crabbe (drawn by K. Lowry)
8:29.0,,,37-36,,K. Lowry misses free throw 1 of 3
8:29.0,,,37-36,,Offensive rebound by Team
8:29.0,,,37-36,,K. Lowry misses free throw 2 of 3
8:29.0,,,37-36,,Offensive rebound by Team
8:29.0,,,37-37,1,K. Lowry makes free throw 3 of 3
8:14.0,Shooting foul by C. Joseph (drawn by C. McCollum),,37-37,,
8:14.0,C. McCollum makes free throw 1 of 2,1,38-37,,
8:14.0,M. Plumlee enters the game for E. Davis,,38-37,,
8:14.0,C. McCollum makes free throw 2 of 2,1,39-37,,
8:01.0,,,39-37,,Turnover by J. Valanciunas (lost ball; steal by M. Harkless)
7:56.0,Turnover by M. Harkless (lost ball; steal by C. Joseph),,39-37,,
7:52.0,,,39-39,2,K. Lowry makes 2-pt shot at rim (assist by C. Joseph)
7:34.0,C. McCollum misses 2-pt shot from 19 ft,,39-39,,
7:33.0,,,39-39,,Defensive rebound by K. Lowry
7:12.0,,,39-41,2,J. Valanciunas makes 2-pt shot from 11 ft (assist by C. Joseph)
6:57.0,Turnover by M. Plumlee (offensive foul),,39-41,,
6:57.0,Offensive foul by M. Plumlee,,39-41,,
6:44.0,,,39-43,2,C. Joseph makes 2-pt shot from 10 ft
6:28.0,Turnover by M. Plumlee (lost ball; steal by K. Lowry),,39-43,,
6:23.0,,,39-45,2,C. Joseph makes 2-pt shot at rim (assist by K. Lowry)
6:23.0,Portland full timeout,,39-45,,
6:23.0,D. Lillard enters the game for A. Crabbe,,39-45,,
6:23.0,A. Aminu enters the game for M. Harkless,,39-45,,
6:09.0,C. McCollum misses 3-pt shot from 27 ft,,39-45,,
6:09.0,,,39-45,,Defensive rebound by J. Valanciunas
5:50.0,,,39-45,,T. Ross misses 2-pt shot from 7 ft
5:50.0,Defensive rebound by A. Aminu,,39-45,,
5:42.0,D. Lillard makes 2-pt shot from 19 ft,2,41-45,,
5:42.0,Shooting foul by C. Joseph (drawn by D. Lillard),,41-45,,
5:42.0,D. Lillard makes free throw 1 of 1,1,42-45,,
5:24.0,,,42-47,2,K. Lowry makes 2-pt shot from 7 ft
4:56.0,A. Aminu misses 2-pt shot from 6 ft,,42-47,,
4:55.0,,,42-47,,Defensive rebound by J. Valanciunas
4:52.0,,,42-47,,Turnover by K. Lowry (bad pass)
4:52.0,,,42-47,,D. DeRozan enters the game for T. Ross
4:52.0,A. Crabbe enters the game for C. McCollum,,42-47,,
4:38.0,D. Lillard misses 3-pt shot from 25 ft,,42-47,,
4:37.0,,,42-47,,Defensive rebound by J. Valanciunas
4:25.0,,,42-49,2,J. Valanciunas makes 2-pt shot from 1 ft
4:16.0,Turnover by D. Lillard (bad pass),,42-49,,
4:01.0,,,42-49,,K. Lowry misses 3-pt shot from 26 ft
4:01.0,Defensive rebound by M. Plumlee,,42-49,,
3:52.0,Shooting foul by D. DeRozan (drawn by M. Plumlee),,42-49,,
3:52.0,M. Plumlee misses free throw 1 of 2,,42-49,,
3:52.0,Offensive rebound by Team,,42-49,,
3:52.0,M. Plumlee makes free throw 2 of 2,1,43-49,,
3:32.0,,,43-49,,Shooting foul by M. Plumlee (drawn by J. Valanciunas)
3:32.0,,,43-50,1,J. Valanciunas makes free throw 1 of 2
3:32.0,,,43-50,,T. Ross enters the game for C. Joseph
3:32.0,E. Davis enters the game for M. Plumlee,,43-50,,
3:32.0,C. McCollum enters the game for A. Aminu,,43-50,,
3:32.0,,,43-50,,J. Valanciunas misses free throw 2 of 2
3:30.0,Defensive rebound by A. Crabbe,,43-50,,
3:25.0,Shooting foul by K. Lowry (drawn by E. Davis),,43-50,,
3:25.0,E. Davis misses free throw 1 of 2,,43-50,,
3:25.0,Offensive rebound by Team,,43-50,,
3:25.0,,,43-50,,N. Powell enters the game for P. Patterson
3:25.0,,,43-50,,B. Biyombo enters the game for J. Valanciunas
3:25.0,E. Davis misses free throw 2 of 2,,43-50,,
3:23.0,,,43-50,,Defensive rebound by B. Biyombo
3:04.0,,,43-50,,N. Powell misses 2-pt shot from 1 ft (block by E. Davis)
3:03.0,Defensive rebound by C. McCollum,,43-50,,
2:57.0,C. McCollum misses 2-pt shot from 1 ft,,43-50,,
2:57.0,,,43-50,,Defensive rebound by T. Ross
2:53.0,,,43-50,,Shooting foul by E. Davis (drawn by K. Lowry)
2:53.0,,,43-50,,Toronto full timeout
2:53.0,,,43-51,1,K. Lowry makes free throw 1 of 2
2:53.0,,,43-52,1,K. Lowry makes free throw 2 of 2
2:34.0,G. Henderson misses 2-pt shot from 15 ft,,43-52,,
2:34.0,Offensive rebound by Team,,43-52,,
2:34.0,,,43-52,,Loose ball foul by D. DeRozan (drawn by E. Davis)
2:34.0,E. Davis misses free throw 1 of 2,,43-52,,
2:34.0,Offensive rebound by Team,,43-52,,
2:34.0,,,43-52,,C. Joseph enters the game for K. Lowry
2:34.0,E. Davis makes free throw 2 of 2,1,44-52,,
2:20.0,Personal foul by A. Crabbe (drawn by B. Biyombo),,44-52,,
2:20.0,,,44-53,1,B. Biyombo makes free throw 1 of 2
2:20.0,,,44-54,1,B. Biyombo makes free throw 2 of 2
1:59.0,G. Henderson misses 2-pt shot from 17 ft,,44-54,,
1:59.0,Offensive rebound by E. Davis,,44-54,,
1:57.0,E. Davis makes 2-pt shot from 2 ft,2,46-54,,
1:39.0,,,46-54,,Shooting foul by A. Crabbe (drawn by D. DeRozan)
1:39.0,,,46-55,1,D. DeRozan makes free throw 1 of 2
1:39.0,,,46-56,1,D. DeRozan makes free throw 2 of 2
1:33.0,D. Lillard misses 2-pt shot from 4 ft (block by C. Joseph),,46-56,,
1:33.0,Offensive rebound by D. Lillard,,46-56,,
1:32.0,Jump ball: C. Joseph vs. D. Lillard (A. Crabbe gains possession),,,,Jump ball: C. Joseph vs. D. Lillard (A. Crabbe gains possession)
1:25.0,D. Lillard makes 2-pt shot from 2 ft,2,48-56,,
1:12.0,,,48-56,,Offensive foul by B. Biyombo
1:12.0,,,48-56,,Turnover by B. Biyombo (offensive foul)
1:12.0,B. Roberts enters the game for A. Crabbe,,48-56,,
1:12.0,,,48-56,,J. Thompson enters the game for B. Biyombo
0:59.0,C. McCollum makes 2-pt shot from 20 ft,2,50-56,,
0:49.0,,,50-56,,Shooting foul by D. Lillard (drawn by C. Joseph)
0:49.0,,,50-57,1,C. Joseph makes free throw 1 of 2
0:49.0,,,50-58,1,C. Joseph makes free throw 2 of 2
0:34.0,D. Lillard makes 2-pt shot from 2 ft,2,52-58,,
0:16.0,,,52-58,,D. DeRozan misses 2-pt shot from 16 ft
0:16.0,,,52-58,,Offensive rebound by N. Powell
0:15.0,,,52-58,,Turnover by N. Powell (step out of bounds)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,C. McCollum misses 2-pt shot from 6 ft,,52-58,,
11:41.0,,,52-58,,Defensive rebound by L. Scola
11:29.0,Personal foul by A. Aminu (drawn by D. DeRozan),,52-58,,
11:16.0,,,52-60,2,J. Valanciunas makes 2-pt shot from 2 ft
10:59.0,D. Lillard makes 2-pt shot from 13 ft,2,54-60,,
10:44.0,,,54-60,,D. DeRozan misses 2-pt shot from 19 ft
10:43.0,Defensive rebound by N. Vonleh,,54-60,,
10:33.0,C. McCollum misses 2-pt shot from 4 ft (block by J. Valanciunas),,54-60,,
10:33.0,Offensive rebound by Team,,54-60,,
10:29.0,D. Lillard misses 3-pt shot from 24 ft,,54-60,,
10:28.0,,,54-60,,Defensive rebound by D. DeRozan
10:19.0,,,54-60,,Turnover by D. DeRozan (lost ball)
10:07.0,,,54-60,,Personal foul by L. Scola (drawn by M. Leonard)
10:01.0,M. Leonard misses 3-pt shot from 26 ft,,54-60,,
10:01.0,,,54-60,,Defensive rebound by N. Powell
9:50.0,,,54-60,,Turnover by K. Lowry (bad pass; steal by C. McCollum)
9:44.0,Turnover by C. McCollum (bad pass; steal by K. Lowry),,54-60,,
9:36.0,,,54-63,3,N. Powell makes 3-pt shot from 22 ft (assist by K. Lowry)
9:19.0,A. Aminu makes 2-pt shot from 19 ft (assist by C. McCollum),2,56-63,,
8:57.0,,,56-63,,Shooting foul by N. Vonleh (drawn by K. Lowry)
8:57.0,,,56-64,1,K. Lowry makes free throw 1 of 2
8:57.0,,,56-65,1,K. Lowry makes free throw 2 of 2
8:47.0,Turnover by M. Leonard (bad pass),,56-65,,
8:38.0,,,56-65,,D. DeRozan misses 2-pt shot from 12 ft
8:37.0,Defensive rebound by N. Vonleh,,56-65,,
8:31.0,,,56-65,,Toronto full timeout
8:14.0,C. McCollum misses 2-pt shot from 16 ft,,56-65,,
8:14.0,,,56-65,,Defensive rebound by N. Powell
8:06.0,,,56-65,,Turnover by K. Lowry (bad pass; steal by C. McCollum)
8:00.0,A. Aminu makes 2-pt shot at rim (assist by C. McCollum),2,58-65,,
7:31.0,,,58-67,2,J. Valanciunas makes 2-pt shot from 5 ft
7:15.0,Offensive foul by N. Vonleh,,58-67,,
7:15.0,Turnover by N. Vonleh (offensive foul),,58-67,,
7:15.0,E. Davis enters the game for N. Vonleh,,58-67,,
7:03.0,,,58-67,,Shooting foul by A. Aminu (drawn by D. DeRozan)
7:03.0,,,58-68,1,D. DeRozan makes free throw 1 of 2
7:03.0,,,58-69,1,D. DeRozan makes free throw 2 of 2
6:55.0,,,58-69,,Personal foul by L. Scola (drawn by M. Leonard)
6:55.0,M. Plumlee enters the game for M. Leonard,,58-69,,
6:44.0,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard),3,61-69,,
6:27.0,,,61-69,,L. Scola misses 3-pt shot from 24 ft
6:26.0,,,61-69,,Offensive rebound by J. Valanciunas
6:24.0,,,61-71,2,J. Valanciunas makes 2-pt shot at rim
6:01.0,C. McCollum makes 3-pt shot from 24 ft,3,64-71,,
5:45.0,,,64-74,3,N. Powell makes 3-pt shot from 23 ft (assist by K. Lowry)
5:21.0,A. Aminu misses 3-pt shot from 23 ft,,64-74,,
5:20.0,,,64-74,,Defensive rebound by N. Powell
5:09.0,,,64-76,2,K. Lowry makes 2-pt shot from 14 ft
5:09.0,Portland full timeout,,64-76,,
5:09.0,A. Crabbe enters the game for A. Aminu,,64-76,,
4:44.0,M. Plumlee misses 2-pt shot from 14 ft,,64-76,,
4:43.0,,,64-76,,Defensive rebound by K. Lowry
4:21.0,,,64-76,,J. Valanciunas misses 2-pt shot from 4 ft
4:20.0,Defensive rebound by E. Davis,,64-76,,
4:07.0,A. Crabbe misses 3-pt shot from 26 ft,,64-76,,
4:07.0,,,64-76,,Defensive rebound by K. Lowry
4:00.0,Shooting block foul by A. Crabbe (drawn by D. DeRozan),,64-76,,
4:00.0,,,64-77,1,D. DeRozan makes free throw 1 of 2
4:00.0,,,64-78,1,D. DeRozan makes free throw 2 of 2
3:47.0,A. Crabbe makes 2-pt shot from 2 ft (assist by C. McCollum),2,66-78,,
3:25.0,,,66-78,,D. DeRozan misses 2-pt shot from 1 ft (block by E. Davis)
3:23.0,,,66-78,,Offensive rebound by D. DeRozan
3:18.0,,,66-78,,Shooting foul by E. Davis (drawn by D. DeRozan)
3:18.0,,,66-79,1,D. DeRozan makes free throw 1 of 2
3:18.0,G. Henderson enters the game for C. McCollum,,66-79,,
3:18.0,,,66-79,,C. Joseph enters the game for K. Lowry
3:18.0,,,66-80,1,D. DeRozan makes free throw 2 of 2
3:05.0,D. Lillard misses 2-pt shot from 15 ft,,66-80,,
3:04.0,Offensive rebound by A. Crabbe,,66-80,,
2:52.0,D. Lillard makes 3-pt shot from 28 ft,3,69-80,,
2:35.0,,,69-80,,Shooting foul by E. Davis (drawn by N. Powell)
2:35.0,,,69-81,1,N. Powell makes free throw 1 of 2
2:35.0,,,69-81,,B. Biyombo enters the game for J. Valanciunas
2:35.0,,,69-81,,P. Patterson enters the game for L. Scola
2:35.0,,,69-82,1,N. Powell makes free throw 2 of 2
2:14.0,A. Crabbe misses 2-pt shot from 14 ft,,69-82,,
2:14.0,,,69-82,,Defensive rebound by Team
1:56.0,,,69-84,2,N. Powell makes 2-pt shot from 22 ft
1:40.0,Shooting foul by N. Powell (drawn by E. Davis),,69-84,,
1:40.0,E. Davis makes free throw 1 of 2,1,70-84,,
1:40.0,E. Davis makes free throw 2 of 2,1,71-84,,
1:21.0,,,71-84,,D. DeRozan misses 2-pt shot at rim
1:20.0,,,71-84,,Offensive rebound by N. Powell
1:13.0,,,71-84,,Offensive foul by D. DeRozan
1:13.0,,,71-84,,Turnover by D. DeRozan (offensive foul)
1:03.0,D. Lillard makes 2-pt shot from 1 ft,2,73-84,,
0:47.0,,,73-84,,Shooting foul by G. Henderson (drawn by D. DeRozan)
0:47.0,,,73-85,1,D. DeRozan makes free throw 1 of 2
0:47.0,C. McCollum enters the game for E. Davis,,73-85,,
0:47.0,,,73-86,1,D. DeRozan makes free throw 2 of 2
0:34.0,Shooting foul by B. Biyombo (drawn by D. Lillard),,73-86,,
0:34.0,D. Lillard makes free throw 1 of 2,1,74-86,,
0:34.0,D. Lillard makes free throw 2 of 2,1,75-86,,
0:25.0,,,75-88,2,D. DeRozan makes 2-pt shot from 3 ft
0:13.0,,,75-88,,Violation by B. Biyombo (def goaltending)
0:13.0,G. Henderson makes 2-pt shot from 1 ft (assist by D. Lillard),2,77-88,,
0:01.0,,,77-88,,Shooting foul by D. Lillard (drawn by D. DeRozan)
0:01.0,,,77-89,1,D. DeRozan makes free throw 1 of 2
0:01.0,E. Davis enters the game for D. Lillard,,77-89,,
0:01.0,,,77-90,1,D. DeRozan makes free throw 2 of 2
0:00.0,M. Plumlee misses 3-pt shot from 58 ft,,77-90,,
0:00.0,Offensive rebound by Team,,77-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,77-90,,C. Joseph misses 2-pt shot from 8 ft
11:39.0,,,77-90,,Offensive rebound by P. Patterson
11:36.0,,,77-92,2,P. Patterson makes 2-pt shot from 7 ft
11:22.0,Shooting foul by T. Ross (drawn by M. Plumlee),,77-92,,
11:22.0,M. Plumlee makes free throw 1 of 2,1,78-92,,
11:22.0,M. Plumlee misses free throw 2 of 2,,78-92,,
11:20.0,,,78-92,,Defensive rebound by P. Patterson
11:06.0,,,78-92,,K. Lowry misses 2-pt shot from 14 ft
11:05.0,Defensive rebound by M. Harkless,,78-92,,
10:54.0,Shooting foul by P. Patterson (drawn by M. Plumlee),,78-92,,
10:54.0,M. Plumlee makes free throw 1 of 2,1,79-92,,
10:54.0,M. Plumlee makes free throw 2 of 2,1,80-92,,
10:39.0,,,80-94,2,T. Ross makes 2-pt shot from 19 ft
10:26.0,,,80-94,,Personal foul by T. Ross (drawn by G. Henderson)
10:24.0,,,80-94,,Personal foul by C. Joseph (drawn by M. Plumlee)
10:20.0,M. Plumlee makes 2-pt shot from 7 ft,2,82-94,,
9:58.0,,,82-94,,B. Biyombo misses 2-pt shot from 4 ft
9:57.0,Defensive rebound by M. Plumlee,,82-94,,
9:48.0,A. Crabbe misses 2-pt shot from 20 ft,,82-94,,
9:47.0,,,82-94,,Defensive rebound by P. Patterson
9:43.0,,,82-94,,Shooting foul by A. Crabbe (drawn by K. Lowry)
9:43.0,,,82-95,1,K. Lowry makes free throw 1 of 2
9:43.0,,,82-95,,K. Lowry misses free throw 2 of 2
9:42.0,Defensive rebound by G. Henderson,,82-95,,
9:24.0,C. McCollum makes 2-pt shot from 4 ft (assist by M. Plumlee),2,84-95,,
9:15.0,Violation by M. Plumlee (kicked ball),,84-95,,
9:15.0,D. Lillard enters the game for A. Crabbe,,84-95,,
8:57.0,,,84-95,,K. Lowry misses 2-pt shot from 14 ft
8:57.0,Defensive rebound by M. Harkless,,84-95,,
8:45.0,Turnover by D. Lillard (bad pass; steal by C. Joseph),,84-95,,
8:35.0,,,84-97,2,P. Patterson makes 2-pt shot from 1 ft (assist by K. Lowry)
8:16.0,C. McCollum makes 2-pt shot from 13 ft,2,86-97,,
7:57.0,,,86-97,,T. Ross misses 2-pt shot from 14 ft
7:56.0,Defensive rebound by M. Plumlee,,86-97,,
7:48.0,,,86-97,,Personal foul by K. Lowry (drawn by C. McCollum)
7:48.0,Official timeout,,86-97,,
7:48.0,,,86-97,,D. DeRozan enters the game for K. Lowry
7:48.0,C. McCollum makes free throw 1 of 2,1,87-97,,
7:48.0,C. McCollum makes free throw 2 of 2,1,88-97,,
7:35.0,,,88-97,,Turnover by D. DeRozan (bad pass)
7:20.0,C. McCollum misses 2-pt shot from 18 ft,,88-97,,
7:19.0,,,88-97,,Defensive rebound by C. Joseph
7:11.0,,,88-97,,T. Ross misses 3-pt shot from 24 ft
7:10.0,Defensive rebound by M. Harkless,,88-97,,
7:04.0,,,88-97,,Personal foul by T. Ross (drawn by D. Lillard)
7:04.0,D. Lillard makes free throw 1 of 2,1,89-97,,
7:04.0,D. Lillard makes free throw 2 of 2,1,90-97,,
6:43.0,,,90-97,,C. Joseph misses 2-pt shot from 15 ft
6:43.0,Defensive rebound by G. Henderson,,90-97,,
6:33.0,D. Lillard makes 3-pt shot from 25 ft,3,93-97,,
6:33.0,,,93-97,,Toronto full timeout
6:33.0,,,93-97,,K. Lowry enters the game for T. Ross
6:19.0,,,93-97,,D. DeRozan misses 2-pt shot from 19 ft
6:18.0,Defensive rebound by Team,,93-97,,
6:18.0,,,93-97,,Loose ball foul by B. Biyombo (drawn by M. Harkless)
6:18.0,M. Harkless makes free throw 1 of 2,1,94-97,,
6:18.0,,,94-97,,J. Valanciunas enters the game for B. Biyombo
6:18.0,M. Harkless misses free throw 2 of 2,,94-97,,
