time,Milwaukee,pts.away,score,pts.home,Washington
6:48.0,,,7-12,,Turnover by O. Porter (lost ball; steal by M. Carter-Williams)
6:41.0,M. Carter-Williams makes 2-pt shot from 6 ft,2,9-12,,
6:24.0,,,9-12,,D. Gooden misses 2-pt shot at rim (block by G. Antetokounmpo)
6:23.0,,,9-12,,Offensive rebound by J. Dudley
6:20.0,,,9-14,2,J. Dudley makes 2-pt shot from 14 ft
6:04.0,J. Parker makes 2-pt shot from 3 ft (assist by M. Carter-Williams),2,11-14,,
5:54.0,,,11-14,,Turnover by J. Wall (bad pass)
5:54.0,,,11-14,,Washington full timeout
5:54.0,J. Henson enters the game for G. Monroe,,11-14,,
5:43.0,Shooting foul by G. Temple (drawn by K. Middleton),,11-14,,
5:43.0,K. Middleton misses free throw 1 of 2,,11-14,,
5:43.0,Offensive rebound by Team,,11-14,,
5:43.0,K. Middleton makes free throw 2 of 2,1,12-14,,
5:30.0,,,12-16,2,D. Gooden makes 2-pt shot from 13 ft (assist by J. Wall)
5:13.0,Turnover by J. Parker (bad pass; steal by G. Temple),,12-16,,
5:00.0,,,12-19,3,G. Temple makes 3-pt shot from 25 ft (assist by J. Wall)
4:45.0,Turnover by M. Carter-Williams (bad pass; steal by G. Temple),,12-19,,
4:37.0,,,12-21,2,O. Porter makes 2-pt shot from 17 ft (assist by G. Temple)
4:35.0,Milwaukee full timeout,,12-21,,
4:35.0,O. Mayo enters the game for J. Parker,,12-21,,
4:19.0,O. Mayo misses 2-pt shot from 9 ft,,12-21,,
4:17.0,,,12-21,,Defensive rebound by D. Gooden
4:13.0,,,12-23,2,J. Wall makes 2-pt shot at rim
3:47.0,J. Henson makes 2-pt shot at rim (assist by K. Middleton),2,14-23,,
3:29.0,,,14-23,,Turnover by O. Porter (bad pass)
3:29.0,J. O'Bryant enters the game for G. Antetokounmpo,,14-23,,
3:29.0,,,14-23,,B. Beal enters the game for O. Porter
3:08.0,K. Middleton makes 2-pt shot from 16 ft,2,16-23,,
2:46.0,,,16-23,,D. Gooden misses 2-pt shot at rim
2:45.0,Defensive rebound by J. Henson,,16-23,,
2:42.0,K. Middleton makes 2-pt shot at rim (assist by O. Mayo),2,18-23,,
2:25.0,Personal foul by J. Henson (drawn by D. Gooden),,18-23,,
2:25.0,,,18-23,,R. Sessions enters the game for J. Wall
2:25.0,R. Vaughn enters the game for M. Carter-Williams,,18-23,,
2:09.0,,,18-23,,D. Gooden misses 3-pt shot from 24 ft
2:08.0,Defensive rebound by K. Middleton,,18-23,,
2:01.0,J. Henson misses 2-pt shot from 6 ft,,18-23,,
2:00.0,,,18-23,,Defensive rebound by D. Gooden
1:46.0,,,18-25,2,B. Beal makes 2-pt shot from 18 ft
1:27.0,R. Vaughn misses 3-pt shot from 25 ft,,18-25,,
1:26.0,Offensive rebound by J. O'Bryant,,18-25,,
1:21.0,Turnover by J. Henson (bad pass; steal by J. Dudley),,18-25,,
1:17.0,,,18-27,2,R. Sessions makes 2-pt shot from 1 ft (assist by B. Beal)
0:58.0,Turnover by K. Middleton (lost ball; steal by J. Dudley),,18-27,,
0:53.0,,,18-29,2,B. Beal makes 2-pt shot at rim (assist by R. Sessions)
0:53.0,Milwaukee full timeout,,18-29,,
0:35.0,J. O'Bryant misses 2-pt shot from 18 ft,,18-29,,
0:34.0,,,18-29,,Defensive rebound by B. Beal
0:26.0,,,18-29,,Turnover by R. Sessions (lost ball)
0:08.0,Turnover by K. Middleton (lost ball; steal by G. Temple),,18-29,,
0:02.0,,,18-29,,R. Sessions misses 2-pt shot at rim
0:01.0,Defensive rebound by J. Henson,,18-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,18-29,,D. Gooden misses 2-pt shot from 20 ft
11:45.0,Defensive rebound by G. Antetokounmpo,,18-29,,
11:29.0,R. Vaughn makes 2-pt shot from 10 ft (assist by O. Mayo),2,20-29,,
11:15.0,,,20-29,,O. Porter misses 2-pt shot from 1 ft
11:14.0,,,20-29,,Offensive rebound by Team
11:07.0,,,20-29,,O. Porter misses 2-pt shot from 3 ft
11:05.0,,,20-29,,Offensive rebound by O. Porter
11:04.0,,,20-29,,Shooting foul by J. Henson (drawn by O. Porter)
11:04.0,,,20-30,1,O. Porter makes free throw 1 of 2
11:04.0,G. Monroe enters the game for J. Henson,,20-30,,
11:04.0,,,20-30,,N. Hilario enters the game for D. Gooden
11:04.0,,,20-30,,O. Porter misses free throw 2 of 2
11:03.0,Defensive rebound by G. Antetokounmpo,,20-30,,
10:46.0,Turnover by G. Antetokounmpo (bad pass; steal by G. Neal),,20-30,,
10:41.0,,,20-32,2,R. Sessions makes 2-pt shot from 2 ft (assist by G. Neal)
10:31.0,G. Antetokounmpo misses 2-pt shot at rim,,20-32,,
10:28.0,,,20-32,,Defensive rebound by O. Porter
10:21.0,,,20-32,,Offensive foul by N. Hilario
10:21.0,,,20-32,,Turnover by N. Hilario (offensive foul)
10:10.0,,,20-32,,Personal foul by O. Porter (drawn by G. Monroe)
9:59.0,Shooting foul by N. Hilario (drawn by G. Antetokounmpo),,20-32,,
9:59.0,G. Antetokounmpo makes free throw 1 of 2,1,21-32,,
9:59.0,G. Antetokounmpo misses free throw 2 of 2,,21-32,,
9:59.0,,,21-32,,Defensive rebound by N. Hilario
9:51.0,,,21-35,3,G. Neal makes 3-pt shot from 26 ft
9:44.0,Milwaukee full timeout,,21-35,,
9:29.0,G. Monroe makes 2-pt shot at rim,2,23-35,,
9:14.0,,,23-37,2,N. Hilario makes 2-pt shot from 5 ft (assist by B. Beal)
9:14.0,,,23-37,,Shooting foul by J. O'Bryant (drawn by N. Hilario)
9:14.0,,,23-38,1,N. Hilario makes free throw 1 of 1
8:56.0,G. Monroe makes 2-pt shot from 1 ft,2,25-38,,
8:41.0,,,25-38,,O. Porter misses 3-pt shot from 25 ft
8:40.0,Defensive rebound by G. Monroe,,25-38,,
8:38.0,Shooting foul by B. Beal (drawn by J. O'Bryant),,25-38,,
8:38.0,J. O'Bryant misses free throw 1 of 2,,25-38,,
8:38.0,Offensive rebound by Team,,25-38,,
8:38.0,J. O'Bryant misses free throw 2 of 2,,25-38,,
8:37.0,,,25-38,,Defensive rebound by G. Neal
8:16.0,,,25-38,,R. Sessions misses 3-pt shot from 24 ft
8:15.0,Defensive rebound by G. Monroe,,25-38,,
8:03.0,G. Monroe misses 2-pt shot from 4 ft,,25-38,,
8:02.0,,,25-38,,Defensive rebound by N. Hilario
7:45.0,,,25-38,,Offensive foul by N. Hilario
7:45.0,,,25-38,,Turnover by N. Hilario (offensive foul)
7:45.0,J. Parker enters the game for J. O'Bryant,,25-38,,
7:45.0,,,25-38,,D. Gooden enters the game for N. Hilario
7:27.0,R. Vaughn misses 3-pt shot from 26 ft,,25-38,,
7:26.0,,,25-38,,Defensive rebound by B. Beal
7:14.0,,,25-40,2,R. Sessions makes 2-pt shot at rim (assist by D. Gooden)
7:14.0,,,25-40,,Shooting foul by O. Mayo (drawn by R. Sessions)
7:14.0,,,25-41,1,R. Sessions makes free throw 1 of 1
7:03.0,J. Parker misses 2-pt shot from 14 ft,,25-41,,
7:03.0,,,25-41,,Defensive rebound by Team
7:03.0,Personal foul by G. Monroe (drawn by D. Gooden),,25-41,,
7:03.0,M. Carter-Williams enters the game for R. Vaughn,,25-41,,
7:03.0,K. Middleton enters the game for G. Antetokounmpo,,25-41,,
6:50.0,,,25-44,3,B. Beal makes 3-pt shot from 23 ft (assist by R. Sessions)
6:31.0,,,25-44,,Personal foul by R. Sessions (drawn by G. Monroe)
6:31.0,,,25-44,,J. Wall enters the game for B. Beal
6:27.0,O. Mayo makes 2-pt shot at rim (assist by G. Monroe),2,27-44,,
6:02.0,,,27-44,,O. Porter misses 2-pt shot from 20 ft
6:01.0,Defensive rebound by G. Monroe,,27-44,,
5:54.0,Shooting foul by D. Gooden (drawn by G. Monroe),,27-44,,
5:54.0,Official timeout,,27-44,,
5:54.0,G. Monroe misses free throw 1 of 2,,27-44,,
5:54.0,Offensive rebound by Team,,27-44,,
5:54.0,G. Monroe makes free throw 2 of 2,1,28-44,,
5:43.0,,,28-44,,O. Porter misses 3-pt shot from 25 ft
5:42.0,Defensive rebound by M. Carter-Williams,,28-44,,
5:32.0,Turnover by O. Mayo (traveling),,28-44,,
5:32.0,,,28-44,,G. Temple enters the game for G. Neal
5:18.0,,,28-44,,G. Temple misses 2-pt shot from 21 ft
5:16.0,Defensive rebound by G. Monroe,,28-44,,
5:15.0,K. Middleton makes 2-pt shot from 1 ft (assist by O. Mayo),2,30-44,,
5:15.0,Shooting foul by O. Porter (drawn by K. Middleton),,30-44,,
5:15.0,,,30-44,,J. Dudley enters the game for O. Porter
5:15.0,K. Middleton makes free throw 1 of 1,1,31-44,,
4:58.0,,,31-44,,Turnover by J. Wall (bad pass; steal by M. Carter-Williams)
4:54.0,O. Mayo misses 2-pt shot from 1 ft (block by G. Temple),,31-44,,
4:49.0,,,31-44,,Defensive rebound by J. Wall
4:46.0,,,31-46,2,J. Dudley makes 2-pt shot at rim (assist by R. Sessions)
4:38.0,,,31-46,,Personal foul by J. Dudley (drawn by G. Monroe)
4:38.0,G. Monroe misses free throw 1 of 2,,31-46,,
4:38.0,Offensive rebound by Team,,31-46,,
4:38.0,G. Antetokounmpo enters the game for O. Mayo,,31-46,,
4:38.0,G. Monroe makes free throw 2 of 2,1,32-46,,
4:24.0,,,32-46,,Shooting foul by K. Middleton (drawn by R. Sessions)
4:24.0,,,32-47,1,R. Sessions makes free throw 1 of 2
4:24.0,,,32-47,,R. Sessions misses free throw 2 of 2
4:22.0,Defensive rebound by J. Parker,,32-47,,
4:02.0,K. Middleton makes 2-pt shot from 16 ft,2,34-47,,
3:34.0,,,34-49,2,J. Wall makes 2-pt shot from 21 ft
3:17.0,,,34-49,,Personal foul by D. Gooden (drawn by G. Monroe)
3:17.0,G. Monroe makes free throw 1 of 2,1,35-49,,
3:17.0,G. Monroe misses free throw 2 of 2,,35-49,,
3:16.0,,,35-49,,Defensive rebound by J. Dudley
3:01.0,,,35-52,3,J. Wall makes 3-pt shot from 23 ft (assist by G. Temple)
2:48.0,G. Monroe makes 2-pt shot from 5 ft (assist by M. Carter-Williams),2,37-52,,
2:33.0,,,37-52,,J. Wall misses 2-pt shot from 16 ft
2:32.0,,,37-52,,Offensive rebound by D. Gooden
2:31.0,,,37-54,2,D. Gooden makes 2-pt shot from 2 ft
2:18.0,G. Monroe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,39-54,,
2:03.0,,,39-54,,J. Dudley misses 3-pt shot from 25 ft
2:02.0,,,39-54,,Offensive rebound by R. Sessions
1:59.0,,,39-56,2,R. Sessions makes 2-pt shot from 1 ft
1:56.0,Milwaukee full timeout,,39-56,,
1:56.0,,,39-56,,D. Blair enters the game for D. Gooden
1:42.0,J. Parker makes 2-pt shot from 1 ft,2,41-56,,
1:22.0,,,41-56,,D. Blair misses 2-pt shot from 3 ft
1:21.0,Defensive rebound by G. Antetokounmpo,,41-56,,
1:07.0,J. Parker makes 2-pt shot from 1 ft,2,43-56,,
0:46.0,,,43-56,,G. Temple misses 3-pt shot from 23 ft
0:45.0,Defensive rebound by K. Middleton,,43-56,,
0:37.0,G. Monroe misses 2-pt shot at rim,,43-56,,
0:36.0,Offensive rebound by K. Middleton,,43-56,,
0:33.0,K. Middleton misses 2-pt shot from 9 ft,,43-56,,
0:32.0,,,43-56,,Defensive rebound by G. Temple
0:25.0,,,43-56,,R. Sessions misses 2-pt shot from 2 ft
0:24.0,Defensive rebound by G. Antetokounmpo,,43-56,,
0:17.0,M. Carter-Williams misses 2-pt shot from 10 ft,,43-56,,
0:16.0,Offensive rebound by M. Carter-Williams,,43-56,,
0:02.0,K. Middleton misses 3-pt shot from 24 ft,,43-56,,
0:01.0,Offensive rebound by J. Parker,,43-56,,
0:01.0,J. Parker misses 2-pt shot from 1 ft,,43-56,,
0:00.0,Offensive rebound by Team,,43-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,43-56,,J. Dudley misses 3-pt shot from 25 ft
11:34.0,Defensive rebound by G. Antetokounmpo,,43-56,,
11:19.0,J. Parker makes 2-pt shot from 11 ft (assist by G. Antetokounmpo),2,45-56,,
11:03.0,,,45-56,,O. Porter misses 2-pt shot from 1 ft
11:02.0,Defensive rebound by G. Monroe,,45-56,,
10:56.0,Turnover by M. Carter-Williams (bad pass),,45-56,,
10:41.0,Personal foul by J. Parker (drawn by N. Hilario),,45-56,,
10:36.0,,,45-59,3,G. Temple makes 3-pt shot from 26 ft
10:19.0,M. Carter-Williams makes 2-pt shot from 4 ft,2,47-59,,
9:55.0,,,47-59,,N. Hilario misses 2-pt shot from 18 ft
9:54.0,,,47-59,,Offensive rebound by J. Dudley
9:53.0,,,47-59,,Turnover by Team (shot clock)
9:35.0,J. Parker makes 2-pt shot at rim (assist by K. Middleton),2,49-59,,
9:22.0,,,49-59,,J. Wall misses 2-pt shot from 18 ft
9:21.0,Defensive rebound by G. Monroe,,49-59,,
9:12.0,Turnover by G. Antetokounmpo (lost ball),,49-59,,
8:57.0,,,49-59,,O. Porter misses 3-pt shot from 25 ft
8:56.0,Defensive rebound by G. Monroe,,49-59,,
8:48.0,J. Parker makes 2-pt shot at rim (assist by K. Middleton),2,51-59,,
8:47.0,,,51-59,,Washington full timeout
8:35.0,,,51-59,,J. Dudley misses 2-pt shot from 20 ft
8:34.0,Defensive rebound by G. Monroe,,51-59,,
8:12.0,G. Antetokounmpo makes 2-pt shot at rim,2,53-59,,
8:07.0,Violation by K. Middleton (kicked ball),,53-59,,
7:51.0,,,53-62,3,J. Dudley makes 3-pt shot from 24 ft (assist by N. Hilario)
7:38.0,Turnover by G. Monroe (traveling),,53-62,,
7:32.0,,,53-62,,Turnover by J. Wall (lost ball; steal by G. Antetokounmpo)
7:30.0,,,53-62,,Personal take foul by J. Dudley (drawn by G. Antetokounmpo)
7:20.0,K. Middleton misses 2-pt shot from 14 ft,,53-62,,
7:19.0,Offensive rebound by G. Monroe,,53-62,,
7:17.0,G. Monroe misses 2-pt shot from 1 ft,,53-62,,
7:16.0,,,53-62,,Defensive rebound by J. Dudley
7:01.0,,,53-64,2,O. Porter makes 2-pt shot from 4 ft (assist by N. Hilario)
6:52.0,Turnover by J. Parker (bad pass; steal by O. Porter),,53-64,,
6:46.0,,,53-66,2,J. Wall makes 2-pt shot at rim (assist by O. Porter)
6:46.0,Milwaukee full timeout,,53-66,,
6:46.0,J. Henson enters the game for G. Monroe,,53-66,,
6:46.0,R. Vaughn enters the game for J. Parker,,53-66,,
6:46.0,,,53-66,,B. Beal enters the game for O. Porter
6:33.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,55-66,,
6:12.0,,,55-66,,J. Dudley misses 2-pt shot from 15 ft
6:11.0,Defensive rebound by K. Middleton,,55-66,,
5:53.0,R. Vaughn misses 2-pt shot from 15 ft,,55-66,,
5:52.0,,,55-66,,Defensive rebound by G. Temple
5:43.0,,,55-66,,J. Dudley misses 3-pt shot from 22 ft
5:42.0,Defensive rebound by G. Antetokounmpo,,55-66,,
5:36.0,M. Carter-Williams misses 2-pt shot from 1 ft (block by J. Wall),,55-66,,
5:36.0,Offensive rebound by Team,,55-66,,
5:36.0,,,55-66,,D. Gooden enters the game for N. Hilario
5:29.0,M. Carter-Williams misses 2-pt shot from 19 ft,,55-66,,
5:28.0,,,55-66,,Defensive rebound by J. Wall
5:13.0,,,55-66,,Turnover by D. Gooden (lost ball; steal by M. Carter-Williams)
5:09.0,Shooting foul by J. Wall (drawn by G. Antetokounmpo),,55-66,,
5:09.0,G. Antetokounmpo makes free throw 1 of 2,1,56-66,,
5:09.0,G. Antetokounmpo makes free throw 2 of 2,1,57-66,,
4:54.0,,,57-66,,B. Beal misses 3-pt shot from 28 ft
4:53.0,,,57-66,,Offensive rebound by D. Gooden
4:51.0,,,57-66,,D. Gooden misses 2-pt shot from 1 ft
4:50.0,Defensive rebound by M. Carter-Williams,,57-66,,
4:43.0,K. Middleton makes 2-pt shot at rim (assist by M. Carter-Williams),2,59-66,,
4:34.0,,,59-66,,G. Temple misses 3-pt shot from 22 ft
4:33.0,,,59-66,,Offensive rebound by Team
4:30.0,,,59-66,,B. Beal misses 2-pt shot from 15 ft
4:29.0,Defensive rebound by G. Antetokounmpo,,59-66,,
4:16.0,Turnover by K. Middleton (lost ball; steal by B. Beal),,59-66,,
4:11.0,,,59-66,,B. Beal misses 2-pt shot from 1 ft
4:10.0,,,59-66,,Offensive rebound by G. Temple
4:10.0,,,59-68,2,G. Temple makes 2-pt shot at rim
3:53.0,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Carter-Williams),2,61-68,,
3:44.0,,,61-68,,Shooting foul by K. Middleton (drawn by D. Gooden)
3:44.0,,,61-68,,D. Gooden misses free throw 1 of 2
3:44.0,,,61-68,,Offensive rebound by Team
3:44.0,J. O'Bryant enters the game for M. Carter-Williams,,61-68,,
3:44.0,,,61-69,1,D. Gooden makes free throw 2 of 2
3:26.0,Shooting foul by D. Gooden (drawn by J. O'Bryant),,61-69,,
3:26.0,J. O'Bryant makes free throw 1 of 2,1,62-69,,
3:26.0,,,62-69,,D. Blair enters the game for J. Dudley
3:26.0,J. O'Bryant makes free throw 2 of 2,1,63-69,,
3:06.0,,,63-71,2,D. Blair makes 2-pt shot from 10 ft (assist by G. Temple)
2:46.0,Shooting foul by D. Blair (drawn by G. Antetokounmpo),,63-71,,
2:46.0,G. Antetokounmpo makes free throw 1 of 2,1,64-71,,
2:46.0,G. Antetokounmpo makes free throw 2 of 2,1,65-71,,
2:25.0,,,65-71,,J. Wall misses 2-pt shot from 17 ft
2:24.0,Defensive rebound by G. Antetokounmpo,,65-71,,
2:02.0,G. Antetokounmpo makes 2-pt shot from 7 ft,2,67-71,,
2:02.0,Shooting foul by B. Beal (drawn by G. Antetokounmpo),,67-71,,
2:02.0,G. Antetokounmpo makes free throw 1 of 1,1,68-71,,
2:02.0,,,68-71,,Washington full timeout
1:52.0,,,68-71,,B. Beal misses 2-pt shot from 1 ft
1:51.0,Defensive rebound by J. O'Bryant,,68-71,,
1:45.0,Shooting foul by J. Wall (drawn by K. Middleton),,68-71,,
1:45.0,K. Middleton makes free throw 1 of 2,1,69-71,,
1:45.0,K. Middleton makes free throw 2 of 2,1,70-71,,
1:31.0,,,70-71,,Turnover by J. Wall (lost ball; steal by K. Middleton)
1:14.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,70-71,,
1:13.0,,,70-71,,Defensive rebound by Team
1:13.0,Loose ball foul by J. O'Bryant (drawn by D. Blair),,70-71,,
1:13.0,,,70-71,,R. Sessions enters the game for J. Wall
0:58.0,,,70-71,,D. Blair misses 2-pt shot from 14 ft
0:57.0,Defensive rebound by G. Antetokounmpo,,70-71,,
0:37.0,K. Middleton makes 2-pt shot from 12 ft,2,72-71,,
0:28.0,,,72-71,,R. Sessions misses 2-pt shot from 9 ft (block by J. Henson)
0:27.0,Defensive rebound by Team,,72-71,,
0:27.0,,,72-71,,K. Oubre enters the game for G. Temple
0:07.0,K. Middleton misses 2-pt shot from 16 ft,,72-71,,
0:06.0,Offensive rebound by R. Vaughn,,72-71,,
0:02.0,J. Henson makes 2-pt shot at rim (assist by R. Vaughn),2,74-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Turnover by M. Carter-Williams (bad pass; steal by K. Oubre),,74-71,,
11:47.0,,,74-71,,Shooting foul by M. Carter-Williams (drawn by K. Oubre)
11:47.0,,,74-72,1,K. Oubre makes free throw 1 of 2
11:47.0,,,74-73,1,K. Oubre makes free throw 2 of 2
11:33.0,Turnover by J. Henson (bad pass; steal by N. Hilario),,74-73,,
11:29.0,,,74-75,2,R. Sessions makes 2-pt shot at rim (assist by N. Hilario)
11:21.0,Milwaukee full timeout,,74-75,,
11:03.0,Turnover by M. Carter-Williams (lost ball),,74-75,,
10:45.0,,,74-75,,N. Hilario misses 2-pt shot from 2 ft
10:44.0,Defensive rebound by J. O'Bryant,,74-75,,
10:36.0,M. Carter-Williams misses 2-pt shot from 4 ft,,74-75,,
10:35.0,Offensive rebound by J. O'Bryant,,74-75,,
10:35.0,K. Middleton enters the game for R. Vaughn,,74-75,,
10:35.0,G. Antetokounmpo enters the game for M. Carter-Williams,,74-75,,
10:35.0,,,74-75,,J. Wall enters the game for B. Beal
10:35.0,,,74-75,,Washington full timeout
10:34.0,Jump ball: N. Hilario vs. J. O'Bryant (R. Sessions gains possession),,,,Jump ball: N. Hilario vs. J. O'Bryant (R. Sessions gains possession)
10:34.0,Turnover by J. O'Bryant (lost ball; steal by N. Hilario),,74-75,,
10:20.0,,,74-78,3,K. Oubre makes 3-pt shot from 23 ft (assist by J. Wall)
10:09.0,,,74-78,,Personal foul by K. Oubre (drawn by J. Parker)
10:04.0,Turnover by J. Henson (bad pass; steal by D. Gooden),,74-78,,
10:01.0,,,74-78,,Shooting foul by G. Antetokounmpo (drawn by J. Wall)
10:01.0,,,74-78,,J. Wall misses free throw 1 of 2
10:01.0,,,74-78,,Offensive rebound by Team
10:01.0,,,74-79,1,J. Wall makes free throw 2 of 2
9:51.0,J. Henson misses 2-pt shot from 4 ft,,74-79,,
9:50.0,,,74-79,,Defensive rebound by D. Gooden
9:38.0,,,74-81,2,J. Wall makes 2-pt shot from 17 ft
9:22.0,Turnover by J. Henson (bad pass; steal by K. Oubre),,74-81,,
9:16.0,,,74-81,,J. Wall misses 2-pt shot from 2 ft
9:14.0,,,74-81,,Offensive rebound by J. Wall
9:07.0,,,74-81,,R. Sessions misses 2-pt shot from 21 ft
9:06.0,Defensive rebound by G. Antetokounmpo,,74-81,,
9:00.0,Offensive foul by G. Antetokounmpo,,74-81,,
9:00.0,Turnover by G. Antetokounmpo (offensive foul),,74-81,,
8:38.0,,,74-81,,Shooting foul by J. O'Bryant (drawn by J. Wall)
8:38.0,,,74-82,1,J. Wall makes free throw 1 of 2
8:38.0,G. Monroe enters the game for J. Henson,,74-82,,
8:38.0,R. Vaughn enters the game for J. O'Bryant,,74-82,,
8:38.0,,,74-83,1,J. Wall makes free throw 2 of 2
8:28.0,G. Monroe misses 2-pt shot at rim (block by N. Hilario),,74-83,,
8:28.0,Offensive rebound by Team,,74-83,,
8:25.0,K. Middleton makes 2-pt shot from 14 ft (assist by G. Antetokounmpo),2,76-83,,
8:06.0,,,76-85,2,N. Hilario makes 2-pt shot from 2 ft (assist by R. Sessions)
7:49.0,Offensive foul by J. Parker,,76-85,,
7:49.0,Turnover by J. Parker (offensive foul),,76-85,,
7:25.0,,,76-85,,K. Oubre misses 3-pt shot from 27 ft
7:24.0,Defensive rebound by J. Parker,,76-85,,
7:16.0,K. Middleton makes 3-pt shot from 23 ft (assist by J. Parker),3,79-85,,
6:57.0,,,79-87,2,N. Hilario makes 2-pt shot from 16 ft (assist by R. Sessions)
6:40.0,Turnover by G. Antetokounmpo (bad pass; steal by J. Wall),,79-87,,
6:35.0,,,79-87,,Shooting foul by K. Middleton (drawn by N. Hilario)
6:35.0,,,79-88,1,N. Hilario makes free throw 1 of 2
6:35.0,,,79-88,,N. Hilario misses free throw 2 of 2
6:33.0,Defensive rebound by K. Middleton,,79-88,,
6:24.0,G. Antetokounmpo misses 2-pt shot from 6 ft,,79-88,,
6:23.0,,,79-88,,Defensive rebound by K. Oubre
6:18.0,,,79-91,3,R. Sessions makes 3-pt shot from 25 ft (assist by J. Wall)
6:15.0,Milwaukee full timeout,,79-91,,
6:15.0,,,79-91,,J. Dudley enters the game for N. Hilario
6:04.0,Shooting foul by J. Wall (drawn by G. Antetokounmpo),,79-91,,
6:04.0,G. Antetokounmpo misses free throw 1 of 2,,79-91,,
6:04.0,Offensive rebound by Team,,79-91,,
6:04.0,G. Antetokounmpo makes free throw 2 of 2,1,80-91,,
5:50.0,,,80-91,,Turnover by D. Gooden (bad pass)
5:40.0,Offensive foul by K. Middleton,,80-91,,
5:40.0,Turnover by K. Middleton (offensive foul),,80-91,,
5:40.0,,,80-91,,B. Beal enters the game for R. Sessions
5:29.0,,,80-93,2,J. Wall makes 2-pt shot at rim
5:19.0,,,80-93,,Personal foul by D. Gooden (drawn by G. Monroe)
5:08.0,J. Parker misses 2-pt shot from 15 ft,,80-93,,
5:07.0,,,80-93,,Defensive rebound by B. Beal
4:46.0,,,80-93,,Turnover by K. Oubre (lost ball; steal by G. Antetokounmpo)
4:41.0,Shooting foul by K. Oubre (drawn by K. Middleton),,80-93,,
4:41.0,K. Middleton makes free throw 1 of 2,1,81-93,,
4:41.0,K. Middleton makes free throw 2 of 2,1,82-93,,
4:30.0,,,82-93,,Turnover by B. Beal (lost ball; steal by G. Monroe)
4:26.0,Offensive foul by G. Antetokounmpo,,82-93,,
4:26.0,Turnover by G. Antetokounmpo (offensive foul),,82-93,,
4:26.0,,,82-93,,N. Hilario enters the game for D. Gooden
4:11.0,,,82-93,,K. Oubre misses 2-pt shot from 1 ft
4:10.0,Defensive rebound by G. Monroe,,82-93,,
