time,Philadelphia,pts.away,score,pts.home,Indiana
7:27.0,,,8-12,2,I. Mahinmi makes 2-pt shot at rim (assist by M. Turner)
7:13.0,I. Canaan misses 2-pt shot from 21 ft,,8-12,,
7:12.0,,,8-12,,Defensive rebound by P. George
6:49.0,,,8-12,,M. Ellis misses 3-pt shot from 22 ft
6:48.0,Defensive rebound by H. Thompson,,8-12,,
6:30.0,J. Grant makes 2-pt shot from 19 ft,2,10-12,,
6:23.0,,,10-12,,Indiana full timeout
6:23.0,N. Stauskas enters the game for H. Thompson,,10-12,,
6:10.0,,,10-12,,Offensive charge foul by M. Turner
6:10.0,,,10-12,,Turnover by M. Turner (offensive foul)
6:10.0,S. Weems enters the game for I. Canaan,,10-12,,
6:01.0,Turnover by N. Stauskas (lost ball; steal by M. Ellis),,10-12,,
5:56.0,,,10-14,2,M. Turner makes 2-pt shot at rim (assist by M. Ellis)
5:34.0,N. Stauskas misses 3-pt shot from 28 ft,,10-14,,
5:33.0,,,10-14,,Defensive rebound by G. Hill
5:18.0,,,10-16,2,M. Turner makes 2-pt shot from 18 ft (assist by G. Hill)
5:00.0,I. Smith misses 2-pt shot from 19 ft,,10-16,,
5:00.0,,,10-16,,Defensive rebound by M. Turner
4:48.0,,,10-19,3,M. Ellis makes 3-pt shot from 23 ft (assist by P. George)
4:46.0,Philadelphia full timeout,,10-19,,
4:46.0,C. Landry enters the game for J. Grant,,10-19,,
4:46.0,,,10-19,,R. Stuckey enters the game for G. Hill
4:31.0,E. Brand misses 2-pt shot from 14 ft,,10-19,,
4:31.0,,,10-19,,Defensive rebound by M. Turner
4:24.0,,,10-21,2,I. Mahinmi makes 2-pt shot from 2 ft (assist by R. Stuckey)
4:24.0,,,10-21,,Shooting foul by C. Landry (drawn by I. Mahinmi)
4:24.0,,,10-21,,I. Mahinmi misses free throw 1 of 1
4:24.0,Defensive rebound by S. Weems,,10-21,,
4:02.0,C. Landry misses 2-pt shot from 4 ft,,10-21,,
4:02.0,,,10-21,,Defensive rebound by I. Mahinmi
3:42.0,,,10-21,,Turnover by I. Mahinmi (lost ball; steal by I. Smith)
3:32.0,Shooting foul by R. Stuckey (drawn by N. Stauskas),,10-21,,
3:32.0,N. Stauskas makes free throw 1 of 2,1,11-21,,
3:32.0,T. McConnell enters the game for I. Smith,,11-21,,
3:32.0,N. Noel enters the game for E. Brand,,11-21,,
3:32.0,,,11-21,,L. Allen enters the game for M. Turner
3:32.0,N. Stauskas makes free throw 2 of 2,1,12-21,,
3:17.0,,,12-21,,P. George misses 2-pt shot from 17 ft
3:17.0,Defensive rebound by N. Noel,,12-21,,
3:06.0,Turnover by N. Stauskas (lost ball; steal by P. George),,12-21,,
3:00.0,,,12-21,,P. George misses 2-pt shot from 1 ft (block by N. Stauskas)
2:59.0,Defensive rebound by C. Landry,,12-21,,
2:40.0,C. Landry makes 2-pt shot from 1 ft,2,14-21,,
2:25.0,,,14-21,,Shooting foul by N. Noel (drawn by P. George)
2:25.0,,,14-22,1,P. George makes free throw 1 of 2
2:25.0,,,14-22,,T. Lawson enters the game for M. Ellis
2:25.0,,,14-23,1,P. George makes free throw 2 of 2
2:16.0,S. Weems makes 2-pt shot from 9 ft (assist by T. McConnell),2,16-23,,
2:02.0,,,16-23,,R. Stuckey misses 2-pt shot from 18 ft
2:02.0,Defensive rebound by S. Weems,,16-23,,
1:53.0,Offensive foul by N. Noel,,16-23,,
1:53.0,Turnover by N. Noel (offensive foul),,16-23,,
1:53.0,,,16-23,,J. Hill enters the game for I. Mahinmi
1:53.0,J. Grant enters the game for N. Noel,,16-23,,
1:32.0,,,16-25,2,J. Hill makes 2-pt shot from 12 ft
1:14.0,C. Landry misses 2-pt shot from 17 ft,,16-25,,
1:13.0,,,16-25,,Defensive rebound by L. Allen
1:03.0,,,16-25,,J. Hill misses 2-pt shot from 12 ft (block by C. Landry)
1:01.0,Defensive rebound by T. McConnell,,16-25,,
0:54.0,J. Grant misses 2-pt shot from 1 ft,,16-25,,
0:53.0,,,16-25,,Defensive rebound by J. Hill
0:33.0,,,16-25,,P. George misses 2-pt shot from 19 ft
0:31.0,Defensive rebound by S. Weems,,16-25,,
0:31.0,,,16-25,,Loose ball foul by L. Allen
0:19.0,S. Weems makes 2-pt shot at rim (assist by T. McConnell),2,18-25,,
0:05.0,Personal foul by T. McConnell,,18-25,,
0:00.0,,,18-25,,R. Stuckey misses 2-pt shot from 17 ft
0:00.0,,,18-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Turnover by T. McConnell (lost ball),,18-25,,
11:32.0,,,18-25,,R. Stuckey misses 3-pt shot from 25 ft
11:31.0,Defensive rebound by J. Grant,,18-25,,
11:13.0,N. Stauskas misses 2-pt shot at rim (block by L. Allen),,18-25,,
11:12.0,,,18-25,,Defensive rebound by L. Allen
11:05.0,,,18-25,,R. Stuckey misses 2-pt shot from 1 ft
11:04.0,Defensive rebound by T. McConnell,,18-25,,
10:57.0,J. Grant makes 2-pt shot at rim (assist by T. McConnell),2,20-25,,
10:47.0,,,20-25,,C. Miles misses 2-pt shot from 12 ft
10:45.0,Defensive rebound by Team,,20-25,,
10:27.0,J. Grant misses 2-pt shot from 16 ft,,20-25,,
10:27.0,,,20-25,,Defensive rebound by T. Lawson
10:17.0,,,20-25,,L. Allen misses 2-pt shot from 7 ft
10:16.0,Defensive rebound by C. Landry,,20-25,,
10:07.0,T. McConnell misses 2-pt shot from 13 ft,,20-25,,
10:07.0,,,20-25,,Defensive rebound by L. Allen
9:59.0,,,20-28,3,T. Lawson makes 3-pt shot from 26 ft (assist by C. Miles)
9:40.0,T. McConnell misses 3-pt shot from 26 ft,,20-28,,
9:38.0,,,20-28,,Defensive rebound by Team
9:38.0,H. Thompson enters the game for N. Stauskas,,20-28,,
9:38.0,N. Noel enters the game for C. Landry,,20-28,,
9:20.0,,,20-28,,Indiana full timeout
9:16.0,,,20-28,,R. Stuckey misses 2-pt shot from 10 ft
9:15.0,Defensive rebound by H. Thompson,,20-28,,
8:56.0,T. McConnell misses 2-pt shot from 1 ft,,20-28,,
8:55.0,,,20-28,,Defensive rebound by T. Lawson
8:39.0,,,20-31,3,R. Stuckey makes 3-pt shot from 26 ft (assist by T. Lawson)
8:22.0,N. Noel misses 2-pt shot from 17 ft,,20-31,,
8:21.0,Offensive rebound by J. Grant,,20-31,,
8:10.0,T. McConnell makes 2-pt shot from 18 ft,2,22-31,,
8:03.0,,,22-31,,Turnover by T. Lawson (lost ball; steal by H. Thompson)
7:51.0,J. Grant makes 2-pt shot from 1 ft,2,24-31,,
7:44.0,,,24-31,,R. Stuckey misses 2-pt shot from 1 ft
7:43.0,,,24-31,,Offensive rebound by J. Hill
7:38.0,,,24-31,,L. Allen misses 2-pt shot from 19 ft
7:37.0,Defensive rebound by N. Noel,,24-31,,
7:19.0,H. Thompson makes 2-pt shot at rim (assist by N. Noel),2,26-31,,
6:53.0,,,26-31,,R. Stuckey misses 3-pt shot from 25 ft
6:52.0,,,26-31,,Offensive rebound by Team
6:52.0,,,26-31,,Turnover by Team (shot clock)
6:52.0,,,26-31,,G. Hill enters the game for R. Stuckey
6:52.0,,,26-31,,M. Ellis enters the game for L. Allen
6:52.0,,,26-31,,M. Turner enters the game for T. Lawson
6:52.0,I. Smith enters the game for S. Weems,,26-31,,
6:52.0,I. Canaan enters the game for T. McConnell,,26-31,,
6:40.0,I. Smith misses 2-pt shot from 6 ft,,26-31,,
6:40.0,,,26-31,,Defensive rebound by G. Hill
6:25.0,,,26-31,,C. Miles misses 3-pt shot from 25 ft
6:25.0,,,26-31,,Offensive rebound by J. Hill
6:22.0,,,26-33,2,J. Hill makes 2-pt shot from 1 ft
6:22.0,Philadelphia full timeout,,26-33,,
6:22.0,E. Brand enters the game for J. Grant,,26-33,,
6:12.0,,,26-33,,Personal block foul by M. Turner
5:59.0,I. Smith misses 2-pt shot from 14 ft,,26-33,,
5:58.0,,,26-33,,Defensive rebound by C. Miles
5:53.0,,,26-33,,Shooting foul by I. Smith (drawn by J. Hill)
5:53.0,,,26-34,1,J. Hill makes free throw 1 of 2
5:53.0,,,26-35,1,J. Hill makes free throw 2 of 2
5:37.0,E. Brand misses 2-pt shot from 10 ft,,26-35,,
5:34.0,,,26-35,,Defensive rebound by M. Turner
5:30.0,,,26-35,,Turnover by M. Ellis (bad pass)
5:15.0,I. Canaan misses 3-pt shot from 23 ft,,26-35,,
5:15.0,,,26-35,,Defensive rebound by J. Hill
5:07.0,,,26-35,,C. Miles misses 2-pt shot at rim
5:05.0,,,26-35,,Offensive rebound by M. Turner
5:05.0,,,26-37,2,M. Turner makes 2-pt shot at rim
4:50.0,Shooting foul by C. Miles (drawn by H. Thompson),,26-37,,
4:50.0,H. Thompson makes free throw 1 of 2,1,27-37,,
4:50.0,H. Thompson makes free throw 2 of 2,1,28-37,,
4:33.0,,,28-40,3,C. Miles makes 3-pt shot from 22 ft (assist by M. Ellis)
4:14.0,Turnover by N. Noel (lost ball; steal by M. Turner),,28-40,,
4:10.0,,,28-42,2,G. Hill makes 2-pt shot at rim
3:59.0,H. Thompson misses 3-pt shot from 26 ft,,28-42,,
3:58.0,,,28-42,,Defensive rebound by M. Ellis
3:52.0,,,28-42,,Turnover by M. Ellis (lost ball; steal by I. Smith)
3:46.0,I. Canaan misses 3-pt shot from 26 ft,,28-42,,
3:44.0,Offensive rebound by I. Smith,,28-42,,
3:44.0,I. Smith misses 2-pt shot from 1 ft,,28-42,,
3:43.0,Offensive rebound by I. Smith,,28-42,,
3:41.0,I. Smith misses 2-pt shot at rim,,28-42,,
3:40.0,Offensive rebound by H. Thompson,,28-42,,
3:40.0,H. Thompson misses 2-pt shot at rim,,28-42,,
3:39.0,Offensive rebound by I. Canaan,,28-42,,
3:35.0,Offensive charge foul by N. Noel,,28-42,,
3:35.0,Turnover by N. Noel (offensive foul),,28-42,,
3:35.0,C. Landry enters the game for N. Noel,,28-42,,
3:35.0,,,28-42,,P. George enters the game for G. Hill
3:35.0,,,28-42,,I. Mahinmi enters the game for J. Hill
3:19.0,,,28-42,,C. Miles misses 3-pt shot from 25 ft
3:19.0,Defensive rebound by I. Smith,,28-42,,
3:10.0,E. Brand makes 2-pt shot from 14 ft (assist by I. Smith),2,30-42,,
2:50.0,,,30-42,,M. Turner misses 3-pt shot from 25 ft
2:49.0,Defensive rebound by I. Smith,,30-42,,
2:42.0,,,30-42,,Personal foul by P. George
2:42.0,Official timeout,,30-42,,
2:42.0,J. Grant enters the game for E. Brand,,30-42,,
2:33.0,I. Smith misses 3-pt shot from 26 ft,,30-42,,
2:32.0,,,30-42,,Defensive rebound by P. George
2:24.0,,,30-42,,Turnover by I. Mahinmi (bad pass)
2:14.0,H. Thompson makes 2-pt shot from 14 ft,2,32-42,,
1:51.0,,,32-42,,P. George misses 2-pt shot from 16 ft
1:49.0,,,32-42,,Offensive rebound by I. Mahinmi
1:47.0,,,32-42,,I. Mahinmi misses 2-pt shot from 5 ft
1:47.0,Defensive rebound by I. Smith,,32-42,,
1:31.0,J. Grant misses 2-pt shot from 1 ft (block by M. Turner),,32-42,,
1:30.0,Offensive rebound by I. Canaan,,32-42,,
1:26.0,J. Grant makes 2-pt shot at rim (assist by I. Smith),2,34-42,,
1:09.0,,,34-44,2,M. Ellis makes 2-pt shot from 18 ft
0:56.0,,,34-44,,Violation by C. Miles (kicked ball)
0:56.0,,,34-44,,S. Hill enters the game for M. Turner
0:44.0,I. Canaan misses 2-pt shot from 10 ft,,34-44,,
0:43.0,Offensive rebound by C. Landry,,34-44,,
0:42.0,C. Landry makes 2-pt shot at rim,2,36-44,,
0:32.0,,,36-47,3,M. Ellis makes 3-pt shot from 24 ft
0:32.0,Philadelphia full timeout,,36-47,,
0:28.0,I. Smith misses 2-pt shot at rim,,36-47,,
0:28.0,,,36-47,,Defensive rebound by I. Mahinmi
0:06.0,,,36-47,,M. Ellis misses 2-pt shot from 19 ft
0:05.0,Defensive rebound by I. Canaan,,36-47,,
0:00.0,I. Smith misses 2-pt shot from 13 ft,,36-47,,
0:00.0,Offensive rebound by Team,,36-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,I. Canaan makes 2-pt shot from 8 ft,2,38-47,,
11:12.0,,,38-47,,M. Ellis misses 3-pt shot from 28 ft
11:09.0,Defensive rebound by I. Canaan,,38-47,,
11:05.0,J. Grant makes 2-pt shot at rim (assist by I. Smith),2,40-47,,
10:45.0,,,40-47,,M. Ellis misses 3-pt shot from 24 ft
10:44.0,Defensive rebound by N. Noel,,40-47,,
10:29.0,I. Canaan makes 3-pt shot from 24 ft,3,43-47,,
10:09.0,,,43-49,2,G. Hill makes 2-pt shot from 16 ft (assist by M. Ellis)
9:48.0,I. Smith misses 2-pt shot from 20 ft,,43-49,,
9:47.0,,,43-49,,Defensive rebound by I. Mahinmi
9:37.0,,,43-51,2,I. Mahinmi makes 2-pt shot at rim (assist by M. Ellis)
9:17.0,I. Canaan makes 3-pt shot from 26 ft (assist by N. Noel),3,46-51,,
9:04.0,,,46-51,,P. George misses 3-pt shot from 27 ft
9:03.0,Defensive rebound by N. Noel,,46-51,,
8:46.0,Turnover by H. Thompson (lost ball; steal by M. Turner),,46-51,,
8:42.0,,,46-51,,P. George misses 2-pt shot from 1 ft (block by J. Grant)
8:42.0,,,46-51,,Offensive rebound by Team
8:35.0,Personal foul by H. Thompson,,46-51,,
8:22.0,,,46-53,2,M. Turner makes 2-pt shot from 15 ft (assist by P. George)
8:08.0,N. Noel makes 2-pt shot at rim (assist by J. Grant),2,48-53,,
7:52.0,,,48-55,2,M. Turner makes 2-pt shot from 19 ft (assist by G. Hill)
7:37.0,H. Thompson makes 2-pt shot from 18 ft,2,50-55,,
7:37.0,,,50-55,,Indiana full timeout
7:18.0,,,50-55,,P. George misses 2-pt shot from 17 ft
7:17.0,Defensive rebound by I. Smith,,50-55,,
7:06.0,I. Canaan makes 3-pt shot from 26 ft (assist by H. Thompson),3,53-55,,
6:50.0,,,53-57,2,G. Hill makes 2-pt shot from 20 ft
6:32.0,I. Canaan misses 2-pt shot from 6 ft (block by I. Mahinmi),,53-57,,
6:32.0,Offensive rebound by Team,,53-57,,
6:32.0,N. Stauskas enters the game for N. Noel,,53-57,,
6:32.0,C. Landry enters the game for H. Thompson,,53-57,,
6:23.0,Turnover by Team (shot clock),,53-57,,
6:13.0,,,53-57,,P. George misses 2-pt shot from 20 ft
6:12.0,Defensive rebound by I. Smith,,53-57,,
6:06.0,,,53-57,,Personal foul by G. Hill
6:06.0,T. McConnell enters the game for I. Smith,,53-57,,
5:53.0,J. Grant misses 2-pt shot from 1 ft (block by M. Turner),,53-57,,
5:52.0,,,53-57,,Defensive rebound by M. Turner
5:36.0,,,53-57,,Turnover by P. George (bad pass)
5:23.0,Turnover by C. Landry (traveling),,53-57,,
5:11.0,,,53-57,,M. Ellis misses 2-pt shot from 20 ft
5:10.0,,,53-57,,Offensive rebound by I. Mahinmi
5:02.0,,,53-57,,Shooting foul by J. Grant (drawn by P. George)
5:02.0,,,53-58,1,P. George makes free throw 1 of 2
5:02.0,S. Weems enters the game for I. Canaan,,53-58,,
5:02.0,,,53-59,1,P. George makes free throw 2 of 2
4:57.0,,,53-59,,Personal foul by M. Ellis
4:51.0,Offensive foul by J. Grant,,53-59,,
4:51.0,Turnover by J. Grant (offensive foul),,53-59,,
4:39.0,,,53-59,,Offensive foul by I. Mahinmi
4:39.0,,,53-59,,Turnover by I. Mahinmi (offensive foul)
4:27.0,N. Stauskas misses 3-pt shot from 26 ft,,53-59,,
4:26.0,,,53-59,,Defensive rebound by I. Mahinmi
4:04.0,,,53-59,,P. George misses 2-pt shot from 1 ft (block by C. Landry)
4:04.0,,,53-59,,Offensive rebound by Team
4:04.0,E. Brand enters the game for J. Grant,,53-59,,
4:01.0,,,53-59,,M. Turner misses 3-pt shot from 26 ft
4:01.0,,,53-59,,Offensive rebound by Team
4:01.0,,,53-59,,Turnover by Team (shot clock)
3:46.0,C. Landry misses 2-pt shot from 19 ft,,53-59,,
3:45.0,,,53-59,,Defensive rebound by I. Mahinmi
3:35.0,,,53-61,2,G. Hill makes 2-pt shot from 18 ft
3:34.0,Philadelphia full timeout,,53-61,,
3:34.0,,,53-61,,L. Allen enters the game for M. Turner
3:34.0,,,53-61,,R. Stuckey enters the game for G. Hill
3:22.0,C. Landry misses 2-pt shot from 21 ft,,53-61,,
3:21.0,,,53-61,,Defensive rebound by R. Stuckey
3:03.0,Personal foul by C. Landry,,53-61,,
2:47.0,,,53-61,,Turnover by Team (shot clock)
2:27.0,N. Stauskas makes 2-pt shot from 1 ft (assist by S. Weems),2,55-61,,
2:06.0,Personal foul by S. Weems,,55-61,,
2:06.0,,,55-61,,T. Lawson enters the game for M. Ellis
2:06.0,,,55-61,,J. Hill enters the game for I. Mahinmi
1:54.0,,,55-61,,R. Stuckey misses 2-pt shot from 4 ft
1:54.0,Defensive rebound by C. Landry,,55-61,,
1:48.0,,,55-61,,Personal foul by R. Stuckey
1:30.0,Turnover by N. Stauskas (lost ball; steal by R. Stuckey),,55-61,,
1:18.0,,,55-61,,J. Hill misses 2-pt shot from 5 ft
1:17.0,Defensive rebound by C. Landry,,55-61,,
1:08.0,,,55-61,,Personal foul by P. George
1:08.0,S. Weems makes free throw 1 of 2,1,56-61,,
1:08.0,S. Weems misses free throw 2 of 2,,56-61,,
1:08.0,,,56-61,,Defensive rebound by J. Hill
0:52.0,,,56-61,,R. Stuckey misses 2-pt shot from 9 ft
0:51.0,,,56-61,,Offensive rebound by L. Allen
0:50.0,,,56-61,,Shooting foul by E. Brand (drawn by L. Allen)
0:50.0,,,56-62,1,L. Allen makes free throw 1 of 2
0:50.0,,,56-63,1,L. Allen makes free throw 2 of 2
0:42.0,Turnover by N. Stauskas (dbl dribble),,56-63,,
0:27.0,,,56-63,,J. Hill misses 2-pt shot from 18 ft
0:26.0,Defensive rebound by T. McConnell,,56-63,,
0:05.0,N. Stauskas misses 3-pt shot from 25 ft,,56-63,,
0:04.0,,,56-63,,Defensive rebound by J. Hill
0:00.0,,,56-66,3,T. Lawson makes 3-pt shot from 25 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,56-66,,T. Lawson misses 2-pt shot from 19 ft
11:37.0,Defensive rebound by J. Grant,,56-66,,
11:24.0,,,56-66,,Personal foul by T. Lawson
11:11.0,I. Canaan misses 3-pt shot from 27 ft,,56-66,,
11:09.0,Offensive rebound by N. Noel,,56-66,,
11:07.0,Shooting foul by L. Allen (drawn by N. Noel),,56-66,,
11:07.0,N. Noel makes free throw 1 of 2,1,57-66,,
11:07.0,N. Noel makes free throw 2 of 2,1,58-66,,
10:43.0,,,58-69,3,C. Miles makes 3-pt shot from 26 ft
10:29.0,H. Thompson misses 3-pt shot from 26 ft,,58-69,,
10:28.0,,,58-69,,Defensive rebound by L. Allen
10:21.0,,,58-69,,Turnover by R. Stuckey (lost ball)
10:10.0,N. Noel misses 2-pt shot from 11 ft,,58-69,,
10:10.0,,,58-69,,Defensive rebound by R. Stuckey
9:59.0,,,58-71,2,R. Stuckey makes 2-pt shot at rim (assist by T. Lawson)
9:40.0,H. Thompson makes 2-pt shot from 4 ft,2,60-71,,
9:20.0,,,60-71,,Turnover by J. Hill (lost ball; steal by I. Smith)
9:18.0,,,60-71,,Personal foul by T. Lawson
9:05.0,,,60-71,,Personal foul by C. Miles
9:05.0,Philadelphia full timeout,,60-71,,
8:53.0,I. Smith makes 2-pt shot from 18 ft,2,62-71,,
8:28.0,,,62-71,,Shooting foul by N. Noel (drawn by R. Stuckey)
8:28.0,,,62-71,,R. Stuckey misses free throw 1 of 2
8:28.0,,,62-71,,Offensive rebound by Team
8:28.0,,,62-72,1,R. Stuckey makes free throw 2 of 2
8:04.0,I. Canaan makes 2-pt shot from 1 ft,2,64-72,,
7:42.0,,,64-75,3,R. Stuckey makes 3-pt shot from 24 ft (assist by L. Allen)
7:21.0,I. Smith misses 2-pt shot from 5 ft,,64-75,,
7:20.0,Offensive rebound by I. Smith,,64-75,,
7:15.0,I. Smith misses 2-pt shot from 1 ft,,64-75,,
7:15.0,Offensive rebound by N. Noel,,64-75,,
7:15.0,Shooting foul by L. Allen (drawn by N. Noel),,64-75,,
7:15.0,N. Noel misses free throw 1 of 2,,64-75,,
7:15.0,Offensive rebound by Team,,64-75,,
7:15.0,,,64-75,,P. George enters the game for R. Stuckey
7:15.0,,,64-75,,I. Mahinmi enters the game for J. Hill
7:15.0,C. Landry enters the game for J. Grant,,64-75,,
7:15.0,N. Noel misses free throw 2 of 2,,64-75,,
7:15.0,,,64-75,,Defensive rebound by I. Mahinmi
6:52.0,,,64-77,2,I. Mahinmi makes 2-pt shot from 8 ft
6:35.0,Turnover by I. Smith (lost ball; steal by P. George),,64-77,,
6:35.0,Loose ball foul by I. Smith,,64-77,,
6:29.0,,,64-77,,Offensive foul by I. Mahinmi
6:29.0,,,64-77,,Turnover by I. Mahinmi (offensive foul)
6:29.0,T. McConnell enters the game for I. Smith,,64-77,,
6:29.0,,,64-77,,G. Hill enters the game for T. Lawson
6:29.0,,,64-77,,M. Ellis enters the game for C. Miles
6:19.0,T. McConnell makes 2-pt shot from 16 ft,2,66-77,,
6:09.0,,,66-77,,G. Hill misses 3-pt shot from 25 ft
6:08.0,Defensive rebound by H. Thompson,,66-77,,
6:01.0,Turnover by I. Canaan (traveling),,66-77,,
5:43.0,Official timeout,,66-77,,
5:43.0,,,66-77,,M. Turner enters the game for L. Allen
5:40.0,,,66-80,3,P. George makes 3-pt shot from 25 ft (assist by M. Ellis)
5:13.0,H. Thompson makes 3-pt shot from 26 ft (assist by T. McConnell),3,69-80,,
4:48.0,,,69-80,,M. Ellis misses 3-pt shot from 25 ft
4:47.0,Defensive rebound by C. Landry,,69-80,,
4:25.0,I. Canaan misses 3-pt shot from 24 ft,,69-80,,
4:24.0,,,69-80,,Defensive rebound by P. George
4:18.0,,,69-82,2,M. Ellis makes 2-pt shot from 1 ft
4:17.0,Philadelphia full timeout,,69-82,,
4:17.0,J. Grant enters the game for N. Noel,,69-82,,
4:17.0,I. Smith enters the game for I. Canaan,,69-82,,
3:59.0,H. Thompson misses 2-pt shot from 1 ft (block by M. Turner),,69-82,,
3:58.0,,,69-82,,Defensive rebound by Team
3:36.0,,,69-82,,M. Turner misses 2-pt shot from 19 ft
3:36.0,Defensive rebound by H. Thompson,,69-82,,
3:25.0,I. Smith misses 2-pt shot from 11 ft,,69-82,,
3:24.0,,,69-82,,Defensive rebound by I. Mahinmi
3:01.0,,,69-82,,M. Ellis misses 2-pt shot from 20 ft
3:00.0,Defensive rebound by C. Landry,,69-82,,
2:52.0,,,69-82,,Personal foul by M. Turner
2:52.0,J. Grant makes free throw 1 of 2,1,70-82,,
2:52.0,J. Grant misses free throw 2 of 2,,70-82,,
2:52.0,,,70-82,,Defensive rebound by Team
2:52.0,Loose ball foul by C. Landry,,70-82,,
2:44.0,Personal foul by C. Landry,,70-82,,
2:33.0,,,70-82,,Shooting foul by H. Thompson (drawn by P. George)
2:33.0,,,70-83,1,P. George makes free throw 1 of 2
2:33.0,,,70-84,1,P. George makes free throw 2 of 2
2:33.0,Philadelphia full timeout,,70-84,,
2:33.0,I. Canaan enters the game for C. Landry,,70-84,,
2:24.0,J. Grant makes 2-pt shot from 2 ft (assist by I. Smith),2,72-84,,
2:24.0,Shooting foul by P. George (drawn by J. Grant),,72-84,,
2:24.0,,,72-84,,S. Hill enters the game for M. Turner
2:24.0,J. Grant makes free throw 1 of 1,1,73-84,,
2:18.0,,,73-86,2,P. George makes 2-pt shot at rim (assist by G. Hill)
2:07.0,I. Smith makes 2-pt shot from 1 ft,2,75-86,,
2:07.0,,,75-86,,Away from play foul by G. Hill
2:07.0,J. Grant misses free throw 1 of 1,,75-86,,
2:04.0,,,75-86,,Defensive rebound by M. Ellis
1:45.0,,,75-89,3,M. Ellis makes 3-pt shot from 23 ft (assist by G. Hill)
1:33.0,Turnover by T. McConnell (bad pass),,75-89,,
1:13.0,,,75-89,,P. George misses 3-pt shot from 25 ft
1:12.0,Defensive rebound by I. Smith,,75-89,,
1:00.0,I. Smith misses 2-pt shot from 18 ft,,75-89,,
1:00.0,,,75-89,,Defensive rebound by P. George
0:42.0,,,75-91,2,G. Hill makes 2-pt shot from 1 ft
0:35.0,H. Thompson misses 3-pt shot from 24 ft,,75-91,,
0:34.0,,,75-91,,Defensive rebound by I. Mahinmi
0:11.0,,,75-91,,P. George misses 3-pt shot from 33 ft
0:10.0,Defensive rebound by J. Grant,,75-91,,
0:07.0,,,75-91,,Violation by P. George (kicked ball)
0:01.0,J. Grant misses 3-pt shot from 28 ft,,75-91,,
0:00.0,,,75-91,,Defensive rebound by M. Ellis
0:00.0,End of 4th quarter,,,,End of 4th quarter
