time,Chicago,pts.away,score,pts.home,San Antonio
4:00.0,Turnover by N. Mirotic (lost ball; steal by M. Ginobili),,65-73,,
3:52.0,,,65-73,,L. Aldridge misses 2-pt shot from 2 ft (block by J. Holiday)
3:50.0,,,65-73,,Offensive rebound by Team
3:45.0,,,65-73,,M. Ginobili misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by E. Moore,,65-73,,
3:37.0,P. Gasol makes 2-pt shot from 1 ft (assist by N. Mirotic),2,67-73,,
3:15.0,,,67-75,2,L. Aldridge makes 2-pt shot from 16 ft (assist by M. Ginobili)
3:02.0,P. Gasol makes 3-pt shot from 24 ft (assist by D. McDermott),3,70-75,,
2:46.0,,,70-75,,Offensive foul by D. West
2:46.0,,,70-75,,Turnover by D. West (offensive foul)
2:36.0,N. Mirotic misses 3-pt shot from 24 ft,,70-75,,
2:35.0,,,70-75,,Defensive rebound by K. Leonard
2:27.0,,,70-78,3,K. Leonard makes 3-pt shot from 24 ft
2:10.0,E. Moore misses 3-pt shot from 25 ft,,70-78,,
2:09.0,Offensive rebound by Team,,70-78,,
2:01.0,Shooting foul by D. West (drawn by P. Gasol),,70-78,,
2:01.0,P. Gasol makes free throw 1 of 2,1,71-78,,
2:01.0,P. Gasol makes free throw 2 of 2,1,72-78,,
1:48.0,,,72-78,,P. Mills misses 2-pt shot from 20 ft
1:47.0,,,72-78,,Offensive rebound by D. West
1:44.0,,,72-78,,L. Aldridge misses 2-pt shot from 20 ft
1:43.0,Defensive rebound by N. Mirotic,,72-78,,
1:35.0,J. Holiday misses 3-pt shot from 24 ft,,72-78,,
1:34.0,,,72-78,,Defensive rebound by L. Aldridge
1:18.0,,,72-78,,Shooting foul by J. Holiday (drawn by K. Leonard)
1:18.0,,,72-79,1,K. Leonard makes free throw 1 of 2
1:18.0,,,72-79,,K. Anderson enters the game for M. Ginobili
1:18.0,,,72-80,1,K. Leonard makes free throw 2 of 2
1:03.0,Turnover by P. Gasol (lost ball; steal by L. Aldridge),,72-80,,
0:59.0,,,72-82,2,P. Mills makes 2-pt shot from 2 ft (assist by K. Leonard)
0:50.0,P. Gasol makes 2-pt shot from 3 ft (assist by D. McDermott),2,74-82,,
0:39.0,,,74-82,,Turnover by P. Mills (lost ball; steal by J. Holiday)
0:39.0,,,74-82,,Personal foul by K. Leonard
0:34.0,Turnover by E. Moore (bad pass),,74-82,,
0:14.0,,,74-82,,K. Anderson misses 2-pt shot from 17 ft
0:11.0,,,74-82,,Offensive rebound by D. West
0:09.0,,,74-84,2,L. Aldridge makes 2-pt shot at rim (assist by K. Anderson)
0:02.0,D. McDermott misses 2-pt shot from 12 ft,,74-84,,
0:00.0,Offensive rebound by J. Holiday,,74-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:51.0,,,74-84,,K. Leonard misses 2-pt shot from 16 ft
11:50.0,Defensive rebound by N. Mirotic,,74-84,,
11:34.0,D. Rose makes 2-pt shot from 3 ft,2,76-84,,
11:19.0,,,76-87,3,P. Mills makes 3-pt shot from 24 ft (assist by D. West)
11:04.0,D. Rose makes 2-pt shot from 17 ft,2,78-87,,
10:54.0,Personal foul by B. Portis,,78-87,,
10:54.0,,,78-87,,D. Green enters the game for K. Leonard
10:41.0,,,78-90,3,K. Anderson makes 3-pt shot from 23 ft (assist by P. Mills)
10:18.0,D. Rose makes 2-pt shot from 18 ft,2,80-90,,
10:02.0,,,80-90,,D. West misses 2-pt shot from 16 ft
10:00.0,Defensive rebound by N. Mirotic,,80-90,,
9:52.0,J. Holiday makes 2-pt shot from 3 ft,2,82-90,,
9:33.0,,,82-90,,P. Mills misses 2-pt shot from 2 ft
9:32.0,Defensive rebound by N. Mirotic,,82-90,,
9:31.0,Shooting foul by D. West (drawn by D. McDermott),,82-90,,
9:31.0,D. McDermott makes free throw 1 of 2,1,83-90,,
9:31.0,,,83-90,,T. Duncan enters the game for D. West
9:31.0,,,83-90,,T. Parker enters the game for A. Miller
9:31.0,D. McDermott makes free throw 2 of 2,1,84-90,,
9:16.0,,,84-90,,D. Green misses 2-pt shot from 18 ft
9:16.0,,,84-90,,Offensive rebound by Team
9:16.0,Loose ball foul by B. Portis,,84-90,,
9:13.0,Personal foul by J. Holiday,,84-90,,
9:06.0,,,84-90,,P. Mills misses 3-pt shot from 24 ft
9:05.0,Defensive rebound by N. Mirotic,,84-90,,
8:57.0,Turnover by J. Holiday (lost ball; steal by K. Anderson),,84-90,,
8:51.0,,,84-90,,K. Anderson misses 2-pt shot from 3 ft
8:50.0,Defensive rebound by D. McDermott,,84-90,,
8:36.0,J. Holiday makes 3-pt shot from 25 ft (assist by D. Rose),3,87-90,,
8:05.0,,,87-90,,D. Green misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by B. Portis,,87-90,,
7:58.0,Turnover by J. Holiday (lost ball; steal by K. Anderson),,87-90,,
7:57.0,Personal foul by N. Mirotic,,87-90,,
7:57.0,Official timeout,,87-90,,
7:57.0,,,87-90,,K. Leonard enters the game for P. Mills
7:41.0,,,87-92,2,T. Parker makes 2-pt shot from 3 ft (assist by T. Duncan)
7:24.0,B. Portis misses 2-pt shot from 20 ft,,87-92,,
7:23.0,,,87-92,,Defensive rebound by K. Anderson
7:15.0,,,87-94,2,T. Parker makes 2-pt shot from 17 ft
7:15.0,Chicago full timeout,,87-94,,
7:15.0,,,87-94,,L. Aldridge enters the game for K. Anderson
7:15.0,T. Gibson enters the game for J. Holiday,,87-94,,
7:15.0,M. Dunleavy enters the game for B. Portis,,87-94,,
7:02.0,E. Moore enters the game for D. McDermott,,87-94,,
7:02.0,D. Rose misses 2-pt shot from 20 ft (block by K. Leonard),,87-94,,
7:01.0,,,87-94,,Defensive rebound by L. Aldridge
6:44.0,,,87-94,,T. Parker misses 2-pt shot from 15 ft
6:43.0,Defensive rebound by E. Moore,,87-94,,
6:29.0,M. Dunleavy makes 3-pt shot from 26 ft (assist by N. Mirotic),3,90-94,,
6:04.0,,,90-96,2,K. Leonard makes 2-pt shot from 4 ft (assist by T. Parker)
5:52.0,T. Gibson makes 2-pt shot at rim (assist by E. Moore),2,92-96,,
5:36.0,,,92-98,2,L. Aldridge makes 2-pt shot from 17 ft (assist by T. Parker)
5:21.0,T. Gibson misses 2-pt shot from 4 ft,,92-98,,
5:20.0,,,92-98,,Defensive rebound by K. Leonard
5:10.0,Personal foul by N. Mirotic,,92-98,,
5:10.0,,,92-99,1,L. Aldridge makes free throw 1 of 2
5:10.0,P. Gasol enters the game for N. Mirotic,,92-99,,
5:10.0,,,92-100,1,L. Aldridge makes free throw 2 of 2
4:59.0,Turnover by D. Rose (lost ball; steal by K. Leonard),,92-100,,
4:47.0,,,92-100,,L. Aldridge misses 2-pt shot from 13 ft
4:46.0,Defensive rebound by M. Dunleavy,,92-100,,
4:32.0,Turnover by P. Gasol (bad pass),,92-100,,
4:12.0,,,92-100,,L. Aldridge misses 2-pt shot from 20 ft
4:09.0,,,92-100,,Offensive rebound by D. Green
4:09.0,,,92-102,2,D. Green makes 2-pt shot at rim
4:09.0,Chicago full timeout,,92-102,,
4:09.0,,,92-102,,D. West enters the game for T. Duncan
3:56.0,P. Gasol misses 2-pt shot from 4 ft,,92-102,,
3:54.0,,,92-102,,Defensive rebound by L. Aldridge
3:43.0,,,92-104,2,T. Parker makes 2-pt shot from 17 ft
3:22.0,E. Moore misses 2-pt shot from 10 ft (block by K. Leonard),,92-104,,
3:22.0,Offensive rebound by Team,,92-104,,
3:19.0,P. Gasol makes 2-pt shot from 19 ft (assist by D. Rose),2,94-104,,
3:03.0,,,94-104,,D. West misses 2-pt shot from 16 ft
3:01.0,Defensive rebound by M. Dunleavy,,94-104,,
3:01.0,,,94-104,,Personal foul by D. Green
3:01.0,,,94-104,,M. Ginobili enters the game for D. Green
2:39.0,T. Gibson misses 2-pt shot at rim,,94-104,,
2:38.0,,,94-104,,Defensive rebound by K. Leonard
2:38.0,Technical foul by Team,,94-104,,
2:38.0,,,94-104,,San Antonio full timeout
2:38.0,,,94-105,1,K. Leonard makes technical free throw
