time,Oklahoma City,pts.away,score,pts.home,San Antonio
5:42.0,K. Durant misses 3-pt shot from 26 ft,,31-36,,
5:40.0,Offensive rebound by A. Roberson,,31-36,,
5:36.0,E. Kanter makes 2-pt shot from 15 ft (assist by A. Roberson),2,33-36,,
5:13.0,,,33-36,,Turnover by L. Aldridge (lost ball; steal by S. Ibaka)
5:08.0,K. Durant makes 2-pt shot at rim (assist by R. Westbrook),2,35-36,,
4:58.0,,,35-39,3,K. Martin makes 3-pt shot from 25 ft (assist by K. Leonard)
4:46.0,R. Westbrook makes 2-pt shot from 4 ft,2,37-39,,
4:18.0,,,37-39,,T. Duncan misses 2-pt shot from 6 ft
4:17.0,Defensive rebound by E. Kanter,,37-39,,
4:09.0,S. Ibaka misses 2-pt shot from 15 ft,,37-39,,
4:08.0,,,37-39,,Defensive rebound by L. Aldridge
4:00.0,,,37-39,,K. Leonard misses 2-pt shot from 9 ft
3:59.0,Defensive rebound by S. Ibaka,,37-39,,
3:44.0,K. Durant misses 2-pt shot from 16 ft,,37-39,,
3:42.0,Offensive rebound by E. Kanter,,37-39,,
3:40.0,E. Kanter misses 2-pt shot from 1 ft,,37-39,,
3:39.0,,,37-39,,Defensive rebound by L. Aldridge
3:25.0,,,37-39,,L. Aldridge misses 2-pt shot from 4 ft (block by K. Durant)
3:23.0,Defensive rebound by R. Westbrook,,37-39,,
3:15.0,Shooting foul by L. Aldridge (drawn by K. Durant),,37-39,,
3:15.0,K. Durant makes free throw 1 of 2,1,38-39,,
3:15.0,K. Durant makes free throw 2 of 2,1,39-39,,
2:57.0,,,39-39,,L. Aldridge misses 2-pt shot from 12 ft
2:56.0,Defensive rebound by K. Durant,,39-39,,
2:46.0,E. Kanter makes 2-pt shot at rim (assist by K. Durant),2,41-39,,
2:46.0,Shooting foul by T. Duncan (drawn by E. Kanter),,41-39,,
2:46.0,Official timeout,,41-39,,
2:46.0,,,41-39,,D. West enters the game for T. Duncan
2:46.0,,,41-39,,M. Ginobili enters the game for K. Martin
2:46.0,E. Kanter makes free throw 1 of 1,1,42-39,,
2:32.0,,,42-41,2,K. Leonard makes 2-pt shot from 15 ft
2:16.0,R. Westbrook makes 2-pt shot from 1 ft,2,44-41,,
2:00.0,,,44-41,,L. Aldridge misses 2-pt shot from 3 ft
1:58.0,Defensive rebound by E. Kanter,,44-41,,
1:40.0,K. Durant makes 2-pt shot from 6 ft (assist by R. Westbrook),2,46-41,,
1:25.0,,,46-41,,T. Parker misses 2-pt shot from 17 ft
1:24.0,Defensive rebound by S. Ibaka,,46-41,,
1:16.0,K. Durant misses 3-pt shot from 25 ft,,46-41,,
1:15.0,,,46-41,,Defensive rebound by T. Parker
1:07.0,,,46-43,2,K. Leonard makes 2-pt shot from 17 ft (assist by T. Parker)
0:43.0,Shooting foul by M. Ginobili (drawn by S. Ibaka),,46-43,,
0:43.0,S. Ibaka misses free throw 1 of 2,,46-43,,
0:43.0,Offensive rebound by Team,,46-43,,
0:43.0,S. Ibaka makes free throw 2 of 2,1,47-43,,
0:31.0,,,47-43,,Shooting foul by K. Durant (drawn by K. Leonard)
0:31.0,,,47-44,1,K. Leonard makes free throw 1 of 2
0:31.0,,,47-45,1,K. Leonard makes free throw 2 of 2
0:29.0,Turnover by E. Kanter (offensive foul),,47-45,,
0:29.0,Offensive foul by E. Kanter,,47-45,,
0:29.0,,,47-45,,P. Mills enters the game for T. Parker
0:08.0,,,47-45,,Turnover by M. Ginobili (lost ball; steal by K. Durant)
0:06.0,K. Durant makes 2-pt shot from 1 ft,2,49-45,,
0:01.0,,,49-45,,Turnover by K. Leonard (bad pass)
0:00.0,S. Ibaka misses 3-pt shot from 40 ft,,49-45,,
0:00.0,Offensive rebound by Team,,49-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,49-47,2,L. Aldridge makes 2-pt shot from 4 ft
11:26.0,S. Adams makes 2-pt shot at rim (assist by K. Durant),2,51-47,,
11:10.0,,,51-49,2,K. Leonard makes 2-pt shot from 18 ft
10:51.0,K. Durant misses 2-pt shot from 16 ft,,51-49,,
10:50.0,,,51-49,,Defensive rebound by T. Duncan
10:43.0,,,51-49,,K. Leonard misses 3-pt shot from 24 ft
10:40.0,Defensive rebound by K. Durant,,51-49,,
10:31.0,K. Durant misses 2-pt shot from 18 ft,,51-49,,
10:29.0,Offensive rebound by S. Ibaka,,51-49,,
10:26.0,S. Ibaka misses 3-pt shot from 25 ft,,51-49,,
10:25.0,,,51-49,,Defensive rebound by K. Leonard
10:02.0,,,51-49,,D. Green misses 3-pt shot from 23 ft
10:01.0,Defensive rebound by A. Roberson,,51-49,,
9:51.0,S. Ibaka makes 2-pt shot from 19 ft (assist by R. Westbrook),2,53-49,,
9:35.0,,,53-49,,T. Parker misses 2-pt shot from 19 ft
9:34.0,Defensive rebound by S. Ibaka,,53-49,,
9:18.0,S. Ibaka misses 2-pt shot from 20 ft,,53-49,,
9:17.0,,,53-49,,Defensive rebound by D. Green
9:05.0,,,53-51,2,L. Aldridge makes 2-pt shot from 15 ft
8:40.0,S. Ibaka misses 2-pt shot from 16 ft,,53-51,,
8:39.0,Offensive rebound by R. Westbrook,,53-51,,
8:33.0,R. Westbrook misses 3-pt shot from 24 ft,,53-51,,
8:32.0,,,53-51,,Defensive rebound by D. Green
8:22.0,,,53-51,,Shooting foul by S. Ibaka (drawn by L. Aldridge)
8:22.0,,,53-52,1,L. Aldridge makes free throw 1 of 2
8:22.0,,,53-53,1,L. Aldridge makes free throw 2 of 2
8:08.0,Turnover by R. Westbrook (lost ball; steal by T. Duncan),,53-53,,
7:56.0,,,53-53,,T. Duncan misses 2-pt shot from 4 ft
7:55.0,Defensive rebound by S. Ibaka,,53-53,,
7:41.0,K. Durant makes 2-pt shot from 15 ft (assist by R. Westbrook),2,55-53,,
7:27.0,,,55-53,,Turnover by L. Aldridge (traveling)
7:18.0,,,55-53,,Violation by K. Leonard (kicked ball)
7:08.0,S. Adams makes 2-pt shot at rim (assist by K. Durant),2,57-53,,
7:00.0,,,57-53,,San Antonio full timeout
6:47.0,,,57-53,,D. Green misses 3-pt shot from 26 ft
6:46.0,Defensive rebound by S. Ibaka,,57-53,,
6:26.0,Turnover by R. Westbrook (lost ball; steal by K. Leonard),,57-53,,
6:24.0,,,57-53,,Shooting foul by K. Durant (drawn by D. Green)
6:24.0,,,57-54,1,D. Green makes free throw 1 of 2
6:24.0,,,57-55,1,D. Green makes free throw 2 of 2
6:07.0,A. Roberson makes 3-pt shot from 22 ft (assist by K. Durant),3,60-55,,
5:56.0,Personal block foul by K. Durant,,60-55,,
5:56.0,K. Singler enters the game for K. Durant,,60-55,,
5:56.0,E. Kanter enters the game for S. Adams,,60-55,,
5:45.0,,,60-55,,K. Leonard misses 2-pt shot from 16 ft
5:44.0,Defensive rebound by S. Ibaka,,60-55,,
5:30.0,R. Westbrook makes 2-pt shot from 8 ft,2,62-55,,
5:18.0,,,62-55,,Turnover by K. Leonard (lost ball; steal by S. Ibaka)
5:14.0,Turnover by R. Westbrook (lost ball; steal by D. Green),,62-55,,
5:06.0,,,62-55,,T. Parker misses 3-pt shot from 22 ft
5:04.0,Defensive rebound by R. Westbrook,,62-55,,
5:02.0,,,62-55,,Personal foul by D. Green
5:02.0,,,62-55,,M. Ginobili enters the game for D. Green
5:02.0,,,62-55,,D. West enters the game for T. Duncan
4:43.0,S. Ibaka misses 2-pt shot from 17 ft,,62-55,,
4:42.0,,,62-55,,Defensive rebound by L. Aldridge
4:36.0,,,62-55,,Shooting foul by A. Roberson (drawn by K. Leonard)
4:36.0,,,62-56,1,K. Leonard makes free throw 1 of 2
4:36.0,,,62-56,,P. Mills enters the game for T. Parker
4:36.0,,,62-57,1,K. Leonard makes free throw 2 of 2
4:19.0,R. Westbrook misses 2-pt shot from 2 ft,,62-57,,
4:18.0,,,62-57,,Defensive rebound by D. West
4:12.0,,,62-57,,K. Leonard misses 2-pt shot from 17 ft
4:10.0,,,62-57,,Offensive rebound by Team
3:56.0,,,62-57,,D. West misses 2-pt shot from 15 ft
3:55.0,Defensive rebound by E. Kanter,,62-57,,
3:36.0,R. Westbrook makes 2-pt shot at rim,2,64-57,,
3:14.0,,,64-57,,M. Ginobili misses 3-pt shot from 25 ft
3:13.0,,,64-57,,Offensive rebound by P. Mills
3:11.0,,,64-57,,Shooting foul by K. Singler (drawn by M. Ginobili)
3:11.0,,,64-58,1,M. Ginobili makes free throw 1 of 2
3:11.0,,,64-58,,K. Anderson enters the game for K. Leonard
3:11.0,,,64-59,1,M. Ginobili makes free throw 2 of 2
3:11.0,Oklahoma City full timeout,,64-59,,
2:49.0,R. Westbrook misses 3-pt shot from 26 ft,,64-59,,
2:48.0,,,64-59,,Defensive rebound by L. Aldridge
2:31.0,,,64-59,,K. Anderson misses 2-pt shot at rim (block by A. Roberson)
2:30.0,Defensive rebound by E. Kanter,,64-59,,
2:24.0,K. Singler misses 3-pt shot from 26 ft,,64-59,,
2:23.0,Offensive rebound by E. Kanter,,64-59,,
2:23.0,,,64-59,,Personal foul by M. Ginobili
2:23.0,K. Durant enters the game for R. Westbrook,,64-59,,
2:23.0,S. Adams enters the game for S. Ibaka,,64-59,,
2:13.0,S. Adams misses 2-pt shot at rim,,64-59,,
2:12.0,,,64-59,,Defensive rebound by K. Anderson
1:54.0,,,64-62,3,P. Mills makes 3-pt shot from 24 ft
1:43.0,,,64-62,,Personal foul by M. Ginobili
1:43.0,R. Foye enters the game for A. Roberson,,64-62,,
1:31.0,K. Singler misses 3-pt shot from 23 ft,,64-62,,
1:30.0,Offensive rebound by S. Adams,,64-62,,
1:16.0,S. Adams makes 2-pt shot from 5 ft (assist by K. Durant),2,66-62,,
1:08.0,Personal foul by S. Adams,,66-62,,
1:08.0,,,66-63,1,P. Mills makes free throw 1 of 2
1:08.0,,,66-63,,T. Duncan enters the game for L. Aldridge
1:08.0,N. Collison enters the game for S. Adams,,66-63,,
1:08.0,,,66-63,,P. Mills misses free throw 2 of 2
1:07.0,Defensive rebound by E. Kanter,,66-63,,
0:44.0,K. Durant makes 2-pt shot from 16 ft,2,68-63,,
0:33.0,,,68-63,,P. Mills misses 3-pt shot from 26 ft
0:33.0,,,68-63,,Offensive rebound by T. Duncan
0:32.0,,,68-63,,Shooting foul by R. Foye (drawn by T. Duncan)
0:32.0,,,68-64,1,T. Duncan makes free throw 1 of 2
0:32.0,,,68-64,,T. Duncan misses free throw 2 of 2
0:32.0,Defensive rebound by E. Kanter,,68-64,,
0:08.0,K. Singler misses 3-pt shot from 24 ft,,68-64,,
0:07.0,Offensive rebound by R. Foye,,68-64,,
0:04.0,Turnover by R. Foye (lost ball; steal by M. Ginobili),,68-64,,
0:01.0,,,68-66,2,K. Anderson makes 2-pt shot from 13 ft (assist by T. Duncan)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,Turnover by K. Durant (lost ball; steal by K. Anderson),,68-66,,
11:29.0,,,68-66,,K. Anderson misses 2-pt shot from 14 ft
11:28.0,Defensive rebound by K. Durant,,68-66,,
11:17.0,R. Foye makes 2-pt shot from 6 ft,2,70-66,,
11:00.0,,,70-66,,P. Mills misses 3-pt shot from 25 ft
11:00.0,Defensive rebound by E. Kanter,,70-66,,
10:48.0,K. Durant misses 2-pt shot from 6 ft,,70-66,,
10:46.0,Offensive rebound by K. Singler,,70-66,,
10:37.0,,,70-66,,Violation by K. Anderson (kicked ball)
10:33.0,K. Durant makes 2-pt shot at rim (assist by N. Collison),2,72-66,,
10:13.0,,,72-68,2,D. West makes 2-pt shot from 19 ft (assist by P. Mills)
9:58.0,Turnover by N. Collison (offensive foul),,72-68,,
9:58.0,Offensive foul by N. Collison,,72-68,,
9:58.0,,,72-68,,K. Leonard enters the game for K. Anderson
9:58.0,,,72-68,,D. Green enters the game for M. Ginobili
9:48.0,,,72-70,2,D. West makes 2-pt shot from 17 ft (assist by B. Diaw)
9:34.0,R. Westbrook enters the game for K. Singler,,72-70,,
9:32.0,Jump ball: R. Foye vs. D. Green (P. Mills gains possession),,,,Jump ball: R. Foye vs. D. Green (P. Mills gains possession)
9:32.0,Turnover by K. Durant (lost ball; steal by D. Green),,72-70,,
9:22.0,,,72-70,,D. West misses 2-pt shot from 2 ft
9:19.0,,,72-70,,Offensive rebound by D. West
9:19.0,,,72-72,2,D. West makes 2-pt shot from 1 ft
9:06.0,K. Durant makes 2-pt shot from 17 ft (assist by R. Westbrook),2,74-72,,
8:45.0,,,74-74,2,B. Diaw makes 2-pt shot from 4 ft
8:31.0,R. Foye misses 3-pt shot from 24 ft,,74-74,,
8:30.0,Offensive rebound by E. Kanter,,74-74,,
8:29.0,,,74-74,,Personal foul by D. Green
8:29.0,Official timeout,,74-74,,
8:29.0,A. Roberson enters the game for N. Collison,,74-74,,
8:29.0,S. Ibaka enters the game for K. Durant,,74-74,,
8:29.0,,,74-74,,L. Aldridge enters the game for B. Diaw
8:22.0,Turnover by R. Westbrook (lost ball),,74-74,,
8:04.0,,,74-74,,L. Aldridge misses 2-pt shot from 13 ft
8:03.0,,,74-74,,Offensive rebound by K. Leonard
7:58.0,,,74-76,2,K. Leonard makes 2-pt shot from 8 ft
7:32.0,E. Kanter makes 2-pt shot from 4 ft,2,76-76,,
7:19.0,,,76-79,3,D. Green makes 3-pt shot from 24 ft (assist by L. Aldridge)
6:48.0,Turnover by R. Westbrook (lost ball; steal by P. Mills),,76-79,,
6:45.0,K. Durant enters the game for R. Foye,,76-79,,
6:30.0,,,76-82,3,K. Leonard makes 3-pt shot from 23 ft (assist by P. Mills)
6:30.0,Oklahoma City full timeout,,76-82,,
6:14.0,K. Durant makes 2-pt shot from 15 ft,2,78-82,,
5:56.0,,,78-84,2,L. Aldridge makes 2-pt shot from 2 ft (assist by K. Leonard)
5:56.0,,,78-84,,Shooting foul by R. Westbrook (drawn by L. Aldridge)
5:56.0,S. Adams enters the game for E. Kanter,,78-84,,
5:56.0,,,78-85,1,L. Aldridge makes free throw 1 of 1
5:40.0,S. Adams misses 2-pt shot from 2 ft (block by L. Aldridge),,78-85,,
5:39.0,Offensive rebound by Team,,78-85,,
5:32.0,R. Westbrook misses 3-pt shot from 26 ft,,78-85,,
5:31.0,Offensive rebound by S. Ibaka,,78-85,,
5:27.0,S. Ibaka misses 2-pt shot from 1 ft,,78-85,,
5:26.0,,,78-85,,Defensive rebound by K. Leonard
5:12.0,,,78-85,,Turnover by L. Aldridge (lost ball; steal by S. Ibaka)
5:10.0,Shooting foul by L. Aldridge (drawn by A. Roberson),,78-85,,
5:10.0,A. Roberson makes free throw 1 of 2,1,79-85,,
5:10.0,A. Roberson misses free throw 2 of 2,,79-85,,
5:09.0,,,79-85,,Defensive rebound by D. West
4:46.0,,,79-85,,K. Leonard misses 3-pt shot from 27 ft
4:45.0,Defensive rebound by S. Ibaka,,79-85,,
4:35.0,K. Durant misses 2-pt shot from 10 ft,,79-85,,
4:33.0,,,79-85,,Defensive rebound by K. Leonard
4:16.0,,,79-85,,D. West misses 2-pt shot from 19 ft
4:15.0,Defensive rebound by S. Ibaka,,79-85,,
3:53.0,K. Durant makes 2-pt shot from 10 ft,2,81-85,,
3:51.0,,,81-85,,San Antonio full timeout
3:51.0,,,81-85,,T. Parker enters the game for P. Mills
3:34.0,,,81-87,2,K. Leonard makes 2-pt shot from 15 ft
3:14.0,Turnover by K. Durant (bad pass),,81-87,,
