time,Denver,pts.away,score,pts.home,Phoenix
3:39.0,,,9-17,1,A. Goodwin makes free throw 1 of 2
3:39.0,,,9-17,,T. Warren enters the game for T. Chandler
3:39.0,N. Jokic enters the game for K. Faried,,9-17,,
3:39.0,R. Foye enters the game for G. Harris,,9-17,,
3:39.0,,,9-18,1,A. Goodwin makes free throw 2 of 2
3:32.0,Turnover by J. Nelson (bad pass; steal by E. Bledsoe),,9-18,,
3:27.0,,,9-20,2,J. Leuer makes 2-pt shot from 1 ft (assist by A. Goodwin)
3:13.0,D. Gallinari misses 2-pt shot from 11 ft,,9-20,,
3:12.0,,,9-20,,Defensive rebound by J. Leuer
3:03.0,Violation by N. Jokic (kicked ball),,9-20,,
2:53.0,,,9-20,,Turnover by E. Bledsoe (step out of bounds)
2:40.0,D. Gallinari misses 3-pt shot from 23 ft,,9-20,,
2:39.0,,,9-20,,Defensive rebound by A. Goodwin
2:30.0,,,9-22,2,A. Goodwin makes 2-pt shot from 1 ft (assist by J. Leuer)
2:30.0,,,9-22,,Shooting foul by R. Foye (drawn by A. Goodwin)
2:30.0,,,9-22,,A. Goodwin misses free throw 1 of 1
2:30.0,Defensive rebound by W. Barton,,9-22,,
2:17.0,,,9-22,,Personal foul by A. Goodwin (drawn by D. Gallinari)
2:17.0,D. Arthur enters the game for D. Gallinari,,9-22,,
2:17.0,,,9-22,,A. Len enters the game for J. Leuer
2:17.0,,,9-22,,M. Teletovic enters the game for P. Tucker
2:14.0,Shooting foul by A. Len (drawn by J. Nelson),,9-22,,
2:14.0,J. Nelson makes free throw 1 of 2,1,10-22,,
2:14.0,J. Nelson makes free throw 2 of 2,1,11-22,,
2:00.0,,,11-24,2,A. Goodwin makes 2-pt shot from 2 ft
1:42.0,R. Foye misses 3-pt shot from 23 ft,,11-24,,
1:42.0,Offensive rebound by N. Jokic,,11-24,,
1:33.0,J. Nelson misses 2-pt shot from 15 ft,,11-24,,
1:33.0,,,11-24,,Defensive rebound by A. Len
1:33.0,Personal foul by N. Jokic (drawn by A. Len),,11-24,,
1:19.0,,,11-24,,A. Goodwin misses 2-pt shot from 1 ft
1:18.0,Defensive rebound by N. Jokic,,11-24,,
1:08.0,J. Nelson misses 3-pt shot from 24 ft,,11-24,,
1:08.0,Offensive rebound by Team,,11-24,,
1:08.0,,,11-24,,Personal foul by A. Len (drawn by N. Jokic)
1:04.0,J. Nelson misses 3-pt shot from 24 ft,,11-24,,
1:03.0,,,11-24,,Defensive rebound by A. Len
0:58.0,,,11-24,,Turnover by A. Len (bad pass)
0:39.0,D. Arthur misses 2-pt shot from 19 ft,,11-24,,
0:38.0,Offensive rebound by W. Barton,,11-24,,
0:35.0,W. Barton makes 2-pt shot from 3 ft,2,13-24,,
0:30.0,,,13-27,3,E. Bledsoe makes 3-pt shot from 24 ft
0:05.0,W. Barton misses 2-pt shot from 19 ft,,13-27,,
0:05.0,,,13-27,,Defensive rebound by A. Goodwin
0:01.0,,,13-27,,A. Goodwin misses 3-pt shot from 39 ft
0:00.0,,,13-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,R. Foye misses 2-pt shot from 17 ft,,13-27,,
11:42.0,,,13-27,,Defensive rebound by T. Warren
11:27.0,,,13-27,,T. Warren misses 2-pt shot from 10 ft
11:27.0,,,13-27,,Offensive rebound by T. Warren
11:27.0,,,13-27,,Shooting foul by N. Jokic (drawn by T. Warren)
11:27.0,,,13-28,1,T. Warren makes free throw 1 of 2
11:27.0,,,13-29,1,T. Warren makes free throw 2 of 2
11:11.0,J. Nelson misses 2-pt shot from 1 ft,,13-29,,
11:11.0,,,13-29,,Defensive rebound by T. Warren
11:04.0,,,13-29,,Turnover by B. Knight (traveling)
10:50.0,,,13-29,,Personal foul by B. Knight (drawn by J. Nelson)
10:36.0,W. Barton misses 2-pt shot from 19 ft,,13-29,,
10:35.0,Offensive rebound by N. Jokic,,13-29,,
10:26.0,R. Foye makes 2-pt shot from 18 ft,2,15-29,,
10:10.0,,,15-29,,Shooting foul by N. Jokic (drawn by A. Len)
10:10.0,,,15-30,1,A. Len makes free throw 1 of 2
10:10.0,K. Papanikolaou enters the game for N. Jokic,,15-30,,
10:10.0,J. Hickson enters the game for D. Arthur,,15-30,,
10:10.0,,,15-31,1,A. Len makes free throw 2 of 2
9:55.0,J. Nelson makes 2-pt shot from 3 ft,2,17-31,,
9:45.0,,,17-31,,B. Knight misses 3-pt shot from 25 ft
9:45.0,Defensive rebound by Team,,17-31,,
9:44.0,,,17-31,,T. Chandler enters the game for A. Len
9:23.0,J. Nelson misses 2-pt shot from 20 ft,,17-31,,
9:23.0,,,17-31,,Defensive rebound by Team
9:23.0,Loose ball foul by K. Papanikolaou (drawn by A. Goodwin),,17-31,,
9:16.0,,,17-31,,Turnover by B. Knight (bad pass; steal by K. Papanikolaou)
9:11.0,K. Papanikolaou makes 2-pt shot at rim,2,19-31,,
9:01.0,,,19-31,,Turnover by A. Goodwin (bad pass; steal by W. Barton)
8:50.0,J. Hickson misses 2-pt shot from 13 ft,,19-31,,
8:49.0,,,19-31,,Defensive rebound by T. Chandler
8:42.0,,,19-31,,T. Warren misses 2-pt shot at rim
8:41.0,,,19-31,,Offensive rebound by T. Warren
8:41.0,,,19-33,2,T. Warren makes 2-pt shot at rim
8:28.0,Turnover by W. Barton (lost ball; steal by T. Warren),,19-33,,
8:24.0,Shooting block foul by K. Papanikolaou (drawn by A. Goodwin),,19-33,,
8:24.0,Official timeout,,19-33,,
8:24.0,,,19-34,1,A. Goodwin makes free throw 1 of 2
8:24.0,,,19-34,,A. Goodwin misses free throw 2 of 2
8:24.0,Defensive rebound by W. Barton,,19-34,,
8:06.0,K. Papanikolaou misses 3-pt shot from 24 ft,,19-34,,
8:06.0,,,19-34,,Defensive rebound by T. Warren
7:43.0,,,19-34,,T. Warren misses 3-pt shot from 24 ft
7:42.0,,,19-34,,Offensive rebound by T. Warren
7:39.0,,,19-36,2,T. Warren makes 2-pt shot from 9 ft
7:21.0,W. Barton misses 3-pt shot from 24 ft,,19-36,,
7:21.0,,,19-36,,Defensive rebound by T. Chandler
7:12.0,,,19-36,,M. Teletovic misses 3-pt shot from 24 ft
7:12.0,,,19-36,,Offensive rebound by T. Warren
7:10.0,E. Mudiay enters the game for J. Nelson,,19-36,,
6:59.0,,,19-38,2,T. Chandler makes 2-pt shot at rim (assist by M. Teletovic)
6:58.0,Denver full timeout,,19-38,,
6:58.0,G. Harris enters the game for R. Foye,,19-38,,
6:58.0,D. Gallinari enters the game for K. Papanikolaou,,19-38,,
6:33.0,E. Mudiay misses 3-pt shot from 23 ft,,19-38,,
6:33.0,,,19-38,,Defensive rebound by M. Teletovic
6:09.0,,,19-38,,M. Teletovic misses 2-pt shot at rim
6:08.0,,,19-38,,Offensive rebound by M. Teletovic
6:08.0,,,19-38,,M. Teletovic misses 2-pt shot at rim
6:05.0,Defensive rebound by G. Harris,,19-38,,
5:59.0,W. Barton makes 2-pt shot at rim,2,21-38,,
5:59.0,,,21-38,,Turnover by B. Knight (lost ball; steal by W. Barton)
5:55.0,,,21-38,,Personal foul by B. Knight (drawn by W. Barton)
5:55.0,,,21-38,,E. Bledsoe enters the game for A. Goodwin
5:55.0,K. Faried enters the game for J. Hickson,,21-38,,
5:35.0,Shooting foul by T. Warren (drawn by G. Harris),,21-38,,
5:35.0,G. Harris makes 2-pt shot at rim,2,23-38,,
5:35.0,G. Harris makes free throw 1 of 1,1,24-38,,
5:27.0,,,24-38,,B. Knight misses 3-pt shot from 24 ft
5:26.0,Defensive rebound by K. Faried,,24-38,,
5:13.0,D. Gallinari misses 2-pt shot from 1 ft (block by T. Chandler),,24-38,,
5:13.0,Offensive rebound by Team,,24-38,,
5:13.0,,,24-38,,P. Tucker enters the game for T. Warren
5:06.0,E. Mudiay misses 2-pt shot from 15 ft,,24-38,,
5:05.0,,,24-38,,Defensive rebound by P. Tucker
4:58.0,,,24-38,,E. Bledsoe misses 2-pt shot from 1 ft
4:57.0,,,24-38,,Offensive rebound by T. Chandler
4:55.0,,,24-40,2,T. Chandler makes 2-pt shot at rim
4:35.0,K. Faried misses 2-pt shot from 1 ft,,24-40,,
4:34.0,Offensive rebound by K. Faried,,24-40,,
4:21.0,,,24-40,,Def 3 sec tech foul by T. Chandler
4:21.0,D. Gallinari makes technical free throw,1,25-40,,
4:06.0,E. Mudiay misses 2-pt shot from 16 ft,,25-40,,
4:05.0,,,25-40,,Defensive rebound by T. Chandler
3:57.0,,,25-43,3,M. Teletovic makes 3-pt shot from 25 ft (assist by E. Bledsoe)
3:42.0,E. Mudiay misses 3-pt shot from 24 ft,,25-43,,
3:42.0,,,25-43,,Defensive rebound by P. Tucker
3:31.0,,,25-45,2,E. Bledsoe makes 2-pt shot from 4 ft
3:31.0,,,25-45,,Shooting foul by D. Gallinari (drawn by E. Bledsoe)
3:31.0,J. Nelson enters the game for E. Mudiay,,25-45,,
3:31.0,,,25-46,1,E. Bledsoe makes free throw 1 of 1
3:17.0,Turnover by G. Harris (bad pass),,25-46,,
3:11.0,R. Foye enters the game for W. Barton,,25-46,,
3:11.0,Jump ball: E. Bledsoe vs. J. Nelson (P. Tucker gains possession),,,,Jump ball: E. Bledsoe vs. J. Nelson (P. Tucker gains possession)
3:02.0,,,25-46,,B. Knight misses 2-pt shot from 18 ft
3:01.0,Defensive rebound by D. Gallinari,,25-46,,
2:57.0,,,25-46,,Personal foul by P. Tucker (drawn by D. Gallinari)
2:57.0,,,25-46,,Phoenix full timeout
2:57.0,,,25-46,,D. Booker enters the game for B. Knight
2:49.0,D. Gallinari makes 3-pt shot from 24 ft (assist by R. Foye),3,28-46,,
2:34.0,,,28-49,3,M. Teletovic makes 3-pt shot from 24 ft (assist by E. Bledsoe)
2:13.0,R. Foye misses 3-pt shot from 24 ft,,28-49,,
2:13.0,,,28-49,,Defensive rebound by T. Chandler
2:07.0,,,28-51,2,E. Bledsoe makes 2-pt shot from 19 ft
1:51.0,G. Harris misses 2-pt shot from 7 ft,,28-51,,
1:50.0,,,28-51,,Defensive rebound by E. Bledsoe
1:46.0,Violation by R. Foye (kicked ball),,28-51,,
1:43.0,,,28-51,,Shooting foul by G. Harris (drawn by E. Bledsoe)
1:43.0,,,28-52,1,E. Bledsoe makes free throw 1 of 2
1:43.0,,,28-53,1,E. Bledsoe makes free throw 2 of 2
1:28.0,D. Gallinari misses 2-pt shot from 2 ft,,28-53,,
1:27.0,Offensive rebound by K. Faried,,28-53,,
1:19.0,D. Gallinari misses 3-pt shot from 24 ft,,28-53,,
1:19.0,Offensive rebound by Team,,28-53,,
1:19.0,Turnover by Team (shot clock),,28-53,,
0:57.0,,,28-55,2,E. Bledsoe makes 2-pt shot from 5 ft
0:39.0,G. Harris misses 3-pt shot from 23 ft,,28-55,,
0:39.0,,,28-55,,Defensive rebound by M. Teletovic
0:30.0,,,28-58,3,D. Booker makes 3-pt shot from 23 ft (assist by M. Teletovic)
0:04.0,J. Nelson misses 2-pt shot from 20 ft,,28-58,,
0:04.0,Offensive rebound by Team,,28-58,,
0:04.0,Turnover by Team (shot clock),,28-58,,
0:01.0,,,28-58,,E. Bledsoe misses 2-pt shot from 2 ft (block by G. Harris)
0:01.0,,,28-58,,Offensive rebound by Team
0:01.0,,,28-58,,Phoenix full timeout
0:01.0,J. Hickson enters the game for K. Faried,,28-58,,
0:01.0,,,28-60,2,T. Chandler makes 2-pt shot at rim (assist by P. Tucker)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,28-60,,Shooting block foul by T. Chandler (drawn by D. Gallinari)
11:43.0,D. Gallinari makes free throw 1 of 2,1,29-60,,
11:43.0,D. Gallinari makes free throw 2 of 2,1,30-60,,
11:21.0,,,30-62,2,B. Knight makes 2-pt shot from 2 ft
11:21.0,Shooting block foul by D. Gallinari (drawn by B. Knight),,30-62,,
11:21.0,,,30-63,1,B. Knight makes free throw 1 of 1
10:59.0,W. Barton makes 2-pt shot from 18 ft,2,32-63,,
10:43.0,,,32-63,,J. Leuer misses 2-pt shot from 1 ft
10:42.0,Defensive rebound by J. Hickson,,32-63,,
10:35.0,D. Gallinari misses 2-pt shot from 2 ft,,32-63,,
10:33.0,Offensive rebound by D. Gallinari,,32-63,,
10:33.0,D. Gallinari makes 2-pt shot at rim,2,34-63,,
10:18.0,,,34-63,,P. Tucker misses 3-pt shot from 23 ft
10:18.0,Defensive rebound by D. Gallinari,,34-63,,
10:14.0,W. Barton makes 2-pt shot at rim (assist by D. Gallinari),2,36-63,,
9:56.0,,,36-63,,Turnover by T. Chandler (3 sec)
9:39.0,E. Mudiay misses 2-pt shot from 12 ft,,36-63,,
9:38.0,,,36-63,,Defensive rebound by J. Leuer
9:29.0,,,36-66,3,E. Bledsoe makes 3-pt shot from 24 ft (assist by P. Tucker)
9:16.0,W. Barton misses 3-pt shot from 24 ft,,36-66,,
9:15.0,Offensive rebound by D. Gallinari,,36-66,,
9:10.0,W. Barton makes 3-pt shot from 25 ft (assist by D. Gallinari),3,39-66,,
9:01.0,,,39-66,,Shooting foul by D. Gallinari (drawn by J. Leuer)
9:01.0,,,39-67,1,J. Leuer makes free throw 1 of 2
9:01.0,,,39-68,1,J. Leuer makes free throw 2 of 2
8:44.0,G. Harris makes 2-pt shot from 2 ft,2,41-68,,
8:31.0,,,41-71,3,B. Knight makes 3-pt shot from 24 ft (assist by P. Tucker)
8:20.0,J. Hickson misses 2-pt shot from 21 ft,,41-71,,
8:20.0,Offensive rebound by Team,,41-71,,
8:20.0,,,41-71,,Loose ball foul by J. Leuer (drawn by D. Gallinari)
8:14.0,E. Mudiay makes 2-pt shot from 14 ft,2,43-71,,
7:59.0,,,43-73,2,P. Tucker makes 2-pt shot from 3 ft
7:41.0,D. Gallinari misses 3-pt shot from 24 ft,,43-73,,
7:40.0,,,43-73,,Defensive rebound by B. Knight
7:34.0,,,43-73,,Turnover by P. Tucker (step out of bounds)
7:13.0,,,43-73,,Violation by E. Bledsoe (kicked ball)
7:01.0,E. Mudiay makes 2-pt shot from 18 ft (assist by W. Barton),2,45-73,,
6:49.0,,,45-75,2,B. Knight makes 2-pt shot from 1 ft
6:49.0,Denver full timeout,,45-75,,
6:29.0,Turnover by J. Hickson (bad pass; steal by B. Knight),,45-75,,
6:24.0,,,45-75,,B. Knight misses 2-pt shot from 2 ft (block by W. Barton)
6:23.0,Defensive rebound by Team,,45-75,,
6:06.0,G. Harris misses 3-pt shot from 25 ft,,45-75,,
6:06.0,,,45-75,,Defensive rebound by E. Bledsoe
6:02.0,Personal foul by J. Hickson (drawn by E. Bledsoe),,45-75,,
5:49.0,,,45-75,,E. Bledsoe misses 3-pt shot from 25 ft
5:49.0,Defensive rebound by W. Barton,,45-75,,
5:37.0,E. Mudiay misses 3-pt shot from 23 ft,,45-75,,
5:37.0,,,45-75,,Defensive rebound by P. Tucker
5:32.0,,,45-77,2,B. Knight makes 2-pt shot at rim (assist by P. Tucker)
5:10.0,E. Mudiay misses 2-pt shot at rim,,45-77,,
5:09.0,,,45-77,,Defensive rebound by P. Tucker
5:07.0,Personal foul by G. Harris (drawn by E. Bledsoe),,45-77,,
5:07.0,J. Nelson enters the game for J. Hickson,,45-77,,
5:07.0,N. Jokic enters the game for G. Harris,,45-77,,
5:07.0,,,45-77,,A. Goodwin enters the game for T. Chandler
5:07.0,,,45-77,,A. Len enters the game for B. Knight
4:54.0,,,45-77,,A. Len misses 2-pt shot at rim (block by D. Gallinari)
4:52.0,Defensive rebound by W. Barton,,45-77,,
4:46.0,E. Mudiay misses 3-pt shot from 25 ft,,45-77,,
4:46.0,,,45-77,,Defensive rebound by E. Bledsoe
4:46.0,Personal foul by D. Gallinari (drawn by E. Bledsoe),,45-77,,
4:46.0,,,45-78,1,E. Bledsoe makes free throw 1 of 2
4:46.0,K. Papanikolaou enters the game for D. Gallinari,,45-78,,
4:46.0,,,45-79,1,E. Bledsoe makes free throw 2 of 2
4:31.0,N. Jokic makes 2-pt shot from 3 ft (assist by W. Barton),2,47-79,,
4:09.0,,,47-79,,P. Tucker misses 3-pt shot from 24 ft
4:09.0,Defensive rebound by N. Jokic,,47-79,,
4:05.0,Turnover by E. Mudiay (bad pass),,47-79,,
3:48.0,,,47-79,,E. Bledsoe misses 2-pt shot from 22 ft
3:48.0,Defensive rebound by E. Mudiay,,47-79,,
3:32.0,W. Barton makes 3-pt shot from 24 ft (assist by E. Mudiay),3,50-79,,
3:14.0,,,50-82,3,E. Bledsoe makes 3-pt shot from 24 ft (assist by A. Goodwin)
2:54.0,,,50-82,,Violation by P. Tucker (kicked ball)
2:54.0,,,50-82,,Phoenix full timeout
2:54.0,,,50-82,,T. Warren enters the game for P. Tucker
2:54.0,,,50-82,,M. Teletovic enters the game for J. Leuer
2:54.0,R. Foye enters the game for E. Mudiay,,50-82,,
2:46.0,K. Papanikolaou misses 2-pt shot from 1 ft,,50-82,,
2:45.0,,,50-82,,Defensive rebound by E. Bledsoe
2:39.0,,,50-84,2,E. Bledsoe makes 2-pt shot from 17 ft
2:23.0,,,50-84,,Personal foul by T. Warren (drawn by N. Jokic)
2:14.0,W. Barton misses 2-pt shot from 2 ft,,50-84,,
2:13.0,,,50-84,,Defensive rebound by M. Teletovic
2:03.0,,,50-84,,Turnover by E. Bledsoe (bad pass; steal by N. Jokic)
1:55.0,R. Foye misses 3-pt shot from 23 ft,,50-84,,
1:55.0,,,50-84,,Defensive rebound by A. Len
1:34.0,,,50-84,,A. Len misses 2-pt shot from 1 ft
1:33.0,Defensive rebound by N. Jokic,,50-84,,
1:19.0,K. Papanikolaou makes 2-pt shot at rim (assist by R. Foye),2,52-84,,
1:00.0,,,52-84,,M. Teletovic misses 3-pt shot from 24 ft
1:00.0,Defensive rebound by W. Barton,,52-84,,
0:51.0,R. Foye makes 2-pt shot from 18 ft,2,54-84,,
0:27.0,,,54-86,2,E. Bledsoe makes 2-pt shot from 17 ft
0:06.0,J. Nelson misses 3-pt shot from 23 ft,,54-86,,
0:06.0,,,54-86,,Defensive rebound by E. Bledsoe
0:01.0,,,54-88,2,T. Warren makes 2-pt shot from 2 ft (assist by E. Bledsoe)
0:00.0,K. Papanikolaou misses 3-pt shot from 74 ft,,54-88,,
0:00.0,Offensive rebound by Team,,54-88,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,54-91,3,A. Goodwin makes 3-pt shot from 24 ft (assist by M. Teletovic)
11:19.0,N. Jokic misses 2-pt shot from 2 ft,,54-91,,
11:18.0,,,54-91,,Defensive rebound by M. Teletovic
11:04.0,,,54-91,,Turnover by A. Len (lost ball; steal by N. Jokic)
10:55.0,W. Barton makes 2-pt shot from 13 ft,2,56-91,,
10:38.0,,,56-91,,Turnover by D. Booker (discontinued dribble)
10:24.0,Shooting foul by A. Len (drawn by K. Papanikolaou),,56-91,,
10:24.0,K. Papanikolaou misses free throw 1 of 2,,56-91,,
10:24.0,Offensive rebound by Team,,56-91,,
10:24.0,K. Papanikolaou makes free throw 2 of 2,1,57-91,,
10:13.0,,,57-91,,Turnover by A. Goodwin (bad pass)
10:01.0,W. Barton makes 3-pt shot from 25 ft (assist by R. Foye),3,60-91,,
9:50.0,,,60-91,,Turnover by M. Teletovic (bad pass)
9:34.0,R. Foye misses 2-pt shot from 4 ft,,60-91,,
9:34.0,,,60-91,,Defensive rebound by A. Len
9:28.0,,,60-91,,T. Warren misses 2-pt shot from 9 ft
9:26.0,Defensive rebound by W. Barton,,60-91,,
9:18.0,R. Foye misses 2-pt shot from 21 ft,,60-91,,
9:17.0,,,60-91,,Defensive rebound by A. Goodwin
8:55.0,,,60-91,,D. Booker misses 2-pt shot from 16 ft
8:55.0,Defensive rebound by W. Barton,,60-91,,
8:41.0,J. Nelson makes 2-pt shot from 8 ft,2,62-91,,
8:41.0,,,62-91,,Phoenix full timeout
8:30.0,,,62-91,,Turnover by T. Warren (lost ball; steal by N. Jokic)
8:21.0,R. Foye misses 3-pt shot from 22 ft,,62-91,,
8:20.0,,,62-91,,Defensive rebound by D. Booker
8:20.0,,,62-91,,Turnover by D. Booker (lost ball)
8:20.0,,,62-91,,S. Weems enters the game for T. Warren
8:07.0,J. Nelson misses 3-pt shot from 22 ft,,62-91,,
8:06.0,,,62-91,,Defensive rebound by M. Teletovic
7:46.0,,,62-91,,D. Booker misses 2-pt shot from 19 ft
7:46.0,,,62-91,,Offensive rebound by M. Teletovic
7:30.0,,,62-91,,D. Booker misses 2-pt shot from 1 ft
7:29.0,Defensive rebound by N. Jokic,,62-91,,
7:18.0,K. Papanikolaou makes 2-pt shot at rim (assist by J. Nelson),2,64-91,,
7:01.0,,,64-91,,Shooting foul by R. Foye (drawn by M. Teletovic)
7:01.0,,,64-92,1,M. Teletovic makes free throw 1 of 2
7:01.0,,,64-93,1,M. Teletovic makes free throw 2 of 2
6:49.0,R. Foye makes 2-pt shot from 2 ft,2,66-93,,
6:33.0,,,66-93,,A. Len misses 2-pt shot from 3 ft
6:33.0,,,66-93,,Offensive rebound by Team
6:33.0,,,66-93,,Shooting foul by W. Barton (drawn by A. Len)
6:33.0,,,66-94,1,A. Len makes free throw 1 of 2
6:33.0,,,66-95,1,A. Len makes free throw 2 of 2
6:21.0,R. Foye makes 2-pt shot at rim,2,68-95,,
6:09.0,,,68-95,,Turnover by A. Goodwin (back court)
6:09.0,D. Arthur enters the game for N. Jokic,,68-95,,
5:59.0,D. Arthur misses 2-pt shot from 19 ft,,68-95,,
5:59.0,,,68-95,,Defensive rebound by D. Booker
5:42.0,,,68-95,,S. Weems misses 2-pt shot from 20 ft
5:41.0,Defensive rebound by W. Barton,,68-95,,
5:33.0,J. Nelson misses 3-pt shot from 24 ft,,68-95,,
5:32.0,,,68-95,,Defensive rebound by A. Goodwin
5:25.0,,,68-95,,D. Booker misses 3-pt shot from 24 ft
5:25.0,,,68-95,,Offensive rebound by Team
5:25.0,Personal foul by J. Nelson (drawn by M. Teletovic),,68-95,,
5:25.0,Official timeout,,68-95,,
5:25.0,,,68-95,,C. Jefferson enters the game for A. Len
5:16.0,,,68-95,,D. Booker misses 2-pt shot from 3 ft (block by R. Foye)
5:16.0,,,68-95,,Offensive rebound by Team
5:16.0,Violation by W. Barton (kicked ball),,68-95,,
5:05.0,,,68-95,,Turnover by M. Teletovic (traveling)
4:54.0,R. Foye misses 2-pt shot from 2 ft,,68-95,,
4:53.0,,,68-95,,Defensive rebound by M. Teletovic
4:45.0,,,68-95,,C. Jefferson misses 2-pt shot from 2 ft (block by D. Arthur)
4:45.0,,,68-95,,Offensive rebound by Team
4:45.0,E. Mudiay enters the game for J. Nelson,,68-95,,
