time,Phoenix,pts.away,score,pts.home,Dallas
3:04.0,,,17-16,,J. Barea misses 2-pt shot from 6 ft
3:03.0,,,17-16,,Offensive rebound by Z. Pachulia
3:02.0,,,17-18,2,Z. Pachulia makes 2-pt shot from 1 ft
2:46.0,P. Tucker makes 2-pt shot from 1 ft,2,19-18,,
2:35.0,,,19-20,2,D. Harris makes 2-pt shot from 11 ft
2:23.0,B. Knight makes 2-pt shot from 22 ft,2,21-20,,
2:18.0,,,21-20,,Dallas full timeout
2:18.0,,,21-20,,D. Nowitzki enters the game for Z. Pachulia
2:09.0,,,21-22,2,D. Powell makes 2-pt shot at rim (assist by J. Barea)
2:09.0,,,21-22,,Shooting foul by B. Knight (drawn by D. Powell)
2:09.0,,,21-23,1,D. Powell makes free throw 1 of 1
1:46.0,Turnover by M. Teletovic (lost ball; steal by D. Harris),,21-23,,
1:41.0,,,21-25,2,D. Nowitzki makes 2-pt shot from 1 ft (assist by D. Harris)
1:14.0,B. Knight misses 2-pt shot from 17 ft,,21-25,,
1:13.0,,,21-25,,Defensive rebound by D. Nowitzki
1:07.0,,,21-25,,D. Harris misses 2-pt shot at rim (block by T. Chandler)
1:05.0,Defensive rebound by R. Price,,21-25,,
0:54.0,R. Price misses 2-pt shot from 21 ft,,21-25,,
0:53.0,,,21-25,,Defensive rebound by D. Nowitzki
0:33.0,,,21-25,,D. Harris misses 3-pt shot from 24 ft
0:31.0,Defensive rebound by B. Knight,,21-25,,
0:11.0,P. Tucker misses 3-pt shot from 24 ft,,21-25,,
0:10.0,Offensive rebound by T. Chandler,,21-25,,
0:00.0,,,21-25,,Personal foul by D. Powell (drawn by B. Knight)
0:00.0,,,21-25,,W. Matthews enters the game for D. Nowitzki
0:00.0,D. Booker enters the game for P. Tucker,,21-25,,
0:00.0,M. Teletovic misses 2-pt shot from 17 ft,,21-25,,
0:00.0,Offensive rebound by Team,,21-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Turnover by D. Booker (traveling),,21-25,,
11:27.0,,,21-25,,C. Parsons misses 3-pt shot from 23 ft
11:26.0,Defensive rebound by M. Teletovic,,21-25,,
11:20.0,E. Bledsoe misses 2-pt shot from 20 ft,,21-25,,
11:19.0,,,21-25,,Defensive rebound by D. Nowitzki
11:05.0,,,21-25,,J. Barea misses 2-pt shot from 3 ft (block by E. Bledsoe)
11:03.0,Defensive rebound by M. Teletovic,,21-25,,
10:57.0,R. Price makes 3-pt shot from 22 ft (assist by D. Booker),3,24-25,,
10:47.0,Personal foul by E. Bledsoe (drawn by D. Harris),,24-25,,
10:29.0,,,24-25,,C. Parsons misses 3-pt shot from 23 ft
10:27.0,Defensive rebound by D. Booker,,24-25,,
10:11.0,,,24-25,,Personal foul by D. Nowitzki (drawn by R. Price)
10:08.0,Turnover by E. Bledsoe (lost ball; steal by D. Harris),,24-25,,
10:03.0,,,24-27,2,D. Harris makes 2-pt shot from 2 ft
9:43.0,Turnover by T. Chandler (bad pass; steal by D. Harris),,24-27,,
9:40.0,Jump ball: D. Harris vs. R. Price (W. Matthews gains possession),,,,Jump ball: D. Harris vs. R. Price (W. Matthews gains possession)
9:34.0,,,24-27,,D. Harris misses 2-pt shot from 1 ft
9:33.0,Defensive rebound by T. Chandler,,24-27,,
9:20.0,Shooting foul by D. Harris (drawn by T. Chandler),,24-27,,
9:20.0,T. Chandler makes free throw 1 of 2,1,25-27,,
9:20.0,,,25-27,,D. Powell enters the game for D. Harris
9:20.0,T. Chandler makes free throw 2 of 2,1,26-27,,
9:04.0,,,26-30,3,W. Matthews makes 3-pt shot from 24 ft
8:53.0,E. Bledsoe misses 3-pt shot from 24 ft,,26-30,,
8:52.0,,,26-30,,Defensive rebound by D. Powell
8:34.0,,,26-32,2,D. Powell makes 2-pt shot from 7 ft (assist by D. Nowitzki)
8:23.0,M. Teletovic misses 3-pt shot from 24 ft,,26-32,,
8:21.0,Offensive rebound by T. Chandler,,26-32,,
8:21.0,T. Chandler makes 2-pt shot at rim,2,28-32,,
8:09.0,,,28-32,,J. Barea misses 3-pt shot from 24 ft
8:07.0,Defensive rebound by E. Bledsoe,,28-32,,
7:56.0,D. Booker misses 2-pt shot from 20 ft,,28-32,,
7:55.0,,,28-32,,Defensive rebound by D. Powell
7:39.0,,,28-32,,D. Nowitzki misses 2-pt shot from 11 ft
7:38.0,Defensive rebound by M. Teletovic,,28-32,,
7:17.0,E. Bledsoe misses 2-pt shot at rim,,28-32,,
7:15.0,,,28-32,,Defensive rebound by D. Nowitzki
7:13.0,Personal take foul by R. Price,,28-32,,
7:13.0,Official timeout,,28-32,,
7:13.0,,,28-32,,Z. Pachulia enters the game for D. Nowitzki
7:13.0,,,28-32,,D. Williams enters the game for C. Parsons
7:13.0,T. Warren enters the game for R. Price,,28-32,,
7:13.0,B. Knight enters the game for D. Booker,,28-32,,
7:07.0,,,28-32,,Shooting foul by T. Chandler (drawn by D. Powell)
7:07.0,,,28-33,1,D. Powell makes free throw 1 of 2
7:07.0,,,28-34,1,D. Powell makes free throw 2 of 2
6:46.0,T. Warren misses 2-pt shot from 20 ft,,28-34,,
6:45.0,,,28-34,,Defensive rebound by D. Powell
6:30.0,,,28-34,,D. Williams misses 2-pt shot from 13 ft
6:29.0,Defensive rebound by M. Teletovic,,28-34,,
6:19.0,E. Bledsoe misses 2-pt shot from 14 ft,,28-34,,
6:18.0,,,28-34,,Defensive rebound by D. Powell
6:09.0,Personal foul by T. Warren (drawn by W. Matthews),,28-34,,
6:09.0,A. Len enters the game for T. Chandler,,28-34,,
6:09.0,J. Leuer enters the game for M. Teletovic,,28-34,,
6:09.0,,,28-34,,R. Felton enters the game for J. Barea
6:02.0,,,28-36,2,D. Williams makes 2-pt shot from 16 ft
5:47.0,B. Knight misses 2-pt shot from 5 ft,,28-36,,
5:45.0,Offensive rebound by A. Len,,28-36,,
5:45.0,A. Len misses 2-pt shot from 1 ft,,28-36,,
5:44.0,Offensive rebound by B. Knight,,28-36,,
5:41.0,T. Warren makes 2-pt shot at rim,2,30-36,,
5:17.0,,,30-36,,D. Williams misses 3-pt shot from 24 ft
5:16.0,Defensive rebound by E. Bledsoe,,30-36,,
5:11.0,Shooting foul by D. Williams (drawn by J. Leuer),,30-36,,
5:11.0,,,30-36,,Dallas full timeout
5:11.0,J. Leuer makes free throw 1 of 2,1,31-36,,
5:11.0,J. Leuer makes free throw 2 of 2,1,32-36,,
4:56.0,,,32-36,,W. Matthews misses 3-pt shot from 24 ft
4:55.0,Defensive rebound by E. Bledsoe,,32-36,,
4:42.0,J. Leuer misses 3-pt shot from 23 ft,,32-36,,
4:41.0,,,32-36,,Defensive rebound by R. Felton
4:27.0,,,32-36,,W. Matthews misses 2-pt shot from 7 ft
4:26.0,Defensive rebound by Team,,32-36,,
4:05.0,Turnover by J. Leuer (lost ball),,32-36,,
4:05.0,,,32-36,,C. Parsons enters the game for W. Matthews
3:49.0,,,32-36,,D. Williams misses 2-pt shot from 6 ft (block by E. Bledsoe)
3:49.0,,,32-36,,Offensive rebound by Team
3:43.0,,,32-36,,Z. Pachulia misses 2-pt shot from 16 ft
3:42.0,Defensive rebound by J. Leuer,,32-36,,
3:36.0,E. Bledsoe makes 2-pt shot from 20 ft,2,34-36,,
3:34.0,,,34-36,,Dallas full timeout
3:34.0,,,34-36,,D. Nowitzki enters the game for D. Powell
3:16.0,,,34-39,3,R. Felton makes 3-pt shot from 23 ft (assist by C. Parsons)
3:13.0,,,34-39,,Personal foul by Z. Pachulia (drawn by E. Bledsoe)
2:58.0,E. Bledsoe makes 2-pt shot from 2 ft,2,36-39,,
2:44.0,,,36-39,,Turnover by Z. Pachulia (lost ball; steal by B. Knight)
2:40.0,Shooting foul by C. Parsons (drawn by T. Warren),,36-39,,
2:40.0,Phoenix full timeout,,36-39,,
2:40.0,,,36-39,,D. Harris enters the game for R. Felton
2:40.0,T. Warren makes free throw 1 of 2,1,37-39,,
2:40.0,T. Warren misses free throw 2 of 2,,37-39,,
2:39.0,,,37-39,,Defensive rebound by Z. Pachulia
2:26.0,,,37-41,2,D. Williams makes 2-pt shot from 5 ft
2:08.0,E. Bledsoe misses 3-pt shot from 23 ft,,37-41,,
2:07.0,,,37-41,,Defensive rebound by C. Parsons
1:52.0,,,37-41,,Turnover by D. Nowitzki (bad pass)
1:43.0,J. Leuer makes 2-pt shot from 18 ft (assist by B. Knight),2,39-41,,
1:23.0,,,39-44,3,D. Harris makes 3-pt shot from 22 ft (assist by C. Parsons)
1:10.0,J. Leuer makes 2-pt shot from 17 ft (assist by E. Bledsoe),2,41-44,,
0:51.0,,,41-44,,D. Williams misses 3-pt shot from 24 ft
0:49.0,Defensive rebound by B. Knight,,41-44,,
0:38.0,B. Knight makes 2-pt shot from 2 ft,2,43-44,,
0:35.0,,,43-46,2,D. Williams makes 2-pt shot from 6 ft
0:31.0,Turnover by E. Bledsoe (bad pass; steal by D. Harris),,43-46,,
0:31.0,Personal foul by A. Len (drawn by D. Harris),,43-46,,
0:31.0,P. Tucker enters the game for T. Warren,,43-46,,
0:31.0,,,43-46,,D. Harris misses free throw 1 of 2
0:31.0,,,43-46,,Offensive rebound by Team
0:31.0,,,43-46,,W. Matthews enters the game for D. Nowitzki
0:31.0,,,43-46,,D. Harris misses free throw 2 of 2
0:30.0,Defensive rebound by P. Tucker,,43-46,,
0:29.0,Phoenix full timeout,,43-46,,
0:11.0,Turnover by B. Knight (bad pass; steal by D. Harris),,43-46,,
0:06.0,,,43-46,,D. Williams misses 2-pt shot at rim
0:04.0,Defensive rebound by J. Leuer,,43-46,,
0:01.0,B. Knight misses 3-pt shot from 27 ft,,43-46,,
0:00.0,Offensive rebound by P. Tucker,,43-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,A. Len misses 2-pt shot from 15 ft,,43-46,,
11:45.0,,,43-46,,Defensive rebound by D. Nowitzki
11:33.0,,,43-46,,Turnover by D. Williams (bad pass)
11:19.0,B. Knight misses 3-pt shot from 24 ft,,43-46,,
11:19.0,,,43-46,,Defensive rebound by Z. Pachulia
11:19.0,Loose ball foul by A. Len (drawn by Z. Pachulia),,43-46,,
10:54.0,,,43-46,,W. Matthews misses 3-pt shot from 22 ft
10:52.0,,,43-46,,Offensive rebound by Z. Pachulia
10:46.0,Personal foul by A. Len (drawn by D. Nowitzki),,43-46,,
10:41.0,,,43-46,,Offensive foul by Z. Pachulia
10:41.0,,,43-46,,Turnover by Z. Pachulia (offensive foul)
10:28.0,J. Leuer misses 2-pt shot from 8 ft,,43-46,,
10:26.0,Offensive rebound by J. Leuer,,43-46,,
10:26.0,J. Leuer makes 2-pt shot at rim,2,45-46,,
10:06.0,,,45-46,,R. Felton misses 3-pt shot from 22 ft
10:05.0,,,45-46,,Offensive rebound by Z. Pachulia
9:44.0,,,45-48,2,R. Felton makes 2-pt shot from 1 ft (assist by D. Williams)
9:23.0,Turnover by P. Tucker (offensive foul),,45-48,,
9:23.0,Offensive foul by P. Tucker,,45-48,,
9:15.0,Personal foul by E. Bledsoe (drawn by D. Williams),,45-48,,
9:08.0,,,45-50,2,D. Williams makes 2-pt shot from 19 ft (assist by R. Felton)
8:54.0,P. Tucker misses 2-pt shot from 17 ft,,45-50,,
8:53.0,Offensive rebound by J. Leuer,,45-50,,
8:48.0,,,45-50,,Personal foul by D. Williams (drawn by B. Knight)
8:43.0,A. Len makes 2-pt shot at rim (assist by P. Tucker),2,47-50,,
8:23.0,,,47-52,2,D. Nowitzki makes 2-pt shot from 15 ft
8:07.0,A. Len misses 2-pt shot from 17 ft,,47-52,,
8:06.0,Offensive rebound by P. Tucker,,47-52,,
7:59.0,E. Bledsoe makes 3-pt shot from 24 ft (assist by P. Tucker),3,50-52,,
7:40.0,,,50-54,2,D. Nowitzki makes 2-pt shot from 3 ft
7:24.0,P. Tucker misses 3-pt shot from 23 ft,,50-54,,
7:23.0,,,50-54,,Defensive rebound by W. Matthews
7:00.0,,,50-57,3,W. Matthews makes 3-pt shot from 22 ft (assist by D. Nowitzki)
6:50.0,Phoenix full timeout,,50-57,,
6:50.0,,,50-57,,C. Parsons enters the game for D. Nowitzki
6:42.0,E. Bledsoe makes 2-pt shot at rim,2,52-57,,
6:17.0,,,52-57,,C. Parsons misses 2-pt shot from 1 ft (block by A. Len)
6:15.0,,,52-57,,Offensive rebound by Z. Pachulia
6:13.0,,,52-57,,Turnover by Z. Pachulia (bad pass; steal by E. Bledsoe)
6:05.0,E. Bledsoe makes 2-pt shot from 10 ft,2,54-57,,
5:44.0,,,54-59,2,D. Williams makes 2-pt shot from 17 ft
5:21.0,A. Len misses 2-pt shot from 5 ft,,54-59,,
5:20.0,,,54-59,,Defensive rebound by D. Williams
5:10.0,,,54-59,,Turnover by W. Matthews (bad pass)
4:59.0,Offensive foul by J. Leuer,,54-59,,
4:59.0,Turnover by J. Leuer (offensive foul),,54-59,,
4:59.0,T. Chandler enters the game for A. Len,,54-59,,
4:43.0,R. Price enters the game for E. Bledsoe,,54-59,,
4:35.0,,,54-61,2,Z. Pachulia makes 2-pt shot from 14 ft (assist by W. Matthews)
4:13.0,R. Price makes 2-pt shot from 17 ft,2,56-61,,
3:51.0,,,56-63,2,R. Felton makes 2-pt shot at rim
3:36.0,J. Leuer misses 2-pt shot from 12 ft,,56-63,,
3:35.0,,,56-63,,Defensive rebound by Z. Pachulia
3:26.0,Personal foul by R. Price (drawn by W. Matthews),,56-63,,
3:26.0,,,56-63,,Dallas full timeout
3:26.0,M. Teletovic enters the game for J. Leuer,,56-63,,
3:12.0,,,56-66,3,R. Felton makes 3-pt shot from 25 ft
2:52.0,T. Chandler makes 2-pt shot at rim (assist by P. Tucker),2,58-66,,
2:28.0,,,58-68,2,C. Parsons makes 2-pt shot from 9 ft
2:09.0,P. Tucker misses 2-pt shot from 5 ft (block by C. Parsons),,58-68,,
2:09.0,Offensive rebound by Team,,58-68,,
2:09.0,,,58-68,,D. Harris enters the game for R. Felton
2:06.0,M. Teletovic misses 2-pt shot from 17 ft,,58-68,,
2:05.0,,,58-68,,Defensive rebound by W. Matthews
1:50.0,,,58-70,2,C. Parsons makes 2-pt shot from 1 ft (assist by D. Williams)
1:33.0,T. Chandler misses 2-pt shot from 17 ft,,58-70,,
1:32.0,,,58-70,,Defensive rebound by D. Williams
1:14.0,,,58-73,3,W. Matthews makes 3-pt shot from 24 ft
0:49.0,R. Price misses 2-pt shot from 6 ft,,58-73,,
0:48.0,,,58-73,,Defensive rebound by Z. Pachulia
0:30.0,,,58-73,,Shooting foul by P. Tucker (drawn by C. Parsons)
0:30.0,,,58-74,1,C. Parsons makes free throw 1 of 2
0:30.0,,,58-74,,D. Powell enters the game for Z. Pachulia
0:30.0,T. Warren enters the game for P. Tucker,,58-74,,
0:30.0,S. Weems enters the game for T. Chandler,,58-74,,
0:30.0,,,58-75,1,C. Parsons makes free throw 2 of 2
0:06.0,Turnover by Team (shot clock),,58-75,,
0:01.0,,,58-77,2,C. Parsons makes 2-pt shot from 5 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,58-77,,R. Felton misses 3-pt shot from 24 ft
11:38.0,Defensive rebound by T. Warren,,58-77,,
11:26.0,M. Teletovic misses 3-pt shot from 24 ft,,58-77,,
11:25.0,,,58-77,,Defensive rebound by R. Felton
11:12.0,,,58-80,3,D. Harris makes 3-pt shot from 22 ft (assist by R. Felton)
10:55.0,Turnover by S. Weems (bad pass; steal by D. Harris),,58-80,,
10:47.0,Personal foul by S. Weems (drawn by D. Powell),,58-80,,
10:47.0,,,58-80,,W. Matthews enters the game for C. Parsons
10:47.0,A. Goodwin enters the game for R. Price,,58-80,,
10:47.0,J. Leuer enters the game for M. Teletovic,,58-80,,
10:33.0,,,58-80,,W. Matthews misses 3-pt shot from 24 ft
10:32.0,Defensive rebound by Team,,58-80,,
10:26.0,,,58-80,,Personal foul by D. Powell (drawn by E. Bledsoe)
10:15.0,A. Goodwin makes 2-pt shot at rim (assist by S. Weems),2,60-80,,
10:08.0,,,60-80,,Shooting foul by S. Weems (drawn by J. Barea)
10:08.0,,,60-81,1,J. Barea makes free throw 1 of 2
10:08.0,,,60-81,,J. Barea misses free throw 2 of 2
10:07.0,Defensive rebound by A. Goodwin,,60-81,,
10:03.0,S. Weems misses 2-pt shot at rim,,60-81,,
10:01.0,,,60-81,,Defensive rebound by D. Powell
9:38.0,,,60-83,2,W. Matthews makes 2-pt shot from 21 ft
9:30.0,,,60-83,,Shooting block foul by D. Powell (drawn by E. Bledsoe)
9:30.0,E. Bledsoe makes free throw 1 of 2,1,61-83,,
9:30.0,E. Bledsoe makes free throw 2 of 2,1,62-83,,
9:11.0,,,62-83,,R. Felton misses 2-pt shot from 8 ft
9:10.0,Defensive rebound by A. Goodwin,,62-83,,
9:08.0,Turnover by A. Goodwin (lost ball; steal by R. Felton),,62-83,,
9:04.0,,,62-83,,W. Matthews misses 3-pt shot from 23 ft
9:02.0,Defensive rebound by E. Bledsoe,,62-83,,
8:57.0,E. Bledsoe makes 3-pt shot from 23 ft,3,65-83,,
8:38.0,,,65-83,,W. Matthews misses 2-pt shot from 6 ft
8:37.0,Defensive rebound by J. Leuer,,65-83,,
8:32.0,A. Goodwin makes 2-pt shot at rim (assist by E. Bledsoe),2,67-83,,
8:32.0,,,67-83,,Dallas full timeout
8:32.0,,,67-83,,C. Parsons enters the game for W. Matthews
8:32.0,,,67-83,,D. Nowitzki enters the game for D. Powell
8:19.0,Personal foul by A. Goodwin (drawn by D. Nowitzki),,67-83,,
8:05.0,,,67-83,,D. Nowitzki misses 2-pt shot from 16 ft
8:04.0,Defensive rebound by J. Leuer,,67-83,,
7:56.0,J. Leuer makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,70-83,,
7:42.0,,,70-83,,J. Barea misses 2-pt shot from 2 ft
7:40.0,Defensive rebound by J. Leuer,,70-83,,
7:31.0,S. Weems makes 3-pt shot from 22 ft (assist by E. Bledsoe),3,73-83,,
7:29.0,,,73-83,,Dallas full timeout
7:29.0,,,73-83,,D. Williams enters the game for J. Barea
7:09.0,,,73-86,3,C. Parsons makes 3-pt shot from 24 ft (assist by R. Felton)
7:09.0,,,73-86,,Shooting foul by S. Weems (drawn by C. Parsons)
7:09.0,,,73-87,1,C. Parsons makes free throw 1 of 1
7:05.0,Shooting foul by R. Felton (drawn by E. Bledsoe),,73-87,,
7:05.0,E. Bledsoe makes free throw 1 of 2,1,74-87,,
7:05.0,E. Bledsoe makes free throw 2 of 2,1,75-87,,
6:48.0,,,75-90,3,C. Parsons makes 3-pt shot from 25 ft (assist by D. Harris)
6:35.0,Shooting foul by D. Nowitzki (drawn by S. Weems),,75-90,,
6:35.0,S. Weems misses free throw 1 of 2,,75-90,,
6:35.0,Offensive rebound by Team,,75-90,,
6:35.0,S. Weems makes free throw 2 of 2,1,76-90,,
6:17.0,,,76-90,,Turnover by C. Parsons (bad pass; steal by A. Goodwin)
6:02.0,S. Weems makes 3-pt shot from 24 ft (assist by J. Leuer),3,79-90,,
5:38.0,,,79-90,,Shooting foul by J. Leuer (drawn by D. Nowitzki)
5:38.0,Official timeout,,79-90,,
5:38.0,,,79-91,1,D. Nowitzki makes free throw 1 of 2
5:38.0,,,79-92,1,D. Nowitzki makes free throw 2 of 2
5:15.0,A. Goodwin makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,81-92,,
5:15.0,Shooting foul by R. Felton (drawn by A. Goodwin),,81-92,,
5:15.0,A. Goodwin misses free throw 1 of 1,,81-92,,
5:14.0,,,81-92,,Defensive rebound by D. Nowitzki
4:56.0,,,81-92,,C. Parsons misses 2-pt shot from 6 ft (block by T. Warren)
4:54.0,Defensive rebound by J. Leuer,,81-92,,
4:50.0,T. Warren misses 2-pt shot from 5 ft,,81-92,,
4:49.0,,,81-92,,Defensive rebound by R. Felton
4:39.0,,,81-94,2,D. Harris makes 2-pt shot from 2 ft (assist by D. Nowitzki)
4:19.0,,,81-94,,Personal foul by D. Harris (drawn by S. Weems)
4:19.0,S. Weems makes free throw 1 of 2,1,82-94,,
4:19.0,S. Weems makes free throw 2 of 2,1,83-94,,
4:02.0,,,83-94,,Turnover by D. Nowitzki (lost ball; steal by J. Leuer)
3:54.0,T. Warren makes 2-pt shot from 13 ft,2,85-94,,
3:37.0,,,85-96,2,D. Nowitzki makes 2-pt shot from 1 ft (assist by D. Williams)
3:37.0,,,85-96,,Shooting foul by T. Warren (drawn by D. Nowitzki)
3:37.0,,,85-96,,W. Matthews enters the game for C. Parsons
3:37.0,,,85-96,,D. Nowitzki misses free throw 1 of 1
3:36.0,Defensive rebound by A. Goodwin,,85-96,,
3:29.0,E. Bledsoe misses 3-pt shot from 24 ft,,85-96,,
3:28.0,Offensive rebound by T. Warren,,85-96,,
3:26.0,Shooting foul by W. Matthews (drawn by T. Warren),,85-96,,
3:26.0,T. Warren makes free throw 1 of 2,1,86-96,,
3:26.0,T. Warren makes free throw 2 of 2,1,87-96,,
3:09.0,,,87-96,,Turnover by R. Felton (bad pass; steal by E. Bledsoe)
3:05.0,,,87-96,,Shooting block foul by W. Matthews (drawn by A. Goodwin)
3:05.0,A. Goodwin misses free throw 1 of 2,,87-96,,
3:05.0,Offensive rebound by Team,,87-96,,
3:05.0,A. Goodwin misses free throw 2 of 2,,87-96,,
3:04.0,,,87-96,,Defensive rebound by D. Harris
2:39.0,,,87-96,,W. Matthews misses 3-pt shot from 25 ft
2:38.0,,,87-96,,Offensive rebound by D. Nowitzki
2:36.0,,,87-96,,D. Nowitzki misses 2-pt shot from 2 ft
2:35.0,Defensive rebound by J. Leuer,,87-96,,
2:30.0,T. Warren makes 2-pt shot from 2 ft (assist by A. Goodwin),2,89-96,,
2:30.0,Shooting foul by W. Matthews (drawn by T. Warren),,89-96,,
2:30.0,Phoenix full timeout,,89-96,,
2:30.0,T. Warren makes free throw 1 of 1,1,90-96,,
2:04.0,,,90-96,,Turnover by D. Williams (bad pass; steal by T. Warren)
2:00.0,Turnover by S. Weems (bad pass; steal by R. Felton),,90-96,,
1:55.0,,,90-96,,Shooting foul by E. Bledsoe (drawn by D. Nowitzki)
1:55.0,,,90-97,1,D. Nowitzki makes free throw 1 of 2
1:55.0,,,90-98,1,D. Nowitzki makes free throw 2 of 2
1:46.0,E. Bledsoe misses 3-pt shot from 25 ft,,90-98,,
1:45.0,,,90-98,,Defensive rebound by W. Matthews
