time,Sacramento,pts.away,score,pts.home,Dallas
6:42.0,,,10-10,2,C. Parsons makes 2-pt shot at rim (assist by Z. Pachulia)
6:39.0,,,10-10,,Personal block foul by Z. Pachulia (drawn by D. Cousins)
6:39.0,,,10-10,,D. Lee enters the game for Z. Pachulia
6:33.0,,,10-10,,Personal foul by D. Lee (drawn by D. Cousins)
6:20.0,Turnover by Q. Acy (3 sec),,10-10,,
5:59.0,,,10-10,,D. Lee misses 2-pt shot from 19 ft
5:58.0,Defensive rebound by R. Rondo,,10-10,,
5:51.0,Turnover by D. Cousins (lost ball; steal by W. Matthews),,10-10,,
5:46.0,,,10-12,2,D. Lee makes 2-pt shot at rim (assist by W. Matthews)
5:45.0,Sacramento full timeout,,10-12,,
5:45.0,,,10-12,,R. Felton enters the game for D. Nowitzki
5:25.0,D. Cousins misses 2-pt shot from 2 ft,,10-12,,
5:23.0,,,10-12,,Defensive rebound by D. Lee
5:09.0,,,10-12,,D. Williams misses 3-pt shot from 24 ft
5:07.0,Defensive rebound by R. Rondo,,10-12,,
4:59.0,B. McLemore misses 3-pt shot from 24 ft,,10-12,,
4:59.0,,,10-12,,Defensive rebound by D. Lee
4:42.0,,,10-12,,C. Parsons misses 3-pt shot from 24 ft
4:42.0,Defensive rebound by R. Gay,,10-12,,
4:27.0,B. McLemore makes 2-pt shot at rim (assist by R. Rondo),2,12-12,,
4:14.0,,,12-12,,D. Williams misses 2-pt shot from 2 ft
4:13.0,Defensive rebound by D. Cousins,,12-12,,
4:04.0,D. Cousins misses 3-pt shot from 25 ft,,12-12,,
4:03.0,,,12-12,,Defensive rebound by C. Parsons
3:46.0,Personal block foul by B. McLemore (drawn by W. Matthews),,12-12,,
3:46.0,D. Collison enters the game for B. McLemore,,12-12,,
3:46.0,W. Cauley-Stein enters the game for Q. Acy,,12-12,,
3:37.0,,,12-14,2,D. Lee makes 2-pt shot at rim (assist by C. Parsons)
3:12.0,R. Rondo misses 3-pt shot from 23 ft,,12-14,,
3:11.0,,,12-14,,Defensive rebound by D. Lee
2:53.0,,,12-14,,D. Lee misses 2-pt shot from 5 ft
2:51.0,Defensive rebound by D. Cousins,,12-14,,
2:47.0,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Rondo),2,14-14,,
2:46.0,,,14-14,,Dallas full timeout
2:46.0,,,14-14,,D. Harris enters the game for C. Parsons
2:46.0,,,14-14,,D. Nowitzki enters the game for W. Matthews
2:46.0,,,14-14,,J. Barea enters the game for D. Williams
2:46.0,O. Casspi enters the game for R. Gay,,14-14,,
2:46.0,M. Belinelli enters the game for R. Rondo,,14-14,,
2:21.0,,,14-14,,D. Harris misses 2-pt shot from 18 ft
2:21.0,Defensive rebound by W. Cauley-Stein,,14-14,,
2:07.0,O. Casspi misses 3-pt shot from 23 ft,,14-14,,
2:06.0,,,14-14,,Defensive rebound by R. Felton
1:57.0,,,14-14,,D. Harris misses 3-pt shot from 23 ft
1:55.0,Defensive rebound by O. Casspi,,14-14,,
1:51.0,D. Cousins makes 2-pt shot at rim (assist by O. Casspi),2,16-14,,
1:43.0,,,16-16,2,R. Felton makes 2-pt shot from 1 ft
1:43.0,,,16-16,,Shooting foul by M. Belinelli (drawn by R. Felton)
1:43.0,,,16-17,1,R. Felton makes free throw 1 of 1
1:27.0,,,16-17,,Def 3 sec tech foul by D. Nowitzki
1:27.0,M. Belinelli makes technical free throw,1,17-17,,
1:27.0,K. Koufos enters the game for D. Cousins,,17-17,,
1:16.0,D. Collison makes 2-pt shot from 16 ft,2,19-17,,
1:01.0,,,19-20,3,D. Harris makes 3-pt shot from 24 ft (assist by J. Barea)
0:38.0,Offensive foul by D. Collison,,19-20,,
0:38.0,Turnover by D. Collison (offensive foul),,19-20,,
0:33.0,,,19-20,,J. Barea misses 2-pt shot from 5 ft
0:32.0,,,19-20,,Offensive rebound by D. Lee
0:32.0,,,19-22,2,D. Lee makes 2-pt shot at rim
0:25.0,D. Collison misses 2-pt shot from 18 ft,,19-22,,
0:22.0,,,19-22,,Defensive rebound by R. Felton
0:03.0,,,19-24,2,R. Felton makes 2-pt shot from 21 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,M. Belinelli makes 3-pt shot from 25 ft (assist by K. Koufos),3,22-24,,
11:35.0,,,22-26,2,J. Barea makes 2-pt shot from 6 ft
11:22.0,M. Belinelli makes 2-pt shot from 15 ft,2,24-26,,
11:22.0,Shooting foul by D. Harris (drawn by M. Belinelli),,24-26,,
11:22.0,M. Belinelli misses free throw 1 of 1,,24-26,,
11:22.0,,,24-26,,Defensive rebound by J. Barea
11:11.0,,,24-28,2,D. Lee makes 2-pt shot from 1 ft (assist by J. Barea)
11:02.0,M. Belinelli makes 2-pt shot at rim,2,26-28,,
10:49.0,,,26-28,,J. Barea misses 2-pt shot from 9 ft
10:46.0,,,26-28,,Offensive rebound by D. Lee
10:43.0,,,26-28,,Turnover by D. Nowitzki (bad pass; steal by O. Casspi)
10:39.0,O. Casspi makes 2-pt shot at rim,2,28-28,,
10:26.0,,,28-28,,D. Nowitzki misses 3-pt shot from 25 ft
10:25.0,Defensive rebound by O. Casspi,,28-28,,
10:14.0,O. Casspi misses 3-pt shot from 26 ft,,28-28,,
10:13.0,Offensive rebound by K. Koufos,,28-28,,
10:05.0,W. Cauley-Stein misses 2-pt shot from 13 ft,,28-28,,
10:04.0,,,28-28,,Defensive rebound by D. Nowitzki
9:56.0,,,28-28,,Turnover by D. Harris (bad pass; steal by D. Collison)
9:55.0,,,28-28,,Personal take foul by D. Nowitzki (drawn by D. Collison)
9:55.0,R. Gay enters the game for W. Cauley-Stein,,28-28,,
9:45.0,R. Gay misses 2-pt shot from 9 ft,,28-28,,
9:43.0,Offensive rebound by K. Koufos,,28-28,,
9:37.0,D. Collison makes 2-pt shot from 16 ft (assist by K. Koufos),2,30-28,,
9:14.0,,,30-28,,D. Nowitzki misses 2-pt shot from 4 ft
9:13.0,Defensive rebound by O. Casspi,,30-28,,
9:08.0,D. Collison misses 2-pt shot from 6 ft,,30-28,,
9:05.0,,,30-28,,Defensive rebound by J. Barea
8:57.0,,,30-28,,R. Felton misses 3-pt shot from 27 ft
8:57.0,Defensive rebound by M. Belinelli,,30-28,,
8:40.0,,,30-28,,Shooting block foul by D. Lee (drawn by O. Casspi)
8:40.0,Official timeout,,30-28,,
8:40.0,,,30-28,,C. Parsons enters the game for D. Nowitzki
8:40.0,O. Casspi makes free throw 1 of 2,1,31-28,,
8:40.0,O. Casspi makes free throw 2 of 2,1,32-28,,
8:26.0,,,32-28,,D. Lee misses 2-pt shot from 4 ft (block by K. Koufos)
8:26.0,,,32-28,,Offensive rebound by Team
8:23.0,,,32-30,2,D. Harris makes 2-pt shot from 2 ft (assist by J. Barea)
8:06.0,M. Belinelli misses 2-pt shot from 17 ft (block by R. Felton),,32-30,,
8:03.0,,,32-30,,Defensive rebound by D. Lee
8:00.0,,,32-32,2,D. Harris makes 2-pt shot at rim (assist by C. Parsons)
7:47.0,,,32-32,,Personal foul by D. Harris (drawn by O. Casspi)
7:47.0,,,32-32,,D. Williams enters the game for D. Harris
7:47.0,,,32-32,,W. Matthews enters the game for J. Barea
7:47.0,R. Rondo enters the game for O. Casspi,,32-32,,
7:32.0,R. Rondo misses 2-pt shot from 21 ft,,32-32,,
7:32.0,,,32-32,,Defensive rebound by D. Williams
7:12.0,,,32-32,,R. Felton misses 2-pt shot from 22 ft
7:10.0,Defensive rebound by R. Gay,,32-32,,
7:00.0,M. Belinelli misses 3-pt shot from 25 ft,,32-32,,
6:58.0,,,32-32,,Defensive rebound by C. Parsons
6:45.0,,,32-32,,Shooting foul by R. Gay (drawn by C. Parsons)
6:45.0,,,32-32,,C. Parsons misses free throw 1 of 2
6:45.0,,,32-32,,Offensive rebound by Team
6:45.0,,,32-32,,Z. Pachulia enters the game for D. Lee
6:45.0,D. Cousins enters the game for K. Koufos,,32-32,,
6:45.0,,,32-33,1,C. Parsons makes free throw 2 of 2
6:30.0,R. Rondo makes 2-pt shot from 1 ft (assist by D. Cousins),2,34-33,,
6:17.0,,,34-35,2,C. Parsons makes 2-pt shot from 6 ft
6:05.0,R. Gay makes 2-pt shot from 15 ft (assist by D. Cousins),2,36-35,,
5:45.0,,,36-37,2,C. Parsons makes 2-pt shot from 2 ft
5:23.0,D. Collison makes 3-pt shot from 24 ft (assist by R. Gay),3,39-37,,
4:59.0,,,39-37,,Turnover by C. Parsons (lost ball; steal by D. Cousins)
4:52.0,M. Belinelli misses 3-pt shot from 26 ft,,39-37,,
4:51.0,,,39-37,,Defensive rebound by W. Matthews
4:43.0,,,39-37,,C. Parsons misses 3-pt shot from 23 ft
4:41.0,Defensive rebound by D. Cousins,,39-37,,
4:33.0,D. Cousins makes 2-pt shot at rim (assist by R. Rondo),2,41-37,,
4:33.0,,,41-37,,Dallas full timeout
4:33.0,,,41-37,,D. Harris enters the game for R. Felton
4:33.0,O. Casspi enters the game for M. Belinelli,,41-37,,
4:12.0,,,41-39,2,C. Parsons makes 2-pt shot from 2 ft
3:45.0,D. Cousins misses 2-pt shot from 22 ft,,41-39,,
3:43.0,,,41-39,,Defensive rebound by D. Williams
3:21.0,,,41-39,,D. Harris misses 3-pt shot from 25 ft
3:21.0,,,41-39,,Offensive rebound by Team
3:18.0,,,41-39,,D. Nowitzki enters the game for D. Harris
3:10.0,,,41-39,,Z. Pachulia misses 2-pt shot from 4 ft
3:10.0,,,41-39,,Offensive rebound by Z. Pachulia
3:02.0,,,41-39,,W. Matthews misses 3-pt shot from 25 ft
3:02.0,Defensive rebound by D. Cousins,,41-39,,
2:47.0,O. Casspi misses 3-pt shot from 23 ft,,41-39,,
2:46.0,,,41-39,,Defensive rebound by W. Matthews
2:37.0,Personal foul by D. Collison (drawn by W. Matthews),,41-39,,
2:37.0,Sacramento full timeout,,41-39,,
2:37.0,B. McLemore enters the game for D. Collison,,41-39,,
2:34.0,,,41-41,2,D. Williams makes 2-pt shot from 2 ft (assist by D. Nowitzki)
2:11.0,R. Gay misses 2-pt shot from 3 ft,,41-41,,
2:09.0,,,41-41,,Defensive rebound by Z. Pachulia
1:55.0,,,41-41,,W. Matthews misses 2-pt shot from 10 ft
1:53.0,Defensive rebound by D. Cousins,,41-41,,
1:45.0,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo),2,43-41,,
1:26.0,,,43-41,,D. Nowitzki misses 2-pt shot from 12 ft
1:24.0,Defensive rebound by D. Cousins,,43-41,,
1:14.0,R. Gay makes 2-pt shot from 2 ft,2,45-41,,
1:14.0,,,45-41,,Dallas full timeout
1:14.0,,,45-41,,R. Felton enters the game for W. Matthews
1:00.0,,,45-41,,D. Williams misses 3-pt shot from 22 ft
1:00.0,Defensive rebound by O. Casspi,,45-41,,
0:51.0,Turnover by R. Gay (lost ball; steal by R. Felton),,45-41,,
0:45.0,,,45-43,2,D. Nowitzki makes 2-pt shot from 21 ft (assist by D. Williams)
0:40.0,B. McLemore makes 3-pt shot from 25 ft (assist by R. Rondo),3,48-43,,
0:27.0,,,48-45,2,Z. Pachulia makes 2-pt shot from 15 ft (assist by D. Nowitzki)
0:10.0,R. Rondo makes 2-pt shot from 1 ft,2,50-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,D. Cousins misses 2-pt shot from 8 ft,,50-45,,
11:48.0,,,50-45,,Defensive rebound by D. Nowitzki
11:37.0,Personal block foul by B. McLemore (drawn by W. Matthews),,50-45,,
11:22.0,,,50-48,3,D. Williams makes 3-pt shot from 22 ft (assist by D. Nowitzki)
11:02.0,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo),2,52-48,,
10:42.0,,,52-48,,D. Williams misses 2-pt shot from 23 ft
10:41.0,Defensive rebound by D. Cousins,,52-48,,
10:35.0,B. McLemore misses 2-pt shot from 2 ft,,52-48,,
10:34.0,Offensive rebound by R. Gay,,52-48,,
10:34.0,R. Gay makes 2-pt shot from 2 ft,2,54-48,,
10:16.0,,,54-51,3,C. Parsons makes 3-pt shot from 24 ft (assist by W. Matthews)
10:06.0,Turnover by R. Rondo (bad pass; steal by W. Matthews),,54-51,,
10:04.0,,,54-51,,Turnover by D. Nowitzki (bad pass)
9:50.0,R. Rondo makes 2-pt shot from 2 ft,2,56-51,,
9:39.0,,,56-53,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by D. Nowitzki)
9:25.0,Q. Acy makes 2-pt shot from 3 ft,2,58-53,,
9:08.0,,,58-55,2,D. Nowitzki makes 2-pt shot from 10 ft (assist by C. Parsons)
8:39.0,R. Rondo misses 3-pt shot from 24 ft,,58-55,,
8:38.0,,,58-55,,Defensive rebound by W. Matthews
8:14.0,,,58-55,,D. Williams misses 3-pt shot from 25 ft
8:13.0,,,58-55,,Offensive rebound by C. Parsons
8:10.0,,,58-55,,C. Parsons misses 3-pt shot from 25 ft
8:09.0,Defensive rebound by Q. Acy,,58-55,,
8:06.0,Offensive foul by D. Cousins,,58-55,,
8:06.0,Turnover by D. Cousins (offensive foul),,58-55,,
7:42.0,,,58-55,,Turnover by C. Parsons (bad pass; steal by R. Gay)
7:38.0,B. McLemore makes 2-pt shot at rim,2,60-55,,
7:38.0,,,60-55,,Dallas full timeout
7:16.0,,,60-55,,D. Nowitzki misses 2-pt shot from 19 ft
7:15.0,Defensive rebound by D. Cousins,,60-55,,
6:57.0,B. McLemore misses 3-pt shot from 25 ft,,60-55,,
6:56.0,,,60-55,,Defensive rebound by Z. Pachulia
6:48.0,,,60-57,2,D. Williams makes 2-pt shot from 5 ft
6:22.0,D. Cousins misses 2-pt shot at rim,,60-57,,
6:21.0,Offensive rebound by D. Cousins,,60-57,,
6:21.0,D. Cousins makes 2-pt shot at rim,2,62-57,,
6:00.0,,,62-57,,W. Matthews misses 2-pt shot from 13 ft
5:58.0,Defensive rebound by B. McLemore,,62-57,,
5:42.0,D. Cousins makes 2-pt shot from 7 ft,2,64-57,,
5:19.0,,,64-57,,W. Matthews misses 2-pt shot from 17 ft
5:17.0,Defensive rebound by Q. Acy,,64-57,,
4:53.0,B. McLemore makes 3-pt shot from 27 ft,3,67-57,,
4:52.0,,,67-57,,Dallas full timeout
4:52.0,,,67-57,,R. Felton enters the game for D. Nowitzki
4:52.0,,,67-57,,D. Lee enters the game for Z. Pachulia
4:36.0,,,67-57,,R. Felton misses 3-pt shot from 23 ft
4:33.0,,,67-57,,Offensive rebound by D. Lee
4:30.0,,,67-59,2,D. Williams makes 2-pt shot from 17 ft
4:14.0,Turnover by D. Cousins (bad pass; steal by D. Lee),,67-59,,
4:09.0,,,67-61,2,C. Parsons makes 2-pt shot from 1 ft (assist by W. Matthews)
3:53.0,Turnover by D. Cousins (bad pass),,67-61,,
3:53.0,O. Casspi enters the game for Q. Acy,,67-61,,
3:42.0,,,67-63,2,C. Parsons makes 2-pt shot from 2 ft
3:18.0,D. Cousins misses 2-pt shot from 1 ft (block by D. Lee),,67-63,,
3:16.0,,,67-63,,Defensive rebound by D. Lee
3:16.0,Personal take foul by R. Rondo (drawn by R. Felton),,67-63,,
3:16.0,Sacramento full timeout,,67-63,,
3:16.0,D. Collison enters the game for B. McLemore,,67-63,,
3:06.0,,,67-65,2,D. Lee makes 2-pt shot from 1 ft (assist by C. Parsons)
2:48.0,R. Gay misses 3-pt shot from 25 ft,,67-65,,
2:47.0,,,67-65,,Defensive rebound by R. Felton
2:37.0,,,67-65,,Offensive foul by D. Lee
2:37.0,,,67-65,,Turnover by D. Lee (offensive foul)
2:37.0,M. Belinelli enters the game for R. Gay,,67-65,,
2:22.0,D. Cousins makes 2-pt shot from 1 ft (assist by R. Rondo),2,69-65,,
2:06.0,,,69-67,2,C. Parsons makes 2-pt shot from 1 ft (assist by D. Lee)
1:47.0,O. Casspi misses 3-pt shot from 25 ft,,69-67,,
1:45.0,,,69-67,,Defensive rebound by R. Felton
1:27.0,,,69-67,,D. Williams misses 3-pt shot from 22 ft
1:27.0,Defensive rebound by R. Rondo,,69-67,,
1:18.0,R. Rondo makes 2-pt shot from 1 ft,2,71-67,,
1:02.0,,,71-69,2,C. Parsons makes 2-pt shot from 2 ft
0:54.0,R. Rondo misses 2-pt shot from 5 ft,,71-69,,
0:52.0,,,71-69,,Defensive rebound by D. Lee
0:46.0,,,71-69,,Offensive foul by D. Lee
0:46.0,,,71-69,,Turnover by D. Lee (offensive foul)
0:46.0,K. Koufos enters the game for D. Cousins,,71-69,,
0:46.0,,,71-69,,J. Barea enters the game for C. Parsons
0:46.0,,,71-69,,D. Harris enters the game for W. Matthews
0:46.0,,,71-69,,D. Nowitzki enters the game for D. Williams
0:46.0,,,71-69,,Z. Pachulia enters the game for D. Lee
0:32.0,R. Rondo misses 2-pt shot from 21 ft,,71-69,,
0:31.0,,,71-69,,Defensive rebound by D. Harris
0:21.0,,,71-69,,R. Felton misses 2-pt shot from 2 ft (block by O. Casspi)
0:20.0,Defensive rebound by K. Koufos,,71-69,,
0:17.0,M. Belinelli makes 2-pt shot from 1 ft (assist by R. Rondo),2,73-69,,
0:04.0,Personal take foul by R. Rondo (drawn by D. Nowitzki),,73-69,,
0:04.0,W. Cauley-Stein enters the game for O. Casspi,,73-69,,
0:01.0,,,73-69,,D. Nowitzki misses 3-pt shot from 24 ft
0:00.0,,,73-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,73-69,,Turnover by J. Barea (lost ball)
11:28.0,Turnover by M. Belinelli (bad pass),,73-69,,
11:19.0,,,73-71,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by D. Nowitzki)
11:00.0,O. Casspi makes 3-pt shot from 25 ft (assist by D. Collison),3,76-71,,
10:41.0,,,76-71,,J. Barea misses 3-pt shot from 23 ft
10:41.0,,,76-71,,Offensive rebound by Z. Pachulia
10:35.0,,,76-71,,D. Nowitzki misses 3-pt shot from 24 ft
10:34.0,,,76-71,,Offensive rebound by J. Barea
10:27.0,,,76-71,,D. Nowitzki misses 3-pt shot from 25 ft
10:26.0,Defensive rebound by K. Koufos,,76-71,,
10:20.0,O. Casspi makes 2-pt shot from 6 ft (assist by D. Collison),2,78-71,,
10:09.0,,,78-71,,Offensive foul by R. Felton
10:09.0,,,78-71,,Turnover by R. Felton (offensive foul)
10:09.0,,,78-71,,D. Lee enters the game for Z. Pachulia
10:02.0,D. Collison makes 2-pt shot from 1 ft,2,80-71,,
10:01.0,,,80-71,,Dallas full timeout
9:42.0,,,80-71,,D. Harris misses 3-pt shot from 25 ft
9:42.0,,,80-71,,Offensive rebound by D. Lee
9:42.0,,,80-71,,Turnover by D. Lee (step out of bounds)
9:28.0,D. Collison makes 2-pt shot from 21 ft,2,82-71,,
9:11.0,,,82-71,,Offensive charge foul by D. Nowitzki
9:11.0,,,82-71,,Turnover by D. Nowitzki (offensive foul)
9:11.0,,,82-71,,C. Parsons enters the game for D. Nowitzki
9:11.0,,,82-71,,D. Williams enters the game for J. Barea
9:11.0,,,82-71,,W. Matthews enters the game for D. Harris
9:00.0,O. Casspi misses 3-pt shot from 27 ft,,82-71,,
8:59.0,,,82-71,,Defensive rebound by R. Felton
8:51.0,,,82-71,,W. Matthews misses 2-pt shot from 1 ft
8:50.0,,,82-71,,Offensive rebound by D. Lee
8:50.0,,,82-73,2,D. Lee makes 2-pt shot at rim
8:40.0,,,82-73,,Personal foul by W. Matthews (drawn by M. Belinelli)
8:40.0,R. Rondo enters the game for B. McLemore,,82-73,,
8:36.0,,,82-73,,Personal foul by W. Matthews (drawn by M. Belinelli)
8:26.0,M. Belinelli misses 2-pt shot from 21 ft,,82-73,,
8:25.0,,,82-73,,Defensive rebound by C. Parsons
8:13.0,,,82-73,,Turnover by C. Parsons (lost ball; steal by R. Rondo)
8:10.0,Turnover by R. Rondo (bad pass),,82-73,,
7:57.0,,,82-73,,Turnover by R. Felton (lost ball; steal by R. Rondo)
7:43.0,,,82-73,,Personal block foul by C. Parsons (drawn by O. Casspi)
7:43.0,D. Cousins enters the game for K. Koufos,,82-73,,
7:43.0,R. Gay enters the game for O. Casspi,,82-73,,
7:43.0,,,82-73,,Z. Pachulia enters the game for D. Lee
7:30.0,D. Cousins makes 2-pt shot at rim (assist by R. Rondo),2,84-73,,
7:06.0,,,84-76,3,D. Williams makes 3-pt shot from 23 ft (assist by C. Parsons)
6:48.0,R. Rondo makes 2-pt shot from 2 ft,2,86-76,,
6:36.0,,,86-76,,D. Williams misses 2-pt shot from 16 ft
6:34.0,,,86-76,,Offensive rebound by Z. Pachulia
6:33.0,,,86-76,,Z. Pachulia misses 2-pt shot from 1 ft
6:31.0,Defensive rebound by R. Rondo,,86-76,,
6:26.0,M. Belinelli makes 3-pt shot from 24 ft (assist by R. Rondo),3,89-76,,
6:26.0,,,89-76,,Dallas full timeout
6:17.0,,,89-78,2,C. Parsons makes 2-pt shot from 1 ft
6:17.0,,,89-78,,Shooting foul by D. Cousins (drawn by C. Parsons)
6:17.0,,,89-78,,C. Parsons misses free throw 1 of 1
6:16.0,Defensive rebound by R. Gay,,89-78,,
6:01.0,R. Rondo makes 2-pt shot from 1 ft (assist by D. Cousins),2,91-78,,
5:45.0,Personal foul by R. Gay (drawn by Z. Pachulia),,91-78,,
5:45.0,,,91-78,,J. Barea enters the game for R. Felton
5:45.0,,,91-78,,D. Nowitzki enters the game for Z. Pachulia
5:37.0,Personal foul by D. Cousins (drawn by C. Parsons),,91-78,,
5:29.0,,,91-80,2,J. Barea makes 2-pt shot from 1 ft
5:04.0,M. Belinelli makes 3-pt shot from 25 ft (assist by D. Cousins),3,94-80,,
4:51.0,,,94-80,,D. Nowitzki misses 3-pt shot from 24 ft
4:50.0,Defensive rebound by D. Cousins,,94-80,,
4:40.0,D. Cousins misses 3-pt shot from 27 ft,,94-80,,
4:39.0,,,94-80,,Defensive rebound by D. Williams
4:20.0,,,94-83,3,C. Parsons makes 3-pt shot from 26 ft (assist by J. Barea)
4:12.0,,,94-83,,Personal foul by J. Barea
4:06.0,,,94-83,,Personal take foul by J. Barea
4:06.0,R. Rondo makes free throw 1 of 2,1,95-83,,
4:06.0,R. Rondo misses free throw 2 of 2,,95-83,,
4:05.0,Offensive rebound by D. Cousins,,95-83,,
4:04.0,,,95-83,,Personal foul by D. Nowitzki (drawn by D. Cousins)
4:04.0,D. Cousins misses free throw 1 of 2,,95-83,,
4:04.0,Offensive rebound by Team,,95-83,,
4:04.0,D. Cousins makes free throw 2 of 2,1,96-83,,
3:45.0,,,96-85,2,D. Nowitzki makes 2-pt shot from 2 ft (assist by D. Williams)
3:30.0,,,96-85,,Personal take foul by J. Barea
3:30.0,R. Rondo makes free throw 1 of 2,1,97-85,,
3:30.0,R. Rondo misses free throw 2 of 2,,97-85,,
3:29.0,,,97-85,,Defensive rebound by C. Parsons
3:13.0,,,97-85,,Turnover by D. Nowitzki (lost ball; steal by R. Rondo)
3:04.0,R. Gay misses 2-pt shot from 2 ft,,97-85,,
3:02.0,Offensive rebound by R. Gay,,97-85,,
3:00.0,Sacramento full timeout,,97-85,,
2:52.0,Turnover by R. Rondo (bad pass; steal by D. Williams),,97-85,,
2:47.0,,,97-87,2,J. Barea makes 2-pt shot from 1 ft
2:32.0,D. Collison misses 3-pt shot from 25 ft,,97-87,,
2:31.0,,,97-87,,Defensive rebound by Team
2:16.0,,,97-90,3,C. Parsons makes 3-pt shot from 24 ft (assist by D. Williams)
1:56.0,R. Rondo misses 2-pt shot from 2 ft (block by D. Nowitzki),,97-90,,
1:55.0,,,97-90,,Defensive rebound by C. Parsons
1:45.0,,,97-90,,Turnover by D. Nowitzki (lost ball; steal by R. Gay)
1:43.0,,,97-90,,Personal take foul by D. Williams (drawn by R. Gay)
1:43.0,R. Gay makes free throw 1 of 2,1,98-90,,
1:43.0,R. Gay misses free throw 2 of 2,,98-90,,
1:42.0,,,98-90,,Defensive rebound by C. Parsons
1:27.0,,,98-93,3,D. Williams makes 3-pt shot from 24 ft
1:11.0,Shooting foul by D. Nowitzki (drawn by D. Cousins),,98-93,,
1:11.0,D. Cousins makes free throw 1 of 2,1,99-93,,
1:11.0,D. Cousins makes free throw 2 of 2,1,100-93,,
1:04.0,,,100-93,,D. Williams misses 2-pt shot from 3 ft (block by D. Cousins)
1:03.0,,,100-93,,Offensive rebound by D. Nowitzki
1:03.0,,,100-93,,Shooting foul by R. Rondo (drawn by D. Nowitzki)
1:03.0,,,100-94,1,D. Nowitzki makes free throw 1 of 2
1:03.0,,,100-95,1,D. Nowitzki makes free throw 2 of 2
0:45.0,Shooting foul by D. Nowitzki (drawn by D. Cousins),,100-95,,
0:45.0,D. Cousins misses free throw 1 of 2,,100-95,,
0:45.0,Offensive rebound by Team,,100-95,,
0:45.0,B. McLemore enters the game for M. Belinelli,,100-95,,
