time,Cleveland,pts.away,score,pts.home,Houston
4:49.0,Shooting foul by T. Ariza (drawn by L. James),,36-31,,
4:49.0,L. James makes free throw 1 of 2,1,37-31,,
4:49.0,L. James makes free throw 2 of 2,1,38-31,,
4:35.0,,,38-31,,Turnover by J. Terry (bad pass; steal by M. Dellavedova)
4:25.0,L. James misses 2-pt shot from 13 ft,,38-31,,
4:24.0,Offensive rebound by L. James,,38-31,,
4:23.0,L. James misses 2-pt shot from 2 ft,,38-31,,
4:23.0,,,38-31,,Defensive rebound by Team
4:23.0,Personal foul by T. Mozgov (drawn by T. Jones),,38-31,,
4:06.0,,,38-31,,Turnover by J. Harden (lost ball; steal by M. Dellavedova)
4:06.0,Jump ball: T. Ariza vs. M. Dellavedova (K. Love gains possession),,,,Jump ball: T. Ariza vs. M. Dellavedova (K. Love gains possession)
3:58.0,Turnover by M. Dellavedova (bad pass; steal by J. Harden),,38-31,,
3:52.0,,,38-31,,Shooting foul by T. Mozgov (drawn by D. Howard)
3:52.0,,,38-31,,D. Howard misses free throw 1 of 2
3:52.0,,,38-31,,Offensive rebound by Team
3:52.0,,,38-32,1,D. Howard makes free throw 2 of 2
3:37.0,Turnover by L. James (bad pass),,38-32,,
3:18.0,,,38-32,,J. Terry misses 3-pt shot from 23 ft
3:17.0,Defensive rebound by L. James,,38-32,,
3:10.0,Shooting foul by J. Harden (drawn by J. Smith),,38-32,,
3:10.0,J. Smith misses free throw 1 of 2,,38-32,,
3:10.0,Offensive rebound by Team,,38-32,,
3:10.0,J. Smith makes free throw 2 of 2,1,39-32,,
2:53.0,Personal foul by T. Mozgov (drawn by D. Howard),,39-32,,
2:53.0,Cleveland full timeout,,39-32,,
2:53.0,A. Varejao enters the game for T. Mozgov,,39-32,,
2:53.0,,,39-32,,D. Howard misses free throw 1 of 2
2:53.0,,,39-32,,Offensive rebound by Team
2:53.0,,,39-33,1,D. Howard makes free throw 2 of 2
2:42.0,L. James misses 2-pt shot from 4 ft (block by D. Howard),,39-33,,
2:42.0,Offensive rebound by Team,,39-33,,
2:38.0,J. Smith misses 3-pt shot from 25 ft,,39-33,,
2:38.0,,,39-33,,Defensive rebound by D. Howard
2:33.0,,,39-33,,Turnover by J. Harden (lost ball; steal by J. Smith)
2:29.0,J. Smith makes 2-pt shot from 2 ft,2,41-33,,
2:01.0,,,41-33,,Turnover by Team (shot clock)
1:46.0,L. James makes 2-pt shot from 2 ft,2,43-33,,
1:32.0,,,43-33,,Shooting foul by L. James (drawn by J. Harden)
1:32.0,,,43-34,1,J. Harden makes free throw 1 of 2
1:32.0,,,43-34,,C. Brewer enters the game for T. Jones
1:32.0,,,43-35,1,J. Harden makes free throw 2 of 2
1:13.0,,,43-35,,Personal block foul by C. Brewer (drawn by J. Smith)
1:13.0,R. Jefferson enters the game for K. Love,,43-35,,
1:06.0,,,43-35,,Personal foul by T. Ariza (drawn by L. James)
1:06.0,L. James misses free throw 1 of 2,,43-35,,
1:06.0,Offensive rebound by Team,,43-35,,
1:06.0,,,43-35,,M. Thornton enters the game for C. Brewer
1:06.0,L. James makes free throw 2 of 2,1,44-35,,
0:56.0,,,44-35,,Turnover by J. Terry (lost ball)
0:35.0,M. Dellavedova misses 3-pt shot from 25 ft,,44-35,,
0:34.0,Offensive rebound by R. Jefferson,,44-35,,
0:31.0,Cleveland full timeout,,44-35,,
0:31.0,,,44-35,,C. Brewer enters the game for M. Thornton
0:21.0,A. Varejao misses 2-pt shot from 16 ft,,44-35,,
0:20.0,Offensive rebound by M. Dellavedova,,44-35,,
0:01.0,L. James makes 2-pt shot from 2 ft,2,46-35,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,46-35,,Def 3 sec tech foul by C. Capela
11:46.0,K. Irving makes technical free throw,1,47-35,,
11:38.0,J. Smith misses 3-pt shot from 24 ft,,47-35,,
11:38.0,,,47-35,,Defensive rebound by D. Howard
11:23.0,,,47-35,,Turnover by C. Capela (traveling)
11:07.0,K. Love makes 3-pt shot from 26 ft (assist by L. James),3,50-35,,
10:40.0,,,50-35,,T. Ariza misses 2-pt shot from 5 ft
10:38.0,,,50-35,,Offensive rebound by C. Capela
10:37.0,,,50-37,2,C. Capela makes 2-pt shot from 1 ft
10:20.0,K. Irving makes 2-pt shot from 18 ft (assist by L. James),2,52-37,,
10:07.0,,,52-37,,J. Harden misses 2-pt shot from 19 ft
10:06.0,Defensive rebound by K. Love,,52-37,,
10:02.0,,,52-37,,Personal foul by P. Beverley (drawn by K. Irving)
10:02.0,,,52-37,,M. Thornton enters the game for C. Capela
9:56.0,Turnover by K. Love (bad pass),,52-37,,
9:49.0,,,52-37,,T. Ariza misses 3-pt shot from 24 ft
9:48.0,Defensive rebound by K. Love,,52-37,,
9:35.0,Turnover by L. James (bad pass; steal by D. Howard),,52-37,,
9:31.0,,,52-37,,Turnover by J. Harden (bad pass)
9:26.0,J. Smith misses 3-pt shot from 24 ft,,52-37,,
9:25.0,,,52-37,,Defensive rebound by D. Howard
9:03.0,,,52-39,2,D. Howard makes 2-pt shot from 8 ft (assist by M. Thornton)
8:52.0,K. Irving misses 2-pt shot from 8 ft,,52-39,,
8:51.0,Offensive rebound by K. Love,,52-39,,
8:41.0,K. Love misses 2-pt shot from 9 ft (block by J. Harden),,52-39,,
8:39.0,,,52-39,,Defensive rebound by T. Ariza
8:38.0,,,52-39,,M. Thornton misses 2-pt shot from 2 ft (block by L. James)
8:38.0,Defensive rebound by Team,,52-39,,
8:23.0,K. Irving misses 3-pt shot from 25 ft,,52-39,,
8:22.0,Offensive rebound by K. Love,,52-39,,
8:16.0,K. Love makes 3-pt shot from 24 ft (assist by L. James),3,55-39,,
8:02.0,,,55-42,3,P. Beverley makes 3-pt shot from 24 ft (assist by D. Howard)
7:46.0,K. Love misses 3-pt shot from 25 ft,,55-42,,
7:45.0,,,55-42,,Defensive rebound by M. Thornton
7:31.0,,,55-42,,M. Thornton misses 3-pt shot from 25 ft
7:30.0,Defensive rebound by K. Irving,,55-42,,
7:20.0,J. Smith misses 3-pt shot from 25 ft,,55-42,,
7:19.0,,,55-42,,Defensive rebound by D. Howard
7:03.0,,,55-42,,M. Thornton misses 2-pt shot from 4 ft
7:02.0,Defensive rebound by T. Mozgov,,55-42,,
6:55.0,Cleveland full timeout,,55-42,,
6:39.0,J. Smith misses 3-pt shot from 25 ft,,55-42,,
6:38.0,,,55-42,,Defensive rebound by P. Beverley
6:22.0,,,55-42,,T. Ariza misses 2-pt shot from 3 ft (block by T. Mozgov)
6:21.0,Defensive rebound by K. Love,,55-42,,
6:08.0,,,55-42,,Personal foul by P. Beverley (drawn by K. Irving)
5:55.0,T. Mozgov makes 2-pt shot from 20 ft,2,57-42,,
5:40.0,,,57-42,,Turnover by J. Harden (bad pass; steal by K. Love)
5:39.0,,,57-42,,J. Terry enters the game for P. Beverley
5:39.0,,,57-42,,C. Brewer enters the game for M. Thornton
5:39.0,,,57-42,,C. Capela enters the game for D. Howard
5:39.0,I. Shumpert enters the game for T. Mozgov,,57-42,,
5:39.0,Turnover by K. Love (bad pass; steal by T. Ariza),,57-42,,
5:39.0,Jump ball: T. Ariza vs. K. Love (J. Terry gains possession),,,,Jump ball: T. Ariza vs. K. Love (J. Terry gains possession)
5:23.0,,,57-45,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
5:06.0,I. Shumpert misses 3-pt shot from 24 ft,,57-45,,
5:05.0,,,57-45,,Defensive rebound by J. Harden
5:03.0,Personal block foul by J. Smith (drawn by J. Harden),,57-45,,
5:03.0,M. Dellavedova enters the game for K. Irving,,57-45,,
4:58.0,,,57-45,,C. Capela misses 2-pt shot from 1 ft
4:57.0,,,57-45,,Offensive rebound by C. Capela
4:56.0,,,57-45,,C. Capela misses 2-pt shot from 3 ft
4:56.0,Defensive rebound by Team,,57-45,,
4:40.0,K. Love makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,59-45,,
4:36.0,,,59-45,,Houston full timeout
4:36.0,,,59-45,,M. Thornton enters the game for C. Capela
4:36.0,,,59-45,,D. Howard enters the game for J. Harden
4:18.0,Personal foul by J. Smith (drawn by J. Terry),,59-45,,
4:13.0,,,59-45,,C. Brewer misses 3-pt shot from 22 ft
4:12.0,Defensive rebound by L. James,,59-45,,
3:52.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,62-45,,
3:31.0,,,62-45,,D. Howard misses 2-pt shot from 6 ft
3:30.0,Defensive rebound by J. Smith,,62-45,,
3:21.0,L. James makes 2-pt shot from 1 ft,2,64-45,,
3:13.0,,,64-45,,Turnover by M. Thornton (bad pass; steal by M. Dellavedova)
3:02.0,J. Smith misses 3-pt shot from 25 ft,,64-45,,
3:00.0,Offensive rebound by K. Love,,64-45,,
2:50.0,Turnover by K. Love (bad pass; steal by J. Terry),,64-45,,
2:49.0,Personal foul by M. Dellavedova (drawn by M. Thornton),,64-45,,
2:49.0,T. Thompson enters the game for K. Love,,64-45,,
2:49.0,,,64-45,,J. Harden enters the game for T. Ariza
2:30.0,,,64-45,,M. Thornton misses 2-pt shot from 1 ft
2:29.0,,,64-45,,Offensive rebound by M. Thornton
2:16.0,,,64-45,,J. Terry misses 3-pt shot from 24 ft
2:15.0,Defensive rebound by J. Smith,,64-45,,
2:10.0,L. James makes 2-pt shot from 1 ft,2,66-45,,
1:51.0,,,66-45,,M. Thornton misses 3-pt shot from 23 ft
1:51.0,Defensive rebound by L. James,,66-45,,
1:43.0,J. Smith misses 3-pt shot from 26 ft,,66-45,,
1:42.0,,,66-45,,Defensive rebound by J. Harden
1:35.0,,,66-48,3,J. Terry makes 3-pt shot from 24 ft (assist by J. Harden)
1:20.0,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova),2,68-48,,
0:58.0,,,68-48,,J. Harden misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by J. Smith,,68-48,,
0:46.0,L. James misses 2-pt shot from 18 ft,,68-48,,
0:45.0,,,68-48,,Defensive rebound by J. Terry
0:37.0,,,68-48,,M. Thornton misses 3-pt shot from 24 ft
0:36.0,Defensive rebound by T. Thompson,,68-48,,
0:16.0,J. Smith misses 3-pt shot from 25 ft,,68-48,,
0:14.0,Offensive rebound by M. Dellavedova,,68-48,,
0:14.0,M. Dellavedova misses 2-pt shot from 1 ft,,68-48,,
0:12.0,,,68-48,,Defensive rebound by D. Howard
0:11.0,Clear path foul by J. Smith,,68-48,,
0:11.0,,,68-48,,C. Brewer misses clear path free throw 1 of 2
0:11.0,,,68-48,,Offensive rebound by Team
0:11.0,R. Jefferson enters the game for L. James,,68-48,,
0:11.0,,,68-48,,P. Beverley enters the game for M. Thornton
0:11.0,,,68-49,1,C. Brewer makes clear path free throw 2 of 2
0:09.0,Personal take foul by R. Jefferson (drawn by D. Howard),,68-49,,
0:09.0,,,68-50,1,D. Howard makes free throw 1 of 2
0:09.0,K. Irving enters the game for J. Smith,,68-50,,
0:09.0,L. James enters the game for T. Thompson,,68-50,,
0:09.0,,,68-50,,T. Ariza enters the game for J. Terry
0:09.0,,,68-51,1,D. Howard makes free throw 2 of 2
0:03.0,K. Irving misses 3-pt shot from 24 ft,,68-51,,
0:01.0,Offensive rebound by I. Shumpert,,68-51,,
0:01.0,I. Shumpert misses 2-pt shot from 1 ft,,68-51,,
0:00.0,Offensive rebound by I. Shumpert,,68-51,,
0:00.0,I. Shumpert misses 2-pt shot from 1 ft,,68-51,,
0:00.0,Offensive rebound by Team,,68-51,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,68-51,,D. Howard misses 2-pt shot from 6 ft
11:45.0,Defensive rebound by K. Irving,,68-51,,
11:36.0,Turnover by M. Dellavedova (bad pass; steal by J. Terry),,68-51,,
11:30.0,,,68-53,2,C. Brewer makes 2-pt shot from 3 ft (assist by J. Terry)
