time,Charlotte,pts.away,score,pts.home,Minnesota
8:00.0,N. Batum misses 3-pt shot from 24 ft,,9-14,,
7:59.0,,,9-14,,Defensive rebound by A. Payne
7:49.0,,,9-16,2,A. Payne makes 2-pt shot from 21 ft (assist by K. Martin)
7:37.0,Shooting foul by K. Towns (drawn by A. Jefferson),,9-16,,
7:37.0,A. Jefferson makes free throw 1 of 2,1,10-16,,
7:37.0,A. Jefferson makes free throw 2 of 2,1,11-16,,
7:28.0,,,11-18,2,Z. LaVine makes 2-pt shot at rim
7:14.0,M. Williams misses 3-pt shot from 24 ft,,11-18,,
7:13.0,,,11-18,,Defensive rebound by K. Towns
7:05.0,,,11-21,3,A. Payne makes 3-pt shot from 24 ft (assist by Z. LaVine)
6:51.0,,,11-21,,Personal foul by K. Martin (drawn by A. Jefferson)
6:45.0,A. Jefferson misses 2-pt shot at rim,,11-21,,
6:44.0,,,11-21,,Defensive rebound by K. Towns
6:25.0,,,11-21,,Z. LaVine misses 3-pt shot from 23 ft
6:24.0,Defensive rebound by M. Williams,,11-21,,
6:13.0,,,11-21,,Shooting block foul by A. Payne (drawn by P. Hairston)
6:13.0,P. Hairston makes free throw 1 of 2,1,12-21,,
6:13.0,P. Hairston misses free throw 2 of 2,,12-21,,
6:13.0,,,12-21,,Defensive rebound by K. Towns
6:07.0,,,12-21,,Minnesota full timeout
5:54.0,,,12-21,,Turnover by K. Towns (lost ball; steal by K. Walker)
5:49.0,P. Hairston misses 2-pt shot from 1 ft,,12-21,,
5:48.0,,,12-21,,Defensive rebound by T. Prince
5:35.0,,,12-21,,K. Martin misses 2-pt shot from 15 ft
5:34.0,Defensive rebound by N. Batum,,12-21,,
5:20.0,P. Hairston misses 3-pt shot from 22 ft,,12-21,,
5:19.0,,,12-21,,Defensive rebound by K. Towns
5:10.0,,,12-21,,Turnover by Z. LaVine (bad pass; steal by M. Williams)
5:05.0,Shooting foul by T. Prince (drawn by M. Williams),,12-21,,
5:05.0,M. Williams makes free throw 1 of 2,1,13-21,,
5:05.0,C. Zeller enters the game for P. Hairston,,13-21,,
5:05.0,,,13-21,,N. Bjelica enters the game for A. Payne
5:05.0,,,13-21,,G. Dieng enters the game for K. Towns
5:05.0,M. Williams makes free throw 2 of 2,1,14-21,,
4:53.0,,,14-21,,Z. LaVine misses 2-pt shot from 1 ft (block by M. Williams)
4:51.0,,,14-21,,Offensive rebound by G. Dieng
4:49.0,,,14-21,,Minnesota full timeout
4:44.0,,,14-21,,Turnover by Z. LaVine (traveling)
4:34.0,N. Batum misses 2-pt shot from 19 ft,,14-21,,
4:32.0,,,14-21,,Defensive rebound by Z. LaVine
4:26.0,,,14-23,2,K. Martin makes 2-pt shot from 15 ft (assist by Z. LaVine)
4:12.0,Shooting foul by T. Prince (drawn by N. Batum),,14-23,,
4:12.0,N. Batum makes free throw 1 of 2,1,15-23,,
4:12.0,,,15-23,,S. Muhammad enters the game for T. Prince
4:12.0,N. Batum makes free throw 2 of 2,1,16-23,,
3:55.0,,,16-25,2,K. Martin makes 2-pt shot at rim
3:40.0,C. Zeller misses 2-pt shot from 1 ft,,16-25,,
3:39.0,,,16-25,,Defensive rebound by G. Dieng
3:30.0,,,16-25,,Turnover by Z. LaVine (traveling)
3:30.0,,,16-25,,T. Jones enters the game for Z. LaVine
3:30.0,J. Lamb enters the game for M. Williams,,16-25,,
3:30.0,S. Hawes enters the game for A. Jefferson,,16-25,,
3:21.0,Shooting foul by G. Dieng (drawn by K. Walker),,16-25,,
3:21.0,K. Walker makes free throw 1 of 2,1,17-25,,
3:21.0,K. Walker makes free throw 2 of 2,1,18-25,,
3:13.0,,,18-27,2,K. Martin makes 2-pt shot from 14 ft (assist by N. Bjelica)
2:55.0,S. Hawes misses 2-pt shot from 7 ft,,18-27,,
2:54.0,Offensive rebound by Team,,18-27,,
2:54.0,,,18-27,,Loose ball foul by N. Bjelica (drawn by C. Zeller)
2:54.0,Charlotte full timeout,,18-27,,
2:54.0,C. Zeller makes free throw 1 of 2,1,19-27,,
2:54.0,C. Zeller misses free throw 2 of 2,,19-27,,
2:54.0,,,19-27,,Defensive rebound by G. Dieng
2:40.0,,,19-27,,Turnover by G. Dieng (traveling)
2:28.0,C. Zeller makes 2-pt shot at rim (assist by K. Walker),2,21-27,,
2:14.0,,,21-27,,Turnover by K. Martin (lost ball; steal by J. Lamb)
2:04.0,C. Zeller makes 2-pt shot at rim (assist by N. Batum),2,23-27,,
1:51.0,,,23-27,,G. Dieng misses 2-pt shot from 7 ft (block by N. Batum)
1:51.0,,,23-27,,Offensive rebound by Team
1:51.0,J. Lin enters the game for K. Walker,,23-27,,
1:51.0,,,23-27,,D. Rudez enters the game for K. Martin
1:44.0,,,23-27,,S. Muhammad misses 2-pt shot from 6 ft
1:43.0,,,23-27,,Offensive rebound by N. Bjelica
1:37.0,,,23-29,2,S. Muhammad makes 2-pt shot from 10 ft (assist by D. Rudez)
1:30.0,,,23-29,,Personal foul by T. Jones (drawn by J. Lin)
1:30.0,J. Lin makes free throw 1 of 2,1,24-29,,
1:30.0,J. Lin misses free throw 2 of 2,,24-29,,
1:30.0,,,24-29,,Defensive rebound by G. Dieng
1:19.0,,,24-29,,T. Jones misses 2-pt shot from 1 ft
1:18.0,Defensive rebound by J. Lamb,,24-29,,
1:06.0,J. Lamb makes 2-pt shot from 21 ft,2,26-29,,
0:40.0,,,26-29,,N. Bjelica misses 3-pt shot from 25 ft
0:39.0,Defensive rebound by N. Batum,,26-29,,
0:28.0,N. Batum makes 3-pt shot from 25 ft (assist by S. Hawes),3,29-29,,
0:07.0,,,29-29,,Shooting foul by J. Lin (drawn by N. Bjelica)
0:07.0,,,29-30,1,N. Bjelica makes free throw 1 of 2
0:07.0,,,29-31,1,N. Bjelica makes free throw 2 of 2
0:01.0,Shooting foul by N. Bjelica (drawn by J. Lin),,29-31,,
0:01.0,J. Lin makes free throw 1 of 3,1,30-31,,
0:01.0,J. Lin makes free throw 2 of 3,1,31-31,,
0:01.0,J. Lin makes free throw 3 of 3,1,32-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,J. Lin makes 2-pt shot from 4 ft,2,34-31,,
11:22.0,,,34-31,,N. Bjelica misses 2-pt shot from 20 ft
11:21.0,Defensive rebound by Team,,34-31,,
11:12.0,Offensive foul by C. Zeller,,34-31,,
11:12.0,Turnover by C. Zeller (offensive foul),,34-31,,
11:00.0,,,34-31,,D. Rudez misses 3-pt shot from 24 ft
10:59.0,Defensive rebound by M. Williams,,34-31,,
10:50.0,J. Lamb misses 3-pt shot from 26 ft,,34-31,,
10:48.0,Offensive rebound by C. Zeller,,34-31,,
10:48.0,C. Zeller makes 2-pt shot at rim,2,36-31,,
10:48.0,Violation by Team (delay of game),,36-31,,
10:28.0,,,36-31,,N. Bjelica misses 3-pt shot from 24 ft
10:26.0,Defensive rebound by J. Lamb,,36-31,,
10:21.0,C. Zeller misses 2-pt shot at rim (block by N. Bjelica),,36-31,,
10:19.0,,,36-31,,Defensive rebound by D. Rudez
10:17.0,,,36-31,,Shooting foul by S. Hawes (drawn by T. Jones)
10:17.0,,,36-32,1,T. Jones makes free throw 1 of 2
10:17.0,,,36-32,,T. Jones misses free throw 2 of 2
10:16.0,,,36-32,,Offensive rebound by N. Bjelica
10:13.0,,,36-35,3,D. Rudez makes 3-pt shot from 24 ft (assist by N. Bjelica)
9:56.0,J. Lin misses 2-pt shot from 10 ft,,36-35,,
9:55.0,,,36-35,,Defensive rebound by Team
9:43.0,,,36-35,,T. Jones misses 2-pt shot from 13 ft
9:41.0,Defensive rebound by S. Hawes,,36-35,,
9:29.0,J. Lamb makes 2-pt shot at rim,2,38-35,,
9:03.0,,,38-35,,Shooting foul by M. Williams (drawn by S. Muhammad)
9:03.0,,,38-35,,S. Muhammad misses free throw 1 of 2
9:03.0,,,38-35,,Offensive rebound by Team
9:03.0,,,38-35,,S. Muhammad misses free throw 2 of 2
9:03.0,Defensive rebound by M. Williams,,38-35,,
8:47.0,J. Lamb makes 3-pt shot from 25 ft (assist by J. Lin),3,41-35,,
8:28.0,,,41-35,,Turnover by S. Muhammad (lost ball)
8:28.0,Charlotte full timeout,,41-35,,
8:28.0,,,41-35,,Z. LaVine enters the game for T. Jones
8:28.0,,,41-35,,K. Martin enters the game for S. Muhammad
8:13.0,J. Lamb makes 2-pt shot at rim (assist by S. Hawes),2,43-35,,
8:00.0,,,43-38,3,N. Bjelica makes 3-pt shot from 24 ft (assist by Z. LaVine)
7:48.0,J. Lin makes 3-pt shot from 24 ft,3,46-38,,
7:40.0,,,46-38,,Minnesota full timeout
7:40.0,,,46-38,,K. Towns enters the game for G. Dieng
7:40.0,P. Hairston enters the game for C. Zeller,,46-38,,
7:40.0,A. Jefferson enters the game for S. Hawes,,46-38,,
7:34.0,,,46-38,,Turnover by Z. LaVine (traveling)
7:23.0,A. Jefferson misses 2-pt shot from 2 ft (block by K. Towns),,46-38,,
7:22.0,Offensive rebound by Team,,46-38,,
7:21.0,J. Lamb makes 2-pt shot at rim (assist by P. Hairston),2,48-38,,
7:08.0,,,48-38,,Shooting foul by P. Hairston (drawn by K. Martin)
7:08.0,,,48-39,1,K. Martin makes free throw 1 of 2
7:08.0,,,48-39,,T. Prince enters the game for D. Rudez
7:08.0,,,48-40,1,K. Martin makes free throw 2 of 2
6:57.0,Shooting foul by N. Bjelica (drawn by J. Lin),,48-40,,
6:57.0,J. Lin makes free throw 1 of 2,1,49-40,,
6:57.0,K. Walker enters the game for P. Hairston,,49-40,,
6:57.0,,,49-40,,A. Payne enters the game for N. Bjelica
6:57.0,J. Lin makes free throw 2 of 2,1,50-40,,
6:44.0,,,50-40,,Z. LaVine misses 2-pt shot from 19 ft
6:43.0,Defensive rebound by J. Lin,,50-40,,
6:38.0,J. Lamb makes 3-pt shot from 25 ft (assist by J. Lin),3,53-40,,
6:23.0,,,53-42,2,K. Martin makes 2-pt shot at rim (assist by K. Towns)
6:08.0,M. Williams misses 3-pt shot from 24 ft,,53-42,,
6:07.0,,,53-42,,Defensive rebound by Z. LaVine
5:54.0,,,53-44,2,K. Towns makes 2-pt shot from 6 ft (assist by Z. LaVine)
5:37.0,J. Lin makes 2-pt shot at rim (assist by A. Jefferson),2,55-44,,
5:22.0,,,55-44,,K. Martin misses 2-pt shot at rim (block by M. Williams)
5:20.0,Defensive rebound by J. Lamb,,55-44,,
5:10.0,K. Walker misses 3-pt shot from 23 ft,,55-44,,
5:09.0,,,55-44,,Defensive rebound by K. Towns
5:00.0,,,55-46,2,K. Towns makes 2-pt shot from 16 ft (assist by Z. LaVine)
4:42.0,J. Lin misses 3-pt shot from 25 ft,,55-46,,
4:42.0,,,55-46,,Defensive rebound by K. Towns
4:30.0,Personal foul by M. Williams (drawn by A. Payne),,55-46,,
4:30.0,N. Batum enters the game for J. Lin,,55-46,,
4:30.0,C. Zeller enters the game for M. Williams,,55-46,,
4:29.0,,,55-46,,Offensive foul by K. Martin
4:29.0,,,55-46,,Turnover by K. Martin (offensive foul)
4:08.0,A. Jefferson misses 2-pt shot from 14 ft,,55-46,,
4:06.0,,,55-46,,Defensive rebound by A. Payne
4:02.0,,,55-46,,Turnover by A. Payne (lost ball; steal by C. Zeller)
3:58.0,K. Walker makes 2-pt shot from 1 ft,2,57-46,,
3:35.0,,,57-48,2,Z. LaVine makes 2-pt shot from 17 ft (assist by A. Payne)
3:22.0,K. Walker misses 2-pt shot from 17 ft,,57-48,,
3:21.0,Offensive rebound by C. Zeller,,57-48,,
3:20.0,Shooting foul by K. Towns (drawn by C. Zeller),,57-48,,
3:20.0,C. Zeller makes free throw 1 of 2,1,58-48,,
3:20.0,C. Zeller makes free throw 2 of 2,1,59-48,,
3:05.0,,,59-50,2,T. Prince makes 2-pt shot from 16 ft (assist by K. Martin)
2:54.0,N. Batum makes 2-pt shot from 16 ft,2,61-50,,
2:37.0,Personal foul by C. Zeller (drawn by K. Martin),,61-50,,
2:37.0,Charlotte full timeout,,61-50,,
2:37.0,F. Kaminsky enters the game for C. Zeller,,61-50,,
2:37.0,,,61-51,1,K. Martin makes free throw 1 of 2
2:37.0,,,61-52,1,K. Martin makes free throw 2 of 2
2:25.0,N. Batum makes 2-pt shot at rim (assist by K. Walker),2,63-52,,
1:58.0,,,63-54,2,Z. LaVine makes 2-pt shot at rim
1:42.0,Turnover by F. Kaminsky (traveling),,63-54,,
1:26.0,,,63-54,,K. Towns misses 2-pt shot from 16 ft
1:25.0,,,63-54,,Offensive rebound by T. Prince
1:21.0,,,63-54,,Turnover by A. Payne (traveling)
1:12.0,A. Jefferson misses 2-pt shot from 13 ft,,63-54,,
1:11.0,,,63-54,,Defensive rebound by Z. LaVine
0:58.0,,,63-57,3,A. Payne makes 3-pt shot from 24 ft (assist by Z. LaVine)
0:44.0,Turnover by N. Batum (bad pass; steal by K. Martin),,63-57,,
0:40.0,,,63-59,2,K. Martin makes 2-pt shot from 2 ft
0:28.0,K. Walker misses 2-pt shot from 1 ft,,63-59,,
0:27.0,,,63-59,,Defensive rebound by A. Payne
0:05.0,,,63-59,,K. Martin misses 2-pt shot from 1 ft
0:02.0,,,63-59,,Offensive rebound by K. Towns
0:02.0,,,63-59,,K. Towns misses 2-pt shot from 2 ft
0:02.0,Defensive rebound by N. Batum,,63-59,,
0:01.0,N. Batum misses 3-pt shot from 52 ft,,63-59,,
0:00.0,Offensive rebound by Team,,63-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Offensive foul by N. Batum,,63-59,,
11:42.0,Turnover by N. Batum (offensive foul),,63-59,,
11:26.0,,,63-59,,K. Towns misses 2-pt shot from 5 ft
11:25.0,,,63-59,,Offensive rebound by K. Towns
11:24.0,,,63-61,2,K. Towns makes 2-pt shot at rim
11:24.0,,,63-61,,Shooting foul by A. Jefferson (drawn by K. Towns)
11:24.0,,,63-62,1,K. Towns makes free throw 1 of 1
11:12.0,Turnover by J. Lamb (bad pass; steal by A. Payne),,63-62,,
11:04.0,,,63-65,3,T. Prince makes 3-pt shot from 23 ft (assist by K. Martin)
10:53.0,,,63-65,,Personal foul by A. Payne (drawn by M. Williams)
10:44.0,K. Walker makes 2-pt shot from 10 ft,2,65-65,,
10:29.0,,,65-65,,K. Towns misses 2-pt shot from 3 ft (block by A. Jefferson)
10:28.0,Defensive rebound by Team,,65-65,,
10:19.0,Turnover by K. Walker (lost ball; steal by K. Towns),,65-65,,
10:13.0,,,65-67,2,Z. LaVine makes 2-pt shot from 1 ft
9:59.0,J. Lamb misses 2-pt shot at rim,,65-67,,
9:58.0,,,65-67,,Defensive rebound by A. Payne
9:44.0,,,65-67,,Z. LaVine misses 3-pt shot from 24 ft
9:41.0,Defensive rebound by N. Batum,,65-67,,
9:27.0,J. Lamb makes 2-pt shot from 6 ft,2,67-67,,
9:08.0,,,67-67,,K. Towns misses 2-pt shot from 18 ft
9:07.0,,,67-67,,Offensive rebound by A. Payne
9:06.0,,,67-69,2,A. Payne makes 2-pt shot from 5 ft
8:49.0,Turnover by A. Jefferson (traveling),,67-69,,
8:38.0,,,67-69,,K. Martin misses 2-pt shot from 19 ft
8:37.0,Defensive rebound by J. Lamb,,67-69,,
8:28.0,Turnover by K. Walker (lost ball),,67-69,,
8:15.0,,,67-69,,K. Towns misses 2-pt shot at rim
8:15.0,Defensive rebound by Team,,67-69,,
8:05.0,M. Williams misses 3-pt shot from 24 ft,,67-69,,
8:03.0,,,67-69,,Defensive rebound by K. Towns
7:50.0,,,67-69,,A. Payne misses 2-pt shot from 4 ft
7:49.0,Defensive rebound by A. Jefferson,,67-69,,
7:40.0,J. Lamb makes 2-pt shot from 15 ft,2,69-69,,
7:40.0,,,69-69,,Minnesota full timeout
7:30.0,,,69-69,,Turnover by Z. LaVine (bad pass; steal by M. Williams)
7:26.0,,,69-69,,Violation by A. Payne (def goaltending)
7:26.0,M. Williams makes 2-pt shot from 1 ft,2,71-69,,
7:13.0,,,71-69,,Z. LaVine misses 2-pt shot from 18 ft
7:11.0,Defensive rebound by M. Williams,,71-69,,
7:04.0,A. Jefferson makes 2-pt shot from 1 ft (assist by N. Batum),2,73-69,,
6:43.0,,,73-69,,K. Martin misses 2-pt shot from 3 ft
6:42.0,Defensive rebound by M. Williams,,73-69,,
6:37.0,K. Walker makes 2-pt shot from 1 ft,2,75-69,,
6:37.0,Shooting foul by K. Martin (drawn by K. Walker),,75-69,,
6:37.0,,,75-69,,G. Dieng enters the game for A. Payne
6:37.0,K. Walker misses free throw 1 of 1,,75-69,,
6:37.0,,,75-69,,Defensive rebound by K. Towns
6:27.0,Personal foul by J. Lamb (drawn by T. Prince),,75-69,,
6:14.0,,,75-69,,T. Prince misses 2-pt shot from 17 ft
6:13.0,Defensive rebound by Team,,75-69,,
6:04.0,K. Walker misses 2-pt shot at rim,,75-69,,
6:03.0,,,75-69,,Defensive rebound by K. Towns
5:48.0,,,75-69,,K. Martin misses 2-pt shot from 6 ft
5:46.0,,,75-69,,Offensive rebound by G. Dieng
5:46.0,,,75-71,2,G. Dieng makes 2-pt shot at rim
5:36.0,Shooting foul by K. Towns (drawn by A. Jefferson),,75-71,,
5:36.0,A. Jefferson makes free throw 1 of 2,1,76-71,,
5:36.0,,,76-71,,N. Bjelica enters the game for K. Towns
5:36.0,A. Jefferson misses free throw 2 of 2,,76-71,,
5:36.0,,,76-71,,Defensive rebound by G. Dieng
5:15.0,,,76-71,,Z. LaVine misses 2-pt shot from 5 ft
5:14.0,,,76-71,,Offensive rebound by Z. LaVine
5:12.0,,,76-73,2,Z. LaVine makes 2-pt shot from 1 ft
4:51.0,A. Jefferson makes 2-pt shot from 5 ft (assist by K. Walker),2,78-73,,
4:35.0,,,78-73,,Shooting foul by N. Batum (drawn by K. Martin)
4:35.0,,,78-74,1,K. Martin makes free throw 1 of 2
4:35.0,C. Zeller enters the game for M. Williams,,78-74,,
4:35.0,J. Lin enters the game for J. Lamb,,78-74,,
4:35.0,,,78-74,,K. Martin misses free throw 2 of 2
4:35.0,Defensive rebound by A. Jefferson,,78-74,,
4:19.0,K. Walker misses 3-pt shot from 24 ft,,78-74,,
4:18.0,,,78-74,,Defensive rebound by N. Bjelica
4:06.0,,,78-74,,K. Martin misses 3-pt shot from 25 ft
4:04.0,Defensive rebound by A. Jefferson,,78-74,,
3:41.0,K. Walker misses 3-pt shot from 25 ft,,78-74,,
3:40.0,,,78-74,,Defensive rebound by T. Prince
3:28.0,,,78-76,2,Z. LaVine makes 2-pt shot from 18 ft
3:17.0,C. Zeller makes 2-pt shot at rim (assist by K. Walker),2,80-76,,
3:00.0,,,80-79,3,N. Bjelica makes 3-pt shot from 24 ft (assist by Z. LaVine)
2:39.0,A. Jefferson makes 2-pt shot from 13 ft (assist by C. Zeller),2,82-79,,
2:16.0,Charlotte full timeout,,82-79,,
2:16.0,,,82-79,,S. Muhammad enters the game for T. Prince
2:16.0,S. Hawes enters the game for A. Jefferson,,82-79,,
2:11.0,,,82-79,,Z. LaVine misses 2-pt shot from 13 ft
2:10.0,,,82-79,,Offensive rebound by K. Martin
2:05.0,,,82-79,,Shooting foul by S. Hawes (drawn by Z. LaVine)
2:05.0,,,82-79,,Z. LaVine misses free throw 1 of 2
2:05.0,,,82-79,,Offensive rebound by Team
2:05.0,,,82-80,1,Z. LaVine makes free throw 2 of 2
1:41.0,S. Hawes misses 3-pt shot from 22 ft,,82-80,,
1:40.0,,,82-80,,Defensive rebound by Z. LaVine
1:35.0,,,82-80,,Turnover by K. Martin (lost ball)
1:35.0,,,82-80,,T. Jones enters the game for Z. LaVine
1:15.0,K. Walker misses 3-pt shot from 25 ft,,82-80,,
1:13.0,,,82-80,,Defensive rebound by S. Muhammad
1:05.0,,,82-80,,Offensive foul by K. Martin
1:05.0,,,82-80,,Turnover by K. Martin (offensive foul)
1:05.0,B. Roberts enters the game for K. Walker,,82-80,,
1:05.0,,,82-80,,A. Miller enters the game for K. Martin
0:45.0,S. Hawes misses 2-pt shot from 8 ft,,82-80,,
0:44.0,,,82-80,,Defensive rebound by N. Bjelica
0:27.0,,,82-80,,Turnover by G. Dieng (offensive foul)
0:27.0,,,82-80,,Offensive foul by G. Dieng
0:14.0,N. Batum makes 3-pt shot from 23 ft,3,85-80,,
0:02.0,,,85-80,,T. Jones misses 2-pt shot from 6 ft
0:01.0,Defensive rebound by C. Zeller,,85-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,85-80,,G. Dieng misses 2-pt shot from 17 ft
11:46.0,Defensive rebound by B. Roberts,,85-80,,
11:38.0,J. Lin misses 3-pt shot from 26 ft,,85-80,,
11:37.0,,,85-80,,Defensive rebound by T. Jones
11:20.0,,,85-80,,G. Dieng misses 2-pt shot from 6 ft
11:19.0,Defensive rebound by S. Hawes,,85-80,,
10:59.0,S. Hawes makes 2-pt shot from 4 ft,2,87-80,,
10:46.0,,,87-80,,S. Muhammad misses 3-pt shot from 24 ft
10:44.0,Defensive rebound by Team,,87-80,,
10:25.0,B. Roberts makes 2-pt shot from 20 ft,2,89-80,,
10:13.0,,,89-80,,T. Jones misses 2-pt shot from 3 ft
10:12.0,Defensive rebound by C. Zeller,,89-80,,
10:04.0,J. Lin makes 2-pt shot from 13 ft,2,91-80,,
10:03.0,,,91-80,,Minnesota full timeout
10:03.0,,,91-80,,Z. LaVine enters the game for T. Jones
10:03.0,,,91-80,,K. Martin enters the game for A. Miller
10:03.0,,,91-80,,K. Towns enters the game for G. Dieng
9:42.0,,,91-80,,Turnover by K. Towns (3 sec)
9:27.0,J. Lin misses 3-pt shot from 24 ft,,91-80,,
9:26.0,,,91-80,,Defensive rebound by K. Martin
9:13.0,,,91-80,,K. Martin misses 3-pt shot from 25 ft
9:12.0,Defensive rebound by C. Zeller,,91-80,,
9:00.0,S. Hawes misses 3-pt shot from 24 ft,,91-80,,
8:59.0,Offensive rebound by M. Williams,,91-80,,
8:56.0,M. Williams misses 2-pt shot from 6 ft,,91-80,,
8:55.0,Offensive rebound by C. Zeller,,91-80,,
8:51.0,J. Lin misses 3-pt shot from 24 ft,,91-80,,
8:49.0,,,91-80,,Defensive rebound by N. Bjelica
8:33.0,,,91-82,2,S. Muhammad makes 2-pt shot from 2 ft (assist by N. Bjelica)
8:11.0,B. Roberts makes 2-pt shot from 21 ft (assist by J. Lin),2,93-82,,
7:47.0,Personal block foul by C. Zeller (drawn by N. Bjelica),,93-82,,
7:47.0,,,93-82,,T. Prince enters the game for S. Muhammad
7:36.0,,,93-84,2,K. Towns makes 2-pt shot from 4 ft (assist by N. Bjelica)
7:22.0,Turnover by B. Roberts (bad pass),,93-84,,
7:12.0,,,93-84,,Z. LaVine misses 2-pt shot from 19 ft
7:11.0,Defensive rebound by M. Williams,,93-84,,
7:01.0,J. Lin makes 2-pt shot from 3 ft,2,95-84,,
7:01.0,Shooting foul by N. Bjelica (drawn by J. Lin),,95-84,,
7:01.0,K. Walker enters the game for B. Roberts,,95-84,,
7:01.0,J. Lin misses free throw 1 of 1,,95-84,,
7:01.0,,,95-84,,Defensive rebound by N. Bjelica
6:44.0,Personal foul by C. Zeller (drawn by K. Towns),,95-84,,
6:38.0,,,95-84,,Offensive charge foul by K. Martin
6:38.0,,,95-84,,Turnover by K. Martin (offensive foul)
6:38.0,N. Batum enters the game for C. Zeller,,95-84,,
6:27.0,Turnover by N. Batum (offensive foul),,95-84,,
6:27.0,Offensive foul by N. Batum,,95-84,,
6:16.0,,,95-84,,Turnover by Z. LaVine (lost ball; steal by K. Walker)
6:09.0,Offensive foul by M. Williams,,95-84,,
6:09.0,Turnover by M. Williams (offensive foul),,95-84,,
5:55.0,,,95-84,,Turnover by N. Bjelica (traveling)
5:55.0,Charlotte full timeout,,95-84,,
5:41.0,N. Batum misses 2-pt shot from 10 ft,,95-84,,
5:40.0,,,95-84,,Defensive rebound by N. Bjelica
5:22.0,,,95-87,3,N. Bjelica makes 3-pt shot from 24 ft (assist by K. Martin)
4:59.0,Turnover by K. Walker (lost ball; steal by Z. LaVine),,95-87,,
4:44.0,,,95-87,,Z. LaVine misses 3-pt shot from 24 ft
4:43.0,Defensive rebound by M. Williams,,95-87,,
4:30.0,S. Hawes misses 2-pt shot from 16 ft,,95-87,,
4:29.0,,,95-87,,Defensive rebound by K. Towns
4:19.0,,,95-89,2,K. Towns makes 2-pt shot from 20 ft (assist by Z. LaVine)
3:57.0,J. Lin makes 2-pt shot from 10 ft,2,97-89,,
3:43.0,,,97-89,,Shooting foul by S. Hawes (drawn by K. Towns)
3:43.0,,,97-90,1,K. Towns makes free throw 1 of 2
3:43.0,,,97-91,1,K. Towns makes free throw 2 of 2
3:32.0,K. Walker makes 2-pt shot from 16 ft,2,99-91,,
3:19.0,,,99-91,,Turnover by Z. LaVine (lost ball; steal by S. Hawes)
3:17.0,Turnover by S. Hawes (lost ball; steal by Z. LaVine),,99-91,,
3:03.0,,,99-91,,Turnover by Z. LaVine (bad pass)
3:03.0,C. Zeller enters the game for S. Hawes,,99-91,,
2:47.0,,,99-91,,Personal foul by Z. LaVine (drawn by K. Walker)
2:47.0,Charlotte full timeout,,99-91,,
2:42.0,C. Zeller makes 2-pt shot at rim (assist by N. Batum),2,101-91,,
2:27.0,,,101-91,,K. Towns misses 2-pt shot at rim (block by N. Batum)
2:26.0,Defensive rebound by N. Batum,,101-91,,
2:12.0,K. Walker misses 3-pt shot from 25 ft,,101-91,,
