time,Sacramento,pts.away,score,pts.home,Miami
8:17.0,,,6-2,,A. Stoudemire enters the game for H. Whiteside
8:04.0,K. Koufos misses 2-pt shot from 10 ft,,6-2,,
8:03.0,,,6-2,,Defensive rebound by Team
7:52.0,,,6-4,2,C. Bosh makes 2-pt shot from 13 ft (assist by G. Dragic)
7:41.0,R. Gay misses 2-pt shot from 9 ft (block by L. Deng),,6-4,,
7:40.0,,,6-4,,Defensive rebound by C. Bosh
7:34.0,,,6-4,,G. Dragic misses 2-pt shot from 14 ft
7:33.0,,,6-4,,Offensive rebound by Team
7:26.0,,,6-4,,Shooting foul by O. Casspi (drawn by C. Bosh)
7:26.0,,,6-5,1,C. Bosh makes free throw 1 of 2
7:26.0,,,6-6,1,C. Bosh makes free throw 2 of 2
7:03.0,R. Gay makes 2-pt shot at rim (assist by B. McLemore),2,8-6,,
6:43.0,,,8-6,,Turnover by C. Bosh (bad pass; steal by R. Gay)
6:38.0,O. Casspi misses 2-pt shot from 2 ft,,8-6,,
6:37.0,Offensive rebound by R. Rondo,,8-6,,
6:28.0,Turnover by R. Rondo (bad pass),,8-6,,
6:15.0,,,8-8,2,A. Stoudemire makes 2-pt shot from 2 ft (assist by G. Dragic)
6:15.0,,,8-8,,Shooting foul by O. Casspi (drawn by A. Stoudemire)
6:15.0,W. Cauley-Stein enters the game for O. Casspi,,8-8,,
6:15.0,,,8-9,1,A. Stoudemire makes free throw 1 of 1
5:54.0,,,8-9,,Def 3 sec tech foul by A. Stoudemire
5:54.0,,,8-9,,Miami full timeout
5:54.0,R. Gay makes technical free throw,1,9-9,,
5:40.0,R. Rondo misses 2-pt shot from 19 ft,,9-9,,
5:38.0,Offensive rebound by Team,,9-9,,
5:31.0,R. Gay makes 2-pt shot from 14 ft (assist by R. Rondo),2,11-9,,
5:07.0,,,11-11,2,A. Stoudemire makes 2-pt shot from 12 ft
5:07.0,,,11-11,,Shooting foul by K. Koufos (drawn by A. Stoudemire)
5:07.0,,,11-11,,J. Winslow enters the game for C. Bosh
5:07.0,M. Belinelli enters the game for B. McLemore,,11-11,,
5:07.0,D. Collison enters the game for K. Koufos,,11-11,,
5:07.0,,,11-12,1,A. Stoudemire makes free throw 1 of 1
4:49.0,R. Gay misses 2-pt shot from 12 ft,,11-12,,
4:48.0,,,11-12,,Defensive rebound by A. Stoudemire
4:38.0,,,11-12,,A. Stoudemire misses 2-pt shot from 1 ft
4:37.0,,,11-12,,Offensive rebound by D. Wade
4:35.0,,,11-14,2,D. Wade makes 2-pt shot at rim
4:22.0,Turnover by W. Cauley-Stein (3 sec),,11-14,,
4:06.0,,,11-14,,L. Deng misses 3-pt shot from 23 ft
4:05.0,Defensive rebound by R. Rondo,,11-14,,
4:05.0,,,11-14,,Personal foul by D. Wade (drawn by R. Rondo)
4:05.0,,,11-14,,Violation by Team (delay of game)
3:46.0,M. Belinelli makes 3-pt shot from 25 ft (assist by D. Collison),3,14-14,,
3:34.0,,,14-14,,G. Dragic misses 2-pt shot from 14 ft
3:33.0,Defensive rebound by M. Belinelli,,14-14,,
3:17.0,M. Belinelli makes 3-pt shot from 23 ft (assist by R. Rondo),3,17-14,,
2:57.0,,,17-16,2,L. Deng makes 2-pt shot from 1 ft (assist by A. Stoudemire)
2:57.0,,,17-16,,Shooting foul by R. Gay (drawn by L. Deng)
2:57.0,Sacramento full timeout,,17-16,,
2:57.0,,,17-16,,T. Johnson enters the game for D. Wade
2:57.0,,,17-16,,L. Deng misses free throw 1 of 1
2:56.0,Defensive rebound by R. Gay,,17-16,,
2:41.0,D. Collison makes 2-pt shot from 17 ft,2,19-16,,
2:23.0,,,19-18,2,T. Johnson makes 2-pt shot from 20 ft (assist by G. Dragic)
2:00.0,M. Belinelli misses 3-pt shot from 26 ft,,19-18,,
2:00.0,,,19-18,,Defensive rebound by Team
2:00.0,Personal foul by R. Rondo (drawn by L. Deng),,19-18,,
2:00.0,,,19-18,,L. Deng misses free throw 1 of 2
2:00.0,,,19-18,,Offensive rebound by Team
2:00.0,,,19-19,1,L. Deng makes free throw 2 of 2
1:40.0,R. Gay makes 2-pt shot from 9 ft,2,21-19,,
1:23.0,,,21-19,,Turnover by A. Stoudemire (3 sec)
1:23.0,K. Koufos enters the game for R. Gay,,21-19,,
1:23.0,,,21-19,,G. Green enters the game for G. Dragic
1:04.0,Offensive charge foul by K. Koufos,,21-19,,
1:04.0,Turnover by K. Koufos (offensive foul),,21-19,,
0:56.0,,,21-21,2,A. Stoudemire makes 2-pt shot at rim (assist by T. Johnson)
0:55.0,Turnover by W. Cauley-Stein (bad pass; steal by L. Deng),,21-21,,
0:48.0,,,21-21,,G. Green misses 3-pt shot from 25 ft
0:47.0,,,21-21,,Offensive rebound by L. Deng
0:34.0,,,21-23,2,A. Stoudemire makes 2-pt shot from 16 ft (assist by T. Johnson)
0:19.0,Turnover by M. Belinelli (bad pass; steal by T. Johnson),,21-23,,
0:15.0,,,21-23,,Shooting foul by K. Koufos (drawn by T. Johnson)
0:15.0,,,21-24,1,T. Johnson makes free throw 1 of 2
0:15.0,C. Butler enters the game for K. Koufos,,21-24,,
0:15.0,,,21-25,1,T. Johnson makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,Turnover by W. Cauley-Stein (bad pass; steal by J. Winslow),,21-25,,
11:34.0,,,21-25,,J. Winslow misses 2-pt shot from 1 ft (block by W. Cauley-Stein)
11:33.0,Defensive rebound by O. Casspi,,21-25,,
11:27.0,D. Collison misses 2-pt shot from 1 ft,,21-25,,
11:26.0,,,21-25,,Defensive rebound by G. Green
11:10.0,,,21-27,2,T. Johnson makes 2-pt shot from 17 ft (assist by C. Bosh)
10:55.0,D. Collison misses 2-pt shot from 2 ft,,21-27,,
10:54.0,,,21-27,,Defensive rebound by J. McRoberts
10:48.0,,,21-27,,G. Green misses 3-pt shot from 24 ft
10:47.0,Defensive rebound by W. Cauley-Stein,,21-27,,
10:32.0,W. Cauley-Stein misses 2-pt shot from 9 ft,,21-27,,
10:30.0,,,21-27,,Defensive rebound by G. Green
10:20.0,,,21-30,3,T. Johnson makes 3-pt shot from 25 ft
10:02.0,Shooting foul by G. Green (drawn by M. Belinelli),,21-30,,
10:02.0,M. Belinelli makes free throw 1 of 3,1,22-30,,
10:02.0,M. Belinelli makes free throw 2 of 3,1,23-30,,
10:02.0,Q. Acy enters the game for W. Cauley-Stein,,23-30,,
10:02.0,M. Belinelli makes free throw 3 of 3,1,24-30,,
9:49.0,Violation by Q. Acy (def goaltending),,24-30,,
9:49.0,,,24-32,2,J. Winslow makes 2-pt shot at rim
9:41.0,,,24-32,,Personal foul by J. Winslow (drawn by M. Belinelli)
9:26.0,D. Collison makes 2-pt shot from 19 ft,2,26-32,,
9:04.0,Personal foul by C. Butler (drawn by C. Bosh),,26-32,,
8:56.0,,,26-32,,Turnover by J. Winslow (bad pass)
8:56.0,Official timeout,,26-32,,
8:38.0,O. Casspi makes 3-pt shot from 24 ft,3,29-32,,
8:14.0,,,29-32,,C. Bosh misses 2-pt shot from 17 ft
8:13.0,,,29-32,,Offensive rebound by G. Green
8:12.0,,,29-34,2,G. Green makes 2-pt shot at rim
8:04.0,D. Collison makes 2-pt shot from 4 ft,2,31-34,,
7:44.0,,,31-37,3,T. Johnson makes 3-pt shot from 24 ft (assist by J. McRoberts)
7:25.0,C. Butler misses 3-pt shot from 24 ft,,31-37,,
7:24.0,Offensive rebound by Q. Acy,,31-37,,
7:22.0,Shooting foul by J. McRoberts (drawn by O. Casspi),,31-37,,
7:22.0,O. Casspi misses free throw 1 of 2,,31-37,,
7:22.0,Offensive rebound by Team,,31-37,,
7:22.0,,,31-37,,D. Wade enters the game for J. Winslow
7:22.0,R. Gay enters the game for C. Butler,,31-37,,
7:22.0,O. Casspi misses free throw 2 of 2,,31-37,,
7:21.0,,,31-37,,Defensive rebound by C. Bosh
7:04.0,,,31-37,,D. Wade misses 2-pt shot from 20 ft
7:03.0,Defensive rebound by R. Gay,,31-37,,
6:50.0,M. Belinelli misses 3-pt shot from 24 ft,,31-37,,
6:49.0,,,31-37,,Defensive rebound by C. Bosh
6:39.0,,,31-39,2,C. Bosh makes 2-pt shot at rim (assist by D. Wade)
6:34.0,Sacramento full timeout,,31-39,,
6:17.0,Q. Acy misses 3-pt shot from 23 ft,,31-39,,
6:16.0,,,31-39,,Defensive rebound by D. Wade
6:13.0,,,31-39,,Shooting foul by M. Belinelli (drawn by D. Wade)
6:13.0,,,31-40,1,D. Wade makes free throw 1 of 2
6:13.0,B. McLemore enters the game for M. Belinelli,,31-40,,
6:13.0,,,31-40,,D. Wade misses free throw 2 of 2
6:12.0,,,31-40,,Offensive rebound by J. McRoberts
6:07.0,,,31-42,2,C. Bosh makes 2-pt shot at rim (assist by D. Wade)
5:50.0,O. Casspi makes 2-pt shot from 6 ft (assist by B. McLemore),2,33-42,,
5:39.0,W. Cauley-Stein enters the game for Q. Acy,,33-42,,
5:39.0,R. Rondo enters the game for D. Collison,,33-42,,
5:39.0,,,33-42,,G. Dragic enters the game for G. Green
5:34.0,,,33-42,,Shooting foul by W. Cauley-Stein (drawn by J. McRoberts)
5:34.0,,,33-42,,J. McRoberts misses free throw 1 of 2
5:34.0,,,33-42,,Offensive rebound by Team
5:34.0,,,33-42,,J. McRoberts misses free throw 2 of 2
5:33.0,Defensive rebound by R. Gay,,33-42,,
5:17.0,R. Gay misses 2-pt shot at rim,,33-42,,
5:16.0,Offensive rebound by W. Cauley-Stein,,33-42,,
5:15.0,W. Cauley-Stein makes 2-pt shot at rim,2,35-42,,
4:56.0,,,35-44,2,D. Wade makes 2-pt shot from 17 ft
4:47.0,O. Casspi misses 3-pt shot from 24 ft,,35-44,,
4:46.0,,,35-44,,Defensive rebound by C. Bosh
4:35.0,,,35-46,2,D. Wade makes 2-pt shot from 7 ft
4:33.0,,,35-46,,Personal foul by T. Johnson (drawn by R. Rondo)
4:33.0,,,35-46,,J. Winslow enters the game for C. Bosh
4:33.0,,,35-46,,H. Whiteside enters the game for T. Johnson
4:33.0,,,35-46,,L. Deng enters the game for J. McRoberts
4:18.0,R. Gay makes 2-pt shot from 6 ft,2,37-46,,
3:54.0,,,37-48,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
3:43.0,B. McLemore makes 2-pt shot at rim (assist by R. Rondo),2,39-48,,
3:43.0,,,39-48,,Miami full timeout
3:25.0,,,39-48,,D. Wade misses 2-pt shot from 17 ft
3:24.0,Defensive rebound by R. Rondo,,39-48,,
3:17.0,R. Rondo misses 2-pt shot from 1 ft,,39-48,,
3:14.0,Offensive rebound by W. Cauley-Stein,,39-48,,
3:14.0,W. Cauley-Stein misses 2-pt shot at rim,,39-48,,
3:12.0,,,39-48,,Defensive rebound by L. Deng
3:10.0,,,39-48,,D. Wade misses 2-pt shot from 1 ft
3:08.0,,,39-48,,Offensive rebound by J. Winslow
3:08.0,,,39-50,2,J. Winslow makes 2-pt shot at rim
3:03.0,W. Cauley-Stein makes 2-pt shot at rim (assist by B. McLemore),2,41-50,,
3:03.0,,,41-50,,Technical foul by D. Wade
3:03.0,B. McLemore misses technical free throw,,41-50,,
3:03.0,,,41-50,,Offensive rebound by Team
2:48.0,,,41-50,,J. Winslow misses 3-pt shot from 25 ft
2:47.0,Defensive rebound by W. Cauley-Stein,,41-50,,
2:31.0,Turnover by B. McLemore (lost ball; steal by D. Wade),,41-50,,
2:25.0,,,41-52,2,D. Wade makes 2-pt shot at rim
2:11.0,B. McLemore makes 3-pt shot from 24 ft (assist by R. Rondo),3,44-52,,
1:46.0,,,44-52,,L. Deng misses 2-pt shot from 18 ft
1:45.0,,,44-52,,Offensive rebound by Team
1:45.0,,,44-52,,C. Bosh enters the game for H. Whiteside
1:36.0,,,44-54,2,D. Wade makes 2-pt shot from 1 ft (assist by C. Bosh)
1:29.0,B. McLemore misses 2-pt shot from 5 ft (block by C. Bosh),,44-54,,
1:28.0,,,44-54,,Defensive rebound by C. Bosh
1:07.0,,,44-56,2,C. Bosh makes 2-pt shot from 2 ft (assist by L. Deng)
0:58.0,B. McLemore misses 2-pt shot from 1 ft (block by L. Deng),,44-56,,
0:58.0,,,44-56,,Defensive rebound by Team
0:58.0,Loose ball foul by R. Gay (drawn by J. Winslow),,44-56,,
0:58.0,Q. Acy enters the game for O. Casspi,,44-56,,
0:58.0,M. Belinelli enters the game for W. Cauley-Stein,,44-56,,
0:41.0,,,44-56,,G. Dragic misses 3-pt shot from 24 ft
0:40.0,Defensive rebound by R. Gay,,44-56,,
0:31.0,R. Rondo misses 2-pt shot from 20 ft,,44-56,,
0:30.0,,,44-56,,Defensive rebound by D. Wade
0:25.0,,,44-56,,Miami full timeout
0:09.0,,,44-56,,D. Wade misses 2-pt shot from 19 ft
0:08.0,Defensive rebound by R. Gay,,44-56,,
0:03.0,R. Gay misses 2-pt shot from 11 ft,,44-56,,
0:02.0,Offensive rebound by R. Gay,,44-56,,
0:00.0,R. Gay makes 2-pt shot at rim,2,46-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,K. Koufos misses 2-pt shot from 2 ft (block by H. Whiteside),,46-56,,
11:49.0,Offensive rebound by Team,,46-56,,
11:37.0,B. McLemore misses 2-pt shot from 2 ft (block by H. Whiteside),,46-56,,
11:36.0,,,46-56,,Defensive rebound by D. Wade
11:21.0,Personal foul by R. Gay (drawn by C. Bosh),,46-56,,
11:08.0,,,46-56,,D. Wade misses 3-pt shot from 23 ft
11:07.0,Defensive rebound by O. Casspi,,46-56,,
11:01.0,B. McLemore makes 2-pt shot from 1 ft (assist by R. Rondo),2,48-56,,
10:42.0,,,48-56,,C. Bosh misses 2-pt shot from 19 ft
10:41.0,Defensive rebound by K. Koufos,,48-56,,
10:29.0,Turnover by B. McLemore (bad pass; steal by L. Deng),,48-56,,
10:23.0,,,48-56,,G. Dragic misses 2-pt shot from 1 ft
10:22.0,Defensive rebound by R. Gay,,48-56,,
10:08.0,R. Rondo makes 2-pt shot from 17 ft,2,50-56,,
9:49.0,,,50-56,,L. Deng misses 3-pt shot from 22 ft
9:48.0,Defensive rebound by R. Gay,,50-56,,
9:45.0,O. Casspi makes 2-pt shot at rim (assist by R. Gay),2,52-56,,
9:45.0,,,52-56,,Miami full timeout
9:27.0,,,52-58,2,D. Wade makes 2-pt shot from 1 ft
9:11.0,R. Gay misses 2-pt shot from 19 ft,,52-58,,
9:07.0,Offensive rebound by Team,,52-58,,
9:01.0,B. McLemore makes 2-pt shot from 21 ft (assist by R. Rondo),2,54-58,,
8:41.0,,,54-58,,H. Whiteside misses 2-pt shot from 6 ft
8:40.0,Defensive rebound by O. Casspi,,54-58,,
8:33.0,K. Koufos misses 2-pt shot from 6 ft,,54-58,,
8:32.0,,,54-58,,Defensive rebound by H. Whiteside
8:26.0,,,54-60,2,G. Dragic makes 2-pt shot from 3 ft (assist by C. Bosh)
8:26.0,,,54-60,,Shooting foul by B. McLemore (drawn by G. Dragic)
8:26.0,,,54-60,,G. Dragic misses free throw 1 of 1
8:25.0,Defensive rebound by R. Gay,,54-60,,
8:10.0,O. Casspi makes 2-pt shot from 2 ft,2,56-60,,
7:49.0,,,56-60,,L. Deng misses 3-pt shot from 25 ft
7:48.0,Defensive rebound by K. Koufos,,56-60,,
7:41.0,B. McLemore makes 3-pt shot from 24 ft (assist by R. Rondo),3,59-60,,
7:16.0,,,59-62,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
7:11.0,R. Gay misses 2-pt shot at rim (block by H. Whiteside),,59-62,,
7:10.0,Offensive rebound by R. Gay,,59-62,,
7:09.0,R. Gay makes 2-pt shot from 2 ft,2,61-62,,
6:54.0,,,61-64,2,D. Wade makes 2-pt shot from 18 ft (assist by G. Dragic)
6:41.0,Turnover by B. McLemore (lost ball; steal by D. Wade),,61-64,,
6:39.0,Personal block foul by R. Rondo (drawn by G. Dragic),,61-64,,
6:39.0,,,61-64,,T. Johnson enters the game for G. Dragic
6:39.0,,,61-64,,J. Winslow enters the game for C. Bosh
6:33.0,,,61-66,2,D. Wade makes 2-pt shot from 19 ft (assist by T. Johnson)
6:13.0,Turnover by O. Casspi (bad pass),,61-66,,
6:03.0,,,61-66,,D. Wade misses 2-pt shot from 14 ft
6:02.0,,,61-66,,Offensive rebound by H. Whiteside
6:00.0,,,61-66,,H. Whiteside misses 2-pt shot from 1 ft (block by O. Casspi)
5:59.0,Defensive rebound by B. McLemore,,61-66,,
5:55.0,Turnover by B. McLemore (bad pass; steal by H. Whiteside),,61-66,,
5:35.0,,,61-68,2,T. Johnson makes 2-pt shot from 19 ft (assist by D. Wade)
5:24.0,K. Koufos misses 2-pt shot from 6 ft (block by H. Whiteside),,61-68,,
5:23.0,Offensive rebound by R. Rondo,,61-68,,
5:16.0,Turnover by R. Gay (lost ball; steal by J. Winslow),,61-68,,
5:16.0,Personal foul by O. Casspi (drawn by T. Johnson),,61-68,,
5:16.0,D. Collison enters the game for R. Gay,,61-68,,
5:16.0,W. Cauley-Stein enters the game for O. Casspi,,61-68,,
5:03.0,,,61-70,2,H. Whiteside makes 2-pt shot at rim (assist by J. Winslow)
5:02.0,Sacramento full timeout,,61-70,,
5:02.0,M. Belinelli enters the game for B. McLemore,,61-70,,
4:53.0,M. Belinelli misses 2-pt shot from 4 ft,,61-70,,
4:52.0,,,61-70,,Defensive rebound by H. Whiteside
4:41.0,,,61-72,2,D. Wade makes 2-pt shot from 11 ft
4:28.0,M. Belinelli makes 3-pt shot from 23 ft (assist by R. Rondo),3,64-72,,
4:09.0,,,64-72,,T. Johnson misses 2-pt shot from 21 ft
4:08.0,Defensive rebound by W. Cauley-Stein,,64-72,,
3:44.0,W. Cauley-Stein makes 2-pt shot from 7 ft (assist by R. Rondo),2,66-72,,
3:27.0,,,66-72,,D. Wade misses 2-pt shot from 17 ft
3:25.0,,,66-72,,Offensive rebound by H. Whiteside
3:23.0,,,66-74,2,H. Whiteside makes 2-pt shot at rim
3:08.0,Turnover by R. Rondo (bad pass; steal by H. Whiteside),,66-74,,
3:00.0,Personal foul by M. Belinelli (drawn by T. Johnson),,66-74,,
3:00.0,,,66-75,1,T. Johnson makes free throw 1 of 2
3:00.0,,,66-75,,G. Dragic enters the game for D. Wade
3:00.0,O. Casspi enters the game for K. Koufos,,66-75,,
3:00.0,,,66-76,1,T. Johnson makes free throw 2 of 2
3:00.0,,,66-76,,Technical foul by Team
3:00.0,M. Belinelli makes technical free throw,1,67-76,,
2:35.0,W. Cauley-Stein makes 2-pt shot from 7 ft (assist by R. Rondo),2,69-76,,
2:21.0,,,69-78,2,G. Dragic makes 2-pt shot from 12 ft
2:14.0,,,69-78,,Violation by H. Whiteside (def goaltending)
2:14.0,O. Casspi makes 2-pt shot from 3 ft (assist by R. Rondo),2,71-78,,
2:12.0,Personal take foul by W. Cauley-Stein (drawn by H. Whiteside),,71-78,,
2:12.0,,,71-79,1,H. Whiteside makes free throw 1 of 2
2:12.0,,,71-80,1,H. Whiteside makes free throw 2 of 2
2:03.0,R. Rondo makes 2-pt shot from 4 ft,2,73-80,,
1:41.0,,,73-80,,Shooting foul by W. Cauley-Stein (drawn by H. Whiteside)
1:41.0,,,73-81,1,H. Whiteside makes free throw 1 of 2
1:41.0,,,73-82,1,H. Whiteside makes free throw 2 of 2
1:30.0,W. Cauley-Stein makes 2-pt shot from 7 ft (assist by R. Rondo),2,75-82,,
1:12.0,,,75-82,,Turnover by J. Winslow (lost ball; steal by O. Casspi)
1:10.0,,,75-82,,Personal foul by L. Deng (drawn by O. Casspi)
1:10.0,,,75-82,,C. Bosh enters the game for L. Deng
1:00.0,M. Belinelli misses 3-pt shot from 24 ft,,75-82,,
0:58.0,,,75-82,,Defensive rebound by H. Whiteside
0:44.0,,,75-82,,J. Winslow misses 3-pt shot from 23 ft
0:43.0,,,75-82,,Offensive rebound by T. Johnson
0:33.0,,,75-82,,Turnover by J. Winslow (traveling)
0:28.0,Turnover by O. Casspi (traveling),,75-82,,
0:08.0,,,75-82,,J. Winslow misses 3-pt shot from 24 ft
0:07.0,Defensive rebound by Team,,75-82,,
0:07.0,,,75-82,,Loose ball foul by H. Whiteside (drawn by W. Cauley-Stein)
0:07.0,W. Cauley-Stein makes free throw 1 of 2,1,76-82,,
0:07.0,,,76-82,,G. Green enters the game for H. Whiteside
0:07.0,B. McLemore enters the game for R. Rondo,,76-82,,
0:07.0,W. Cauley-Stein misses free throw 2 of 2,,76-82,,
0:06.0,,,76-82,,Defensive rebound by G. Green
0:00.0,,,76-82,,G. Green misses 3-pt shot from 28 ft
0:00.0,,,76-82,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,76-84,2,C. Bosh makes 2-pt shot from 19 ft
11:28.0,,,76-84,,Personal foul by G. Dragic (drawn by D. Collison)
11:17.0,B. McLemore misses 2-pt shot from 6 ft,,76-84,,
11:16.0,,,76-84,,Defensive rebound by G. Green
11:10.0,,,76-84,,G. Green misses 2-pt shot from 19 ft
11:09.0,Defensive rebound by O. Casspi,,76-84,,
11:03.0,Shooting foul by J. McRoberts (drawn by O. Casspi),,76-84,,
11:03.0,O. Casspi misses free throw 1 of 2,,76-84,,
11:03.0,Offensive rebound by Team,,76-84,,
11:03.0,O. Casspi misses free throw 2 of 2,,76-84,,
11:02.0,,,76-84,,Defensive rebound by G. Green
10:47.0,,,76-87,3,C. Bosh makes 3-pt shot from 24 ft (assist by G. Dragic)
10:46.0,Sacramento full timeout,,76-87,,
10:46.0,K. Koufos enters the game for W. Cauley-Stein,,76-87,,
10:46.0,R. Rondo enters the game for M. Belinelli,,76-87,,
10:34.0,D. Collison misses 2-pt shot from 8 ft,,76-87,,
10:33.0,Offensive rebound by Team,,76-87,,
10:22.0,B. McLemore misses 3-pt shot from 25 ft,,76-87,,
10:21.0,,,76-87,,Defensive rebound by C. Bosh
10:04.0,,,76-87,,C. Bosh misses 2-pt shot from 17 ft
10:03.0,Defensive rebound by O. Casspi,,76-87,,
9:51.0,R. Rondo makes 2-pt shot from 7 ft,2,78-87,,
9:30.0,,,78-89,2,G. Dragic makes 2-pt shot from 4 ft
9:22.0,D. Collison makes 2-pt shot from 1 ft,2,80-89,,
9:22.0,Shooting foul by G. Dragic (drawn by D. Collison),,80-89,,
9:22.0,D. Collison makes free throw 1 of 1,1,81-89,,
9:10.0,,,81-92,3,G. Green makes 3-pt shot from 24 ft (assist by G. Dragic)
9:00.0,Turnover by O. Casspi (bad pass; steal by J. McRoberts),,81-92,,
8:49.0,,,81-95,3,G. Dragic makes 3-pt shot from 24 ft
8:34.0,R. Rondo misses 2-pt shot from 20 ft,,81-95,,
8:33.0,,,81-95,,Defensive rebound by C. Bosh
8:09.0,,,81-95,,G. Dragic misses 3-pt shot from 22 ft
8:08.0,Defensive rebound by R. Rondo,,81-95,,
8:01.0,,,81-95,,Personal foul by J. Winslow (drawn by R. Rondo)
8:01.0,,,81-95,,T. Johnson enters the game for G. Dragic
8:01.0,M. Belinelli enters the game for D. Collison,,81-95,,
7:54.0,Turnover by M. Belinelli (bad pass; steal by J. McRoberts),,81-95,,
7:50.0,,,81-97,2,J. Winslow makes 2-pt shot at rim (assist by J. McRoberts)
7:50.0,Sacramento full timeout,,81-97,,
7:28.0,O. Casspi misses 2-pt shot from 4 ft,,81-97,,
7:27.0,,,81-97,,Defensive rebound by T. Johnson
7:05.0,,,81-97,,J. Winslow misses 3-pt shot from 23 ft
7:05.0,Defensive rebound by R. Rondo,,81-97,,
7:00.0,R. Rondo makes 3-pt shot from 22 ft (assist by M. Belinelli),3,84-97,,
6:41.0,,,84-100,3,T. Johnson makes 3-pt shot from 24 ft (assist by C. Bosh)
6:32.0,B. McLemore makes 3-pt shot from 23 ft (assist by R. Rondo),3,87-100,,
6:13.0,,,87-100,,J. Winslow misses 2-pt shot from 2 ft
6:12.0,Defensive rebound by K. Koufos,,87-100,,
5:52.0,O. Casspi makes 3-pt shot from 24 ft (assist by R. Rondo),3,90-100,,
5:52.0,,,90-100,,Miami full timeout
5:52.0,,,90-100,,D. Wade enters the game for J. Winslow
5:52.0,W. Cauley-Stein enters the game for K. Koufos,,90-100,,
5:45.0,Personal foul by W. Cauley-Stein (drawn by C. Bosh),,90-100,,
5:39.0,,,90-100,,Turnover by T. Johnson (lost ball; steal by R. Rondo)
5:31.0,Turnover by O. Casspi (traveling),,90-100,,
5:16.0,,,90-100,,D. Wade misses 2-pt shot from 1 ft (block by W. Cauley-Stein)
5:15.0,Defensive rebound by R. Rondo,,90-100,,
5:13.0,Turnover by R. Rondo (discontinued dribble),,90-100,,
4:59.0,,,90-100,,Shooting foul by W. Cauley-Stein (drawn by C. Bosh)
4:59.0,,,90-101,1,C. Bosh makes free throw 1 of 2
4:59.0,,,90-102,1,C. Bosh makes free throw 2 of 2
4:51.0,,,90-102,,Personal foul by G. Green (drawn by M. Belinelli)
4:51.0,M. Belinelli misses free throw 1 of 2,,90-102,,
4:51.0,Offensive rebound by Team,,90-102,,
4:51.0,M. Belinelli makes free throw 2 of 2,1,91-102,,
4:36.0,,,91-102,,C. Bosh misses 2-pt shot from 18 ft
4:35.0,,,91-102,,Offensive rebound by J. McRoberts
4:34.0,,,91-102,,J. McRoberts misses 2-pt shot from 1 ft
4:33.0,,,91-102,,Offensive rebound by J. McRoberts
4:29.0,,,91-102,,Turnover by G. Green (step out of bounds)
