time,Memphis,pts.away,score,pts.home,Utah
2:00.0,J. Green misses 2-pt shot from 21 ft,,17-16,,
2:00.0,,,17-16,,Defensive rebound by G. Hayward
1:37.0,,,17-18,2,R. Gobert makes 2-pt shot from 1 ft (assist by A. Burks)
1:17.0,B. Udrih makes 2-pt shot from 2 ft,2,19-18,,
0:56.0,,,19-21,3,T. Burke makes 3-pt shot from 23 ft (assist by G. Hayward)
0:41.0,Turnover by J. Green (traveling),,19-21,,
0:41.0,,,19-21,,J. Ingles enters the game for G. Hayward
0:41.0,,,19-21,,T. Lyles enters the game for R. Gobert
0:34.0,,,19-21,,T. Burke misses 2-pt shot from 1 ft
0:33.0,,,19-21,,Offensive rebound by Team
0:33.0,Loose ball foul by J. Green (drawn by T. Lyles),,19-21,,
0:19.0,,,19-21,,T. Booker misses 3-pt shot from 23 ft
0:18.0,,,19-21,,Offensive rebound by A. Burks
0:00.0,,,19-21,,A. Burks misses 2-pt shot from 2 ft
0:00.0,Defensive rebound by M. Barnes,,19-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,19-21,,T. Burke misses 2-pt shot from 8 ft
11:45.0,Defensive rebound by Z. Randolph,,19-21,,
11:33.0,,,19-21,,Personal foul by A. Burks (drawn by M. Barnes)
11:33.0,,,19-21,,D. Favors enters the game for T. Lyles
11:24.0,Z. Randolph misses 2-pt shot from 13 ft,,19-21,,
11:22.0,,,19-21,,Defensive rebound by T. Burke
11:14.0,,,19-23,2,J. Ingles makes 2-pt shot from 2 ft
10:58.0,Turnover by B. Udrih (lost ball; steal by T. Burke),,19-23,,
10:53.0,,,19-25,2,T. Burke makes 2-pt shot from 1 ft
10:52.0,Memphis full timeout,,19-25,,
10:52.0,M. Gasol enters the game for B. Udrih,,19-25,,
10:52.0,M. Conley enters the game for J. Stokes,,19-25,,
10:34.0,M. Conley misses 2-pt shot from 14 ft,,19-25,,
10:33.0,,,19-25,,Defensive rebound by D. Favors
10:16.0,,,19-25,,Turnover by A. Burks (bad pass; steal by Z. Randolph)
10:14.0,,,19-25,,Personal foul by T. Booker (drawn by Z. Randolph)
10:03.0,M. Barnes misses 3-pt shot from 24 ft,,19-25,,
10:01.0,Offensive rebound by Team,,19-25,,
9:50.0,M. Conley makes 2-pt shot from 1 ft (assist by M. Gasol),2,21-25,,
9:26.0,,,21-27,2,D. Favors makes 2-pt shot from 1 ft
9:13.0,,,21-27,,Personal foul by A. Burks (drawn by J. Green)
9:13.0,T. Allen enters the game for M. Barnes,,21-27,,
9:13.0,,,21-27,,R. Gobert enters the game for T. Booker
9:13.0,,,21-27,,R. Hood enters the game for A. Burks
9:02.0,M. Gasol misses 2-pt shot from 18 ft,,21-27,,
9:01.0,,,21-27,,Defensive rebound by D. Favors
8:50.0,,,21-30,3,J. Ingles makes 3-pt shot from 24 ft (assist by R. Hood)
8:31.0,J. Green makes 2-pt shot from 21 ft,2,23-30,,
8:21.0,Personal foul by Z. Randolph (drawn by D. Favors),,23-30,,
8:09.0,,,23-30,,R. Gobert misses 2-pt shot from 2 ft
8:08.0,Defensive rebound by Z. Randolph,,23-30,,
8:07.0,Turnover by M. Conley (lost ball),,23-30,,
7:52.0,,,23-30,,T. Burke misses 3-pt shot from 24 ft
7:52.0,,,23-30,,Offensive rebound by Team
7:52.0,Loose ball foul by M. Gasol (drawn by R. Gobert),,23-30,,
7:45.0,,,23-30,,Turnover by R. Hood (bad pass; steal by T. Allen)
7:38.0,J. Green makes 2-pt shot at rim,2,25-30,,
7:21.0,,,25-30,,Turnover by R. Gobert (traveling)
7:11.0,,,25-30,,Personal foul by D. Favors (drawn by J. Green)
7:11.0,,,25-30,,G. Hayward enters the game for J. Ingles
7:02.0,J. Green makes 2-pt shot at rim,2,27-30,,
6:50.0,,,27-30,,R. Hood misses 3-pt shot from 23 ft
6:49.0,Defensive rebound by Z. Randolph,,27-30,,
6:40.0,Shooting foul by R. Hood (drawn by T. Allen),,27-30,,
6:40.0,T. Allen makes free throw 1 of 2,1,28-30,,
6:40.0,T. Allen misses free throw 2 of 2,,28-30,,
6:39.0,,,28-30,,Defensive rebound by R. Gobert
6:29.0,,,28-30,,Turnover by D. Favors (bad pass; steal by T. Allen)
6:23.0,T. Allen misses 2-pt shot from 1 ft,,28-30,,
6:23.0,,,28-30,,Defensive rebound by T. Burke
6:14.0,,,28-32,2,T. Burke makes 2-pt shot from 2 ft
5:56.0,M. Conley misses 3-pt shot from 24 ft,,28-32,,
5:56.0,,,28-32,,Defensive rebound by R. Gobert
5:50.0,,,28-32,,Utah full timeout
5:50.0,,,28-32,,A. Burks enters the game for T. Burke
5:34.0,,,28-32,,A. Burks misses 3-pt shot from 24 ft
5:34.0,,,28-32,,Offensive rebound by R. Gobert
5:26.0,,,28-32,,Turnover by A. Burks (step out of bounds)
5:13.0,Turnover by M. Gasol (lost ball; steal by A. Burks),,28-32,,
5:08.0,,,28-34,2,G. Hayward makes 2-pt shot at rim (assist by A. Burks)
4:45.0,Z. Randolph misses 2-pt shot from 4 ft,,28-34,,
4:43.0,,,28-34,,Defensive rebound by G. Hayward
4:38.0,,,28-36,2,A. Burks makes 2-pt shot from 2 ft (assist by G. Hayward)
4:24.0,M. Conley makes 2-pt shot from 2 ft,2,30-36,,
4:15.0,Personal foul by T. Allen (drawn by A. Burks),,30-36,,
4:15.0,Inbound foul by M. Conley,,30-36,,
4:15.0,C. Lee enters the game for M. Conley,,30-36,,
4:15.0,,,30-37,1,R. Hood makes free throw 1 of 2
4:15.0,,,30-38,1,R. Hood makes free throw 2 of 2
3:55.0,C. Lee misses 2-pt shot from 9 ft,,30-38,,
3:54.0,Offensive rebound by C. Lee,,30-38,,
3:53.0,C. Lee misses 2-pt shot from 5 ft,,30-38,,
3:52.0,,,30-38,,Defensive rebound by G. Hayward
3:43.0,Personal foul by T. Allen (drawn by D. Favors),,30-38,,
3:43.0,,,30-39,1,D. Favors makes free throw 1 of 2
3:43.0,,,30-40,1,D. Favors makes free throw 2 of 2
3:30.0,,,30-40,,Personal foul by R. Gobert (drawn by M. Gasol)
3:30.0,M. Gasol makes free throw 1 of 2,1,31-40,,
3:30.0,B. Udrih enters the game for T. Allen,,31-40,,
3:30.0,M. Gasol makes free throw 2 of 2,1,32-40,,
3:08.0,,,32-40,,R. Gobert misses 2-pt shot from 1 ft
3:07.0,Defensive rebound by Z. Randolph,,32-40,,
3:02.0,J. Green misses 3-pt shot from 24 ft,,32-40,,
3:01.0,,,32-40,,Defensive rebound by G. Hayward
2:52.0,,,32-43,3,A. Burks makes 3-pt shot from 24 ft
2:27.0,Shooting foul by R. Gobert (drawn by M. Gasol),,32-43,,
2:27.0,M. Gasol makes 2-pt shot from 5 ft,2,34-43,,
2:27.0,Memphis full timeout,,34-43,,
2:27.0,,,34-43,,Technical foul by R. Gobert (drawn by M. Gasol)
2:27.0,M. Conley enters the game for B. Udrih,,34-43,,
2:27.0,C. Lee makes technical free throw,1,35-43,,
2:27.0,M. Gasol makes free throw 1 of 1,1,36-43,,
2:06.0,,,36-45,2,R. Hood makes 2-pt shot from 7 ft
1:48.0,Turnover by M. Conley (bad pass; steal by D. Favors),,36-45,,
1:43.0,,,36-47,2,G. Hayward makes 2-pt shot at rim
1:24.0,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Gasol),2,38-47,,
1:08.0,,,38-49,2,G. Hayward makes 2-pt shot from 18 ft
0:50.0,M. Conley misses 2-pt shot from 2 ft,,38-49,,
0:49.0,Offensive rebound by Z. Randolph,,38-49,,
0:48.0,Z. Randolph misses 2-pt shot from 2 ft,,38-49,,
0:48.0,Offensive rebound by Team,,38-49,,
0:48.0,,,38-49,,T. Burke enters the game for A. Burks
0:48.0,,,38-49,,T. Booker enters the game for R. Gobert
0:45.0,Z. Randolph misses 2-pt shot from 1 ft,,38-49,,
0:43.0,,,38-49,,Defensive rebound by R. Hood
0:33.0,,,38-49,,Shooting foul by M. Conley (drawn by T. Burke)
0:33.0,,,38-50,1,T. Burke makes free throw 1 of 2
0:33.0,,,38-51,1,T. Burke makes free throw 2 of 2
0:26.0,M. Conley misses 2-pt shot from 8 ft,,38-51,,
0:25.0,,,38-51,,Defensive rebound by T. Booker
0:04.0,,,38-51,,Turnover by D. Favors (step out of bounds)
0:01.0,M. Conley misses 3-pt shot from 24 ft,,38-51,,
0:00.0,Offensive rebound by Team,,38-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,38-54,3,R. Hood makes 3-pt shot from 24 ft (assist by R. Neto)
11:19.0,Turnover by M. Gasol (bad pass),,38-54,,
11:05.0,,,38-56,2,R. Neto makes 2-pt shot from 1 ft (assist by R. Gobert)
10:55.0,Turnover by M. Conley (bad pass; steal by R. Gobert),,38-56,,
10:54.0,,,38-56,,Turnover by R. Gobert (bad pass)
10:42.0,C. Lee misses 3-pt shot from 24 ft,,38-56,,
10:41.0,,,38-56,,Defensive rebound by R. Gobert
10:26.0,,,38-56,,R. Gobert misses 2-pt shot from 1 ft
10:23.0,,,38-56,,Offensive rebound by D. Favors
10:23.0,,,38-56,,D. Favors misses 2-pt shot from 3 ft
10:22.0,Defensive rebound by C. Lee,,38-56,,
10:21.0,C. Lee misses 2-pt shot at rim (block by R. Hood),,38-56,,
10:21.0,Offensive rebound by Team,,38-56,,
10:10.0,M. Gasol misses 2-pt shot from 18 ft,,38-56,,
10:09.0,,,38-56,,Defensive rebound by G. Hayward
10:07.0,,,38-56,,Turnover by G. Hayward (bad pass)
9:56.0,,,38-56,,Personal foul by R. Gobert (drawn by M. Gasol)
9:45.0,M. Gasol misses 2-pt shot from 6 ft,,38-56,,
9:43.0,,,38-56,,Defensive rebound by R. Neto
9:34.0,,,38-56,,G. Hayward misses 2-pt shot from 2 ft
9:32.0,,,38-56,,Offensive rebound by R. Gobert
9:32.0,,,38-56,,R. Gobert misses 2-pt shot from 1 ft
9:29.0,Defensive rebound by Z. Randolph,,38-56,,
9:19.0,M. Conley misses 3-pt shot from 24 ft,,38-56,,
9:18.0,,,38-56,,Defensive rebound by D. Favors
9:03.0,B. Udrih enters the game for M. Conley,,38-56,,
8:58.0,,,38-56,,R. Neto misses 3-pt shot from 24 ft
8:58.0,Defensive rebound by Team,,38-56,,
8:37.0,M. Gasol makes 2-pt shot from 7 ft (assist by C. Lee),2,40-56,,
8:26.0,,,40-56,,G. Hayward misses 3-pt shot from 23 ft
8:25.0,Defensive rebound by T. Allen,,40-56,,
8:17.0,T. Allen makes 2-pt shot from 2 ft,2,42-56,,
8:09.0,Personal foul by T. Allen (drawn by G. Hayward),,42-56,,
8:02.0,,,42-58,2,G. Hayward makes 2-pt shot from 18 ft
7:44.0,B. Udrih misses 2-pt shot from 14 ft,,42-58,,
7:42.0,,,42-58,,Defensive rebound by R. Gobert
7:33.0,,,42-58,,Shooting foul by Z. Randolph (drawn by R. Gobert)
7:33.0,,,42-58,,R. Gobert misses free throw 1 of 2
7:33.0,,,42-58,,Offensive rebound by Team
7:33.0,,,42-59,1,R. Gobert makes free throw 2 of 2
7:23.0,Turnover by Z. Randolph (bad pass),,42-59,,
7:23.0,,,42-59,,T. Booker enters the game for R. Gobert
7:06.0,,,42-59,,R. Neto misses 3-pt shot from 22 ft
7:02.0,,,42-59,,Offensive rebound by T. Booker
7:02.0,,,42-59,,T. Booker misses 2-pt shot from 1 ft
7:01.0,Defensive rebound by M. Gasol,,42-59,,
6:53.0,Turnover by Z. Randolph (bad pass; steal by R. Hood),,42-59,,
6:49.0,,,42-61,2,R. Neto makes 2-pt shot from 1 ft
6:49.0,Memphis full timeout,,42-61,,
6:49.0,,,42-61,,T. Burke enters the game for R. Neto
6:49.0,M. Conley enters the game for B. Udrih,,42-61,,
6:28.0,C. Lee makes 3-pt shot from 23 ft (assist by Z. Randolph),3,45-61,,
6:06.0,,,45-63,2,D. Favors makes 2-pt shot from 10 ft
5:43.0,Z. Randolph makes 2-pt shot from 2 ft (assist by C. Lee),2,47-63,,
5:32.0,Personal foul by C. Lee (drawn by R. Hood),,47-63,,
5:25.0,,,47-65,2,D. Favors makes 2-pt shot at rim (assist by R. Hood)
5:11.0,M. Conley misses 3-pt shot from 24 ft,,47-65,,
5:11.0,Offensive rebound by Team,,47-65,,
5:11.0,,,47-65,,Loose ball foul by T. Booker (drawn by Z. Randolph)
5:11.0,,,47-65,,A. Burks enters the game for R. Hood
5:04.0,Turnover by T. Allen (bad pass; steal by D. Favors),,47-65,,
4:55.0,,,47-68,3,T. Burke makes 3-pt shot from 24 ft (assist by T. Booker)
4:30.0,C. Lee makes 2-pt shot from 16 ft,2,49-68,,
4:11.0,,,49-68,,T. Burke misses 2-pt shot from 2 ft
4:10.0,Defensive rebound by M. Gasol,,49-68,,
4:03.0,M. Conley misses 2-pt shot from 2 ft,,49-68,,
4:02.0,Offensive rebound by Z. Randolph,,49-68,,
4:00.0,Z. Randolph misses 2-pt shot from 2 ft,,49-68,,
3:59.0,,,49-68,,Defensive rebound by D. Favors
3:54.0,Personal foul by M. Conley (drawn by G. Hayward),,49-68,,
3:54.0,J. Green enters the game for Z. Randolph,,49-68,,
3:54.0,,,49-68,,R. Gobert enters the game for D. Favors
3:50.0,,,49-68,,Turnover by G. Hayward (bad pass; steal by T. Allen)
3:48.0,,,49-68,,Personal foul by T. Burke (drawn by T. Allen)
3:26.0,C. Lee misses 2-pt shot from 10 ft,,49-68,,
3:25.0,,,49-68,,Defensive rebound by R. Gobert
3:11.0,,,49-68,,A. Burks misses 3-pt shot from 22 ft
3:11.0,Defensive rebound by C. Lee,,49-68,,
3:05.0,Shooting foul by G. Hayward (drawn by J. Green),,49-68,,
3:05.0,J. Green makes free throw 1 of 2,1,50-68,,
3:05.0,J. Green enters the game for C. Lee,,50-68,,
3:05.0,,,50-68,,J. Ingles enters the game for G. Hayward
3:05.0,J. Green makes free throw 2 of 2,1,51-68,,
3:05.0,,,51-68,,Utah full timeout
2:58.0,,,51-68,,Turnover by A. Burks (bad pass; steal by J. Green)
2:45.0,M. Conley makes 3-pt shot from 24 ft (assist by J. Green),3,54-68,,
2:27.0,,,54-71,3,T. Burke makes 3-pt shot from 23 ft (assist by A. Burks)
2:11.0,M. Conley misses 2-pt shot from 17 ft,,54-71,,
2:10.0,,,54-71,,Defensive rebound by A. Burks
1:54.0,,,54-71,,J. Ingles misses 3-pt shot from 23 ft
1:53.0,Defensive rebound by M. Gasol,,54-71,,
1:42.0,J. Green misses 2-pt shot from 3 ft,,54-71,,
1:42.0,,,54-71,,Defensive rebound by Team
1:25.0,,,54-74,3,T. Burke makes 3-pt shot from 24 ft (assist by J. Ingles)
1:14.0,,,54-74,,Def 3 sec tech foul by J. Ingles
1:14.0,M. Conley makes technical free throw,1,55-74,,
1:01.0,J. Green misses 2-pt shot from 4 ft (block by R. Gobert),,55-74,,
1:00.0,Offensive rebound by T. Allen,,55-74,,
0:57.0,T. Allen misses 2-pt shot from 3 ft,,55-74,,
0:55.0,,,55-74,,Defensive rebound by R. Gobert
0:49.0,,,55-74,,J. Ingles misses 3-pt shot from 24 ft
0:48.0,Defensive rebound by M. Gasol,,55-74,,
0:40.0,T. Allen makes 2-pt shot from 5 ft,2,57-74,,
0:31.0,,,57-77,3,T. Burke makes 3-pt shot from 24 ft (assist by R. Gobert)
0:08.0,M. Conley misses 2-pt shot from 1 ft (block by R. Gobert),,57-77,,
0:07.0,,,57-77,,Defensive rebound by T. Booker
0:02.0,,,57-77,,T. Booker misses 2-pt shot from 2 ft
0:01.0,Defensive rebound by M. Gasol,,57-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,Z. Randolph misses 2-pt shot from 6 ft,,57-77,,
11:42.0,,,57-77,,Defensive rebound by D. Favors
11:39.0,,,57-77,,Offensive foul by T. Booker
11:39.0,,,57-77,,Turnover by T. Booker (offensive foul)
11:15.0,J. Green misses 2-pt shot from 18 ft,,57-77,,
11:14.0,,,57-77,,Defensive rebound by D. Favors
10:59.0,,,57-77,,T. Burke misses 3-pt shot from 23 ft
10:58.0,Defensive rebound by J. Green,,57-77,,
10:50.0,J. Green misses 2-pt shot from 3 ft (block by D. Favors),,57-77,,
10:49.0,Offensive rebound by J. Green,,57-77,,
10:46.0,J. Green makes 2-pt shot from 3 ft,2,59-77,,
10:26.0,,,59-77,,D. Favors misses 2-pt shot from 3 ft
10:26.0,,,59-77,,Offensive rebound by T. Booker
10:26.0,,,59-77,,T. Booker misses 2-pt shot from 1 ft
10:26.0,Defensive rebound by Team,,59-77,,
10:26.0,,,59-77,,Loose ball foul by T. Booker (drawn by J. Green)
10:11.0,Z. Randolph misses 2-pt shot from 4 ft,,59-77,,
10:09.0,Offensive rebound by J. Green,,59-77,,
10:05.0,J. Green misses 2-pt shot from 1 ft (block by T. Booker),,59-77,,
10:03.0,,,59-77,,Defensive rebound by D. Favors
9:54.0,,,59-80,3,J. Ingles makes 3-pt shot from 22 ft (assist by T. Booker)
9:36.0,J. Green misses 3-pt shot from 24 ft,,59-80,,
9:35.0,,,59-80,,Defensive rebound by D. Favors
9:35.0,Loose ball foul by M. Barnes (drawn by D. Favors),,59-80,,
9:35.0,Memphis full timeout,,59-80,,
9:21.0,,,59-80,,D. Favors misses 2-pt shot from 10 ft
9:21.0,Defensive rebound by M. Barnes,,59-80,,
9:02.0,J. Green misses 2-pt shot from 18 ft,,59-80,,
9:02.0,,,59-80,,Defensive rebound by D. Favors
8:59.0,,,59-80,,Turnover by D. Favors (bad pass; steal by M. Conley)
8:53.0,M. Barnes makes 3-pt shot from 24 ft (assist by M. Conley),3,62-80,,
8:32.0,,,62-80,,T. Burke misses 2-pt shot from 2 ft
8:32.0,Defensive rebound by J. Green,,62-80,,
8:14.0,M. Barnes makes 3-pt shot from 23 ft (assist by Z. Randolph),3,65-80,,
7:49.0,,,65-80,,T. Booker misses 2-pt shot from 21 ft
7:48.0,Defensive rebound by M. Conley,,65-80,,
7:38.0,M. Conley misses 2-pt shot from 2 ft,,65-80,,
7:38.0,,,65-80,,Defensive rebound by Team
7:38.0,,,65-80,,Utah full timeout
7:38.0,,,65-80,,R. Gobert enters the game for A. Burks
7:38.0,,,65-80,,G. Hayward enters the game for T. Booker
7:38.0,,,65-80,,R. Hood enters the game for J. Ingles
7:18.0,,,65-80,,D. Favors misses 2-pt shot from 6 ft
7:17.0,Defensive rebound by J. Green,,65-80,,
6:55.0,M. Barnes misses 3-pt shot from 23 ft,,65-80,,
6:54.0,,,65-80,,Defensive rebound by D. Favors
6:39.0,Personal foul by Z. Randolph (drawn by D. Favors),,65-80,,
6:39.0,M. Gasol enters the game for J. Green,,65-80,,
6:31.0,,,65-80,,Turnover by T. Burke (bad pass; steal by M. Barnes)
6:24.0,M. Conley misses 2-pt shot from 1 ft,,65-80,,
6:23.0,Offensive rebound by M. Barnes,,65-80,,
6:21.0,M. Barnes misses 2-pt shot from 2 ft (block by R. Hood),,65-80,,
6:19.0,Offensive rebound by M. Gasol,,65-80,,
6:13.0,,,65-80,,Personal foul by D. Favors (drawn by M. Conley)
6:13.0,,,65-80,,A. Burks enters the game for T. Burke
6:06.0,M. Conley misses 3-pt shot from 24 ft,,65-80,,
6:06.0,,,65-80,,Defensive rebound by R. Gobert
5:56.0,Personal foul by M. Barnes (drawn by G. Hayward),,65-80,,
5:56.0,,,65-80,,T. Booker enters the game for D. Favors
5:54.0,Personal foul by M. Barnes (drawn by R. Gobert),,65-80,,
5:51.0,,,65-80,,Offensive foul by R. Gobert
5:51.0,,,65-80,,Turnover by R. Gobert (offensive foul)
5:46.0,Offensive foul by M. Gasol,,65-80,,
5:46.0,Turnover by M. Gasol (offensive foul),,65-80,,
5:26.0,,,65-80,,A. Burks misses 2-pt shot from 22 ft
5:24.0,,,65-80,,Offensive rebound by T. Booker
5:24.0,,,65-80,,T. Booker misses 2-pt shot from 1 ft
5:23.0,Defensive rebound by M. Conley,,65-80,,
5:20.0,M. Barnes makes 2-pt shot from 2 ft (assist by M. Conley),2,67-80,,
5:20.0,Shooting foul by G. Hayward (drawn by M. Barnes),,67-80,,
5:20.0,M. Barnes makes free throw 1 of 1,1,68-80,,
5:07.0,,,68-80,,G. Hayward misses 2-pt shot from 14 ft
5:06.0,Defensive rebound by M. Conley,,68-80,,
5:03.0,Shooting foul by R. Hood (drawn by M. Barnes),,68-80,,
5:03.0,M. Barnes makes free throw 1 of 2,1,69-80,,
5:03.0,,,69-80,,T. Burke enters the game for A. Burks
5:03.0,,,69-80,,D. Favors enters the game for T. Booker
5:03.0,M. Barnes makes free throw 2 of 2,1,70-80,,
4:58.0,,,70-80,,Offensive foul by R. Hood
4:58.0,,,70-80,,Turnover by R. Hood (offensive foul)
4:37.0,M. Conley misses 3-pt shot from 24 ft,,70-80,,
4:36.0,,,70-80,,Defensive rebound by D. Favors
4:30.0,,,70-80,,Utah full timeout
4:22.0,,,70-80,,R. Gobert misses 2-pt shot from 1 ft (block by M. Gasol)
4:21.0,Defensive rebound by M. Gasol,,70-80,,
4:03.0,M. Gasol misses 2-pt shot at rim,,70-80,,
4:01.0,Offensive rebound by M. Gasol,,70-80,,
3:59.0,M. Gasol misses 2-pt shot at rim (block by R. Hood),,70-80,,
3:56.0,Offensive rebound by Z. Randolph,,70-80,,
3:54.0,Z. Randolph makes 2-pt shot from 1 ft,2,72-80,,
3:40.0,,,72-82,2,R. Gobert makes 2-pt shot at rim (assist by T. Burke)
3:14.0,M. Conley makes 2-pt shot from 2 ft (assist by M. Gasol),2,74-82,,
3:02.0,Jump ball: T. Burke vs. M. Conley (R. Hood gains possession),,,,Jump ball: T. Burke vs. M. Conley (R. Hood gains possession)
2:51.0,,,74-82,,R. Hood misses 2-pt shot from 11 ft
2:49.0,,,74-82,,Offensive rebound by D. Favors
2:48.0,,,74-84,2,D. Favors makes 2-pt shot at rim
2:26.0,Shooting foul by R. Gobert (drawn by M. Gasol),,74-84,,
2:26.0,Official timeout,,74-84,,
2:26.0,M. Gasol makes free throw 1 of 2,1,75-84,,
2:26.0,M. Gasol makes free throw 2 of 2,1,76-84,,
2:06.0,,,76-84,,T. Burke misses 2-pt shot from 18 ft
2:05.0,Defensive rebound by J. Green,,76-84,,
1:50.0,M. Conley makes 3-pt shot from 23 ft (assist by M. Gasol),3,79-84,,
1:34.0,Personal foul by M. Conley (drawn by G. Hayward),,79-84,,
1:34.0,,,79-85,1,G. Hayward makes free throw 1 of 2
1:34.0,,,79-85,,A. Burks enters the game for T. Burke
