time,Oklahoma City,pts.away,score,pts.home,Boston
11:28.0,D. Waiters enters the game for R. Foye,,35-31,,
11:28.0,,,35-32,1,K. Olynyk makes free throw 2 of 2
11:11.0,K. Durant makes 2-pt shot at rim (assist by E. Kanter),2,37-32,,
10:58.0,,,37-34,2,E. Turner makes 2-pt shot from 19 ft
10:35.0,Shooting foul by T. Zeller (drawn by E. Kanter),,37-34,,
10:35.0,E. Kanter makes free throw 1 of 2,1,38-34,,
10:35.0,E. Kanter makes free throw 2 of 2,1,39-34,,
10:21.0,,,39-34,,E. Turner misses 2-pt shot from 14 ft
10:21.0,Defensive rebound by E. Kanter,,39-34,,
10:06.0,K. Singler misses 3-pt shot from 23 ft,,39-34,,
10:06.0,,,39-34,,Defensive rebound by E. Turner
9:59.0,,,39-34,,M. Smart misses 3-pt shot from 23 ft
9:56.0,,,39-34,,Offensive rebound by M. Smart
9:52.0,,,39-34,,M. Smart misses 2-pt shot from 1 ft (block by C. Payne)
9:51.0,,,39-34,,Offensive rebound by J. Young
9:40.0,,,39-36,2,E. Turner makes 2-pt shot from 13 ft
9:28.0,E. Kanter makes 2-pt shot at rim (assist by C. Payne),2,41-36,,
9:28.0,Shooting foul by E. Turner (drawn by E. Kanter),,41-36,,
9:28.0,R. Foye enters the game for K. Singler,,41-36,,
9:28.0,E. Kanter makes free throw 1 of 1,1,42-36,,
9:15.0,,,42-36,,T. Zeller misses 2-pt shot from 1 ft
9:14.0,Defensive rebound by R. Foye,,42-36,,
9:07.0,Shooting foul by E. Turner (drawn by D. Waiters),,42-36,,
9:07.0,D. Waiters makes free throw 1 of 2,1,43-36,,
9:07.0,,,43-36,,J. Sullinger enters the game for T. Zeller
9:07.0,D. Waiters makes free throw 2 of 2,1,44-36,,
8:52.0,,,44-38,2,J. Sullinger makes 2-pt shot from 1 ft (assist by M. Smart)
8:35.0,E. Kanter makes 2-pt shot from 2 ft (assist by K. Durant),2,46-38,,
8:23.0,,,46-40,2,K. Olynyk makes 2-pt shot from 1 ft
7:56.0,D. Waiters makes 3-pt shot from 26 ft (assist by C. Payne),3,49-40,,
7:39.0,,,49-40,,E. Turner misses 2-pt shot from 5 ft
7:38.0,Defensive rebound by K. Durant,,49-40,,
7:30.0,D. Waiters misses 3-pt shot from 24 ft,,49-40,,
7:29.0,,,49-40,,Defensive rebound by K. Olynyk
7:20.0,,,49-40,,M. Smart misses 2-pt shot from 2 ft
7:20.0,Defensive rebound by E. Kanter,,49-40,,
7:00.0,R. Foye makes 3-pt shot from 23 ft (assist by K. Durant),3,52-40,,
6:59.0,,,52-40,,Boston full timeout
6:59.0,R. Westbrook enters the game for K. Durant,,52-40,,
6:59.0,S. Ibaka enters the game for E. Kanter,,52-40,,
6:59.0,S. Adams enters the game for C. Payne,,52-40,,
6:59.0,,,52-40,,I. Thomas enters the game for K. Olynyk
6:59.0,,,52-40,,A. Johnson enters the game for J. Young
6:46.0,,,52-42,2,J. Sullinger makes 2-pt shot from 20 ft (assist by I. Thomas)
6:30.0,S. Adams misses 2-pt shot from 3 ft,,52-42,,
6:29.0,,,52-42,,Defensive rebound by Team
6:16.0,,,52-44,2,I. Thomas makes 2-pt shot from 2 ft
5:54.0,Turnover by R. Foye (lost ball; steal by M. Smart),,52-44,,
5:46.0,,,52-44,,I. Thomas misses 2-pt shot from 2 ft
5:46.0,Defensive rebound by R. Foye,,52-44,,
5:42.0,,,52-44,,Shooting block foul by M. Smart (drawn by R. Westbrook)
5:42.0,Official timeout,,52-44,,
5:42.0,R. Westbrook makes free throw 1 of 2,1,53-44,,
5:42.0,R. Westbrook misses free throw 2 of 2,,53-44,,
5:42.0,Offensive rebound by S. Adams,,53-44,,
5:38.0,S. Adams makes 2-pt shot from 2 ft,2,55-44,,
5:15.0,,,55-44,,J. Sullinger misses 2-pt shot from 4 ft
5:14.0,Defensive rebound by S. Adams,,55-44,,
5:00.0,D. Waiters misses 2-pt shot from 1 ft,,55-44,,
4:59.0,Offensive rebound by D. Waiters,,55-44,,
4:55.0,R. Foye misses 3-pt shot from 25 ft,,55-44,,
4:55.0,,,55-44,,Defensive rebound by Team
4:55.0,Personal foul by S. Ibaka,,55-44,,
4:55.0,K. Durant enters the game for D. Waiters,,55-44,,
4:55.0,,,55-44,,A. Bradley enters the game for E. Turner
4:41.0,,,55-44,,M. Smart misses 3-pt shot from 24 ft
4:40.0,Defensive rebound by S. Adams,,55-44,,
4:34.0,R. Westbrook misses 2-pt shot from 18 ft,,55-44,,
4:33.0,,,55-44,,Defensive rebound by A. Johnson
4:20.0,,,55-44,,J. Sullinger misses 2-pt shot from 18 ft
4:19.0,Defensive rebound by R. Foye,,55-44,,
3:58.0,R. Westbrook makes 3-pt shot from 27 ft (assist by S. Adams),3,58-44,,
3:47.0,,,58-47,3,I. Thomas makes 3-pt shot from 23 ft (assist by A. Johnson)
3:20.0,R. Westbrook misses 2-pt shot from 2 ft,,58-47,,
3:19.0,,,58-47,,Defensive rebound by A. Johnson
3:09.0,,,58-47,,M. Smart misses 3-pt shot from 23 ft
3:08.0,,,58-47,,Offensive rebound by A. Johnson
3:04.0,,,58-49,2,A. Johnson makes 2-pt shot from 4 ft
2:40.0,K. Durant misses 2-pt shot from 17 ft,,58-49,,
2:39.0,,,58-49,,Defensive rebound by J. Sullinger
2:31.0,,,58-51,2,I. Thomas makes 2-pt shot from 2 ft
2:31.0,Oklahoma City full timeout,,58-51,,
2:31.0,,,58-51,,K. Olynyk enters the game for M. Smart
2:31.0,,,58-51,,E. Turner enters the game for J. Sullinger
2:31.0,D. Waiters enters the game for S. Ibaka,,58-51,,
2:11.0,K. Durant misses 2-pt shot from 12 ft,,58-51,,
2:10.0,,,58-51,,Defensive rebound by K. Olynyk
2:01.0,Personal foul by D. Waiters,,58-51,,
1:51.0,,,58-51,,I. Thomas misses 2-pt shot from 23 ft
1:51.0,Defensive rebound by K. Durant,,58-51,,
1:43.0,K. Durant makes 3-pt shot from 24 ft (assist by R. Westbrook),3,61-51,,
1:25.0,,,61-51,,Shooting foul by R. Foye (drawn by A. Bradley)
1:25.0,,,61-52,1,A. Bradley makes free throw 1 of 2
1:25.0,K. Singler enters the game for R. Foye,,61-52,,
1:25.0,,,61-53,1,A. Bradley makes free throw 2 of 2
1:07.0,K. Singler makes 2-pt shot from 6 ft (assist by K. Durant),2,63-53,,
0:54.0,,,63-53,,A. Bradley misses 3-pt shot from 25 ft
0:53.0,Defensive rebound by S. Adams,,63-53,,
0:49.0,Shooting foul by E. Turner (drawn by R. Westbrook),,63-53,,
0:49.0,R. Westbrook makes free throw 1 of 2,1,64-53,,
0:49.0,A. Roberson enters the game for K. Durant,,64-53,,
0:49.0,,,64-53,,J. Young enters the game for E. Turner
0:49.0,R. Westbrook makes free throw 2 of 2,1,65-53,,
0:33.0,,,65-53,,Turnover by I. Thomas (lost ball; steal by R. Westbrook)
0:11.0,K. Singler misses 2-pt shot from 8 ft,,65-53,,
0:10.0,,,65-53,,Defensive rebound by A. Johnson
0:06.0,,,65-55,2,A. Bradley makes 2-pt shot from 1 ft (assist by A. Johnson)
0:02.0,Shooting foul by K. Olynyk (drawn by S. Adams),,65-55,,
0:02.0,S. Adams misses free throw 1 of 2,,65-55,,
0:02.0,Offensive rebound by Team,,65-55,,
0:02.0,,,65-55,,J. Sullinger enters the game for K. Olynyk
0:02.0,,,65-55,,E. Turner enters the game for J. Young
0:02.0,S. Adams makes free throw 2 of 2,1,66-55,,
0:02.0,,,66-55,,Boston full timeout
0:02.0,,,66-55,,C. Clarke enters the game for A. Johnson
0:02.0,Oklahoma City full timeout,,66-55,,
0:02.0,S. Ibaka enters the game for K. Singler,,66-55,,
0:01.0,,,66-55,,Turnover by C. Clarke (lost ball; steal by R. Westbrook)
0:00.0,R. Westbrook misses 3-pt shot from 25 ft,,66-55,,
0:00.0,Offensive rebound by Team,,66-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,66-55,,J. Sullinger misses 2-pt shot from 4 ft
11:41.0,,,66-55,,Offensive rebound by A. Johnson
11:40.0,,,66-55,,A. Johnson misses 2-pt shot from 3 ft
11:39.0,,,66-55,,Offensive rebound by J. Sullinger
11:39.0,,,66-57,2,J. Sullinger makes 2-pt shot from 2 ft
11:17.0,S. Ibaka makes 2-pt shot from 19 ft (assist by K. Durant),2,68-57,,
10:52.0,,,68-57,,M. Smart misses 3-pt shot from 25 ft
10:51.0,Defensive rebound by S. Adams,,68-57,,
10:46.0,,,68-57,,Shooting block foul by M. Smart (drawn by R. Westbrook)
10:46.0,R. Westbrook misses free throw 1 of 2,,68-57,,
10:46.0,Offensive rebound by Team,,68-57,,
10:46.0,R. Westbrook misses free throw 2 of 2,,68-57,,
10:46.0,Offensive rebound by S. Adams,,68-57,,
10:45.0,,,68-57,,Personal foul by J. Sullinger
10:41.0,S. Ibaka makes 3-pt shot from 24 ft (assist by K. Durant),3,71-57,,
10:31.0,,,71-57,,A. Bradley misses 2-pt shot from 17 ft
10:30.0,Defensive rebound by S. Adams,,71-57,,
10:16.0,S. Ibaka misses 2-pt shot from 17 ft,,71-57,,
10:14.0,,,71-57,,Defensive rebound by M. Smart
10:05.0,,,71-57,,J. Sullinger misses 2-pt shot from 11 ft
10:03.0,Defensive rebound by A. Roberson,,71-57,,
9:59.0,K. Durant misses 3-pt shot from 25 ft,,71-57,,
9:57.0,,,71-57,,Defensive rebound by A. Johnson
9:49.0,,,71-57,,Turnover by M. Smart (lost ball; steal by R. Westbrook)
9:48.0,,,71-57,,Personal foul by J. Sullinger
9:37.0,S. Adams makes 2-pt shot from 1 ft (assist by K. Durant),2,73-57,,
9:19.0,,,73-57,,I. Thomas misses 2-pt shot from 12 ft
9:18.0,Defensive rebound by K. Durant,,73-57,,
9:15.0,Shooting foul by A. Johnson (drawn by S. Ibaka),,73-57,,
9:15.0,S. Ibaka makes free throw 1 of 2,1,74-57,,
9:15.0,S. Ibaka makes free throw 2 of 2,1,75-57,,
9:04.0,,,75-57,,Turnover by A. Johnson (bad pass)
8:55.0,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook),2,77-57,,
8:55.0,,,77-57,,Boston full timeout
8:45.0,,,77-57,,Turnover by J. Sullinger (traveling)
8:33.0,K. Durant misses 3-pt shot from 24 ft,,77-57,,
8:32.0,,,77-57,,Defensive rebound by Team
8:18.0,,,77-59,2,I. Thomas makes 2-pt shot from 8 ft
8:00.0,S. Ibaka misses 2-pt shot from 8 ft,,77-59,,
7:59.0,,,77-59,,Defensive rebound by J. Sullinger
7:50.0,,,77-59,,I. Thomas misses 2-pt shot from 1 ft
7:48.0,,,77-59,,Offensive rebound by A. Johnson
7:48.0,,,77-61,2,A. Johnson makes 2-pt shot from 2 ft
7:34.0,R. Westbrook misses 2-pt shot from 5 ft,,77-61,,
7:33.0,,,77-61,,Defensive rebound by A. Johnson
7:27.0,,,77-61,,M. Smart misses 2-pt shot from 2 ft (block by K. Durant)
7:25.0,Defensive rebound by A. Roberson,,77-61,,
7:23.0,R. Westbrook misses 3-pt shot from 23 ft,,77-61,,
7:22.0,,,77-61,,Defensive rebound by M. Smart
7:22.0,Personal foul by A. Roberson,,77-61,,
7:13.0,,,77-64,3,I. Thomas makes 3-pt shot from 25 ft (assist by A. Johnson)
7:13.0,Oklahoma City full timeout,,77-64,,
7:04.0,,,77-64,,Personal foul by M. Smart
7:04.0,K. Durant makes free throw 1 of 2,1,78-64,,
7:04.0,K. Durant makes free throw 2 of 2,1,79-64,,
6:53.0,,,79-64,,A. Bradley misses 2-pt shot from 18 ft
6:52.0,Defensive rebound by Team,,79-64,,
6:43.0,K. Durant misses 2-pt shot from 17 ft,,79-64,,
6:42.0,Offensive rebound by S. Ibaka,,79-64,,
6:40.0,S. Ibaka makes 2-pt shot at rim,2,81-64,,
6:15.0,,,81-66,2,J. Sullinger makes 2-pt shot from 2 ft
5:57.0,,,81-66,,Personal foul by A. Bradley
5:57.0,K. Durant makes free throw 1 of 2,1,82-66,,
5:57.0,,,82-66,,K. Olynyk enters the game for M. Smart
5:57.0,,,82-66,,E. Turner enters the game for J. Sullinger
5:57.0,E. Kanter enters the game for S. Adams,,82-66,,
5:57.0,K. Durant makes free throw 2 of 2,1,83-66,,
5:47.0,,,83-66,,Turnover by I. Thomas (lost ball; steal by S. Ibaka)
5:31.0,R. Westbrook misses 2-pt shot from 1 ft,,83-66,,
5:31.0,Offensive rebound by E. Kanter,,83-66,,
5:31.0,E. Kanter makes 2-pt shot at rim,2,85-66,,
5:22.0,,,85-66,,K. Olynyk misses 3-pt shot from 25 ft
5:22.0,Defensive rebound by E. Kanter,,85-66,,
5:15.0,S. Ibaka misses 2-pt shot from 2 ft,,85-66,,
5:14.0,Offensive rebound by R. Westbrook,,85-66,,
5:13.0,R. Westbrook misses 2-pt shot from 2 ft,,85-66,,
5:10.0,,,85-66,,Defensive rebound by I. Thomas
5:10.0,,,85-66,,Shooting foul by E. Kanter (drawn by I. Thomas)
5:10.0,,,85-67,1,I. Thomas makes free throw 1 of 2
5:10.0,K. Singler enters the game for K. Durant,,85-67,,
5:10.0,,,85-68,1,I. Thomas makes free throw 2 of 2
4:59.0,,,85-68,,Personal foul by A. Bradley
4:59.0,R. Westbrook makes free throw 1 of 2,1,86-68,,
4:59.0,R. Westbrook misses free throw 2 of 2,,86-68,,
4:59.0,Offensive rebound by E. Kanter,,86-68,,
4:57.0,E. Kanter misses 2-pt shot from 1 ft,,86-68,,
4:54.0,Offensive rebound by E. Kanter,,86-68,,
4:51.0,E. Kanter makes 2-pt shot from 2 ft,2,88-68,,
4:36.0,,,88-68,,T. Zeller enters the game for A. Johnson
4:25.0,,,88-70,2,A. Bradley makes 2-pt shot from 8 ft
4:25.0,,,88-70,,Shooting foul by A. Roberson (drawn by A. Bradley)
4:25.0,,,88-71,1,A. Bradley makes free throw 1 of 1
4:11.0,E. Kanter misses 3-pt shot from 23 ft,,88-71,,
4:10.0,Offensive rebound by A. Roberson,,88-71,,
4:09.0,A. Roberson makes 2-pt shot from 2 ft,2,90-71,,
3:59.0,,,90-71,,E. Turner misses 3-pt shot from 24 ft
3:58.0,Defensive rebound by R. Westbrook,,90-71,,
3:52.0,R. Westbrook makes 3-pt shot from 25 ft,3,93-71,,
3:41.0,,,93-71,,T. Zeller misses 2-pt shot from 18 ft
3:40.0,Defensive rebound by R. Westbrook,,93-71,,
3:32.0,S. Ibaka misses 3-pt shot from 25 ft,,93-71,,
3:32.0,Offensive rebound by E. Kanter,,93-71,,
3:29.0,E. Kanter makes 2-pt shot from 1 ft,2,95-71,,
3:29.0,,,95-71,,Boston full timeout
3:12.0,,,95-71,,K. Olynyk misses 2-pt shot from 21 ft
3:11.0,Defensive rebound by S. Ibaka,,95-71,,
3:00.0,R. Westbrook makes 3-pt shot from 25 ft,3,98-71,,
2:52.0,,,98-73,2,I. Thomas makes 2-pt shot from 1 ft
2:52.0,,,98-73,,Shooting foul by E. Kanter (drawn by I. Thomas)
2:52.0,K. Durant enters the game for R. Westbrook,,98-73,,
2:52.0,R. Foye enters the game for S. Ibaka,,98-73,,
2:52.0,,,98-73,,I. Thomas misses free throw 1 of 1
2:51.0,Defensive rebound by K. Durant,,98-73,,
2:41.0,E. Kanter misses 2-pt shot from 13 ft,,98-73,,
2:40.0,,,98-73,,Defensive rebound by Team
2:40.0,C. Payne enters the game for A. Roberson,,98-73,,
2:40.0,,,98-73,,J. Young enters the game for K. Olynyk
2:40.0,,,98-73,,T. Rozier enters the game for A. Bradley
2:29.0,,,98-73,,I. Thomas misses 2-pt shot from 1 ft
2:28.0,Defensive rebound by E. Kanter,,98-73,,
2:25.0,K. Durant makes 2-pt shot from 1 ft,2,100-73,,
2:25.0,Shooting foul by T. Rozier (drawn by K. Durant),,100-73,,
2:25.0,K. Durant makes free throw 1 of 1,1,101-73,,
2:13.0,,,101-73,,Shooting foul by C. Payne (drawn by T. Zeller)
2:13.0,,,101-74,1,T. Zeller makes free throw 1 of 2
2:13.0,,,101-75,1,T. Zeller makes free throw 2 of 2
1:57.0,Turnover by K. Durant (lost ball; steal by J. Young),,101-75,,
1:56.0,,,101-75,,Turnover by J. Young (bad pass)
1:33.0,K. Durant misses 2-pt shot from 21 ft,,101-75,,
1:32.0,Offensive rebound by E. Kanter,,101-75,,
1:12.0,K. Durant makes 2-pt shot from 1 ft (assist by C. Payne),2,103-75,,
0:58.0,,,103-75,,Shooting foul by R. Foye (drawn by I. Thomas)
0:58.0,,,103-76,1,I. Thomas makes free throw 1 of 2
0:58.0,,,103-77,1,I. Thomas makes free throw 2 of 2
0:49.0,Shooting foul by J. Young (drawn by C. Payne),,103-77,,
0:49.0,C. Payne makes free throw 1 of 2,1,104-77,,
0:49.0,C. Payne makes free throw 2 of 2,1,105-77,,
0:36.0,,,105-79,2,I. Thomas makes 2-pt shot from 1 ft (assist by T. Rozier)
0:19.0,R. Foye makes 3-pt shot from 24 ft (assist by K. Durant),3,108-79,,
0:01.0,,,108-81,2,T. Zeller makes 2-pt shot from 2 ft (assist by E. Turner)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,R. Foye misses 3-pt shot from 24 ft,,108-81,,
11:44.0,,,108-81,,Defensive rebound by T. Zeller
11:31.0,,,108-81,,E. Turner misses 2-pt shot from 7 ft
11:30.0,Defensive rebound by E. Kanter,,108-81,,
11:23.0,C. Payne makes 2-pt shot from 17 ft,2,110-81,,
11:08.0,,,110-81,,K. Olynyk misses 2-pt shot from 5 ft
11:07.0,Defensive rebound by K. Singler,,110-81,,
10:48.0,E. Kanter misses 2-pt shot from 12 ft,,110-81,,
10:47.0,,,110-81,,Defensive rebound by J. Young
10:42.0,Personal foul by C. Payne,,110-81,,
10:42.0,,,110-81,,R. Hunter enters the game for E. Turner
10:31.0,,,110-81,,Shooting foul by K. Durant (drawn by K. Olynyk)
10:31.0,,,110-82,1,K. Olynyk makes free throw 1 of 2
10:31.0,Technical foul by K. Durant,,110-82,,
10:31.0,,,110-83,1,K. Olynyk makes technical free throw
10:31.0,,,110-84,1,K. Olynyk makes free throw 2 of 2
10:20.0,C. Payne misses 2-pt shot from 11 ft,,110-84,,
10:19.0,,,110-84,,Defensive rebound by R. Hunter
10:13.0,,,110-84,,T. Zeller misses 2-pt shot from 2 ft
10:11.0,Defensive rebound by C. Payne,,110-84,,
10:08.0,Shooting foul by J. Young (drawn by R. Foye),,110-84,,
10:08.0,R. Foye makes free throw 1 of 2,1,111-84,,
10:08.0,R. Foye makes free throw 2 of 2,1,112-84,,
9:52.0,,,112-86,2,T. Zeller makes 2-pt shot from 1 ft
9:42.0,K. Durant makes 2-pt shot from 1 ft,2,114-86,,
9:31.0,,,114-86,,R. Hunter misses 3-pt shot from 23 ft
9:30.0,Defensive rebound by K. Singler,,114-86,,
9:23.0,K. Singler makes 2-pt shot from 2 ft (assist by K. Durant),2,116-86,,
9:01.0,,,116-88,2,T. Zeller makes 2-pt shot from 14 ft (assist by J. Young)
8:54.0,Offensive foul by K. Singler,,116-88,,
8:54.0,Turnover by K. Singler (offensive foul),,116-88,,
8:54.0,Official timeout,,116-88,,
8:54.0,,,116-88,,J. Mickey enters the game for K. Olynyk
8:54.0,D. Waiters enters the game for K. Durant,,116-88,,
8:42.0,,,116-88,,Turnover by J. Young (lost ball)
8:23.0,E. Kanter misses 2-pt shot from 3 ft,,116-88,,
8:23.0,,,116-88,,Defensive rebound by T. Zeller
8:16.0,,,116-90,2,J. Mickey makes 2-pt shot from 2 ft
8:16.0,,,116-90,,Shooting foul by R. Foye (drawn by J. Mickey)
8:16.0,,,116-91,1,J. Mickey makes free throw 1 of 1
