time,Cleveland,pts.away,score,pts.home,San Antonio
9:19.0,M. Dellavedova misses 2-pt shot from 9 ft,,75-80,,
9:18.0,,,75-80,,Defensive rebound by T. Duncan
9:11.0,,,75-83,3,P. Mills makes 3-pt shot from 25 ft
8:48.0,K. Love misses 2-pt shot from 18 ft,,75-83,,
8:46.0,,,75-83,,Defensive rebound by P. Mills
8:40.0,,,75-83,,M. Ginobili misses 3-pt shot from 24 ft
8:39.0,,,75-83,,Offensive rebound by K. Leonard
8:20.0,Personal foul by M. Dellavedova (drawn by P. Mills),,75-83,,
8:12.0,,,75-83,,Turnover by T. Duncan (lost ball)
7:52.0,L. James misses 3-pt shot from 25 ft,,75-83,,
7:50.0,,,75-83,,Defensive rebound by M. Ginobili
7:44.0,,,75-83,,M. Ginobili misses 3-pt shot from 25 ft
7:43.0,Defensive rebound by L. James,,75-83,,
7:34.0,L. James misses 2-pt shot from 19 ft,,75-83,,
7:33.0,,,75-83,,Defensive rebound by D. West
7:30.0,,,75-83,,San Antonio full timeout
7:30.0,J. Smith enters the game for I. Shumpert,,75-83,,
7:20.0,,,75-85,2,K. Leonard makes 2-pt shot at rim (assist by P. Mills)
7:03.0,Shooting foul by T. Duncan (drawn by L. James),,75-85,,
7:03.0,L. James makes free throw 1 of 2,1,76-85,,
7:03.0,L. James makes free throw 2 of 2,1,77-85,,
6:47.0,,,77-87,2,T. Duncan makes 2-pt shot from 7 ft (assist by P. Mills)
6:23.0,Turnover by M. Dellavedova (lost ball; steal by T. Duncan),,77-87,,
6:16.0,,,77-87,,T. Parker enters the game for P. Mills
6:16.0,,,77-87,,San Antonio full timeout
6:16.0,K. Irving enters the game for M. Dellavedova,,77-87,,
6:16.0,,,77-87,,L. Aldridge enters the game for D. West
6:10.0,,,77-87,,T. Duncan misses 2-pt shot from 15 ft
6:10.0,Defensive rebound by L. James,,77-87,,
5:56.0,K. Love misses 3-pt shot from 24 ft,,77-87,,
5:55.0,,,77-87,,Defensive rebound by K. Leonard
5:43.0,,,77-87,,Turnover by K. Leonard (bad pass; steal by K. Irving)
5:42.0,,,77-87,,D. Green enters the game for M. Ginobili
5:28.0,T. Thompson makes 2-pt shot from 5 ft (assist by L. James),2,79-87,,
5:11.0,,,79-87,,K. Leonard misses 2-pt shot from 14 ft
5:11.0,Defensive rebound by J. Smith,,79-87,,
4:53.0,K. Irving misses 3-pt shot from 24 ft,,79-87,,
4:52.0,,,79-87,,Defensive rebound by T. Parker
4:40.0,,,79-87,,D. Green misses 3-pt shot from 22 ft
4:37.0,,,79-87,,Offensive rebound by K. Leonard
4:36.0,,,79-89,2,K. Leonard makes 2-pt shot at rim
4:28.0,K. Irving misses 2-pt shot from 17 ft,,79-89,,
4:27.0,,,79-89,,Defensive rebound by T. Duncan
4:16.0,,,79-89,,Turnover by T. Parker (traveling)
4:02.0,L. James makes 2-pt shot from 1 ft,2,81-89,,
3:37.0,,,81-91,2,L. Aldridge makes 2-pt shot at rim (assist by T. Duncan)
3:23.0,K. Love makes 3-pt shot from 25 ft (assist by K. Irving),3,84-91,,
2:58.0,,,84-93,2,T. Parker makes 2-pt shot from 16 ft
2:57.0,Cleveland full timeout,,84-93,,
2:57.0,,,84-93,,M. Ginobili enters the game for D. Green
2:46.0,Offensive foul by K. Love,,84-93,,
2:46.0,Turnover by K. Love (offensive foul),,84-93,,
2:34.0,,,84-93,,M. Ginobili misses 2-pt shot at rim (block by J. Smith)
2:33.0,Defensive rebound by T. Thompson,,84-93,,
2:25.0,J. Smith makes 2-pt shot from 10 ft,2,86-93,,
2:07.0,,,86-93,,Turnover by L. Aldridge (lost ball; steal by T. Thompson)
1:50.0,T. Thompson misses 2-pt shot from 5 ft,,86-93,,
1:49.0,,,86-93,,Defensive rebound by L. Aldridge
1:25.0,,,86-93,,T. Duncan misses 3-pt shot from 26 ft
1:25.0,,,86-93,,Offensive rebound by Team
1:25.0,,,86-93,,Turnover by Team (shot clock)
1:16.0,K. Irving misses 2-pt shot from 1 ft,,86-93,,
1:16.0,Offensive rebound by T. Thompson,,86-93,,
1:11.0,T. Thompson makes 2-pt shot at rim,2,88-93,,
0:56.0,,,88-95,2,T. Duncan makes 2-pt shot from 13 ft
0:56.0,Cleveland full timeout,,88-95,,
0:48.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,90-95,,
0:28.0,,,90-97,2,M. Ginobili makes 2-pt shot from 2 ft (assist by T. Duncan)
0:23.0,,,90-97,,Personal foul by K. Leonard (drawn by L. James)
0:23.0,,,90-97,,D. Green enters the game for T. Duncan
0:18.0,K. Irving makes 3-pt shot from 25 ft,3,93-97,,
0:13.0,Personal take foul by L. James (drawn by T. Parker),,93-97,,
0:12.0,Personal take foul by K. Irving (drawn by T. Parker),,93-97,,
0:12.0,,,93-97,,T. Parker misses free throw 1 of 2
0:12.0,,,93-97,,Offensive rebound by Team
0:12.0,,,93-97,,T. Parker misses free throw 2 of 2
0:11.0,,,93-97,,Offensive rebound by L. Aldridge
0:10.0,Personal take foul by T. Thompson (drawn by L. Aldridge),,93-97,,
0:10.0,,,93-98,1,L. Aldridge makes free throw 1 of 2
0:10.0,,,93-98,,J. Simmons enters the game for D. Green
