time,Houston,pts.away,score,pts.home,New Orleans
1:35.0,T. Jones misses 2-pt shot from 2 ft,,34-29,,
1:34.0,Offensive rebound by C. Capela,,34-29,,
1:34.0,C. Capela makes 2-pt shot at rim,2,36-29,,
1:25.0,,,36-29,,Turnover by A. Davis (traveling)
1:12.0,,,36-29,,Personal foul by E. Gordon (drawn by T. Jones)
1:12.0,T. Jones makes free throw 1 of 2,1,37-29,,
1:12.0,,,37-29,,A. Gee enters the game for E. Gordon
1:12.0,,,37-29,,D. Cunningham enters the game for A. Davis
1:12.0,T. Jones makes free throw 2 of 2,1,38-29,,
1:01.0,,,38-31,2,J. Holiday makes 2-pt shot from 1 ft
0:52.0,T. Lawson makes 3-pt shot from 24 ft (assist by C. Capela),3,41-31,,
0:47.0,,,41-31,,Turnover by N. Cole (bad pass)
0:37.0,T. Lawson misses 3-pt shot from 26 ft,,41-31,,
0:36.0,,,41-31,,Defensive rebound by D. Cunningham
0:16.0,,,41-33,2,N. Cole makes 2-pt shot from 21 ft
0:00.0,J. Terry misses 2-pt shot from 18 ft,,41-33,,
0:00.0,Offensive rebound by Team,,41-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,,,41-33,,J. Holiday misses 2-pt shot from 12 ft
12:00.0,,,41-33,,Offensive rebound by Team
12:00.0,,,41-33,,K. Perkins enters the game for D. Cunningham
11:48.0,,,41-36,3,R. Anderson makes 3-pt shot from 24 ft (assist by A. Gee)
11:31.0,C. Brewer makes 2-pt shot from 2 ft,2,43-36,,
11:14.0,,,43-38,2,K. Perkins makes 2-pt shot at rim (assist by J. Holiday)
10:58.0,D. Motiejunas misses 3-pt shot from 25 ft,,43-38,,
10:57.0,Offensive rebound by C. Brewer,,43-38,,
10:51.0,D. Motiejunas makes 2-pt shot from 1 ft (assist by T. Lawson),2,45-38,,
10:39.0,,,45-38,,A. Gee misses 2-pt shot from 2 ft
10:38.0,Defensive rebound by D. Howard,,45-38,,
10:36.0,Turnover by C. Brewer (lost ball; steal by J. Holiday),,45-38,,
10:22.0,,,45-38,,A. Gee misses 3-pt shot from 23 ft
10:21.0,,,45-38,,Offensive rebound by R. Anderson
10:20.0,,,45-40,2,R. Anderson makes 2-pt shot from 2 ft
10:18.0,Houston full timeout,,45-40,,
10:04.0,C. Brewer misses 2-pt shot from 1 ft,,45-40,,
10:04.0,,,45-40,,Defensive rebound by R. Anderson
9:58.0,,,45-40,,N. Cole misses 2-pt shot from 17 ft
9:56.0,Defensive rebound by D. Howard,,45-40,,
9:44.0,J. Terry makes 3-pt shot from 24 ft (assist by T. Lawson),3,48-40,,
9:19.0,,,48-40,,N. Cole misses 3-pt shot from 25 ft
9:18.0,,,48-40,,Offensive rebound by R. Anderson
9:14.0,,,48-40,,Turnover by R. Anderson (bad pass)
9:14.0,,,48-40,,T. Evans enters the game for A. Gee
9:00.0,Turnover by D. Motiejunas (bad pass; steal by N. Cole),,48-40,,
9:00.0,Personal foul by T. Lawson (drawn by N. Cole),,48-40,,
8:45.0,,,48-40,,R. Anderson misses 2-pt shot from 17 ft
8:44.0,Defensive rebound by D. Howard,,48-40,,
8:27.0,T. Lawson makes 2-pt shot from 16 ft,2,50-40,,
8:17.0,Def 3 sec tech foul by D. Howard,,50-40,,
8:17.0,,,50-40,,R. Anderson misses technical free throw
8:17.0,,,50-40,,Offensive rebound by Team
8:03.0,,,50-40,,Shooting foul by D. Howard (drawn by T. Evans)
8:03.0,,,50-41,1,T. Evans makes free throw 1 of 2
8:03.0,,,50-41,,A. Davis enters the game for R. Anderson
8:03.0,,,50-42,1,T. Evans makes free throw 2 of 2
7:48.0,T. Lawson makes 2-pt shot from 17 ft,2,52-42,,
7:21.0,,,52-42,,A. Davis misses 2-pt shot from 3 ft
7:21.0,,,52-42,,Offensive rebound by K. Perkins
7:21.0,,,52-42,,Shooting foul by T. Lawson (drawn by K. Perkins)
7:21.0,,,52-42,,K. Perkins misses free throw 1 of 2
7:21.0,,,52-42,,Offensive rebound by Team
7:21.0,T. Ariza enters the game for T. Lawson,,52-42,,
7:21.0,J. Harden enters the game for C. Brewer,,52-42,,
7:21.0,P. Beverley enters the game for J. Terry,,52-42,,
7:21.0,,,52-42,,E. Gordon enters the game for N. Cole
7:21.0,,,52-42,,K. Perkins misses free throw 2 of 2
7:20.0,Defensive rebound by D. Howard,,52-42,,
6:56.0,P. Beverley misses 2-pt shot from 1 ft,,52-42,,
6:56.0,Offensive rebound by Team,,52-42,,
6:56.0,Turnover by Team (shot clock),,52-42,,
6:33.0,,,52-42,,T. Evans misses 2-pt shot from 2 ft (block by D. Howard)
6:33.0,,,52-42,,Offensive rebound by Team
6:33.0,,,52-42,,New Orleans full timeout
6:29.0,,,52-42,,T. Evans misses 2-pt shot from 21 ft
6:29.0,,,52-42,,Offensive rebound by E. Gordon
6:24.0,,,52-45,3,E. Gordon makes 3-pt shot from 22 ft (assist by A. Davis)
6:06.0,D. Motiejunas makes 2-pt shot from 8 ft,2,54-45,,
5:44.0,,,54-47,2,A. Davis makes 2-pt shot from 1 ft
5:23.0,D. Howard misses 2-pt shot from 1 ft,,54-47,,
5:23.0,Offensive rebound by D. Howard,,54-47,,
5:23.0,D. Howard makes 2-pt shot from 1 ft,2,56-47,,
5:23.0,Shooting foul by T. Evans (drawn by D. Howard),,56-47,,
5:23.0,Official timeout,,56-47,,
5:23.0,,,56-47,,O. Asik enters the game for K. Perkins
5:23.0,,,56-47,,A. Gee enters the game for J. Holiday
5:23.0,T. Jones enters the game for D. Motiejunas,,56-47,,
5:23.0,D. Howard makes free throw 1 of 1,1,57-47,,
5:12.0,,,57-47,,Turnover by T. Evans (bad pass)
5:12.0,C. Capela enters the game for D. Howard,,57-47,,
4:47.0,P. Beverley makes 2-pt shot from 2 ft,2,59-47,,
4:44.0,,,59-47,,New Orleans full timeout
4:44.0,,,59-47,,R. Anderson enters the game for O. Asik
4:25.0,,,59-49,2,R. Anderson makes 2-pt shot from 2 ft (assist by E. Gordon)
4:15.0,Offensive foul by J. Harden,,59-49,,
4:15.0,Turnover by J. Harden (offensive foul),,59-49,,
4:05.0,,,59-49,,Offensive foul by A. Davis
4:05.0,,,59-49,,Turnover by A. Davis (offensive foul)
4:05.0,J. Terry enters the game for J. Harden,,59-49,,
3:41.0,T. Jones misses 2-pt shot from 7 ft,,59-49,,
3:40.0,,,59-49,,Defensive rebound by R. Anderson
3:26.0,,,59-49,,A. Davis misses 2-pt shot from 2 ft
3:25.0,Defensive rebound by T. Ariza,,59-49,,
3:01.0,T. Ariza makes 2-pt shot from 1 ft (assist by C. Capela),2,61-49,,
2:47.0,,,61-51,2,E. Gordon makes 2-pt shot from 21 ft
2:30.0,Shooting foul by R. Anderson (drawn by T. Jones),,61-51,,
2:30.0,T. Jones misses free throw 1 of 2,,61-51,,
2:30.0,Offensive rebound by Team,,61-51,,
2:30.0,T. Lawson enters the game for P. Beverley,,61-51,,
2:30.0,,,61-51,,Violation by A. Davis (lane)
2:30.0,T. Jones makes free throw 2 of 2,1,62-51,,
2:19.0,,,62-53,2,A. Gee makes 2-pt shot from 1 ft (assist by T. Evans)
2:05.0,T. Jones misses 2-pt shot from 1 ft,,62-53,,
2:05.0,,,62-53,,Defensive rebound by A. Davis
1:56.0,,,62-56,3,R. Anderson makes 3-pt shot from 25 ft (assist by T. Evans)
1:39.0,T. Jones misses 2-pt shot from 6 ft,,62-56,,
1:38.0,,,62-56,,Defensive rebound by A. Davis
1:30.0,,,62-56,,R. Anderson misses 3-pt shot from 22 ft
1:28.0,Defensive rebound by T. Jones,,62-56,,
1:24.0,Offensive charge foul by T. Jones,,62-56,,
1:24.0,Turnover by T. Jones (offensive foul),,62-56,,
1:24.0,D. Howard enters the game for T. Jones,,62-56,,
1:16.0,,,62-56,,T. Evans misses 2-pt shot from 1 ft
1:15.0,,,62-56,,Offensive rebound by A. Davis
1:15.0,,,62-58,2,A. Davis makes 2-pt shot at rim
0:55.0,T. Lawson misses 2-pt shot from 1 ft,,62-58,,
0:55.0,,,62-58,,Defensive rebound by A. Davis
0:32.0,,,62-60,2,R. Anderson makes 2-pt shot at rim (assist by T. Evans)
0:12.0,Turnover by T. Lawson (bad pass),,62-60,,
0:12.0,P. Beverley enters the game for J. Terry,,62-60,,
0:12.0,C. Brewer enters the game for T. Lawson,,62-60,,
0:12.0,,,62-60,,J. Holiday enters the game for A. Gee
0:00.0,,,62-63,3,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,62-63,,A. Gee misses 2-pt shot from 16 ft
11:36.0,Defensive rebound by J. Harden,,62-63,,
11:16.0,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden),3,65-63,,
10:51.0,,,65-63,,A. Davis misses 2-pt shot from 16 ft
10:51.0,Defensive rebound by D. Howard,,65-63,,
10:40.0,J. Harden misses 3-pt shot from 26 ft,,65-63,,
10:40.0,Offensive rebound by Team,,65-63,,
10:40.0,,,65-63,,Loose ball foul by O. Asik (drawn by D. Howard)
10:29.0,J. Harden misses 2-pt shot from 1 ft (block by O. Asik),,65-63,,
10:29.0,Offensive rebound by Team,,65-63,,
10:15.0,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden),3,68-63,,
10:02.0,,,68-63,,T. Evans misses 2-pt shot from 2 ft (block by C. Capela)
10:00.0,Defensive rebound by C. Capela,,68-63,,
9:54.0,T. Ariza makes 3-pt shot from 22 ft (assist by P. Beverley),3,71-63,,
9:48.0,,,71-63,,New Orleans full timeout
9:38.0,,,71-65,2,A. Davis makes 2-pt shot from 18 ft (assist by E. Gordon)
9:12.0,P. Beverley makes 3-pt shot from 26 ft,3,74-65,,
8:46.0,,,74-67,2,O. Asik makes 2-pt shot from 1 ft (assist by T. Evans)
8:33.0,P. Beverley misses 3-pt shot from 23 ft,,74-67,,
8:33.0,,,74-67,,Defensive rebound by O. Asik
8:23.0,,,74-67,,A. Davis misses 2-pt shot from 16 ft
8:23.0,Defensive rebound by J. Harden,,74-67,,
8:02.0,C. Capela misses 2-pt shot from 3 ft (block by A. Davis),,74-67,,
8:01.0,,,74-67,,Defensive rebound by A. Davis
8:01.0,Loose ball foul by C. Capela (drawn by A. Davis),,74-67,,
7:50.0,,,74-67,,A. Davis misses 3-pt shot from 23 ft
7:49.0,Defensive rebound by D. Howard,,74-67,,
7:38.0,P. Beverley misses 3-pt shot from 24 ft,,74-67,,
7:37.0,,,74-67,,Defensive rebound by E. Gordon
7:27.0,,,74-67,,Shooting foul by D. Howard (drawn by O. Asik)
7:27.0,,,74-68,1,O. Asik makes free throw 1 of 2
7:27.0,,,74-68,,J. Holiday enters the game for A. Gee
7:27.0,,,74-69,1,O. Asik makes free throw 2 of 2
7:15.0,Turnover by P. Beverley (traveling),,74-69,,
7:03.0,,,74-69,,T. Evans misses 2-pt shot from 1 ft
7:03.0,Defensive rebound by C. Capela,,74-69,,
6:42.0,J. Harden makes 2-pt shot from 16 ft,2,76-69,,
6:33.0,Def 3 sec tech foul by D. Howard,,76-69,,
6:33.0,,,76-70,1,A. Davis makes technical free throw
6:25.0,,,76-73,3,J. Holiday makes 3-pt shot from 24 ft (assist by T. Evans)
6:25.0,,,76-73,,Violation by Team (delay of game)
6:18.0,,,76-73,,Personal foul by E. Gordon (drawn by T. Ariza)
6:14.0,J. Harden misses 2-pt shot from 12 ft,,76-73,,
6:13.0,,,76-73,,Defensive rebound by A. Davis
6:04.0,,,76-76,3,A. Davis makes 3-pt shot from 23 ft (assist by T. Evans)
5:41.0,C. Capela misses 2-pt shot from 5 ft,,76-76,,
5:40.0,,,76-76,,Defensive rebound by A. Davis
5:21.0,,,76-78,2,T. Evans makes 2-pt shot from 1 ft
5:18.0,Houston full timeout,,76-78,,
5:18.0,T. Lawson enters the game for C. Capela,,76-78,,
5:18.0,T. Jones enters the game for P. Beverley,,76-78,,
5:09.0,T. Ariza misses 3-pt shot from 26 ft,,76-78,,
5:08.0,,,76-78,,Defensive rebound by J. Holiday
4:48.0,,,76-80,2,E. Gordon makes 2-pt shot from 20 ft (assist by T. Evans)
4:32.0,Turnover by D. Howard (bad pass; steal by T. Evans),,76-80,,
4:25.0,,,76-80,,Turnover by T. Evans (bad pass; steal by T. Lawson)
4:19.0,J. Harden makes 2-pt shot at rim (assist by T. Lawson),2,78-80,,
4:09.0,,,78-80,,J. Holiday misses 3-pt shot from 23 ft
4:08.0,Defensive rebound by T. Lawson,,78-80,,
3:54.0,T. Lawson misses 2-pt shot from 21 ft,,78-80,,
3:53.0,,,78-80,,Defensive rebound by A. Davis
3:43.0,,,78-80,,E. Gordon misses 3-pt shot from 24 ft
3:43.0,Defensive rebound by Team,,78-80,,
3:43.0,C. Capela enters the game for D. Howard,,78-80,,
3:31.0,J. Harden makes 3-pt shot from 24 ft (assist by T. Jones),3,81-80,,
3:06.0,,,81-82,2,T. Evans makes 2-pt shot at rim
3:00.0,J. Harden misses 3-pt shot from 25 ft,,81-82,,
2:58.0,Offensive rebound by T. Jones,,81-82,,
2:47.0,J. Harden misses 2-pt shot from 13 ft,,81-82,,
2:47.0,,,81-82,,Defensive rebound by O. Asik
2:28.0,,,81-84,2,O. Asik makes 2-pt shot at rim (assist by J. Holiday)
2:15.0,J. Harden misses 3-pt shot from 25 ft,,81-84,,
2:14.0,Offensive rebound by C. Capela,,81-84,,
2:13.0,,,81-84,,R. Anderson enters the game for O. Asik
2:13.0,M. Thornton enters the game for J. Harden,,81-84,,
2:03.0,M. Thornton makes 2-pt shot from 20 ft (assist by T. Ariza),2,83-84,,
1:45.0,,,83-84,,Turnover by E. Gordon (bad pass)
1:31.0,T. Ariza makes 2-pt shot from 16 ft,2,85-84,,
1:25.0,,,85-84,,Turnover by J. Holiday (bad pass; steal by T. Lawson)
1:19.0,T. Jones makes 2-pt shot from 1 ft (assist by C. Capela),2,87-84,,
0:55.0,,,87-84,,A. Davis misses 2-pt shot from 12 ft
0:50.0,Defensive rebound by Team,,87-84,,
0:50.0,,,87-84,,N. Cole enters the game for T. Evans
0:50.0,,,87-84,,D. Cunningham enters the game for A. Davis
0:43.0,Shooting foul by J. Holiday (drawn by M. Thornton),,87-84,,
0:43.0,M. Thornton makes free throw 1 of 2,1,88-84,,
0:43.0,M. Thornton makes free throw 2 of 2,1,89-84,,
0:28.0,,,89-84,,Turnover by R. Anderson (lost ball; steal by C. Capela)
0:09.0,M. Thornton misses 3-pt shot from 24 ft,,89-84,,
0:08.0,Offensive rebound by T. Jones,,89-84,,
0:04.0,T. Jones makes 2-pt shot from 1 ft,2,91-84,,
0:00.0,,,91-84,,N. Cole misses 2-pt shot from 18 ft (block by C. Capela)
0:00.0,,,91-84,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,M. Thornton makes 2-pt shot from 8 ft (assist by T. Lawson),2,93-84,,
11:25.0,,,93-86,2,R. Anderson makes 2-pt shot from 18 ft (assist by T. Evans)
11:01.0,T. Jones misses 2-pt shot from 1 ft (block by R. Anderson),,93-86,,
11:00.0,,,93-86,,Defensive rebound by D. Cunningham
10:55.0,,,93-89,3,E. Gordon makes 3-pt shot from 22 ft (assist by T. Evans)
10:28.0,C. Capela misses 2-pt shot from 5 ft,,93-89,,
10:27.0,,,93-89,,Defensive rebound by D. Cunningham
10:17.0,,,93-89,,R. Anderson misses 3-pt shot from 25 ft
10:17.0,Defensive rebound by M. Thornton,,93-89,,
10:08.0,M. Thornton makes 3-pt shot from 24 ft,3,96-89,,
9:53.0,,,96-92,3,T. Evans makes 3-pt shot from 24 ft
9:37.0,T. Jones makes 2-pt shot at rim (assist by T. Lawson),2,98-92,,
9:24.0,,,98-92,,Shooting foul by C. Capela (drawn by R. Anderson)
9:24.0,,,98-93,1,R. Anderson makes free throw 1 of 2
9:24.0,D. Howard enters the game for C. Capela,,98-93,,
9:24.0,,,98-93,,O. Asik enters the game for D. Cunningham
9:24.0,,,98-94,1,R. Anderson makes free throw 2 of 2
9:11.0,Shooting foul by R. Anderson (drawn by J. Harden),,98-94,,
9:11.0,J. Harden makes free throw 1 of 2,1,99-94,,
9:11.0,J. Harden makes free throw 2 of 2,1,100-94,,
8:59.0,,,100-94,,T. Evans misses 2-pt shot from 2 ft
8:58.0,Defensive rebound by T. Jones,,100-94,,
8:53.0,M. Thornton misses 3-pt shot from 24 ft,,100-94,,
8:51.0,,,100-94,,Defensive rebound by O. Asik
8:42.0,,,100-94,,E. Gordon misses 3-pt shot from 24 ft
8:42.0,Defensive rebound by J. Harden,,100-94,,
8:30.0,T. Jones misses 2-pt shot from 2 ft (block by O. Asik),,100-94,,
8:29.0,,,100-94,,Defensive rebound by T. Evans
8:22.0,,,100-94,,N. Cole misses 2-pt shot from 18 ft
8:21.0,Defensive rebound by T. Jones,,100-94,,
7:59.0,J. Harden makes 3-pt shot from 24 ft,3,103-94,,
7:48.0,,,103-94,,New Orleans full timeout
7:48.0,T. Ariza enters the game for T. Jones,,103-94,,
7:48.0,,,103-94,,J. Holiday enters the game for E. Gordon
7:48.0,,,103-94,,A. Davis enters the game for R. Anderson
7:39.0,,,103-94,,Shooting foul by M. Thornton (drawn by J. Holiday)
7:39.0,,,103-95,1,J. Holiday makes free throw 1 of 2
7:39.0,,,103-96,1,J. Holiday makes free throw 2 of 2
7:18.0,T. Ariza misses 2-pt shot from 21 ft,,103-96,,
7:17.0,Offensive rebound by M. Thornton,,103-96,,
7:01.0,J. Harden misses 3-pt shot from 24 ft,,103-96,,
7:00.0,,,103-96,,Defensive rebound by T. Evans
6:42.0,,,103-96,,O. Asik misses 2-pt shot from 1 ft
6:41.0,,,103-96,,Offensive rebound by O. Asik
6:34.0,,,103-96,,T. Evans misses 2-pt shot from 2 ft
6:32.0,Defensive rebound by M. Thornton,,103-96,,
6:25.0,Jump ball: J. Harden vs. J. Holiday (M. Thornton gains possession),,,,Jump ball: J. Harden vs. J. Holiday (M. Thornton gains possession)
6:11.0,T. Ariza misses 3-pt shot from 23 ft,,103-96,,
6:10.0,,,103-96,,Defensive rebound by O. Asik
5:59.0,,,103-99,3,N. Cole makes 3-pt shot from 23 ft (assist by J. Holiday)
5:40.0,T. Lawson misses 2-pt shot from 2 ft (block by A. Davis),,103-99,,
5:39.0,,,103-99,,Defensive rebound by N. Cole
5:33.0,,,103-99,,Shooting foul by D. Howard (drawn by T. Evans)
5:33.0,Official timeout,,103-99,,
5:33.0,C. Capela enters the game for D. Howard,,103-99,,
5:33.0,,,103-100,1,T. Evans makes free throw 1 of 2
5:33.0,,,103-101,1,T. Evans makes free throw 2 of 2
5:20.0,T. Ariza misses 3-pt shot from 24 ft,,103-101,,
5:20.0,,,103-101,,Defensive rebound by O. Asik
5:16.0,Personal foul by T. Ariza (drawn by A. Davis),,103-101,,
5:16.0,,,103-101,,E. Gordon enters the game for T. Evans
4:59.0,,,103-101,,J. Holiday misses 2-pt shot from 1 ft
4:58.0,,,103-101,,Offensive rebound by O. Asik
4:58.0,,,103-101,,O. Asik misses 2-pt shot at rim
4:57.0,Defensive rebound by J. Harden,,103-101,,
4:32.0,T. Lawson misses 3-pt shot from 24 ft,,103-101,,
4:32.0,,,103-101,,Defensive rebound by A. Davis
4:12.0,,,103-101,,Shooting foul by J. Harden (drawn by O. Asik)
4:12.0,,,103-102,1,O. Asik makes free throw 1 of 2
4:12.0,,,103-103,1,O. Asik makes free throw 2 of 2
4:12.0,,,103-103,,Personal take foul by N. Cole (drawn by T. Lawson)
4:12.0,,,103-103,,R. Anderson enters the game for O. Asik
4:04.0,Shooting foul by A. Davis (drawn by J. Harden),,103-103,,
4:04.0,J. Harden makes free throw 1 of 2,1,104-103,,
4:04.0,,,104-103,,T. Evans enters the game for N. Cole
4:04.0,J. Harden makes free throw 2 of 2,1,105-103,,
3:48.0,,,105-105,2,E. Gordon makes 2-pt shot from 1 ft (assist by T. Evans)
3:28.0,Turnover by T. Ariza (bad pass; steal by E. Gordon),,105-105,,
3:21.0,,,105-105,,Shooting foul by C. Capela (drawn by A. Davis)
3:21.0,,,105-106,1,A. Davis makes free throw 1 of 2
3:21.0,P. Beverley enters the game for C. Capela,,105-106,,
3:21.0,D. Howard enters the game for M. Thornton,,105-106,,
3:21.0,,,105-107,1,A. Davis makes free throw 2 of 2
3:07.0,Turnover by J. Harden (bad pass),,105-107,,
2:52.0,,,105-107,,J. Holiday misses 2-pt shot from 10 ft
2:51.0,,,105-107,,Offensive rebound by Team
2:51.0,Loose ball foul by P. Beverley (drawn by A. Davis),,105-107,,
2:51.0,Houston full timeout,,105-107,,
2:51.0,,,105-108,1,A. Davis makes free throw 1 of 2
2:51.0,,,105-108,,A. Davis misses free throw 2 of 2
2:50.0,Defensive rebound by D. Howard,,105-108,,
2:27.0,J. Harden makes 3-pt shot from 25 ft,3,108-108,,
