time,Orlando,pts.away,score,pts.home,Miami
4:53.0,,,15-12,,D. Wade misses 2-pt shot from 1 ft
4:52.0,Defensive rebound by M. Hezonja,,15-12,,
4:48.0,M. Hezonja misses 2-pt shot from 2 ft,,15-12,,
4:47.0,,,15-12,,Defensive rebound by Team
4:47.0,J. Smith enters the game for D. Dedmon,,15-12,,
4:23.0,,,15-12,,J. Johnson misses 2-pt shot from 6 ft
4:22.0,,,15-12,,Offensive rebound by H. Whiteside
4:22.0,,,15-12,,Shooting foul by J. Smith (drawn by H. Whiteside)
4:22.0,,,15-13,1,H. Whiteside makes free throw 1 of 2
4:22.0,,,15-14,1,H. Whiteside makes free throw 2 of 2
4:05.0,J. Smith makes 2-pt shot from 15 ft,2,17-14,,
3:51.0,,,17-14,,Shooting foul by J. Smith (drawn by D. Wade)
3:51.0,,,17-15,1,D. Wade makes free throw 1 of 2
3:51.0,,,17-16,1,D. Wade makes free throw 2 of 2
3:29.0,E. Payton makes 2-pt shot at rim,2,19-16,,
3:07.0,,,19-16,,G. Dragic enters the game for D. Wade
3:03.0,,,19-16,,Turnover by Team (shot clock)
3:03.0,Orlando full timeout,,19-16,,
2:53.0,J. Smith misses 2-pt shot from 19 ft (block by H. Whiteside),,19-16,,
2:52.0,Offensive rebound by E. Payton,,19-16,,
2:47.0,E. Payton makes 2-pt shot from 5 ft,2,21-16,,
2:33.0,,,21-19,3,G. Dragic makes 3-pt shot from 24 ft
2:16.0,M. Hezonja makes 2-pt shot from 15 ft,2,23-19,,
2:08.0,Personal foul by E. Payton,,23-19,,
2:08.0,,,23-19,,G. Dragic misses free throw 1 of 2
2:08.0,,,23-19,,Offensive rebound by Team
2:08.0,B. Jennings enters the game for E. Payton,,23-19,,
2:08.0,C. Watson enters the game for M. Hezonja,,23-19,,
2:08.0,,,23-19,,L. Deng enters the game for J. Johnson
2:08.0,,,23-20,1,G. Dragic makes free throw 2 of 2
1:56.0,J. Smith makes 2-pt shot from 18 ft (assist by B. Jennings),2,25-20,,
1:43.0,,,25-22,2,H. Whiteside makes 2-pt shot at rim (assist by L. Deng)
1:26.0,E. Fournier misses 2-pt shot from 1 ft,,25-22,,
1:25.0,Offensive rebound by A. Gordon,,25-22,,
1:24.0,A. Gordon makes 2-pt shot from 2 ft,2,27-22,,
1:14.0,,,27-24,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
1:01.0,J. Smith misses 2-pt shot from 18 ft,,27-24,,
1:00.0,,,27-24,,Defensive rebound by H. Whiteside
0:52.0,,,27-26,2,J. Richardson makes 2-pt shot from 21 ft (assist by G. Dragic)
0:41.0,E. Fournier misses 2-pt shot from 2 ft (block by H. Whiteside),,27-26,,
0:40.0,Offensive rebound by E. Fournier,,27-26,,
0:40.0,Shooting foul by H. Whiteside (drawn by E. Fournier),,27-26,,
0:40.0,E. Fournier makes free throw 1 of 2,1,28-26,,
0:40.0,E. Fournier makes free throw 2 of 2,1,29-26,,
0:29.0,,,29-28,2,H. Whiteside makes 2-pt shot at rim (assist by J. Winslow)
0:05.0,Turnover by Team (shot clock),,29-28,,
0:02.0,,,29-28,,Turnover by J. Winslow (lost ball; steal by J. Smith)
0:00.0,E. Fournier makes 2-pt shot from 18 ft,2,31-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Offensive charge foul by A. Gordon,,31-28,,
11:49.0,Turnover by A. Gordon (offensive foul),,31-28,,
11:30.0,,,31-28,,L. Deng misses 2-pt shot from 20 ft
11:29.0,Defensive rebound by J. Smith,,31-28,,
11:14.0,D. Marble misses 2-pt shot from 1 ft (block by H. Whiteside),,31-28,,
11:13.0,Jump ball: A. Gordon vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: A. Gordon vs. H. Whiteside (G. Dragic gains possession)
11:13.0,,,31-28,,Offensive rebound by Team
10:56.0,,,31-28,,H. Whiteside misses 2-pt shot from 5 ft
10:55.0,,,31-28,,Offensive rebound by J. Winslow
10:55.0,,,31-28,,Shooting foul by D. Marble (drawn by J. Winslow)
10:55.0,,,31-29,1,J. Winslow makes free throw 1 of 2
10:55.0,A. Nicholson enters the game for J. Smith,,31-29,,
10:55.0,M. Hezonja enters the game for A. Gordon,,31-29,,
10:55.0,,,31-30,1,J. Winslow makes free throw 2 of 2
10:37.0,Turnover by A. Nicholson (lost ball; steal by G. Dragic),,31-30,,
10:32.0,,,31-32,2,G. Dragic makes 2-pt shot at rim (assist by J. Winslow)
10:13.0,Shooting foul by J. Richardson (drawn by A. Nicholson),,31-32,,
10:13.0,A. Nicholson makes 2-pt shot from 1 ft,2,33-32,,
10:13.0,A. Nicholson makes free throw 1 of 1,1,34-32,,
9:57.0,,,34-34,2,H. Whiteside makes 2-pt shot from 6 ft
9:37.0,B. Jennings misses 2-pt shot from 6 ft,,34-34,,
9:36.0,,,34-34,,Defensive rebound by L. Deng
9:20.0,,,34-34,,Shooting foul by M. Hezonja (drawn by G. Dragic)
9:20.0,,,34-35,1,G. Dragic makes free throw 1 of 2
9:20.0,,,34-35,,G. Dragic misses free throw 2 of 2
9:19.0,,,34-35,,Offensive rebound by H. Whiteside
9:18.0,,,34-37,2,H. Whiteside makes 2-pt shot at rim
8:47.0,A. Nicholson makes 3-pt shot from 25 ft (assist by C. Watson),3,37-37,,
8:33.0,,,37-37,,Shooting foul by D. Marble (drawn by H. Whiteside)
8:33.0,Official timeout,,37-37,,
8:33.0,,,37-38,1,H. Whiteside makes free throw 1 of 2
8:33.0,,,37-39,1,H. Whiteside makes free throw 2 of 2
8:20.0,A. Nicholson makes 2-pt shot from 11 ft (assist by B. Jennings),2,39-39,,
8:05.0,,,39-39,,Turnover by H. Whiteside (3 sec)
7:45.0,Turnover by M. Hezonja (traveling),,39-39,,
7:32.0,,,39-41,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
7:16.0,A. Nicholson makes 2-pt shot from 5 ft,2,41-41,,
6:54.0,,,41-41,,L. Deng misses 2-pt shot from 5 ft
6:53.0,,,41-41,,Offensive rebound by J. Winslow
6:47.0,,,41-43,2,H. Whiteside makes 2-pt shot at rim (assist by L. Deng)
6:30.0,B. Jennings misses 2-pt shot from 2 ft,,41-43,,
6:29.0,,,41-43,,Defensive rebound by J. Winslow
6:25.0,,,41-45,2,J. Winslow makes 2-pt shot from 4 ft
6:25.0,,,41-45,,Shooting foul by M. Hezonja (drawn by J. Winslow)
6:25.0,D. Dedmon enters the game for B. Jennings,,41-45,,
6:25.0,E. Fournier enters the game for D. Marble,,41-45,,
6:25.0,E. Payton enters the game for A. Nicholson,,41-45,,
6:25.0,,,41-45,,D. Wade enters the game for G. Dragic
6:25.0,,,41-45,,J. Winslow misses free throw 1 of 1
6:24.0,Defensive rebound by M. Hezonja,,41-45,,
6:06.0,Turnover by M. Hezonja (lost ball; steal by H. Whiteside),,41-45,,
5:44.0,,,41-45,,J. Richardson misses 3-pt shot from 24 ft
5:43.0,Defensive rebound by D. Dedmon,,41-45,,
5:34.0,Turnover by E. Payton (bad pass),,41-45,,
5:34.0,,,41-45,,Miami full timeout
5:34.0,,,41-45,,A. Stoudemire enters the game for H. Whiteside
5:19.0,,,41-47,2,A. Stoudemire makes 2-pt shot from 1 ft (assist by D. Wade)
5:03.0,Turnover by E. Fournier (lost ball; steal by J. Winslow),,41-47,,
4:58.0,,,41-47,,D. Wade misses 2-pt shot from 1 ft
4:57.0,Defensive rebound by E. Fournier,,41-47,,
4:51.0,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton),2,43-47,,
4:31.0,,,43-47,,D. Wade misses 2-pt shot from 1 ft
4:30.0,,,43-47,,Offensive rebound by A. Stoudemire
4:29.0,,,43-49,2,A. Stoudemire makes 2-pt shot from 1 ft
4:28.0,,,43-49,,Technical foul by D. Wade
4:28.0,E. Fournier makes technical free throw,1,44-49,,
4:28.0,,,44-49,,J. Johnson enters the game for L. Deng
4:05.0,D. Dedmon misses 2-pt shot from 2 ft,,44-49,,
4:04.0,Offensive rebound by D. Dedmon,,44-49,,
4:01.0,D. Dedmon makes 2-pt shot from 3 ft,2,46-49,,
3:49.0,,,46-49,,Turnover by J. Richardson (lost ball; steal by D. Dedmon)
3:33.0,Turnover by E. Payton (lost ball; steal by A. Stoudemire),,46-49,,
3:29.0,,,46-49,,H. Whiteside enters the game for A. Stoudemire
3:29.0,J. Smith enters the game for D. Dedmon,,46-49,,
3:22.0,,,46-49,,D. Wade misses 2-pt shot from 3 ft
3:21.0,Defensive rebound by J. Smith,,46-49,,
3:17.0,M. Hezonja makes 2-pt shot at rim (assist by E. Payton),2,48-49,,
3:02.0,,,48-51,2,J. Richardson makes 2-pt shot at rim
3:02.0,,,48-51,,Shooting foul by C. Watson (drawn by J. Richardson)
3:02.0,,,48-52,1,J. Richardson makes free throw 1 of 1
2:52.0,Shooting foul by H. Whiteside (drawn by J. Smith),,48-52,,
2:52.0,Orlando full timeout,,48-52,,
2:52.0,A. Gordon enters the game for C. Watson,,48-52,,
2:52.0,,,48-52,,G. Dragic enters the game for J. Richardson
2:52.0,J. Smith makes free throw 1 of 2,1,49-52,,
2:52.0,J. Smith makes free throw 2 of 2,1,50-52,,
2:38.0,,,50-52,,Turnover by G. Dragic (bad pass)
2:22.0,M. Hezonja misses 2-pt shot from 18 ft,,50-52,,
2:21.0,,,50-52,,Defensive rebound by D. Wade
2:14.0,,,50-52,,Turnover by G. Dragic (step out of bounds)
2:00.0,J. Smith makes 2-pt shot from 18 ft (assist by M. Hezonja),2,52-52,,
1:32.0,,,52-52,,J. Johnson misses 2-pt shot from 7 ft (block by J. Smith)
1:31.0,,,52-52,,Offensive rebound by Team
1:30.0,,,52-52,,Turnover by Team (shot clock)
1:30.0,,,52-52,,L. Deng enters the game for H. Whiteside
1:11.0,E. Fournier misses 3-pt shot from 24 ft,,52-52,,
1:10.0,,,52-52,,Defensive rebound by L. Deng
0:59.0,,,52-52,,L. Deng misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by E. Payton,,52-52,,
0:54.0,Shooting foul by J. Winslow (drawn by E. Fournier),,52-52,,
0:54.0,E. Fournier makes free throw 1 of 2,1,53-52,,
0:54.0,C. Watson enters the game for J. Smith,,53-52,,
0:54.0,E. Fournier makes free throw 2 of 2,1,54-52,,
0:41.0,,,54-52,,G. Dragic misses 3-pt shot from 24 ft
0:40.0,Defensive rebound by E. Fournier,,54-52,,
0:32.0,E. Fournier misses 2-pt shot from 2 ft,,54-52,,
0:31.0,Offensive rebound by E. Payton,,54-52,,
0:30.0,E. Payton makes 2-pt shot from 1 ft,2,56-52,,
0:25.0,,,56-52,,Miami full timeout
0:25.0,D. Marble enters the game for E. Payton,,56-52,,
0:25.0,,,56-52,,J. Richardson enters the game for G. Dragic
0:10.0,,,56-52,,Shooting foul by C. Watson (drawn by D. Wade)
0:10.0,,,56-53,1,D. Wade makes free throw 1 of 2
0:10.0,,,56-54,1,D. Wade makes free throw 2 of 2
0:02.0,Shooting foul by J. Winslow (drawn by E. Fournier),,56-54,,
0:02.0,E. Fournier makes free throw 1 of 2,1,57-54,,
0:02.0,E. Fournier misses free throw 2 of 2,,57-54,,
0:01.0,,,57-54,,Defensive rebound by J. Johnson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,E. Payton makes 2-pt shot from 15 ft,2,59-54,,
11:14.0,,,59-56,2,J. Johnson makes 2-pt shot from 6 ft
10:55.0,M. Hezonja misses 2-pt shot from 20 ft,,59-56,,
10:54.0,,,59-56,,Defensive rebound by D. Wade
10:40.0,,,59-56,,G. Dragic misses 3-pt shot from 24 ft
10:39.0,Defensive rebound by A. Gordon,,59-56,,
10:32.0,,,59-56,,Personal foul by G. Dragic
10:32.0,,,59-56,,Technical foul by A. Stoudemire
10:32.0,E. Fournier makes technical free throw,1,60-56,,
10:23.0,Turnover by E. Fournier (lost ball; steal by G. Dragic),,60-56,,
10:18.0,,,60-58,2,L. Deng makes 2-pt shot from 1 ft (assist by G. Dragic)
10:06.0,Turnover by E. Payton (lost ball; steal by G. Dragic),,60-58,,
10:01.0,,,60-60,2,G. Dragic makes 2-pt shot from 2 ft (assist by L. Deng)
9:40.0,E. Payton misses 2-pt shot from 5 ft,,60-60,,
9:39.0,Offensive rebound by Team,,60-60,,
9:27.0,E. Fournier misses 2-pt shot from 9 ft,,60-60,,
9:26.0,,,60-60,,Defensive rebound by D. Wade
9:09.0,,,60-62,2,A. Stoudemire makes 2-pt shot from 3 ft (assist by L. Deng)
9:09.0,,,60-62,,Shooting foul by D. Dedmon (drawn by A. Stoudemire)
9:09.0,,,60-62,,A. Stoudemire misses free throw 1 of 1
9:08.0,Defensive rebound by A. Gordon,,60-62,,
8:49.0,A. Gordon misses 3-pt shot from 23 ft,,60-62,,
8:48.0,Offensive rebound by D. Dedmon,,60-62,,
8:48.0,D. Dedmon misses 2-pt shot at rim,,60-62,,
8:46.0,Offensive rebound by A. Gordon,,60-62,,
8:45.0,A. Gordon makes 2-pt shot at rim,2,62-62,,
8:20.0,,,62-62,,D. Wade misses 2-pt shot from 5 ft
8:18.0,,,62-62,,Offensive rebound by A. Stoudemire
8:16.0,,,62-64,2,A. Stoudemire makes 2-pt shot from 1 ft
8:13.0,Turnover by D. Dedmon (lost ball; steal by D. Wade),,62-64,,
8:07.0,,,62-64,,A. Stoudemire misses 2-pt shot from 12 ft
8:06.0,Defensive rebound by A. Gordon,,62-64,,
8:00.0,A. Gordon misses 2-pt shot from 5 ft,,62-64,,
7:59.0,,,62-64,,Defensive rebound by L. Deng
7:58.0,Personal foul by E. Fournier,,62-64,,
7:44.0,,,62-64,,Shooting foul by D. Dedmon (drawn by A. Stoudemire)
7:44.0,,,62-64,,A. Stoudemire misses free throw 1 of 2
7:44.0,,,62-64,,Offensive rebound by Team
7:44.0,,,62-65,1,A. Stoudemire makes free throw 2 of 2
7:24.0,M. Hezonja makes 2-pt shot at rim (assist by D. Dedmon),2,64-65,,
7:12.0,,,64-67,2,A. Stoudemire makes 2-pt shot at rim (assist by G. Dragic)
6:59.0,A. Gordon misses 2-pt shot from 6 ft (block by L. Deng),,64-67,,
6:58.0,,,64-67,,Defensive rebound by L. Deng
6:55.0,,,64-69,2,G. Dragic makes 2-pt shot at rim
6:55.0,Orlando full timeout,,64-69,,
6:46.0,M. Hezonja misses 2-pt shot from 17 ft,,64-69,,
6:45.0,Offensive rebound by D. Dedmon,,64-69,,
6:44.0,Shooting foul by A. Stoudemire (drawn by D. Dedmon),,64-69,,
6:44.0,D. Dedmon misses free throw 1 of 2,,64-69,,
6:44.0,Offensive rebound by Team,,64-69,,
6:44.0,D. Dedmon makes free throw 2 of 2,1,65-69,,
6:25.0,,,65-69,,D. Wade misses 2-pt shot from 7 ft
6:24.0,Defensive rebound by D. Dedmon,,65-69,,
6:02.0,M. Hezonja misses 3-pt shot from 24 ft,,65-69,,
6:01.0,,,65-69,,Defensive rebound by L. Deng
5:53.0,,,65-69,,Turnover by G. Dragic (lost ball; steal by M. Hezonja)
5:49.0,E. Fournier makes 2-pt shot from 2 ft (assist by A. Gordon),2,67-69,,
5:34.0,,,67-69,,Shooting foul by D. Dedmon (drawn by D. Wade)
5:34.0,,,67-69,,D. Wade misses free throw 1 of 2
5:34.0,,,67-69,,Offensive rebound by Team
5:34.0,,,67-69,,J. Richardson enters the game for G. Dragic
5:34.0,,,67-69,,J. Winslow enters the game for L. Deng
5:34.0,,,67-70,1,D. Wade makes free throw 2 of 2
5:15.0,A. Gordon misses 3-pt shot from 23 ft,,67-70,,
5:14.0,Offensive rebound by E. Payton,,67-70,,
5:09.0,M. Hezonja misses 3-pt shot from 24 ft,,67-70,,
5:08.0,,,67-70,,Defensive rebound by A. Stoudemire
4:55.0,,,67-73,3,J. Richardson makes 3-pt shot from 23 ft (assist by D. Wade)
4:37.0,E. Fournier misses 3-pt shot from 25 ft,,67-73,,
4:36.0,,,67-73,,Defensive rebound by Team
4:36.0,,,67-73,,H. Whiteside enters the game for A. Stoudemire
4:17.0,,,67-73,,J. Winslow misses 2-pt shot from 18 ft
4:16.0,Defensive rebound by E. Fournier,,67-73,,
4:08.0,E. Payton makes 2-pt shot from 9 ft,2,69-73,,
4:08.0,,,69-73,,Miami full timeout
4:08.0,J. Smith enters the game for D. Dedmon,,69-73,,
3:49.0,,,69-76,3,J. Richardson makes 3-pt shot from 24 ft (assist by D. Wade)
3:31.0,J. Smith misses 2-pt shot from 18 ft,,69-76,,
3:30.0,,,69-76,,Defensive rebound by J. Winslow
3:17.0,,,69-76,,J. Winslow misses 2-pt shot from 8 ft
3:16.0,Defensive rebound by E. Fournier,,69-76,,
3:11.0,J. Smith misses 2-pt shot from 1 ft (block by D. Wade),,69-76,,
3:10.0,,,69-76,,Defensive rebound by H. Whiteside
2:58.0,,,69-78,2,H. Whiteside makes 2-pt shot from 1 ft (assist by D. Wade)
2:41.0,J. Smith misses 2-pt shot from 18 ft,,69-78,,
2:40.0,,,69-78,,Defensive rebound by H. Whiteside
2:28.0,,,69-80,2,J. Johnson makes 2-pt shot from 7 ft
2:08.0,J. Smith misses 2-pt shot from 20 ft,,69-80,,
2:07.0,,,69-80,,Defensive rebound by J. Richardson
1:57.0,,,69-82,2,H. Whiteside makes 2-pt shot at rim (assist by J. Richardson)
1:57.0,Orlando full timeout,,69-82,,
1:57.0,B. Jennings enters the game for E. Payton,,69-82,,
1:57.0,,,69-82,,G. Dragic enters the game for D. Wade
1:48.0,Turnover by B. Jennings (lost ball; steal by G. Dragic),,69-82,,
1:41.0,,,69-82,,J. Winslow misses 3-pt shot from 23 ft
1:40.0,Defensive rebound by B. Jennings,,69-82,,
1:27.0,J. Smith misses 2-pt shot from 14 ft,,69-82,,
1:26.0,,,69-82,,Defensive rebound by H. Whiteside
1:10.0,,,69-84,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
1:10.0,,,69-84,,Shooting foul by M. Hezonja (drawn by H. Whiteside)
1:10.0,A. Nicholson enters the game for J. Smith,,69-84,,
1:10.0,D. Marble enters the game for M. Hezonja,,69-84,,
1:10.0,,,69-85,1,H. Whiteside makes free throw 1 of 1
0:59.0,A. Nicholson misses 3-pt shot from 24 ft,,69-85,,
0:58.0,,,69-85,,Defensive rebound by J. Richardson
0:52.0,,,69-85,,Turnover by G. Dragic (lost ball; steal by D. Marble)
0:46.0,Turnover by B. Jennings (bad pass),,69-85,,
0:26.0,,,69-85,,J. Richardson misses 2-pt shot from 20 ft
0:25.0,Defensive rebound by Team,,69-85,,
0:25.0,,,69-85,,Loose ball foul by J. Winslow
0:09.0,E. Fournier misses 2-pt shot from 21 ft,,69-85,,
0:08.0,,,69-85,,Defensive rebound by H. Whiteside
0:01.0,,,69-85,,G. Dragic misses 2-pt shot from 18 ft
0:00.0,,,69-85,,Offensive rebound by J. Winslow
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,Personal foul by A. Nicholson,,69-85,,
11:39.0,,,69-85,,J. Winslow misses 2-pt shot from 4 ft
11:38.0,Defensive rebound by A. Nicholson,,69-85,,
11:23.0,A. Nicholson makes 2-pt shot from 2 ft,2,71-85,,
11:09.0,,,71-85,,Turnover by J. Winslow (lost ball; steal by D. Marble)
11:08.0,,,71-85,,Personal foul by G. Dragic
10:55.0,A. Nicholson misses 3-pt shot from 25 ft,,71-85,,
10:54.0,,,71-85,,Defensive rebound by J. Winslow
10:45.0,,,71-85,,L. Deng misses 3-pt shot from 23 ft
10:44.0,Defensive rebound by B. Jennings,,71-85,,
10:36.0,C. Watson makes 3-pt shot from 23 ft (assist by B. Jennings),3,74-85,,
10:17.0,,,74-88,3,J. Richardson makes 3-pt shot from 24 ft (assist by G. Dragic)
10:11.0,Shooting foul by J. Richardson (drawn by B. Jennings),,74-88,,
10:11.0,B. Jennings makes free throw 1 of 3,1,75-88,,
10:11.0,B. Jennings misses free throw 2 of 3,,75-88,,
10:11.0,Offensive rebound by Team,,75-88,,
10:11.0,E. Payton enters the game for A. Gordon,,75-88,,
10:11.0,B. Jennings misses free throw 3 of 3,,75-88,,
10:10.0,,,75-88,,Defensive rebound by H. Whiteside
10:02.0,,,75-88,,Shooting foul by C. Watson (drawn by G. Dragic)
10:02.0,,,75-88,,G. Dragic misses free throw 1 of 2
10:02.0,,,75-88,,Offensive rebound by Team
10:02.0,,,75-88,,G. Dragic misses free throw 2 of 2
10:00.0,,,75-88,,Offensive rebound by Team
9:54.0,,,75-88,,G. Dragic misses 2-pt shot from 15 ft
9:53.0,Defensive rebound by B. Jennings,,75-88,,
9:45.0,A. Nicholson makes 3-pt shot from 24 ft (assist by D. Marble),3,78-88,,
9:27.0,,,78-88,,J. Richardson misses 2-pt shot from 1 ft
9:26.0,,,78-88,,Offensive rebound by L. Deng
9:22.0,,,78-88,,J. Winslow misses 2-pt shot from 2 ft
9:21.0,,,78-88,,Offensive rebound by L. Deng
9:20.0,,,78-88,,L. Deng misses 2-pt shot from 1 ft
9:19.0,,,78-88,,Offensive rebound by L. Deng
9:18.0,,,78-90,2,L. Deng makes 2-pt shot at rim
9:06.0,B. Jennings misses 2-pt shot from 10 ft,,78-90,,
9:05.0,Offensive rebound by C. Watson,,78-90,,
9:05.0,,,78-90,,Personal foul by G. Dragic
8:56.0,C. Watson misses 3-pt shot from 24 ft,,78-90,,
8:55.0,,,78-90,,Defensive rebound by J. Winslow
8:44.0,,,78-90,,Shooting foul by D. Marble (drawn by L. Deng)
8:44.0,Official timeout,,78-90,,
8:44.0,,,78-91,1,L. Deng makes free throw 1 of 2
8:44.0,,,78-92,1,L. Deng makes free throw 2 of 2
8:32.0,B. Jennings makes 3-pt shot from 24 ft (assist by E. Payton),3,81-92,,
8:05.0,,,81-94,2,L. Deng makes 2-pt shot from 18 ft (assist by J. Richardson)
7:50.0,Turnover by E. Payton (lost ball; steal by L. Deng),,81-94,,
7:46.0,,,81-96,2,G. Dragic makes 2-pt shot from 1 ft (assist by L. Deng)
7:39.0,,,81-96,,Personal foul by H. Whiteside
7:39.0,E. Fournier enters the game for D. Marble,,81-96,,
7:30.0,B. Jennings misses 3-pt shot from 24 ft,,81-96,,
7:29.0,,,81-96,,Defensive rebound by H. Whiteside
7:13.0,,,81-96,,H. Whiteside misses 2-pt shot from 8 ft
7:12.0,,,81-96,,Offensive rebound by L. Deng
7:02.0,,,81-98,2,G. Dragic makes 2-pt shot from 4 ft
7:02.0,,,81-98,,Shooting foul by A. Nicholson (drawn by G. Dragic)
7:02.0,M. Hezonja enters the game for B. Jennings,,81-98,,
7:02.0,,,81-99,1,G. Dragic makes free throw 1 of 1
6:54.0,Shooting foul by J. Winslow (drawn by E. Payton),,81-99,,
6:54.0,E. Payton misses free throw 1 of 2,,81-99,,
6:54.0,Offensive rebound by Team,,81-99,,
6:54.0,A. Gordon enters the game for C. Watson,,81-99,,
6:54.0,E. Payton makes free throw 2 of 2,1,82-99,,
6:44.0,,,82-99,,L. Deng misses 2-pt shot from 19 ft
6:43.0,Defensive rebound by A. Nicholson,,82-99,,
6:36.0,Offensive charge foul by A. Nicholson,,82-99,,
6:36.0,Turnover by A. Nicholson (offensive foul),,82-99,,
6:14.0,,,82-99,,J. Richardson misses 3-pt shot from 24 ft
6:13.0,Defensive rebound by E. Payton,,82-99,,
6:04.0,A. Nicholson makes 2-pt shot from 6 ft (assist by E. Payton),2,84-99,,
6:04.0,,,84-99,,Miami full timeout
5:39.0,,,84-99,,H. Whiteside misses 2-pt shot from 3 ft
5:38.0,Defensive rebound by A. Nicholson,,84-99,,
5:24.0,E. Fournier makes 3-pt shot from 24 ft (assist by A. Nicholson),3,87-99,,
4:59.0,,,87-99,,Turnover by Team (shot clock)
4:40.0,E. Payton misses 2-pt shot from 2 ft,,87-99,,
4:39.0,,,87-99,,Defensive rebound by H. Whiteside
