time,Washington,pts.away,score,pts.home,Phoenix
7:36.0,J. Wall makes 3-pt shot from 25 ft (assist by O. Porter),3,9-10,,
7:16.0,,,9-13,3,P. Tucker makes 3-pt shot from 22 ft (assist by R. Price)
7:09.0,Turnover by J. Wall (bad pass),,9-13,,
6:51.0,Personal foul by B. Beal,,9-13,,
6:38.0,,,9-13,,R. Price misses 3-pt shot from 23 ft
6:36.0,,,9-13,,Offensive rebound by A. Len
6:28.0,,,9-15,2,T. Chandler makes 2-pt shot at rim (assist by R. Price)
6:05.0,M. Morris misses 3-pt shot from 25 ft,,9-15,,
6:03.0,,,9-15,,Defensive rebound by D. Booker
5:52.0,,,9-15,,D. Booker misses 2-pt shot from 16 ft
5:52.0,Defensive rebound by Team,,9-15,,
5:52.0,,,9-15,,Loose ball foul by A. Len
5:52.0,,,9-15,,Phoenix full timeout
5:52.0,,,9-15,,M. Teletovic enters the game for A. Len
5:39.0,J. Wall makes 2-pt shot from 20 ft,2,11-15,,
5:25.0,,,11-17,2,D. Booker makes 2-pt shot from 2 ft (assist by R. Price)
5:10.0,Turnover by J. Wall (lost ball; steal by R. Price),,11-17,,
5:07.0,,,11-17,,Shooting foul by J. Wall (drawn by R. Price)
5:07.0,,,11-18,1,R. Price makes free throw 1 of 2
5:07.0,,,11-19,1,R. Price makes free throw 2 of 2
4:51.0,J. Wall makes 3-pt shot from 24 ft (assist by B. Beal),3,14-19,,
4:43.0,,,14-19,,M. Teletovic misses 3-pt shot from 25 ft
4:40.0,,,14-19,,Offensive rebound by T. Chandler
4:36.0,,,14-19,,M. Teletovic misses 2-pt shot from 21 ft
4:35.0,,,14-19,,Offensive rebound by Team
4:15.0,,,14-19,,P. Tucker misses 2-pt shot at rim
4:12.0,Defensive rebound by M. Gortat,,14-19,,
4:03.0,,,14-19,,Personal foul by P. Tucker
4:03.0,G. Temple enters the game for B. Beal,,14-19,,
3:59.0,O. Porter misses 2-pt shot from 17 ft,,14-19,,
3:56.0,,,14-19,,Defensive rebound by M. Teletovic
3:44.0,,,14-19,,M. Teletovic misses 2-pt shot from 6 ft (block by M. Morris)
3:44.0,Jump ball: M. Morris vs. M. Teletovic (J. Wall gains possession),,,,Jump ball: M. Morris vs. M. Teletovic (J. Wall gains possession)
3:44.0,Offensive rebound by M. Morris,,14-19,,
3:34.0,J. Wall makes 2-pt shot from 16 ft,2,16-19,,
3:17.0,,,16-21,2,D. Booker makes 2-pt shot from 19 ft (assist by T. Chandler)
3:03.0,M. Morris makes 2-pt shot from 20 ft (assist by J. Wall),2,18-21,,
2:51.0,,,18-21,,M. Teletovic misses 3-pt shot from 24 ft
2:48.0,Defensive rebound by M. Gortat,,18-21,,
2:35.0,O. Porter misses 3-pt shot from 25 ft,,18-21,,
2:33.0,,,18-21,,Defensive rebound by M. Teletovic
2:26.0,,,18-21,,D. Booker misses 3-pt shot from 24 ft
2:24.0,,,18-21,,Offensive rebound by M. Teletovic
2:19.0,,,18-21,,D. Booker misses 2-pt shot from 8 ft
2:19.0,Defensive rebound by Team,,18-21,,
2:19.0,,,18-21,,Loose ball foul by T. Chandler
2:19.0,Washington full timeout,,18-21,,
2:19.0,,,18-21,,J. Jenkins enters the game for D. Booker
2:19.0,J. Dudley enters the game for M. Morris,,18-21,,
2:19.0,N. Hilario enters the game for M. Gortat,,18-21,,
2:06.0,J. Dudley misses 2-pt shot from 19 ft,,18-21,,
2:04.0,,,18-21,,Defensive rebound by J. Jenkins
1:50.0,,,18-21,,R. Price misses 3-pt shot from 23 ft
1:48.0,Defensive rebound by N. Hilario,,18-21,,
1:40.0,J. Dudley makes 3-pt shot from 24 ft (assist by J. Wall),3,21-21,,
1:13.0,,,21-21,,M. Teletovic misses 2-pt shot from 5 ft
1:12.0,,,21-21,,Offensive rebound by M. Teletovic
1:12.0,,,21-23,2,M. Teletovic makes 2-pt shot from 5 ft
1:12.0,,,21-23,,Shooting foul by J. Dudley (drawn by M. Teletovic)
1:12.0,,,21-24,1,M. Teletovic makes free throw 1 of 1
1:00.0,J. Wall misses 2-pt shot from 9 ft,,21-24,,
0:59.0,Offensive rebound by O. Porter,,21-24,,
0:59.0,O. Porter makes 2-pt shot from 1 ft,2,23-24,,
0:40.0,,,23-24,,Turnover by R. Price (bad pass)
0:35.0,J. Wall makes 2-pt shot from 18 ft,2,25-24,,
0:10.0,,,25-24,,Shooting foul by J. Wall (drawn by J. Jenkins)
0:10.0,,,25-25,1,J. Jenkins makes free throw 1 of 2
0:10.0,,,25-26,1,J. Jenkins makes free throw 2 of 2
0:01.0,J. Wall misses 2-pt shot from 2 ft,,25-26,,
0:00.0,,,25-26,,Defensive rebound by M. Teletovic
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,25-26,,Turnover by C. Budinger (lost ball; steal by G. Temple)
11:33.0,R. Sessions misses 2-pt shot from 8 ft (block by C. Budinger),,25-26,,
11:30.0,,,25-26,,Defensive rebound by C. Budinger
11:29.0,,,25-28,2,J. Jenkins makes 2-pt shot from 2 ft (assist by C. Budinger)
11:20.0,R. Sessions misses 2-pt shot from 1 ft,,25-28,,
11:16.0,,,25-28,,Defensive rebound by A. Len
11:07.0,,,25-30,2,A. Goodwin makes 2-pt shot from 2 ft
10:50.0,N. Hilario misses 2-pt shot from 4 ft,,25-30,,
10:46.0,,,25-30,,Defensive rebound by M. Teletovic
10:40.0,Personal foul by J. Dudley,,25-30,,
10:26.0,,,25-30,,M. Teletovic misses 2-pt shot from 4 ft
10:25.0,,,25-30,,Offensive rebound by Team
10:22.0,,,25-30,,A. Goodwin misses 2-pt shot from 2 ft
10:20.0,Defensive rebound by N. Hilario,,25-30,,
10:14.0,B. Beal makes 3-pt shot from 23 ft (assist by J. Dudley),3,28-30,,
9:55.0,,,28-30,,A. Len misses 2-pt shot from 14 ft (block by N. Hilario)
9:52.0,Defensive rebound by N. Hilario,,28-30,,
9:42.0,G. Temple makes 2-pt shot from 1 ft (assist by N. Hilario),2,30-30,,
9:32.0,Personal foul by N. Hilario,,30-30,,
9:26.0,,,30-32,2,A. Goodwin makes 2-pt shot from 1 ft
9:16.0,R. Sessions misses 2-pt shot from 8 ft,,30-32,,
9:14.0,Offensive rebound by N. Hilario,,30-32,,
9:06.0,B. Beal makes 2-pt shot from 11 ft,2,32-32,,
8:55.0,,,32-32,,Turnover by A. Goodwin (bad pass)
8:55.0,Official timeout,,32-32,,
8:47.0,Shooting foul by A. Len (drawn by N. Hilario),,32-32,,
8:47.0,N. Hilario misses free throw 1 of 2,,32-32,,
8:47.0,Offensive rebound by Team,,32-32,,
8:47.0,,,32-32,,T. Chandler enters the game for A. Len
8:47.0,N. Hilario misses free throw 2 of 2,,32-32,,
8:45.0,,,32-32,,Defensive rebound by T. Chandler
8:27.0,,,32-34,2,M. Teletovic makes 2-pt shot from 4 ft
8:11.0,N. Hilario makes 2-pt shot from 15 ft (assist by G. Temple),2,34-34,,
7:53.0,,,34-34,,Turnover by C. Budinger (bad pass)
7:36.0,R. Sessions misses 2-pt shot from 15 ft,,34-34,,
7:34.0,,,34-34,,Defensive rebound by T. Chandler
7:24.0,,,34-37,3,C. Budinger makes 3-pt shot from 25 ft (assist by A. Goodwin)
7:17.0,B. Beal misses 2-pt shot from 1 ft,,34-37,,
7:14.0,,,34-37,,Defensive rebound by T. Chandler
7:04.0,,,34-39,2,A. Goodwin makes 2-pt shot from 4 ft
6:51.0,Turnover by N. Hilario (lost ball; steal by A. Goodwin),,34-39,,
6:51.0,Loose ball foul by N. Hilario,,34-39,,
6:51.0,M. Morris enters the game for J. Dudley,,34-39,,
6:51.0,J. Wall enters the game for R. Sessions,,34-39,,
6:32.0,,,34-41,2,M. Teletovic makes 2-pt shot from 20 ft (assist by A. Goodwin)
6:18.0,Shooting foul by A. Goodwin (drawn by J. Wall),,34-41,,
6:18.0,J. Wall makes free throw 1 of 2,1,35-41,,
6:18.0,J. Wall makes free throw 2 of 2,1,36-41,,
6:04.0,,,36-41,,M. Teletovic misses 2-pt shot from 11 ft
6:00.0,Defensive rebound by M. Morris,,36-41,,
5:53.0,M. Morris makes 2-pt shot at rim (assist by J. Wall),2,38-41,,
5:38.0,,,38-41,,Shooting foul by G. Temple (drawn by J. Jenkins)
5:38.0,,,38-43,2,J. Jenkins makes 2-pt shot from 2 ft
5:38.0,,,38-43,,Phoenix full timeout
5:38.0,M. Gortat enters the game for N. Hilario,,38-43,,
5:38.0,,,38-43,,D. Booker enters the game for C. Budinger
5:38.0,,,38-44,1,J. Jenkins makes free throw 1 of 1
5:14.0,G. Temple misses 3-pt shot from 23 ft,,38-44,,
5:12.0,,,38-44,,Defensive rebound by T. Chandler
4:56.0,,,38-46,2,M. Teletovic makes 2-pt shot from 1 ft (assist by A. Goodwin)
4:42.0,M. Morris makes 2-pt shot from 6 ft (assist by B. Beal),2,40-46,,
4:22.0,,,40-46,,Turnover by M. Teletovic (bad pass)
4:22.0,,,40-46,,P. Tucker enters the game for J. Jenkins
4:22.0,O. Porter enters the game for B. Beal,,40-46,,
4:09.0,M. Gortat makes 2-pt shot from 5 ft,2,42-46,,
4:09.0,Shooting foul by T. Chandler (drawn by M. Gortat),,42-46,,
4:09.0,,,42-46,,R. Price enters the game for A. Goodwin
4:09.0,M. Gortat misses free throw 1 of 1,,42-46,,
4:08.0,Offensive rebound by M. Gortat,,42-46,,
4:06.0,M. Gortat misses 2-pt shot from 7 ft,,42-46,,
4:03.0,,,42-46,,Defensive rebound by T. Chandler
3:46.0,,,42-46,,D. Booker misses 2-pt shot from 20 ft
3:43.0,Defensive rebound by M. Morris,,42-46,,
3:38.0,Shooting foul by M. Teletovic (drawn by M. Gortat),,42-46,,
3:38.0,M. Gortat makes free throw 1 of 2,1,43-46,,
3:38.0,M. Gortat misses free throw 2 of 2,,43-46,,
3:37.0,,,43-46,,Defensive rebound by T. Chandler
3:18.0,,,43-46,,M. Teletovic misses 3-pt shot from 25 ft
3:17.0,,,43-46,,Offensive rebound by P. Tucker
3:14.0,,,43-46,,D. Booker misses 3-pt shot from 26 ft
3:12.0,Defensive rebound by J. Wall,,43-46,,
3:01.0,J. Wall misses 2-pt shot from 15 ft,,43-46,,
2:57.0,,,43-46,,Defensive rebound by M. Teletovic
2:53.0,,,43-46,,Shooting foul by M. Gortat (drawn by T. Chandler)
2:53.0,Washington full timeout,,43-46,,
2:53.0,,,43-46,,T. Chandler misses free throw 1 of 2
2:53.0,,,43-46,,Offensive rebound by Team
2:53.0,,,43-46,,T. Chandler misses free throw 2 of 2
2:52.0,Defensive rebound by M. Gortat,,43-46,,
2:41.0,J. Wall makes 2-pt shot from 10 ft,2,45-46,,
2:18.0,,,45-46,,P. Tucker misses 2-pt shot from 16 ft
2:15.0,Defensive rebound by M. Gortat,,45-46,,
2:08.0,Turnover by J. Wall (bad pass),,45-46,,
1:47.0,,,45-46,,Shooting foul by G. Temple (drawn by T. Chandler)
1:47.0,,,45-47,1,T. Chandler makes free throw 1 of 2
1:47.0,J. Hickson enters the game for M. Gortat,,45-47,,
1:47.0,R. Sessions enters the game for J. Wall,,45-47,,
1:47.0,,,45-48,1,T. Chandler makes free throw 2 of 2
1:34.0,,,45-48,,Personal foul by P. Tucker
1:34.0,M. Morris makes free throw 1 of 2,1,46-48,,
1:34.0,B. Beal enters the game for G. Temple,,46-48,,
1:34.0,M. Morris makes free throw 2 of 2,1,47-48,,
1:22.0,,,47-48,,D. Booker misses 2-pt shot from 19 ft
1:19.0,Defensive rebound by M. Morris,,47-48,,
1:09.0,M. Morris misses 2-pt shot from 15 ft,,47-48,,
1:07.0,,,47-48,,Defensive rebound by P. Tucker
1:04.0,,,47-48,,Turnover by P. Tucker (lost ball; steal by M. Morris)
1:04.0,,,47-48,,Personal foul by R. Price
1:04.0,M. Morris makes free throw 1 of 2,1,48-48,,
1:04.0,M. Morris misses free throw 2 of 2,,48-48,,
1:02.0,,,48-48,,Defensive rebound by T. Chandler
0:51.0,,,48-48,,Turnover by R. Price (bad pass)
0:35.0,B. Beal misses 3-pt shot from 24 ft,,48-48,,
0:33.0,,,48-48,,Defensive rebound by T. Chandler
0:31.0,,,48-48,,Shooting foul by B. Beal (drawn by P. Tucker)
0:31.0,,,48-49,1,P. Tucker makes free throw 1 of 2
0:31.0,M. Thornton enters the game for B. Beal,,48-49,,
0:31.0,,,48-50,1,P. Tucker makes free throw 2 of 2
0:15.0,J. Hickson misses 2-pt shot from 9 ft,,48-50,,
0:14.0,,,48-50,,Defensive rebound by P. Tucker
0:10.0,,,48-52,2,M. Teletovic makes 2-pt shot from 1 ft (assist by R. Price)
0:03.0,,,48-52,,Personal foul by M. Teletovic
0:03.0,,,48-52,,Phoenix full timeout
0:03.0,R. Sessions makes free throw 1 of 2,1,49-52,,
0:03.0,R. Sessions makes free throw 2 of 2,1,50-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,Personal foul by M. Morris,,50-52,,
11:37.0,,,50-55,3,R. Price makes 3-pt shot from 24 ft (assist by T. Chandler)
11:20.0,B. Beal misses 3-pt shot from 26 ft,,50-55,,
11:18.0,,,50-55,,Defensive rebound by A. Len
11:05.0,,,50-55,,A. Len misses 2-pt shot from 17 ft
11:03.0,,,50-55,,Offensive rebound by R. Price
11:00.0,,,50-58,3,P. Tucker makes 3-pt shot from 24 ft (assist by R. Price)
10:47.0,M. Morris makes 3-pt shot from 25 ft (assist by B. Beal),3,53-58,,
10:21.0,,,53-58,,R. Price misses 2-pt shot from 12 ft
10:18.0,Defensive rebound by J. Wall,,53-58,,
10:13.0,O. Porter misses 3-pt shot from 22 ft,,53-58,,
10:10.0,,,53-58,,Defensive rebound by R. Price
9:50.0,,,53-58,,R. Price misses 3-pt shot from 22 ft
9:48.0,Defensive rebound by J. Wall,,53-58,,
9:25.0,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall),3,56-58,,
9:11.0,,,56-58,,D. Booker misses 2-pt shot from 2 ft
9:08.0,,,56-58,,Offensive rebound by T. Chandler
9:08.0,,,56-60,2,T. Chandler makes 2-pt shot at rim
8:59.0,M. Morris misses 2-pt shot from 18 ft,,56-60,,
8:57.0,,,56-60,,Defensive rebound by D. Booker
8:52.0,,,56-60,,Turnover by D. Booker (lost ball; steal by B. Beal)
8:50.0,Turnover by B. Beal (lost ball; steal by P. Tucker),,56-60,,
8:47.0,,,56-60,,Shooting foul by M. Morris (drawn by A. Len)
8:47.0,,,56-61,1,A. Len makes free throw 1 of 2
8:47.0,,,56-62,1,A. Len makes free throw 2 of 2
8:37.0,J. Wall misses 3-pt shot from 25 ft,,56-62,,
8:36.0,,,56-62,,Defensive rebound by P. Tucker
8:36.0,Personal foul by B. Beal,,56-62,,
8:17.0,,,56-64,2,A. Len makes 2-pt shot from 15 ft (assist by R. Price)
8:03.0,Shooting foul by D. Booker (drawn by B. Beal),,56-64,,
8:03.0,B. Beal makes free throw 1 of 2,1,57-64,,
8:03.0,B. Beal makes free throw 2 of 2,1,58-64,,
7:49.0,,,58-64,,A. Len misses 2-pt shot from 19 ft
7:46.0,,,58-64,,Offensive rebound by P. Tucker
7:45.0,,,58-66,2,P. Tucker makes 2-pt shot from 16 ft
7:26.0,B. Beal misses 2-pt shot from 2 ft,,58-66,,
7:26.0,,,58-66,,Defensive rebound by Team
7:07.0,,,58-66,,A. Len misses 2-pt shot from 10 ft
7:04.0,Defensive rebound by O. Porter,,58-66,,
6:48.0,M. Gortat makes 2-pt shot from 14 ft (assist by M. Morris),2,60-66,,
6:34.0,,,60-66,,T. Chandler misses 2-pt shot from 4 ft
6:31.0,Defensive rebound by M. Gortat,,60-66,,
6:26.0,M. Morris makes 3-pt shot from 25 ft (assist by J. Wall),3,63-66,,
6:25.0,,,63-66,,Phoenix full timeout
6:18.0,,,63-66,,D. Booker misses 2-pt shot from 20 ft
6:12.0,,,63-66,,Offensive rebound by T. Chandler
6:12.0,,,63-68,2,T. Chandler makes 2-pt shot from 1 ft
5:57.0,M. Morris makes 2-pt shot from 16 ft,2,65-68,,
5:32.0,,,65-68,,A. Len misses 2-pt shot from 15 ft
5:31.0,Defensive rebound by M. Morris,,65-68,,
5:21.0,M. Morris misses 3-pt shot from 25 ft,,65-68,,
5:19.0,,,65-68,,Defensive rebound by A. Len
5:03.0,,,65-68,,P. Tucker misses 2-pt shot from 15 ft
5:00.0,Defensive rebound by M. Morris,,65-68,,
4:51.0,M. Gortat misses 2-pt shot from 3 ft,,65-68,,
4:45.0,,,65-68,,Defensive rebound by A. Len
4:42.0,,,65-68,,P. Tucker misses 2-pt shot from 2 ft (block by M. Gortat)
4:40.0,,,65-68,,Offensive rebound by P. Tucker
4:38.0,,,65-68,,P. Tucker misses 2-pt shot from 1 ft
4:35.0,,,65-68,,Offensive rebound by T. Chandler
4:35.0,,,65-68,,T. Chandler misses 2-pt shot from 1 ft
4:33.0,,,65-68,,Offensive rebound by T. Chandler
4:33.0,,,65-70,2,T. Chandler makes 2-pt shot from 2 ft
4:31.0,Turnover by J. Wall (bad pass),,65-70,,
4:21.0,,,65-70,,Turnover by A. Len (bad pass)
4:02.0,J. Wall misses 2-pt shot from 16 ft,,65-70,,
4:02.0,Offensive rebound by Team,,65-70,,
4:02.0,,,65-70,,Loose ball foul by A. Len
4:02.0,,,65-70,,M. Teletovic enters the game for A. Len
3:53.0,M. Gortat makes 2-pt shot from 1 ft (assist by B. Beal),2,67-70,,
3:38.0,,,67-70,,D. Booker misses 3-pt shot from 25 ft
3:36.0,Defensive rebound by M. Gortat,,67-70,,
3:26.0,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall),3,70-70,,
3:12.0,Personal block foul by B. Beal,,70-70,,
3:12.0,G. Temple enters the game for B. Beal,,70-70,,
3:07.0,,,70-73,3,M. Teletovic makes 3-pt shot from 24 ft (assist by R. Price)
2:43.0,O. Porter makes 3-pt shot from 22 ft (assist by J. Wall),3,73-73,,
2:32.0,,,73-73,,P. Tucker misses 2-pt shot from 2 ft (block by M. Morris)
2:30.0,Defensive rebound by J. Wall,,73-73,,
2:21.0,Turnover by O. Porter (lost ball),,73-73,,
2:21.0,Washington full timeout,,73-73,,
2:09.0,,,73-73,,R. Price misses 3-pt shot from 25 ft
2:09.0,,,73-73,,Offensive rebound by Team
2:09.0,,,73-73,,J. Jenkins enters the game for R. Price
2:04.0,,,73-73,,D. Booker misses 2-pt shot from 13 ft
2:04.0,,,73-73,,Offensive rebound by Team
2:00.0,,,73-73,,T. Chandler misses 2-pt shot from 16 ft
1:59.0,Defensive rebound by J. Wall,,73-73,,
1:51.0,Shooting foul by D. Booker (drawn by O. Porter),,73-73,,
1:51.0,O. Porter makes free throw 1 of 2,1,74-73,,
1:51.0,N. Hilario enters the game for M. Gortat,,74-73,,
1:51.0,O. Porter makes free throw 2 of 2,1,75-73,,
1:39.0,Personal foul by G. Temple,,75-73,,
1:39.0,,,75-74,1,M. Teletovic makes free throw 1 of 2
1:39.0,,,75-75,1,M. Teletovic makes free throw 2 of 2
1:25.0,M. Morris makes 2-pt shot from 11 ft (assist by N. Hilario),2,77-75,,
1:03.0,Violation by N. Hilario (kicked ball),,77-75,,
0:59.0,,,77-75,,P. Tucker misses 3-pt shot from 23 ft
0:57.0,Defensive rebound by J. Wall,,77-75,,
0:52.0,J. Wall misses 2-pt shot from 17 ft,,77-75,,
0:48.0,,,77-75,,Defensive rebound by M. Teletovic
0:41.0,Personal foul by N. Hilario,,77-75,,
0:41.0,,,77-76,1,M. Teletovic makes free throw 1 of 2
0:41.0,,,77-76,,A. Williams enters the game for T. Chandler
0:41.0,,,77-77,1,M. Teletovic makes free throw 2 of 2
0:30.0,O. Porter misses 3-pt shot from 23 ft,,77-77,,
0:29.0,,,77-77,,Defensive rebound by M. Teletovic
0:09.0,,,77-79,2,D. Booker makes 2-pt shot from 2 ft
0:00.0,G. Temple misses 3-pt shot from 23 ft,,77-79,,
0:00.0,Offensive rebound by Team,,77-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Turnover by G. Temple (lost ball; steal by J. Jenkins),,77-79,,
11:26.0,,,77-79,,C. Budinger misses 3-pt shot from 23 ft
11:24.0,Defensive rebound by J. Wall,,77-79,,
11:22.0,Turnover by J. Wall (lost ball; steal by J. Jenkins),,77-79,,
11:18.0,,,77-79,,Shooting foul by N. Hilario (drawn by C. Budinger)
11:18.0,,,77-80,1,C. Budinger makes free throw 1 of 2
11:18.0,,,77-80,,C. Budinger misses free throw 2 of 2
11:16.0,Defensive rebound by G. Temple,,77-80,,
10:58.0,N. Hilario makes 2-pt shot from 6 ft,2,79-80,,
10:41.0,,,79-82,2,J. Jenkins makes 2-pt shot from 18 ft
10:21.0,N. Hilario misses 2-pt shot from 18 ft,,79-82,,
10:19.0,,,79-82,,Defensive rebound by C. Budinger
10:12.0,Violation by G. Temple (kicked ball),,79-82,,
10:12.0,R. Sessions enters the game for G. Temple,,79-82,,
10:04.0,,,79-82,,A. Len misses 2-pt shot from 2 ft
10:02.0,Defensive rebound by N. Hilario,,79-82,,
9:53.0,B. Beal makes 2-pt shot from 1 ft,2,81-82,,
9:37.0,Personal foul by J. Dudley,,81-82,,
9:31.0,,,81-82,,M. Teletovic misses 3-pt shot from 24 ft
9:29.0,Defensive rebound by B. Beal,,81-82,,
9:24.0,B. Beal misses 2-pt shot at rim,,81-82,,
9:21.0,,,81-82,,Defensive rebound by A. Len
9:17.0,,,81-84,2,C. Budinger makes 2-pt shot from 1 ft (assist by J. Jenkins)
9:05.0,,,81-84,,Violation by C. Budinger (kicked ball)
8:57.0,J. Wall makes 2-pt shot from 18 ft,2,83-84,,
8:46.0,,,83-86,2,A. Goodwin makes 2-pt shot from 1 ft
8:44.0,,,83-86,,Technical foul by A. Len
8:44.0,Technical foul by N. Hilario,,83-86,,
8:44.0,Official timeout,,83-86,,
8:26.0,N. Hilario makes 2-pt shot from 2 ft (assist by J. Wall),2,85-86,,
8:13.0,,,85-86,,Offensive charge foul by A. Goodwin
8:13.0,,,85-86,,Turnover by A. Goodwin (offensive foul)
7:56.0,R. Sessions makes 2-pt shot from 14 ft,2,87-86,,
7:38.0,,,87-86,,Turnover by C. Budinger (bad pass)
7:20.0,B. Beal makes 2-pt shot from 1 ft,2,89-86,,
7:20.0,,,89-86,,Phoenix full timeout
7:20.0,,,89-86,,D. Booker enters the game for M. Teletovic
7:20.0,,,89-86,,R. Price enters the game for J. Jenkins
7:20.0,,,89-86,,T. Chandler enters the game for C. Budinger
7:20.0,,,89-86,,P. Tucker enters the game for A. Goodwin
7:07.0,,,89-86,,Turnover by D. Booker (lost ball; steal by J. Dudley)
7:00.0,J. Wall makes 2-pt shot from 17 ft,2,91-86,,
6:47.0,,,91-86,,D. Booker misses 2-pt shot from 11 ft
6:45.0,,,91-86,,Offensive rebound by T. Chandler
6:45.0,,,91-86,,A. Len misses 2-pt shot from 1 ft
6:42.0,Defensive rebound by N. Hilario,,91-86,,
6:37.0,Turnover by N. Hilario (offensive foul),,91-86,,
6:37.0,Offensive foul by N. Hilario,,91-86,,
6:19.0,,,91-86,,Turnover by P. Tucker (lost ball; steal by J. Wall)
6:14.0,B. Beal misses 3-pt shot from 23 ft,,91-86,,
6:13.0,,,91-86,,Defensive rebound by D. Booker
6:13.0,Loose ball foul by J. Dudley,,91-86,,
5:52.0,,,91-86,,Turnover by A. Len (lost ball; steal by J. Wall)
5:47.0,Turnover by J. Wall (lost ball),,91-86,,
5:33.0,,,91-86,,M. Teletovic enters the game for A. Len
5:33.0,O. Porter enters the game for B. Beal,,91-86,,
5:32.0,,,91-86,,Shooting foul by J. Wall (drawn by M. Teletovic)
5:32.0,,,91-87,1,M. Teletovic makes free throw 1 of 2
5:32.0,M. Morris enters the game for J. Dudley,,91-87,,
5:32.0,,,91-87,,M. Teletovic misses free throw 2 of 2
5:30.0,Defensive rebound by N. Hilario,,91-87,,
5:25.0,,,91-87,,Personal foul by R. Price
5:25.0,M. Gortat enters the game for N. Hilario,,91-87,,
5:17.0,R. Sessions makes 3-pt shot from 24 ft (assist by O. Porter),3,94-87,,
5:03.0,,,94-87,,Turnover by T. Chandler (bad pass)
4:51.0,R. Sessions makes 2-pt shot from 7 ft (assist by J. Wall),2,96-87,,
4:44.0,Personal foul by J. Wall,,96-87,,
4:44.0,,,96-88,1,D. Booker makes free throw 1 of 2
4:44.0,,,96-88,,D. Booker misses free throw 2 of 2
4:42.0,Defensive rebound by M. Morris,,96-88,,
4:25.0,J. Wall misses 2-pt shot from 18 ft,,96-88,,
4:22.0,,,96-88,,Defensive rebound by P. Tucker
4:13.0,,,96-88,,D. Booker misses 2-pt shot from 6 ft (block by M. Morris)
4:11.0,,,96-88,,Offensive rebound by D. Booker
