time,LA Clippers,pts.away,score,pts.home,Denver
8:26.0,J. Crawford misses 3-pt shot from 24 ft,,32-31,,
8:25.0,,,32-31,,Defensive rebound by J. Hickson
8:17.0,,,32-31,,R. Foye misses 2-pt shot from 1 ft
8:16.0,,,32-31,,Offensive rebound by J. Hickson
8:16.0,,,32-31,,J. Hickson misses 2-pt shot from 1 ft
8:15.0,Defensive rebound by A. Rivers,,32-31,,
8:04.0,J. Crawford misses 3-pt shot from 25 ft,,32-31,,
8:03.0,Offensive rebound by L. Stephenson,,32-31,,
7:57.0,A. Rivers misses 2-pt shot from 1 ft,,32-31,,
7:56.0,Offensive rebound by J. Smith,,32-31,,
7:54.0,J. Smith misses 2-pt shot from 4 ft,,32-31,,
7:54.0,Offensive rebound by J. Smith,,32-31,,
7:54.0,J. Smith misses 2-pt shot from 4 ft,,32-31,,
7:54.0,Offensive rebound by J. Smith,,32-31,,
7:54.0,Shooting foul by J. Hickson (drawn by J. Smith),,32-31,,
7:54.0,J. Smith makes free throw 1 of 2,1,33-31,,
7:54.0,J. Smith misses free throw 2 of 2,,33-31,,
7:54.0,,,33-31,,Defensive rebound by J. Hickson
7:40.0,,,33-31,,J. Nelson misses 2-pt shot from 6 ft
7:39.0,Defensive rebound by L. Stephenson,,33-31,,
7:23.0,J. Smith makes 2-pt shot from 2 ft,2,35-31,,
7:12.0,,,35-33,2,J. Nelson makes 2-pt shot from 22 ft
6:59.0,J. Smith makes 2-pt shot at rim (assist by J. Crawford),2,37-33,,
6:46.0,,,37-36,3,M. Miller makes 3-pt shot from 27 ft (assist by J. Nelson)
6:31.0,A. Rivers makes 2-pt shot from 20 ft (assist by J. Smith),2,39-36,,
6:10.0,,,39-36,,R. Foye misses 3-pt shot from 25 ft
6:09.0,Defensive rebound by J. Smith,,39-36,,
5:48.0,Turnover by P. Pierce (lost ball),,39-36,,
5:48.0,,,39-36,,Denver full timeout
5:48.0,C. Paul enters the game for J. Smith,,39-36,,
5:48.0,J. Redick enters the game for P. Pierce,,39-36,,
5:48.0,D. Jordan enters the game for J. Crawford,,39-36,,
5:48.0,B. Griffin enters the game for A. Rivers,,39-36,,
5:48.0,W. Johnson enters the game for L. Stephenson,,39-36,,
5:48.0,,,39-36,,D. Gallinari enters the game for J. Hickson
5:48.0,,,39-36,,G. Harris enters the game for W. Barton
5:48.0,,,39-36,,N. Jokic enters the game for R. Foye
5:31.0,,,39-36,,N. Jokic misses 2-pt shot from 4 ft (block by W. Johnson)
5:30.0,Defensive rebound by B. Griffin,,39-36,,
5:26.0,Shooting foul by M. Miller (drawn by D. Jordan),,39-36,,
5:26.0,D. Jordan makes free throw 1 of 2,1,40-36,,
5:26.0,,,40-36,,D. Arthur enters the game for M. Miller
5:26.0,,,40-36,,E. Mudiay enters the game for J. Nelson
5:26.0,D. Jordan misses free throw 2 of 2,,40-36,,
5:23.0,,,40-36,,Defensive rebound by N. Jokic
5:06.0,,,40-36,,Shooting foul by W. Johnson (drawn by D. Gallinari)
5:06.0,,,40-37,1,D. Gallinari makes free throw 1 of 2
5:06.0,,,40-38,1,D. Gallinari makes free throw 2 of 2
4:51.0,J. Redick misses 2-pt shot from 17 ft,,40-38,,
4:50.0,,,40-38,,Defensive rebound by D. Gallinari
