time,Detroit,pts.away,score,pts.home,Cleveland
6:50.0,,,11-11,,K. Love misses 3-pt shot from 25 ft
6:50.0,,,11-11,,Offensive rebound by K. Irving
6:46.0,,,11-11,,Turnover by K. Love (lost ball; steal by T. Harris)
6:37.0,K. Caldwell-Pope makes 2-pt shot from 20 ft (assist by M. Morris),2,13-11,,
6:37.0,,,13-11,,Cleveland full timeout
6:25.0,,,13-11,,L. James misses 2-pt shot from 8 ft
6:24.0,,,13-11,,Offensive rebound by T. Thompson
5:59.0,,,13-11,,K. Irving misses 2-pt shot from 17 ft
5:58.0,Defensive rebound by T. Harris,,13-11,,
5:43.0,,,13-11,,Violation by J. Smith (kicked ball)
5:32.0,K. Caldwell-Pope makes 3-pt shot from 27 ft (assist by R. Jackson),3,16-11,,
5:06.0,,,16-11,,J. Smith misses 3-pt shot from 27 ft
5:05.0,Defensive rebound by K. Caldwell-Pope,,16-11,,
4:56.0,K. Caldwell-Pope makes 2-pt shot from 9 ft,2,18-11,,
4:38.0,,,18-14,3,K. Irving makes 3-pt shot from 24 ft (assist by L. James)
4:11.0,M. Morris misses 3-pt shot from 25 ft,,18-14,,
4:10.0,,,18-14,,Defensive rebound by K. Irving
4:01.0,,,18-16,2,L. James makes 2-pt shot at rim (assist by K. Irving)
3:41.0,R. Jackson makes 2-pt shot from 1 ft,2,20-16,,
3:21.0,Personal foul by T. Harris,,20-16,,
3:21.0,,,20-16,,M. Dellavedova enters the game for K. Irving
3:21.0,S. Johnson enters the game for T. Harris,,20-16,,
3:08.0,,,20-18,2,M. Dellavedova makes 2-pt shot from 7 ft (assist by L. James)
2:42.0,M. Morris misses 2-pt shot from 13 ft,,20-18,,
2:42.0,,,20-18,,Defensive rebound by T. Thompson
2:28.0,Personal foul by R. Jackson,,20-18,,
2:28.0,Detroit full timeout,,20-18,,
2:28.0,S. Blake enters the game for R. Jackson,,20-18,,
2:28.0,,,20-18,,I. Shumpert enters the game for K. Love
2:18.0,,,20-21,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
2:01.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,20-21,,
2:01.0,,,20-21,,Defensive rebound by J. Smith
1:45.0,,,20-21,,L. James misses 2-pt shot from 8 ft
1:43.0,Defensive rebound by S. Johnson,,20-21,,
1:37.0,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by S. Blake),3,23-21,,
1:23.0,Personal foul by S. Johnson,,23-21,,
1:23.0,,,23-21,,R. Jefferson enters the game for J. Smith
1:15.0,,,23-23,2,M. Dellavedova makes 2-pt shot from 8 ft
1:02.0,,,23-23,,Personal foul by R. Jefferson
1:02.0,,,23-23,,K. Irving enters the game for L. James
0:47.0,K. Caldwell-Pope misses 3-pt shot from 27 ft,,23-23,,
0:46.0,,,23-23,,Defensive rebound by I. Shumpert
0:36.0,,,23-25,2,K. Irving makes 2-pt shot from 18 ft (assist by T. Thompson)
0:27.0,,,23-25,,Personal foul by R. Jefferson
0:27.0,M. Morris makes free throw 1 of 2,1,24-25,,
0:27.0,M. Morris makes free throw 2 of 2,1,25-25,,
0:02.0,,,25-25,,K. Irving misses 2-pt shot from 1 ft
0:02.0,,,25-25,,Offensive rebound by Team
0:02.0,,,25-25,,L. James enters the game for R. Jefferson
0:02.0,,,25-25,,J. Smith enters the game for I. Shumpert
0:00.0,,,25-27,2,L. James makes 2-pt shot from 1 ft (assist by K. Irving)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,25-27,,K. Irving misses 2-pt shot from 10 ft
11:42.0,Defensive rebound by T. Harris,,25-27,,
11:30.0,T. Harris misses 3-pt shot from 26 ft,,25-27,,
11:29.0,,,25-27,,Defensive rebound by K. Irving
11:11.0,,,25-27,,I. Shumpert misses 3-pt shot from 24 ft
11:11.0,,,25-27,,Offensive rebound by K. Irving
11:07.0,,,25-27,,M. Dellavedova misses 3-pt shot from 24 ft
11:07.0,Defensive rebound by S. Johnson,,25-27,,
10:58.0,R. Bullock makes 2-pt shot from 22 ft (assist by S. Blake),2,27-27,,
10:42.0,,,27-30,3,K. Irving makes 3-pt shot from 28 ft
10:18.0,S. Johnson makes 3-pt shot from 25 ft (assist by R. Bullock),3,30-30,,
10:03.0,,,30-30,,K. Irving misses 2-pt shot from 15 ft
10:02.0,Defensive rebound by S. Johnson,,30-30,,
9:59.0,A. Baynes makes 2-pt shot from 1 ft (assist by S. Blake),2,32-30,,
9:59.0,Shooting foul by T. Mozgov (drawn by A. Baynes),,32-30,,
9:59.0,A. Baynes makes free throw 1 of 1,1,33-30,,
9:39.0,,,33-30,,R. Jefferson misses 2-pt shot from 2 ft
9:38.0,Defensive rebound by T. Harris,,33-30,,
9:35.0,Turnover by S. Blake (bad pass),,33-30,,
9:21.0,,,33-32,2,K. Irving makes 2-pt shot from 1 ft
9:21.0,,,33-32,,Shooting foul by S. Blake (drawn by K. Irving)
9:21.0,,,33-33,1,K. Irving makes free throw 1 of 1
9:09.0,T. Harris misses 2-pt shot from 3 ft (block by T. Mozgov),,33-33,,
9:09.0,,,33-33,,Defensive rebound by Team
8:51.0,,,33-33,,K. Irving misses 2-pt shot from 7 ft
8:51.0,Defensive rebound by S. Johnson,,33-33,,
8:32.0,R. Bullock makes 3-pt shot from 23 ft (assist by S. Blake),3,36-33,,
8:13.0,,,36-33,,T. Mozgov misses 2-pt shot from 15 ft
8:13.0,Defensive rebound by S. Blake,,36-33,,
8:02.0,S. Johnson makes 3-pt shot from 24 ft (assist by S. Blake),3,39-33,,
8:02.0,,,39-33,,Cleveland full timeout
8:02.0,,,39-33,,K. Love enters the game for I. Shumpert
8:02.0,,,39-33,,L. James enters the game for R. Jefferson
7:37.0,,,39-33,,L. James misses 3-pt shot from 30 ft
7:36.0,,,39-33,,Offensive rebound by Team
7:26.0,,,39-35,2,K. Love makes 2-pt shot from 14 ft
7:26.0,,,39-35,,Shooting foul by R. Bullock (drawn by K. Love)
7:26.0,,,39-35,,J. Smith enters the game for M. Dellavedova
7:26.0,M. Morris enters the game for S. Johnson,,39-35,,
7:26.0,R. Jackson enters the game for S. Blake,,39-35,,
7:26.0,,,39-35,,T. Thompson enters the game for T. Mozgov
7:26.0,,,39-36,1,K. Love makes free throw 1 of 1
7:07.0,M. Morris misses 2-pt shot from 16 ft,,39-36,,
7:06.0,,,39-36,,Defensive rebound by L. James
6:48.0,,,39-36,,K. Love misses 2-pt shot from 3 ft
6:47.0,,,39-36,,Offensive rebound by K. Love
6:47.0,,,39-38,2,K. Love makes 2-pt shot from 3 ft
6:24.0,Turnover by T. Harris (lost ball; steal by L. James),,39-38,,
6:17.0,,,39-41,3,K. Irving makes 3-pt shot from 26 ft (assist by J. Smith)
6:07.0,Detroit full timeout,,39-41,,
6:07.0,A. Drummond enters the game for R. Bullock,,39-41,,
6:07.0,K. Caldwell-Pope enters the game for A. Baynes,,39-41,,
5:55.0,M. Morris makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope),3,42-41,,
5:44.0,,,42-41,,Shooting foul by R. Jackson (drawn by K. Love)
5:44.0,,,42-42,1,K. Love makes free throw 1 of 2
5:44.0,,,42-43,1,K. Love makes free throw 2 of 2
5:22.0,A. Drummond makes 2-pt shot from 7 ft,2,44-43,,
4:57.0,,,44-43,,K. Love misses 2-pt shot at rim
4:57.0,,,44-43,,Offensive rebound by Team
4:57.0,Loose ball foul by A. Drummond,,44-43,,
4:51.0,,,44-43,,K. Love misses 2-pt shot from 3 ft (block by T. Harris)
4:49.0,,,44-43,,Offensive rebound by K. Love
4:47.0,,,44-45,2,K. Love makes 2-pt shot from 3 ft
4:37.0,,,44-45,,Personal foul by T. Thompson
4:37.0,,,44-45,,M. Dellavedova enters the game for K. Irving
4:27.0,M. Morris makes 3-pt shot from 25 ft,3,47-45,,
4:03.0,,,47-47,2,L. James makes 2-pt shot from 1 ft (assist by M. Dellavedova)
3:52.0,,,47-47,,Personal foul by M. Dellavedova
3:39.0,R. Jackson misses 3-pt shot from 27 ft,,47-47,,
3:38.0,Offensive rebound by A. Drummond,,47-47,,
3:35.0,A. Drummond misses 2-pt shot from 1 ft,,47-47,,
3:32.0,,,47-47,,Defensive rebound by K. Love
3:23.0,,,47-47,,L. James misses 2-pt shot from 2 ft
3:21.0,Defensive rebound by T. Harris,,47-47,,
3:12.0,A. Drummond misses 2-pt shot from 11 ft,,47-47,,
3:10.0,,,47-47,,Defensive rebound by K. Love
3:04.0,,,47-47,,K. Love misses 3-pt shot from 23 ft
3:04.0,,,47-47,,Offensive rebound by T. Thompson
2:53.0,,,47-47,,L. James misses 2-pt shot from 1 ft
2:52.0,Defensive rebound by A. Drummond,,47-47,,
2:44.0,M. Morris makes 3-pt shot from 24 ft (assist by R. Jackson),3,50-47,,
2:16.0,,,50-50,3,K. Love makes 3-pt shot from 26 ft (assist by L. James)
2:00.0,,,50-50,,Personal foul by M. Dellavedova
2:00.0,Official timeout,,50-50,,
2:00.0,S. Blake enters the game for R. Jackson,,50-50,,
2:00.0,,,50-50,,K. Irving enters the game for T. Thompson
2:00.0,,,50-50,,I. Shumpert enters the game for M. Dellavedova
2:00.0,,,50-50,,Inbound foul by L. James
2:00.0,M. Morris makes free throw 1 of 2,1,51-50,,
2:00.0,M. Morris makes free throw 2 of 2,1,52-50,,
1:49.0,,,52-52,2,J. Smith makes 2-pt shot from 1 ft (assist by L. James)
1:40.0,,,52-52,,Personal foul by K. Irving
1:40.0,S. Blake misses free throw 1 of 2,,52-52,,
1:40.0,Offensive rebound by Team,,52-52,,
1:40.0,S. Blake makes free throw 2 of 2,1,53-52,,
1:21.0,,,53-52,,K. Love misses 2-pt shot from 18 ft
1:21.0,,,53-52,,Offensive rebound by I. Shumpert
1:12.0,Personal foul by M. Morris,,53-52,,
1:12.0,,,53-53,1,K. Love makes free throw 1 of 2
1:12.0,,,53-53,,K. Love misses free throw 2 of 2
1:11.0,Defensive rebound by S. Blake,,53-53,,
0:55.0,T. Harris makes 2-pt shot from 1 ft (assist by M. Morris),2,55-53,,
0:49.0,,,55-53,,Cleveland full timeout
0:41.0,,,55-53,,K. Love misses 2-pt shot from 22 ft
0:40.0,Defensive rebound by A. Drummond,,55-53,,
0:30.0,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by M. Morris),3,58-53,,
0:07.0,,,58-53,,J. Smith misses 3-pt shot from 23 ft
0:06.0,,,58-53,,Offensive rebound by Team
0:06.0,,,58-53,,Turnover by Team (shot clock)
0:01.0,Turnover by S. Blake (lost ball; steal by K. Irving),,58-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,58-56,3,K. Irving makes 3-pt shot from 25 ft (assist by L. James)
11:25.0,A. Drummond misses 2-pt shot from 11 ft,,58-56,,
11:23.0,,,58-56,,Defensive rebound by K. Love
11:16.0,,,58-58,2,K. Irving makes 2-pt shot from 14 ft
11:03.0,Turnover by T. Harris (lost ball; steal by L. James),,58-58,,
10:56.0,,,58-61,3,K. Irving makes 3-pt shot from 23 ft (assist by L. James)
10:43.0,,,58-61,,Personal foul by J. Smith
10:27.0,T. Harris makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope),3,61-61,,
10:09.0,,,61-61,,Turnover by K. Irving (lost ball; steal by M. Morris)
9:57.0,M. Morris misses 3-pt shot from 23 ft,,61-61,,
9:56.0,,,61-61,,Defensive rebound by K. Love
9:32.0,,,61-61,,J. Smith misses 3-pt shot from 29 ft
9:32.0,,,61-61,,Offensive rebound by K. Love
9:26.0,,,61-63,2,K. Love makes 2-pt shot from 5 ft
9:11.0,R. Jackson makes 2-pt shot from 14 ft,2,63-63,,
9:11.0,Loose ball foul by A. Drummond,,63-63,,
8:58.0,,,63-65,2,L. James makes 2-pt shot from 19 ft (assist by J. Smith)
8:39.0,T. Harris misses 3-pt shot from 24 ft,,63-65,,
8:39.0,,,63-65,,Defensive rebound by T. Thompson
8:26.0,,,63-65,,K. Irving misses 3-pt shot from 24 ft
8:26.0,Defensive rebound by A. Drummond,,63-65,,
8:11.0,K. Caldwell-Pope misses 2-pt shot from 2 ft,,63-65,,
8:09.0,Offensive rebound by A. Drummond,,63-65,,
8:09.0,A. Drummond makes 2-pt shot at rim,2,65-65,,
7:41.0,,,65-65,,J. Smith misses 3-pt shot from 25 ft
7:40.0,Defensive rebound by T. Harris,,65-65,,
7:31.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,67-65,,
7:14.0,,,67-65,,L. James misses 3-pt shot from 25 ft
7:14.0,Defensive rebound by A. Drummond,,67-65,,
6:51.0,Turnover by Team (shot clock),,67-65,,
6:51.0,,,67-65,,Cleveland full timeout
6:38.0,,,67-67,2,K. Love makes 2-pt shot from 6 ft (assist by L. James)
6:23.0,M. Morris misses 2-pt shot from 15 ft,,67-67,,
6:22.0,,,67-67,,Defensive rebound by K. Love
6:03.0,,,67-69,2,K. Irving makes 2-pt shot from 10 ft
5:34.0,A. Drummond misses 2-pt shot from 7 ft,,67-69,,
5:33.0,,,67-69,,Defensive rebound by L. James
5:17.0,,,67-72,3,J. Smith makes 3-pt shot from 24 ft (assist by K. Irving)
5:01.0,A. Drummond makes 2-pt shot from 11 ft (assist by R. Jackson),2,69-72,,
4:47.0,Personal foul by M. Morris,,69-72,,
4:47.0,S. Johnson enters the game for T. Harris,,69-72,,
4:42.0,,,69-72,,J. Smith misses 2-pt shot from 20 ft
4:40.0,Defensive rebound by S. Johnson,,69-72,,
4:28.0,K. Caldwell-Pope makes 2-pt shot from 17 ft,2,71-72,,
3:59.0,,,71-72,,K. Irving misses 2-pt shot at rim
3:56.0,,,71-72,,Offensive rebound by T. Thompson
3:56.0,,,71-74,2,T. Thompson makes 2-pt shot at rim
3:37.0,S. Johnson makes 3-pt shot from 23 ft (assist by M. Morris),3,74-74,,
3:12.0,,,74-74,,K. Love misses 2-pt shot from 6 ft (block by A. Drummond)
3:09.0,Defensive rebound by A. Drummond,,74-74,,
3:04.0,S. Johnson misses 2-pt shot from 9 ft,,74-74,,
3:04.0,Offensive rebound by A. Drummond,,74-74,,
2:53.0,Turnover by R. Jackson (lost ball; steal by J. Smith),,74-74,,
2:45.0,,,74-74,,K. Irving misses 3-pt shot from 24 ft
2:43.0,Defensive rebound by K. Caldwell-Pope,,74-74,,
2:40.0,K. Caldwell-Pope misses 2-pt shot at rim,,74-74,,
2:40.0,,,74-74,,Defensive rebound by Team
2:40.0,Loose ball foul by S. Johnson,,74-74,,
2:40.0,Detroit full timeout,,74-74,,
2:40.0,S. Blake enters the game for R. Jackson,,74-74,,
2:40.0,,,74-74,,M. Dellavedova enters the game for K. Love
2:29.0,,,74-74,,M. Dellavedova misses 3-pt shot from 25 ft
2:28.0,Defensive rebound by A. Drummond,,74-74,,
2:15.0,A. Drummond makes 2-pt shot from 10 ft (assist by K. Caldwell-Pope),2,76-74,,
1:52.0,,,76-74,,L. James misses 3-pt shot from 23 ft
1:52.0,Defensive rebound by S. Johnson,,76-74,,
1:40.0,A. Drummond misses 2-pt shot from 11 ft,,76-74,,
1:39.0,,,76-74,,Defensive rebound by M. Dellavedova
1:21.0,,,76-74,,K. Irving misses 3-pt shot from 25 ft
1:21.0,Defensive rebound by S. Johnson,,76-74,,
1:15.0,Offensive foul by M. Morris,,76-74,,
1:15.0,Turnover by M. Morris (offensive foul),,76-74,,
1:15.0,,,76-74,,I. Shumpert enters the game for L. James
0:55.0,,,76-76,2,I. Shumpert makes 2-pt shot from 21 ft (assist by K. Irving)
0:38.0,,,76-76,,Personal foul by M. Dellavedova
0:35.0,,,76-76,,Personal foul by I. Shumpert
0:35.0,A. Drummond misses free throw 1 of 2,,76-76,,
0:35.0,Offensive rebound by Team,,76-76,,
0:35.0,A. Drummond makes free throw 2 of 2,1,77-76,,
0:28.0,,,77-76,,K. Irving misses 2-pt shot from 2 ft
0:28.0,Defensive rebound by Team,,77-76,,
0:28.0,,,77-76,,Loose ball foul by T. Thompson
0:28.0,K. Caldwell-Pope makes free throw 1 of 2,1,78-76,,
0:28.0,K. Caldwell-Pope misses free throw 2 of 2,,78-76,,
0:27.0,,,78-76,,Defensive rebound by M. Dellavedova
0:08.0,Personal foul by S. Blake,,78-76,,
0:02.0,,,78-76,,M. Dellavedova misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by A. Drummond,,78-76,,
0:00.0,A. Drummond misses 3-pt shot from 82 ft,,78-76,,
0:00.0,Offensive rebound by Team,,78-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,T. Harris makes 2-pt shot from 12 ft,2,80-76,,
11:11.0,,,80-76,,K. Love misses 2-pt shot from 11 ft
11:09.0,Defensive rebound by S. Johnson,,80-76,,
11:04.0,R. Bullock makes 3-pt shot from 26 ft (assist by S. Blake),3,83-76,,
11:04.0,,,83-76,,Cleveland full timeout
11:04.0,,,83-76,,L. James enters the game for T. Thompson
10:52.0,,,83-79,3,R. Jefferson makes 3-pt shot from 23 ft (assist by K. Love)
10:31.0,T. Harris misses 2-pt shot from 9 ft,,83-79,,
10:30.0,,,83-79,,Defensive rebound by L. James
10:06.0,,,83-81,2,M. Dellavedova makes 2-pt shot from 23 ft (assist by R. Jefferson)
9:46.0,Turnover by S. Blake (traveling),,83-81,,
9:32.0,Personal foul by S. Johnson,,83-81,,
9:23.0,,,83-81,,M. Dellavedova misses 2-pt shot from 3 ft
9:23.0,,,83-81,,Offensive rebound by L. James
9:23.0,,,83-83,2,L. James makes 2-pt shot from 1 ft
9:23.0,Detroit full timeout,,83-83,,
9:23.0,A. Drummond enters the game for S. Blake,,83-83,,
9:23.0,R. Jackson enters the game for A. Baynes,,83-83,,
9:05.0,R. Jackson misses 3-pt shot from 25 ft,,83-83,,
9:05.0,Offensive rebound by Team,,83-83,,
9:05.0,,,83-83,,Loose ball foul by K. Love
8:55.0,A. Drummond makes 2-pt shot from 8 ft (assist by R. Jackson),2,85-83,,
8:35.0,,,85-83,,Shooting foul by S. Johnson (drawn by M. Dellavedova)
8:35.0,,,85-83,,M. Dellavedova misses free throw 1 of 2
8:35.0,,,85-83,,Offensive rebound by Team
8:35.0,,,85-84,1,M. Dellavedova makes free throw 2 of 2
8:19.0,R. Jackson misses 2-pt shot from 1 ft (block by L. James),,85-84,,
8:17.0,,,85-84,,Defensive rebound by K. Love
8:15.0,,,85-84,,Shooting foul by R. Bullock (drawn by L. James)
8:15.0,,,85-85,1,L. James makes free throw 1 of 2
8:15.0,K. Caldwell-Pope enters the game for S. Johnson,,85-85,,
8:15.0,M. Morris enters the game for R. Bullock,,85-85,,
8:15.0,,,85-86,1,L. James makes free throw 2 of 2
7:52.0,T. Harris misses 2-pt shot from 10 ft (block by L. James),,85-86,,
7:50.0,,,85-86,,Defensive rebound by R. Jefferson
7:39.0,,,85-88,2,R. Jefferson makes 2-pt shot from 21 ft (assist by L. James)
7:15.0,M. Morris misses 2-pt shot from 19 ft,,85-88,,
7:14.0,,,85-88,,Defensive rebound by K. Love
7:06.0,,,85-88,,M. Dellavedova misses 3-pt shot from 25 ft
7:06.0,Defensive rebound by T. Harris,,85-88,,
6:47.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,85-88,,
6:45.0,,,85-88,,Defensive rebound by L. James
6:37.0,,,85-88,,R. Jefferson misses 3-pt shot from 25 ft
6:36.0,Defensive rebound by T. Harris,,85-88,,
6:29.0,R. Jackson makes 3-pt shot from 26 ft,3,88-88,,
6:28.0,,,88-88,,Cleveland full timeout
6:28.0,,,88-88,,K. Irving enters the game for M. Dellavedova
6:11.0,,,88-88,,Turnover by L. James (lost ball; steal by R. Jackson)
6:03.0,M. Morris misses 3-pt shot from 24 ft,,88-88,,
6:01.0,Offensive rebound by M. Morris,,88-88,,
5:51.0,A. Drummond misses 2-pt shot from 6 ft,,88-88,,
5:51.0,,,88-88,,Defensive rebound by K. Love
5:40.0,,,88-91,3,K. Love makes 3-pt shot from 25 ft (assist by K. Irving)
5:20.0,,,88-91,,J. Smith enters the game for R. Jefferson
5:16.0,R. Jackson makes 2-pt shot at rim (assist by M. Morris),2,90-91,,
4:48.0,,,90-94,3,K. Love makes 3-pt shot from 23 ft (assist by L. James)
4:32.0,Shooting foul by K. Irving (drawn by K. Caldwell-Pope),,90-94,,
4:32.0,K. Caldwell-Pope makes free throw 1 of 2,1,91-94,,
4:32.0,K. Caldwell-Pope makes free throw 2 of 2,1,92-94,,
4:17.0,,,92-94,,K. Irving misses 3-pt shot from 25 ft
4:16.0,,,92-94,,Offensive rebound by J. Smith
4:11.0,,,92-94,,Turnover by K. Love (lost ball; steal by T. Harris)
4:04.0,T. Harris misses 2-pt shot from 1 ft (block by K. Irving),,92-94,,
4:02.0,,,92-94,,Defensive rebound by I. Shumpert
4:00.0,,,92-94,,Shooting foul by K. Caldwell-Pope (drawn by L. James)
4:00.0,,,92-95,1,L. James makes free throw 1 of 2
4:00.0,,,92-96,1,L. James makes free throw 2 of 2
3:50.0,,,92-96,,Personal foul by L. James
3:38.0,,,92-96,,Personal foul by K. Love
3:24.0,R. Jackson misses 2-pt shot from 13 ft,,92-96,,
3:24.0,,,92-96,,Defensive rebound by K. Irving
3:24.0,Technical foul by R. Jackson,,92-96,,
3:24.0,,,92-97,1,K. Irving makes technical free throw
3:12.0,,,92-97,,K. Love misses 3-pt shot from 24 ft
3:12.0,,,92-97,,Offensive rebound by Team
2:58.0,,,92-97,,Shooting foul by A. Drummond (drawn by K. Irving)
2:58.0,,,92-97,,K. Irving misses free throw 1 of 2
2:58.0,,,92-97,,Offensive rebound by Team
2:58.0,A. Baynes enters the game for A. Drummond,,92-97,,
2:58.0,,,92-98,1,K. Irving makes free throw 2 of 2
2:50.0,R. Jackson makes 2-pt shot at rim,2,94-98,,
2:50.0,Shooting foul by I. Shumpert (drawn by R. Jackson),,94-98,,
2:50.0,R. Jackson makes free throw 1 of 1,1,95-98,,
2:35.0,,,95-100,2,K. Irving makes 2-pt shot from 1 ft
2:35.0,Detroit full timeout,,95-100,,
2:27.0,,,95-100,,Personal foul by L. James
2:27.0,M. Morris misses free throw 1 of 2,,95-100,,
2:27.0,Offensive rebound by Team,,95-100,,
2:27.0,M. Morris makes free throw 2 of 2,1,96-100,,
2:03.0,,,96-100,,K. Love misses 3-pt shot from 27 ft
2:01.0,Defensive rebound by R. Jackson,,96-100,,
1:43.0,M. Morris misses 3-pt shot from 24 ft,,96-100,,
1:42.0,,,96-100,,Defensive rebound by K. Love
1:24.0,,,96-102,2,L. James makes 2-pt shot from 5 ft
1:00.0,Turnover by Team (shot clock),,96-102,,
0:37.0,,,96-102,,L. James misses 2-pt shot from 13 ft
0:35.0,Defensive rebound by T. Harris,,96-102,,
0:35.0,Detroit full timeout,,96-102,,
0:35.0,,,96-102,,M. Dellavedova enters the game for K. Love
0:27.0,R. Jackson misses 2-pt shot from 1 ft,,96-102,,
0:25.0,,,96-102,,Defensive rebound by I. Shumpert
0:21.0,Personal foul by R. Jackson,,96-102,,
0:21.0,,,96-103,1,K. Irving makes free throw 1 of 2
0:21.0,,,96-104,1,K. Irving makes free throw 2 of 2
0:13.0,K. Caldwell-Pope misses 3-pt shot from 27 ft,,96-104,,
0:12.0,,,96-104,,Defensive rebound by J. Smith
0:12.0,Personal foul by M. Morris,,96-104,,
0:12.0,,,96-104,,J. Smith misses free throw 1 of 2
0:12.0,,,96-104,,Offensive rebound by Team
0:12.0,,,96-105,1,J. Smith makes free throw 2 of 2
0:12.0,Detroit full timeout,,96-105,,
0:06.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by T. Harris),3,99-105,,
0:06.0,Personal foul by K. Caldwell-Pope,,99-105,,
0:06.0,,,99-105,,K. Irving misses free throw 1 of 2
0:06.0,,,99-105,,Offensive rebound by Team
0:06.0,,,99-106,1,K. Irving makes free throw 2 of 2
0:00.0,R. Jackson makes 2-pt shot from 1 ft,2,101-106,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
