time,Milwaukee,pts.away,score,pts.home,Detroit
4:19.0,,,19-15,1,R. Jackson makes technical free throw
3:57.0,,,19-15,,M. Morris misses 2-pt shot from 13 ft
3:56.0,,,19-15,,Offensive rebound by A. Drummond
3:53.0,,,19-15,,A. Drummond misses 2-pt shot at rim
3:51.0,Defensive rebound by G. Antetokounmpo,,19-15,,
3:47.0,G. Antetokounmpo makes 2-pt shot at rim,2,21-15,,
3:28.0,,,21-15,,Turnover by M. Morris (lost ball; steal by K. Middleton)
3:16.0,J. Parker makes 3-pt shot from 23 ft (assist by K. Middleton),3,24-15,,
2:59.0,Personal foul by K. Middleton,,24-15,,
2:59.0,Milwaukee full timeout,,24-15,,
2:59.0,,,24-15,,S. Blake enters the game for M. Morris
2:59.0,,,24-15,,S. Johnson enters the game for R. Jackson
2:52.0,,,24-15,,Turnover by K. Caldwell-Pope (step out of bounds)
2:27.0,G. Antetokounmpo misses 2-pt shot from 8 ft,,24-15,,
2:26.0,,,24-15,,Defensive rebound by A. Drummond
2:15.0,,,24-15,,T. Harris misses 2-pt shot at rim
2:15.0,,,24-15,,Offensive rebound by A. Drummond
2:11.0,,,24-17,2,A. Drummond makes 2-pt shot at rim
1:59.0,G. Monroe makes 2-pt shot at rim (assist by J. Parker),2,26-17,,
1:41.0,,,26-17,,S. Johnson misses 3-pt shot from 25 ft
1:40.0,Defensive rebound by G. Antetokounmpo,,26-17,,
1:18.0,G. Monroe makes 2-pt shot at rim (assist by J. Parker),2,28-17,,
0:54.0,,,28-17,,S. Johnson misses 3-pt shot from 25 ft
0:51.0,Defensive rebound by J. Bayless,,28-17,,
0:45.0,J. Parker misses 2-pt shot from 22 ft,,28-17,,
0:44.0,,,28-17,,Defensive rebound by A. Drummond
0:29.0,D. Inglis enters the game for J. Parker,,28-17,,
0:29.0,T. Ennis enters the game for J. Bayless,,28-17,,
0:22.0,,,28-17,,A. Drummond misses 2-pt shot from 2 ft
0:22.0,Defensive rebound by G. Monroe,,28-17,,
0:03.0,K. Middleton makes 2-pt shot from 10 ft,2,30-17,,
0:01.0,,,30-17,,S. Blake misses 3-pt shot from 59 ft
0:00.0,,,30-17,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,Offensive charge foul by K. Middleton,,30-17,,
11:40.0,Turnover by K. Middleton (offensive foul),,30-17,,
11:19.0,Personal foul by M. Plumlee,,30-17,,
11:08.0,,,30-17,,A. Tolliver misses 3-pt shot from 25 ft
11:07.0,Defensive rebound by M. Plumlee,,30-17,,
11:01.0,Shooting foul by A. Tolliver (drawn by K. Middleton),,30-17,,
11:01.0,K. Middleton makes free throw 1 of 2,1,31-17,,
11:01.0,K. Middleton makes free throw 2 of 2,1,32-17,,
10:47.0,Personal foul by T. Ennis,,32-17,,
10:47.0,J. Cunningham enters the game for K. Middleton,,32-17,,
10:30.0,,,32-19,2,M. Morris makes 2-pt shot from 17 ft
10:12.0,M. Plumlee makes 2-pt shot from 5 ft (assist by T. Ennis),2,34-19,,
9:54.0,,,34-19,,A. Baynes misses 2-pt shot from 16 ft
9:52.0,Defensive rebound by D. Inglis,,34-19,,
9:51.0,,,34-19,,Personal foul by A. Tolliver
9:45.0,D. Inglis makes 2-pt shot at rim (assist by J. Henson),2,36-19,,
9:38.0,,,36-19,,Detroit full timeout
9:25.0,,,36-19,,A. Baynes misses 2-pt shot from 6 ft (block by J. Henson)
9:25.0,,,36-19,,Offensive rebound by Team
9:25.0,,,36-19,,Offensive foul by S. Johnson
9:25.0,,,36-19,,Turnover by S. Johnson (offensive foul)
9:11.0,Offensive foul by J. Henson,,36-19,,
9:11.0,Turnover by J. Henson (offensive foul),,36-19,,
8:52.0,,,36-22,3,A. Tolliver makes 3-pt shot from 25 ft (assist by S. Blake)
8:36.0,J. Cunningham misses 2-pt shot from 20 ft,,36-22,,
8:36.0,,,36-22,,Defensive rebound by M. Morris
8:24.0,,,36-22,,Turnover by A. Baynes (3 sec)
8:03.0,Offensive charge foul by J. Cunningham,,36-22,,
8:03.0,Turnover by J. Cunningham (offensive foul),,36-22,,
7:53.0,,,36-24,2,S. Blake makes 2-pt shot at rim
7:53.0,,,36-24,,Shooting foul by T. Ennis (drawn by S. Blake)
7:53.0,,,36-25,1,S. Blake makes free throw 1 of 1
7:39.0,T. Ennis misses 2-pt shot from 18 ft,,36-25,,
7:39.0,,,36-25,,Defensive rebound by A. Baynes
7:20.0,,,36-25,,S. Johnson misses 2-pt shot from 4 ft
7:20.0,Defensive rebound by M. Plumlee,,36-25,,
7:20.0,,,36-25,,Personal foul by S. Johnson
7:20.0,J. Bayless enters the game for T. Ennis,,36-25,,
7:08.0,J. Cunningham makes 2-pt shot at rim (assist by J. Henson),2,38-25,,
6:50.0,,,38-28,3,A. Tolliver makes 3-pt shot from 24 ft (assist by M. Morris)
6:34.0,Shooting foul by A. Tolliver (drawn by J. Henson),,38-28,,
6:34.0,J. Henson makes free throw 1 of 2,1,39-28,,
6:34.0,,,39-28,,K. Caldwell-Pope enters the game for S. Johnson
6:34.0,J. Henson misses free throw 2 of 2,,39-28,,
6:33.0,,,39-28,,Defensive rebound by A. Baynes
6:13.0,,,39-30,2,M. Morris makes 2-pt shot from 15 ft
6:01.0,D. Inglis misses 2-pt shot from 17 ft (block by M. Morris),,39-30,,
6:00.0,,,39-30,,Defensive rebound by A. Baynes
5:48.0,,,39-30,,A. Tolliver misses 3-pt shot from 26 ft
5:45.0,Defensive rebound by J. Cunningham,,39-30,,
5:44.0,Milwaukee full timeout,,39-30,,
5:44.0,,,39-30,,R. Jackson enters the game for S. Blake
5:44.0,,,39-30,,T. Harris enters the game for A. Tolliver
5:44.0,,,39-30,,A. Drummond enters the game for A. Baynes
5:44.0,J. Parker enters the game for D. Inglis,,39-30,,
5:44.0,G. Antetokounmpo enters the game for M. Plumlee,,39-30,,
5:31.0,J. Parker misses 2-pt shot from 13 ft,,39-30,,
5:30.0,,,39-30,,Defensive rebound by A. Drummond
5:23.0,,,39-33,3,M. Morris makes 3-pt shot from 23 ft (assist by T. Harris)
5:23.0,,,39-33,,Shooting foul by J. Parker (drawn by M. Morris)
5:23.0,,,39-34,1,M. Morris makes free throw 1 of 1
5:08.0,J. Bayless misses 2-pt shot from 15 ft,,39-34,,
5:08.0,,,39-34,,Defensive rebound by Team
5:08.0,G. Monroe enters the game for J. Henson,,39-34,,
4:56.0,,,39-34,,A. Drummond misses 2-pt shot from 1 ft (block by G. Monroe)
4:55.0,,,39-34,,Offensive rebound by Team
4:46.0,,,39-37,3,K. Caldwell-Pope makes 3-pt shot from 22 ft (assist by M. Morris)
4:24.0,Turnover by J. Bayless (traveling),,39-37,,
4:06.0,,,39-39,2,T. Harris makes 2-pt shot at rim (assist by R. Jackson)
3:36.0,G. Antetokounmpo makes 2-pt shot from 5 ft,2,41-39,,
3:23.0,,,41-39,,K. Caldwell-Pope misses 3-pt shot from 24 ft
3:22.0,Defensive rebound by G. Antetokounmpo,,41-39,,
3:13.0,J. Bayless makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,44-39,,
2:50.0,,,44-41,2,M. Morris makes 2-pt shot from 18 ft
2:31.0,J. Parker makes 2-pt shot from 6 ft,2,46-41,,
2:25.0,,,46-41,,Turnover by R. Jackson (lost ball; steal by G. Monroe)
2:16.0,J. Bayless misses 2-pt shot from 19 ft,,46-41,,
2:16.0,,,46-41,,Defensive rebound by R. Jackson
2:10.0,,,46-43,2,T. Harris makes 2-pt shot at rim (assist by R. Jackson)
2:10.0,Milwaukee full timeout,,46-43,,
2:10.0,Official timeout,,46-43,,
2:10.0,K. Middleton enters the game for J. Cunningham,,46-43,,
1:55.0,G. Monroe makes 2-pt shot from 16 ft (assist by K. Middleton),2,48-43,,
1:40.0,,,48-43,,A. Drummond misses 2-pt shot from 1 ft (block by G. Monroe)
1:39.0,,,48-43,,Offensive rebound by Team
1:28.0,,,48-43,,R. Jackson misses 3-pt shot from 24 ft
1:25.0,Defensive rebound by G. Monroe,,48-43,,
1:21.0,K. Middleton misses 3-pt shot from 26 ft,,48-43,,
1:20.0,,,48-43,,Defensive rebound by A. Drummond
1:15.0,,,48-45,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by R. Jackson)
0:59.0,Turnover by J. Parker (lost ball; steal by K. Caldwell-Pope),,48-45,,
0:37.0,,,48-45,,K. Caldwell-Pope misses 3-pt shot from 23 ft
0:37.0,Defensive rebound by J. Bayless,,48-45,,
0:25.0,G. Monroe misses 2-pt shot from 6 ft,,48-45,,
0:24.0,,,48-45,,Defensive rebound by T. Harris
0:07.0,,,48-45,,R. Jackson misses 3-pt shot from 26 ft
0:06.0,Defensive rebound by J. Parker,,48-45,,
0:01.0,Turnover by J. Parker (bad pass),,48-45,,
0:01.0,,,48-45,,K. Caldwell-Pope misses 3-pt shot from 34 ft
0:00.0,,,48-45,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,K. Middleton makes 2-pt shot from 17 ft,2,50-45,,
11:33.0,,,50-45,,A. Drummond misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
11:31.0,Defensive rebound by G. Monroe,,50-45,,
11:16.0,G. Antetokounmpo makes 2-pt shot from 6 ft (assist by J. Bayless),2,52-45,,
11:00.0,,,52-47,2,M. Morris makes 2-pt shot from 11 ft (assist by K. Caldwell-Pope)
10:34.0,G. Monroe makes 2-pt shot from 15 ft (assist by K. Middleton),2,54-47,,
10:08.0,,,54-49,2,A. Drummond makes 2-pt shot from 6 ft
9:57.0,,,54-49,,Personal foul by M. Morris
9:44.0,J. Bayless makes 2-pt shot from 6 ft (assist by G. Monroe),2,56-49,,
9:28.0,,,56-49,,Shooting foul by J. Parker (drawn by T. Harris)
9:28.0,,,56-50,1,T. Harris makes free throw 1 of 2
9:28.0,,,56-51,1,T. Harris makes free throw 2 of 2
9:15.0,G. Antetokounmpo makes 3-pt shot from 25 ft (assist by J. Bayless),3,59-51,,
8:59.0,Personal foul by J. Parker,,59-51,,
8:59.0,,,59-51,,K. Caldwell-Pope misses free throw 1 of 2
8:59.0,,,59-51,,Offensive rebound by Team
8:59.0,,,59-52,1,K. Caldwell-Pope makes free throw 2 of 2
8:44.0,G. Antetokounmpo misses 3-pt shot from 26 ft,,59-52,,
8:43.0,,,59-52,,Defensive rebound by A. Drummond
8:38.0,,,59-52,,K. Caldwell-Pope misses 2-pt shot from 5 ft
8:38.0,Defensive rebound by G. Monroe,,59-52,,
8:31.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,59-52,,
8:31.0,Offensive rebound by G. Antetokounmpo,,59-52,,
8:26.0,G. Antetokounmpo makes 2-pt shot at rim,2,61-52,,
8:14.0,,,61-52,,K. Caldwell-Pope misses 3-pt shot from 25 ft
8:13.0,Defensive rebound by J. Bayless,,61-52,,
8:01.0,J. Bayless misses 2-pt shot from 20 ft,,61-52,,
8:00.0,,,61-52,,Defensive rebound by T. Harris
7:51.0,,,61-52,,A. Baynes enters the game for A. Drummond
7:37.0,,,61-52,,R. Jackson misses 3-pt shot from 25 ft
7:37.0,Defensive rebound by K. Middleton,,61-52,,
7:29.0,G. Monroe misses 2-pt shot from 6 ft,,61-52,,
7:26.0,,,61-52,,Defensive rebound by R. Jackson
7:15.0,,,61-52,,T. Harris misses 2-pt shot from 15 ft
7:15.0,Defensive rebound by G. Antetokounmpo,,61-52,,
7:03.0,K. Middleton misses 2-pt shot from 16 ft,,61-52,,
7:03.0,,,61-52,,Defensive rebound by T. Harris
6:39.0,,,61-54,2,R. Jackson makes 2-pt shot from 19 ft
6:14.0,G. Monroe misses 2-pt shot from 5 ft,,61-54,,
6:13.0,,,61-54,,Defensive rebound by K. Caldwell-Pope
6:04.0,,,61-54,,K. Caldwell-Pope misses 3-pt shot from 23 ft
6:03.0,Defensive rebound by J. Parker,,61-54,,
5:42.0,K. Middleton makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,64-54,,
5:23.0,,,64-54,,T. Harris misses 3-pt shot from 22 ft
5:23.0,Defensive rebound by G. Monroe,,64-54,,
5:11.0,G. Monroe misses 2-pt shot from 3 ft (block by A. Baynes),,64-54,,
5:11.0,,,64-54,,Defensive rebound by Team
5:11.0,,,64-54,,Detroit full timeout
5:11.0,,,64-54,,A. Tolliver enters the game for T. Harris
5:03.0,Personal foul by K. Middleton,,64-54,,
4:47.0,,,64-56,2,A. Baynes makes 2-pt shot at rim (assist by M. Morris)
4:35.0,Turnover by K. Middleton (lost ball; steal by R. Jackson),,64-56,,
4:22.0,,,64-59,3,A. Tolliver makes 3-pt shot from 26 ft (assist by K. Caldwell-Pope)
4:01.0,K. Middleton makes 2-pt shot from 19 ft,2,66-59,,
3:37.0,,,66-59,,K. Caldwell-Pope misses 2-pt shot at rim
3:36.0,Defensive rebound by G. Monroe,,66-59,,
3:30.0,G. Antetokounmpo makes 2-pt shot at rim,2,68-59,,
3:05.0,,,68-59,,A. Tolliver misses 3-pt shot from 24 ft
3:05.0,Defensive rebound by G. Antetokounmpo,,68-59,,
2:59.0,G. Antetokounmpo makes 2-pt shot at rim,2,70-59,,
2:58.0,,,70-59,,Detroit full timeout
2:58.0,,,70-59,,S. Blake enters the game for R. Jackson
2:58.0,,,70-59,,S. Johnson enters the game for M. Morris
2:46.0,,,70-59,,A. Baynes misses 2-pt shot from 2 ft
2:45.0,Defensive rebound by J. Parker,,70-59,,
2:31.0,K. Middleton makes 2-pt shot from 9 ft,2,72-59,,
2:14.0,,,72-61,2,K. Caldwell-Pope makes 2-pt shot at rim
1:47.0,J. Parker misses 2-pt shot from 15 ft,,72-61,,
1:46.0,,,72-61,,Defensive rebound by A. Baynes
1:38.0,Personal foul by J. Parker,,72-61,,
1:38.0,T. Ennis enters the game for J. Bayless,,72-61,,
1:38.0,D. Inglis enters the game for J. Parker,,72-61,,
1:23.0,,,72-61,,K. Caldwell-Pope misses 2-pt shot from 1 ft
1:22.0,,,72-61,,Offensive rebound by K. Caldwell-Pope
1:19.0,,,72-63,2,K. Caldwell-Pope makes 2-pt shot from 1 ft
1:00.0,G. Antetokounmpo misses 3-pt shot from 25 ft,,72-63,,
0:59.0,,,72-63,,Defensive rebound by A. Baynes
0:53.0,,,72-63,,A. Tolliver misses 3-pt shot from 26 ft
0:52.0,Defensive rebound by T. Ennis,,72-63,,
0:35.0,Turnover by G. Monroe (lost ball; steal by S. Johnson),,72-63,,
0:27.0,,,72-63,,S. Johnson misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
0:26.0,Defensive rebound by D. Inglis,,72-63,,
0:08.0,K. Middleton makes 2-pt shot from 14 ft,2,74-63,,
0:01.0,,,74-65,2,A. Tolliver makes 2-pt shot at rim (assist by S. Blake)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,74-65,,Offensive foul by A. Tolliver
11:45.0,,,74-65,,Turnover by A. Tolliver (offensive foul)
11:32.0,D. Inglis misses 2-pt shot from 18 ft,,74-65,,
11:32.0,,,74-65,,Defensive rebound by Team
11:14.0,,,74-65,,T. Harris misses 2-pt shot from 15 ft
11:14.0,Defensive rebound by Team,,74-65,,
11:14.0,,,74-65,,A. Drummond enters the game for A. Baynes
11:02.0,Turnover by M. Plumlee (lost ball; steal by S. Johnson),,74-65,,
10:58.0,,,74-67,2,S. Johnson makes 2-pt shot at rim
10:47.0,T. Ennis misses 2-pt shot from 7 ft,,74-67,,
10:45.0,,,74-67,,Defensive rebound by A. Drummond
10:41.0,,,74-67,,Turnover by S. Johnson (lost ball; steal by J. Cunningham)
10:35.0,T. Ennis makes 2-pt shot at rim (assist by D. Inglis),2,76-67,,
10:19.0,,,76-67,,Offensive foul by S. Johnson
10:19.0,,,76-67,,Turnover by S. Johnson (offensive foul)
10:19.0,,,76-67,,Violation by Team (jump ball)
9:59.0,M. Plumlee misses 2-pt shot at rim,,76-67,,
9:59.0,,,76-67,,Defensive rebound by A. Tolliver
9:46.0,,,76-67,,T. Harris misses 2-pt shot from 1 ft
9:46.0,,,76-67,,Offensive rebound by A. Drummond
9:46.0,,,76-69,2,A. Drummond makes 2-pt shot at rim
9:46.0,,,76-69,,Shooting foul by J. Henson (drawn by A. Drummond)
9:46.0,,,76-69,,A. Drummond misses free throw 1 of 1
9:45.0,Defensive rebound by D. Inglis,,76-69,,
9:24.0,J. Cunningham misses 3-pt shot from 24 ft,,76-69,,
9:24.0,,,76-69,,Defensive rebound by A. Drummond
9:16.0,,,76-69,,Turnover by S. Johnson (lost ball; steal by T. Ennis)
9:09.0,T. Ennis misses 2-pt shot from 2 ft (block by A. Tolliver),,76-69,,
9:08.0,,,76-69,,Defensive rebound by A. Drummond
8:47.0,,,76-69,,S. Johnson misses 2-pt shot from 19 ft
8:46.0,Defensive rebound by J. Henson,,76-69,,
8:30.0,T. Ennis makes 2-pt shot at rim,2,78-69,,
8:14.0,,,78-69,,Shooting foul by M. Plumlee (drawn by S. Johnson)
8:14.0,Official timeout,,78-69,,
8:14.0,,,78-70,1,S. Johnson makes free throw 1 of 2
8:14.0,,,78-71,1,S. Johnson makes free throw 2 of 2
8:06.0,,,78-71,,Personal foul by S. Blake
7:54.0,Turnover by T. Ennis (lost ball; steal by A. Drummond),,78-71,,
7:40.0,,,78-71,,Offensive charge foul by S. Johnson
7:40.0,,,78-71,,Turnover by S. Johnson (offensive foul)
7:40.0,J. Bayless enters the game for T. Ennis,,78-71,,
7:40.0,,,78-71,,K. Caldwell-Pope enters the game for S. Johnson
7:19.0,Turnover by J. Cunningham (bad pass),,78-71,,
7:04.0,,,78-71,,A. Tolliver misses 3-pt shot from 25 ft
7:03.0,,,78-71,,Offensive rebound by T. Harris
7:02.0,,,78-71,,T. Harris misses 2-pt shot at rim
7:02.0,,,78-71,,Offensive rebound by T. Harris
7:02.0,,,78-73,2,T. Harris makes 2-pt shot at rim
7:02.0,,,78-73,,Shooting foul by D. Inglis (drawn by T. Harris)
7:02.0,J. Parker enters the game for D. Inglis,,78-73,,
7:02.0,G. Antetokounmpo enters the game for J. Cunningham,,78-73,,
7:02.0,,,78-73,,M. Morris enters the game for A. Tolliver
7:02.0,,,78-74,1,T. Harris makes free throw 1 of 1
6:44.0,M. Plumlee makes 2-pt shot from 7 ft (assist by J. Henson),2,80-74,,
6:22.0,,,80-74,,S. Blake misses 3-pt shot from 23 ft
6:21.0,,,80-74,,Offensive rebound by A. Drummond
6:18.0,,,80-76,2,A. Drummond makes 2-pt shot from 1 ft
6:01.0,J. Henson makes 2-pt shot from 6 ft (assist by J. Bayless),2,82-76,,
5:50.0,,,82-79,3,M. Morris makes 3-pt shot from 25 ft (assist by S. Blake)
5:23.0,J. Henson misses 2-pt shot from 17 ft,,82-79,,
5:22.0,Offensive rebound by J. Parker,,82-79,,
5:03.0,G. Antetokounmpo makes 2-pt shot from 9 ft,2,84-79,,
4:38.0,,,84-82,3,M. Morris makes 3-pt shot from 26 ft (assist by S. Blake)
4:38.0,Milwaukee full timeout,,84-82,,
4:38.0,,,84-82,,R. Jackson enters the game for S. Blake
4:33.0,K. Middleton enters the game for J. Henson,,84-82,,
4:33.0,G. Monroe enters the game for M. Plumlee,,84-82,,
4:19.0,Turnover by G. Monroe (lost ball; steal by M. Morris),,84-82,,
4:10.0,,,84-84,2,A. Drummond makes 2-pt shot at rim (assist by T. Harris)
3:44.0,G. Antetokounmpo misses 2-pt shot from 8 ft,,84-84,,
3:43.0,Offensive rebound by G. Monroe,,84-84,,
3:40.0,G. Monroe makes 2-pt shot at rim,2,86-84,,
3:25.0,,,86-84,,K. Caldwell-Pope misses 3-pt shot from 25 ft
3:24.0,Defensive rebound by G. Antetokounmpo,,86-84,,
3:05.0,K. Middleton misses 2-pt shot from 6 ft,,86-84,,
3:04.0,,,86-84,,Defensive rebound by T. Harris
2:53.0,,,86-84,,K. Caldwell-Pope misses 3-pt shot from 25 ft
2:52.0,Defensive rebound by G. Antetokounmpo,,86-84,,
2:36.0,K. Middleton makes 2-pt shot at rim (assist by J. Bayless),2,88-84,,
2:36.0,Shooting foul by T. Harris (drawn by K. Middleton),,88-84,,
2:36.0,,,88-84,,Detroit full timeout
2:36.0,K. Middleton makes free throw 1 of 1,1,89-84,,
2:26.0,Personal foul by K. Middleton,,89-84,,
2:10.0,,,89-84,,R. Jackson misses 3-pt shot from 25 ft
2:09.0,,,89-84,,Offensive rebound by K. Caldwell-Pope
1:58.0,Personal foul by G. Antetokounmpo,,89-84,,
1:58.0,,,89-84,,M. Morris misses free throw 1 of 2
1:58.0,,,89-84,,Offensive rebound by Team
1:58.0,,,89-84,,M. Morris misses free throw 2 of 2
1:56.0,Defensive rebound by G. Antetokounmpo,,89-84,,
1:45.0,,,89-84,,Personal foul by R. Jackson
1:30.0,K. Middleton misses 3-pt shot from 26 ft,,89-84,,
1:30.0,,,89-84,,Defensive rebound by R. Jackson
1:19.0,,,89-86,2,R. Jackson makes 2-pt shot from 1 ft
1:04.0,Offensive foul by K. Middleton,,89-86,,
1:04.0,Turnover by K. Middleton (offensive foul),,89-86,,
0:48.0,,,89-86,,A. Drummond misses 2-pt shot from 4 ft (block by J. Parker)
0:48.0,,,89-86,,Offensive rebound by Team
0:47.0,,,89-86,,Shooting foul by G. Monroe (drawn by T. Harris)
0:47.0,,,89-87,1,T. Harris makes free throw 1 of 2
0:47.0,,,89-88,1,T. Harris makes free throw 2 of 2
0:30.0,K. Middleton makes 2-pt shot from 18 ft,2,91-88,,
0:30.0,,,91-88,,Detroit full timeout
0:18.0,,,91-90,2,R. Jackson makes 2-pt shot at rim
0:13.0,Milwaukee full timeout,,91-90,,
0:13.0,Milwaukee full timeout,,91-90,,
0:13.0,Milwaukee full timeout,,91-90,,
0:10.0,,,91-90,,Personal foul by T. Harris
0:10.0,J. Bayless misses free throw 1 of 2,,91-90,,
0:10.0,Offensive rebound by Team,,91-90,,
0:10.0,J. Bayless misses free throw 2 of 2,,91-90,,
0:08.0,,,91-90,,Defensive rebound by R. Jackson
0:08.0,,,91-90,,Detroit full timeout
0:08.0,J. Henson enters the game for G. Monroe,,91-90,,
0:05.0,,,91-90,,K. Caldwell-Pope misses 3-pt shot from 24 ft
0:03.0,,,91-90,,Offensive rebound by A. Drummond
0:02.0,,,91-92,2,A. Drummond makes 2-pt shot at rim
0:00.0,End of 4th quarter,,,,End of 4th quarter
