time,Memphis,pts.away,score,pts.home,LA Lakers
7:57.0,,,8-6,,Turnover by J. Randle (bad pass; steal by P. Hairston)
7:53.0,P. Hairston makes 2-pt shot from 1 ft,2,10-6,,
7:31.0,,,10-8,2,D. Russell makes 2-pt shot from 3 ft (assist by A. Brown)
7:16.0,Z. Randolph misses 2-pt shot from 16 ft,,10-8,,
7:15.0,,,10-8,,Defensive rebound by D. Russell
7:10.0,,,10-8,,J. Clarkson misses 3-pt shot from 25 ft
7:07.0,Defensive rebound by M. Barnes,,10-8,,
6:51.0,Shooting foul by D. Russell (drawn by M. Conley),,10-8,,
6:51.0,M. Conley makes free throw 1 of 2,1,11-8,,
6:51.0,M. Conley makes free throw 2 of 2,1,12-8,,
6:37.0,,,12-10,2,D. Russell makes 2-pt shot from 6 ft
6:31.0,P. Hairston makes 2-pt shot at rim (assist by M. Conley),2,14-10,,
6:09.0,,,14-12,2,R. Hibbert makes 2-pt shot from 3 ft (assist by J. Clarkson)
6:09.0,,,14-12,,Shooting foul by B. Wright (drawn by R. Hibbert)
6:09.0,M. Chalmers enters the game for M. Conley,,14-12,,
6:09.0,,,14-12,,L. Williams enters the game for D. Russell
6:09.0,,,14-12,,R. Hibbert misses free throw 1 of 1
6:08.0,Defensive rebound by Z. Randolph,,14-12,,
5:57.0,M. Chalmers misses 3-pt shot from 23 ft,,14-12,,
5:56.0,Offensive rebound by Team,,14-12,,
5:56.0,,,14-12,,LA Lakers full timeout
5:44.0,Turnover by M. Chalmers (bad pass; steal by A. Brown),,14-12,,
5:38.0,,,14-14,2,J. Randle makes 2-pt shot from 2 ft (assist by L. Williams)
5:16.0,B. Wright makes 2-pt shot from 2 ft,2,16-14,,
4:51.0,,,16-14,,J. Clarkson misses 2-pt shot from 18 ft
4:49.0,Defensive rebound by M. Barnes,,16-14,,
4:37.0,Z. Randolph misses 2-pt shot from 3 ft,,16-14,,
4:35.0,Offensive rebound by B. Wright,,16-14,,
4:35.0,B. Wright makes 2-pt shot at rim,2,18-14,,
4:11.0,,,18-14,,J. Randle misses 2-pt shot from 10 ft
4:10.0,Defensive rebound by M. Barnes,,18-14,,
4:05.0,,,18-14,,Personal foul by J. Randle (drawn by Z. Randolph)
4:05.0,V. Carter enters the game for M. Barnes,,18-14,,
4:05.0,J. Green enters the game for B. Wright,,18-14,,
4:05.0,,,18-14,,B. Bass enters the game for R. Hibbert
3:56.0,Z. Randolph makes 2-pt shot from 9 ft (assist by M. Chalmers),2,20-14,,
3:34.0,,,20-14,,Shooting foul by M. Chalmers (drawn by J. Randle)
3:34.0,,,20-14,,J. Randle misses free throw 1 of 2
3:34.0,,,20-14,,Offensive rebound by Team
3:34.0,,,20-15,1,J. Randle makes free throw 2 of 2
3:19.0,J. Green makes 2-pt shot from 1 ft (assist by V. Carter),2,22-15,,
3:09.0,,,22-15,,Shooting foul by J. Green (drawn by J. Randle)
3:09.0,,,22-16,1,J. Randle makes free throw 1 of 2
3:09.0,,,22-16,,N. Young enters the game for A. Brown
3:09.0,,,22-16,,J. Randle misses free throw 2 of 2
3:06.0,Defensive rebound by Z. Randolph,,22-16,,
3:00.0,Turnover by M. Chalmers (bad pass; steal by L. Williams),,22-16,,
2:52.0,,,22-16,,J. Randle misses 2-pt shot from 3 ft (block by J. Green)
2:51.0,Defensive rebound by J. Green,,22-16,,
2:45.0,P. Hairston misses 3-pt shot from 24 ft,,22-16,,
2:43.0,,,22-16,,Defensive rebound by N. Young
2:39.0,,,22-16,,Shooting foul by P. Hairston (drawn by N. Young)
2:39.0,Memphis full timeout,,22-16,,
2:39.0,L. Stephenson enters the game for P. Hairston,,22-16,,
2:39.0,,,22-16,,L. Nance enters the game for J. Randle
2:39.0,,,22-16,,N. Young misses free throw 1 of 2
2:39.0,,,22-16,,Offensive rebound by Team
2:39.0,,,22-17,1,N. Young makes free throw 2 of 2
2:19.0,M. Chalmers misses 2-pt shot from 18 ft,,22-17,,
2:16.0,,,22-17,,Defensive rebound by N. Young
2:08.0,,,22-19,2,L. Williams makes 2-pt shot from 2 ft
1:51.0,V. Carter makes 3-pt shot from 26 ft (assist by Z. Randolph),3,25-19,,
1:31.0,,,25-19,,L. Williams misses 3-pt shot from 26 ft
1:30.0,Defensive rebound by Z. Randolph,,25-19,,
1:18.0,J. Green misses 2-pt shot from 17 ft,,25-19,,
1:17.0,,,25-19,,Defensive rebound by L. Nance
1:02.0,,,25-21,2,J. Clarkson makes 2-pt shot from 1 ft
0:46.0,J. Green makes 2-pt shot at rim (assist by M. Chalmers),2,27-21,,
0:40.0,,,27-23,2,L. Williams makes 2-pt shot from 10 ft
0:30.0,Z. Randolph makes 2-pt shot from 9 ft (assist by M. Chalmers),2,29-23,,
0:11.0,,,29-25,2,J. Clarkson makes 2-pt shot from 7 ft
0:01.0,Z. Randolph makes 3-pt shot from 25 ft (assist by M. Chalmers),3,32-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,V. Carter makes 3-pt shot from 26 ft (assist by M. Conley),3,35-25,,
11:22.0,,,35-25,,N. Young misses 3-pt shot from 28 ft
11:20.0,,,35-25,,Offensive rebound by Team
11:18.0,,,35-25,,Turnover by L. Williams (bad pass; steal by J. Green)
11:11.0,M. Chalmers misses 2-pt shot from 1 ft,,35-25,,
11:09.0,,,35-25,,Defensive rebound by L. Nance
11:03.0,,,35-25,,D. Russell misses 2-pt shot from 13 ft
11:00.0,,,35-25,,Offensive rebound by L. Nance
11:00.0,,,35-25,,L. Nance misses 2-pt shot at rim
10:56.0,Defensive rebound by M. Chalmers,,35-25,,
10:50.0,L. Stephenson makes 2-pt shot from 1 ft (assist by M. Conley),2,37-25,,
10:23.0,,,37-28,3,D. Russell makes 3-pt shot from 24 ft
10:10.0,L. Stephenson misses 2-pt shot from 2 ft (block by N. Young),,37-28,,
10:08.0,Offensive rebound by J. Green,,37-28,,
10:07.0,J. Green misses 2-pt shot from 2 ft (block by N. Young),,37-28,,
10:04.0,,,37-28,,Defensive rebound by D. Russell
10:01.0,,,37-28,,Shooting foul by V. Carter (drawn by B. Bass)
10:01.0,,,37-28,,B. Bass misses free throw 1 of 2
10:01.0,,,37-28,,Offensive rebound by Team
10:01.0,C. Andersen enters the game for M. Chalmers,,37-28,,
10:01.0,,,37-29,1,B. Bass makes free throw 2 of 2
9:45.0,J. Green makes 2-pt shot from 19 ft (assist by M. Conley),2,39-29,,
9:21.0,,,39-29,,L. Nance misses 2-pt shot from 2 ft
9:19.0,Defensive rebound by L. Stephenson,,39-29,,
9:14.0,J. Green makes 2-pt shot from 2 ft (assist by L. Stephenson),2,41-29,,
9:09.0,,,41-29,,LA Lakers full timeout
8:59.0,,,41-31,2,L. Williams makes 2-pt shot from 15 ft
8:45.0,Turnover by J. Green (bad pass),,41-31,,
8:33.0,,,41-31,,N. Young misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by C. Andersen,,41-31,,
8:26.0,L. Stephenson makes 2-pt shot from 1 ft,2,43-31,,
8:12.0,,,43-31,,D. Russell misses 2-pt shot from 16 ft
8:10.0,,,43-31,,Offensive rebound by L. Nance
8:07.0,,,43-34,3,N. Young makes 3-pt shot from 25 ft (assist by L. Nance)
7:43.0,V. Carter makes 3-pt shot from 28 ft,3,46-34,,
7:29.0,,,46-37,3,L. Williams makes 3-pt shot from 25 ft
7:25.0,Memphis full timeout,,46-37,,
7:25.0,M. Barnes enters the game for J. Green,,46-37,,
7:25.0,,,46-37,,R. Hibbert enters the game for B. Bass
7:25.0,,,46-37,,J. Randle enters the game for L. Nance
7:04.0,M. Conley makes 2-pt shot from 17 ft,2,48-37,,
6:45.0,,,48-37,,Shooting foul by C. Andersen (drawn by L. Williams)
6:45.0,,,48-37,,L. Williams misses free throw 1 of 2
6:45.0,,,48-37,,Offensive rebound by Team
6:45.0,,,48-38,1,L. Williams makes free throw 2 of 2
6:31.0,V. Carter makes 3-pt shot from 25 ft (assist by M. Conley),3,51-38,,
6:11.0,,,51-38,,N. Young misses 3-pt shot from 27 ft
6:09.0,Defensive rebound by V. Carter,,51-38,,
6:03.0,V. Carter makes 3-pt shot from 27 ft,3,54-38,,
5:38.0,,,54-38,,R. Hibbert misses 2-pt shot from 4 ft (block by M. Barnes)
5:36.0,Defensive rebound by M. Barnes,,54-38,,
5:27.0,L. Stephenson misses 2-pt shot from 1 ft,,54-38,,
5:26.0,Offensive rebound by L. Stephenson,,54-38,,
5:26.0,L. Stephenson misses 2-pt shot from 1 ft,,54-38,,
5:24.0,,,54-38,,Defensive rebound by J. Randle
5:24.0,Loose ball foul by L. Stephenson (drawn by J. Randle),,54-38,,
5:24.0,P. Hairston enters the game for V. Carter,,54-38,,
5:24.0,,,54-38,,J. Clarkson enters the game for L. Williams
4:58.0,,,54-38,,J. Clarkson misses 2-pt shot from 2 ft (block by C. Andersen)
4:57.0,Defensive rebound by P. Hairston,,54-38,,
4:38.0,M. Conley misses 2-pt shot from 19 ft,,54-38,,
4:35.0,Offensive rebound by C. Andersen,,54-38,,
4:23.0,L. Stephenson makes 2-pt shot from 17 ft,2,56-38,,
4:13.0,,,56-38,,LA Lakers full timeout
4:13.0,,,56-38,,A. Brown enters the game for N. Young
4:13.0,Z. Randolph enters the game for L. Stephenson,,56-38,,
4:13.0,B. Wright enters the game for C. Andersen,,56-38,,
3:57.0,,,56-38,,Shooting foul by M. Barnes (drawn by J. Randle)
3:57.0,,,56-39,1,J. Randle makes free throw 1 of 2
3:57.0,,,56-40,1,J. Randle makes free throw 2 of 2
3:36.0,P. Hairston makes 3-pt shot from 26 ft (assist by Z. Randolph),3,59-40,,
3:19.0,,,59-40,,R. Hibbert misses 2-pt shot from 3 ft
3:17.0,,,59-40,,Offensive rebound by J. Randle
3:15.0,,,59-40,,J. Randle misses 2-pt shot from 3 ft (block by B. Wright)
3:13.0,,,59-40,,Offensive rebound by J. Randle
3:12.0,,,59-42,2,J. Randle makes 2-pt shot from 1 ft
3:01.0,,,59-42,,Personal foul by R. Hibbert (drawn by M. Conley)
3:01.0,,,59-42,,Technical foul by R. Hibbert (drawn by M. Conley)
3:01.0,M. Conley makes technical free throw,1,60-42,,
2:54.0,M. Conley makes 2-pt shot from 2 ft,2,62-42,,
2:34.0,,,62-42,,Shooting foul by Z. Randolph (drawn by J. Randle)
2:34.0,Official timeout,,62-42,,
2:34.0,,,62-42,,J. Randle misses free throw 1 of 2
2:34.0,,,62-42,,Offensive rebound by Team
2:34.0,,,62-43,1,J. Randle makes free throw 2 of 2
2:16.0,M. Barnes misses 3-pt shot from 25 ft,,62-43,,
2:15.0,,,62-43,,Defensive rebound by Team
1:53.0,,,62-43,,J. Randle misses 3-pt shot from 27 ft
1:52.0,Defensive rebound by P. Hairston,,62-43,,
1:38.0,P. Hairston makes 3-pt shot from 25 ft (assist by Z. Randolph),3,65-43,,
1:11.0,,,65-43,,J. Clarkson misses 2-pt shot from 7 ft (block by B. Wright)
1:08.0,Defensive rebound by M. Conley,,65-43,,
1:04.0,Turnover by M. Barnes (bad pass; steal by J. Clarkson),,65-43,,
1:00.0,,,65-45,2,J. Randle makes 2-pt shot at rim (assist by D. Russell)
0:50.0,Shooting foul by D. Russell (drawn by Z. Randolph),,65-45,,
0:50.0,Z. Randolph makes free throw 1 of 2,1,66-45,,
0:50.0,Z. Randolph makes free throw 2 of 2,1,67-45,,
0:38.0,,,67-47,2,J. Randle makes 2-pt shot from 2 ft (assist by D. Russell)
0:30.0,M. Conley misses 3-pt shot from 25 ft,,67-47,,
0:29.0,,,67-47,,Defensive rebound by J. Randle
0:09.0,,,67-50,3,D. Russell makes 3-pt shot from 25 ft
0:03.0,Z. Randolph misses 3-pt shot from 25 ft,,67-50,,
0:00.0,,,67-50,,Defensive rebound by J. Clarkson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,M. Conley makes 3-pt shot from 24 ft,3,70-50,,
11:19.0,,,70-50,,A. Brown misses 2-pt shot from 21 ft
11:18.0,Defensive rebound by P. Hairston,,70-50,,
11:08.0,P. Hairston makes 2-pt shot from 3 ft (assist by M. Conley),2,72-50,,
10:59.0,Personal foul by P. Hairston (drawn by A. Brown),,72-50,,
10:53.0,,,72-50,,J. Clarkson misses 3-pt shot from 25 ft
10:52.0,Defensive rebound by B. Wright,,72-50,,
10:37.0,P. Hairston makes 3-pt shot from 25 ft (assist by Z. Randolph),3,75-50,,
10:17.0,,,75-50,,A. Brown misses 3-pt shot from 26 ft
10:16.0,Defensive rebound by Z. Randolph,,75-50,,
10:10.0,Turnover by Z. Randolph (bad pass),,75-50,,
9:56.0,,,75-52,2,J. Randle makes 2-pt shot at rim (assist by J. Clarkson)
9:43.0,Turnover by M. Conley (bad pass; steal by A. Brown),,75-52,,
9:40.0,,,75-52,,A. Brown misses 2-pt shot from 1 ft
9:37.0,Defensive rebound by M. Barnes,,75-52,,
9:30.0,Z. Randolph misses 2-pt shot from 20 ft,,75-52,,
9:30.0,,,75-52,,Defensive rebound by R. Hibbert
9:21.0,,,75-52,,J. Clarkson misses 3-pt shot from 26 ft
9:20.0,Defensive rebound by Z. Randolph,,75-52,,
9:01.0,Z. Randolph makes 2-pt shot from 3 ft (assist by M. Barnes),2,77-52,,
8:52.0,Personal foul by B. Wright (drawn by R. Hibbert),,77-52,,
8:52.0,Inbound foul by M. Conley,,77-52,,
8:52.0,,,77-53,1,D. Russell makes free throw 1 of 2
8:52.0,,,77-54,1,D. Russell makes free throw 2 of 2
8:34.0,M. Conley makes 3-pt shot from 26 ft (assist by Z. Randolph),3,80-54,,
8:12.0,,,80-54,,J. Clarkson misses 3-pt shot from 26 ft
8:11.0,Defensive rebound by Z. Randolph,,80-54,,
7:57.0,,,80-54,,Personal foul by J. Randle (drawn by B. Wright)
7:43.0,M. Barnes misses 3-pt shot from 24 ft,,80-54,,
7:42.0,,,80-54,,Defensive rebound by J. Clarkson
7:37.0,,,80-54,,J. Clarkson misses 2-pt shot from 1 ft
7:35.0,Defensive rebound by Z. Randolph,,80-54,,
7:23.0,M. Conley misses 3-pt shot from 26 ft,,80-54,,
7:21.0,Offensive rebound by B. Wright,,80-54,,
7:20.0,Shooting foul by R. Hibbert (drawn by B. Wright),,80-54,,
7:20.0,B. Wright makes free throw 1 of 2,1,81-54,,
7:20.0,M. Chalmers enters the game for M. Conley,,81-54,,
7:20.0,B. Wright makes free throw 2 of 2,1,82-54,,
6:58.0,,,82-56,2,J. Randle makes 2-pt shot from 4 ft
6:34.0,P. Hairston misses 3-pt shot from 26 ft,,82-56,,
6:32.0,,,82-56,,Defensive rebound by A. Brown
6:08.0,,,82-56,,J. Clarkson misses 3-pt shot from 26 ft
6:08.0,Defensive rebound by B. Wright,,82-56,,
5:49.0,Turnover by P. Hairston (bad pass; steal by D. Russell),,82-56,,
5:47.0,Personal take foul by B. Wright (drawn by D. Russell),,82-56,,
5:47.0,,,82-56,,LA Lakers full timeout
5:47.0,J. Green enters the game for B. Wright,,82-56,,
5:47.0,,,82-56,,T. Black enters the game for R. Hibbert
5:47.0,,,82-56,,L. Williams enters the game for J. Clarkson
5:26.0,,,82-56,,Shooting foul by M. Chalmers (drawn by D. Russell)
5:26.0,,,82-56,,D. Russell misses free throw 1 of 2
5:26.0,,,82-56,,Offensive rebound by Team
5:26.0,,,82-56,,D. Russell misses free throw 2 of 2
5:24.0,Defensive rebound by M. Barnes,,82-56,,
5:10.0,Turnover by J. Green (lost ball; steal by J. Randle),,82-56,,
4:59.0,,,82-58,2,D. Russell makes 2-pt shot from 2 ft
4:59.0,Memphis full timeout,,82-58,,
4:38.0,Z. Randolph makes 2-pt shot from 2 ft,2,84-58,,
4:20.0,,,84-58,,D. Russell misses 2-pt shot from 13 ft
4:19.0,Defensive rebound by M. Chalmers,,84-58,,
4:19.0,,,84-58,,Personal foul by D. Russell (drawn by M. Chalmers)
4:02.0,Z. Randolph misses 2-pt shot from 4 ft,,84-58,,
4:00.0,,,84-58,,Defensive rebound by J. Randle
3:52.0,,,84-58,,J. Randle misses 2-pt shot from 2 ft
3:49.0,Defensive rebound by Z. Randolph,,84-58,,
3:49.0,,,84-58,,Personal foul by J. Randle (drawn by Z. Randolph)
3:49.0,,,84-58,,L. Nance enters the game for J. Randle
3:49.0,V. Carter enters the game for M. Barnes,,84-58,,
3:33.0,J. Green misses 2-pt shot from 18 ft,,84-58,,
3:32.0,,,84-58,,Defensive rebound by L. Nance
3:17.0,,,84-58,,A. Brown misses 3-pt shot from 25 ft
3:16.0,,,84-58,,Offensive rebound by L. Williams
3:12.0,Personal foul by M. Chalmers (drawn by D. Russell),,84-58,,
3:12.0,,,84-58,,D. Russell misses free throw 1 of 2
3:12.0,,,84-58,,Offensive rebound by Team
3:12.0,L. Stephenson enters the game for P. Hairston,,84-58,,
3:12.0,C. Andersen enters the game for Z. Randolph,,84-58,,
3:12.0,,,84-59,1,D. Russell makes free throw 2 of 2
3:06.0,,,84-59,,Personal foul by L. Nance (drawn by M. Chalmers)
3:06.0,M. Chalmers makes free throw 1 of 2,1,85-59,,
3:06.0,M. Chalmers makes free throw 2 of 2,1,86-59,,
2:53.0,,,86-59,,Shooting foul by C. Andersen (drawn by L. Williams)
2:53.0,,,86-60,1,L. Williams makes free throw 1 of 3
2:53.0,,,86-61,1,L. Williams makes free throw 2 of 3
2:53.0,,,86-62,1,L. Williams makes free throw 3 of 3
2:35.0,Turnover by L. Stephenson (bad pass; steal by L. Williams),,86-62,,
2:29.0,,,86-62,,L. Williams misses 3-pt shot from 23 ft
2:26.0,,,86-62,,Offensive rebound by T. Black
2:26.0,,,86-62,,T. Black misses 2-pt shot from 1 ft
2:24.0,Defensive rebound by L. Stephenson,,86-62,,
2:21.0,C. Andersen makes 2-pt shot from 1 ft (assist by L. Stephenson),2,88-62,,
2:08.0,Personal foul by M. Chalmers (drawn by D. Russell),,88-62,,
2:08.0,,,88-63,1,D. Russell makes free throw 1 of 2
2:08.0,,,88-63,,D. Russell misses free throw 2 of 2
2:06.0,,,88-63,,Offensive rebound by A. Brown
2:03.0,,,88-65,2,A. Brown makes 2-pt shot from 18 ft
2:03.0,Memphis full timeout,,88-65,,
1:55.0,Turnover by V. Carter (lost ball; steal by L. Nance),,88-65,,
1:46.0,,,88-65,,Shooting foul by J. Green (drawn by T. Black)
1:46.0,,,88-65,,T. Black misses free throw 1 of 2
1:46.0,,,88-65,,Offensive rebound by Team
1:46.0,,,88-65,,T. Black misses free throw 2 of 2
1:45.0,Defensive rebound by L. Stephenson,,88-65,,
1:24.0,C. Andersen misses 2-pt shot from 12 ft,,88-65,,
1:23.0,,,88-65,,Defensive rebound by T. Black
1:15.0,,,88-67,2,D. Russell makes 2-pt shot from 3 ft
1:03.0,Shooting foul by A. Brown (drawn by M. Chalmers),,88-67,,
1:03.0,M. Chalmers misses free throw 1 of 2,,88-67,,
1:03.0,Offensive rebound by Team,,88-67,,
1:03.0,M. Chalmers makes free throw 2 of 2,1,89-67,,
0:51.0,,,89-67,,L. Williams misses 3-pt shot from 26 ft
0:50.0,Defensive rebound by L. Stephenson,,89-67,,
0:43.0,V. Carter misses 3-pt shot from 24 ft,,89-67,,
0:42.0,,,89-67,,Defensive rebound by T. Black
0:32.0,,,89-69,2,T. Black makes 2-pt shot from 3 ft (assist by L. Williams)
0:17.0,Shooting foul by A. Brown (drawn by M. Chalmers),,89-69,,
0:17.0,M. Chalmers misses free throw 1 of 2,,89-69,,
0:17.0,Offensive rebound by Team,,89-69,,
0:17.0,M. Chalmers makes free throw 2 of 2,1,90-69,,
0:03.0,,,90-69,,Shooting foul by M. Chalmers (drawn by D. Russell)
0:03.0,,,90-70,1,D. Russell makes free throw 1 of 2
0:03.0,,,90-71,1,D. Russell makes free throw 2 of 2
0:00.0,L. Stephenson misses 3-pt shot from 27 ft,,90-71,,
0:00.0,Offensive rebound by Team,,90-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,90-73,2,L. Nance makes 2-pt shot from 3 ft (assist by L. Williams)
11:17.0,L. Stephenson misses 2-pt shot from 8 ft,,90-73,,
11:13.0,Offensive rebound by L. Stephenson,,90-73,,
11:09.0,L. Stephenson makes 2-pt shot from 4 ft,2,92-73,,
10:59.0,Personal foul by L. Stephenson (drawn by T. Black),,92-73,,
10:48.0,,,92-75,2,N. Young makes 2-pt shot from 18 ft
10:29.0,V. Carter makes 2-pt shot from 2 ft (assist by M. Conley),2,94-75,,
10:13.0,,,94-75,,Turnover by N. Young (lost ball; steal by L. Stephenson)
10:05.0,Shooting foul by L. Nance (drawn by J. Green),,94-75,,
10:05.0,J. Green makes free throw 1 of 2,1,95-75,,
10:05.0,J. Green makes free throw 2 of 2,1,96-75,,
9:48.0,,,96-75,,J. Clarkson misses 2-pt shot from 3 ft (block by C. Andersen)
9:46.0,Defensive rebound by L. Stephenson,,96-75,,
9:44.0,L. Stephenson makes 2-pt shot from 1 ft,2,98-75,,
9:39.0,M. Barnes enters the game for J. Green,,98-75,,
9:32.0,,,98-75,,L. Williams misses 3-pt shot from 26 ft
9:31.0,Defensive rebound by V. Carter,,98-75,,
9:27.0,L. Stephenson makes 2-pt shot from 1 ft (assist by V. Carter),2,100-75,,
9:20.0,,,100-75,,LA Lakers full timeout
9:02.0,,,100-75,,Turnover by L. Nance (bad pass; steal by C. Andersen)
8:47.0,V. Carter misses 3-pt shot from 27 ft,,100-75,,
8:47.0,Offensive rebound by Team,,100-75,,
8:47.0,,,100-75,,Loose ball foul by L. Nance (drawn by C. Andersen)
8:37.0,V. Carter misses 2-pt shot from 2 ft (block by T. Black),,100-75,,
8:36.0,Offensive rebound by V. Carter,,100-75,,
8:33.0,V. Carter makes 2-pt shot from 1 ft,2,102-75,,
8:17.0,,,102-75,,N. Young misses 3-pt shot from 29 ft
8:17.0,Defensive rebound by Team,,102-75,,
8:17.0,,,102-75,,B. Bass enters the game for L. Nance
8:02.0,L. Stephenson makes 2-pt shot from 2 ft (assist by M. Barnes),2,104-75,,
7:47.0,,,104-75,,J. Clarkson misses 3-pt shot from 23 ft
7:45.0,Defensive rebound by M. Barnes,,104-75,,
7:36.0,L. Stephenson misses 2-pt shot from 9 ft,,104-75,,
7:33.0,,,104-75,,Defensive rebound by T. Black
7:25.0,,,104-77,2,J. Clarkson makes 2-pt shot from 8 ft (assist by T. Black)
7:06.0,M. Barnes misses 2-pt shot from 6 ft,,104-77,,
7:04.0,,,104-77,,Defensive rebound by T. Black
6:55.0,,,104-77,,Shooting foul by C. Andersen (drawn by B. Bass)
6:55.0,,,104-78,1,B. Bass makes free throw 1 of 2
6:55.0,P. Hairston enters the game for V. Carter,,104-78,,
6:55.0,,,104-78,,M. Huertas enters the game for J. Clarkson
6:55.0,,,104-78,,A. Brown enters the game for L. Williams
6:55.0,,,104-79,1,B. Bass makes free throw 2 of 2
6:38.0,M. Barnes misses 3-pt shot from 26 ft,,104-79,,
6:37.0,,,104-79,,Defensive rebound by N. Young
6:18.0,,,104-79,,T. Black misses 2-pt shot from 5 ft
6:16.0,,,104-79,,Offensive rebound by M. Huertas
6:14.0,,,104-79,,Turnover by Team (shot clock)
5:51.0,L. Stephenson misses 2-pt shot from 17 ft,,104-79,,
5:51.0,Offensive rebound by C. Andersen,,104-79,,
5:51.0,Memphis full timeout,,104-79,,
5:51.0,,,104-79,,LA Lakers full timeout
5:51.0,J. Green enters the game for M. Conley,,104-79,,
5:51.0,J. Ennis enters the game for C. Andersen,,104-79,,
5:51.0,,,104-79,,R. Kelly enters the game for N. Young
5:51.0,,,104-79,,R. Sacre enters the game for T. Black
5:40.0,P. Hairston misses 2-pt shot from 14 ft,,104-79,,
5:37.0,,,104-79,,Defensive rebound by A. Brown
5:16.0,,,104-79,,Turnover by Team (shot clock)
5:03.0,J. Ennis misses 3-pt shot from 25 ft,,104-79,,
5:02.0,,,104-79,,Defensive rebound by A. Brown
4:57.0,,,104-81,2,M. Huertas makes 2-pt shot from 2 ft (assist by A. Brown)
4:34.0,P. Hairston makes 3-pt shot from 26 ft (assist by L. Stephenson),3,107-81,,
4:20.0,,,107-83,2,B. Bass makes 2-pt shot at rim (assist by R. Kelly)
4:05.0,Turnover by P. Hairston (traveling),,107-83,,
4:05.0,C. Andersen enters the game for M. Barnes,,107-83,,
3:49.0,,,107-83,,R. Kelly misses 2-pt shot from 7 ft
3:48.0,,,107-83,,Offensive rebound by R. Kelly
3:46.0,,,107-85,2,R. Kelly makes 2-pt shot from 10 ft
3:32.0,L. Stephenson misses 3-pt shot from 24 ft,,107-85,,
3:31.0,,,107-85,,Defensive rebound by B. Bass
3:22.0,,,107-85,,M. Huertas misses 2-pt shot from 5 ft
3:19.0,,,107-85,,Offensive rebound by R. Sacre
3:19.0,,,107-85,,R. Sacre misses 2-pt shot from 2 ft
3:17.0,,,107-85,,Offensive rebound by R. Sacre
3:14.0,,,107-87,2,A. Brown makes 2-pt shot from 2 ft
3:14.0,,,107-87,,Shooting foul by L. Stephenson (drawn by A. Brown)
3:14.0,,,107-88,1,A. Brown makes free throw 1 of 1
3:12.0,Turnover by J. Green (bad pass; steal by M. Huertas),,107-88,,
3:02.0,,,107-88,,Shooting foul by J. Green (drawn by R. Sacre)
3:02.0,,,107-89,1,R. Sacre makes free throw 1 of 2
3:02.0,,,107-90,1,R. Sacre makes free throw 2 of 2
2:48.0,,,107-90,,Personal foul by R. Kelly (drawn by J. Ennis)
2:38.0,P. Hairston misses 3-pt shot from 26 ft,,107-90,,
2:36.0,Offensive rebound by J. Ennis,,107-90,,
2:36.0,J. Ennis makes 2-pt shot at rim,2,109-90,,
2:14.0,,,109-90,,R. Sacre misses 2-pt shot from 17 ft
