time,Charlotte,pts.away,score,pts.home,Sacramento
3:57.0,,,9-16,,Defensive rebound by R. Gay
3:53.0,,,9-18,2,B. McLemore makes 2-pt shot at rim (assist by R. Gay)
3:53.0,Technical foul by Team,,9-18,,
3:53.0,,,9-19,1,R. Gay makes technical free throw
3:53.0,,,9-19,,D. Collison enters the game for R. Rondo
3:53.0,T. Daniels enters the game for S. Hawes,,9-19,,
3:53.0,T. Hansbrough enters the game for J. Lin,,9-19,,
3:41.0,K. Walker misses 3-pt shot from 25 ft,,9-19,,
3:40.0,Offensive rebound by F. Kaminsky,,9-19,,
3:39.0,Shooting foul by R. Gay (drawn by F. Kaminsky),,9-19,,
3:39.0,F. Kaminsky makes free throw 1 of 2,1,10-19,,
3:39.0,F. Kaminsky makes free throw 2 of 2,1,11-19,,
3:34.0,,,11-21,2,B. McLemore makes 2-pt shot at rim (assist by D. Collison)
3:31.0,Charlotte full timeout,,11-21,,
3:31.0,M. Williams enters the game for P. Hairston,,11-21,,
3:15.0,T. Daniels misses 2-pt shot from 8 ft,,11-21,,
3:15.0,,,11-21,,Defensive rebound by B. McLemore
3:10.0,,,11-23,2,R. Gay makes 2-pt shot at rim (assist by B. McLemore)
2:48.0,K. Walker misses 2-pt shot from 8 ft (block by B. McLemore),,11-23,,
2:47.0,,,11-23,,Defensive rebound by D. Cousins
2:40.0,,,11-23,,Shooting foul by T. Hansbrough (drawn by R. Gay)
2:40.0,,,11-23,,Sacramento full timeout
2:40.0,,,11-23,,M. Belinelli enters the game for B. McLemore
2:40.0,,,11-24,1,R. Gay makes free throw 1 of 2
2:40.0,,,11-25,1,R. Gay makes free throw 2 of 2
2:36.0,,,11-25,,Personal foul by D. Collison (drawn by K. Walker)
2:24.0,,,11-25,,Personal foul by M. Belinelli (drawn by M. Williams)
2:24.0,M. Williams makes free throw 1 of 2,1,12-25,,
2:24.0,M. Williams makes free throw 2 of 2,1,13-25,,
2:14.0,Personal foul by T. Daniels (drawn by M. Belinelli),,13-25,,
2:04.0,,,13-27,2,D. Cousins makes 2-pt shot from 4 ft (assist by D. Collison)
1:43.0,F. Kaminsky misses 2-pt shot from 7 ft,,13-27,,
1:43.0,,,13-27,,Defensive rebound by D. Cousins
1:37.0,,,13-29,2,D. Cousins makes 2-pt shot from 3 ft
1:22.0,K. Walker misses 2-pt shot from 20 ft,,13-29,,
1:21.0,,,13-29,,Defensive rebound by O. Casspi
1:13.0,Personal block foul by T. Hansbrough (drawn by D. Cousins),,13-29,,
1:13.0,,,13-29,,K. Koufos enters the game for R. Gay
1:05.0,,,13-29,,Turnover by O. Casspi (bad pass)
0:52.0,T. Daniels misses 3-pt shot from 25 ft,,13-29,,
0:52.0,,,13-29,,Defensive rebound by O. Casspi
0:39.0,,,13-29,,Offensive foul by D. Cousins
0:39.0,,,13-29,,Turnover by D. Cousins (offensive foul)
0:39.0,,,13-29,,W. Cauley-Stein enters the game for D. Cousins
0:33.0,,,13-29,,Personal foul by K. Koufos (drawn by K. Walker)
0:33.0,K. Walker makes free throw 1 of 2,1,14-29,,
0:33.0,K. Walker misses free throw 2 of 2,,14-29,,
0:32.0,,,14-29,,Defensive rebound by O. Casspi
0:25.0,,,14-31,2,D. Collison makes 2-pt shot from 5 ft
0:02.0,Shooting foul by D. Collison (drawn by K. Walker),,14-31,,
0:02.0,K. Walker makes free throw 1 of 2,1,15-31,,
0:02.0,K. Walker makes free throw 2 of 2,1,16-31,,
0:00.0,,,16-31,,M. Belinelli misses 3-pt shot from 48 ft
0:00.0,,,16-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,T. Daniels makes 3-pt shot from 23 ft (assist by B. Roberts),3,19-31,,
11:24.0,,,19-31,,M. Belinelli misses 2-pt shot from 22 ft
11:24.0,Defensive rebound by T. Daniels,,19-31,,
11:15.0,F. Kaminsky misses 3-pt shot from 24 ft,,19-31,,
11:15.0,,,19-31,,Defensive rebound by K. Koufos
11:07.0,,,19-33,2,D. Collison makes 2-pt shot from 2 ft
11:07.0,,,19-33,,Shooting foul by T. Hansbrough (drawn by D. Collison)
11:07.0,,,19-34,1,D. Collison makes free throw 1 of 1
11:00.0,Charlotte full timeout,,19-34,,
10:51.0,F. Kaminsky misses 2-pt shot from 5 ft,,19-34,,
10:49.0,Offensive rebound by T. Hansbrough,,19-34,,
10:40.0,T. Daniels makes 3-pt shot from 23 ft (assist by F. Kaminsky),3,22-34,,
10:24.0,Personal foul by T. Daniels (drawn by O. Casspi),,22-34,,
10:24.0,A. Harrison enters the game for T. Daniels,,22-34,,
10:19.0,Personal foul by B. Roberts (drawn by D. Collison),,22-34,,
10:10.0,,,22-37,3,O. Casspi makes 3-pt shot from 24 ft (assist by D. Collison)
9:56.0,J. Lin makes 2-pt shot from 8 ft,2,24-37,,
9:49.0,,,24-37,,Turnover by O. Casspi (bad pass)
9:35.0,B. Roberts misses 2-pt shot from 9 ft,,24-37,,
9:34.0,,,24-37,,Defensive rebound by K. Koufos
9:24.0,,,24-37,,O. Casspi misses 2-pt shot from 3 ft
9:22.0,Defensive rebound by T. Hansbrough,,24-37,,
9:20.0,,,24-37,,Loose ball foul by K. Koufos (drawn by T. Hansbrough)
9:08.0,F. Kaminsky misses 3-pt shot from 25 ft,,24-37,,
9:07.0,,,24-37,,Defensive rebound by K. Koufos
8:54.0,,,24-37,,M. Belinelli misses 3-pt shot from 24 ft
8:54.0,Defensive rebound by T. Hansbrough,,24-37,,
8:44.0,B. Roberts makes 3-pt shot from 24 ft,3,27-37,,
8:24.0,,,27-37,,K. Koufos misses 2-pt shot from 9 ft
8:24.0,Defensive rebound by F. Kaminsky,,27-37,,
8:11.0,,,27-37,,Personal foul by M. Belinelli (drawn by J. Lin)
8:11.0,,,27-37,,D. Cousins enters the game for D. Collison
8:11.0,,,27-37,,R. Rondo enters the game for K. Koufos
8:11.0,S. Hawes enters the game for T. Hansbrough,,27-37,,
8:03.0,J. Lin makes 3-pt shot from 24 ft (assist by B. Roberts),3,30-37,,
7:51.0,,,30-37,,D. Cousins misses 2-pt shot from 5 ft
7:50.0,Defensive rebound by J. Lin,,30-37,,
7:42.0,J. Lin makes 2-pt shot from 2 ft,2,32-37,,
7:38.0,,,32-37,,Sacramento full timeout
7:38.0,,,32-37,,B. McLemore enters the game for M. Belinelli
7:16.0,,,32-39,2,D. Cousins makes 2-pt shot from 17 ft
7:01.0,Turnover by F. Kaminsky (bad pass; steal by D. Cousins),,32-39,,
6:55.0,,,32-41,2,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo)
6:34.0,B. Roberts makes 2-pt shot from 20 ft,2,34-41,,
6:19.0,,,34-43,2,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by R. Rondo)
6:02.0,J. Lin misses 2-pt shot from 15 ft,,34-43,,
6:00.0,,,34-43,,Defensive rebound by W. Cauley-Stein
5:49.0,,,34-43,,D. Cousins misses 2-pt shot from 1 ft
5:48.0,Defensive rebound by F. Kaminsky,,34-43,,
5:40.0,S. Hawes makes 2-pt shot from 1 ft (assist by J. Lin),2,36-43,,
5:12.0,,,36-43,,R. Rondo misses 2-pt shot from 16 ft
5:12.0,,,36-43,,Offensive rebound by W. Cauley-Stein
5:09.0,,,36-43,,Turnover by B. McLemore (dbl dribble)
5:09.0,,,36-43,,R. Gay enters the game for O. Casspi
5:09.0,M. Williams enters the game for F. Kaminsky,,36-43,,
4:49.0,Shooting foul by B. McLemore (drawn by B. Roberts),,36-43,,
4:49.0,B. Roberts makes free throw 1 of 2,1,37-43,,
4:49.0,B. Roberts makes free throw 2 of 2,1,38-43,,
4:37.0,Personal foul by M. Williams (drawn by D. Cousins),,38-43,,
4:37.0,P. Hairston enters the game for A. Harrison,,38-43,,
4:29.0,,,38-45,2,D. Cousins makes 2-pt shot from 4 ft (assist by R. Rondo)
4:29.0,,,38-45,,Shooting foul by S. Hawes (drawn by D. Cousins)
4:29.0,,,38-45,,D. Cousins misses free throw 1 of 1
4:27.0,,,38-45,,Offensive rebound by R. Gay
4:24.0,,,38-45,,Turnover by R. Gay (lost ball; steal by M. Williams)
4:12.0,M. Williams misses 3-pt shot from 25 ft,,38-45,,
4:12.0,,,38-45,,Defensive rebound by R. Rondo
3:59.0,,,38-45,,B. McLemore misses 3-pt shot from 24 ft
3:59.0,Defensive rebound by P. Hairston,,38-45,,
3:52.0,Turnover by J. Lin (offensive foul),,38-45,,
3:52.0,Offensive charge foul by J. Lin,,38-45,,
3:52.0,K. Walker enters the game for B. Roberts,,38-45,,
3:52.0,,,38-45,,D. Collison enters the game for B. McLemore
3:39.0,,,38-45,,D. Cousins misses 3-pt shot from 25 ft
3:39.0,Defensive rebound by J. Lin,,38-45,,
3:32.0,,,38-45,,Violation by W. Cauley-Stein (def goaltending)
3:32.0,P. Hairston makes 2-pt shot from 7 ft,2,40-45,,
3:32.0,Shooting foul by R. Rondo (drawn by P. Hairston),,40-45,,
3:32.0,P. Hairston misses free throw 1 of 1,,40-45,,
3:31.0,Offensive rebound by M. Williams,,40-45,,
3:26.0,P. Hairston misses 3-pt shot from 25 ft,,40-45,,
3:25.0,,,40-45,,Defensive rebound by D. Cousins
3:06.0,,,40-47,2,D. Cousins makes 2-pt shot at rim (assist by D. Collison)
2:50.0,M. Williams misses 3-pt shot from 25 ft,,40-47,,
2:50.0,Offensive rebound by S. Hawes,,40-47,,
2:46.0,M. Williams misses 2-pt shot from 1 ft,,40-47,,
2:43.0,,,40-47,,Defensive rebound by R. Gay
2:37.0,,,40-47,,Shooting foul by K. Walker (drawn by D. Cousins)
2:37.0,Official timeout,,40-47,,
2:37.0,,,40-47,,D. Cousins misses free throw 1 of 2
2:37.0,,,40-47,,Offensive rebound by Team
2:37.0,,,40-48,1,D. Cousins makes free throw 2 of 2
2:25.0,S. Hawes makes 2-pt shot at rim (assist by J. Lin),2,42-48,,
1:59.0,,,42-50,2,D. Cousins makes 2-pt shot from 7 ft (assist by R. Rondo)
1:44.0,J. Lin makes 2-pt shot from 13 ft,2,44-50,,
1:38.0,,,44-50,,W. Cauley-Stein misses 2-pt shot from 1 ft
1:37.0,Defensive rebound by S. Hawes,,44-50,,
1:26.0,J. Lin misses 3-pt shot from 26 ft,,44-50,,
1:25.0,,,44-50,,Defensive rebound by Team
1:25.0,Loose ball foul by S. Hawes (drawn by D. Cousins),,44-50,,
1:25.0,,,44-51,1,D. Cousins makes free throw 1 of 2
1:25.0,,,44-52,1,D. Cousins makes free throw 2 of 2
1:07.0,Turnover by S. Hawes (bad pass; steal by W. Cauley-Stein),,44-52,,
0:59.0,,,44-54,2,D. Collison makes 2-pt shot from 2 ft
0:48.0,K. Walker misses 2-pt shot from 19 ft,,44-54,,
0:47.0,Offensive rebound by M. Williams,,44-54,,
0:43.0,J. Lin makes 2-pt shot from 2 ft (assist by M. Williams),2,46-54,,
0:38.0,,,46-54,,Turnover by R. Gay (offensive foul)
0:38.0,,,46-54,,Offensive charge foul by R. Gay
0:38.0,,,46-54,,K. Koufos enters the game for D. Cousins
0:38.0,F. Kaminsky enters the game for S. Hawes,,46-54,,
0:32.0,,,46-54,,Violation by K. Koufos (kicked ball)
0:27.0,F. Kaminsky misses 2-pt shot from 5 ft (block by K. Koufos),,46-54,,
0:25.0,,,46-54,,Defensive rebound by W. Cauley-Stein
0:19.0,,,46-54,,Sacramento full timeout
0:19.0,,,46-54,,D. Cousins enters the game for W. Cauley-Stein
0:19.0,,,46-54,,O. Casspi enters the game for K. Koufos
0:06.0,,,46-56,2,R. Gay makes 2-pt shot from 6 ft (assist by R. Rondo)
0:00.0,K. Walker misses 2-pt shot from 4 ft (block by R. Gay),,46-56,,
0:00.0,Offensive rebound by Team,,46-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,M. Williams makes 2-pt shot from 3 ft (assist by J. Lin),2,48-56,,
11:34.0,,,48-56,,Offensive charge foul by B. McLemore
11:34.0,,,48-56,,Turnover by B. McLemore (offensive foul)
11:19.0,M. Williams makes 2-pt shot from 19 ft (assist by J. Lin),2,50-56,,
11:04.0,,,50-56,,Turnover by D. Cousins (lost ball; steal by K. Walker)
11:03.0,,,50-56,,Personal foul by R. Rondo (drawn by K. Walker)
10:50.0,S. Hawes makes 3-pt shot from 25 ft (assist by J. Lin),3,53-56,,
10:33.0,,,53-56,,Shooting foul by S. Hawes (drawn by D. Cousins)
10:33.0,,,53-57,1,D. Cousins makes free throw 1 of 2
10:33.0,,,53-57,,D. Cousins misses free throw 2 of 2
10:32.0,,,53-57,,Offensive rebound by W. Cauley-Stein
10:30.0,,,53-57,,Turnover by W. Cauley-Stein (lost ball)
10:12.0,M. Williams makes 3-pt shot from 23 ft (assist by K. Walker),3,56-57,,
9:55.0,,,56-59,2,D. Cousins makes 2-pt shot from 6 ft (assist by R. Rondo)
9:55.0,,,56-59,,Shooting foul by S. Hawes (drawn by D. Cousins)
9:55.0,,,56-60,1,D. Cousins makes free throw 1 of 1
9:37.0,P. Hairston makes 3-pt shot from 23 ft (assist by J. Lin),3,59-60,,
9:28.0,,,59-62,2,D. Cousins makes 2-pt shot at rim (assist by R. Rondo)
9:08.0,S. Hawes makes 3-pt shot from 25 ft (assist by K. Walker),3,62-62,,
9:01.0,,,62-64,2,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo)
8:43.0,,,62-64,,Personal foul by R. Rondo (drawn by S. Hawes)
8:43.0,,,62-64,,J. Anderson enters the game for W. Cauley-Stein
8:43.0,,,62-64,,D. Collison enters the game for B. McLemore
8:38.0,,,62-64,,Personal foul by R. Gay (drawn by J. Lin)
8:28.0,Offensive charge foul by M. Williams,,62-64,,
8:28.0,Turnover by M. Williams (offensive foul),,62-64,,
8:18.0,,,62-64,,R. Rondo misses 2-pt shot from 16 ft
8:16.0,Defensive rebound by S. Hawes,,62-64,,
8:03.0,J. Lin makes 3-pt shot from 25 ft,3,65-64,,
7:47.0,,,65-67,3,D. Collison makes 3-pt shot from 23 ft (assist by J. Anderson)
7:25.0,S. Hawes makes 3-pt shot from 25 ft (assist by J. Lin),3,68-67,,
7:07.0,,,68-67,,D. Cousins misses 2-pt shot from 18 ft
7:06.0,Defensive rebound by K. Walker,,68-67,,
6:53.0,S. Hawes makes 3-pt shot from 27 ft (assist by K. Walker),3,71-67,,
6:45.0,,,71-69,2,D. Cousins makes 2-pt shot at rim (assist by R. Rondo)
6:28.0,K. Walker misses 2-pt shot from 6 ft,,71-69,,
6:27.0,,,71-69,,Defensive rebound by R. Rondo
6:20.0,,,71-69,,D. Cousins misses 3-pt shot from 26 ft
6:19.0,Defensive rebound by S. Hawes,,71-69,,
6:07.0,M. Williams makes 2-pt shot at rim,2,73-69,,
6:06.0,,,73-69,,Sacramento full timeout
5:52.0,,,73-69,,Shooting foul by P. Hairston (drawn by D. Collison)
5:52.0,Technical foul by P. Hairston (drawn by D. Collison),,73-69,,
5:52.0,,,73-70,1,D. Collison makes technical free throw
5:52.0,,,73-71,1,D. Collison makes free throw 1 of 2
5:52.0,,,73-72,1,D. Collison makes free throw 2 of 2
5:28.0,K. Walker misses 3-pt shot from 24 ft,,73-72,,
5:27.0,,,73-72,,Defensive rebound by R. Rondo
5:24.0,,,73-72,,Turnover by D. Cousins (offensive goaltending)
5:10.0,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker),3,76-72,,
4:47.0,,,76-72,,J. Anderson misses 3-pt shot from 23 ft
4:45.0,Defensive rebound by J. Lin,,76-72,,
4:43.0,Offensive foul by J. Lin,,76-72,,
4:43.0,Turnover by J. Lin (offensive foul),,76-72,,
4:43.0,T. Hansbrough enters the game for S. Hawes,,76-72,,
4:43.0,,,76-72,,O. Casspi enters the game for R. Gay
4:33.0,,,76-72,,Turnover by R. Rondo (bad pass; steal by P. Hairston)
4:33.0,,,76-72,,Personal foul by D. Cousins (drawn by T. Hansbrough)
4:33.0,,,76-72,,Technical foul by D. Cousins (drawn by T. Hansbrough)
4:33.0,K. Walker makes technical free throw,1,77-72,,
4:21.0,M. Williams misses 2-pt shot from 8 ft (block by D. Cousins),,77-72,,
4:19.0,Offensive rebound by M. Williams,,77-72,,
4:18.0,M. Williams makes 2-pt shot from 3 ft,2,79-72,,
4:02.0,,,79-74,2,D. Cousins makes 2-pt shot from 4 ft (assist by R. Rondo)
3:45.0,J. Lin misses 2-pt shot from 14 ft,,79-74,,
3:45.0,,,79-74,,Defensive rebound by D. Cousins
3:38.0,Shooting block foul by M. Williams (drawn by O. Casspi),,79-74,,
3:38.0,,,79-75,1,O. Casspi makes free throw 1 of 2
3:38.0,T. Daniels enters the game for J. Lin,,79-75,,
3:38.0,,,79-75,,W. Cauley-Stein enters the game for R. Rondo
3:38.0,,,79-76,1,O. Casspi makes free throw 2 of 2
3:25.0,M. Williams misses 3-pt shot from 25 ft,,79-76,,
3:24.0,Offensive rebound by T. Daniels,,79-76,,
3:10.0,K. Walker misses 2-pt shot from 21 ft,,79-76,,
3:07.0,Offensive rebound by M. Williams,,79-76,,
3:07.0,M. Williams makes 2-pt shot from 2 ft,2,81-76,,
2:53.0,,,81-78,2,D. Cousins makes 2-pt shot from 4 ft (assist by D. Collison)
2:35.0,T. Hansbrough misses 2-pt shot from 2 ft,,81-78,,
2:34.0,,,81-78,,Defensive rebound by D. Cousins
2:20.0,,,81-80,2,W. Cauley-Stein makes 2-pt shot from 12 ft (assist by D. Cousins)
1:58.0,P. Hairston misses 3-pt shot from 25 ft,,81-80,,
1:58.0,,,81-80,,Defensive rebound by O. Casspi
1:50.0,,,81-80,,D. Collison misses 2-pt shot from 5 ft
1:50.0,Defensive rebound by T. Daniels,,81-80,,
1:39.0,T. Daniels makes 3-pt shot from 25 ft (assist by K. Walker),3,84-80,,
1:21.0,,,84-80,,O. Casspi misses 3-pt shot from 24 ft
1:21.0,,,84-80,,Offensive rebound by Team
1:21.0,Loose ball foul by T. Hansbrough (drawn by W. Cauley-Stein),,84-80,,
1:21.0,Charlotte full timeout,,84-80,,
1:21.0,F. Kaminsky enters the game for M. Williams,,84-80,,
1:21.0,,,84-80,,M. Belinelli enters the game for D. Cousins
1:21.0,,,84-80,,K. Koufos enters the game for J. Anderson
1:21.0,,,84-80,,W. Cauley-Stein misses free throw 1 of 2
1:21.0,,,84-80,,Offensive rebound by Team
1:21.0,,,84-81,1,W. Cauley-Stein makes free throw 2 of 2
1:07.0,T. Daniels makes 2-pt shot from 21 ft (assist by K. Walker),2,86-81,,
0:56.0,,,86-84,3,O. Casspi makes 3-pt shot from 24 ft (assist by M. Belinelli)
0:37.0,P. Hairston misses 2-pt shot from 6 ft,,86-84,,
0:36.0,Offensive rebound by T. Hansbrough,,86-84,,
0:36.0,T. Hansbrough misses 2-pt shot from 3 ft,,86-84,,
0:35.0,,,86-84,,Defensive rebound by O. Casspi
0:25.0,,,86-84,,M. Belinelli misses 3-pt shot from 25 ft
0:24.0,Defensive rebound by K. Walker,,86-84,,
0:02.0,K. Walker makes 2-pt shot from 15 ft,2,88-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,88-84,,O. Casspi misses 2-pt shot from 5 ft
11:45.0,Defensive rebound by F. Kaminsky,,88-84,,
11:30.0,T. Daniels misses 2-pt shot from 12 ft,,88-84,,
11:29.0,,,88-84,,Defensive rebound by O. Casspi
11:08.0,,,88-84,,D. Collison misses 2-pt shot from 19 ft
11:07.0,Defensive rebound by F. Kaminsky,,88-84,,
10:53.0,Shooting foul by W. Cauley-Stein (drawn by T. Daniels),,88-84,,
10:53.0,T. Daniels misses free throw 1 of 2,,88-84,,
10:53.0,Offensive rebound by Team,,88-84,,
10:53.0,,,88-84,,R. Gay enters the game for W. Cauley-Stein
10:53.0,T. Daniels misses free throw 2 of 2,,88-84,,
10:52.0,,,88-84,,Defensive rebound by O. Casspi
10:32.0,,,88-84,,R. Gay misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by J. Lin,,88-84,,
10:22.0,J. Lin misses 2-pt shot from 19 ft,,88-84,,
10:21.0,,,88-84,,Defensive rebound by R. Gay
10:07.0,,,88-84,,O. Casspi misses 3-pt shot from 26 ft
10:06.0,Defensive rebound by T. Daniels,,88-84,,
9:50.0,F. Kaminsky makes 2-pt shot from 5 ft,2,90-84,,
9:39.0,,,90-84,,D. Collison misses 2-pt shot from 8 ft
9:38.0,Defensive rebound by T. Daniels,,90-84,,
9:33.0,J. Lin misses 2-pt shot from 4 ft (block by R. Gay),,90-84,,
9:32.0,Offensive rebound by T. Daniels,,90-84,,
9:23.0,T. Hansbrough makes 2-pt shot at rim (assist by J. Lin),2,92-84,,
9:23.0,,,92-84,,Sacramento full timeout
9:23.0,,,92-84,,D. Cousins enters the game for K. Koufos
9:06.0,Personal foul by T. Hansbrough (drawn by D. Cousins),,92-84,,
8:55.0,,,92-87,3,O. Casspi makes 3-pt shot from 26 ft (assist by D. Collison)
8:37.0,J. Lin misses 2-pt shot from 2 ft,,92-87,,
8:36.0,,,92-87,,Defensive rebound by M. Belinelli
8:24.0,,,92-89,2,M. Belinelli makes 2-pt shot from 4 ft (assist by D. Cousins)
7:57.0,T. Daniels misses 3-pt shot from 22 ft,,92-89,,
7:56.0,,,92-89,,Defensive rebound by D. Cousins
7:46.0,,,92-89,,Turnover by R. Gay (lost ball; steal by F. Kaminsky)
7:42.0,,,92-89,,Personal foul by O. Casspi (drawn by B. Roberts)
7:42.0,,,92-89,,R. Rondo enters the game for D. Collison
7:23.0,B. Roberts misses 2-pt shot from 16 ft,,92-89,,
7:21.0,Offensive rebound by T. Hansbrough,,92-89,,
7:14.0,Turnover by B. Roberts (bad pass),,92-89,,
7:14.0,S. Hawes enters the game for T. Hansbrough,,92-89,,
7:14.0,K. Walker enters the game for B. Roberts,,92-89,,
7:03.0,,,92-89,,D. Cousins misses 2-pt shot from 3 ft (block by K. Walker)
7:02.0,Defensive rebound by T. Daniels,,92-89,,
7:01.0,,,92-89,,Personal foul by O. Casspi (drawn by F. Kaminsky)
6:48.0,,,92-89,,Shooting block foul by M. Belinelli (drawn by J. Lin)
6:48.0,J. Lin makes free throw 1 of 2,1,93-89,,
6:48.0,J. Lin makes free throw 2 of 2,1,94-89,,
6:33.0,,,94-91,2,D. Cousins makes 2-pt shot from 2 ft (assist by R. Rondo)
6:09.0,S. Hawes misses 2-pt shot from 11 ft,,94-91,,
6:09.0,,,94-91,,Defensive rebound by D. Cousins
6:00.0,,,94-93,2,M. Belinelli makes 2-pt shot from 13 ft (assist by R. Rondo)
5:53.0,Charlotte full timeout,,94-93,,
5:53.0,M. Williams enters the game for F. Kaminsky,,94-93,,
5:36.0,K. Walker makes 3-pt shot from 26 ft (assist by J. Lin),3,97-93,,
5:18.0,,,97-95,2,R. Gay makes 2-pt shot from 11 ft
4:54.0,T. Daniels makes 3-pt shot from 26 ft (assist by M. Williams),3,100-95,,
4:45.0,,,100-95,,Shooting foul by S. Hawes (drawn by D. Cousins)
4:45.0,,,100-96,1,D. Cousins makes free throw 1 of 2
