time,Boston,pts.away,score,pts.home,Toronto
11:15.0,Personal foul by M. Smart,,17-30,,
11:05.0,,,17-33,3,P. Patterson makes 3-pt shot from 25 ft (assist by T. Ross)
10:46.0,T. Zeller makes 2-pt shot from 2 ft (assist by K. Olynyk),2,19-33,,
10:25.0,,,19-33,,T. Ross misses 3-pt shot from 23 ft
10:25.0,Defensive rebound by T. Zeller,,19-33,,
10:17.0,Shooting foul by P. Patterson (drawn by T. Zeller),,19-33,,
10:17.0,T. Zeller makes free throw 1 of 2,1,20-33,,
10:17.0,T. Zeller makes free throw 2 of 2,1,21-33,,
10:00.0,,,21-35,2,J. Thompson makes 2-pt shot from 2 ft (assist by T. Ross)
10:00.0,,,21-35,,Shooting foul by T. Rozier (drawn by J. Thompson)
10:00.0,,,21-36,1,J. Thompson makes free throw 1 of 1
9:44.0,K. Olynyk misses 3-pt shot from 26 ft,,21-36,,
9:44.0,,,21-36,,Defensive rebound by P. Patterson
9:39.0,,,21-38,2,K. Lowry makes 2-pt shot from 6 ft
9:39.0,,,21-38,,Shooting foul by K. Olynyk (drawn by K. Lowry)
9:39.0,A. Johnson enters the game for K. Olynyk,,21-38,,
9:39.0,,,21-38,,L. Nogueira enters the game for J. Thompson
9:39.0,,,21-38,,K. Lowry misses free throw 1 of 1
9:37.0,,,21-38,,Offensive rebound by L. Nogueira
9:27.0,,,21-38,,T. Ross misses 3-pt shot from 27 ft
9:27.0,Defensive rebound by T. Zeller,,21-38,,
9:21.0,,,21-38,,Personal foul by T. Ross
9:15.0,T. Zeller misses 2-pt shot from 18 ft,,21-38,,
9:15.0,,,21-38,,Defensive rebound by K. Lowry
9:00.0,,,21-40,2,C. Joseph makes 2-pt shot from 1 ft
8:49.0,M. Smart makes 3-pt shot from 25 ft (assist by T. Rozier),3,24-40,,
8:26.0,,,24-42,2,P. Patterson makes 2-pt shot from 3 ft
8:16.0,R. Hunter makes 2-pt shot from 2 ft (assist by T. Rozier),2,26-42,,
8:01.0,,,26-42,,Shooting foul by M. Smart (drawn by K. Lowry)
8:01.0,Official timeout,,26-42,,
8:01.0,,,26-42,,K. Lowry misses free throw 1 of 2
8:01.0,,,26-42,,Offensive rebound by Team
8:01.0,,,26-43,1,K. Lowry makes free throw 2 of 2
7:42.0,Turnover by A. Johnson (3 sec),,26-43,,
7:26.0,,,26-43,,K. Lowry misses 2-pt shot from 16 ft
7:26.0,Defensive rebound by A. Johnson,,26-43,,
7:17.0,M. Smart makes 2-pt shot from 18 ft,2,28-43,,
7:00.0,,,28-43,,Turnover by L. Nogueira (3 sec)
6:48.0,M. Smart misses 2-pt shot from 5 ft (block by L. Nogueira),,28-43,,
6:45.0,,,28-43,,Defensive rebound by P. Patterson
6:33.0,,,28-45,2,T. Ross makes 2-pt shot from 1 ft
6:20.0,T. Rozier misses 2-pt shot from 12 ft,,28-45,,
6:19.0,,,28-45,,Defensive rebound by K. Lowry
6:10.0,,,28-45,,C. Joseph misses 2-pt shot from 5 ft
6:10.0,Defensive rebound by A. Johnson,,28-45,,
6:02.0,M. Smart misses 2-pt shot from 1 ft (block by L. Nogueira),,28-45,,
6:00.0,Offensive rebound by T. Zeller,,28-45,,
5:59.0,T. Zeller makes 2-pt shot at rim,2,30-45,,
5:43.0,Personal foul by M. Smart,,30-45,,
5:43.0,,,30-45,,Toronto full timeout
5:43.0,,,30-45,,D. DeRozan enters the game for C. Joseph
5:43.0,,,30-45,,B. Biyombo enters the game for L. Nogueira
5:43.0,E. Turner enters the game for M. Smart,,30-45,,
5:43.0,,,30-46,1,K. Lowry makes free throw 1 of 2
5:43.0,,,30-47,1,K. Lowry makes free throw 2 of 2
5:25.0,T. Rozier makes 2-pt shot from 5 ft,2,32-47,,
5:02.0,,,32-47,,Turnover by P. Patterson (lost ball; steal by A. Johnson)
4:45.0,E. Turner makes 2-pt shot from 14 ft,2,34-47,,
4:34.0,,,34-47,,Turnover by K. Lowry (lost ball; steal by E. Turner)
4:33.0,,,34-47,,Personal foul by D. DeRozan
4:33.0,K. Olynyk enters the game for A. Johnson,,34-47,,
4:33.0,J. Sullinger enters the game for T. Zeller,,34-47,,
4:19.0,J. Sullinger misses 3-pt shot from 26 ft,,34-47,,
4:19.0,,,34-47,,Defensive rebound by Team
4:19.0,A. Bradley enters the game for R. Hunter,,34-47,,
4:19.0,I. Thomas enters the game for T. Rozier,,34-47,,
4:06.0,,,34-49,2,D. DeRozan makes 2-pt shot from 8 ft
3:55.0,Turnover by K. Olynyk (traveling),,34-49,,
3:40.0,,,34-49,,P. Patterson misses 3-pt shot from 24 ft
3:39.0,Defensive rebound by J. Sullinger,,34-49,,
3:26.0,A. Bradley misses 2-pt shot from 17 ft,,34-49,,
3:25.0,,,34-49,,Defensive rebound by B. Biyombo
3:12.0,,,34-52,3,K. Lowry makes 3-pt shot from 23 ft
2:52.0,I. Thomas misses 2-pt shot from 10 ft,,34-52,,
2:52.0,,,34-52,,Defensive rebound by B. Biyombo
2:47.0,,,34-52,,Shooting foul by I. Thomas (drawn by K. Lowry)
2:47.0,Boston full timeout,,34-52,,
2:47.0,,,34-52,,L. Scola enters the game for T. Ross
2:47.0,,,34-52,,N. Powell enters the game for P. Patterson
2:47.0,,,34-52,,K. Lowry misses free throw 1 of 3
2:47.0,,,34-52,,Offensive rebound by Team
2:47.0,,,34-52,,K. Lowry misses free throw 2 of 3
2:47.0,,,34-52,,Offensive rebound by Team
2:47.0,,,34-53,1,K. Lowry makes free throw 3 of 3
2:32.0,J. Sullinger makes 2-pt shot from 1 ft (assist by K. Olynyk),2,36-53,,
2:06.0,,,36-53,,B. Biyombo misses 2-pt shot from 3 ft (block by A. Bradley)
2:03.0,Defensive rebound by I. Thomas,,36-53,,
2:02.0,I. Thomas makes 2-pt shot from 1 ft,2,38-53,,
2:02.0,Shooting foul by N. Powell (drawn by I. Thomas),,38-53,,
2:02.0,,,38-53,,C. Joseph enters the game for K. Lowry
2:02.0,I. Thomas makes free throw 1 of 1,1,39-53,,
1:45.0,,,39-53,,D. DeRozan misses 2-pt shot from 19 ft
1:45.0,Defensive rebound by E. Turner,,39-53,,
1:31.0,E. Turner makes 2-pt shot from 6 ft,2,41-53,,
1:08.0,,,41-53,,L. Scola misses 3-pt shot from 26 ft
1:07.0,Defensive rebound by A. Bradley,,41-53,,
0:53.0,A. Bradley misses 2-pt shot from 4 ft (block by B. Biyombo),,41-53,,
0:52.0,,,41-53,,Defensive rebound by D. DeRozan
0:32.0,,,41-53,,D. DeRozan misses 2-pt shot from 7 ft
0:31.0,,,41-53,,Offensive rebound by L. Scola
0:29.0,,,41-53,,L. Scola misses 2-pt shot from 1 ft
0:28.0,Defensive rebound by J. Sullinger,,41-53,,
0:23.0,I. Thomas misses 2-pt shot at rim,,41-53,,
0:22.0,,,41-53,,Defensive rebound by B. Biyombo
0:09.0,Personal foul by J. Sullinger,,41-53,,
0:09.0,,,41-54,1,B. Biyombo makes free throw 1 of 2
0:09.0,,,41-55,1,B. Biyombo makes free throw 2 of 2
0:09.0,Boston full timeout,,41-55,,
0:09.0,,,41-55,,J. Thompson enters the game for B. Biyombo
0:09.0,,,41-55,,P. Patterson enters the game for L. Scola
0:00.0,J. Sullinger misses 2-pt shot from 5 ft,,41-55,,
0:00.0,Offensive rebound by Team,,41-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,K. Olynyk misses 3-pt shot from 24 ft,,41-55,,
11:43.0,,,41-55,,Defensive rebound by B. Biyombo
11:33.0,,,41-55,,Turnover by D. DeRozan (lost ball)
11:23.0,A. Bradley misses 2-pt shot from 20 ft,,41-55,,
11:23.0,Offensive rebound by K. Olynyk,,41-55,,
11:20.0,K. Olynyk misses 2-pt shot from 4 ft,,41-55,,
11:18.0,Offensive rebound by A. Bradley,,41-55,,
11:10.0,I. Thomas misses 2-pt shot from 2 ft,,41-55,,
11:10.0,Offensive rebound by J. Sullinger,,41-55,,
11:07.0,J. Sullinger misses 2-pt shot from 1 ft,,41-55,,
11:06.0,,,41-55,,Defensive rebound by N. Powell
11:03.0,,,41-55,,Shooting foul by E. Turner (drawn by N. Powell)
11:03.0,,,41-56,1,N. Powell makes free throw 1 of 2
11:03.0,,,41-57,1,N. Powell makes free throw 2 of 2
10:48.0,Shooting foul by D. DeRozan (drawn by E. Turner),,41-57,,
10:48.0,E. Turner makes free throw 1 of 2,1,42-57,,
10:48.0,E. Turner makes free throw 2 of 2,1,43-57,,
10:36.0,,,43-57,,Turnover by D. DeRozan (lost ball; steal by A. Bradley)
10:31.0,A. Bradley makes 2-pt shot at rim,2,45-57,,
10:17.0,Def 3 sec tech foul by K. Olynyk,,45-57,,
10:17.0,,,45-58,1,D. DeRozan makes technical free throw
10:03.0,,,45-58,,K. Lowry misses 3-pt shot from 27 ft
10:03.0,,,45-58,,Offensive rebound by Team
10:03.0,,,45-58,,Turnover by Team (shot clock)
9:52.0,I. Thomas makes 2-pt shot from 1 ft (assist by J. Sullinger),2,47-58,,
9:28.0,,,47-58,,N. Powell misses 2-pt shot from 9 ft
9:27.0,Defensive rebound by E. Turner,,47-58,,
9:21.0,I. Thomas makes 3-pt shot from 22 ft (assist by E. Turner),3,50-58,,
9:14.0,,,50-58,,Toronto full timeout
9:00.0,,,50-60,2,B. Biyombo makes 2-pt shot at rim (assist by K. Lowry)
8:46.0,,,50-60,,Personal foul by K. Lowry
8:36.0,E. Turner misses 2-pt shot from 11 ft,,50-60,,
8:35.0,,,50-60,,Defensive rebound by B. Biyombo
8:23.0,,,50-60,,Turnover by K. Lowry (lost ball; steal by A. Bradley)
8:19.0,A. Bradley makes 2-pt shot from 1 ft,2,52-60,,
7:54.0,,,52-63,3,N. Powell makes 3-pt shot from 27 ft (assist by B. Biyombo)
7:43.0,J. Sullinger misses 2-pt shot from 19 ft,,52-63,,
7:42.0,,,52-63,,Defensive rebound by D. DeRozan
7:33.0,,,52-65,2,D. DeRozan makes 2-pt shot from 20 ft
7:14.0,I. Thomas makes 2-pt shot from 1 ft,2,54-65,,
6:49.0,,,54-65,,K. Lowry misses 2-pt shot from 22 ft
6:49.0,,,54-65,,Offensive rebound by Team
6:49.0,Loose ball foul by J. Sullinger,,54-65,,
6:49.0,A. Johnson enters the game for J. Sullinger,,54-65,,
6:34.0,,,54-65,,L. Scola misses 2-pt shot from 10 ft
6:33.0,,,54-65,,Offensive rebound by B. Biyombo
6:31.0,,,54-65,,B. Biyombo misses 2-pt shot from 3 ft
6:28.0,Defensive rebound by A. Johnson,,54-65,,
6:17.0,,,54-65,,Personal foul by D. DeRozan
6:13.0,E. Turner makes 2-pt shot from 1 ft (assist by K. Olynyk),2,56-65,,
6:05.0,,,56-65,,Toronto full timeout
5:49.0,,,56-65,,Turnover by N. Powell (lost ball; steal by E. Turner)
5:42.0,A. Johnson makes 2-pt shot from 2 ft (assist by E. Turner),2,58-65,,
5:19.0,,,58-65,,D. DeRozan misses 2-pt shot from 4 ft (block by A. Johnson)
5:19.0,,,58-65,,Offensive rebound by Team
5:13.0,,,58-65,,N. Powell misses 3-pt shot from 26 ft
5:13.0,Defensive rebound by Team,,58-65,,
5:13.0,,,58-65,,Loose ball foul by B. Biyombo
5:13.0,,,58-65,,C. Joseph enters the game for N. Powell
5:01.0,A. Bradley misses 2-pt shot from 23 ft,,58-65,,
5:01.0,,,58-65,,Defensive rebound by D. DeRozan
4:51.0,,,58-67,2,D. DeRozan makes 2-pt shot from 8 ft
4:46.0,,,58-67,,Personal foul by L. Scola
4:46.0,I. Thomas makes free throw 1 of 2,1,59-67,,
4:46.0,,,59-67,,P. Patterson enters the game for L. Scola
4:46.0,I. Thomas makes free throw 2 of 2,1,60-67,,
4:34.0,,,60-67,,Shooting foul by K. Olynyk (drawn by K. Lowry)
4:34.0,,,60-68,1,K. Lowry makes free throw 1 of 2
4:34.0,M. Smart enters the game for A. Bradley,,60-68,,
4:34.0,,,60-69,1,K. Lowry makes free throw 2 of 2
4:18.0,I. Thomas misses 3-pt shot from 25 ft,,60-69,,
4:18.0,,,60-69,,Defensive rebound by B. Biyombo
4:04.0,,,60-69,,D. DeRozan misses 2-pt shot from 16 ft
4:03.0,Defensive rebound by A. Johnson,,60-69,,
3:57.0,A. Johnson makes 2-pt shot at rim (assist by I. Thomas),2,62-69,,
3:50.0,,,62-69,,Shooting foul by K. Olynyk (drawn by K. Lowry)
3:50.0,,,62-70,1,K. Lowry makes free throw 1 of 2
3:50.0,,,62-70,,J. Thompson enters the game for B. Biyombo
3:50.0,,,62-70,,K. Lowry misses free throw 2 of 2
3:49.0,Defensive rebound by E. Turner,,62-70,,
3:40.0,I. Thomas misses 2-pt shot from 3 ft (block by K. Lowry),,62-70,,
3:40.0,Offensive rebound by Team,,62-70,,
3:40.0,,,62-70,,T. Ross enters the game for K. Lowry
3:33.0,M. Smart misses 2-pt shot from 4 ft (block by J. Thompson),,62-70,,
3:32.0,Offensive rebound by A. Johnson,,62-70,,
3:30.0,A. Johnson makes 2-pt shot from 1 ft,2,64-70,,
3:09.0,,,64-70,,D. DeRozan misses 2-pt shot from 18 ft
3:09.0,Defensive rebound by M. Smart,,64-70,,
3:02.0,M. Smart misses 2-pt shot from 2 ft,,64-70,,
3:01.0,,,64-70,,Defensive rebound by D. DeRozan
2:38.0,,,64-72,2,D. DeRozan makes 2-pt shot at rim
2:33.0,Boston full timeout,,64-72,,
2:28.0,Jump ball: A. Johnson vs. J. Thompson (I. Thomas gains possession),,,,Jump ball: A. Johnson vs. J. Thompson (I. Thomas gains possession)
2:14.0,,,64-72,,Personal foul by P. Patterson
2:14.0,E. Turner makes free throw 1 of 2,1,65-72,,
2:14.0,E. Turner makes free throw 2 of 2,1,66-72,,
1:55.0,,,66-74,2,T. Ross makes 2-pt shot from 15 ft
1:45.0,I. Thomas makes 2-pt shot from 2 ft,2,68-74,,
1:45.0,Shooting foul by J. Thompson (drawn by I. Thomas),,68-74,,
1:45.0,I. Thomas makes free throw 1 of 1,1,69-74,,
1:32.0,,,69-74,,T. Ross misses 2-pt shot from 16 ft
1:31.0,Defensive rebound by M. Smart,,69-74,,
1:18.0,E. Turner misses 3-pt shot from 24 ft,,69-74,,
1:17.0,,,69-74,,Defensive rebound by D. DeRozan
1:11.0,,,69-77,3,T. Ross makes 3-pt shot from 22 ft (assist by D. DeRozan)
0:56.0,I. Thomas misses 3-pt shot from 23 ft,,69-77,,
0:55.0,,,69-77,,Defensive rebound by D. DeRozan
0:48.0,,,69-79,2,D. DeRozan makes 2-pt shot from 9 ft
0:32.0,K. Olynyk makes 2-pt shot from 6 ft,2,71-79,,
0:08.0,,,71-79,,Turnover by Team (shot clock)
0:08.0,T. Zeller enters the game for A. Johnson,,71-79,,
0:08.0,R. Hunter enters the game for E. Turner,,71-79,,
0:00.0,R. Hunter makes 3-pt shot from 25 ft (assist by I. Thomas),3,74-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,74-79,,T. Ross misses 3-pt shot from 22 ft
11:41.0,Defensive rebound by T. Zeller,,74-79,,
11:29.0,Turnover by R. Hunter (lost ball; steal by K. Lowry),,74-79,,
11:25.0,,,74-81,2,K. Lowry makes 2-pt shot at rim
11:10.0,A. Bradley misses 2-pt shot from 21 ft,,74-81,,
11:10.0,,,74-81,,Defensive rebound by Team
10:44.0,,,74-81,,K. Lowry misses 3-pt shot from 34 ft
10:43.0,Defensive rebound by M. Smart,,74-81,,
10:28.0,Turnover by R. Hunter (lost ball; steal by T. Ross),,74-81,,
10:24.0,,,74-83,2,T. Ross makes 2-pt shot at rim
10:01.0,T. Zeller misses 2-pt shot from 3 ft (block by P. Patterson),,74-83,,
10:01.0,,,74-83,,Defensive rebound by Team
9:50.0,,,74-85,2,P. Patterson makes 2-pt shot from 6 ft
9:49.0,Boston full timeout,,74-85,,
9:49.0,E. Turner enters the game for R. Hunter,,74-85,,
9:32.0,E. Turner misses 2-pt shot from 20 ft,,74-85,,
9:31.0,,,74-85,,Defensive rebound by J. Thompson
9:23.0,,,74-85,,Turnover by C. Joseph (lost ball; steal by A. Johnson)
9:18.0,M. Smart makes 2-pt shot at rim,2,76-85,,
9:03.0,Personal block foul by T. Zeller,,76-85,,
8:49.0,,,76-85,,T. Ross misses 2-pt shot from 21 ft
8:48.0,Defensive rebound by E. Turner,,76-85,,
8:41.0,Turnover by E. Turner (lost ball; steal by J. Thompson),,76-85,,
8:35.0,I. Thomas enters the game for T. Zeller,,76-85,,
8:21.0,,,76-85,,Offensive charge foul by K. Lowry
8:21.0,,,76-85,,Turnover by K. Lowry (offensive foul)
8:03.0,E. Turner misses 2-pt shot from 18 ft,,76-85,,
8:03.0,,,76-85,,Defensive rebound by T. Ross
7:54.0,,,76-85,,Shooting foul by A. Johnson (drawn by K. Lowry)
7:54.0,,,76-86,1,K. Lowry makes free throw 1 of 2
7:54.0,,,76-87,1,K. Lowry makes free throw 2 of 2
7:46.0,Turnover by I. Thomas (lost ball; steal by T. Ross),,76-87,,
7:40.0,,,76-90,3,K. Lowry makes 3-pt shot from 24 ft (assist by C. Joseph)
7:20.0,Turnover by E. Turner (lost ball; steal by C. Joseph),,76-90,,
7:11.0,,,76-93,3,K. Lowry makes 3-pt shot from 24 ft (assist by C. Joseph)
7:08.0,Boston full timeout,,76-93,,
7:08.0,J. Sullinger enters the game for A. Johnson,,76-93,,
7:08.0,K. Olynyk enters the game for M. Smart,,76-93,,
7:08.0,,,76-93,,B. Biyombo enters the game for P. Patterson
6:58.0,Turnover by K. Olynyk (lost ball; steal by C. Joseph),,76-93,,
6:49.0,Personal foul by A. Bradley,,76-93,,
6:37.0,,,76-93,,K. Lowry misses 3-pt shot from 26 ft
6:37.0,Defensive rebound by E. Turner,,76-93,,
6:27.0,,,76-93,,Personal foul by C. Joseph
6:21.0,K. Olynyk misses 2-pt shot from 18 ft,,76-93,,
6:21.0,,,76-93,,Defensive rebound by C. Joseph
6:08.0,,,76-93,,J. Thompson misses 3-pt shot from 22 ft
6:07.0,Defensive rebound by K. Olynyk,,76-93,,
5:58.0,I. Thomas misses 2-pt shot from 10 ft,,76-93,,
5:57.0,,,76-93,,Defensive rebound by B. Biyombo
5:57.0,Personal foul by J. Sullinger,,76-93,,
5:57.0,A. Johnson enters the game for J. Sullinger,,76-93,,
5:33.0,,,76-93,,C. Joseph misses 2-pt shot from 20 ft
5:33.0,Defensive rebound by A. Johnson,,76-93,,
5:12.0,I. Thomas misses 2-pt shot from 10 ft (block by B. Biyombo),,76-93,,
5:11.0,,,76-93,,Defensive rebound by C. Joseph
4:59.0,,,76-93,,Turnover by C. Joseph (lost ball; steal by A. Bradley)
4:54.0,E. Turner makes 2-pt shot from 1 ft (assist by A. Bradley),2,78-93,,
4:28.0,,,78-93,,C. Joseph misses 2-pt shot from 13 ft
4:28.0,Defensive rebound by K. Olynyk,,78-93,,
4:17.0,A. Johnson misses 2-pt shot from 1 ft (block by J. Thompson),,78-93,,
4:16.0,,,78-93,,Defensive rebound by J. Thompson
4:02.0,,,78-96,3,K. Lowry makes 3-pt shot from 24 ft
3:45.0,E. Turner misses 2-pt shot from 18 ft,,78-96,,
3:44.0,Offensive rebound by Team,,78-96,,
3:43.0,,,78-96,,D. DeRozan enters the game for C. Joseph
3:39.0,A. Bradley makes 2-pt shot from 2 ft,2,80-96,,
3:11.0,,,80-98,2,K. Lowry makes 2-pt shot from 19 ft
3:01.0,,,80-98,,Personal foul by D. DeRozan
3:01.0,Violation by Team (delay of game),,80-98,,
2:53.0,A. Bradley misses 2-pt shot from 17 ft,,80-98,,
2:53.0,,,80-98,,Defensive rebound by B. Biyombo
2:49.0,Technical foul by I. Thomas,,80-98,,
2:49.0,Official timeout,,80-98,,
2:49.0,,,80-98,,N. Powell enters the game for B. Biyombo
2:49.0,,,80-98,,L. Nogueira enters the game for T. Ross
2:49.0,,,80-99,1,D. DeRozan makes technical free throw
2:30.0,,,80-99,,L. Nogueira misses 2-pt shot at rim
2:30.0,,,80-99,,Offensive rebound by L. Nogueira
2:30.0,,,80-99,,Shooting foul by E. Turner (drawn by L. Nogueira)
2:30.0,,,80-99,,L. Nogueira misses free throw 1 of 2
2:30.0,,,80-99,,Offensive rebound by Team
2:30.0,,,80-99,,C. Joseph enters the game for K. Lowry
2:30.0,C. Clarke enters the game for E. Turner,,80-99,,
2:30.0,T. Rozier enters the game for A. Johnson,,80-99,,
2:30.0,J. Mickey enters the game for A. Bradley,,80-99,,
2:30.0,R. Hunter enters the game for I. Thomas,,80-99,,
2:30.0,J. Young enters the game for K. Olynyk,,80-99,,
2:30.0,,,80-99,,L. Nogueira misses free throw 2 of 2
2:29.0,Defensive rebound by T. Rozier,,80-99,,
2:19.0,T. Rozier makes 2-pt shot from 12 ft,2,82-99,,
1:59.0,,,82-101,2,L. Nogueira makes 2-pt shot at rim (assist by J. Thompson)
1:48.0,C. Clarke makes 3-pt shot from 25 ft (assist by T. Rozier),3,85-101,,
1:33.0,Shooting block foul by J. Mickey (drawn by J. Thompson),,85-101,,
1:33.0,,,85-102,1,J. Thompson makes free throw 1 of 2
1:33.0,,,85-102,,D. Wright enters the game for D. DeRozan
1:33.0,,,85-102,,B. Caboclo enters the game for C. Joseph
