time,LA Lakers,pts.away,score,pts.home,Brooklyn
8:54.0,,,24-29,,Offensive foul by A. Bargnani
8:54.0,,,24-29,,Turnover by A. Bargnani (offensive foul)
8:54.0,Official timeout,,24-29,,
8:54.0,,,24-29,,B. Lopez enters the game for A. Bargnani
8:46.0,K. Bryant misses 2-pt shot from 18 ft,,24-29,,
8:45.0,,,24-29,,Defensive rebound by Team
8:45.0,Loose ball foul by R. Hibbert (drawn by B. Lopez),,24-29,,
8:45.0,T. Black enters the game for R. Hibbert,,24-29,,
8:45.0,J. Randle enters the game for L. Nance,,24-29,,
8:34.0,,,24-29,,B. Lopez misses 3-pt shot from 24 ft
8:33.0,Defensive rebound by K. Bryant,,24-29,,
8:25.0,Turnover by K. Bryant (bad pass; steal by B. Bogdanovic),,24-29,,
8:18.0,,,24-29,,Turnover by T. Robinson (bad pass; steal by T. Black)
8:10.0,Shooting foul by S. Larkin (drawn by L. Williams),,24-29,,
8:10.0,L. Williams makes free throw 1 of 2,1,25-29,,
8:10.0,L. Williams makes free throw 2 of 2,1,26-29,,
7:55.0,,,26-29,,Shooting foul by T. Black (drawn by B. Lopez)
7:55.0,,,26-30,1,B. Lopez makes free throw 1 of 2
7:55.0,D. Russell enters the game for L. Williams,,26-30,,
7:55.0,J. Clarkson enters the game for N. Young,,26-30,,
7:55.0,,,26-31,1,B. Lopez makes free throw 2 of 2
7:34.0,K. Bryant makes 3-pt shot from 25 ft (assist by J. Randle),3,29-31,,
7:24.0,,,29-31,,B. Lopez misses 2-pt shot from 11 ft
7:23.0,,,29-31,,Offensive rebound by Team
7:22.0,Personal foul by J. Randle (drawn by T. Robinson),,29-31,,
7:22.0,,,29-31,,T. Robinson misses free throw 1 of 2
7:22.0,,,29-31,,Offensive rebound by Team
7:22.0,M. World Peace enters the game for K. Bryant,,29-31,,
7:22.0,,,29-31,,R. Hollis-Jefferson enters the game for B. Bogdanovic
7:22.0,,,29-32,1,T. Robinson makes free throw 2 of 2
7:14.0,,,29-32,,Personal foul by R. Hollis-Jefferson (drawn by J. Clarkson)
7:14.0,,,29-32,,T. Young enters the game for T. Robinson
7:14.0,,,29-32,,W. Ellington enters the game for R. Hollis-Jefferson
7:06.0,M. World Peace misses 3-pt shot from 26 ft,,29-32,,
7:05.0,,,29-32,,Defensive rebound by S. Larkin
6:52.0,,,29-32,,T. Young misses 2-pt shot from 2 ft (block by J. Randle)
6:50.0,Defensive rebound by Team,,29-32,,
6:32.0,,,29-32,,Personal foul by W. Ellington (drawn by J. Randle)
6:32.0,J. Randle makes free throw 1 of 2,1,30-32,,
6:32.0,J. Randle makes free throw 2 of 2,1,31-32,,
6:17.0,,,31-32,,Turnover by S. Larkin (lost ball; steal by J. Clarkson)
6:17.0,,,31-32,,Personal foul by S. Larkin (drawn by J. Clarkson)
6:17.0,J. Clarkson misses free throw 1 of 2,,31-32,,
6:17.0,Offensive rebound by Team,,31-32,,
6:17.0,,,31-32,,J. Jack enters the game for S. Larkin
6:17.0,J. Clarkson makes free throw 2 of 2,1,32-32,,
5:55.0,,,32-32,,J. Johnson misses 3-pt shot from 25 ft
5:54.0,Defensive rebound by M. World Peace,,32-32,,
5:42.0,J. Clarkson misses 3-pt shot from 26 ft,,32-32,,
5:41.0,,,32-32,,Defensive rebound by B. Lopez
5:33.0,,,32-34,2,T. Young makes 2-pt shot from 6 ft
5:23.0,Offensive foul by T. Black,,32-34,,
5:23.0,Turnover by T. Black (offensive foul),,32-34,,
5:23.0,,,32-34,,Brooklyn full timeout
5:23.0,K. Bryant enters the game for M. World Peace,,32-34,,
5:13.0,,,32-34,,Turnover by J. Johnson (bad pass; steal by D. Russell)
5:01.0,D. Russell misses 2-pt shot from 1 ft (block by B. Lopez),,32-34,,
5:00.0,Offensive rebound by D. Russell,,32-34,,
4:59.0,Shooting foul by B. Lopez (drawn by D. Russell),,32-34,,
4:59.0,,,32-34,,Technical foul by Team
4:59.0,K. Bryant misses technical free throw,,32-34,,
4:59.0,Offensive rebound by Team,,32-34,,
4:59.0,D. Russell makes free throw 1 of 2,1,33-34,,
4:59.0,D. Russell makes free throw 2 of 2,1,34-34,,
4:41.0,,,34-36,2,B. Lopez makes 2-pt shot from 20 ft (assist by J. Johnson)
4:28.0,K. Bryant misses 3-pt shot from 24 ft,,34-36,,
4:26.0,,,34-36,,Defensive rebound by W. Ellington
4:16.0,,,34-36,,Turnover by J. Jack (bad pass)
4:01.0,D. Russell makes 2-pt shot from 18 ft,2,36-36,,
3:42.0,,,36-36,,W. Ellington misses 2-pt shot from 18 ft
3:41.0,Defensive rebound by J. Randle,,36-36,,
3:31.0,T. Black makes 2-pt shot at rim (assist by K. Bryant),2,38-36,,
3:27.0,,,38-36,,Brooklyn full timeout
3:27.0,B. Bass enters the game for T. Black,,38-36,,
3:27.0,,,38-36,,B. Bogdanovic enters the game for W. Ellington
3:12.0,,,38-38,2,B. Lopez makes 2-pt shot from 2 ft (assist by T. Young)
2:57.0,Shooting foul by J. Johnson (drawn by J. Randle),,38-38,,
2:57.0,LA Lakers full timeout,,38-38,,
2:57.0,J. Randle misses free throw 1 of 2,,38-38,,
2:57.0,Offensive rebound by Team,,38-38,,
2:57.0,J. Randle makes free throw 2 of 2,1,39-38,,
2:43.0,,,39-40,2,J. Jack makes 2-pt shot from 19 ft
2:27.0,,,39-40,,Def 3 sec tech foul by B. Lopez
2:27.0,K. Bryant makes technical free throw,1,40-40,,
2:21.0,B. Bass makes 2-pt shot at rim (assist by J. Clarkson),2,42-40,,
2:06.0,,,42-42,2,J. Jack makes 2-pt shot from 19 ft
1:48.0,K. Bryant makes 2-pt shot from 2 ft (assist by J. Randle),2,44-42,,
1:34.0,Def 3 sec tech foul by B. Bass,,44-42,,
1:34.0,,,44-43,1,J. Johnson makes technical free throw
1:17.0,,,44-45,2,J. Johnson makes 2-pt shot from 14 ft
1:02.0,D. Russell makes 3-pt shot from 25 ft (assist by K. Bryant),3,47-45,,
0:48.0,,,47-47,2,J. Johnson makes 2-pt shot from 5 ft
0:41.0,D. Russell makes 3-pt shot from 25 ft,3,50-47,,
0:31.0,,,50-47,,J. Jack misses 3-pt shot from 24 ft
0:30.0,Defensive rebound by B. Bass,,50-47,,
0:08.0,K. Bryant makes 2-pt shot from 13 ft,2,52-47,,
0:03.0,,,52-47,,T. Young misses 3-pt shot from 23 ft
0:01.0,Defensive rebound by J. Randle,,52-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,J. Randle makes 2-pt shot from 7 ft,2,54-47,,
11:21.0,,,54-47,,J. Jack misses 2-pt shot from 7 ft
11:20.0,Defensive rebound by R. Hibbert,,54-47,,
11:13.0,Turnover by K. Bryant (bad pass; steal by R. Hollis-Jefferson),,54-47,,
11:05.0,,,54-50,3,J. Johnson makes 3-pt shot from 24 ft (assist by T. Young)
10:53.0,D. Russell makes 2-pt shot from 16 ft,2,56-50,,
10:35.0,,,56-50,,B. Lopez misses 2-pt shot from 14 ft
10:34.0,Defensive rebound by D. Russell,,56-50,,
10:22.0,Shooting foul by B. Lopez (drawn by J. Randle),,56-50,,
