time,Milwaukee,pts.away,score,pts.home,New Orleans
7:47.0,,,8-5,,Offensive rebound by A. Gee
7:47.0,,,8-5,,A. Gee misses 2-pt shot from 1 ft
7:46.0,,,8-5,,Offensive rebound by A. Gee
7:46.0,,,8-7,2,A. Gee makes 2-pt shot from 1 ft
7:35.0,M. Carter-Williams makes 2-pt shot at rim,2,10-7,,
7:27.0,,,10-9,2,T. Evans makes 2-pt shot from 2 ft
7:07.0,G. Monroe makes 2-pt shot from 4 ft,2,12-9,,
6:39.0,,,12-9,,T. Douglas misses 3-pt shot from 24 ft
6:38.0,Defensive rebound by K. Middleton,,12-9,,
6:27.0,Turnover by K. Middleton (bad pass; steal by T. Douglas),,12-9,,
6:19.0,,,12-11,2,A. Gee makes 2-pt shot at rim (assist by T. Evans)
5:55.0,M. Carter-Williams misses 2-pt shot from 1 ft,,12-11,,
5:55.0,,,12-11,,Defensive rebound by A. Gee
5:48.0,,,12-11,,Turnover by T. Evans (lost ball; steal by G. Antetokounmpo)
5:44.0,Shooting foul by A. Gee (drawn by G. Monroe),,12-11,,
5:44.0,,,12-11,,New Orleans full timeout
5:44.0,,,12-11,,R. Anderson enters the game for O. Asik
5:44.0,,,12-11,,J. Holiday enters the game for T. Evans
5:44.0,G. Monroe makes free throw 1 of 2,1,13-11,,
5:44.0,G. Monroe makes free throw 2 of 2,1,14-11,,
5:34.0,,,14-11,,Turnover by J. Holiday (lost ball; steal by M. Carter-Williams)
5:34.0,,,14-11,,Personal foul by J. Holiday (drawn by M. Carter-Williams)
5:34.0,J. Henson enters the game for G. Antetokounmpo,,14-11,,
5:34.0,J. Bayless enters the game for G. Monroe,,14-11,,
5:21.0,Turnover by M. Carter-Williams (bad pass; steal by J. Holiday),,14-11,,
5:13.0,,,14-14,3,R. Anderson makes 3-pt shot from 26 ft (assist by T. Douglas)
4:50.0,K. Middleton misses 3-pt shot from 27 ft,,14-14,,
4:49.0,,,14-14,,Defensive rebound by R. Anderson
4:45.0,Personal foul by M. Carter-Williams (drawn by R. Anderson),,14-14,,
4:45.0,J. O'Bryant enters the game for M. Carter-Williams,,14-14,,
4:34.0,,,14-14,,A. Davis misses 2-pt shot from 18 ft
4:34.0,Defensive rebound by J. Parker,,14-14,,
4:24.0,Turnover by J. Parker (bad pass),,14-14,,
4:03.0,,,14-14,,A. Davis misses 2-pt shot from 8 ft
4:03.0,Defensive rebound by J. Parker,,14-14,,
3:43.0,J. Henson makes 2-pt shot from 2 ft (assist by K. Middleton),2,16-14,,
3:28.0,,,16-16,2,A. Gee makes 2-pt shot at rim (assist by A. Davis)
3:08.0,K. Middleton misses 2-pt shot from 13 ft,,16-16,,
3:08.0,,,16-16,,Defensive rebound by R. Anderson
2:44.0,,,16-16,,A. Gee misses 2-pt shot from 19 ft
2:43.0,Defensive rebound by K. Middleton,,16-16,,
2:38.0,J. Henson misses 2-pt shot at rim (block by A. Davis),,16-16,,
2:37.0,,,16-16,,Defensive rebound by A. Gee
2:31.0,,,16-16,,J. Holiday misses 2-pt shot from 15 ft
2:29.0,Defensive rebound by J. Henson,,16-16,,
2:19.0,Shooting foul by J. Holiday (drawn by K. Middleton),,16-16,,
2:19.0,Milwaukee full timeout,,16-16,,
2:19.0,G. Antetokounmpo enters the game for J. Parker,,16-16,,
2:19.0,K. Middleton makes free throw 1 of 2,1,17-16,,
2:19.0,K. Middleton makes free throw 2 of 2,1,18-16,,
2:09.0,,,18-18,2,J. Holiday makes 2-pt shot from 1 ft
1:50.0,Turnover by J. Henson (lost ball; steal by A. Davis),,18-18,,
1:43.0,,,18-18,,R. Anderson misses 2-pt shot from 2 ft
1:42.0,Defensive rebound by J. Henson,,18-18,,
1:31.0,J. O'Bryant misses 2-pt shot from 20 ft,,18-18,,
1:31.0,,,18-18,,Defensive rebound by Team
1:31.0,R. Vaughn enters the game for K. Middleton,,18-18,,
1:31.0,,,18-18,,T. Evans enters the game for J. Holiday
1:31.0,,,18-18,,A. Ajinca enters the game for A. Davis
1:14.0,,,18-18,,R. Anderson misses 2-pt shot from 15 ft
1:13.0,Defensive rebound by G. Antetokounmpo,,18-18,,
1:03.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,20-18,,
0:52.0,,,20-18,,Shooting foul by J. O'Bryant (drawn by A. Ajinca)
0:52.0,,,20-19,1,A. Ajinca makes free throw 1 of 2
0:52.0,G. Monroe enters the game for J. Henson,,20-19,,
0:52.0,,,20-20,1,A. Ajinca makes free throw 2 of 2
0:37.0,,,20-20,,Personal foul by A. Gee (drawn by G. Antetokounmpo)
0:37.0,G. Antetokounmpo makes free throw 1 of 2,1,21-20,,
0:37.0,,,21-20,,L. Babbitt enters the game for A. Gee
0:37.0,G. Antetokounmpo misses free throw 2 of 2,,21-20,,
0:36.0,,,21-20,,Defensive rebound by A. Ajinca
0:30.0,Shooting block foul by J. Bayless (drawn by T. Evans),,21-20,,
0:30.0,,,21-21,1,T. Evans makes free throw 1 of 2
0:30.0,,,21-22,1,T. Evans makes free throw 2 of 2
0:14.0,G. Antetokounmpo makes 2-pt shot from 3 ft (assist by G. Monroe),2,23-22,,
0:00.0,,,23-22,,R. Anderson misses 3-pt shot from 26 ft
0:00.0,,,23-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,Turnover by G. Antetokounmpo (bad pass; steal by T. Douglas),,23-22,,
11:42.0,,,23-25,3,T. Douglas makes 3-pt shot from 24 ft
11:16.0,Turnover by G. Antetokounmpo (lost ball; steal by T. Douglas),,23-25,,
11:11.0,,,23-27,2,T. Evans makes 2-pt shot from 1 ft (assist by T. Douglas)
11:11.0,Milwaukee full timeout,,23-27,,
11:02.0,,,23-27,,Personal foul by A. Ajinca (drawn by G. Monroe)
10:56.0,G. Monroe makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,25-27,,
10:35.0,,,25-27,,R. Anderson misses 2-pt shot from 2 ft
10:34.0,Defensive rebound by J. O'Bryant,,25-27,,
10:25.0,Shooting foul by A. Ajinca (drawn by G. Monroe),,25-27,,
10:25.0,G. Monroe makes free throw 1 of 2,1,26-27,,
10:25.0,G. Monroe makes free throw 2 of 2,1,27-27,,
10:07.0,Shooting block foul by J. O'Bryant (drawn by T. Evans),,27-27,,
10:07.0,,,27-28,1,T. Evans makes free throw 1 of 2
10:07.0,,,27-28,,T. Evans misses free throw 2 of 2
10:06.0,Defensive rebound by G. Antetokounmpo,,27-28,,
9:43.0,G. Monroe makes 2-pt shot from 12 ft,2,29-28,,
9:24.0,,,29-30,2,A. Ajinca makes 2-pt shot at rim (assist by T. Evans)
8:59.0,G. Antetokounmpo misses 2-pt shot from 5 ft,,29-30,,
8:58.0,,,29-30,,Defensive rebound by A. Ajinca
8:51.0,,,29-30,,T. Douglas misses 2-pt shot from 2 ft (block by J. Bayless)
8:50.0,Defensive rebound by J. O'Bryant,,29-30,,
8:45.0,R. Vaughn misses 3-pt shot from 23 ft,,29-30,,
8:43.0,Offensive rebound by G. Monroe,,29-30,,
8:41.0,G. Monroe makes 2-pt shot from 2 ft,2,31-30,,
8:26.0,Def 3 sec tech foul by G. Monroe,,31-30,,
8:26.0,,,31-31,1,R. Anderson makes technical free throw
8:26.0,,,31-31,,N. Cole enters the game for T. Douglas
8:26.0,,,31-31,,O. Asik enters the game for A. Ajinca
8:19.0,,,31-34,3,R. Anderson makes 3-pt shot from 25 ft (assist by T. Evans)
8:04.0,J. Bayless misses 3-pt shot from 24 ft,,31-34,,
8:01.0,Offensive rebound by G. Monroe,,31-34,,
7:54.0,G. Antetokounmpo misses 2-pt shot from 6 ft,,31-34,,
7:53.0,Offensive rebound by G. Monroe,,31-34,,
7:52.0,G. Monroe misses 2-pt shot from 3 ft,,31-34,,
7:51.0,Offensive rebound by J. O'Bryant,,31-34,,
7:49.0,J. O'Bryant makes 2-pt shot from 4 ft,2,33-34,,
7:35.0,,,33-34,,T. Evans misses 2-pt shot from 3 ft
7:35.0,Defensive rebound by Team,,33-34,,
7:35.0,M. Carter-Williams enters the game for J. Bayless,,33-34,,
7:25.0,G. Antetokounmpo misses 2-pt shot from 5 ft,,33-34,,
7:24.0,,,33-34,,Defensive rebound by O. Asik
7:11.0,,,33-34,,R. Anderson misses 2-pt shot from 1 ft
7:11.0,Defensive rebound by G. Monroe,,33-34,,
7:06.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by R. Vaughn),2,35-34,,
6:56.0,Personal foul by R. Vaughn (drawn by N. Cole),,35-34,,
6:56.0,J. Parker enters the game for J. O'Bryant,,35-34,,
6:56.0,J. Henson enters the game for G. Monroe,,35-34,,
6:47.0,,,35-34,,L. Babbitt misses 3-pt shot from 26 ft
6:47.0,Defensive rebound by R. Vaughn,,35-34,,
6:34.0,M. Carter-Williams makes 2-pt shot from 10 ft,2,37-34,,
6:19.0,,,37-34,,O. Asik misses 2-pt shot from 1 ft (block by M. Carter-Williams)
6:18.0,,,37-34,,Offensive rebound by L. Babbitt
6:14.0,,,37-34,,Turnover by R. Anderson (bad pass)
6:14.0,,,37-34,,A. Davis enters the game for L. Babbitt
6:01.0,J. Henson makes 2-pt shot from 5 ft (assist by G. Antetokounmpo),2,39-34,,
5:49.0,,,39-34,,N. Cole misses 2-pt shot from 16 ft
5:42.0,,,39-34,,Offensive rebound by T. Evans
5:38.0,,,39-34,,R. Anderson misses 3-pt shot from 25 ft
5:35.0,,,39-34,,Offensive rebound by O. Asik
5:19.0,,,39-34,,T. Evans misses 2-pt shot from 14 ft
5:18.0,Defensive rebound by M. Carter-Williams,,39-34,,
5:06.0,M. Carter-Williams makes 2-pt shot from 8 ft,2,41-34,,
5:06.0,Shooting foul by T. Evans (drawn by M. Carter-Williams),,41-34,,
5:06.0,Official timeout,,41-34,,
5:06.0,,,41-34,,J. Holiday enters the game for T. Evans
5:06.0,,,41-34,,A. Gee enters the game for O. Asik
5:06.0,M. Carter-Williams misses free throw 1 of 1,,41-34,,
5:04.0,,,41-34,,Defensive rebound by A. Davis
4:52.0,Personal foul by J. Henson (drawn by A. Davis),,41-34,,
4:52.0,K. Middleton enters the game for G. Antetokounmpo,,41-34,,
4:48.0,Personal foul by J. Henson (drawn by A. Davis),,41-34,,
4:40.0,,,41-36,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
4:23.0,J. Parker misses 2-pt shot from 21 ft,,41-36,,
4:23.0,,,41-36,,Defensive rebound by J. Holiday
4:11.0,,,41-36,,A. Davis misses 2-pt shot from 9 ft
4:10.0,Defensive rebound by K. Middleton,,41-36,,
3:55.0,Turnover by M. Carter-Williams (bad pass; steal by A. Gee),,41-36,,
3:51.0,,,41-38,2,A. Gee makes 2-pt shot at rim
3:40.0,M. Carter-Williams misses 2-pt shot from 2 ft,,41-38,,
3:39.0,Offensive rebound by J. Parker,,41-38,,
3:39.0,J. Parker makes 2-pt shot at rim,2,43-38,,
3:31.0,,,43-38,,J. Holiday misses 2-pt shot from 1 ft
3:30.0,Defensive rebound by J. Parker,,43-38,,
3:12.0,R. Vaughn misses 2-pt shot from 1 ft,,43-38,,
3:11.0,,,43-38,,Defensive rebound by N. Cole
3:03.0,,,43-41,3,N. Cole makes 3-pt shot from 22 ft (assist by J. Holiday)
2:49.0,Turnover by M. Carter-Williams (lost ball; steal by J. Holiday),,43-41,,
2:46.0,,,43-43,2,J. Holiday makes 2-pt shot at rim
2:46.0,Milwaukee full timeout,,43-43,,
2:46.0,,,43-43,,New Orleans full timeout
2:46.0,G. Monroe enters the game for J. Henson,,43-43,,
2:46.0,G. Antetokounmpo enters the game for R. Vaughn,,43-43,,
2:32.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Parker),2,45-43,,
2:20.0,,,45-43,,Shooting foul by G. Antetokounmpo (drawn by A. Davis)
2:20.0,,,45-44,1,A. Davis makes free throw 1 of 2
2:20.0,,,45-45,1,A. Davis makes free throw 2 of 2
2:01.0,Turnover by K. Middleton (bad pass),,45-45,,
1:54.0,,,45-47,2,J. Holiday makes 2-pt shot from 1 ft
1:54.0,Loose ball foul by G. Antetokounmpo (drawn by A. Davis),,45-47,,
1:54.0,J. Bayless enters the game for G. Antetokounmpo,,45-47,,
1:54.0,,,45-47,,A. Davis misses free throw 1 of 1
1:53.0,Offensive rebound by G. Monroe,,45-47,,
1:39.0,G. Monroe makes 2-pt shot from 9 ft,2,47-47,,
1:25.0,,,47-50,3,R. Anderson makes 3-pt shot from 25 ft (assist by A. Gee)
1:07.0,Turnover by J. Parker (bad pass),,47-50,,
1:07.0,,,47-50,,T. Douglas enters the game for J. Holiday
0:50.0,,,47-50,,R. Anderson misses 3-pt shot from 24 ft
0:48.0,Defensive rebound by K. Middleton,,47-50,,
0:42.0,J. Parker makes 2-pt shot at rim (assist by G. Monroe),2,49-50,,
0:33.0,,,49-50,,Turnover by N. Cole (bad pass)
0:18.0,Shooting foul by R. Anderson (drawn by G. Monroe),,49-50,,
0:18.0,G. Monroe makes free throw 1 of 2,1,50-50,,
0:18.0,,,50-50,,J. Holiday enters the game for A. Gee
0:18.0,G. Monroe makes free throw 2 of 2,1,51-50,,
0:00.0,,,51-52,2,R. Anderson makes 2-pt shot at rim (assist by A. Davis)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,K. Middleton misses 2-pt shot from 21 ft,,51-52,,
11:43.0,,,51-52,,Defensive rebound by A. Davis
11:25.0,,,51-54,2,O. Asik makes 2-pt shot from 2 ft (assist by A. Davis)
11:02.0,G. Monroe misses 2-pt shot from 15 ft,,51-54,,
11:01.0,,,51-54,,Defensive rebound by T. Evans
10:41.0,,,51-56,2,O. Asik makes 2-pt shot from 1 ft (assist by A. Davis)
10:28.0,M. Carter-Williams makes 2-pt shot from 6 ft,2,53-56,,
10:07.0,,,53-56,,A. Davis misses 2-pt shot from 16 ft
10:05.0,,,53-56,,Offensive rebound by O. Asik
10:00.0,,,53-59,3,N. Cole makes 3-pt shot from 24 ft (assist by T. Evans)
9:34.0,K. Middleton makes 2-pt shot from 16 ft,2,55-59,,
9:15.0,,,55-62,3,N. Cole makes 3-pt shot from 25 ft (assist by A. Gee)
9:15.0,Milwaukee full timeout,,55-62,,
9:04.0,K. Middleton makes 3-pt shot from 23 ft (assist by M. Carter-Williams),3,58-62,,
8:55.0,,,58-64,2,A. Davis makes 2-pt shot from 19 ft (assist by N. Cole)
8:31.0,K. Middleton makes 2-pt shot from 17 ft (assist by M. Carter-Williams),2,60-64,,
8:14.0,,,60-64,,Turnover by A. Davis (lost ball; steal by M. Carter-Williams)
8:08.0,M. Carter-Williams makes 2-pt shot at rim (assist by K. Middleton),2,62-64,,
7:47.0,,,62-64,,T. Evans misses 3-pt shot from 26 ft
7:46.0,Defensive rebound by G. Monroe,,62-64,,
7:25.0,M. Carter-Williams makes 2-pt shot from 2 ft,2,64-64,,
7:13.0,,,64-64,,N. Cole misses 3-pt shot from 24 ft
7:12.0,,,64-64,,Offensive rebound by O. Asik
7:08.0,,,64-64,,T. Evans misses 2-pt shot from 2 ft
7:07.0,,,64-64,,Offensive rebound by O. Asik
7:07.0,,,64-64,,O. Asik misses 2-pt shot from 1 ft
7:06.0,Defensive rebound by G. Antetokounmpo,,64-64,,
6:54.0,,,64-64,,Personal foul by O. Asik (drawn by G. Monroe)
6:47.0,K. Middleton makes 2-pt shot from 18 ft (assist by M. Carter-Williams),2,66-64,,
6:22.0,,,66-64,,T. Evans misses 2-pt shot from 21 ft
6:21.0,Defensive rebound by K. Middleton,,66-64,,
6:19.0,Turnover by G. Monroe (offensive foul),,66-64,,
6:19.0,Offensive foul by G. Monroe,,66-64,,
5:58.0,,,66-64,,T. Evans misses 2-pt shot at rim
5:57.0,Defensive rebound by G. Monroe,,66-64,,
5:55.0,Turnover by G. Monroe (lost ball),,66-64,,
5:55.0,,,66-64,,J. Holiday enters the game for T. Evans
5:55.0,,,66-64,,R. Anderson enters the game for O. Asik
5:55.0,J. Bayless enters the game for G. Antetokounmpo,,66-64,,
5:55.0,J. Henson enters the game for G. Monroe,,66-64,,
5:48.0,,,66-64,,N. Cole misses 2-pt shot from 2 ft
5:48.0,Defensive rebound by M. Carter-Williams,,66-64,,
5:33.0,K. Middleton makes 2-pt shot from 21 ft (assist by M. Carter-Williams),2,68-64,,
5:25.0,,,68-66,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
5:04.0,K. Middleton misses 2-pt shot from 17 ft,,68-66,,
5:03.0,,,68-66,,Defensive rebound by N. Cole
4:51.0,,,68-66,,A. Gee misses 2-pt shot at rim
4:50.0,Defensive rebound by K. Middleton,,68-66,,
4:41.0,Turnover by K. Middleton (lost ball; steal by N. Cole),,68-66,,
4:36.0,,,68-66,,N. Cole misses 2-pt shot from 17 ft
4:36.0,Defensive rebound by Team,,68-66,,
4:36.0,,,68-66,,Loose ball foul by A. Davis (drawn by M. Carter-Williams)
4:14.0,J. Parker misses 2-pt shot from 5 ft (block by A. Davis),,68-66,,
4:13.0,,,68-66,,Defensive rebound by R. Anderson
4:06.0,,,68-69,3,R. Anderson makes 3-pt shot from 25 ft (assist by N. Cole)
3:46.0,,,68-69,,Personal foul by J. Holiday (drawn by M. Carter-Williams)
3:40.0,K. Middleton makes 3-pt shot from 25 ft (assist by J. Henson),3,71-69,,
3:26.0,Personal foul by M. Carter-Williams (drawn by J. Holiday),,71-69,,
3:26.0,J. O'Bryant enters the game for J. Parker,,71-69,,
3:26.0,G. Antetokounmpo enters the game for M. Carter-Williams,,71-69,,
3:15.0,,,71-69,,R. Anderson misses 2-pt shot from 20 ft
3:14.0,Defensive rebound by G. Antetokounmpo,,71-69,,
3:05.0,Turnover by K. Middleton (bad pass),,71-69,,
2:50.0,,,71-71,2,N. Cole makes 2-pt shot from 13 ft (assist by R. Anderson)
2:30.0,K. Middleton misses 2-pt shot from 10 ft,,71-71,,
2:29.0,,,71-71,,Defensive rebound by R. Anderson
2:25.0,,,71-71,,Shooting foul by G. Antetokounmpo (drawn by A. Gee)
2:25.0,,,71-71,,New Orleans full timeout
2:25.0,,,71-72,1,A. Gee makes free throw 1 of 2
2:25.0,,,71-73,1,A. Gee makes free throw 2 of 2
2:09.0,J. O'Bryant misses 2-pt shot from 2 ft (block by A. Davis),,71-73,,
2:09.0,,,71-73,,Defensive rebound by Team
1:56.0,,,71-76,3,R. Anderson makes 3-pt shot from 24 ft (assist by J. Holiday)
1:34.0,J. Bayless makes 3-pt shot from 25 ft (assist by K. Middleton),3,74-76,,
1:14.0,,,74-78,2,A. Gee makes 2-pt shot from 21 ft (assist by J. Holiday)
0:58.0,K. Middleton misses 2-pt shot from 22 ft,,74-78,,
0:57.0,,,74-78,,Defensive rebound by A. Gee
0:42.0,,,74-80,2,J. Holiday makes 2-pt shot from 2 ft (assist by R. Anderson)
0:30.0,J. Bayless misses 3-pt shot from 25 ft,,74-80,,
0:29.0,,,74-80,,Defensive rebound by A. Davis
0:26.0,Technical foul by J. Henson,,74-80,,
0:26.0,,,74-81,1,A. Davis makes technical free throw
0:26.0,R. Vaughn enters the game for J. O'Bryant,,74-81,,
0:18.0,,,74-81,,Shooting foul by G. Antetokounmpo (drawn by A. Davis)
0:18.0,,,74-83,2,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday)
0:18.0,M. Carter-Williams enters the game for G. Antetokounmpo,,74-83,,
0:18.0,,,74-84,1,A. Davis makes free throw 1 of 1
0:00.0,J. Bayless misses 3-pt shot from 25 ft,,74-84,,
0:00.0,Offensive rebound by Team,,74-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,74-84,,J. Holiday misses 2-pt shot from 11 ft
11:44.0,Defensive rebound by R. Vaughn,,74-84,,
11:25.0,G. Monroe makes 2-pt shot from 7 ft (assist by J. Parker),2,76-84,,
11:04.0,,,76-84,,A. Davis misses 2-pt shot from 17 ft
11:03.0,Defensive rebound by M. Carter-Williams,,76-84,,
10:53.0,G. Monroe misses 2-pt shot from 7 ft,,76-84,,
10:52.0,,,76-84,,Defensive rebound by A. Davis
10:41.0,,,76-84,,R. Anderson misses 3-pt shot from 25 ft
10:40.0,Defensive rebound by G. Monroe,,76-84,,
10:31.0,M. Carter-Williams makes 2-pt shot from 7 ft,2,78-84,,
10:16.0,,,78-84,,N. Cole misses 2-pt shot from 2 ft
10:16.0,Defensive rebound by J. Bayless,,78-84,,
10:00.0,J. Parker misses 2-pt shot from 1 ft,,78-84,,
10:00.0,,,78-84,,Defensive rebound by N. Cole
9:50.0,,,78-84,,A. Davis misses 2-pt shot at rim
9:49.0,,,78-84,,Offensive rebound by A. Davis
9:49.0,,,78-86,2,A. Davis makes 2-pt shot at rim
9:26.0,G. Monroe misses 2-pt shot from 2 ft,,78-86,,
9:26.0,,,78-86,,Defensive rebound by A. Davis
9:26.0,Loose ball foul by G. Monroe (drawn by A. Davis),,78-86,,
9:26.0,,,78-86,,Violation by Team (jump ball)
9:26.0,,,78-86,,O. Asik enters the game for A. Davis
9:26.0,,,78-86,,T. Douglas enters the game for N. Cole
9:12.0,,,78-89,3,J. Holiday makes 3-pt shot from 26 ft
8:46.0,J. Bayless misses 3-pt shot from 24 ft,,78-89,,
8:45.0,,,78-89,,Defensive rebound by O. Asik
8:38.0,,,78-92,3,T. Douglas makes 3-pt shot from 23 ft (assist by A. Gee)
8:38.0,Milwaukee full timeout,,78-92,,
8:38.0,,,78-92,,T. Evans enters the game for A. Gee
8:38.0,K. Middleton enters the game for J. Bayless,,78-92,,
8:25.0,G. Monroe misses 2-pt shot from 2 ft,,78-92,,
8:23.0,,,78-92,,Defensive rebound by J. Holiday
8:00.0,,,78-94,2,T. Douglas makes 2-pt shot from 17 ft (assist by T. Evans)
7:43.0,K. Middleton makes 3-pt shot from 24 ft,3,81-94,,
7:27.0,,,81-94,,R. Anderson misses 2-pt shot from 1 ft (block by M. Carter-Williams)
7:26.0,Defensive rebound by M. Carter-Williams,,81-94,,
7:22.0,Turnover by K. Middleton (lost ball; steal by T. Evans),,81-94,,
6:59.0,,,81-97,3,T. Evans makes 3-pt shot from 24 ft (assist by T. Douglas)
6:39.0,Shooting foul by O. Asik (drawn by J. Parker),,81-97,,
6:39.0,J. Parker makes free throw 1 of 2,1,82-97,,
6:39.0,G. Antetokounmpo enters the game for R. Vaughn,,82-97,,
6:39.0,J. Parker makes free throw 2 of 2,1,83-97,,
6:30.0,,,83-100,3,R. Anderson makes 3-pt shot from 25 ft (assist by J. Holiday)
6:30.0,Milwaukee full timeout,,83-100,,
6:30.0,,,83-100,,A. Davis enters the game for O. Asik
6:20.0,K. Middleton misses 3-pt shot from 27 ft,,83-100,,
6:18.0,,,83-100,,Defensive rebound by R. Anderson
6:00.0,,,83-102,2,J. Holiday makes 2-pt shot from 1 ft
5:47.0,G. Monroe makes 2-pt shot from 1 ft (assist by K. Middleton),2,85-102,,
5:31.0,,,85-102,,T. Douglas misses 3-pt shot from 23 ft
5:30.0,Defensive rebound by G. Antetokounmpo,,85-102,,
5:22.0,Shooting foul by T. Evans (drawn by J. Parker),,85-102,,
5:22.0,J. Parker makes free throw 1 of 2,1,86-102,,
5:22.0,,,86-102,,A. Gee enters the game for T. Evans
5:22.0,J. Parker makes free throw 2 of 2,1,87-102,,
5:03.0,,,87-102,,J. Holiday misses 2-pt shot from 18 ft
5:02.0,,,87-102,,Offensive rebound by R. Anderson
5:02.0,,,87-102,,R. Anderson misses 2-pt shot from 2 ft
5:01.0,Defensive rebound by G. Monroe,,87-102,,
4:53.0,Shooting foul by A. Gee (drawn by G. Antetokounmpo),,87-102,,
4:53.0,G. Antetokounmpo misses free throw 1 of 2,,87-102,,
4:53.0,Offensive rebound by Team,,87-102,,
4:53.0,G. Antetokounmpo makes free throw 2 of 2,1,88-102,,
4:42.0,,,88-102,,Shooting foul by G. Monroe (drawn by A. Davis)
4:42.0,,,88-102,,A. Davis misses free throw 1 of 2
4:42.0,,,88-102,,Offensive rebound by Team
4:42.0,,,88-103,1,A. Davis makes free throw 2 of 2
4:35.0,K. Middleton misses 3-pt shot from 23 ft,,88-103,,
4:35.0,,,88-103,,Defensive rebound by J. Holiday
4:18.0,,,88-103,,R. Anderson misses 3-pt shot from 25 ft
4:17.0,Defensive rebound by G. Antetokounmpo,,88-103,,
4:12.0,Offensive foul by G. Antetokounmpo,,88-103,,
4:12.0,Turnover by G. Antetokounmpo (offensive foul),,88-103,,
4:12.0,R. Vaughn enters the game for G. Antetokounmpo,,88-103,,
3:55.0,,,88-105,2,R. Anderson makes 2-pt shot from 1 ft (assist by A. Davis)
3:50.0,,,88-105,,Personal foul by A. Gee (drawn by K. Middleton)
3:40.0,M. Carter-Williams makes 2-pt shot from 2 ft,2,90-105,,
3:22.0,,,90-107,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
