time,Charlotte,pts.away,score,pts.home,Denver
7:36.0,,,14-15,,D. Gallinari misses 2-pt shot from 1 ft
7:35.0,Defensive rebound by C. Zeller,,14-15,,
7:17.0,P. Hairston makes 2-pt shot at rim (assist by M. Williams),2,16-15,,
7:16.0,,,16-15,,Denver full timeout
7:03.0,,,16-17,2,D. Arthur makes 2-pt shot from 17 ft (assist by N. Jokic)
6:47.0,C. Zeller makes 2-pt shot from 9 ft (assist by N. Batum),2,18-17,,
6:34.0,,,18-19,2,E. Mudiay makes 2-pt shot from 1 ft (assist by G. Harris)
6:20.0,C. Zeller misses 2-pt shot from 18 ft,,18-19,,
6:19.0,,,18-19,,Defensive rebound by D. Arthur
6:01.0,,,18-22,3,D. Gallinari makes 3-pt shot from 25 ft (assist by N. Jokic)
5:43.0,K. Walker makes 2-pt shot from 18 ft,2,20-22,,
5:31.0,,,20-25,3,G. Harris makes 3-pt shot from 24 ft (assist by D. Arthur)
5:24.0,Charlotte full timeout,,20-25,,
5:24.0,F. Kaminsky enters the game for M. Williams,,20-25,,
5:24.0,J. Lin enters the game for N. Batum,,20-25,,
5:09.0,F. Kaminsky misses 3-pt shot from 25 ft,,20-25,,
5:08.0,,,20-25,,Defensive rebound by D. Gallinari
4:54.0,,,20-25,,Turnover by E. Mudiay (traveling)
4:46.0,Turnover by C. Zeller (lost ball; steal by G. Harris),,20-25,,
4:42.0,,,20-25,,Shooting foul by P. Hairston (drawn by D. Arthur)
4:42.0,,,20-26,1,D. Arthur makes free throw 1 of 2
4:42.0,,,20-27,1,D. Arthur makes free throw 2 of 2
4:19.0,J. Lin misses 3-pt shot from 24 ft,,20-27,,
4:18.0,Offensive rebound by F. Kaminsky,,20-27,,
4:05.0,F. Kaminsky makes 2-pt shot from 5 ft (assist by J. Lin),2,22-27,,
3:42.0,,,22-27,,G. Harris misses 2-pt shot from 2 ft (block by J. Lin)
3:42.0,,,22-27,,Offensive rebound by Team
3:42.0,,,22-27,,Turnover by Team (shot clock)
3:42.0,,,22-27,,W. Barton enters the game for E. Mudiay
3:42.0,,,22-27,,R. Foye enters the game for D. Arthur
3:42.0,J. Lamb enters the game for P. Hairston,,22-27,,
3:28.0,Turnover by C. Zeller (lost ball; steal by D. Gallinari),,22-27,,
3:20.0,,,22-27,,Shooting foul by F. Kaminsky (drawn by D. Gallinari)
3:20.0,,,22-28,1,D. Gallinari makes free throw 1 of 2
3:20.0,,,22-28,,J. Lauvergne enters the game for N. Jokic
3:20.0,,,22-29,1,D. Gallinari makes free throw 2 of 2
2:57.0,F. Kaminsky misses 2-pt shot from 13 ft,,22-29,,
2:56.0,Offensive rebound by Team,,22-29,,
2:56.0,Turnover by Team (shot clock),,22-29,,
2:42.0,,,22-29,,Turnover by D. Gallinari (lost ball; steal by F. Kaminsky)
2:38.0,,,22-29,,Shooting block foul by R. Foye (drawn by K. Walker)
2:38.0,K. Walker makes free throw 1 of 2,1,23-29,,
2:38.0,S. Hawes enters the game for C. Zeller,,23-29,,
2:38.0,K. Walker makes free throw 2 of 2,1,24-29,,
2:13.0,,,24-32,3,W. Barton makes 3-pt shot from 26 ft
1:53.0,Shooting foul by J. Lauvergne (drawn by K. Walker),,24-32,,
1:53.0,K. Walker makes free throw 1 of 2,1,25-32,,
1:53.0,,,25-32,,J. Nurkic enters the game for D. Gallinari
1:53.0,K. Walker makes free throw 2 of 2,1,26-32,,
1:32.0,,,26-32,,J. Lauvergne misses 2-pt shot from 17 ft
1:31.0,Defensive rebound by S. Hawes,,26-32,,
1:24.0,J. Lin misses 3-pt shot from 24 ft,,26-32,,
1:23.0,,,26-32,,Defensive rebound by W. Barton
1:12.0,,,26-34,2,J. Nurkic makes 2-pt shot from 2 ft (assist by W. Barton)
0:54.0,S. Hawes misses 2-pt shot from 3 ft,,26-34,,
0:54.0,,,26-34,,Defensive rebound by J. Nurkic
0:43.0,,,26-34,,W. Barton misses 2-pt shot from 9 ft
0:40.0,,,26-34,,Offensive rebound by J. Nurkic
0:40.0,,,26-34,,J. Nurkic misses 2-pt shot from 5 ft
0:40.0,Defensive rebound by F. Kaminsky,,26-34,,
0:38.0,Turnover by F. Kaminsky (bad pass; steal by G. Harris),,26-34,,
0:33.0,,,26-34,,G. Harris misses 2-pt shot from 2 ft
0:32.0,Defensive rebound by F. Kaminsky,,26-34,,
0:24.0,J. Lin misses 2-pt shot from 4 ft,,26-34,,
0:23.0,,,26-34,,Defensive rebound by J. Lauvergne
0:04.0,,,26-36,2,J. Nurkic makes 2-pt shot from 1 ft (assist by W. Barton)
0:00.0,K. Walker misses 3-pt shot from 24 ft,,26-36,,
0:00.0,Offensive rebound by Team,,26-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,S. Hawes misses 2-pt shot from 2 ft,,26-36,,
11:41.0,,,26-36,,Defensive rebound by J. Nurkic
11:41.0,Technical foul by S. Hawes,,26-36,,
11:41.0,,,26-37,1,R. Foye makes technical free throw
11:32.0,Violation by F. Kaminsky (kicked ball),,26-37,,
11:19.0,,,26-37,,Turnover by Team (shot clock)
11:04.0,J. Lin misses 3-pt shot from 26 ft,,26-37,,
11:03.0,,,26-37,,Defensive rebound by E. Mudiay
11:00.0,,,26-37,,Turnover by E. Mudiay (bad pass; steal by J. Lamb)
10:46.0,Turnover by S. Hawes (traveling),,26-37,,
10:29.0,,,26-39,2,J. Nurkic makes 2-pt shot from 5 ft (assist by E. Mudiay)
10:19.0,N. Batum misses 3-pt shot from 24 ft,,26-39,,
10:15.0,,,26-39,,Defensive rebound by J. Lauvergne
10:08.0,,,26-39,,J. Nurkic misses 2-pt shot from 21 ft
10:07.0,Defensive rebound by J. Lamb,,26-39,,
9:57.0,S. Hawes makes 3-pt shot from 24 ft (assist by J. Lamb),3,29-39,,
9:39.0,,,29-39,,E. Mudiay misses 2-pt shot from 15 ft
9:39.0,Defensive rebound by F. Kaminsky,,29-39,,
9:27.0,J. Lamb misses 2-pt shot from 2 ft (block by E. Mudiay),,29-39,,
9:27.0,Offensive rebound by J. Lamb,,29-39,,
9:27.0,J. Lamb makes 2-pt shot from 2 ft,2,31-39,,
9:27.0,,,31-39,,Denver full timeout
9:11.0,,,31-39,,W. Barton misses 2-pt shot from 18 ft
9:11.0,Defensive rebound by Team,,31-39,,
9:11.0,,,31-39,,Loose ball foul by J. Nurkic (drawn by S. Hawes)
9:03.0,,,31-39,,Personal foul by W. Barton (drawn by N. Batum)
8:55.0,J. Lin misses 3-pt shot from 25 ft,,31-39,,
8:53.0,,,31-39,,Defensive rebound by Team
8:39.0,,,31-39,,E. Mudiay misses 3-pt shot from 25 ft
8:37.0,,,31-39,,Offensive rebound by W. Barton
8:37.0,,,31-39,,W. Barton misses 2-pt shot from 1 ft
8:35.0,,,31-39,,Offensive rebound by J. Nurkic
8:32.0,,,31-39,,J. Nurkic misses 2-pt shot from 1 ft
8:30.0,Defensive rebound by J. Lin,,31-39,,
8:21.0,Turnover by S. Hawes (lost ball; steal by J. Nurkic),,31-39,,
8:17.0,,,31-39,,Shooting foul by J. Lin (drawn by W. Barton)
8:17.0,,,31-39,,Technical foul by J. Nurkic
8:17.0,N. Batum makes technical free throw,1,32-39,,
8:17.0,,,32-40,1,W. Barton makes free throw 1 of 2
8:17.0,,,32-40,,N. Jokic enters the game for J. Nurkic
8:17.0,,,32-41,1,W. Barton makes free throw 2 of 2
8:05.0,S. Hawes makes 3-pt shot from 24 ft (assist by N. Batum),3,35-41,,
7:57.0,,,35-41,,Turnover by E. Mudiay (lost ball; steal by S. Hawes)
7:41.0,J. Lamb makes 2-pt shot from 2 ft (assist by S. Hawes),2,37-41,,
7:41.0,,,37-41,,Denver full timeout
7:24.0,,,37-41,,E. Mudiay misses 2-pt shot from 12 ft
7:23.0,Defensive rebound by J. Lamb,,37-41,,
7:04.0,Shooting foul by N. Jokic (drawn by F. Kaminsky),,37-41,,
7:04.0,F. Kaminsky makes free throw 1 of 3,1,38-41,,
7:04.0,F. Kaminsky misses free throw 2 of 3,,38-41,,
7:04.0,Offensive rebound by Team,,38-41,,
7:04.0,,,38-41,,D. Gallinari enters the game for J. Lauvergne
7:04.0,,,38-41,,G. Harris enters the game for R. Foye
7:04.0,F. Kaminsky makes free throw 3 of 3,1,39-41,,
6:51.0,,,39-41,,Turnover by G. Harris (bad pass; steal by S. Hawes)
6:35.0,J. Lamb makes 2-pt shot from 19 ft (assist by S. Hawes),2,41-41,,
6:13.0,,,41-41,,N. Jokic misses 2-pt shot from 6 ft
6:11.0,Defensive rebound by N. Batum,,41-41,,
6:02.0,J. Lamb misses 3-pt shot from 25 ft,,41-41,,
6:00.0,,,41-41,,Defensive rebound by N. Jokic
5:55.0,,,41-41,,E. Mudiay misses 2-pt shot from 6 ft
5:54.0,Defensive rebound by N. Batum,,41-41,,
5:49.0,Shooting foul by D. Gallinari (drawn by J. Lin),,41-41,,
5:49.0,Official timeout,,41-41,,
5:49.0,C. Zeller enters the game for S. Hawes,,41-41,,
5:49.0,,,41-41,,D. Arthur enters the game for N. Jokic
5:49.0,J. Lin misses free throw 1 of 2,,41-41,,
5:49.0,Offensive rebound by Team,,41-41,,
5:49.0,J. Lin makes free throw 2 of 2,1,42-41,,
5:34.0,,,42-41,,W. Barton misses 2-pt shot from 1 ft
5:33.0,Defensive rebound by Team,,42-41,,
5:19.0,Turnover by J. Lin (lost ball),,42-41,,
5:06.0,,,42-41,,D. Arthur misses 2-pt shot from 16 ft
5:05.0,Defensive rebound by F. Kaminsky,,42-41,,
4:51.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by J. Lin),3,45-41,,
4:40.0,,,45-41,,Offensive foul by D. Arthur
4:40.0,,,45-41,,Turnover by D. Arthur (offensive foul)
4:40.0,K. Walker enters the game for J. Lin,,45-41,,
4:28.0,J. Lamb misses 2-pt shot from 17 ft,,45-41,,
4:27.0,,,45-41,,Defensive rebound by W. Barton
4:12.0,,,45-41,,E. Mudiay misses 2-pt shot from 17 ft
4:10.0,Defensive rebound by C. Zeller,,45-41,,
4:01.0,F. Kaminsky makes 2-pt shot from 1 ft (assist by N. Batum),2,47-41,,
3:40.0,,,47-43,2,D. Gallinari makes 2-pt shot from 3 ft (assist by E. Mudiay)
3:26.0,Turnover by N. Batum (bad pass),,47-43,,
3:26.0,,,47-43,,R. Foye enters the game for E. Mudiay
3:16.0,,,47-45,2,G. Harris makes 2-pt shot at rim (assist by R. Foye)
2:55.0,J. Lamb makes 2-pt shot from 11 ft,2,49-45,,
2:40.0,,,49-45,,D. Gallinari misses 3-pt shot from 24 ft
2:39.0,Defensive rebound by N. Batum,,49-45,,
2:26.0,Offensive charge foul by J. Lamb,,49-45,,
2:26.0,Turnover by J. Lamb (offensive foul),,49-45,,
2:26.0,Charlotte full timeout,,49-45,,
2:19.0,,,49-45,,D. Gallinari misses 3-pt shot from 24 ft
2:18.0,Defensive rebound by K. Walker,,49-45,,
2:08.0,Turnover by K. Walker (bad pass; steal by D. Arthur),,49-45,,
2:03.0,,,49-45,,Shooting foul by N. Batum (drawn by D. Gallinari)
2:03.0,,,49-46,1,D. Gallinari makes free throw 1 of 2
2:03.0,,,49-47,1,D. Gallinari makes free throw 2 of 2
1:54.0,Turnover by C. Zeller (lost ball),,49-47,,
1:45.0,,,49-47,,Turnover by W. Barton (bad pass; steal by J. Lamb)
1:42.0,,,49-47,,Personal take foul by R. Foye (drawn by J. Lamb)
1:42.0,J. Lamb makes free throw 1 of 2,1,50-47,,
1:42.0,J. Lamb makes free throw 2 of 2,1,51-47,,
1:28.0,,,51-47,,D. Gallinari misses 3-pt shot from 25 ft
1:27.0,Defensive rebound by N. Batum,,51-47,,
1:08.0,J. Lamb misses 3-pt shot from 25 ft,,51-47,,
1:07.0,Offensive rebound by Team,,51-47,,
1:07.0,,,51-47,,Loose ball foul by G. Harris (drawn by F. Kaminsky)
1:07.0,F. Kaminsky makes free throw 1 of 2,1,52-47,,
1:07.0,F. Kaminsky makes free throw 2 of 2,1,53-47,,
1:00.0,,,53-49,2,R. Foye makes 2-pt shot from 9 ft
1:00.0,,,53-49,,Shooting foul by F. Kaminsky (drawn by R. Foye)
1:00.0,,,53-50,1,R. Foye makes free throw 1 of 1
0:39.0,N. Batum makes 3-pt shot from 22 ft (assist by F. Kaminsky),3,56-50,,
0:32.0,,,56-53,3,R. Foye makes 3-pt shot from 24 ft
0:15.0,F. Kaminsky misses 3-pt shot from 22 ft,,56-53,,
0:14.0,,,56-53,,Defensive rebound by D. Gallinari
0:01.0,,,56-53,,W. Barton misses 2-pt shot from 1 ft (block by F. Kaminsky)
0:00.0,Defensive rebound by J. Lamb,,56-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,N. Batum makes 3-pt shot from 24 ft (assist by M. Williams),3,59-53,,
11:29.0,,,59-53,,Turnover by D. Gallinari (lost ball)
11:16.0,C. Zeller makes 2-pt shot at rim (assist by K. Walker),2,61-53,,
11:03.0,Personal foul by P. Hairston (drawn by D. Arthur),,61-53,,
10:55.0,,,61-53,,Shooting foul by C. Zeller (drawn by D. Gallinari)
10:55.0,,,61-55,2,D. Gallinari makes 2-pt shot from 1 ft (assist by N. Jokic)
10:55.0,,,61-56,1,D. Gallinari makes free throw 1 of 1
10:38.0,K. Walker misses 2-pt shot from 17 ft,,61-56,,
10:36.0,,,61-56,,Defensive rebound by E. Mudiay
10:24.0,,,61-58,2,N. Jokic makes 2-pt shot from 6 ft
10:01.0,P. Hairston misses 2-pt shot from 1 ft,,61-58,,
10:00.0,,,61-58,,Defensive rebound by N. Jokic
9:43.0,,,61-60,2,N. Jokic makes 2-pt shot from 1 ft (assist by E. Mudiay)
9:21.0,K. Walker misses 2-pt shot from 19 ft,,61-60,,
9:20.0,,,61-60,,Defensive rebound by D. Arthur
9:14.0,,,61-60,,Turnover by E. Mudiay (bad pass)
8:58.0,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker),3,64-60,,
8:42.0,,,64-62,2,D. Gallinari makes 2-pt shot from 20 ft (assist by G. Harris)
8:18.0,C. Zeller misses 2-pt shot from 15 ft,,64-62,,
8:18.0,,,64-62,,Defensive rebound by Team
8:18.0,Loose ball foul by N. Batum (drawn by E. Mudiay),,64-62,,
8:05.0,,,64-62,,D. Arthur misses 2-pt shot from 15 ft
8:05.0,Defensive rebound by M. Williams,,64-62,,
7:42.0,K. Walker makes 3-pt shot from 24 ft,3,67-62,,
7:29.0,,,67-65,3,G. Harris makes 3-pt shot from 24 ft (assist by N. Jokic)
7:06.0,P. Hairston misses 3-pt shot from 25 ft,,67-65,,
7:04.0,,,67-65,,Defensive rebound by D. Gallinari
6:53.0,,,67-65,,E. Mudiay misses 2-pt shot from 20 ft
6:52.0,Defensive rebound by M. Williams,,67-65,,
6:46.0,N. Batum misses 3-pt shot from 26 ft,,67-65,,
6:46.0,,,67-65,,Defensive rebound by N. Jokic
6:42.0,,,67-65,,Shooting foul by N. Batum (drawn by D. Gallinari)
6:42.0,,,67-65,,D. Gallinari misses free throw 1 of 2
6:42.0,,,67-65,,Offensive rebound by Team
6:42.0,,,67-66,1,D. Gallinari makes free throw 2 of 2
6:18.0,K. Walker misses 2-pt shot from 21 ft,,67-66,,
6:17.0,,,67-66,,Defensive rebound by D. Arthur
6:08.0,,,67-68,2,E. Mudiay makes 2-pt shot at rim
5:49.0,P. Hairston misses 3-pt shot from 23 ft,,67-68,,
5:49.0,,,67-68,,Defensive rebound by N. Jokic
5:34.0,,,67-68,,D. Gallinari misses 3-pt shot from 24 ft
5:32.0,Defensive rebound by P. Hairston,,67-68,,
5:21.0,P. Hairston makes 2-pt shot from 2 ft (assist by K. Walker),2,69-68,,
5:07.0,,,69-70,2,D. Gallinari makes 2-pt shot at rim (assist by N. Jokic)
4:46.0,Shooting foul by G. Harris (drawn by M. Williams),,69-70,,
4:46.0,,,69-70,,Denver full timeout
4:46.0,J. Lin enters the game for N. Batum,,69-70,,
4:46.0,M. Williams makes free throw 1 of 2,1,70-70,,
4:46.0,M. Williams makes free throw 2 of 2,1,71-70,,
4:33.0,,,71-70,,Turnover by N. Jokic (bad pass)
4:33.0,F. Kaminsky enters the game for M. Williams,,71-70,,
4:12.0,P. Hairston misses 3-pt shot from 26 ft,,71-70,,
4:12.0,,,71-70,,Defensive rebound by N. Jokic
4:02.0,Personal foul by P. Hairston (drawn by D. Gallinari),,71-70,,
4:02.0,,,71-70,,D. Gallinari misses free throw 1 of 2
4:02.0,,,71-70,,Offensive rebound by Team
4:02.0,,,71-71,1,D. Gallinari makes free throw 2 of 2
3:38.0,K. Walker misses 3-pt shot from 24 ft,,71-71,,
3:38.0,,,71-71,,Defensive rebound by D. Arthur
3:30.0,,,71-74,3,D. Arthur makes 3-pt shot from 25 ft (assist by E. Mudiay)
3:07.0,J. Lin misses 2-pt shot from 19 ft,,71-74,,
3:06.0,Offensive rebound by C. Zeller,,71-74,,
2:58.0,J. Lin misses 2-pt shot from 5 ft,,71-74,,
2:57.0,,,71-74,,Defensive rebound by D. Arthur
2:43.0,,,71-74,,N. Jokic misses 3-pt shot from 25 ft
2:42.0,Defensive rebound by P. Hairston,,71-74,,
2:20.0,Turnover by J. Lin (lost ball; steal by E. Mudiay),,71-74,,
2:14.0,,,71-74,,E. Mudiay misses 2-pt shot from 4 ft (block by K. Walker)
2:13.0,Defensive rebound by P. Hairston,,71-74,,
2:04.0,C. Zeller misses 2-pt shot from 2 ft (block by N. Jokic),,71-74,,
2:03.0,,,71-74,,Defensive rebound by D. Gallinari
2:02.0,,,71-74,,Shooting foul by J. Lin (drawn by D. Gallinari)
2:02.0,Charlotte full timeout,,71-74,,
2:02.0,S. Hawes enters the game for P. Hairston,,71-74,,
2:02.0,J. Lamb enters the game for C. Zeller,,71-74,,
2:02.0,,,71-74,,W. Barton enters the game for D. Arthur
2:02.0,,,71-74,,R. Foye enters the game for E. Mudiay
2:02.0,,,71-75,1,D. Gallinari makes free throw 1 of 2
2:02.0,,,71-76,1,D. Gallinari makes free throw 2 of 2
1:49.0,S. Hawes misses 2-pt shot from 1 ft (block by R. Foye),,71-76,,
1:47.0,,,71-76,,Defensive rebound by N. Jokic
1:26.0,,,71-76,,D. Gallinari misses 2-pt shot from 19 ft
1:25.0,Defensive rebound by Team,,71-76,,
1:14.0,,,71-76,,Personal foul by W. Barton (drawn by J. Lamb)
1:03.0,J. Lamb makes 3-pt shot from 25 ft (assist by F. Kaminsky),3,74-76,,
0:41.0,,,74-79,3,G. Harris makes 3-pt shot from 24 ft
0:33.0,F. Kaminsky makes 3-pt shot from 24 ft (assist by K. Walker),3,77-79,,
0:22.0,,,77-81,2,R. Foye makes 2-pt shot from 1 ft
0:02.0,K. Walker misses 2-pt shot from 1 ft (block by D. Gallinari),,77-81,,
0:01.0,Offensive rebound by Team,,77-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,77-81,,J. Nurkic misses 2-pt shot from 3 ft
11:39.0,Defensive rebound by J. Lamb,,77-81,,
11:25.0,F. Kaminsky misses 3-pt shot from 24 ft,,77-81,,
11:25.0,Offensive rebound by Team,,77-81,,
11:25.0,,,77-81,,Loose ball foul by M. Miller (drawn by S. Hawes)
11:14.0,F. Kaminsky misses 2-pt shot from 2 ft,,77-81,,
11:14.0,,,77-81,,Defensive rebound by J. Nurkic
11:09.0,,,77-81,,W. Barton misses 3-pt shot from 25 ft
11:07.0,Defensive rebound by S. Hawes,,77-81,,
10:52.0,J. Lamb makes 2-pt shot from 5 ft (assist by S. Hawes),2,79-81,,
10:37.0,,,79-81,,Turnover by W. Barton (bad pass; steal by J. Lamb)
10:37.0,,,79-81,,Personal take foul by M. Miller (drawn by J. Lamb)
10:23.0,J. Lamb misses 3-pt shot from 24 ft,,79-81,,
10:23.0,,,79-81,,Defensive rebound by M. Miller
10:15.0,,,79-81,,J. Nurkic misses 2-pt shot from 1 ft
10:14.0,Defensive rebound by J. Lamb,,79-81,,
10:04.0,Shooting foul by R. Foye (drawn by J. Lin),,79-81,,
10:04.0,J. Lin misses free throw 1 of 2,,79-81,,
10:04.0,Offensive rebound by Team,,79-81,,
10:04.0,J. Lin makes free throw 2 of 2,1,80-81,,
10:00.0,,,80-81,,Denver full timeout
9:52.0,,,80-81,,E. Mudiay misses 2-pt shot from 2 ft
9:51.0,,,80-81,,Offensive rebound by J. Nurkic
9:51.0,,,80-81,,Shooting foul by S. Hawes (drawn by J. Nurkic)
9:51.0,,,80-81,,J. Nurkic misses free throw 1 of 2
9:51.0,,,80-81,,Offensive rebound by Team
9:51.0,,,80-82,1,J. Nurkic makes free throw 2 of 2
9:35.0,F. Kaminsky misses 2-pt shot from 2 ft (block by M. Miller),,80-82,,
9:33.0,Offensive rebound by S. Hawes,,80-82,,
9:26.0,Turnover by J. Lamb (lost ball; steal by E. Mudiay),,80-82,,
9:20.0,,,80-84,2,E. Mudiay makes 2-pt shot at rim (assist by M. Miller)
9:11.0,,,80-84,,Personal foul by J. Nurkic (drawn by J. Lin)
9:03.0,J. Lin misses 3-pt shot from 26 ft,,80-84,,
9:02.0,Offensive rebound by Team,,80-84,,
8:59.0,F. Kaminsky misses 2-pt shot from 2 ft,,80-84,,
8:58.0,,,80-84,,Defensive rebound by E. Mudiay
8:53.0,,,80-84,,E. Mudiay misses 2-pt shot from 1 ft
8:51.0,,,80-84,,Offensive rebound by R. Foye
8:38.0,,,80-87,3,M. Miller makes 3-pt shot from 24 ft (assist by R. Foye)
8:20.0,F. Kaminsky misses 2-pt shot from 1 ft (block by J. Nurkic),,80-87,,
8:19.0,,,80-87,,Defensive rebound by W. Barton
8:18.0,,,80-87,,Offensive charge foul by W. Barton
8:18.0,,,80-87,,Turnover by W. Barton (offensive foul)
8:18.0,Official timeout,,80-87,,
8:18.0,K. Walker enters the game for F. Kaminsky,,80-87,,
8:01.0,Shooting foul by J. Nurkic (drawn by S. Hawes),,80-87,,
8:01.0,S. Hawes makes free throw 1 of 2,1,81-87,,
8:01.0,S. Hawes makes free throw 2 of 2,1,82-87,,
7:42.0,,,82-87,,J. Nurkic misses 2-pt shot from 2 ft (block by S. Hawes)
7:40.0,Defensive rebound by S. Hawes,,82-87,,
7:31.0,J. Lin misses 2-pt shot from 17 ft,,82-87,,
7:30.0,,,82-87,,Defensive rebound by M. Miller
7:08.0,,,82-87,,W. Barton misses 3-pt shot from 25 ft
7:08.0,,,82-87,,Offensive rebound by J. Nurkic
6:51.0,,,82-90,3,M. Miller makes 3-pt shot from 24 ft (assist by E. Mudiay)
6:31.0,N. Batum misses 3-pt shot from 26 ft,,82-90,,
6:30.0,,,82-90,,Defensive rebound by E. Mudiay
6:06.0,,,82-90,,R. Foye misses 3-pt shot from 25 ft
6:06.0,Defensive rebound by N. Batum,,82-90,,
6:00.0,S. Hawes misses 2-pt shot from 1 ft (block by R. Foye),,82-90,,
5:59.0,,,82-90,,Defensive rebound by W. Barton
5:55.0,Personal foul by J. Lamb (drawn by R. Foye),,82-90,,
5:55.0,,,82-90,,Denver full timeout
5:55.0,M. Williams enters the game for J. Lin,,82-90,,
5:55.0,C. Zeller enters the game for S. Hawes,,82-90,,
5:42.0,,,82-92,2,W. Barton makes 2-pt shot from 6 ft (assist by E. Mudiay)
5:20.0,J. Lamb misses 2-pt shot from 2 ft,,82-92,,
5:19.0,Offensive rebound by C. Zeller,,82-92,,
5:18.0,C. Zeller makes 2-pt shot from 1 ft,2,84-92,,
4:55.0,,,84-92,,W. Barton misses 3-pt shot from 25 ft
4:54.0,Defensive rebound by J. Lamb,,84-92,,
4:42.0,K. Walker misses 2-pt shot from 1 ft,,84-92,,
4:41.0,Offensive rebound by C. Zeller,,84-92,,
4:40.0,Shooting foul by R. Foye (drawn by C. Zeller),,84-92,,
4:40.0,C. Zeller makes free throw 1 of 2,1,85-92,,
4:40.0,,,85-92,,D. Gallinari enters the game for M. Miller
4:40.0,,,85-92,,G. Harris enters the game for R. Foye
4:40.0,C. Zeller misses free throw 2 of 2,,85-92,,
4:38.0,,,85-92,,Defensive rebound by W. Barton
4:17.0,,,85-95,3,W. Barton makes 3-pt shot from 26 ft
3:52.0,C. Zeller misses 2-pt shot from 1 ft,,85-95,,
3:52.0,,,85-95,,Defensive rebound by W. Barton
3:43.0,,,85-95,,D. Gallinari misses 3-pt shot from 25 ft
3:42.0,Defensive rebound by Team,,85-95,,
3:42.0,,,85-95,,D. Arthur enters the game for J. Nurkic
3:23.0,J. Lamb misses 2-pt shot from 1 ft,,85-95,,
3:22.0,,,85-95,,Defensive rebound by D. Arthur
3:03.0,,,85-95,,E. Mudiay misses 3-pt shot from 24 ft
3:02.0,,,85-95,,Offensive rebound by W. Barton
2:40.0,,,85-95,,D. Gallinari misses 2-pt shot from 21 ft
2:39.0,Defensive rebound by Team,,85-95,,
2:39.0,Charlotte full timeout,,85-95,,
2:28.0,N. Batum misses 3-pt shot from 24 ft,,85-95,,
2:25.0,Offensive rebound by K. Walker,,85-95,,
2:19.0,J. Lamb misses 3-pt shot from 24 ft,,85-95,,
