time,Orlando,pts.away,score,pts.home,Denver
5:58.0,T. Harris makes free throw 1 of 1,1,15-15,,
5:32.0,,,15-15,,K. Faried misses 2-pt shot from 12 ft
5:31.0,Defensive rebound by V. Oladipo,,15-15,,
5:26.0,Shooting foul by R. Foye (drawn by V. Oladipo),,15-15,,
5:26.0,V. Oladipo misses free throw 1 of 2,,15-15,,
5:26.0,Offensive rebound by Team,,15-15,,
5:26.0,,,15-15,,W. Barton enters the game for R. Foye
5:26.0,V. Oladipo makes free throw 2 of 2,1,16-15,,
5:05.0,,,16-17,2,K. Faried makes 2-pt shot from 9 ft (assist by E. Mudiay)
4:40.0,T. Harris misses 3-pt shot from 24 ft,,16-17,,
4:39.0,,,16-17,,Defensive rebound by W. Barton
4:33.0,,,16-17,,W. Barton misses 2-pt shot from 14 ft
4:31.0,Defensive rebound by N. Vucevic,,16-17,,
4:22.0,E. Payton misses 2-pt shot from 1 ft (block by E. Mudiay),,16-17,,
4:20.0,,,16-17,,Defensive rebound by J. Hickson
4:15.0,,,16-19,2,W. Barton makes 2-pt shot from 1 ft (assist by K. Faried)
3:57.0,V. Oladipo makes 2-pt shot from 20 ft,2,18-19,,
3:47.0,,,18-19,,Turnover by E. Mudiay (back court)
3:47.0,A. Nicholson enters the game for C. Frye,,18-19,,
3:47.0,,,18-19,,D. Arthur enters the game for E. Mudiay
3:47.0,,,18-19,,J. Nelson enters the game for K. Faried
3:32.0,T. Harris makes 2-pt shot from 10 ft,2,20-19,,
3:18.0,,,20-21,2,D. Gallinari makes 2-pt shot from 17 ft (assist by J. Nelson)
3:06.0,Offensive foul by T. Harris,,20-21,,
3:06.0,Turnover by T. Harris (offensive foul),,20-21,,
3:06.0,M. Hezonja enters the game for T. Harris,,20-21,,
2:53.0,Personal foul by M. Hezonja (drawn by D. Gallinari),,20-21,,
2:53.0,Orlando full timeout,,20-21,,
2:53.0,J. Smith enters the game for N. Vucevic,,20-21,,
2:39.0,,,20-21,,D. Gallinari misses 2-pt shot from 2 ft
2:39.0,Defensive rebound by A. Nicholson,,20-21,,
2:26.0,J. Smith misses 2-pt shot from 19 ft,,20-21,,
2:26.0,Offensive rebound by A. Nicholson,,20-21,,
2:20.0,V. Oladipo misses 3-pt shot from 24 ft,,20-21,,
2:20.0,,,20-21,,Defensive rebound by J. Nelson
2:06.0,,,20-21,,J. Hickson misses 2-pt shot from 1 ft
2:05.0,Defensive rebound by A. Nicholson,,20-21,,
1:48.0,Turnover by A. Nicholson (bad pass),,20-21,,
1:48.0,,,20-21,,N. Jokic enters the game for J. Hickson
1:48.0,S. Napier enters the game for E. Payton,,20-21,,
1:33.0,,,20-23,2,D. Gallinari makes 2-pt shot at rim (assist by J. Nelson)
1:17.0,V. Oladipo makes 2-pt shot from 1 ft,2,22-23,,
1:03.0,,,22-26,3,J. Nelson makes 3-pt shot from 26 ft
0:50.0,A. Nicholson makes 2-pt shot from 6 ft,2,24-26,,
0:38.0,,,24-26,,Turnover by J. Nelson (lost ball; steal by S. Napier)
0:34.0,Turnover by S. Napier (bad pass; steal by W. Barton),,24-26,,
0:10.0,,,24-26,,D. Gallinari misses 2-pt shot from 1 ft
0:10.0,Defensive rebound by A. Nicholson,,24-26,,
0:06.0,,,24-26,,Personal take foul by N. Jokic (drawn by J. Smith)
0:01.0,S. Napier misses 3-pt shot from 25 ft,,24-26,,
0:01.0,Offensive rebound by Team,,24-26,,
0:01.0,,,24-26,,Loose ball foul by J. Nelson (drawn by J. Smith)
0:01.0,J. Smith makes free throw 1 of 2,1,25-26,,
0:01.0,J. Smith makes free throw 2 of 2,1,26-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,26-26,,W. Barton misses 2-pt shot from 13 ft
11:41.0,Defensive rebound by M. Hezonja,,26-26,,
11:38.0,Turnover by M. Hezonja (lost ball; steal by D. Arthur),,26-26,,
11:36.0,,,26-26,,D. Arthur misses 2-pt shot from 20 ft
11:35.0,,,26-26,,Offensive rebound by Team
11:23.0,,,26-26,,N. Jokic misses 2-pt shot from 9 ft
11:22.0,Defensive rebound by A. Nicholson,,26-26,,
11:04.0,A. Nicholson makes 2-pt shot from 1 ft,2,28-26,,
10:53.0,,,28-29,3,W. Barton makes 3-pt shot from 25 ft (assist by N. Jokic)
10:40.0,Offensive foul by A. Nicholson,,28-29,,
10:40.0,Turnover by A. Nicholson (offensive foul),,28-29,,
10:26.0,Personal foul by J. Smith (drawn by N. Jokic),,28-29,,
10:22.0,,,28-29,,Shooting foul by E. Fournier (drawn by W. Barton)
10:22.0,,,28-29,,W. Barton misses free throw 1 of 2
10:22.0,,,28-29,,Offensive rebound by Team
10:22.0,E. Payton enters the game for E. Fournier,,28-29,,
10:22.0,,,28-30,1,W. Barton makes free throw 2 of 2
10:11.0,V. Oladipo misses 3-pt shot from 23 ft,,28-30,,
10:08.0,Offensive rebound by M. Hezonja,,28-30,,
10:08.0,M. Hezonja misses 2-pt shot from 1 ft,,28-30,,
10:07.0,Offensive rebound by A. Nicholson,,28-30,,
9:59.0,A. Nicholson makes 2-pt shot from 18 ft (assist by V. Oladipo),2,30-30,,
9:46.0,,,30-32,2,W. Barton makes 2-pt shot from 2 ft
9:32.0,E. Payton misses 2-pt shot from 4 ft,,30-32,,
9:30.0,,,30-32,,Defensive rebound by D. Arthur
9:18.0,,,30-32,,W. Barton misses 3-pt shot from 22 ft
9:18.0,Defensive rebound by V. Oladipo,,30-32,,
9:10.0,V. Oladipo misses 2-pt shot from 5 ft,,30-32,,
9:09.0,,,30-32,,Defensive rebound by N. Jokic
9:05.0,,,30-32,,W. Barton misses 2-pt shot from 2 ft
9:03.0,Defensive rebound by J. Smith,,30-32,,
8:55.0,Turnover by A. Nicholson (lost ball; steal by M. Miller),,30-32,,
8:42.0,,,30-34,2,N. Jokic makes 2-pt shot from 14 ft (assist by M. Miller)
8:26.0,J. Smith misses 2-pt shot at rim (block by J. Nelson),,30-34,,
8:26.0,Offensive rebound by Team,,30-34,,
8:26.0,Official timeout,,30-34,,
8:26.0,,,30-34,,K. Faried enters the game for D. Arthur
8:22.0,J. Smith misses 2-pt shot from 18 ft,,30-34,,
8:21.0,,,30-34,,Defensive rebound by M. Miller
8:14.0,,,30-34,,Offensive foul by M. Miller
8:14.0,,,30-34,,Turnover by M. Miller (offensive foul)
8:04.0,V. Oladipo misses 2-pt shot from 15 ft,,30-34,,
8:03.0,,,30-34,,Defensive rebound by K. Faried
7:41.0,,,30-34,,J. Nelson misses 3-pt shot from 24 ft (block by V. Oladipo)
7:40.0,,,30-34,,Offensive rebound by K. Faried
7:38.0,,,30-34,,K. Faried misses 2-pt shot from 4 ft
7:37.0,Defensive rebound by A. Nicholson,,30-34,,
7:29.0,A. Nicholson misses 3-pt shot from 24 ft,,30-34,,
7:28.0,,,30-34,,Defensive rebound by J. Nelson
7:23.0,,,30-34,,W. Barton misses 2-pt shot from 2 ft
7:22.0,Defensive rebound by A. Nicholson,,30-34,,
7:15.0,Offensive charge foul by V. Oladipo,,30-34,,
7:15.0,Turnover by V. Oladipo (offensive foul),,30-34,,
7:15.0,T. Harris enters the game for J. Smith,,30-34,,
7:15.0,C. Frye enters the game for A. Nicholson,,30-34,,
7:15.0,N. Vucevic enters the game for M. Hezonja,,30-34,,
6:54.0,,,30-34,,W. Barton misses 3-pt shot from 24 ft
6:53.0,Defensive rebound by T. Harris,,30-34,,
6:38.0,Turnover by V. Oladipo (lost ball; steal by J. Nelson),,30-34,,
6:33.0,,,30-34,,J. Nelson misses 2-pt shot from 2 ft
6:32.0,Defensive rebound by T. Harris,,30-34,,
6:32.0,,,30-34,,Personal foul by M. Miller (drawn by T. Harris)
6:32.0,,,30-34,,J. Hickson enters the game for N. Jokic
6:32.0,,,30-34,,E. Mudiay enters the game for J. Nelson
6:32.0,,,30-34,,D. Gallinari enters the game for M. Miller
6:22.0,N. Vucevic makes 2-pt shot at rim (assist by V. Oladipo),2,32-34,,
6:05.0,,,32-34,,W. Barton misses 2-pt shot from 5 ft
6:04.0,,,32-34,,Offensive rebound by J. Hickson
6:02.0,,,32-34,,Turnover by J. Hickson (bad pass; steal by T. Harris)
5:57.0,Turnover by T. Harris (bad pass),,32-34,,
5:57.0,,,32-34,,Denver full timeout
5:39.0,,,32-34,,K. Faried misses 2-pt shot from 2 ft (block by V. Oladipo)
5:38.0,Defensive rebound by C. Frye,,32-34,,
5:16.0,C. Frye misses 3-pt shot from 23 ft,,32-34,,
5:15.0,,,32-34,,Defensive rebound by J. Hickson
5:04.0,,,32-36,2,W. Barton makes 2-pt shot from 1 ft (assist by E. Mudiay)
4:53.0,Turnover by E. Payton (bad pass; steal by W. Barton),,32-36,,
4:50.0,,,32-38,2,W. Barton makes 2-pt shot from 1 ft
4:50.0,,,32-38,,Shooting foul by E. Payton (drawn by W. Barton)
4:50.0,,,32-39,1,W. Barton makes free throw 1 of 1
4:42.0,Shooting foul by J. Hickson (drawn by T. Harris),,32-39,,
4:42.0,T. Harris makes free throw 1 of 2,1,33-39,,
4:42.0,T. Harris makes free throw 2 of 2,1,34-39,,
4:21.0,,,34-39,,D. Gallinari misses 2-pt shot from 21 ft
4:20.0,,,34-39,,Offensive rebound by J. Hickson
4:17.0,,,34-41,2,J. Hickson makes 2-pt shot at rim
3:57.0,V. Oladipo misses 3-pt shot from 26 ft,,34-41,,
3:56.0,,,34-41,,Defensive rebound by K. Faried
3:50.0,,,34-41,,Turnover by E. Mudiay (step out of bounds)
3:31.0,T. Harris misses 2-pt shot from 20 ft,,34-41,,
3:30.0,Offensive rebound by N. Vucevic,,34-41,,
3:22.0,T. Harris makes 2-pt shot from 1 ft (assist by N. Vucevic),2,36-41,,
3:07.0,,,36-43,2,K. Faried makes 2-pt shot at rim (assist by W. Barton)
2:50.0,T. Harris makes 2-pt shot at rim (assist by N. Vucevic),2,38-43,,
2:33.0,Orlando full timeout,,38-43,,
2:33.0,M. Hezonja enters the game for V. Oladipo,,38-43,,
2:20.0,,,38-43,,D. Gallinari misses 2-pt shot from 21 ft
2:19.0,Defensive rebound by M. Hezonja,,38-43,,
1:57.0,C. Frye misses 2-pt shot from 6 ft,,38-43,,
1:57.0,,,38-43,,Defensive rebound by K. Faried
1:51.0,,,38-45,2,E. Mudiay makes 2-pt shot from 1 ft
1:36.0,Turnover by E. Payton (bad pass; steal by E. Mudiay),,38-45,,
1:35.0,,,38-45,,Turnover by E. Mudiay (bad pass; steal by E. Payton)
1:33.0,E. Payton misses 2-pt shot from 1 ft (block by K. Faried),,38-45,,
1:32.0,,,38-45,,Defensive rebound by D. Gallinari
1:13.0,,,38-45,,K. Faried misses 2-pt shot from 15 ft
1:13.0,,,38-45,,Offensive rebound by Team
1:13.0,Loose ball foul by N. Vucevic,,38-45,,
1:05.0,,,38-47,2,E. Mudiay makes 2-pt shot from 12 ft (assist by D. Gallinari)
0:50.0,M. Hezonja makes 2-pt shot from 1 ft,2,40-47,,
0:42.0,,,40-47,,Turnover by E. Mudiay (bad pass)
0:26.0,T. Harris misses 2-pt shot from 6 ft,,40-47,,
0:25.0,,,40-47,,Defensive rebound by K. Faried
0:24.0,,,40-47,,Turnover by K. Faried (traveling)
0:04.0,M. Hezonja misses 2-pt shot from 5 ft,,40-47,,
0:03.0,,,40-47,,Defensive rebound by K. Faried
0:01.0,,,40-47,,W. Barton misses 3-pt shot from 24 ft
0:00.0,,,40-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,40-47,,Turnover by Team (shot clock)
11:26.0,E. Fournier misses 3-pt shot from 24 ft,,40-47,,
11:25.0,,,40-47,,Defensive rebound by D. Gallinari
11:06.0,,,40-47,,R. Foye misses 3-pt shot from 24 ft
11:05.0,Defensive rebound by T. Harris,,40-47,,
10:52.0,Turnover by N. Vucevic (3 sec),,40-47,,
10:35.0,,,40-47,,Shooting foul by C. Frye (drawn by K. Faried)
10:35.0,,,40-48,1,K. Faried makes free throw 1 of 2
10:35.0,,,40-49,1,K. Faried makes free throw 2 of 2
10:24.0,Turnover by E. Fournier (bad pass; steal by D. Gallinari),,40-49,,
10:17.0,,,40-49,,J. Hickson misses 2-pt shot from 4 ft (block by T. Harris)
10:15.0,Defensive rebound by E. Payton,,40-49,,
10:09.0,E. Payton makes 2-pt shot from 1 ft,2,42-49,,
9:56.0,,,42-49,,Turnover by D. Gallinari (bad pass; steal by N. Vucevic)
9:50.0,E. Payton makes 2-pt shot from 1 ft,2,44-49,,
9:50.0,,,44-49,,Denver full timeout
9:36.0,,,44-51,2,J. Hickson makes 2-pt shot at rim (assist by E. Mudiay)
9:27.0,N. Vucevic misses 2-pt shot from 4 ft (block by J. Hickson),,44-51,,
9:26.0,Offensive rebound by N. Vucevic,,44-51,,
9:25.0,N. Vucevic makes 2-pt shot from 2 ft,2,46-51,,
9:25.0,Shooting foul by E. Mudiay (drawn by N. Vucevic),,46-51,,
9:25.0,N. Vucevic misses free throw 1 of 1,,46-51,,
9:22.0,,,46-51,,Defensive rebound by J. Hickson
9:13.0,,,46-51,,E. Mudiay misses 2-pt shot from 13 ft
9:12.0,Defensive rebound by T. Harris,,46-51,,
8:57.0,E. Payton makes 2-pt shot from 2 ft (assist by C. Frye),2,48-51,,
8:38.0,,,48-51,,K. Faried misses 2-pt shot from 2 ft
8:37.0,Defensive rebound by C. Frye,,48-51,,
8:33.0,E. Payton misses 2-pt shot from 1 ft (block by K. Faried),,48-51,,
8:33.0,Offensive rebound by Team,,48-51,,
8:33.0,,,48-51,,W. Barton enters the game for R. Foye
8:15.0,E. Payton misses 2-pt shot from 2 ft,,48-51,,
8:15.0,Offensive rebound by N. Vucevic,,48-51,,
8:15.0,N. Vucevic makes 2-pt shot at rim,2,50-51,,
8:15.0,,,50-51,,Denver full timeout
8:15.0,,,50-51,,J. Nelson enters the game for K. Faried
8:15.0,,,50-51,,M. Miller enters the game for E. Mudiay
7:53.0,,,50-51,,Shooting foul by E. Fournier (drawn by J. Hickson)
7:53.0,,,50-51,,J. Hickson misses free throw 1 of 2
7:53.0,,,50-51,,Offensive rebound by Team
7:53.0,,,50-51,,J. Hickson misses free throw 2 of 2
7:51.0,Defensive rebound by T. Harris,,50-51,,
7:38.0,E. Fournier misses 2-pt shot from 1 ft (block by W. Barton),,50-51,,
7:34.0,Offensive rebound by N. Vucevic,,50-51,,
7:34.0,N. Vucevic makes 2-pt shot from 1 ft,2,52-51,,
7:20.0,,,52-54,3,J. Nelson makes 3-pt shot from 24 ft (assist by D. Gallinari)
7:02.0,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Fournier),2,54-54,,
6:50.0,,,54-54,,M. Miller misses 3-pt shot from 24 ft
6:49.0,Defensive rebound by N. Vucevic,,54-54,,
6:36.0,Turnover by N. Vucevic (bad pass; steal by J. Nelson),,54-54,,
6:31.0,,,54-54,,Offensive foul by J. Hickson
6:31.0,,,54-54,,Turnover by J. Hickson (offensive foul)
6:10.0,T. Harris misses 2-pt shot from 18 ft,,54-54,,
6:10.0,,,54-54,,Defensive rebound by J. Hickson
6:04.0,,,54-54,,J. Nelson misses 3-pt shot from 26 ft
6:03.0,Defensive rebound by T. Harris,,54-54,,
5:55.0,E. Payton makes 2-pt shot at rim,2,56-54,,
5:26.0,,,56-56,2,J. Hickson makes 2-pt shot at rim (assist by M. Miller)
5:05.0,N. Vucevic makes 2-pt shot from 19 ft (assist by T. Harris),2,58-56,,
4:50.0,,,58-56,,J. Hickson misses 2-pt shot from 2 ft
4:50.0,Defensive rebound by N. Vucevic,,58-56,,
4:44.0,V. Oladipo enters the game for E. Fournier,,58-56,,
4:44.0,,,58-56,,N. Jokic enters the game for J. Hickson
4:36.0,T. Harris makes 2-pt shot from 22 ft (assist by V. Oladipo),2,60-56,,
4:24.0,,,60-56,,M. Miller misses 3-pt shot from 26 ft
4:24.0,Defensive rebound by T. Harris,,60-56,,
4:04.0,V. Oladipo misses 3-pt shot from 26 ft,,60-56,,
4:03.0,,,60-56,,Defensive rebound by N. Jokic
3:53.0,,,60-56,,Turnover by W. Barton (lost ball; steal by T. Harris)
3:53.0,S. Napier enters the game for E. Payton,,60-56,,
3:53.0,A. Nicholson enters the game for C. Frye,,60-56,,
3:53.0,Jump ball: D. Gallinari vs. T. Harris (V. Oladipo gains possession),,,,Jump ball: D. Gallinari vs. T. Harris (V. Oladipo gains possession)
3:33.0,V. Oladipo makes 2-pt shot from 10 ft,2,62-56,,
3:20.0,,,62-56,,W. Barton misses 2-pt shot from 6 ft (block by V. Oladipo)
3:19.0,,,62-56,,Offensive rebound by M. Miller
3:18.0,,,62-56,,K. Faried enters the game for M. Miller
3:09.0,,,62-59,3,W. Barton makes 3-pt shot from 25 ft (assist by J. Nelson)
3:07.0,Orlando full timeout,,62-59,,
2:48.0,A. Nicholson misses 2-pt shot from 1 ft,,62-59,,
2:46.0,Offensive rebound by Team,,62-59,,
2:30.0,S. Napier misses 3-pt shot from 25 ft,,62-59,,
2:29.0,,,62-59,,Defensive rebound by D. Gallinari
2:20.0,Personal foul by A. Nicholson (drawn by K. Faried),,62-59,,
2:05.0,,,62-59,,W. Barton misses 3-pt shot from 22 ft (block by V. Oladipo)
2:04.0,,,62-59,,Offensive rebound by Team
2:04.0,,,62-59,,Turnover by Team (shot clock)
2:04.0,J. Smith enters the game for N. Vucevic,,62-59,,
1:49.0,J. Smith misses 2-pt shot from 22 ft,,62-59,,
1:48.0,,,62-59,,Defensive rebound by K. Faried
1:32.0,,,62-59,,D. Gallinari misses 3-pt shot from 24 ft
1:31.0,Defensive rebound by V. Oladipo,,62-59,,
1:11.0,T. Harris misses 3-pt shot from 28 ft,,62-59,,
1:10.0,,,62-59,,Defensive rebound by N. Jokic
0:55.0,,,62-61,2,D. Gallinari makes 2-pt shot from 20 ft
0:42.0,Turnover by V. Oladipo (lost ball),,62-61,,
0:30.0,,,62-61,,N. Jokic misses 2-pt shot from 12 ft
0:28.0,Defensive rebound by A. Nicholson,,62-61,,
0:14.0,,,62-61,,Personal take foul by W. Barton (drawn by V. Oladipo)
0:06.0,V. Oladipo misses 2-pt shot from 2 ft,,62-61,,
0:06.0,,,62-61,,Defensive rebound by K. Faried
0:02.0,,,62-63,2,W. Barton makes 2-pt shot from 1 ft (assist by K. Faried)
0:02.0,,,62-63,,Shooting foul by T. Harris (drawn by W. Barton)
0:02.0,,,62-63,,W. Barton misses free throw 1 of 1
0:01.0,Defensive rebound by T. Harris,,62-63,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,E. Fournier misses 3-pt shot from 26 ft,,62-63,,
11:46.0,,,62-63,,Defensive rebound by K. Faried
11:22.0,,,62-63,,J. Nelson misses 2-pt shot from 19 ft
11:21.0,,,62-63,,Offensive rebound by N. Jokic
11:19.0,,,62-65,2,N. Jokic makes 2-pt shot from 1 ft
11:04.0,J. Smith misses 2-pt shot from 19 ft,,62-65,,
11:03.0,,,62-65,,Defensive rebound by W. Barton
10:50.0,,,62-65,,W. Barton misses 3-pt shot from 25 ft
10:49.0,Defensive rebound by J. Smith,,62-65,,
10:44.0,S. Napier misses 2-pt shot from 20 ft,,62-65,,
10:43.0,,,62-65,,Defensive rebound by W. Barton
10:35.0,,,62-65,,R. Foye enters the game for D. Gallinari
10:20.0,,,62-65,,K. Faried misses 2-pt shot from 1 ft
10:20.0,Defensive rebound by A. Nicholson,,62-65,,
10:06.0,S. Napier makes 2-pt shot from 19 ft (assist by J. Smith),2,64-65,,
9:54.0,,,64-65,,W. Barton misses 2-pt shot from 2 ft
9:54.0,Defensive rebound by J. Smith,,64-65,,
9:35.0,A. Nicholson makes 2-pt shot from 4 ft,2,66-65,,
9:30.0,,,66-65,,Denver full timeout
9:30.0,,,66-65,,E. Mudiay enters the game for J. Nelson
9:15.0,,,66-65,,N. Jokic misses 2-pt shot from 10 ft
9:13.0,Defensive rebound by A. Nicholson,,66-65,,
8:59.0,S. Napier makes 2-pt shot from 3 ft,2,68-65,,
8:42.0,,,68-65,,K. Faried misses 2-pt shot from 1 ft
8:41.0,Defensive rebound by A. Nicholson,,68-65,,
8:37.0,,,68-65,,Personal foul by W. Barton (drawn by V. Oladipo)
8:30.0,Turnover by J. Smith (lost ball; steal by W. Barton),,68-65,,
8:25.0,,,68-67,2,W. Barton makes 2-pt shot from 1 ft
8:05.0,A. Nicholson misses 2-pt shot from 2 ft,,68-67,,
8:04.0,,,68-67,,Defensive rebound by W. Barton
7:52.0,,,68-67,,N. Jokic misses 2-pt shot from 4 ft
7:51.0,,,68-67,,Offensive rebound by K. Faried
7:36.0,,,68-67,,Turnover by R. Foye (traveling)
7:36.0,N. Vucevic enters the game for J. Smith,,68-67,,
7:25.0,V. Oladipo makes 2-pt shot from 1 ft,2,70-67,,
7:02.0,,,70-67,,W. Barton misses 3-pt shot from 24 ft
7:02.0,Defensive rebound by E. Fournier,,70-67,,
6:56.0,Turnover by V. Oladipo (lost ball),,70-67,,
6:56.0,,,70-67,,J. Hickson enters the game for N. Jokic
6:39.0,,,70-67,,E. Mudiay misses 2-pt shot from 5 ft (block by N. Vucevic)
6:37.0,,,70-67,,Offensive rebound by E. Mudiay
6:35.0,,,70-67,,J. Hickson misses 2-pt shot from 4 ft
6:34.0,Defensive rebound by A. Nicholson,,70-67,,
6:20.0,V. Oladipo makes 2-pt shot from 7 ft,2,72-67,,
6:18.0,,,72-67,,Turnover by J. Hickson (bad pass; steal by V. Oladipo)
6:11.0,E. Fournier misses 3-pt shot from 24 ft,,72-67,,
6:10.0,,,72-67,,Defensive rebound by R. Foye
6:01.0,,,72-67,,J. Nelson enters the game for E. Mudiay
6:01.0,,,72-67,,D. Gallinari enters the game for W. Barton
5:51.0,,,72-67,,J. Nelson misses 2-pt shot from 21 ft
5:49.0,,,72-67,,Offensive rebound by Team
5:49.0,Official timeout,,72-67,,
5:36.0,,,72-67,,K. Faried misses 2-pt shot from 1 ft
5:35.0,,,72-67,,Offensive rebound by J. Hickson
5:34.0,,,72-67,,Shooting foul by V. Oladipo (drawn by J. Hickson)
5:34.0,,,72-68,1,J. Hickson makes free throw 1 of 2
5:34.0,,,72-68,,W. Barton enters the game for R. Foye
5:34.0,,,72-68,,J. Hickson misses free throw 2 of 2
5:34.0,Defensive rebound by N. Vucevic,,72-68,,
5:12.0,S. Napier misses 3-pt shot from 22 ft,,72-68,,
5:11.0,,,72-68,,Defensive rebound by J. Hickson
4:55.0,,,72-71,3,W. Barton makes 3-pt shot from 24 ft (assist by J. Nelson)
4:34.0,S. Napier makes 2-pt shot from 1 ft,2,74-71,,
4:13.0,,,74-71,,D. Gallinari misses 3-pt shot from 23 ft
4:13.0,Defensive rebound by A. Nicholson,,74-71,,
3:54.0,V. Oladipo misses 2-pt shot from 12 ft,,74-71,,
3:53.0,,,74-71,,Defensive rebound by J. Hickson
3:31.0,,,74-71,,D. Gallinari misses 3-pt shot from 23 ft
3:31.0,Defensive rebound by Team,,74-71,,
3:31.0,Orlando full timeout,,74-71,,
3:31.0,E. Payton enters the game for A. Nicholson,,74-71,,
3:31.0,T. Harris enters the game for S. Napier,,74-71,,
3:20.0,T. Harris misses 2-pt shot from 2 ft,,74-71,,
3:18.0,Offensive rebound by E. Payton,,74-71,,
3:15.0,,,74-71,,Personal foul by W. Barton (drawn by N. Vucevic)
3:08.0,V. Oladipo misses 2-pt shot from 6 ft,,74-71,,
3:07.0,Offensive rebound by E. Payton,,74-71,,
3:07.0,E. Payton misses 2-pt shot from 4 ft,,74-71,,
3:06.0,,,74-71,,Defensive rebound by J. Hickson
2:50.0,,,74-71,,Shooting foul by T. Harris (drawn by K. Faried)
2:50.0,,,74-71,,K. Faried misses free throw 1 of 2
2:50.0,,,74-71,,Offensive rebound by Team
