time,Milwaukee,pts.away,score,pts.home,LA Clippers
11:28.0,,,21-29,,P. Pierce misses 3-pt shot from 25 ft
11:27.0,,,21-29,,Offensive rebound by J. Smith
11:22.0,,,21-31,2,J. Smith makes 2-pt shot at rim (assist by L. Stephenson)
11:05.0,J. Parker misses 2-pt shot from 3 ft,,21-31,,
11:05.0,,,21-31,,Defensive rebound by P. Pierce
10:58.0,,,21-31,,A. Rivers misses 2-pt shot from 4 ft (block by J. Parker)
10:57.0,Defensive rebound by O. Mayo,,21-31,,
10:48.0,O. Mayo misses 2-pt shot from 5 ft,,21-31,,
10:46.0,Offensive rebound by J. Henson,,21-31,,
10:44.0,J. Henson makes 2-pt shot from 1 ft,2,23-31,,
10:19.0,,,23-33,2,P. Pierce makes 2-pt shot from 1 ft (assist by A. Rivers)
10:09.0,T. Ennis misses 2-pt shot from 2 ft,,23-33,,
10:09.0,Offensive rebound by J. Henson,,23-33,,
10:07.0,J. Henson makes 2-pt shot from 1 ft,2,25-33,,
9:51.0,,,25-33,,J. Smith misses 2-pt shot from 19 ft
9:51.0,Defensive rebound by G. Antetokounmpo,,25-33,,
9:34.0,J. Henson makes 2-pt shot from 7 ft (assist by O. Mayo),2,27-33,,
9:17.0,,,27-33,,P. Pierce misses 2-pt shot from 18 ft
9:16.0,Defensive rebound by G. Antetokounmpo,,27-33,,
9:13.0,Turnover by G. Antetokounmpo (lost ball),,27-33,,
8:53.0,,,27-33,,A. Rivers misses 2-pt shot from 21 ft
8:52.0,,,27-33,,Offensive rebound by L. Stephenson
8:51.0,,,27-35,2,L. Stephenson makes 2-pt shot from 2 ft
8:45.0,Shooting foul by A. Rivers (drawn by J. Parker),,27-35,,
8:45.0,Official timeout,,27-35,,
8:45.0,J. Parker makes free throw 1 of 2,1,28-35,,
8:45.0,J. Parker makes free throw 2 of 2,1,29-35,,
8:34.0,Jump ball: J. Henson vs. J. Smith (P. Pierce gains possession),,,,Jump ball: J. Henson vs. J. Smith (P. Pierce gains possession)
8:19.0,,,29-35,,J. Smith misses 2-pt shot from 3 ft
8:18.0,Defensive rebound by O. Mayo,,29-35,,
7:58.0,J. Parker makes 2-pt shot from 15 ft,2,31-35,,
7:35.0,,,31-35,,P. Pierce misses 3-pt shot from 26 ft
7:34.0,Defensive rebound by G. Antetokounmpo,,31-35,,
7:19.0,O. Mayo makes 2-pt shot from 19 ft,2,33-35,,
7:05.0,,,33-35,,J. Crawford misses 2-pt shot from 6 ft
7:04.0,Defensive rebound by J. Parker,,33-35,,
6:54.0,Turnover by J. Henson (bad pass; steal by J. Smith),,33-35,,
6:30.0,,,33-37,2,P. Pierce makes 2-pt shot from 3 ft (assist by L. Stephenson)
6:04.0,T. Ennis misses 3-pt shot from 26 ft,,33-37,,
6:04.0,Offensive rebound by J. Henson,,33-37,,
5:53.0,O. Mayo misses 3-pt shot from 29 ft,,33-37,,
5:52.0,,,33-37,,Defensive rebound by P. Pierce
5:41.0,,,33-37,,A. Rivers misses 2-pt shot from 2 ft (block by J. Henson)
5:40.0,Defensive rebound by G. Antetokounmpo,,33-37,,
5:33.0,O. Mayo misses 3-pt shot from 26 ft,,33-37,,
5:32.0,,,33-37,,Defensive rebound by A. Rivers
5:28.0,,,33-37,,LA Clippers full timeout
5:28.0,,,33-37,,C. Paul enters the game for J. Crawford
5:28.0,,,33-37,,J. Redick enters the game for P. Pierce
5:28.0,,,33-37,,D. Jordan enters the game for J. Smith
5:28.0,,,33-37,,B. Griffin enters the game for A. Rivers
5:28.0,M. Plumlee enters the game for G. Antetokounmpo,,33-37,,
5:28.0,K. Middleton enters the game for J. Henson,,33-37,,
5:28.0,M. Carter-Williams enters the game for T. Ennis,,33-37,,
5:17.0,,,33-39,2,B. Griffin makes 2-pt shot from 1 ft (assist by J. Redick)
5:03.0,Turnover by M. Carter-Williams (bad pass; steal by L. Stephenson),,33-39,,
4:58.0,,,33-41,2,L. Stephenson makes 2-pt shot at rim
4:47.0,J. Parker makes 2-pt shot from 5 ft (assist by M. Carter-Williams),2,35-41,,
4:32.0,,,35-41,,Turnover by C. Paul (bad pass; steal by J. Parker)
4:29.0,Shooting foul by C. Paul (drawn by M. Carter-Williams),,35-41,,
4:29.0,M. Carter-Williams misses free throw 1 of 2,,35-41,,
4:29.0,Offensive rebound by Team,,35-41,,
4:29.0,M. Carter-Williams makes free throw 2 of 2,1,36-41,,
4:22.0,,,36-41,,Shooting foul by J. Parker (drawn by B. Griffin)
4:22.0,,,36-42,1,B. Griffin makes free throw 1 of 2
4:22.0,J. O'Bryant enters the game for J. Parker,,36-42,,
4:22.0,,,36-42,,B. Griffin misses free throw 2 of 2
4:21.0,Defensive rebound by M. Plumlee,,36-42,,
3:58.0,J. O'Bryant misses 2-pt shot from 4 ft,,36-42,,
3:56.0,,,36-42,,Defensive rebound by L. Stephenson
3:39.0,,,36-42,,B. Griffin misses 2-pt shot from 3 ft
3:39.0,Defensive rebound by M. Carter-Williams,,36-42,,
3:36.0,J. O'Bryant makes 2-pt shot from 2 ft,2,38-42,,
3:36.0,Shooting foul by L. Stephenson (drawn by J. O'Bryant),,38-42,,
3:36.0,,,38-42,,W. Johnson enters the game for L. Stephenson
3:36.0,J. O'Bryant misses free throw 1 of 1,,38-42,,
3:35.0,,,38-42,,Defensive rebound by D. Jordan
3:23.0,Personal foul by K. Middleton (drawn by J. Redick),,38-42,,
3:17.0,,,38-45,3,J. Redick makes 3-pt shot from 24 ft (assist by B. Griffin)
3:03.0,M. Carter-Williams misses 2-pt shot from 13 ft,,38-45,,
3:02.0,,,38-45,,Defensive rebound by W. Johnson
2:50.0,,,38-45,,W. Johnson misses 2-pt shot from 19 ft
2:50.0,,,38-45,,Offensive rebound by Team
2:50.0,Milwaukee full timeout,,38-45,,
2:44.0,Personal foul by M. Plumlee (drawn by J. Redick),,38-45,,
2:36.0,Def 3 sec tech foul by M. Plumlee,,38-45,,
2:36.0,,,38-46,1,C. Paul makes technical free throw
2:26.0,,,38-46,,Turnover by W. Johnson (bad pass; steal by J. O'Bryant)
2:16.0,O. Mayo misses 3-pt shot from 25 ft,,38-46,,
2:16.0,Offensive rebound by J. O'Bryant,,38-46,,
2:11.0,O. Mayo makes 3-pt shot from 25 ft (assist by J. O'Bryant),3,41-46,,
1:50.0,,,41-46,,B. Griffin misses 2-pt shot from 20 ft
1:50.0,,,41-46,,Offensive rebound by Team
1:43.0,,,41-48,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
1:19.0,M. Carter-Williams makes 2-pt shot from 4 ft (assist by K. Middleton),2,43-48,,
1:16.0,Personal foul by J. O'Bryant (drawn by B. Griffin),,43-48,,
1:07.0,,,43-48,,Turnover by D. Jordan (3 sec)
1:07.0,,,43-48,,J. Crawford enters the game for W. Johnson
1:07.0,,,43-48,,Violation by Team (jump ball)
0:52.0,M. Plumlee misses 2-pt shot from 5 ft,,43-48,,
0:50.0,,,43-48,,Defensive rebound by D. Jordan
0:40.0,Personal foul by J. O'Bryant (drawn by B. Griffin),,43-48,,
0:40.0,Technical foul by O. Mayo,,43-48,,
0:40.0,,,43-49,1,C. Paul makes technical free throw
0:40.0,,,43-50,1,B. Griffin makes free throw 1 of 2
0:40.0,G. Antetokounmpo enters the game for O. Mayo,,43-50,,
0:40.0,,,43-50,,L. Mbah a Moute enters the game for J. Crawford
0:40.0,,,43-50,,A. Rivers enters the game for J. Redick
0:40.0,,,43-51,1,B. Griffin makes free throw 2 of 2
0:14.0,M. Plumlee misses 2-pt shot from 2 ft,,43-51,,
0:14.0,,,43-51,,Defensive rebound by L. Mbah a Moute
0:14.0,,,43-51,,LA Clippers full timeout
0:14.0,,,43-51,,W. Johnson enters the game for L. Mbah a Moute
0:14.0,,,43-51,,J. Crawford enters the game for D. Jordan
0:14.0,,,43-51,,J. Redick enters the game for A. Rivers
0:02.0,,,43-53,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
0:02.0,,,43-53,,Shooting foul by G. Antetokounmpo (drawn by B. Griffin)
0:02.0,,,43-53,,D. Jordan enters the game for C. Paul
0:02.0,,,43-53,,A. Rivers enters the game for W. Johnson
0:02.0,,,43-53,,L. Mbah a Moute enters the game for J. Crawford
0:02.0,,,43-54,1,B. Griffin makes free throw 1 of 1
0:00.0,K. Middleton misses 3-pt shot from 44 ft,,43-54,,
0:00.0,Offensive rebound by Team,,43-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,M. Carter-Williams makes 2-pt shot from 9 ft,2,45-54,,
11:24.0,,,45-54,,B. Griffin misses 2-pt shot from 20 ft
11:23.0,,,45-54,,Offensive rebound by L. Mbah a Moute
11:21.0,,,45-54,,L. Mbah a Moute misses 2-pt shot from 1 ft (block by K. Middleton)
11:18.0,,,45-54,,Offensive rebound by L. Mbah a Moute
11:10.0,,,45-57,3,C. Paul makes 3-pt shot from 23 ft (assist by J. Redick)
10:43.0,Turnover by M. Carter-Williams (bad pass; steal by J. Redick),,45-57,,
10:32.0,,,45-59,2,C. Paul makes 2-pt shot from 15 ft
10:17.0,,,45-59,,Personal foul by D. Jordan (drawn by M. Carter-Williams)
10:04.0,J. Parker makes 2-pt shot from 9 ft (assist by K. Middleton),2,47-59,,
9:50.0,,,47-61,2,L. Mbah a Moute makes 2-pt shot from 3 ft (assist by J. Redick)
9:30.0,O. Mayo makes 3-pt shot from 25 ft (assist by K. Middleton),3,50-61,,
9:13.0,,,50-61,,J. Redick misses 2-pt shot from 19 ft
9:12.0,Defensive rebound by M. Carter-Williams,,50-61,,
8:57.0,M. Carter-Williams misses 2-pt shot from 2 ft,,50-61,,
8:56.0,,,50-61,,Defensive rebound by D. Jordan
8:53.0,,,50-61,,Offensive foul by D. Jordan
8:53.0,,,50-61,,Turnover by D. Jordan (offensive foul)
8:36.0,J. Parker misses 2-pt shot from 19 ft,,50-61,,
8:36.0,,,50-61,,Defensive rebound by C. Paul
8:36.0,,,50-61,,C. Paul misses 2-pt shot from 14 ft
8:23.0,,,50-61,,Offensive rebound by D. Jordan
8:22.0,,,50-63,2,D. Jordan makes 2-pt shot at rim
8:01.0,O. Mayo makes 2-pt shot from 20 ft,2,52-63,,
7:44.0,,,52-63,,Turnover by C. Paul (bad pass; steal by M. Carter-Williams)
7:39.0,K. Middleton misses 3-pt shot from 24 ft,,52-63,,
7:35.0,Offensive rebound by J. Parker,,52-63,,
7:28.0,J. Parker misses 2-pt shot from 9 ft,,52-63,,
7:28.0,,,52-63,,Defensive rebound by D. Jordan
7:24.0,,,52-65,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
7:24.0,,,52-65,,Shooting foul by K. Middleton (drawn by D. Jordan)
7:24.0,,,52-65,,W. Johnson enters the game for L. Mbah a Moute
7:24.0,,,52-66,1,D. Jordan makes free throw 1 of 1
7:16.0,M. Carter-Williams misses 2-pt shot from 1 ft (block by D. Jordan),,52-66,,
7:16.0,Offensive rebound by Team,,52-66,,
7:06.0,M. Carter-Williams misses 2-pt shot from 10 ft,,52-66,,
7:05.0,,,52-66,,Defensive rebound by C. Paul
6:53.0,,,52-66,,J. Redick misses 3-pt shot from 28 ft
6:53.0,,,52-66,,Offensive rebound by D. Jordan
6:50.0,,,52-66,,Turnover by D. Jordan (lost ball)
6:49.0,,,52-66,,Technical foul by D. Jordan
6:49.0,,,52-66,,Technical foul by D. Jordan
6:49.0,,,52-66,,J. Smith enters the game for D. Jordan
6:49.0,K. Middleton makes technical free throw,1,53-66,,
6:49.0,K. Middleton makes technical free throw,1,54-66,,
6:36.0,J. Parker misses 2-pt shot from 2 ft,,54-66,,
6:35.0,,,54-66,,Defensive rebound by B. Griffin
6:23.0,,,54-66,,B. Griffin misses 2-pt shot from 19 ft
6:23.0,,,54-66,,Offensive rebound by B. Griffin
6:14.0,,,54-68,2,C. Paul makes 2-pt shot from 1 ft
6:04.0,O. Mayo misses 2-pt shot from 18 ft,,54-68,,
6:03.0,,,54-68,,Defensive rebound by J. Smith
5:45.0,,,54-68,,J. Redick misses 3-pt shot from 22 ft
5:44.0,Defensive rebound by K. Middleton,,54-68,,
5:40.0,Milwaukee full timeout,,54-68,,
5:40.0,J. Henson enters the game for M. Plumlee,,54-68,,
5:40.0,G. Antetokounmpo enters the game for J. Parker,,54-68,,
5:26.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,54-68,,
5:24.0,,,54-68,,Defensive rebound by B. Griffin
5:11.0,,,54-68,,C. Paul misses 2-pt shot from 16 ft
5:10.0,Defensive rebound by J. Henson,,54-68,,
4:50.0,J. Henson misses 2-pt shot from 6 ft,,54-68,,
4:49.0,,,54-68,,Defensive rebound by B. Griffin
4:39.0,Personal foul by G. Antetokounmpo (drawn by B. Griffin),,54-68,,
4:39.0,,,54-68,,J. Crawford enters the game for J. Redick
4:36.0,,,54-68,,Turnover by C. Paul (bad pass; steal by O. Mayo)
4:32.0,O. Mayo makes 2-pt shot from 3 ft,2,56-68,,
4:17.0,,,56-70,2,B. Griffin makes 2-pt shot from 21 ft (assist by C. Paul)
4:02.0,O. Mayo misses 2-pt shot from 12 ft,,56-70,,
4:01.0,,,56-70,,Defensive rebound by C. Paul
3:51.0,,,56-70,,W. Johnson misses 3-pt shot from 22 ft
3:51.0,,,56-70,,Offensive rebound by J. Smith
3:42.0,,,56-70,,C. Paul misses 2-pt shot from 4 ft (block by J. Henson)
3:41.0,Defensive rebound by M. Carter-Williams,,56-70,,
3:36.0,J. Henson misses 2-pt shot from 2 ft (block by W. Johnson),,56-70,,
3:36.0,Offensive rebound by Team,,56-70,,
3:31.0,K. Middleton misses 2-pt shot from 13 ft,,56-70,,
3:30.0,Offensive rebound by K. Middleton,,56-70,,
3:28.0,K. Middleton makes 2-pt shot at rim,2,58-70,,
3:15.0,Personal foul by O. Mayo (drawn by J. Crawford),,58-70,,
3:15.0,,,58-70,,P. Pierce enters the game for B. Griffin
3:04.0,,,58-70,,Turnover by P. Pierce (bad pass; steal by O. Mayo)
3:00.0,,,58-70,,Personal foul by W. Johnson (drawn by K. Middleton)
2:46.0,K. Middleton makes 2-pt shot from 14 ft,2,60-70,,
2:30.0,,,60-70,,Shooting foul by K. Middleton (drawn by J. Smith)
2:30.0,,,60-70,,LA Clippers full timeout
2:30.0,,,60-70,,A. Rivers enters the game for C. Paul
2:30.0,,,60-70,,J. Smith misses free throw 1 of 2
2:30.0,,,60-70,,Offensive rebound by Team
2:30.0,,,60-70,,J. Smith misses free throw 2 of 2
2:28.0,Defensive rebound by G. Antetokounmpo,,60-70,,
2:14.0,Turnover by G. Antetokounmpo (bad pass; steal by J. Smith),,60-70,,
2:02.0,,,60-70,,J. Smith misses 2-pt shot from 17 ft
2:02.0,Defensive rebound by G. Antetokounmpo,,60-70,,
1:51.0,M. Carter-Williams makes 2-pt shot from 3 ft (assist by G. Antetokounmpo),2,62-70,,
1:33.0,,,62-70,,Turnover by A. Rivers (bad pass; steal by O. Mayo)
1:28.0,O. Mayo makes 2-pt shot from 1 ft,2,64-70,,
1:06.0,,,64-70,,Shooting foul by M. Carter-Williams (drawn by J. Crawford)
1:06.0,,,64-71,1,J. Crawford makes free throw 1 of 2
1:06.0,,,64-71,,L. Stephenson enters the game for W. Johnson
1:06.0,,,64-72,1,J. Crawford makes free throw 2 of 2
0:50.0,M. Carter-Williams misses 2-pt shot from 3 ft,,64-72,,
0:50.0,,,64-72,,Defensive rebound by J. Smith
0:42.0,,,64-75,3,J. Smith makes 3-pt shot from 27 ft (assist by J. Crawford)
0:25.0,G. Antetokounmpo misses 2-pt shot from 3 ft,,64-75,,
0:24.0,Offensive rebound by J. Henson,,64-75,,
0:24.0,J. Henson makes 2-pt shot from 1 ft,2,66-75,,
0:03.0,,,66-78,3,J. Smith makes 3-pt shot from 25 ft (assist by P. Pierce)
0:02.0,Turnover by O. Mayo (bad pass; steal by J. Crawford),,66-78,,
0:01.0,,,66-78,,J. Crawford misses 3-pt shot from 26 ft
0:00.0,,,66-78,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,66-80,2,J. Smith makes 2-pt shot from 13 ft (assist by P. Pierce)
11:32.0,K. Middleton misses 3-pt shot from 29 ft,,66-80,,
11:32.0,,,66-80,,Defensive rebound by P. Pierce
11:27.0,,,66-80,,J. Smith misses 2-pt shot from 4 ft (block by J. Henson)
11:25.0,Defensive rebound by J. Henson,,66-80,,
11:24.0,Shooting foul by J. Crawford (drawn by K. Middleton),,66-80,,
11:24.0,K. Middleton makes free throw 1 of 2,1,67-80,,
11:24.0,K. Middleton makes free throw 2 of 2,1,68-80,,
11:12.0,,,68-80,,J. Crawford misses 2-pt shot from 6 ft
11:11.0,Defensive rebound by J. Henson,,68-80,,
10:47.0,Shooting foul by L. Stephenson (drawn by K. Middleton),,68-80,,
10:47.0,K. Middleton makes free throw 1 of 2,1,69-80,,
10:47.0,K. Middleton makes free throw 2 of 2,1,70-80,,
10:28.0,,,70-80,,Turnover by J. Smith (3 sec)
10:10.0,O. Mayo makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,73-80,,
9:53.0,,,73-80,,Shooting foul by M. Carter-Williams (drawn by A. Rivers)
9:53.0,,,73-81,1,A. Rivers makes free throw 1 of 2
9:53.0,,,73-81,,B. Griffin enters the game for J. Smith
9:53.0,,,73-82,1,A. Rivers makes free throw 2 of 2
9:30.0,O. Mayo misses 3-pt shot from 24 ft,,73-82,,
9:29.0,Offensive rebound by K. Middleton,,73-82,,
9:23.0,M. Carter-Williams makes 2-pt shot from 4 ft,2,75-82,,
9:01.0,,,75-82,,P. Pierce misses 3-pt shot from 27 ft
9:01.0,Defensive rebound by J. Henson,,75-82,,
8:43.0,M. Carter-Williams misses 2-pt shot from 2 ft,,75-82,,
8:43.0,,,75-82,,Defensive rebound by Team
8:43.0,Official timeout,,75-82,,
8:32.0,,,75-84,2,A. Rivers makes 2-pt shot from 1 ft
8:17.0,Offensive foul by G. Antetokounmpo,,75-84,,
8:17.0,Turnover by G. Antetokounmpo (offensive foul),,75-84,,
8:01.0,,,75-84,,B. Griffin misses 2-pt shot from 19 ft
8:00.0,Defensive rebound by K. Middleton,,75-84,,
7:45.0,K. Middleton misses 3-pt shot from 26 ft,,75-84,,
7:45.0,Offensive rebound by G. Antetokounmpo,,75-84,,
7:45.0,G. Antetokounmpo misses 2-pt shot at rim,,75-84,,
7:45.0,Offensive rebound by Team,,75-84,,
7:37.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by O. Mayo),2,77-84,,
7:21.0,,,77-87,3,A. Rivers makes 3-pt shot from 27 ft (assist by B. Griffin)
7:03.0,,,77-87,,Personal foul by L. Stephenson (drawn by G. Antetokounmpo)
7:03.0,,,77-87,,C. Paul enters the game for A. Rivers
7:03.0,,,77-87,,J. Redick enters the game for J. Crawford
6:50.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by O. Mayo),2,79-87,,
6:38.0,,,79-89,2,J. Redick makes 2-pt shot from 21 ft (assist by B. Griffin)
6:20.0,,,79-89,,L. Mbah a Moute enters the game for P. Pierce
6:13.0,Turnover by Team (shot clock),,79-89,,
5:53.0,,,79-89,,B. Griffin misses 2-pt shot from 19 ft
5:52.0,Defensive rebound by G. Antetokounmpo,,79-89,,
5:40.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by O. Mayo),2,81-89,,
5:31.0,Personal foul by O. Mayo (drawn by J. Redick),,81-89,,
5:31.0,,,81-89,,LA Clippers full timeout
5:31.0,J. Parker enters the game for J. Henson,,81-89,,
5:18.0,,,81-91,2,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by C. Paul)
4:53.0,O. Mayo misses 2-pt shot from 2 ft (block by B. Griffin),,81-91,,
4:51.0,,,81-91,,Defensive rebound by L. Mbah a Moute
4:29.0,,,81-91,,J. Redick misses 2-pt shot from 19 ft
4:29.0,Defensive rebound by G. Antetokounmpo,,81-91,,
4:18.0,M. Carter-Williams makes 2-pt shot from 13 ft,2,83-91,,
3:49.0,,,83-91,,B. Griffin misses 2-pt shot from 11 ft
3:49.0,,,83-91,,Offensive rebound by Team
3:49.0,,,83-91,,Turnover by Team (shot clock)
3:49.0,,,83-91,,A. Rivers enters the game for L. Stephenson
3:41.0,Turnover by M. Carter-Williams (lost ball; steal by C. Paul),,83-91,,
3:24.0,,,83-91,,Shooting foul by O. Mayo (drawn by J. Redick)
3:24.0,,,83-92,1,J. Redick makes free throw 1 of 3
