time,Toronto,pts.away,score,pts.home,Milwaukee
6:40.0,Defensive rebound by L. Scola,,38-36,,
6:33.0,K. Lowry makes 3-pt shot from 26 ft,3,41-36,,
6:33.0,,,41-36,,Milwaukee full timeout
6:33.0,,,41-36,,G. Antetokounmpo enters the game for T. Ennis
6:33.0,,,41-36,,K. Middleton enters the game for J. O'Bryant
6:33.0,N. Powell enters the game for T. Ross,,41-36,,
6:18.0,,,41-36,,J. Parker misses 2-pt shot from 20 ft
6:16.0,Defensive rebound by B. Biyombo,,41-36,,
6:09.0,C. Joseph misses 2-pt shot at rim,,41-36,,
6:08.0,,,41-36,,Defensive rebound by G. Antetokounmpo
6:00.0,,,41-38,2,G. Monroe makes 2-pt shot at rim (assist by G. Antetokounmpo)
5:47.0,K. Lowry makes 3-pt shot from 24 ft (assist by L. Scola),3,44-38,,
5:24.0,,,44-38,,G. Antetokounmpo misses 2-pt shot from 9 ft
5:23.0,Defensive rebound by Team,,44-38,,
5:23.0,,,44-38,,Loose ball foul by G. Antetokounmpo
4:58.0,N. Powell makes 3-pt shot from 23 ft (assist by K. Lowry),3,47-38,,
4:34.0,,,47-38,,K. Middleton misses 3-pt shot from 25 ft
4:32.0,Defensive rebound by L. Scola,,47-38,,
4:19.0,L. Scola misses 2-pt shot from 15 ft,,47-38,,
4:17.0,,,47-38,,Defensive rebound by G. Monroe
4:12.0,Personal foul by L. Scola,,47-38,,
4:12.0,,,47-39,1,G. Antetokounmpo makes free throw 1 of 2
4:12.0,J. Johnson enters the game for C. Joseph,,47-39,,
4:12.0,,,47-39,,G. Antetokounmpo misses free throw 2 of 2
4:11.0,,,47-39,,Offensive rebound by G. Antetokounmpo
4:07.0,,,47-41,2,G. Antetokounmpo makes 2-pt shot from 1 ft
3:50.0,Shooting foul by J. Parker (drawn by K. Lowry),,47-41,,
3:50.0,K. Lowry makes free throw 1 of 2,1,48-41,,
3:50.0,K. Lowry makes free throw 2 of 2,1,49-41,,
3:42.0,,,49-43,2,K. Middleton makes 2-pt shot from 22 ft (assist by G. Antetokounmpo)
3:23.0,N. Powell misses 3-pt shot from 23 ft,,49-43,,
3:21.0,,,49-43,,Defensive rebound by J. Parker
3:08.0,,,49-43,,K. Middleton misses 2-pt shot from 13 ft
3:07.0,,,49-43,,Offensive rebound by G. Monroe
3:05.0,,,49-43,,Technical foul by K. Middleton
3:05.0,K. Lowry makes technical free throw,1,50-43,,
2:54.0,,,50-45,2,J. Parker makes 2-pt shot from 10 ft
2:31.0,K. Lowry misses 3-pt shot from 25 ft,,50-45,,
2:30.0,,,50-45,,Defensive rebound by G. Monroe
2:13.0,,,50-45,,J. Bayless misses 3-pt shot from 25 ft
2:12.0,Defensive rebound by B. Biyombo,,50-45,,
2:09.0,Toronto full timeout,,50-45,,
2:09.0,T. Ross enters the game for N. Powell,,50-45,,
1:47.0,K. Lowry misses 2-pt shot from 12 ft,,50-45,,
1:46.0,Offensive rebound by B. Biyombo,,50-45,,
1:44.0,B. Biyombo makes 2-pt shot at rim,2,52-45,,
1:31.0,,,52-47,2,G. Monroe makes 2-pt shot from 2 ft (assist by G. Antetokounmpo)
1:16.0,Turnover by K. Lowry (lost ball; steal by J. Bayless),,52-47,,
1:13.0,Personal foul by J. Johnson,,52-47,,
1:13.0,,,52-48,1,J. Bayless makes free throw 1 of 2
1:13.0,C. Joseph enters the game for K. Lowry,,52-48,,
1:13.0,,,52-49,1,J. Bayless makes free throw 2 of 2
0:55.0,J. Johnson misses 2-pt shot from 15 ft,,52-49,,
0:54.0,Offensive rebound by Team,,52-49,,
0:54.0,,,52-49,,Loose ball foul by J. Bayless
0:41.0,T. Ross misses 2-pt shot from 12 ft,,52-49,,
0:40.0,,,52-49,,Defensive rebound by G. Antetokounmpo
0:26.0,,,52-49,,G. Monroe misses 2-pt shot from 7 ft
0:25.0,Defensive rebound by L. Scola,,52-49,,
0:03.0,J. Johnson misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,52-49,,
0:01.0,,,52-49,,Defensive rebound by G. Monroe
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,52-49,,J. Parker misses 2-pt shot from 15 ft
11:41.0,Defensive rebound by N. Powell,,52-49,,
11:29.0,,,52-49,,Personal foul by J. Bayless
11:25.0,K. Lowry misses 2-pt shot from 22 ft,,52-49,,
11:23.0,,,52-49,,Defensive rebound by J. Parker
11:15.0,Personal block foul by J. Johnson,,52-49,,
11:06.0,,,52-49,,G. Antetokounmpo misses 2-pt shot from 1 ft
11:04.0,Defensive rebound by N. Powell,,52-49,,
11:00.0,N. Powell makes 2-pt shot at rim,2,54-49,,
10:49.0,,,54-49,,G. Antetokounmpo misses 2-pt shot from 1 ft
10:47.0,Defensive rebound by B. Biyombo,,54-49,,
10:36.0,N. Powell makes 3-pt shot from 23 ft (assist by L. Scola),3,57-49,,
10:21.0,,,57-49,,J. Bayless misses 2-pt shot at rim
10:20.0,Defensive rebound by B. Biyombo,,57-49,,
10:13.0,J. Johnson makes 3-pt shot from 24 ft (assist by K. Lowry),3,60-49,,
10:13.0,,,60-49,,Milwaukee full timeout
9:57.0,,,60-49,,J. Parker misses 2-pt shot at rim (block by N. Powell)
9:54.0,,,60-49,,Offensive rebound by K. Middleton
9:42.0,,,60-49,,J. Parker misses 2-pt shot from 1 ft (block by B. Biyombo)
9:41.0,Defensive rebound by N. Powell,,60-49,,
9:36.0,L. Scola makes 2-pt shot at rim (assist by K. Lowry),2,62-49,,
9:19.0,,,62-49,,Shooting foul by L. Scola (drawn by G. Antetokounmpo)
9:19.0,,,62-50,1,G. Antetokounmpo makes free throw 1 of 2
9:19.0,,,62-50,,G. Antetokounmpo misses free throw 2 of 2
9:18.0,Defensive rebound by B. Biyombo,,62-50,,
9:04.0,Turnover by K. Lowry (lost ball; steal by K. Middleton),,62-50,,
8:59.0,,,62-52,2,K. Middleton makes 2-pt shot at rim
8:32.0,Turnover by Team (shot clock),,62-52,,
8:23.0,,,62-52,,J. Parker misses 2-pt shot from 2 ft
8:22.0,Defensive rebound by K. Lowry,,62-52,,
8:18.0,Shooting foul by J. Bayless (drawn by K. Lowry),,62-52,,
8:18.0,K. Lowry makes free throw 1 of 2,1,63-52,,
8:18.0,,,63-52,,T. Ennis enters the game for J. Bayless
8:18.0,K. Lowry makes free throw 2 of 2,1,64-52,,
8:03.0,,,64-54,2,J. Parker makes 2-pt shot from 1 ft
8:03.0,,,64-54,,Shooting foul by L. Scola (drawn by J. Parker)
8:03.0,,,64-55,1,J. Parker makes free throw 1 of 1
7:48.0,,,64-55,,Violation by G. Monroe (kicked ball)
7:37.0,J. Johnson makes 2-pt shot from 12 ft,2,66-55,,
7:11.0,,,66-55,,Turnover by K. Middleton (lost ball; steal by N. Powell)
7:08.0,N. Powell misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,66-55,,
7:07.0,Offensive rebound by J. Johnson,,66-55,,
7:06.0,J. Johnson makes 2-pt shot at rim,2,68-55,,
6:48.0,,,68-55,,T. Ennis misses 3-pt shot from 24 ft
6:47.0,Defensive rebound by B. Biyombo,,68-55,,
6:44.0,L. Scola misses 2-pt shot from 2 ft,,68-55,,
6:43.0,,,68-55,,Defensive rebound by G. Antetokounmpo
6:40.0,,,68-55,,Offensive foul by G. Antetokounmpo
6:40.0,,,68-55,,Turnover by G. Antetokounmpo (offensive foul)
6:23.0,N. Powell misses 3-pt shot from 24 ft,,68-55,,
6:21.0,Offensive rebound by B. Biyombo,,68-55,,
6:21.0,,,68-55,,Loose ball foul by K. Middleton
6:08.0,K. Lowry makes 3-pt shot from 27 ft (assist by N. Powell),3,71-55,,
5:48.0,,,71-57,2,G. Antetokounmpo makes 2-pt shot from 3 ft
5:48.0,,,71-57,,Shooting foul by B. Biyombo (drawn by G. Antetokounmpo)
5:48.0,,,71-58,1,G. Antetokounmpo makes free throw 1 of 1
5:35.0,B. Biyombo makes 2-pt shot at rim (assist by K. Lowry),2,73-58,,
5:16.0,,,73-58,,J. Parker misses 2-pt shot from 3 ft
5:14.0,Defensive rebound by B. Biyombo,,73-58,,
5:09.0,J. Johnson misses 2-pt shot at rim,,73-58,,
5:08.0,,,73-58,,Defensive rebound by T. Ennis
4:54.0,,,73-58,,G. Monroe misses 2-pt shot from 6 ft (block by B. Biyombo)
4:52.0,,,73-58,,Offensive rebound by T. Ennis
4:47.0,,,73-58,,K. Middleton misses 3-pt shot from 25 ft
4:46.0,Defensive rebound by B. Biyombo,,73-58,,
4:38.0,Toronto full timeout,,73-58,,
4:38.0,P. Patterson enters the game for L. Scola,,73-58,,
4:38.0,T. Ross enters the game for N. Powell,,73-58,,
4:38.0,,,73-58,,J. O'Bryant enters the game for G. Antetokounmpo
4:38.0,,,73-58,,J. Bayless enters the game for J. Parker
4:23.0,B. Biyombo makes 2-pt shot at rim (assist by J. Johnson),2,75-58,,
4:01.0,,,75-58,,J. Bayless misses 2-pt shot from 5 ft (block by T. Ross)
3:58.0,,,75-58,,Offensive rebound by G. Monroe
3:56.0,,,75-58,,G. Monroe misses 2-pt shot from 2 ft (block by P. Patterson)
3:56.0,Defensive rebound by P. Patterson,,75-58,,
3:56.0,,,75-58,,Personal foul by K. Middleton
3:41.0,B. Biyombo misses 2-pt shot from 7 ft,,75-58,,
3:40.0,,,75-58,,Defensive rebound by Team
3:23.0,J. Thompson enters the game for B. Biyombo,,75-58,,
3:23.0,C. Joseph enters the game for K. Lowry,,75-58,,
3:19.0,,,75-60,2,K. Middleton makes 2-pt shot from 12 ft (assist by T. Ennis)
2:48.0,C. Joseph misses 2-pt shot from 14 ft,,75-60,,
2:47.0,,,75-60,,Defensive rebound by G. Monroe
2:35.0,,,75-62,2,J. O'Bryant makes 2-pt shot from 16 ft (assist by T. Ennis)
2:17.0,J. Johnson misses 3-pt shot from 23 ft,,75-62,,
2:15.0,,,75-62,,Defensive rebound by G. Monroe
1:56.0,,,75-64,2,K. Middleton makes 2-pt shot from 7 ft
1:37.0,N. Powell enters the game for J. Johnson,,75-64,,
1:28.0,P. Patterson makes 2-pt shot from 9 ft (assist by C. Joseph),2,77-64,,
1:04.0,,,77-64,,J. Bayless misses 2-pt shot from 20 ft
1:02.0,,,77-64,,Offensive rebound by J. O'Bryant
0:58.0,,,77-64,,T. Ennis misses 3-pt shot from 25 ft
0:56.0,Defensive rebound by J. Thompson,,77-64,,
0:45.0,C. Joseph makes 2-pt shot at rim,2,79-64,,
0:35.0,,,79-64,,Shooting foul by T. Ross (drawn by K. Middleton)
0:35.0,,,79-65,1,K. Middleton makes free throw 1 of 2
0:35.0,,,79-65,,M. Plumlee enters the game for G. Monroe
0:35.0,,,79-66,1,K. Middleton makes free throw 2 of 2
0:13.0,C. Joseph makes 2-pt shot from 2 ft,2,81-66,,
0:02.0,,,81-66,,J. Bayless misses 2-pt shot from 10 ft
0:00.0,,,81-66,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,P. Patterson makes 3-pt shot from 23 ft (assist by C. Joseph),3,84-66,,
11:24.0,,,84-68,2,J. Parker makes 2-pt shot from 15 ft (assist by G. Antetokounmpo)
11:02.0,C. Joseph misses 2-pt shot from 1 ft,,84-68,,
11:01.0,,,84-68,,Defensive rebound by G. Antetokounmpo
10:55.0,,,84-68,,Turnover by R. Vaughn (lost ball; steal by C. Joseph)
10:50.0,N. Powell misses 2-pt shot at rim (block by G. Antetokounmpo),,84-68,,
10:45.0,Offensive rebound by C. Joseph,,84-68,,
10:39.0,P. Patterson misses 2-pt shot from 13 ft,,84-68,,
10:39.0,,,84-68,,Defensive rebound by Team
10:39.0,Loose ball foul by J. Thompson,,84-68,,
10:30.0,,,84-68,,M. Plumlee misses 2-pt shot from 6 ft
10:28.0,Defensive rebound by J. Thompson,,84-68,,
10:13.0,T. Ross makes 3-pt shot from 25 ft (assist by C. Joseph),3,87-68,,
9:59.0,,,87-68,,G. Antetokounmpo misses 2-pt shot from 19 ft
9:58.0,Defensive rebound by P. Patterson,,87-68,,
9:47.0,T. Ross misses 2-pt shot from 12 ft,,87-68,,
9:45.0,Offensive rebound by P. Patterson,,87-68,,
9:45.0,P. Patterson makes 2-pt shot at rim,2,89-68,,
9:31.0,,,89-68,,Turnover by T. Ennis (lost ball; steal by J. Thompson)
9:24.0,T. Ross makes 3-pt shot from 24 ft (assist by C. Joseph),3,92-68,,
9:23.0,,,92-68,,Milwaukee full timeout
9:11.0,,,92-70,2,T. Ennis makes 2-pt shot from 13 ft
8:56.0,T. Ross misses 3-pt shot from 25 ft,,92-70,,
8:54.0,Offensive rebound by P. Patterson,,92-70,,
8:33.0,P. Patterson makes 2-pt shot from 20 ft (assist by N. Powell),2,94-70,,
8:29.0,Technical foul by Team,,94-70,,
8:29.0,,,94-70,,T. Ennis misses technical free throw
8:29.0,,,94-70,,Offensive rebound by Team
8:17.0,,,94-70,,R. Vaughn misses 3-pt shot from 24 ft
8:15.0,Defensive rebound by P. Patterson,,94-70,,
8:03.0,N. Powell misses 3-pt shot from 24 ft,,94-70,,
8:01.0,,,94-70,,Defensive rebound by T. Ennis
7:55.0,,,94-72,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by T. Ennis)
7:38.0,N. Powell makes 3-pt shot from 22 ft (assist by C. Joseph),3,97-72,,
7:20.0,,,97-72,,J. Parker misses 3-pt shot from 22 ft
7:18.0,Defensive rebound by T. Ross,,97-72,,
7:06.0,N. Powell makes 2-pt shot at rim (assist by C. Joseph),2,99-72,,
6:42.0,,,99-74,2,T. Ennis makes 2-pt shot from 13 ft
6:23.0,P. Patterson misses 3-pt shot from 23 ft,,99-74,,
6:22.0,,,99-74,,Defensive rebound by T. Ennis
6:20.0,Personal foul by N. Powell,,99-74,,
6:12.0,,,99-74,,Shooting foul by J. Thompson (drawn by J. Parker)
6:12.0,,,99-75,1,J. Parker makes free throw 1 of 2
6:12.0,,,99-76,1,J. Parker makes free throw 2 of 2
5:53.0,Turnover by C. Joseph (lost ball; steal by R. Vaughn),,99-76,,
5:45.0,,,99-78,2,J. Parker makes 2-pt shot at rim (assist by R. Vaughn)
5:45.0,Toronto full timeout,,99-78,,
5:45.0,,,99-78,,J. Henson enters the game for M. Plumlee
5:20.0,P. Patterson misses 2-pt shot from 16 ft,,99-78,,
5:19.0,Offensive rebound by J. Thompson,,99-78,,
5:19.0,J. Thompson misses 2-pt shot at rim,,99-78,,
5:18.0,,,99-78,,Defensive rebound by R. Vaughn
5:04.0,,,99-78,,T. Ennis misses 2-pt shot at rim
5:00.0,,,99-78,,Offensive rebound by J. Henson
5:00.0,,,99-80,2,J. Henson makes 2-pt shot from 1 ft
4:42.0,Shooting foul by G. Antetokounmpo (drawn by N. Powell),,99-80,,
4:42.0,N. Powell makes free throw 1 of 2,1,100-80,,
4:42.0,N. Powell makes free throw 2 of 2,1,101-80,,
4:32.0,,,101-83,3,J. Parker makes 3-pt shot from 24 ft (assist by G. Antetokounmpo)
4:16.0,,,101-83,,Personal foul by J. Parker
4:07.0,T. Ross misses 3-pt shot from 24 ft,,101-83,,
4:05.0,,,101-83,,Defensive rebound by G. Antetokounmpo
4:02.0,Personal foul by P. Patterson,,101-83,,
3:58.0,,,101-83,,Turnover by J. Henson (bad pass)
3:41.0,N. Powell makes 2-pt shot from 1 ft (assist by P. Patterson),2,103-83,,
3:31.0,,,103-83,,Shooting foul by N. Powell (drawn by G. Antetokounmpo)
3:31.0,,,103-84,1,G. Antetokounmpo makes free throw 1 of 2
3:31.0,,,103-84,,D. Inglis enters the game for J. Parker
3:31.0,L. Nogueira enters the game for P. Patterson,,103-84,,
3:31.0,,,103-85,1,G. Antetokounmpo makes free throw 2 of 2
3:07.0,N. Powell misses 2-pt shot from 17 ft,,103-85,,
3:05.0,,,103-85,,Defensive rebound by G. Antetokounmpo
2:56.0,,,103-87,2,J. Henson makes 2-pt shot from 5 ft (assist by G. Antetokounmpo)
2:48.0,,,103-87,,Personal take foul by T. Ennis
2:48.0,Official timeout,,103-87,,
2:48.0,,,103-87,,J. O'Bryant enters the game for G. Antetokounmpo
2:48.0,D. Wright enters the game for C. Joseph,,103-87,,
2:34.0,Turnover by L. Nogueira (lost ball; steal by D. Inglis),,103-87,,
2:31.0,,,103-87,,R. Vaughn misses 3-pt shot from 25 ft
2:28.0,Defensive rebound by D. Wright,,103-87,,
2:19.0,Shooting foul by T. Ennis (drawn by D. Wright),,103-87,,
2:19.0,D. Wright makes free throw 1 of 2,1,104-87,,
2:19.0,D. Wright makes free throw 2 of 2,1,105-87,,
1:59.0,,,105-87,,Turnover by D. Inglis (traveling)
1:42.0,D. Wright misses 2-pt shot from 1 ft,,105-87,,
1:40.0,Jump ball: J. O'Bryant vs. N. Powell (J. Henson gains possession),,,,Jump ball: J. O'Bryant vs. N. Powell (J. Henson gains possession)
1:40.0,,,105-87,,Offensive rebound by Team
1:31.0,,,105-89,2,T. Ennis makes 2-pt shot from 1 ft
1:16.0,T. Ross makes 2-pt shot from 20 ft,2,107-89,,
1:00.0,,,107-89,,J. Henson misses 2-pt shot from 6 ft
0:58.0,Defensive rebound by J. Thompson,,107-89,,
0:49.0,Turnover by D. Wright (lost ball; steal by J. Henson),,107-89,,
0:30.0,,,107-89,,D. Inglis misses 3-pt shot from 24 ft
0:27.0,Defensive rebound by J. Thompson,,107-89,,
0:08.0,Turnover by J. Thompson (offensive foul),,107-89,,
0:08.0,Offensive foul by J. Thompson,,107-89,,
