time,Atlanta,pts.away,score,pts.home,Boston
1:29.0,Turnover by P. Millsap (offensive foul),,43-43,,
1:29.0,Offensive foul by P. Millsap,,43-43,,
1:29.0,D. Schroder enters the game for K. Bazemore,,43-43,,
1:29.0,T. Splitter enters the game for P. Millsap,,43-43,,
1:21.0,,,43-43,,I. Thomas misses 3-pt shot from 25 ft
1:20.0,Defensive rebound by T. Splitter,,43-43,,
1:12.0,D. Schroder misses 2-pt shot from 4 ft (block by A. Johnson),,43-43,,
1:10.0,,,43-43,,Defensive rebound by J. Sullinger
1:03.0,,,43-43,,J. Crowder misses 2-pt shot from 2 ft
1:02.0,,,43-43,,Offensive rebound by J. Sullinger
1:01.0,,,43-43,,J. Sullinger misses 2-pt shot from 1 ft
1:01.0,,,43-43,,Offensive rebound by Team
1:01.0,,,43-43,,Boston full timeout
0:48.0,,,43-45,2,J. Crowder makes 2-pt shot from 1 ft (assist by I. Thomas)
0:35.0,,,43-45,,Shooting block foul by J. Sullinger (drawn by J. Teague)
0:35.0,J. Teague makes free throw 1 of 2,1,44-45,,
0:35.0,J. Teague makes free throw 2 of 2,1,45-45,,
0:23.0,,,45-45,,M. Smart misses 3-pt shot from 25 ft
0:22.0,Defensive rebound by T. Sefolosha,,45-45,,
0:01.0,D. Schroder misses 3-pt shot from 25 ft,,45-45,,
0:00.0,,,45-45,,Defensive rebound by J. Sullinger
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,45-47,2,J. Sullinger makes 2-pt shot at rim (assist by M. Smart)
11:30.0,A. Horford misses 2-pt shot at rim,,45-47,,
11:29.0,Offensive rebound by A. Horford,,45-47,,
11:29.0,A. Horford makes 2-pt shot at rim,2,47-47,,
11:14.0,,,47-47,,J. Crowder misses 2-pt shot from 16 ft
11:13.0,Defensive rebound by J. Teague,,47-47,,
10:57.0,Turnover by P. Millsap (bad pass),,47-47,,
10:44.0,,,47-47,,I. Thomas misses 2-pt shot from 19 ft
10:43.0,Defensive rebound by P. Millsap,,47-47,,
10:37.0,Turnover by P. Millsap (lost ball; steal by A. Johnson),,47-47,,
10:33.0,,,47-47,,I. Thomas misses 3-pt shot from 25 ft
10:32.0,Defensive rebound by Team,,47-47,,
10:08.0,Turnover by K. Bazemore (lost ball; steal by J. Crowder),,47-47,,
10:08.0,Jump ball: K. Bazemore vs. J. Crowder (J. Sullinger gains possession),,,,Jump ball: K. Bazemore vs. J. Crowder (J. Sullinger gains possession)
10:01.0,,,47-47,,Turnover by M. Smart (step out of bounds)
9:46.0,Turnover by K. Korver (bad pass; steal by J. Crowder),,47-47,,
9:41.0,,,47-47,,Shooting foul by J. Teague (drawn by I. Thomas)
9:41.0,,,47-48,1,I. Thomas makes free throw 1 of 2
9:41.0,,,47-49,1,I. Thomas makes free throw 2 of 2
9:24.0,K. Bazemore misses 3-pt shot from 23 ft,,47-49,,
9:24.0,Offensive rebound by P. Millsap,,47-49,,
9:24.0,Shooting foul by I. Thomas (drawn by P. Millsap),,47-49,,
9:24.0,P. Millsap makes free throw 1 of 2,1,48-49,,
9:24.0,P. Millsap makes free throw 2 of 2,1,49-49,,
9:09.0,,,49-51,2,I. Thomas makes 2-pt shot from 1 ft (assist by J. Sullinger)
8:50.0,K. Bazemore misses 2-pt shot from 1 ft (block by J. Sullinger),,49-51,,
8:49.0,Offensive rebound by Team,,49-51,,
8:38.0,P. Millsap misses 2-pt shot from 18 ft,,49-51,,
8:38.0,,,49-51,,Defensive rebound by J. Crowder
8:21.0,,,49-53,2,A. Johnson makes 2-pt shot from 1 ft (assist by M. Smart)
7:59.0,J. Teague makes 2-pt shot from 10 ft,2,51-53,,
7:46.0,,,51-53,,J. Sullinger misses 2-pt shot from 19 ft
7:44.0,,,51-53,,Offensive rebound by J. Crowder
7:31.0,,,51-53,,I. Thomas misses 2-pt shot from 14 ft
7:30.0,Defensive rebound by P. Millsap,,51-53,,
7:25.0,K. Bazemore misses 2-pt shot from 2 ft,,51-53,,
7:24.0,,,51-53,,Defensive rebound by M. Smart
7:18.0,,,51-53,,I. Thomas misses 2-pt shot from 21 ft
7:17.0,,,51-53,,Offensive rebound by J. Crowder
7:17.0,,,51-55,2,J. Crowder makes 2-pt shot from 1 ft
7:03.0,,,51-55,,Personal foul by A. Johnson (drawn by P. Millsap)
7:03.0,,,51-55,,E. Turner enters the game for M. Smart
6:55.0,K. Korver makes 3-pt shot from 23 ft (assist by P. Millsap),3,54-55,,
6:37.0,,,54-57,2,A. Johnson makes 2-pt shot from 4 ft
6:16.0,K. Korver makes 2-pt shot from 13 ft,2,56-57,,
6:03.0,,,56-59,2,I. Thomas makes 2-pt shot from 1 ft
5:57.0,,,56-59,,Personal foul by I. Thomas (drawn by J. Teague)
5:57.0,,,56-59,,Boston full timeout
5:57.0,,,56-59,,K. Olynyk enters the game for J. Sullinger
5:57.0,T. Splitter enters the game for A. Horford,,56-59,,
5:57.0,D. Schroder enters the game for J. Teague,,56-59,,
5:51.0,Shooting foul by J. Crowder (drawn by T. Splitter),,56-59,,
5:51.0,T. Splitter misses free throw 1 of 2,,56-59,,
5:51.0,Offensive rebound by Team,,56-59,,
5:51.0,T. Splitter makes free throw 2 of 2,1,57-59,,
5:34.0,,,57-59,,E. Turner misses 3-pt shot from 24 ft
5:33.0,Defensive rebound by D. Schroder,,57-59,,
5:21.0,K. Korver makes 3-pt shot from 24 ft (assist by D. Schroder),3,60-59,,
5:10.0,,,60-62,3,K. Olynyk makes 3-pt shot from 25 ft (assist by I. Thomas)
5:09.0,,,60-62,,Violation by Team (delay of game)
4:52.0,D. Schroder misses 2-pt shot from 2 ft,,60-62,,
4:51.0,,,60-62,,Defensive rebound by K. Olynyk
4:42.0,,,60-62,,K. Olynyk misses 2-pt shot from 20 ft
4:41.0,Defensive rebound by P. Millsap,,60-62,,
4:33.0,T. Splitter misses 2-pt shot from 2 ft (block by J. Crowder),,60-62,,
4:32.0,Offensive rebound by Team,,60-62,,
4:32.0,T. Sefolosha enters the game for K. Bazemore,,60-62,,
4:19.0,Turnover by P. Millsap (lost ball; steal by I. Thomas),,60-62,,
4:14.0,,,60-64,2,A. Johnson makes 2-pt shot at rim (assist by E. Turner)
4:00.0,P. Millsap misses 2-pt shot from 5 ft (block by K. Olynyk),,60-64,,
3:59.0,,,60-64,,Defensive rebound by I. Thomas
3:57.0,,,60-64,,E. Turner misses 2-pt shot from 1 ft
3:56.0,,,60-64,,Offensive rebound by J. Crowder
3:56.0,,,60-66,2,J. Crowder makes 2-pt shot from 1 ft
3:56.0,Atlanta full timeout,,60-66,,
3:42.0,J. Holiday enters the game for K. Korver,,60-66,,
3:33.0,T. Sefolosha misses 2-pt shot from 2 ft (block by A. Johnson),,60-66,,
3:32.0,Offensive rebound by Team,,60-66,,
3:32.0,Turnover by Team (shot clock),,60-66,,
3:12.0,,,60-68,2,I. Thomas makes 2-pt shot from 2 ft (assist by A. Johnson)
3:03.0,Turnover by D. Schroder (lost ball; steal by A. Johnson),,60-68,,
2:58.0,,,60-68,,J. Crowder misses 2-pt shot from 1 ft
2:57.0,Defensive rebound by J. Holiday,,60-68,,
2:48.0,T. Sefolosha makes 2-pt shot from 2 ft (assist by D. Schroder),2,62-68,,
2:32.0,,,62-68,,A. Johnson misses 3-pt shot from 24 ft
2:27.0,,,62-68,,Offensive rebound by E. Turner
2:11.0,,,62-71,3,I. Thomas makes 3-pt shot from 23 ft (assist by K. Olynyk)
1:53.0,J. Holiday makes 3-pt shot from 25 ft (assist by P. Millsap),3,65-71,,
1:40.0,,,65-74,3,K. Olynyk makes 3-pt shot from 24 ft (assist by I. Thomas)
1:27.0,Turnover by P. Millsap (bad pass; steal by J. Crowder),,65-74,,
1:21.0,,,65-74,,E. Turner misses 3-pt shot from 23 ft
1:20.0,,,65-74,,Offensive rebound by Team
1:20.0,A. Horford enters the game for P. Millsap,,65-74,,
1:20.0,M. Scott enters the game for T. Splitter,,65-74,,
1:20.0,,,65-74,,J. Jerebko enters the game for J. Crowder
1:20.0,,,65-74,,M. Smart enters the game for I. Thomas
1:18.0,,,65-74,,Shooting foul by A. Horford (drawn by J. Jerebko)
1:18.0,,,65-75,1,J. Jerebko makes free throw 1 of 2
1:18.0,,,65-76,1,J. Jerebko makes free throw 2 of 2
1:05.0,D. Schroder misses 2-pt shot from 2 ft (block by K. Olynyk),,65-76,,
1:04.0,,,65-76,,Defensive rebound by A. Johnson
0:59.0,,,65-76,,K. Olynyk misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by T. Sefolosha,,65-76,,
0:37.0,T. Sefolosha makes 2-pt shot from 1 ft (assist by A. Horford),2,67-76,,
0:26.0,,,67-78,2,K. Olynyk makes 2-pt shot from 1 ft
0:08.0,J. Holiday makes 2-pt shot from 12 ft (assist by D. Schroder),2,69-78,,
0:02.0,,,69-78,,E. Turner misses 2-pt shot from 13 ft
0:01.0,,,69-78,,Offensive rebound by A. Johnson
0:00.0,,,69-80,2,A. Johnson makes 2-pt shot at rim
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,M. Scott misses 2-pt shot from 17 ft,,69-80,,
11:40.0,,,69-80,,Defensive rebound by E. Turner
11:25.0,,,69-80,,M. Smart misses 3-pt shot from 24 ft
11:24.0,,,69-80,,Offensive rebound by Team
11:24.0,Loose ball foul by J. Holiday (drawn by K. Olynyk),,69-80,,
11:10.0,,,69-80,,K. Olynyk misses 2-pt shot from 16 ft
11:09.0,,,69-80,,Offensive rebound by J. Jerebko
11:00.0,,,69-82,2,D. Lee makes 2-pt shot from 2 ft (assist by E. Turner)
10:41.0,D. Schroder makes 2-pt shot from 20 ft,2,71-82,,
10:20.0,,,71-84,2,K. Olynyk makes 2-pt shot from 2 ft
10:08.0,M. Scott misses 3-pt shot from 24 ft,,71-84,,
10:07.0,,,71-84,,Defensive rebound by J. Jerebko
9:58.0,,,71-86,2,J. Jerebko makes 2-pt shot from 2 ft
9:58.0,Atlanta full timeout,,71-86,,
9:58.0,M. Muscala enters the game for M. Scott,,71-86,,
9:53.0,,,71-86,,Def 3 sec tech foul by D. Lee
9:53.0,D. Schroder makes technical free throw,1,72-86,,
9:46.0,Shooting foul by K. Olynyk (drawn by D. Schroder),,72-86,,
9:46.0,D. Schroder makes free throw 1 of 2,1,73-86,,
9:46.0,D. Schroder makes free throw 2 of 2,1,74-86,,
9:32.0,,,74-86,,D. Lee misses 2-pt shot from 2 ft
9:31.0,Defensive rebound by Team,,74-86,,
9:26.0,D. Schroder makes 2-pt shot from 2 ft,2,76-86,,
9:09.0,,,76-86,,E. Turner misses 2-pt shot from 12 ft
9:08.0,Defensive rebound by T. Sefolosha,,76-86,,
8:51.0,,,76-86,,Personal foul by J. Jerebko (drawn by A. Horford)
8:51.0,,,76-86,,Inbound foul by M. Smart
8:51.0,M. Muscala misses free throw 1 of 2,,76-86,,
8:51.0,Offensive rebound by Team,,76-86,,
8:51.0,M. Muscala makes free throw 2 of 2,1,77-86,,
8:39.0,,,77-86,,M. Smart misses 2-pt shot from 6 ft
8:36.0,,,77-86,,Offensive rebound by E. Turner
8:30.0,,,77-86,,M. Smart misses 2-pt shot from 5 ft
8:29.0,Defensive rebound by A. Horford,,77-86,,
8:11.0,D. Schroder misses 3-pt shot from 24 ft,,77-86,,
8:10.0,Offensive rebound by T. Sefolosha,,77-86,,
8:04.0,M. Muscala makes 2-pt shot from 2 ft (assist by J. Holiday),2,79-86,,
8:04.0,Shooting foul by J. Jerebko (drawn by M. Muscala),,79-86,,
8:04.0,,,79-86,,I. Thomas enters the game for M. Smart
8:04.0,,,79-86,,J. Sullinger enters the game for K. Olynyk
8:04.0,,,79-86,,A. Johnson enters the game for J. Jerebko
8:04.0,,,79-86,,J. Crowder enters the game for D. Lee
8:04.0,M. Muscala makes free throw 1 of 1,1,80-86,,
7:43.0,,,80-86,,E. Turner misses 3-pt shot from 22 ft
7:42.0,Defensive rebound by A. Horford,,80-86,,
7:32.0,Turnover by J. Holiday (traveling),,80-86,,
7:14.0,,,80-86,,J. Sullinger misses 2-pt shot from 15 ft
7:12.0,,,80-86,,Offensive rebound by J. Sullinger
7:12.0,,,80-86,,J. Sullinger misses 2-pt shot from 1 ft
7:12.0,,,80-86,,Offensive rebound by Team
7:12.0,P. Millsap enters the game for A. Horford,,80-86,,
7:12.0,Jump ball: M. Muscala vs. J. Sullinger,,,,Jump ball: M. Muscala vs. J. Sullinger
7:12.0,,,80-86,,Turnover by J. Sullinger (jump ball violation.)
7:12.0,,,80-86,,Loose ball foul by J. Sullinger (drawn by M. Muscala)
7:12.0,M. Muscala makes free throw 1 of 2,1,81-86,,
7:12.0,K. Korver enters the game for J. Holiday,,81-86,,
7:12.0,M. Muscala makes free throw 2 of 2,1,82-86,,
6:57.0,,,82-86,,Turnover by I. Thomas (lost ball; steal by T. Sefolosha)
6:44.0,,,82-86,,Personal foul by I. Thomas (drawn by M. Muscala)
6:44.0,M. Muscala makes free throw 1 of 2,1,83-86,,
6:44.0,K. Bazemore enters the game for T. Sefolosha,,83-86,,
6:44.0,M. Muscala misses free throw 2 of 2,,83-86,,
6:43.0,,,83-86,,Defensive rebound by E. Turner
6:28.0,,,83-86,,E. Turner misses 2-pt shot from 15 ft
6:27.0,,,83-86,,Offensive rebound by Team
6:27.0,Loose ball foul by P. Millsap (drawn by J. Sullinger),,83-86,,
6:20.0,,,83-89,3,I. Thomas makes 3-pt shot from 23 ft (assist by J. Sullinger)
6:03.0,K. Bazemore makes 2-pt shot from 2 ft (assist by M. Muscala),2,85-89,,
5:45.0,,,85-92,3,I. Thomas makes 3-pt shot from 23 ft (assist by A. Johnson)
