time,Denver,pts.away,score,pts.home,Miami
6:04.0,K. Faried makes 2-pt shot from 1 ft (assist by E. Mudiay),2,21-15,,
5:49.0,,,21-17,2,D. Wade makes 2-pt shot from 4 ft
5:35.0,J. Sampson makes 2-pt shot from 2 ft,2,23-17,,
5:14.0,,,23-17,,L. Deng misses 3-pt shot from 24 ft
5:13.0,Defensive rebound by G. Harris,,23-17,,
5:07.0,G. Harris misses 3-pt shot from 24 ft,,23-17,,
5:06.0,,,23-17,,Defensive rebound by H. Whiteside
5:05.0,,,23-17,,Turnover by H. Whiteside (lost ball; steal by N. Jokic)
5:04.0,N. Jokic misses 2-pt shot from 2 ft (block by H. Whiteside),,23-17,,
5:03.0,Offensive rebound by Team,,23-17,,
5:03.0,,,23-17,,J. Winslow enters the game for G. Dragic
5:03.0,,,23-17,,J. Richardson enters the game for L. Deng
5:03.0,W. Barton enters the game for J. Sampson,,23-17,,
4:54.0,E. Mudiay makes 2-pt shot from 17 ft,2,25-17,,
4:41.0,Def 3 sec tech foul by K. Faried,,25-17,,
4:41.0,,,25-18,1,D. Wade makes technical free throw
4:29.0,,,25-20,2,D. Wade makes 2-pt shot from 2 ft
4:09.0,E. Mudiay makes 2-pt shot from 9 ft,2,27-20,,
3:54.0,,,27-22,2,J. Richardson makes 2-pt shot from 2 ft
3:42.0,N. Jokic misses 3-pt shot from 24 ft,,27-22,,
3:41.0,Offensive rebound by K. Faried,,27-22,,
3:39.0,Turnover by K. Faried (bad pass),,27-22,,
3:23.0,,,27-25,3,J. Johnson makes 3-pt shot from 25 ft (assist by D. Wade)
3:23.0,Denver full timeout,,27-25,,
3:23.0,,,27-25,,G. Dragic enters the game for D. Wade
3:14.0,E. Mudiay misses 2-pt shot from 2 ft,,27-25,,
3:13.0,Offensive rebound by Team,,27-25,,
3:00.0,W. Barton misses 3-pt shot from 24 ft,,27-25,,
2:59.0,Offensive rebound by K. Faried,,27-25,,
2:58.0,K. Faried makes 2-pt shot from 1 ft,2,29-25,,
2:36.0,,,29-28,3,J. Winslow makes 3-pt shot from 23 ft (assist by J. Johnson)
2:22.0,Turnover by E. Mudiay (bad pass),,29-28,,
2:17.0,,,29-28,,Offensive foul by H. Whiteside
2:17.0,,,29-28,,Turnover by H. Whiteside (offensive foul)
1:56.0,E. Mudiay misses 2-pt shot from 21 ft,,29-28,,
1:55.0,Offensive rebound by N. Jokic,,29-28,,
1:54.0,N. Jokic makes 2-pt shot from 1 ft,2,31-28,,
1:43.0,,,31-30,2,J. Johnson makes 2-pt shot from 7 ft
1:43.0,,,31-30,,Shooting foul by W. Barton (drawn by J. Johnson)
1:43.0,A. Toupane enters the game for G. Harris,,31-30,,
1:43.0,,,31-31,1,J. Johnson makes free throw 1 of 1
1:26.0,Turnover by E. Mudiay (lost ball; steal by J. Johnson),,31-31,,
1:20.0,,,31-33,2,J. Winslow makes 2-pt shot from 1 ft (assist by J. Johnson)
1:00.0,W. Barton misses 2-pt shot from 16 ft,,31-33,,
0:59.0,,,31-33,,Defensive rebound by J. Winslow
0:43.0,,,31-33,,J. Richardson misses 3-pt shot from 25 ft
0:42.0,Defensive rebound by N. Jokic,,31-33,,
0:27.0,W. Barton misses 2-pt shot from 7 ft,,31-33,,
0:26.0,Offensive rebound by N. Jokic,,31-33,,
0:26.0,N. Jokic makes 2-pt shot from 2 ft,2,33-33,,
0:26.0,Shooting foul by J. Winslow (drawn by N. Jokic),,33-33,,
0:26.0,,,33-33,,L. Deng enters the game for J. Johnson
0:26.0,D. Arthur enters the game for K. Faried,,33-33,,
0:26.0,N. Jokic misses free throw 1 of 1,,33-33,,
0:25.0,,,33-33,,Defensive rebound by H. Whiteside
0:09.0,,,33-33,,J. Winslow misses 2-pt shot from 5 ft
0:08.0,,,33-33,,Offensive rebound by Team
0:02.0,,,33-36,3,J. Richardson makes 3-pt shot from 24 ft (assist by G. Dragic)
0:01.0,E. Mudiay misses 3-pt shot from 37 ft,,33-36,,
0:00.0,Offensive rebound by Team,,33-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,A. Toupane misses 2-pt shot from 2 ft,,33-36,,
11:43.0,Offensive rebound by J. Lauvergne,,33-36,,
11:42.0,J. Lauvergne misses 2-pt shot from 1 ft,,33-36,,
11:41.0,,,33-36,,Defensive rebound by H. Whiteside
11:19.0,,,33-36,,J. Richardson misses 2-pt shot from 13 ft
11:18.0,,,33-36,,Offensive rebound by H. Whiteside
11:17.0,,,33-38,2,H. Whiteside makes 2-pt shot at rim
10:56.0,D. Arthur makes 2-pt shot from 13 ft,2,35-38,,
10:33.0,,,35-38,,G. Dragic misses 3-pt shot from 25 ft
10:32.0,Defensive rebound by W. Barton,,35-38,,
10:24.0,A. Toupane makes 3-pt shot from 23 ft (assist by D. Augustin),3,38-38,,
10:08.0,,,38-38,,J. Winslow misses 2-pt shot from 19 ft
10:07.0,Defensive rebound by D. Arthur,,38-38,,
9:57.0,D. Arthur misses 3-pt shot from 23 ft,,38-38,,
9:56.0,Offensive rebound by Team,,38-38,,
9:56.0,,,38-38,,Loose ball foul by J. Richardson
9:45.0,J. Lauvergne makes 2-pt shot from 10 ft (assist by A. Toupane),2,40-38,,
9:29.0,,,40-40,2,J. Winslow makes 2-pt shot from 1 ft (assist by G. Dragic)
9:14.0,J. Lauvergne misses 2-pt shot from 10 ft,,40-40,,
9:13.0,,,40-40,,Defensive rebound by J. Richardson
9:03.0,,,40-42,2,J. Winslow makes 2-pt shot from 18 ft (assist by J. Richardson)
8:50.0,D. Augustin misses 2-pt shot from 8 ft,,40-42,,
8:49.0,,,40-42,,Defensive rebound by Team
8:49.0,Personal foul by J. Lauvergne,,40-42,,
8:49.0,Official timeout,,40-42,,
8:49.0,,,40-42,,J. McRoberts enters the game for H. Whiteside
8:32.0,,,40-42,,J. McRoberts misses 2-pt shot from 13 ft
8:31.0,Defensive rebound by J. Lauvergne,,40-42,,
8:24.0,D. Augustin makes 2-pt shot from 2 ft,2,42-42,,
8:11.0,,,42-42,,G. Dragic misses 3-pt shot from 24 ft
8:10.0,Defensive rebound by A. Toupane,,42-42,,
8:08.0,Shooting foul by G. Dragic (drawn by A. Toupane),,42-42,,
8:08.0,A. Toupane misses free throw 1 of 2,,42-42,,
8:08.0,Offensive rebound by Team,,42-42,,
8:08.0,A. Toupane makes free throw 2 of 2,1,43-42,,
7:49.0,,,43-44,2,J. Winslow makes 2-pt shot from 17 ft
7:33.0,Turnover by W. Barton (lost ball; steal by J. Richardson),,43-44,,
7:15.0,,,43-46,2,L. Deng makes 2-pt shot from 20 ft
6:49.0,J. Lauvergne misses 2-pt shot from 14 ft,,43-46,,
6:48.0,,,43-46,,Defensive rebound by G. Dragic
6:43.0,,,43-48,2,G. Dragic makes 2-pt shot from 1 ft
6:43.0,Denver full timeout,,43-48,,
6:43.0,,,43-48,,D. Wade enters the game for G. Dragic
6:32.0,Turnover by D. Augustin (bad pass),,43-48,,
6:15.0,,,43-50,2,L. Deng makes 2-pt shot from 1 ft (assist by J. McRoberts)
5:51.0,W. Barton misses 2-pt shot from 4 ft (block by J. McRoberts),,43-50,,
5:50.0,,,43-50,,Defensive rebound by L. Deng
5:45.0,,,43-52,2,J. Winslow makes 2-pt shot at rim (assist by L. Deng)
5:25.0,D. Augustin makes 3-pt shot from 23 ft,3,46-52,,
5:07.0,,,46-52,,D. Wade misses 2-pt shot from 5 ft
5:06.0,Defensive rebound by D. Arthur,,46-52,,
5:03.0,Shooting foul by J. McRoberts (drawn by J. Lauvergne),,46-52,,
5:03.0,J. Lauvergne makes free throw 1 of 2,1,47-52,,
5:03.0,J. Sampson enters the game for W. Barton,,47-52,,
5:03.0,G. Harris enters the game for A. Toupane,,47-52,,
5:03.0,J. Lauvergne makes free throw 2 of 2,1,48-52,,
4:57.0,,,48-52,,Offensive charge foul by D. Wade
4:57.0,,,48-52,,Turnover by D. Wade (offensive foul)
4:57.0,K. Faried enters the game for J. Lauvergne,,48-52,,
4:45.0,D. Augustin makes 2-pt shot from 14 ft,2,50-52,,
4:22.0,,,50-52,,J. Winslow misses 2-pt shot from 19 ft
4:21.0,,,50-52,,Offensive rebound by J. McRoberts
4:13.0,,,50-54,2,D. Wade makes 2-pt shot at rim
3:47.0,D. Augustin misses 2-pt shot from 5 ft (block by J. Richardson),,50-54,,
3:46.0,,,50-54,,Defensive rebound by J. McRoberts
3:36.0,,,50-57,3,J. Richardson makes 3-pt shot from 24 ft (assist by D. Wade)
3:36.0,Denver full timeout,,50-57,,
3:36.0,E. Mudiay enters the game for D. Arthur,,50-57,,
3:36.0,,,50-57,,J. Johnson enters the game for L. Deng
3:25.0,K. Faried makes 2-pt shot at rim (assist by D. Augustin),2,52-57,,
3:02.0,,,52-57,,D. Wade misses 2-pt shot from 6 ft
3:01.0,Defensive rebound by K. Faried,,52-57,,
2:54.0,G. Harris makes 2-pt shot from 1 ft (assist by E. Mudiay),2,54-57,,
2:45.0,,,54-57,,Miami full timeout
2:45.0,,,54-57,,G. Dragic enters the game for J. Richardson
2:45.0,,,54-57,,H. Whiteside enters the game for J. McRoberts
2:36.0,,,54-57,,Turnover by H. Whiteside (3 sec)
2:24.0,K. Faried makes 2-pt shot from 1 ft (assist by E. Mudiay),2,56-57,,
2:06.0,,,56-57,,D. Wade misses 2-pt shot from 2 ft (block by K. Faried)
2:05.0,Defensive rebound by K. Faried,,56-57,,
2:01.0,D. Augustin makes 2-pt shot from 1 ft (assist by K. Faried),2,58-57,,
1:46.0,,,58-57,,Shooting foul by D. Augustin (drawn by J. Winslow)
1:46.0,,,58-58,1,J. Winslow makes free throw 1 of 2
1:46.0,,,58-59,1,J. Winslow makes free throw 2 of 2
1:34.0,E. Mudiay misses 2-pt shot from 14 ft,,58-59,,
1:33.0,Offensive rebound by K. Faried,,58-59,,
1:31.0,K. Faried makes 2-pt shot from 1 ft,2,60-59,,
1:09.0,,,60-61,2,G. Dragic makes 2-pt shot from 1 ft
0:49.0,G. Harris misses 3-pt shot from 24 ft,,60-61,,
0:48.0,,,60-61,,Defensive rebound by J. Johnson
0:44.0,,,60-61,,J. Richardson enters the game for G. Dragic
0:34.0,,,60-64,3,J. Richardson makes 3-pt shot from 24 ft (assist by D. Wade)
0:15.0,Shooting foul by J. Richardson (drawn by E. Mudiay),,60-64,,
0:15.0,E. Mudiay makes free throw 1 of 2,1,61-64,,
0:15.0,E. Mudiay makes free throw 2 of 2,1,62-64,,
0:01.0,,,62-64,,D. Wade misses 2-pt shot from 16 ft
0:00.0,,,62-64,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Turnover by N. Jokic (lost ball; steal by D. Wade),,62-64,,
11:27.0,,,62-64,,J. Johnson misses 2-pt shot from 20 ft
11:26.0,Defensive rebound by K. Faried,,62-64,,
11:20.0,J. Sampson makes 2-pt shot from 2 ft (assist by K. Faried),2,64-64,,
11:03.0,Personal foul by K. Faried,,64-64,,
10:54.0,,,64-66,2,A. Stoudemire makes 2-pt shot from 1 ft (assist by G. Dragic)
10:37.0,E. Mudiay makes 2-pt shot from 7 ft,2,66-66,,
10:37.0,Shooting foul by G. Dragic (drawn by E. Mudiay),,66-66,,
10:37.0,E. Mudiay misses free throw 1 of 1,,66-66,,
10:36.0,,,66-66,,Defensive rebound by L. Deng
10:25.0,,,66-66,,J. Johnson misses 3-pt shot from 24 ft
10:24.0,Defensive rebound by K. Faried,,66-66,,
10:18.0,Turnover by K. Faried (lost ball; steal by L. Deng),,66-66,,
10:02.0,,,66-68,2,D. Wade makes 2-pt shot from 19 ft
9:46.0,E. Mudiay makes 2-pt shot from 6 ft,2,68-68,,
9:27.0,,,68-68,,Turnover by J. Johnson (lost ball; steal by N. Jokic)
9:23.0,G. Harris makes 2-pt shot from 1 ft (assist by N. Jokic),2,70-68,,
8:58.0,,,70-68,,G. Dragic misses 3-pt shot from 25 ft
8:57.0,Defensive rebound by K. Faried,,70-68,,
8:46.0,J. Sampson misses 3-pt shot from 23 ft,,70-68,,
8:45.0,,,70-68,,Defensive rebound by G. Dragic
8:33.0,,,70-68,,Shooting foul by J. Sampson (drawn by J. Johnson)
8:33.0,,,70-69,1,J. Johnson makes free throw 1 of 2
8:33.0,,,70-69,,J. Johnson misses free throw 2 of 2
8:32.0,Defensive rebound by N. Jokic,,70-69,,
8:20.0,E. Mudiay misses 2-pt shot from 18 ft,,70-69,,
8:19.0,,,70-69,,Defensive rebound by Team
8:19.0,Loose ball foul by N. Jokic,,70-69,,
8:12.0,,,70-71,2,L. Deng makes 2-pt shot at rim (assist by G. Dragic)
7:53.0,G. Harris misses 2-pt shot from 1 ft,,70-71,,
7:52.0,Offensive rebound by Team,,70-71,,
7:38.0,E. Mudiay makes 2-pt shot from 20 ft,2,72-71,,
7:14.0,,,72-71,,Turnover by A. Stoudemire (lost ball; steal by G. Harris)
7:11.0,Shooting foul by J. Johnson (drawn by G. Harris),,72-71,,
7:11.0,G. Harris makes free throw 1 of 2,1,73-71,,
7:11.0,G. Harris makes free throw 2 of 2,1,74-71,,
6:57.0,,,74-73,2,L. Deng makes 2-pt shot from 2 ft (assist by A. Stoudemire)
6:57.0,,,74-73,,Shooting foul by K. Faried (drawn by L. Deng)
6:57.0,,,74-74,1,L. Deng makes free throw 1 of 1
6:36.0,N. Jokic misses 2-pt shot from 8 ft,,74-74,,
6:35.0,,,74-74,,Defensive rebound by L. Deng
6:30.0,Personal foul by J. Sampson,,74-74,,
6:30.0,,,74-75,1,J. Johnson makes free throw 1 of 2
6:30.0,,,74-76,1,J. Johnson makes free throw 2 of 2
6:20.0,E. Mudiay misses 2-pt shot from 4 ft,,74-76,,
6:19.0,Offensive rebound by K. Faried,,74-76,,
6:18.0,K. Faried makes 2-pt shot from 2 ft,2,76-76,,
5:59.0,,,76-76,,J. Johnson misses 3-pt shot from 23 ft
5:58.0,Defensive rebound by G. Harris,,76-76,,
5:52.0,G. Harris makes 2-pt shot from 1 ft,2,78-76,,
5:43.0,,,78-76,,Miami full timeout
5:43.0,D. Arthur enters the game for K. Faried,,78-76,,
5:43.0,,,78-76,,H. Whiteside enters the game for A. Stoudemire
5:43.0,,,78-76,,J. Richardson enters the game for G. Dragic
5:26.0,,,78-76,,D. Wade misses 2-pt shot from 16 ft
5:25.0,Defensive rebound by E. Mudiay,,78-76,,
5:08.0,G. Harris misses 3-pt shot from 23 ft,,78-76,,
5:07.0,,,78-76,,Defensive rebound by L. Deng
4:56.0,,,78-78,2,J. Johnson makes 2-pt shot from 6 ft
4:43.0,E. Mudiay makes 2-pt shot at rim,2,80-78,,
4:22.0,,,80-80,2,D. Wade makes 2-pt shot from 4 ft
4:06.0,,,80-80,,Personal foul by H. Whiteside
4:06.0,,,80-80,,J. Winslow enters the game for L. Deng
4:06.0,,,80-80,,G. Dragic enters the game for D. Wade
3:54.0,J. Sampson misses 2-pt shot at rim,,80-80,,
3:52.0,Offensive rebound by D. Arthur,,80-80,,
3:52.0,Turnover by Team (shot clock),,80-80,,
3:28.0,,,80-80,,Turnover by Team (shot clock)
3:15.0,N. Jokic misses 2-pt shot from 3 ft,,80-80,,
3:14.0,Offensive rebound by N. Jokic,,80-80,,
3:06.0,D. Arthur makes 3-pt shot from 23 ft (assist by N. Jokic),3,83-80,,
2:52.0,,,83-80,,J. Richardson misses 2-pt shot from 11 ft
2:51.0,Defensive rebound by J. Sampson,,83-80,,
2:50.0,,,83-80,,Personal foul by J. Winslow
2:50.0,Denver full timeout,,83-80,,
2:39.0,N. Jokic makes 2-pt shot from 16 ft (assist by E. Mudiay),2,85-80,,
2:17.0,,,85-82,2,J. Johnson makes 2-pt shot from 6 ft
2:04.0,G. Harris misses 2-pt shot from 10 ft,,85-82,,
2:03.0,,,85-82,,Defensive rebound by H. Whiteside
1:49.0,,,85-82,,J. Johnson misses 3-pt shot from 24 ft
1:48.0,Defensive rebound by E. Mudiay,,85-82,,
1:34.0,N. Jokic makes 2-pt shot from 2 ft (assist by G. Harris),2,87-82,,
1:34.0,Shooting foul by J. Johnson (drawn by N. Jokic),,87-82,,
1:34.0,,,87-82,,L. Deng enters the game for J. Johnson
1:34.0,N. Jokic makes free throw 1 of 1,1,88-82,,
1:28.0,Personal foul by N. Jokic,,88-82,,
1:28.0,J. Lauvergne enters the game for N. Jokic,,88-82,,
1:28.0,,,88-82,,G. Dragic misses free throw 1 of 2
1:28.0,,,88-82,,Offensive rebound by Team
1:28.0,W. Barton enters the game for J. Sampson,,88-82,,
1:28.0,,,88-82,,G. Dragic misses free throw 2 of 2
1:27.0,Defensive rebound by W. Barton,,88-82,,
1:17.0,Shooting foul by H. Whiteside (drawn by E. Mudiay),,88-82,,
1:17.0,E. Mudiay misses free throw 1 of 2,,88-82,,
1:17.0,Offensive rebound by Team,,88-82,,
1:17.0,D. Augustin enters the game for G. Harris,,88-82,,
1:17.0,E. Mudiay makes free throw 2 of 2,1,89-82,,
1:06.0,,,89-85,3,J. Richardson makes 3-pt shot from 24 ft (assist by G. Dragic)
0:45.0,D. Augustin misses 2-pt shot from 6 ft,,89-85,,
0:43.0,,,89-85,,Defensive rebound by H. Whiteside
0:43.0,Personal foul by D. Arthur,,89-85,,
0:43.0,,,89-86,1,H. Whiteside makes free throw 1 of 2
0:43.0,,,89-87,1,H. Whiteside makes free throw 2 of 2
0:33.0,Turnover by E. Mudiay (lost ball; steal by J. Richardson),,89-87,,
0:29.0,,,89-87,,Shooting foul by J. Lauvergne (drawn by J. Richardson)
0:29.0,,,89-87,,J. Richardson misses free throw 1 of 2
0:29.0,,,89-87,,Offensive rebound by Team
0:29.0,,,89-88,1,J. Richardson makes free throw 2 of 2
0:11.0,J. Lauvergne makes 2-pt shot from 16 ft (assist by E. Mudiay),2,91-88,,
0:02.0,,,91-90,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,91-90,,L. Deng misses 2-pt shot from 16 ft
11:48.0,Defensive rebound by D. Arthur,,91-90,,
11:29.0,D. Arthur makes 2-pt shot from 18 ft,2,93-90,,
11:20.0,,,93-90,,Shooting foul by D. Arthur (drawn by H. Whiteside)
11:20.0,,,93-91,1,H. Whiteside makes free throw 1 of 2
11:20.0,,,93-92,1,H. Whiteside makes free throw 2 of 2
11:09.0,W. Barton misses 2-pt shot from 5 ft,,93-92,,
11:08.0,Offensive rebound by J. Lauvergne,,93-92,,
11:07.0,,,93-92,,Violation by H. Whiteside (def goaltending)
11:07.0,J. Lauvergne makes 2-pt shot from 4 ft,2,95-92,,
10:44.0,,,95-94,2,L. Deng makes 2-pt shot from 16 ft
10:26.0,D. Augustin misses 2-pt shot from 4 ft,,95-94,,
10:25.0,,,95-94,,Defensive rebound by H. Whiteside
10:13.0,Personal foul by D. Augustin,,95-94,,
10:10.0,Personal foul by W. Barton,,95-94,,
9:59.0,,,95-96,2,H. Whiteside makes 2-pt shot from 10 ft (assist by G. Dragic)
9:38.0,J. Lauvergne makes 2-pt shot from 2 ft (assist by D. Augustin),2,97-96,,
9:15.0,,,97-96,,J. Winslow misses 2-pt shot from 11 ft
9:14.0,Defensive rebound by W. Barton,,97-96,,
9:01.0,Turnover by D. Augustin (lost ball; steal by J. Winslow),,97-96,,
8:57.0,,,97-98,2,J. Winslow makes 2-pt shot from 1 ft
8:57.0,,,97-98,,Shooting foul by D. Arthur (drawn by J. Winslow)
8:57.0,Official timeout,,97-98,,
8:57.0,,,97-99,1,J. Winslow makes free throw 1 of 1
8:43.0,Turnover by Team (back court),,97-99,,
8:34.0,Personal foul by D. Arthur,,97-99,,
8:34.0,,,97-100,1,H. Whiteside makes free throw 1 of 2
8:34.0,,,97-101,1,H. Whiteside makes free throw 2 of 2
8:18.0,W. Barton misses 3-pt shot from 24 ft,,97-101,,
8:17.0,,,97-101,,Defensive rebound by J. Richardson
8:09.0,,,97-103,2,G. Dragic makes 2-pt shot from 16 ft
8:09.0,Denver full timeout,,97-103,,
8:09.0,G. Harris enters the game for A. Toupane,,97-103,,
8:09.0,K. Faried enters the game for J. Lauvergne,,97-103,,
7:58.0,Turnover by K. Faried (lost ball; steal by J. Winslow),,97-103,,
7:53.0,,,97-103,,J. Winslow misses 2-pt shot from 1 ft
7:52.0,,,97-103,,Offensive rebound by J. Richardson
7:51.0,,,97-103,,J. Richardson misses 2-pt shot at rim
7:50.0,Defensive rebound by D. Arthur,,97-103,,
7:41.0,G. Harris misses 2-pt shot from 6 ft,,97-103,,
7:40.0,Offensive rebound by K. Faried,,97-103,,
7:39.0,K. Faried makes 2-pt shot at rim,2,99-103,,
7:23.0,,,99-103,,G. Dragic misses 2-pt shot from 15 ft
7:22.0,Defensive rebound by W. Barton,,99-103,,
7:22.0,,,99-103,,Personal foul by H. Whiteside
7:22.0,,,99-103,,D. Wade enters the game for G. Dragic
7:10.0,D. Augustin misses 3-pt shot from 24 ft,,99-103,,
7:09.0,,,99-103,,Defensive rebound by D. Wade
6:51.0,,,99-103,,D. Wade misses 2-pt shot from 5 ft
6:50.0,Defensive rebound by G. Harris,,99-103,,
6:47.0,D. Augustin makes 2-pt shot from 1 ft (assist by G. Harris),2,101-103,,
6:47.0,,,101-103,,Miami full timeout
6:27.0,,,101-105,2,J. Richardson makes 2-pt shot at rim (assist by D. Wade)
6:03.0,Denver full timeout,,101-105,,
6:03.0,Turnover by Team (5 sec inbounds),,101-105,,
5:50.0,,,101-107,2,J. Winslow makes 2-pt shot from 3 ft (assist by D. Wade)
5:34.0,D. Augustin makes 2-pt shot from 2 ft,2,103-107,,
5:18.0,,,103-107,,Turnover by D. Wade (lost ball; steal by D. Augustin)
5:16.0,,,103-107,,Personal foul by J. Winslow
5:16.0,N. Jokic enters the game for K. Faried,,103-107,,
5:16.0,E. Mudiay enters the game for W. Barton,,103-107,,
5:10.0,D. Augustin misses 2-pt shot from 2 ft (block by J. Richardson),,103-107,,
5:09.0,,,103-107,,Defensive rebound by L. Deng
5:01.0,,,103-107,,Turnover by L. Deng (bad pass)
4:46.0,N. Jokic misses 2-pt shot from 7 ft,,103-107,,
4:45.0,,,103-107,,Defensive rebound by J. Richardson
4:37.0,,,103-107,,D. Wade misses 2-pt shot from 2 ft (block by N. Jokic)
4:36.0,Defensive rebound by N. Jokic,,103-107,,
4:34.0,Shooting foul by J. Richardson (drawn by G. Harris),,103-107,,
4:34.0,G. Harris makes free throw 1 of 2,1,104-107,,
4:34.0,,,104-107,,J. Johnson enters the game for L. Deng
4:34.0,G. Harris makes free throw 2 of 2,1,105-107,,
4:20.0,,,105-107,,Turnover by D. Wade (lost ball; steal by D. Arthur)
4:15.0,D. Augustin misses 2-pt shot from 1 ft (block by J. Richardson),,105-107,,
4:14.0,,,105-107,,Defensive rebound by J. Winslow
4:08.0,,,105-110,3,J. Johnson makes 3-pt shot from 24 ft (assist by J. Richardson)
3:46.0,E. Mudiay makes 2-pt shot from 13 ft,2,107-110,,
3:23.0,,,107-110,,J. Johnson misses 2-pt shot from 6 ft
3:22.0,,,107-110,,Offensive rebound by H. Whiteside
3:21.0,,,107-112,2,H. Whiteside makes 2-pt shot at rim
2:58.0,G. Harris misses 2-pt shot from 3 ft (block by D. Wade),,107-112,,
2:57.0,,,107-112,,Defensive rebound by H. Whiteside
2:41.0,,,107-112,,Turnover by J. Richardson (lost ball; steal by D. Augustin)
2:35.0,,,107-112,,Loose ball foul by J. Winslow
2:18.0,E. Mudiay misses 2-pt shot from 4 ft,,107-112,,
2:17.0,,,107-112,,Defensive rebound by J. Winslow
2:03.0,,,107-114,2,D. Wade makes 2-pt shot from 19 ft
2:03.0,Denver full timeout,,107-114,,
1:55.0,G. Harris makes 3-pt shot from 24 ft (assist by E. Mudiay),3,110-114,,
1:44.0,,,110-116,2,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson)
1:42.0,,,110-116,,Violation by Team (jump ball)
1:24.0,E. Mudiay misses 2-pt shot from 16 ft,,110-116,,
1:23.0,,,110-116,,Defensive rebound by H. Whiteside
