time,Indiana,pts.away,score,pts.home,Minnesota
7:25.0,Offensive rebound by R. Stuckey,,29-28,,
7:24.0,L. Allen makes 2-pt shot from 4 ft (assist by R. Stuckey),2,31-28,,
7:09.0,,,31-28,,T. Jones misses 2-pt shot from 17 ft
7:08.0,Defensive rebound by C. Budinger,,31-28,,
6:58.0,L. Allen misses 2-pt shot from 7 ft,,31-28,,
6:57.0,,,31-28,,Defensive rebound by A. Payne
6:48.0,,,31-28,,Turnover by A. Payne (lost ball; steal by G. Hill)
6:43.0,G. Hill makes 2-pt shot from 1 ft,2,33-28,,
6:20.0,,,33-28,,G. Dieng misses 2-pt shot from 18 ft
6:18.0,Defensive rebound by R. Stuckey,,33-28,,
6:14.0,R. Stuckey misses 2-pt shot from 2 ft,,33-28,,
6:13.0,,,33-28,,Defensive rebound by T. Jones
6:02.0,,,33-31,3,A. Payne makes 3-pt shot from 24 ft (assist by T. Jones)
5:44.0,R. Stuckey makes 2-pt shot from 19 ft (assist by L. Allen),2,35-31,,
5:43.0,,,35-31,,Minnesota full timeout
5:43.0,,,35-31,,R. Rubio enters the game for T. Jones
5:43.0,,,35-31,,A. Wiggins enters the game for S. Muhammad
5:43.0,M. Ellis enters the game for G. Hill,,35-31,,
5:27.0,,,35-31,,Turnover by G. Dieng (offensive foul)
5:27.0,,,35-31,,Offensive foul by G. Dieng
5:27.0,,,35-31,,K. Towns enters the game for A. Payne
5:10.0,M. Ellis makes 2-pt shot from 13 ft,2,37-31,,
4:48.0,,,37-31,,G. Dieng misses 2-pt shot from 10 ft
4:47.0,Defensive rebound by J. Hill,,37-31,,
4:29.0,R. Stuckey misses 2-pt shot from 12 ft,,37-31,,
4:28.0,,,37-31,,Defensive rebound by R. Rubio
4:21.0,,,37-34,3,Z. LaVine makes 3-pt shot from 23 ft (assist by R. Rubio)
4:03.0,C. Budinger makes 2-pt shot from 14 ft,2,39-34,,
3:41.0,,,39-36,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
3:40.0,Indiana full timeout,,39-36,,
3:40.0,,,39-36,,T. Prince enters the game for Z. LaVine
3:40.0,I. Mahinmi enters the game for J. Hill,,39-36,,
3:40.0,G. Hill enters the game for R. Stuckey,,39-36,,
3:40.0,P. George enters the game for C. Budinger,,39-36,,
3:29.0,Turnover by M. Ellis (bad pass),,39-36,,
3:15.0,,,39-38,2,K. Towns makes 2-pt shot from 20 ft (assist by T. Prince)
3:06.0,C. Miles enters the game for L. Allen,,39-38,,
2:59.0,Offensive foul by I. Mahinmi,,39-38,,
2:59.0,Turnover by I. Mahinmi (offensive foul),,39-38,,
