time,Golden State,pts.away,score,pts.home,Indiana
7:06.0,,,15-17,,Defensive rebound by I. Mahinmi
7:02.0,,,15-19,2,P. George makes 2-pt shot at rim (assist by M. Ellis)
6:40.0,Turnover by D. Green (bad pass; steal by I. Mahinmi),,15-19,,
6:35.0,,,15-21,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by M. Ellis)
6:28.0,D. Green makes 2-pt shot at rim (assist by K. Thompson),2,17-21,,
6:27.0,,,17-21,,Indiana full timeout
6:27.0,A. Iguodala enters the game for B. Rush,,17-21,,
6:14.0,,,17-21,,C. Miles misses 3-pt shot from 26 ft
6:13.0,Defensive rebound by S. Curry,,17-21,,
5:56.0,Shooting foul by I. Mahinmi (drawn by K. Thompson),,17-21,,
5:56.0,K. Thompson makes free throw 1 of 3,1,18-21,,
5:56.0,K. Thompson makes free throw 2 of 3,1,19-21,,
5:56.0,,,19-21,,J. Hill enters the game for I. Mahinmi
5:56.0,K. Thompson makes free throw 3 of 3,1,20-21,,
5:47.0,,,20-21,,G. Hill misses 2-pt shot from 18 ft
5:46.0,Defensive rebound by D. Green,,20-21,,
5:30.0,D. Green misses 2-pt shot from 9 ft,,20-21,,
5:29.0,Offensive rebound by A. Bogut,,20-21,,
5:23.0,K. Thompson makes 3-pt shot from 28 ft (assist by A. Iguodala),3,23-21,,
5:05.0,,,23-21,,Shooting foul by A. Bogut (drawn by J. Hill)
5:05.0,,,23-21,,J. Hill misses free throw 1 of 2
5:05.0,,,23-21,,Offensive rebound by Team
5:05.0,,,23-21,,R. Stuckey enters the game for G. Hill
5:05.0,,,23-21,,J. Hill misses free throw 2 of 2
5:05.0,Defensive rebound by D. Green,,23-21,,
4:51.0,A. Bogut makes 2-pt shot at rim (assist by S. Curry),2,25-21,,
4:39.0,,,25-21,,M. Ellis misses 2-pt shot from 15 ft
4:36.0,,,25-21,,Offensive rebound by Team
4:22.0,,,25-21,,Turnover by M. Ellis (lost ball; steal by S. Curry)
4:18.0,Turnover by S. Curry (lost ball),,25-21,,
4:05.0,,,25-21,,Turnover by R. Stuckey (lost ball)
3:54.0,K. Thompson makes 2-pt shot from 18 ft,2,27-21,,
3:43.0,,,27-21,,C. Miles misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by A. Bogut,,27-21,,
3:34.0,A. Bogut makes 2-pt shot from 1 ft (assist by S. Curry),2,29-21,,
3:34.0,,,29-21,,Indiana full timeout
3:34.0,,,29-21,,S. Hill enters the game for C. Miles
3:19.0,,,29-21,,P. George misses 2-pt shot from 17 ft
3:19.0,Defensive rebound by S. Curry,,29-21,,
3:08.0,S. Curry makes 3-pt shot from 26 ft (assist by A. Iguodala),3,32-21,,
2:45.0,,,32-21,,R. Stuckey misses 2-pt shot from 19 ft
2:44.0,Defensive rebound by D. Green,,32-21,,
2:36.0,D. Green misses 3-pt shot from 26 ft,,32-21,,
2:35.0,,,32-21,,Defensive rebound by R. Stuckey
2:28.0,,,32-21,,R. Stuckey misses 2-pt shot from 3 ft
2:28.0,Defensive rebound by A. Bogut,,32-21,,
2:18.0,S. Curry makes 2-pt shot from 1 ft,2,34-21,,
2:06.0,,,34-21,,P. George misses 3-pt shot from 24 ft (block by K. Thompson)
2:05.0,,,34-21,,Offensive rebound by P. George
1:59.0,,,34-21,,J. Hill misses 2-pt shot from 1 ft
1:58.0,Defensive rebound by A. Iguodala,,34-21,,
1:53.0,S. Curry makes 3-pt shot from 26 ft (assist by A. Iguodala),3,37-21,,
1:36.0,,,37-24,3,P. George makes 3-pt shot from 26 ft (assist by J. Hill)
1:30.0,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry),3,40-24,,
1:09.0,Golden State full timeout,,40-24,,
1:09.0,F. Ezeli enters the game for A. Bogut,,40-24,,
1:09.0,S. Livingston enters the game for K. Thompson,,40-24,,
1:02.0,,,40-24,,S. Hill misses 2-pt shot from 9 ft
1:01.0,,,40-24,,Offensive rebound by J. Hill
1:01.0,,,40-26,2,J. Hill makes 2-pt shot at rim
0:49.0,A. Iguodala makes 2-pt shot at rim,2,42-26,,
0:41.0,,,42-28,2,J. Hill makes 2-pt shot from 12 ft (assist by P. George)
0:33.0,S. Curry misses 3-pt shot from 24 ft,,42-28,,
0:32.0,,,42-28,,Defensive rebound by S. Hill
0:24.0,,,42-28,,Turnover by M. Ellis (bad pass; steal by A. Iguodala)
0:12.0,,,42-28,,Personal foul by J. Hill (drawn by F. Ezeli)
0:11.0,,,42-28,,Personal foul by S. Hill (drawn by F. Ezeli)
0:11.0,F. Ezeli makes free throw 1 of 2,1,43-28,,
0:11.0,F. Ezeli makes free throw 2 of 2,1,44-28,,
0:03.0,Personal foul by S. Curry (drawn by M. Ellis),,44-28,,
0:01.0,,,44-28,,M. Ellis misses 3-pt shot from 25 ft
0:00.0,,,44-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,44-28,,J. Hill misses 2-pt shot from 5 ft
11:38.0,Defensive rebound by S. Livingston,,44-28,,
11:28.0,Shooting foul by J. Hill (drawn by S. Livingston),,44-28,,
11:28.0,S. Livingston makes free throw 1 of 2,1,45-28,,
11:28.0,,,45-28,,L. Allen enters the game for J. Hill
11:28.0,S. Livingston makes free throw 2 of 2,1,46-28,,
11:19.0,,,46-28,,L. Allen misses 2-pt shot from 14 ft
11:19.0,Defensive rebound by S. Livingston,,46-28,,
10:58.0,S. Livingston makes 2-pt shot from 15 ft,2,48-28,,
10:42.0,,,48-28,,Turnover by L. Allen (lost ball; steal by A. Iguodala)
10:37.0,A. Iguodala makes 2-pt shot at rim,2,50-28,,
10:23.0,,,50-28,,S. Hill misses 2-pt shot from 4 ft
10:23.0,,,50-28,,Offensive rebound by L. Allen
10:17.0,Personal foul by I. Clark (drawn by G. Hill),,50-28,,
10:08.0,,,50-28,,R. Stuckey misses 3-pt shot from 24 ft
10:08.0,Defensive rebound by F. Ezeli,,50-28,,
9:59.0,Turnover by B. Rush (bad pass; steal by R. Stuckey),,50-28,,
9:58.0,Personal take foul by S. Livingston (drawn by R. Stuckey),,50-28,,
9:41.0,,,50-30,2,L. Allen makes 2-pt shot from 10 ft
9:34.0,I. Clark makes 2-pt shot at rim,2,52-30,,
9:27.0,,,52-30,,G. Hill misses 2-pt shot from 1 ft
9:27.0,,,52-30,,Offensive rebound by C. Budinger
9:24.0,,,52-30,,C. Budinger misses 2-pt shot from 9 ft
9:23.0,Defensive rebound by A. Iguodala,,52-30,,
9:18.0,B. Rush misses 3-pt shot from 25 ft,,52-30,,
9:16.0,,,52-30,,Defensive rebound by Team
9:02.0,,,52-33,3,G. Hill makes 3-pt shot from 25 ft
9:02.0,,,52-33,,Shooting foul by I. Clark (drawn by G. Hill)
9:02.0,,,52-34,1,G. Hill makes free throw 1 of 1
8:47.0,A. Iguodala makes 2-pt shot from 18 ft (assist by I. Clark),2,54-34,,
8:30.0,,,54-34,,L. Allen misses 2-pt shot from 20 ft
8:28.0,,,54-34,,Offensive rebound by C. Budinger
8:16.0,,,54-37,3,G. Hill makes 3-pt shot from 24 ft
7:57.0,F. Ezeli makes 2-pt shot from 10 ft,2,56-37,,
7:39.0,Def 3 sec tech foul by S. Livingston,,56-37,,
7:39.0,Official timeout,,56-37,,
7:39.0,K. Thompson enters the game for A. Iguodala,,56-37,,
7:39.0,,,56-38,1,R. Stuckey makes technical free throw
7:34.0,,,56-40,2,L. Allen makes 2-pt shot at rim (assist by R. Stuckey)
7:17.0,I. Clark misses 2-pt shot from 12 ft,,56-40,,
7:15.0,Offensive rebound by F. Ezeli,,56-40,,
7:15.0,F. Ezeli makes 2-pt shot at rim,2,58-40,,
6:55.0,,,58-40,,L. Allen misses 2-pt shot from 3 ft
6:54.0,Defensive rebound by F. Ezeli,,58-40,,
6:40.0,F. Ezeli makes 2-pt shot from 3 ft (assist by K. Thompson),2,60-40,,
6:28.0,,,60-42,2,C. Budinger makes 2-pt shot at rim (assist by R. Stuckey)
6:15.0,S. Livingston makes 2-pt shot from 16 ft (assist by K. Thompson),2,62-42,,
5:50.0,,,62-42,,Shooting foul by F. Ezeli (drawn by R. Stuckey)
5:50.0,,,62-42,,Indiana full timeout
5:50.0,D. Green enters the game for B. Rush,,62-42,,
5:50.0,S. Curry enters the game for I. Clark,,62-42,,
5:50.0,,,62-42,,C. Miles enters the game for G. Hill
5:50.0,,,62-42,,M. Ellis enters the game for S. Hill
5:50.0,,,62-42,,P. George enters the game for C. Budinger
5:50.0,,,62-42,,I. Mahinmi enters the game for L. Allen
5:50.0,,,62-43,1,R. Stuckey makes free throw 1 of 2
5:50.0,,,62-44,1,R. Stuckey makes free throw 2 of 2
5:29.0,F. Ezeli misses 2-pt shot from 10 ft,,62-44,,
5:28.0,,,62-44,,Defensive rebound by I. Mahinmi
5:13.0,,,62-46,2,R. Stuckey makes 2-pt shot at rim
5:04.0,Turnover by D. Green (bad pass; steal by I. Mahinmi),,62-46,,
4:52.0,,,62-49,3,P. George makes 3-pt shot from 26 ft (assist by I. Mahinmi)
4:50.0,Golden State full timeout,,62-49,,
4:50.0,A. Bogut enters the game for F. Ezeli,,62-49,,
4:29.0,D. Green misses 2-pt shot from 16 ft,,62-49,,
4:28.0,,,62-49,,Defensive rebound by I. Mahinmi
4:23.0,,,62-49,,C. Miles misses 3-pt shot from 26 ft
4:22.0,Defensive rebound by S. Curry,,62-49,,
4:14.0,,,62-49,,Personal foul by C. Miles (drawn by D. Green)
4:02.0,S. Curry misses 3-pt shot from 23 ft,,62-49,,
4:01.0,,,62-49,,Defensive rebound by C. Miles
3:55.0,,,62-49,,Turnover by R. Stuckey (lost ball; steal by S. Curry)
3:50.0,S. Curry misses 3-pt shot from 25 ft,,62-49,,
3:48.0,,,62-49,,Defensive rebound by P. George
3:42.0,,,62-49,,Shooting foul by K. Thompson (drawn by P. George)
3:42.0,,,62-50,1,P. George makes free throw 1 of 2
3:42.0,,,62-50,,G. Hill enters the game for R. Stuckey
3:42.0,A. Iguodala enters the game for S. Livingston,,62-50,,
3:42.0,,,62-51,1,P. George makes free throw 2 of 2
3:31.0,K. Thompson makes 3-pt shot from 23 ft (assist by D. Green),3,65-51,,
3:15.0,,,65-51,,G. Hill misses 2-pt shot from 1 ft (block by A. Bogut)
3:15.0,,,65-51,,Offensive rebound by Team
3:11.0,,,65-51,,P. George misses 2-pt shot from 11 ft
3:10.0,Defensive rebound by S. Curry,,65-51,,
3:03.0,S. Curry makes 3-pt shot from 24 ft (assist by A. Iguodala),3,68-51,,
2:47.0,,,68-54,3,C. Miles makes 3-pt shot from 24 ft (assist by I. Mahinmi)
2:32.0,D. Green makes 2-pt shot from 1 ft,2,70-54,,
2:17.0,,,70-54,,Offensive charge foul by P. George
2:17.0,,,70-54,,Turnover by P. George (offensive foul)
2:04.0,K. Thompson makes 3-pt shot from 27 ft,3,73-54,,
1:47.0,,,73-54,,Shooting foul by A. Bogut (drawn by M. Ellis)
1:47.0,,,73-55,1,M. Ellis makes free throw 1 of 2
1:47.0,,,73-55,,M. Ellis misses free throw 2 of 2
1:47.0,Defensive rebound by A. Bogut,,73-55,,
1:31.0,K. Thompson makes 3-pt shot from 28 ft (assist by S. Curry),3,76-55,,
1:30.0,Violation by Team (delay of game),,76-55,,
1:13.0,,,76-58,3,C. Miles makes 3-pt shot from 24 ft (assist by P. George)
1:01.0,S. Curry misses 2-pt shot from 1 ft,,76-58,,
1:00.0,,,76-58,,Defensive rebound by G. Hill
0:54.0,,,76-58,,Turnover by C. Miles (lost ball; steal by S. Curry)
0:50.0,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry),3,79-58,,
0:39.0,,,79-58,,C. Miles misses 3-pt shot from 25 ft
0:38.0,Defensive rebound by A. Bogut,,79-58,,
0:37.0,,,79-58,,Personal foul by G. Hill (drawn by A. Bogut)
0:37.0,,,79-58,,J. Hill enters the game for I. Mahinmi
0:37.0,M. Speights enters the game for A. Bogut,,79-58,,
0:32.0,Turnover by S. Curry (lost ball; steal by P. George),,79-58,,
0:27.0,,,79-60,2,P. George makes 2-pt shot at rim
0:06.0,S. Curry misses 3-pt shot from 25 ft,,79-60,,
0:05.0,,,79-60,,Defensive rebound by J. Hill
0:00.0,,,79-60,,P. George misses 3-pt shot from 26 ft
0:00.0,,,79-60,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,79-62,2,M. Ellis makes 2-pt shot from 21 ft
11:31.0,Turnover by S. Curry (bad pass; steal by P. George),,79-62,,
11:27.0,,,79-64,2,P. George makes 2-pt shot at rim
11:26.0,,,79-64,,Violation by Team (delay of game)
11:09.0,A. Bogut makes 2-pt shot at rim (assist by D. Green),2,81-64,,
10:49.0,,,81-64,,M. Ellis misses 2-pt shot from 18 ft
10:48.0,Defensive rebound by D. Green,,81-64,,
10:32.0,A. Bogut makes 2-pt shot at rim (assist by K. Thompson),2,83-64,,
10:21.0,,,83-64,,Turnover by I. Mahinmi (bad pass)
10:15.0,K. Thompson misses 3-pt shot from 25 ft,,83-64,,
10:15.0,,,83-64,,Defensive rebound by I. Mahinmi
9:59.0,,,83-66,2,P. George makes 2-pt shot from 17 ft
9:46.0,A. Bogut makes 2-pt shot at rim (assist by S. Curry),2,85-66,,
9:25.0,,,85-66,,Turnover by G. Hill (step out of bounds)
9:11.0,S. Curry misses 2-pt shot from 2 ft,,85-66,,
9:09.0,,,85-66,,Defensive rebound by I. Mahinmi
8:59.0,,,85-66,,I. Mahinmi misses 2-pt shot from 1 ft (block by B. Rush)
8:57.0,Defensive rebound by K. Thompson,,85-66,,
8:52.0,Turnover by K. Thompson (lost ball),,85-66,,
8:46.0,,,85-66,,Turnover by M. Ellis (offensive foul)
8:46.0,,,85-66,,Offensive charge foul by M. Ellis
8:34.0,Offensive charge foul by D. Green,,85-66,,
8:34.0,Turnover by D. Green (offensive foul),,85-66,,
8:18.0,,,85-66,,Turnover by P. George (lost ball; steal by A. Bogut)
8:14.0,,,85-66,,Violation by C. Miles (def goaltending)
8:14.0,K. Thompson makes 2-pt shot at rim,2,87-66,,
8:00.0,,,87-66,,Shooting foul by A. Bogut (drawn by I. Mahinmi)
8:00.0,,,87-67,1,I. Mahinmi makes free throw 1 of 2
8:00.0,,,87-68,1,I. Mahinmi makes free throw 2 of 2
7:49.0,Turnover by K. Thompson (bad pass; steal by P. George),,87-68,,
7:45.0,,,87-70,2,C. Miles makes 2-pt shot from 1 ft (assist by P. George)
7:33.0,D. Green misses 2-pt shot from 16 ft,,87-70,,
7:31.0,Offensive rebound by A. Bogut,,87-70,,
7:31.0,A. Bogut misses 2-pt shot at rim,,87-70,,
7:30.0,Offensive rebound by Team,,87-70,,
7:20.0,Turnover by A. Bogut (bad pass),,87-70,,
6:58.0,,,87-70,,G. Hill misses 2-pt shot from 19 ft
6:57.0,Defensive rebound by K. Thompson,,87-70,,
6:45.0,B. Rush makes 3-pt shot from 23 ft (assist by K. Thompson),3,90-70,,
6:22.0,,,90-70,,P. George misses 2-pt shot from 1 ft
6:22.0,Defensive rebound by D. Green,,90-70,,
6:16.0,Offensive charge foul by D. Green,,90-70,,
6:16.0,Turnover by D. Green (offensive foul),,90-70,,
6:16.0,,,90-70,,Indiana full timeout
6:16.0,A. Iguodala enters the game for B. Rush,,90-70,,
6:03.0,,,90-70,,Shooting foul by A. Iguodala (drawn by P. George)
6:03.0,,,90-71,1,P. George makes free throw 1 of 2
6:03.0,,,90-72,1,P. George makes free throw 2 of 2
5:51.0,K. Thompson makes 3-pt shot from 26 ft,3,93-72,,
5:42.0,,,93-72,,P. George misses 2-pt shot from 16 ft
5:41.0,Defensive rebound by A. Bogut,,93-72,,
5:33.0,K. Thompson makes 3-pt shot from 23 ft (assist by S. Curry),3,96-72,,
5:20.0,,,96-74,2,C. Miles makes 2-pt shot from 7 ft (assist by I. Mahinmi)
5:09.0,K. Thompson misses 2-pt shot from 17 ft (block by P. George),,96-74,,
5:08.0,Offensive rebound by K. Thompson,,96-74,,
5:08.0,Turnover by K. Thompson (lost ball),,96-74,,
4:49.0,,,96-74,,I. Mahinmi misses 2-pt shot from 1 ft
4:48.0,Defensive rebound by A. Iguodala,,96-74,,
4:44.0,,,96-74,,Personal foul by C. Miles (drawn by A. Iguodala)
4:29.0,D. Green misses 2-pt shot from 5 ft,,96-74,,
4:27.0,Offensive rebound by A. Bogut,,96-74,,
4:27.0,A. Bogut makes 2-pt shot at rim,2,98-74,,
4:08.0,,,98-74,,M. Ellis misses 2-pt shot from 18 ft
4:07.0,Defensive rebound by A. Bogut,,98-74,,
3:56.0,K. Thompson makes 2-pt shot from 17 ft,2,100-74,,
3:42.0,,,100-74,,G. Hill misses 2-pt shot from 2 ft (block by A. Bogut)
3:42.0,,,100-74,,Offensive rebound by Team
3:42.0,F. Ezeli enters the game for A. Bogut,,100-74,,
3:42.0,,,100-74,,R. Stuckey enters the game for M. Ellis
3:34.0,,,100-74,,Turnover by G. Hill (bad pass; steal by A. Iguodala)
3:30.0,S. Curry makes 2-pt shot from 1 ft,2,102-74,,
3:30.0,,,102-74,,Indiana full timeout
3:18.0,,,102-74,,Offensive charge foul by P. George
3:18.0,,,102-74,,Turnover by P. George (offensive foul)
3:04.0,K. Thompson misses 3-pt shot from 27 ft,,102-74,,
3:04.0,,,102-74,,Defensive rebound by I. Mahinmi
2:52.0,,,102-77,3,C. Miles makes 3-pt shot from 25 ft (assist by R. Stuckey)
2:38.0,S. Curry makes 2-pt shot from 8 ft,2,104-77,,
2:38.0,Shooting foul by G. Hill (drawn by S. Curry),,104-77,,
2:38.0,Golden State full timeout,,104-77,,
2:38.0,,,104-77,,J. Hill enters the game for I. Mahinmi
2:38.0,S. Curry makes free throw 1 of 1,1,105-77,,
2:19.0,,,105-77,,P. George misses 3-pt shot from 26 ft
2:18.0,Defensive rebound by K. Thompson,,105-77,,
2:02.0,F. Ezeli makes 2-pt shot at rim (assist by K. Thompson),2,107-77,,
1:39.0,,,107-77,,P. George misses 3-pt shot from 25 ft
1:37.0,Defensive rebound by K. Thompson,,107-77,,
1:19.0,F. Ezeli misses 2-pt shot from 6 ft,,107-77,,
1:18.0,,,107-77,,Defensive rebound by G. Hill
1:03.0,,,107-77,,G. Hill misses 3-pt shot from 28 ft
1:02.0,Defensive rebound by D. Green,,107-77,,
0:57.0,,,107-77,,Personal foul by C. Miles (drawn by F. Ezeli)
0:57.0,,,107-77,,S. Hill enters the game for C. Miles
0:57.0,S. Livingston enters the game for K. Thompson,,107-77,,
0:46.0,F. Ezeli makes 2-pt shot at rim (assist by S. Curry),2,109-77,,
0:37.0,,,109-80,3,G. Hill makes 3-pt shot from 23 ft (assist by P. George)
0:31.0,S. Curry misses 3-pt shot from 28 ft,,109-80,,
0:30.0,,,109-80,,Defensive rebound by S. Hill
0:24.0,,,109-83,3,P. George makes 3-pt shot from 26 ft
0:03.0,S. Curry makes 2-pt shot from 19 ft,2,111-83,,
0:00.0,,,111-83,,R. Stuckey misses 3-pt shot from 66 ft
0:00.0,,,111-83,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,B. Rush misses 2-pt shot from 1 ft,,111-83,,
11:46.0,,,111-83,,Defensive rebound by C. Budinger
11:38.0,,,111-86,3,C. Budinger makes 3-pt shot from 24 ft (assist by M. Ellis)
11:16.0,I. Clark misses 2-pt shot from 8 ft,,111-86,,
11:16.0,,,111-86,,Defensive rebound by M. Ellis
11:09.0,,,111-86,,Shooting foul by F. Ezeli (drawn by J. Hill)
11:09.0,,,111-87,1,J. Hill makes free throw 1 of 2
11:09.0,,,111-88,1,J. Hill makes free throw 2 of 2
10:48.0,F. Ezeli misses 2-pt shot from 12 ft,,111-88,,
10:47.0,Offensive rebound by B. Rush,,111-88,,
10:47.0,B. Rush makes 2-pt shot at rim,2,113-88,,
10:27.0,,,113-90,2,C. Budinger makes 2-pt shot at rim
10:14.0,I. Clark misses 3-pt shot from 23 ft,,113-90,,
10:12.0,,,113-90,,Defensive rebound by Team
10:04.0,Personal foul by I. Clark (drawn by M. Ellis),,113-90,,
9:52.0,,,113-92,2,M. Ellis makes 2-pt shot from 20 ft (assist by J. Hill)
9:32.0,B. Rush misses 3-pt shot from 24 ft,,113-92,,
9:30.0,Offensive rebound by B. Rush,,113-92,,
9:20.0,A. Iguodala misses 2-pt shot from 12 ft (block by M. Ellis),,113-92,,
9:19.0,,,113-92,,Defensive rebound by S. Hill
9:13.0,,,113-92,,Shooting foul by B. Rush (drawn by C. Budinger)
9:13.0,,,113-93,1,C. Budinger makes free throw 1 of 3
9:13.0,,,113-94,1,C. Budinger makes free throw 2 of 3
9:13.0,Golden State full timeout,,113-94,,
9:13.0,,,113-95,1,C. Budinger makes free throw 3 of 3
8:54.0,I. Clark misses 2-pt shot from 10 ft,,113-95,,
8:53.0,Offensive rebound by F. Ezeli,,113-95,,
8:53.0,Shooting foul by S. Hill (drawn by F. Ezeli),,113-95,,
8:53.0,F. Ezeli misses free throw 1 of 2,,113-95,,
8:53.0,Offensive rebound by Team,,113-95,,
8:53.0,,,113-95,,C. Miles enters the game for R. Stuckey
8:53.0,F. Ezeli misses free throw 2 of 2,,113-95,,
8:53.0,,,113-95,,Defensive rebound by S. Hill
8:34.0,,,113-95,,M. Ellis misses 3-pt shot from 27 ft
8:33.0,Defensive rebound by F. Ezeli,,113-95,,
8:14.0,S. Livingston makes 2-pt shot from 15 ft,2,115-95,,
8:03.0,,,115-97,2,J. Hill makes 2-pt shot at rim (assist by C. Miles)
7:40.0,B. Rush makes 3-pt shot from 25 ft (assist by I. Clark),3,118-97,,
7:22.0,,,118-100,3,C. Miles makes 3-pt shot from 25 ft (assist by S. Hill)
7:11.0,B. Rush makes 3-pt shot from 25 ft (assist by A. Iguodala),3,121-100,,
6:46.0,,,121-102,2,M. Ellis makes 2-pt shot from 9 ft
6:30.0,Turnover by F. Ezeli (3 sec),,121-102,,
6:17.0,,,121-102,,J. Hill misses 2-pt shot from 1 ft (block by A. Iguodala)
6:17.0,,,121-102,,Offensive rebound by Team
6:14.0,,,121-105,3,C. Miles makes 3-pt shot from 25 ft (assist by S. Hill)
5:53.0,B. Rush misses 3-pt shot from 24 ft,,121-105,,
5:52.0,Offensive rebound by B. Rush,,121-105,,
5:49.0,B. Rush misses 2-pt shot at rim (block by S. Hill),,121-105,,
5:49.0,,,121-105,,Defensive rebound by Team
5:49.0,Official timeout,,121-105,,
5:49.0,,,121-105,,P. George enters the game for S. Hill
5:49.0,K. Thompson enters the game for B. Rush,,121-105,,
5:49.0,S. Curry enters the game for F. Ezeli,,121-105,,
5:49.0,D. Green enters the game for I. Clark,,121-105,,
5:36.0,,,121-108,3,P. George makes 3-pt shot from 25 ft
5:16.0,D. Green makes 2-pt shot from 1 ft (assist by S. Curry),2,123-108,,
5:06.0,,,123-108,,C. Miles misses 3-pt shot from 26 ft
5:05.0,,,123-108,,Offensive rebound by J. Hill
5:03.0,,,123-110,2,J. Hill makes 2-pt shot at rim
4:45.0,D. Green misses 2-pt shot from 3 ft,,123-110,,
4:45.0,,,123-110,,Defensive rebound by M. Ellis
4:42.0,,,123-110,,Turnover by M. Ellis (bad pass; steal by A. Iguodala)
4:36.0,Turnover by S. Curry (bad pass; steal by M. Ellis),,123-110,,
4:31.0,,,123-110,,P. George misses 3-pt shot from 26 ft
4:30.0,Defensive rebound by S. Curry,,123-110,,
4:21.0,K. Thompson misses 3-pt shot from 26 ft,,123-110,,
4:21.0,,,123-110,,Defensive rebound by P. George
4:16.0,,,123-110,,S. Hill enters the game for J. Hill
4:06.0,,,123-112,2,M. Ellis makes 2-pt shot from 1 ft
3:49.0,S. Curry makes 2-pt shot from 18 ft,2,125-112,,
3:41.0,,,125-112,,C. Miles misses 2-pt shot at rim (block by D. Green)
3:38.0,,,125-112,,Offensive rebound by S. Hill
3:38.0,,,125-112,,S. Hill misses 2-pt shot at rim
3:36.0,,,125-112,,Offensive rebound by C. Budinger
3:36.0,,,125-112,,C. Budinger misses 2-pt shot from 1 ft
3:35.0,,,125-112,,Offensive rebound by C. Miles
3:26.0,,,125-112,,P. George misses 2-pt shot at rim
3:25.0,,,125-112,,Offensive rebound by P. George
3:25.0,,,125-114,2,P. George makes 2-pt shot at rim
