time,Detroit,pts.away,score,pts.home,Indiana
0:13.0,A. Baynes makes free throw 1 of 2,1,21-32,,
0:13.0,A. Baynes makes free throw 2 of 2,1,22-32,,
0:00.0,,,22-34,2,J. Young makes 2-pt shot from 13 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,22-36,2,C. Miles makes 2-pt shot from 12 ft
11:23.0,A. Tolliver misses 3-pt shot from 26 ft,,22-36,,
11:21.0,Offensive rebound by A. Baynes,,22-36,,
11:21.0,A. Baynes misses 2-pt shot at rim,,22-36,,
11:21.0,,,22-36,,Defensive rebound by J. Hill
11:12.0,,,22-36,,Turnover by J. Hill (bad pass; steal by A. Tolliver)
11:10.0,,,22-36,,Personal foul by C. Miles (drawn by D. Hilliard)
10:58.0,,,22-36,,Violation by J. Hill (kicked ball)
10:45.0,A. Baynes misses 2-pt shot at rim,,22-36,,
10:45.0,,,22-36,,Defensive rebound by L. Allen
10:35.0,,,22-38,2,L. Allen makes 2-pt shot at rim (assist by C. Miles)
10:20.0,D. Hilliard makes 2-pt shot from 1 ft,2,24-38,,
9:58.0,,,24-38,,C. Miles misses 2-pt shot from 19 ft
9:56.0,,,24-38,,Offensive rebound by Team
9:56.0,Loose ball foul by S. Johnson (drawn by G. Robinson),,24-38,,
9:36.0,,,24-38,,J. Young misses 2-pt shot from 4 ft (block by A. Baynes)
9:35.0,,,24-38,,Offensive rebound by L. Allen
9:35.0,,,24-38,,Turnover by C. Miles (lost ball)
9:21.0,S. Johnson misses 3-pt shot from 23 ft,,24-38,,
9:21.0,,,24-38,,Defensive rebound by L. Allen
9:05.0,,,24-38,,Turnover by L. Allen (offensive foul)
9:05.0,,,24-38,,Offensive charge foul by L. Allen
8:51.0,S. Johnson misses 2-pt shot from 2 ft,,24-38,,
8:50.0,Offensive rebound by A. Baynes,,24-38,,
8:50.0,A. Baynes misses 2-pt shot from 1 ft,,24-38,,
8:50.0,,,24-38,,Defensive rebound by L. Allen
8:30.0,Personal foul by D. Hilliard (drawn by G. Robinson),,24-38,,
8:30.0,Official timeout,,24-38,,
8:30.0,A. Drummond enters the game for A. Baynes,,24-38,,
8:27.0,,,24-41,3,J. Young makes 3-pt shot from 24 ft (assist by G. Robinson)
8:08.0,B. Jennings makes 2-pt shot from 3 ft,2,26-41,,
7:51.0,,,26-41,,L. Allen misses 2-pt shot from 19 ft
7:51.0,,,26-41,,Offensive rebound by J. Hill
7:48.0,,,26-41,,J. Hill misses 2-pt shot from 8 ft (block by A. Drummond)
7:46.0,,,26-41,,Offensive rebound by Team
7:42.0,,,26-41,,Turnover by J. Young (bad pass; steal by S. Johnson)
7:39.0,S. Johnson makes 2-pt shot from 1 ft,2,28-41,,
7:20.0,,,28-43,2,C. Miles makes 2-pt shot from 14 ft
7:05.0,Shooting foul by C. Miles (drawn by D. Hilliard),,28-43,,
7:05.0,D. Hilliard misses free throw 1 of 3,,28-43,,
7:05.0,Offensive rebound by Team,,28-43,,
7:05.0,D. Hilliard misses free throw 2 of 3,,28-43,,
7:05.0,Offensive rebound by Team,,28-43,,
7:05.0,,,28-43,,P. George enters the game for C. Miles
7:05.0,D. Hilliard makes free throw 3 of 3,1,29-43,,
6:54.0,Personal foul by D. Hilliard (drawn by G. Robinson),,29-43,,
6:54.0,M. Morris enters the game for D. Hilliard,,29-43,,
6:54.0,,,29-43,,Indiana full timeout
6:43.0,,,29-45,2,P. George makes 2-pt shot from 18 ft
6:20.0,A. Drummond makes 2-pt shot from 6 ft,2,31-45,,
5:58.0,,,31-47,2,L. Allen makes 2-pt shot from 3 ft (assist by P. George)
5:31.0,M. Morris misses 3-pt shot from 24 ft,,31-47,,
5:31.0,Offensive rebound by A. Drummond,,31-47,,
5:31.0,A. Drummond misses 2-pt shot from 2 ft,,31-47,,
5:31.0,Offensive rebound by A. Drummond,,31-47,,
5:31.0,Turnover by A. Drummond (lost ball),,31-47,,
5:31.0,,,31-47,,I. Mahinmi enters the game for J. Hill
5:31.0,E. Ilyasova enters the game for A. Tolliver,,31-47,,
5:31.0,R. Jackson enters the game for B. Jennings,,31-47,,
5:18.0,,,31-49,2,P. George makes 2-pt shot from 12 ft
5:18.0,,,31-49,,Shooting foul by M. Morris (drawn by P. George)
5:18.0,,,31-50,1,P. George makes free throw 1 of 1
5:05.0,S. Johnson makes 2-pt shot from 11 ft,2,33-50,,
4:49.0,,,33-50,,Shooting foul by A. Drummond (drawn by G. Robinson)
4:49.0,,,33-51,1,G. Robinson makes free throw 1 of 2
4:49.0,,,33-51,,M. Turner enters the game for L. Allen
4:49.0,,,33-51,,M. Ellis enters the game for J. Young
4:49.0,,,33-52,1,G. Robinson makes free throw 2 of 2
4:36.0,S. Johnson makes 2-pt shot from 10 ft,2,35-52,,
4:21.0,,,35-52,,Turnover by P. George (bad pass)
4:04.0,E. Ilyasova misses 3-pt shot from 24 ft,,35-52,,
4:04.0,,,35-52,,Defensive rebound by P. George
3:54.0,Personal foul by M. Morris (drawn by P. George),,35-52,,
3:54.0,,,35-53,1,P. George makes free throw 1 of 2
3:54.0,,,35-53,,G. Hill enters the game for G. Robinson
3:54.0,,,35-53,,P. George misses free throw 2 of 2
3:54.0,Defensive rebound by A. Drummond,,35-53,,
3:40.0,R. Jackson misses 2-pt shot from 21 ft,,35-53,,
3:38.0,,,35-53,,Defensive rebound by G. Hill
3:27.0,Personal foul by E. Ilyasova (drawn by I. Mahinmi),,35-53,,
3:27.0,,,35-53,,I. Mahinmi misses free throw 1 of 2
3:27.0,,,35-53,,Offensive rebound by Team
3:27.0,,,35-54,1,I. Mahinmi makes free throw 2 of 2
3:12.0,E. Ilyasova makes 3-pt shot from 23 ft (assist by M. Morris),3,38-54,,
2:56.0,,,38-54,,Turnover by P. George (lost ball; steal by M. Morris)
2:56.0,,,38-54,,Loose ball foul by P. George (drawn by M. Morris)
2:56.0,Detroit full timeout,,38-54,,
2:46.0,R. Jackson makes 2-pt shot from 9 ft,2,40-54,,
2:29.0,,,40-54,,P. George misses 2-pt shot from 16 ft
2:29.0,Defensive rebound by A. Drummond,,40-54,,
2:14.0,Offensive foul by A. Drummond,,40-54,,
2:14.0,Turnover by A. Drummond (offensive foul),,40-54,,
2:06.0,,,40-56,2,G. Hill makes 2-pt shot from 2 ft
1:48.0,Shooting foul by M. Ellis (drawn by S. Johnson),,40-56,,
1:48.0,S. Johnson makes free throw 1 of 2,1,41-56,,
1:48.0,A. Baynes enters the game for A. Drummond,,41-56,,
1:48.0,S. Johnson makes free throw 2 of 2,1,42-56,,
1:36.0,,,42-56,,Turnover by M. Ellis (bad pass)
1:27.0,Shooting foul by P. George (drawn by M. Morris),,42-56,,
1:27.0,M. Morris makes free throw 1 of 2,1,43-56,,
1:27.0,,,43-56,,S. Hill enters the game for P. George
1:27.0,,,43-56,,J. Hill enters the game for I. Mahinmi
1:27.0,R. Bullock enters the game for S. Johnson,,43-56,,
1:27.0,M. Morris misses free throw 2 of 2,,43-56,,
1:27.0,,,43-56,,Defensive rebound by J. Hill
1:08.0,,,43-56,,M. Turner misses 2-pt shot from 20 ft
1:07.0,,,43-56,,Offensive rebound by S. Hill
1:03.0,,,43-58,2,M. Turner makes 2-pt shot from 3 ft (assist by S. Hill)
0:55.0,R. Jackson makes 3-pt shot from 24 ft,3,46-58,,
0:40.0,,,46-60,2,G. Hill makes 2-pt shot from 2 ft
0:32.0,R. Jackson makes 2-pt shot from 1 ft,2,48-60,,
0:10.0,,,48-60,,G. Hill misses 2-pt shot from 10 ft
0:09.0,,,48-60,,Offensive rebound by J. Hill
0:09.0,,,48-62,2,J. Hill makes 2-pt shot from 2 ft
0:01.0,E. Ilyasova misses 3-pt shot from 25 ft,,48-62,,
0:01.0,Offensive rebound by Team,,48-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,,,48-62,,M. Ellis misses 3-pt shot from 24 ft
11:35.0,Defensive rebound by A. Drummond,,48-62,,
11:19.0,E. Ilyasova misses 2-pt shot from 18 ft,,48-62,,
11:19.0,,,48-62,,Defensive rebound by P. George
11:08.0,,,48-62,,Shooting foul by A. Drummond (drawn by I. Mahinmi)
11:08.0,,,48-63,1,I. Mahinmi makes free throw 1 of 2
11:08.0,,,48-63,,I. Mahinmi misses free throw 2 of 2
11:08.0,Defensive rebound by M. Morris,,48-63,,
10:45.0,S. Johnson misses 2-pt shot from 18 ft,,48-63,,
10:45.0,,,48-63,,Defensive rebound by P. George
10:35.0,,,48-63,,Shooting foul by M. Morris (drawn by P. George)
10:35.0,,,48-64,1,P. George makes free throw 1 of 3
10:35.0,,,48-65,1,P. George makes free throw 2 of 3
10:35.0,,,48-66,1,P. George makes free throw 3 of 3
10:15.0,M. Morris makes 2-pt shot at rim,2,50-66,,
10:05.0,,,50-69,3,P. George makes 3-pt shot from 25 ft
9:51.0,S. Johnson misses 3-pt shot from 26 ft,,50-69,,
9:50.0,,,50-69,,Defensive rebound by G. Hill
9:29.0,,,50-69,,G. Hill misses 2-pt shot from 17 ft
9:29.0,Defensive rebound by S. Johnson,,50-69,,
9:14.0,R. Jackson makes 3-pt shot from 22 ft (assist by S. Johnson),3,53-69,,
9:00.0,Personal block foul by E. Ilyasova (drawn by P. George),,53-69,,
8:51.0,,,53-71,2,M. Turner makes 2-pt shot from 5 ft
8:32.0,E. Ilyasova misses 3-pt shot from 23 ft,,53-71,,
8:31.0,,,53-71,,Defensive rebound by P. George
8:26.0,,,53-71,,Shooting foul by M. Morris (drawn by P. George)
8:26.0,,,53-72,1,P. George makes free throw 1 of 2
8:26.0,D. Hilliard enters the game for M. Morris,,53-72,,
8:26.0,,,53-73,1,P. George makes free throw 2 of 2
8:07.0,D. Hilliard misses 2-pt shot at rim,,53-73,,
8:06.0,,,53-73,,Defensive rebound by I. Mahinmi
7:59.0,,,53-73,,G. Hill misses 3-pt shot from 24 ft
7:59.0,Defensive rebound by S. Johnson,,53-73,,
7:47.0,E. Ilyasova misses 2-pt shot from 11 ft,,53-73,,
7:46.0,,,53-73,,Defensive rebound by G. Hill
7:33.0,,,53-73,,P. George misses 2-pt shot from 19 ft
7:32.0,Defensive rebound by S. Johnson,,53-73,,
7:28.0,Offensive charge foul by S. Johnson,,53-73,,
7:28.0,Turnover by S. Johnson (offensive foul),,53-73,,
7:28.0,A. Tolliver enters the game for E. Ilyasova,,53-73,,
7:08.0,,,53-73,,I. Mahinmi misses 2-pt shot from 15 ft
7:06.0,Defensive rebound by D. Hilliard,,53-73,,
6:39.0,A. Drummond misses 2-pt shot from 2 ft (block by M. Ellis),,53-73,,
6:38.0,,,53-73,,Defensive rebound by M. Ellis
6:31.0,,,53-73,,G. Hill misses 3-pt shot from 26 ft
6:30.0,Defensive rebound by S. Johnson,,53-73,,
6:22.0,Shooting foul by P. George (drawn by R. Jackson),,53-73,,
6:22.0,R. Jackson makes free throw 1 of 2,1,54-73,,
6:22.0,,,54-73,,C. Miles enters the game for P. George
6:22.0,R. Jackson makes free throw 2 of 2,1,55-73,,
6:09.0,,,55-73,,Offensive foul by M. Turner
6:09.0,,,55-73,,Turnover by M. Turner (offensive foul)
5:50.0,Shooting foul by I. Mahinmi (drawn by A. Tolliver),,55-73,,
5:50.0,,,55-73,,Indiana full timeout
5:50.0,A. Tolliver makes free throw 1 of 2,1,56-73,,
5:50.0,A. Tolliver misses free throw 2 of 2,,56-73,,
5:50.0,,,56-73,,Defensive rebound by M. Ellis
5:30.0,,,56-73,,Turnover by M. Ellis (step out of bounds)
5:10.0,D. Hilliard makes 3-pt shot from 23 ft (assist by R. Jackson),3,59-73,,
5:00.0,Personal foul by D. Hilliard (drawn by M. Ellis),,59-73,,
5:00.0,,,59-74,1,M. Ellis makes free throw 1 of 2
5:00.0,,,59-75,1,M. Ellis makes free throw 2 of 2
4:48.0,A. Tolliver makes 3-pt shot from 25 ft (assist by R. Jackson),3,62-75,,
4:33.0,,,62-75,,M. Turner misses 2-pt shot from 1 ft
4:33.0,Defensive rebound by A. Drummond,,62-75,,
4:26.0,Shooting foul by M. Turner (drawn by A. Tolliver),,62-75,,
4:26.0,A. Tolliver makes free throw 1 of 2,1,63-75,,
4:26.0,A. Tolliver misses free throw 2 of 2,,63-75,,
4:26.0,,,63-75,,Defensive rebound by M. Turner
4:11.0,,,63-75,,G. Hill misses 2-pt shot from 12 ft
4:11.0,Defensive rebound by A. Drummond,,63-75,,
4:01.0,D. Hilliard misses 3-pt shot from 24 ft,,63-75,,
4:01.0,Offensive rebound by A. Tolliver,,63-75,,
3:55.0,R. Jackson makes 3-pt shot from 26 ft (assist by A. Tolliver),3,66-75,,
3:55.0,,,66-75,,Indiana full timeout
3:55.0,,,66-75,,J. Hill enters the game for I. Mahinmi
3:55.0,,,66-75,,J. Young enters the game for G. Hill
3:45.0,,,66-77,2,C. Miles makes 2-pt shot from 20 ft (assist by J. Hill)
3:25.0,D. Hilliard makes 3-pt shot from 24 ft (assist by A. Drummond),3,69-77,,
3:13.0,,,69-79,2,M. Turner makes 2-pt shot from 1 ft (assist by M. Ellis)
3:03.0,,,69-79,,Personal foul by J. Young
3:03.0,,,69-79,,L. Allen enters the game for M. Turner
3:03.0,,,69-79,,Personal foul by J. Young
3:03.0,R. Jackson misses free throw 1 of 2,,69-79,,
3:03.0,Offensive rebound by Team,,69-79,,
3:03.0,R. Jackson makes free throw 2 of 2,1,70-79,,
2:42.0,,,70-79,,Turnover by C. Miles (bad pass; steal by A. Tolliver)
2:36.0,S. Johnson makes 2-pt shot from 1 ft,2,72-79,,
2:19.0,,,72-79,,M. Ellis misses 2-pt shot from 18 ft
2:16.0,,,72-79,,Offensive rebound by J. Hill
2:13.0,,,72-79,,Shooting foul by S. Johnson (drawn by L. Allen)
2:13.0,Detroit full timeout,,72-79,,
2:13.0,B. Jennings enters the game for R. Jackson,,72-79,,
2:13.0,,,72-79,,L. Allen misses free throw 1 of 2
2:13.0,,,72-79,,Offensive rebound by Team
2:13.0,,,72-80,1,L. Allen makes free throw 2 of 2
2:01.0,A. Tolliver misses 3-pt shot from 26 ft,,72-80,,
2:00.0,Offensive rebound by S. Johnson,,72-80,,
1:47.0,A. Drummond misses 2-pt shot from 1 ft,,72-80,,
1:46.0,Offensive rebound by A. Drummond,,72-80,,
1:46.0,A. Drummond makes 2-pt shot from 1 ft,2,74-80,,
1:30.0,,,74-82,2,J. Hill makes 2-pt shot from 2 ft (assist by M. Ellis)
1:15.0,B. Jennings makes 2-pt shot from 19 ft,2,76-82,,
1:00.0,,,76-84,2,J. Hill makes 2-pt shot from 1 ft
0:42.0,D. Hilliard misses 3-pt shot from 23 ft,,76-84,,
0:41.0,Offensive rebound by Team,,76-84,,
0:33.0,S. Johnson makes 2-pt shot from 6 ft,2,78-84,,
0:18.0,,,78-87,3,J. Young makes 3-pt shot from 24 ft (assist by C. Miles)
0:02.0,A. Tolliver makes 3-pt shot from 23 ft (assist by S. Johnson),3,81-87,,
0:01.0,,,81-87,,Turnover by J. Hill (bad pass)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Turnover by A. Drummond (lost ball; steal by J. Hill),,81-87,,
11:27.0,,,81-87,,Shooting foul by D. Hilliard (drawn by C. Miles)
11:27.0,,,81-88,1,C. Miles makes free throw 1 of 2
11:27.0,,,81-88,,C. Miles misses free throw 2 of 2
11:27.0,Defensive rebound by A. Drummond,,81-88,,
11:12.0,A. Drummond makes 2-pt shot from 1 ft (assist by B. Jennings),2,83-88,,
10:58.0,,,83-88,,L. Allen misses 2-pt shot from 8 ft
10:56.0,,,83-88,,Offensive rebound by J. Hill
10:56.0,,,83-90,2,J. Hill makes 2-pt shot from 1 ft
10:43.0,Shooting foul by J. Hill (drawn by M. Morris),,83-90,,
10:43.0,M. Morris makes free throw 1 of 2,1,84-90,,
10:43.0,M. Morris misses free throw 2 of 2,,84-90,,
10:43.0,,,84-90,,Defensive rebound by J. Hill
10:24.0,,,84-92,2,J. Hill makes 2-pt shot from 11 ft (assist by S. Hill)
10:03.0,A. Drummond misses 2-pt shot from 9 ft,,84-92,,
10:02.0,,,84-92,,Defensive rebound by C. Miles
9:53.0,Personal foul by B. Jennings (drawn by G. Hill),,84-92,,
9:46.0,,,84-94,2,G. Hill makes 2-pt shot from 10 ft
9:33.0,Turnover by D. Hilliard (bad pass; steal by J. Hill),,84-94,,
9:29.0,,,84-94,,Turnover by S. Hill (bad pass; steal by A. Tolliver)
9:21.0,B. Jennings misses 3-pt shot from 25 ft,,84-94,,
9:19.0,,,84-94,,Defensive rebound by L. Allen
9:02.0,,,84-94,,G. Hill misses 2-pt shot from 9 ft
9:01.0,Defensive rebound by A. Tolliver,,84-94,,
8:53.0,Offensive charge foul by B. Jennings,,84-94,,
8:53.0,Turnover by B. Jennings (offensive foul),,84-94,,
8:53.0,Official timeout,,84-94,,
8:53.0,S. Johnson enters the game for D. Hilliard,,84-94,,
8:43.0,,,84-97,3,C. Miles makes 3-pt shot from 26 ft (assist by J. Hill)
8:29.0,,,84-97,,Personal foul by S. Hill (drawn by M. Morris)
8:19.0,M. Morris misses 3-pt shot from 24 ft,,84-97,,
8:18.0,Offensive rebound by Team,,84-97,,
8:10.0,,,84-97,,Personal foul by S. Hill (drawn by M. Morris)
7:58.0,A. Tolliver makes 3-pt shot from 24 ft (assist by M. Morris),3,87-97,,
7:43.0,,,87-97,,C. Miles misses 3-pt shot from 23 ft
7:41.0,Defensive rebound by A. Drummond,,87-97,,
7:31.0,A. Drummond makes 2-pt shot from 1 ft (assist by B. Jennings),2,89-97,,
7:16.0,,,89-97,,Turnover by S. Hill (bad pass; steal by B. Jennings)
7:10.0,B. Jennings misses 3-pt shot from 25 ft,,89-97,,
7:09.0,,,89-97,,Defensive rebound by L. Allen
6:53.0,,,89-97,,G. Hill misses 2-pt shot from 19 ft
6:52.0,Defensive rebound by S. Johnson,,89-97,,
6:49.0,,,89-97,,Personal foul by G. Hill (drawn by S. Johnson)
6:49.0,R. Jackson enters the game for B. Jennings,,89-97,,
6:49.0,,,89-97,,P. George enters the game for S. Hill
6:38.0,R. Jackson misses 2-pt shot from 1 ft,,89-97,,
6:37.0,,,89-97,,Defensive rebound by C. Miles
6:32.0,,,89-97,,P. George misses 2-pt shot at rim
6:32.0,Defensive rebound by S. Johnson,,89-97,,
6:28.0,Offensive charge foul by S. Johnson,,89-97,,
6:28.0,Turnover by S. Johnson (offensive foul),,89-97,,
6:28.0,R. Bullock enters the game for S. Johnson,,89-97,,
6:28.0,,,89-97,,M. Turner enters the game for L. Allen
6:28.0,,,89-97,,M. Ellis enters the game for G. Hill
6:14.0,,,89-97,,C. Miles misses 2-pt shot from 19 ft
6:13.0,,,89-97,,Offensive rebound by J. Hill
6:12.0,,,89-97,,J. Hill misses 2-pt shot from 2 ft
6:10.0,Defensive rebound by A. Drummond,,89-97,,
6:02.0,A. Tolliver makes 3-pt shot from 24 ft (assist by M. Morris),3,92-97,,
6:02.0,,,92-97,,Indiana full timeout
6:02.0,,,92-97,,I. Mahinmi enters the game for J. Hill
5:50.0,,,92-97,,C. Miles misses 2-pt shot from 5 ft
5:49.0,Defensive rebound by A. Drummond,,92-97,,
5:25.0,Detroit full timeout,,92-97,,
5:25.0,,,92-97,,G. Hill enters the game for C. Miles
5:22.0,A. Tolliver misses 3-pt shot from 25 ft,,92-97,,
5:21.0,,,92-97,,Defensive rebound by I. Mahinmi
5:06.0,,,92-97,,Shooting foul by M. Morris (drawn by P. George)
5:06.0,,,92-98,1,P. George makes free throw 1 of 3
5:06.0,,,92-99,1,P. George makes free throw 2 of 3
5:06.0,,,92-100,1,P. George makes free throw 3 of 3
5:02.0,,,92-100,,Personal foul by I. Mahinmi (drawn by A. Drummond)
5:02.0,A. Drummond misses free throw 1 of 2,,92-100,,
5:02.0,Offensive rebound by Team,,92-100,,
5:02.0,S. Johnson enters the game for R. Bullock,,92-100,,
5:02.0,A. Drummond makes free throw 2 of 2,1,93-100,,
4:45.0,,,93-100,,P. George misses 2-pt shot from 5 ft (block by A. Drummond)
4:44.0,Defensive rebound by R. Jackson,,93-100,,
4:37.0,M. Morris misses 3-pt shot from 26 ft,,93-100,,
4:37.0,,,93-100,,Defensive rebound by M. Ellis
4:31.0,,,93-100,,P. George misses 2-pt shot from 15 ft
4:30.0,Defensive rebound by S. Johnson,,93-100,,
4:19.0,R. Jackson makes 2-pt shot from 6 ft,2,95-100,,
4:03.0,,,95-100,,M. Turner misses 2-pt shot from 15 ft
4:02.0,,,95-100,,Offensive rebound by I. Mahinmi
3:41.0,,,95-100,,P. George misses 2-pt shot from 19 ft
3:40.0,Defensive rebound by S. Johnson,,95-100,,
3:30.0,Shooting foul by I. Mahinmi (drawn by A. Drummond),,95-100,,
3:30.0,A. Drummond misses free throw 1 of 2,,95-100,,
3:30.0,Offensive rebound by Team,,95-100,,
3:30.0,,,95-100,,J. Hill enters the game for I. Mahinmi
3:30.0,A. Drummond misses free throw 2 of 2,,95-100,,
3:29.0,,,95-100,,Defensive rebound by P. George
3:26.0,,,95-100,,Turnover by P. George (lost ball; steal by A. Drummond)
3:15.0,R. Jackson misses 2-pt shot from 18 ft,,95-100,,
3:14.0,,,95-100,,Defensive rebound by M. Turner
2:54.0,,,95-100,,J. Hill misses 2-pt shot from 7 ft
2:53.0,Defensive rebound by R. Jackson,,95-100,,
2:47.0,Shooting foul by G. Hill (drawn by A. Drummond),,95-100,,
2:47.0,A. Drummond misses free throw 1 of 2,,95-100,,
2:47.0,Offensive rebound by Team,,95-100,,
2:47.0,A. Drummond misses free throw 2 of 2,,95-100,,
2:47.0,Offensive rebound by S. Johnson,,95-100,,
2:47.0,S. Johnson misses 2-pt shot from 1 ft,,95-100,,
2:41.0,,,95-100,,Defensive rebound by G. Hill
