time,Portland,pts.away,score,pts.home,Philadelphia
5:30.0,,,8-16,,Defensive rebound by I. Canaan
5:12.0,,,8-16,,Turnover by N. Noel (lost ball)
5:12.0,,,8-16,,R. Holmes enters the game for J. Sampson
5:12.0,,,8-16,,R. Covington enters the game for N. Noel
5:12.0,,,8-16,,H. Thompson enters the game for I. Canaan
5:12.0,M. Leonard enters the game for N. Vonleh,,8-16,,
5:12.0,E. Davis enters the game for M. Plumlee,,8-16,,
5:12.0,A. Crabbe enters the game for C. McCollum,,8-16,,
4:50.0,D. Lillard makes 3-pt shot from 24 ft,3,11-16,,
4:36.0,,,11-18,2,J. Okafor makes 2-pt shot from 7 ft
4:36.0,,,11-18,,Shooting foul by E. Davis (drawn by J. Okafor)
4:36.0,,,11-18,,J. Okafor misses free throw 1 of 1
4:35.0,Defensive rebound by A. Aminu,,11-18,,
4:26.0,D. Lillard misses 2-pt shot from 11 ft,,11-18,,
4:25.0,,,11-18,,Defensive rebound by R. Covington
4:06.0,,,11-20,2,J. Okafor makes 2-pt shot from 18 ft (assist by R. Covington)
3:43.0,D. Lillard misses 2-pt shot from 2 ft,,11-20,,
3:40.0,Offensive rebound by E. Davis,,11-20,,
3:32.0,,,11-20,,Personal foul by I. Smith (drawn by A. Aminu)
3:26.0,M. Leonard misses 3-pt shot from 26 ft,,11-20,,
3:24.0,,,11-20,,Defensive rebound by J. Okafor
3:14.0,,,11-22,2,I. Smith makes 2-pt shot from 7 ft
2:54.0,D. Lillard makes 2-pt shot from 7 ft,2,13-22,,
2:54.0,,,13-22,,Philadelphia full timeout
2:54.0,M. Harkless enters the game for A. Aminu,,13-22,,
2:54.0,,,13-22,,T. McConnell enters the game for I. Smith
2:37.0,,,13-22,,R. Covington misses 3-pt shot from 25 ft
2:36.0,Defensive rebound by Team,,13-22,,
2:22.0,D. Lillard makes 2-pt shot from 18 ft (assist by A. Crabbe),2,15-22,,
2:05.0,,,15-22,,J. Okafor misses 2-pt shot from 9 ft (block by E. Davis)
2:02.0,Defensive rebound by M. Leonard,,15-22,,
1:51.0,M. Harkless misses 2-pt shot from 2 ft,,15-22,,
1:49.0,,,15-22,,Defensive rebound by H. Thompson
1:38.0,,,15-24,2,J. Okafor makes 2-pt shot from 10 ft (assist by T. McConnell)
1:24.0,D. Lillard misses 2-pt shot from 1 ft,,15-24,,
1:22.0,,,15-24,,Defensive rebound by R. Covington
1:16.0,,,15-27,3,T. McConnell makes 3-pt shot from 24 ft
0:54.0,A. Crabbe misses 3-pt shot from 22 ft,,15-27,,
0:52.0,,,15-27,,Defensive rebound by J. Okafor
0:36.0,,,15-27,,Shooting foul by M. Leonard (drawn by J. Okafor)
0:36.0,,,15-27,,J. Okafor misses free throw 1 of 2
0:36.0,,,15-27,,Offensive rebound by Team
0:36.0,C. McCollum enters the game for D. Lillard,,15-27,,
0:36.0,,,15-28,1,J. Okafor makes free throw 2 of 2
0:23.0,Turnover by C. McCollum (lost ball),,15-28,,
0:11.0,Personal foul by C. McCollum (drawn by T. McConnell),,15-28,,
0:11.0,,,15-28,,T. McConnell misses free throw 1 of 2
0:11.0,,,15-28,,Offensive rebound by Team
0:11.0,,,15-28,,N. Noel enters the game for J. Okafor
0:11.0,,,15-28,,J. Sampson enters the game for H. Thompson
0:11.0,,,15-29,1,T. McConnell makes free throw 2 of 2
0:00.0,C. McCollum makes 2-pt shot from 20 ft,2,17-29,,
0:00.0,Shooting foul by T. McConnell (drawn by C. McCollum),,17-29,,
0:00.0,C. McCollum misses free throw 1 of 1,,17-29,,
0:00.0,,,17-29,,Defensive rebound by R. Covington
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,C. McCollum misses 2-pt shot from 18 ft,,17-29,,
11:50.0,,,17-29,,Defensive rebound by R. Holmes
11:42.0,,,17-31,2,R. Holmes makes 2-pt shot from 1 ft (assist by R. Covington)
11:20.0,Turnover by A. Crabbe (bad pass; steal by R. Covington),,17-31,,
11:15.0,,,17-34,3,R. Covington makes 3-pt shot from 26 ft (assist by T. McConnell)
10:58.0,E. Davis makes 2-pt shot at rim (assist by A. Crabbe),2,19-34,,
10:58.0,Shooting foul by T. McConnell (drawn by E. Davis),,19-34,,
10:58.0,E. Davis makes free throw 1 of 1,1,20-34,,
10:51.0,,,20-36,2,T. McConnell makes 2-pt shot from 1 ft (assist by H. Thompson)
10:35.0,M. Leonard misses 3-pt shot from 26 ft,,20-36,,
10:32.0,Offensive rebound by E. Davis,,20-36,,
10:27.0,C. McCollum misses 3-pt shot from 23 ft,,20-36,,
10:25.0,,,20-36,,Defensive rebound by T. McConnell
10:22.0,Personal foul by C. McCollum (drawn by T. McConnell),,20-36,,
10:12.0,,,20-36,,N. Noel misses 2-pt shot from 16 ft
10:11.0,Defensive rebound by A. Crabbe,,20-36,,
10:01.0,Turnover by M. Leonard (lost ball; steal by N. Noel),,20-36,,
9:57.0,,,20-38,2,R. Covington makes 2-pt shot at rim (assist by T. McConnell)
9:57.0,Portland full timeout,,20-38,,
9:51.0,C. McCollum makes 2-pt shot from 2 ft (assist by M. Harkless),2,22-38,,
9:51.0,Shooting foul by R. Covington (drawn by C. McCollum),,22-38,,
9:51.0,C. McCollum misses free throw 1 of 1,,22-38,,
9:51.0,,,22-38,,Defensive rebound by R. Holmes
9:36.0,,,22-38,,T. McConnell misses 2-pt shot from 13 ft (block by M. Harkless)
9:35.0,,,22-38,,Offensive rebound by R. Holmes
9:35.0,,,22-38,,Shooting foul by M. Leonard (drawn by R. Holmes)
9:35.0,,,22-39,1,R. Holmes makes free throw 1 of 2
9:35.0,,,22-40,1,R. Holmes makes free throw 2 of 2
9:26.0,C. McCollum makes 3-pt shot from 26 ft,3,25-40,,
9:02.0,,,25-40,,Shooting foul by M. Leonard (drawn by R. Holmes)
9:02.0,,,25-41,1,R. Holmes makes free throw 1 of 2
9:02.0,A. Aminu enters the game for M. Leonard,,25-41,,
9:02.0,,,25-42,1,R. Holmes makes free throw 2 of 2
8:46.0,A. Crabbe misses 2-pt shot from 8 ft,,25-42,,
8:45.0,Offensive rebound by Team,,25-42,,
8:45.0,,,25-42,,Loose ball foul by N. Noel (drawn by E. Davis)
8:45.0,,,25-42,,J. Sampson enters the game for R. Holmes
8:40.0,C. McCollum misses 3-pt shot from 25 ft,,25-42,,
8:39.0,,,25-42,,Defensive rebound by Team
8:20.0,,,25-42,,R. Covington misses 2-pt shot from 2 ft
8:18.0,,,25-42,,Offensive rebound by N. Noel
8:18.0,,,25-44,2,N. Noel makes 2-pt shot from 1 ft
8:01.0,C. McCollum misses 2-pt shot from 6 ft (block by N. Noel),,25-44,,
7:59.0,,,25-44,,Defensive rebound by H. Thompson
7:53.0,,,25-47,3,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell)
7:33.0,C. McCollum makes 2-pt shot from 14 ft,2,27-47,,
7:27.0,,,27-49,2,N. Noel makes 2-pt shot at rim (assist by T. McConnell)
7:09.0,E. Davis makes 2-pt shot from 3 ft (assist by C. McCollum),2,29-49,,
7:02.0,,,29-49,,Philadelphia full timeout
7:02.0,M. Plumlee enters the game for E. Davis,,29-49,,
7:02.0,D. Lillard enters the game for M. Harkless,,29-49,,
7:02.0,,,29-49,,I. Smith enters the game for T. McConnell
7:02.0,,,29-49,,I. Canaan enters the game for H. Thompson
7:02.0,G. Henderson enters the game for C. McCollum,,29-49,,
6:51.0,,,29-49,,Turnover by R. Covington (bad pass; steal by A. Aminu)
6:40.0,Turnover by A. Aminu (lost ball; steal by I. Smith),,29-49,,
6:36.0,,,29-51,2,I. Canaan makes 2-pt shot at rim (assist by N. Noel)
6:23.0,D. Lillard misses 3-pt shot from 25 ft,,29-51,,
6:20.0,,,29-51,,Defensive rebound by J. Sampson
6:07.0,,,29-54,3,R. Covington makes 3-pt shot from 25 ft (assist by I. Smith)
5:53.0,Turnover by D. Lillard (bad pass; steal by N. Noel),,29-54,,
5:52.0,,,29-54,,Offensive foul by R. Covington
5:52.0,,,29-54,,Turnover by R. Covington (offensive foul)
5:35.0,,,29-54,,Personal foul by I. Canaan (drawn by D. Lillard)
5:35.0,,,29-54,,Personal foul by N. Noel (drawn by M. Plumlee)
5:35.0,M. Plumlee makes free throw 1 of 2,1,30-54,,
5:35.0,M. Plumlee makes free throw 2 of 2,1,31-54,,
5:22.0,,,31-56,2,I. Canaan makes 2-pt shot from 9 ft
5:22.0,,,31-56,,Shooting foul by M. Plumlee (drawn by I. Canaan)
5:22.0,,,31-57,1,I. Canaan makes free throw 1 of 1
5:08.0,M. Plumlee misses 2-pt shot from 7 ft (block by N. Noel),,31-57,,
5:08.0,Offensive rebound by Team,,31-57,,
4:56.0,G. Henderson makes 2-pt shot from 2 ft,2,33-57,,
4:49.0,,,33-57,,Turnover by J. Sampson (offensive foul)
4:49.0,,,33-57,,Offensive charge foul by J. Sampson
4:40.0,D. Lillard makes 2-pt shot from 5 ft,2,35-57,,
4:24.0,,,35-57,,Shooting foul by D. Lillard (drawn by I. Smith)
4:24.0,,,35-57,,I. Smith misses free throw 1 of 2
4:24.0,,,35-57,,Offensive rebound by Team
4:24.0,,,35-57,,J. Okafor enters the game for N. Noel
4:24.0,,,35-58,1,I. Smith makes free throw 2 of 2
4:13.0,A. Crabbe makes 2-pt shot from 18 ft,2,37-58,,
4:02.0,,,37-58,,J. Okafor misses 2-pt shot from 3 ft
4:02.0,Defensive rebound by Team,,37-58,,
4:02.0,,,37-58,,Loose ball foul by J. Okafor (drawn by M. Plumlee)
4:02.0,M. Plumlee misses free throw 1 of 2,,37-58,,
4:02.0,Offensive rebound by Team,,37-58,,
4:02.0,M. Plumlee makes free throw 2 of 2,1,38-58,,
3:37.0,,,38-58,,J. Sampson misses 2-pt shot from 10 ft (block by M. Plumlee)
3:35.0,Defensive rebound by G. Henderson,,38-58,,
3:31.0,A. Aminu misses 3-pt shot from 26 ft,,38-58,,
3:29.0,,,38-58,,Defensive rebound by I. Canaan
3:19.0,,,38-58,,R. Covington misses 3-pt shot from 24 ft
3:18.0,,,38-58,,Offensive rebound by I. Smith
3:00.0,,,38-58,,J. Okafor misses 2-pt shot from 15 ft
2:59.0,Defensive rebound by G. Henderson,,38-58,,
2:52.0,G. Henderson makes 2-pt shot from 17 ft,2,40-58,,
2:28.0,,,40-58,,Shooting foul by M. Plumlee (drawn by I. Canaan)
2:28.0,Official timeout,,40-58,,
2:28.0,C. McCollum enters the game for A. Crabbe,,40-58,,
2:28.0,,,40-58,,H. Thompson enters the game for R. Covington
2:28.0,,,40-58,,N. Noel enters the game for J. Sampson
2:28.0,,,40-58,,I. Canaan misses free throw 1 of 2
2:28.0,,,40-58,,Offensive rebound by Team
2:28.0,,,40-59,1,I. Canaan makes free throw 2 of 2
2:20.0,C. McCollum misses 3-pt shot from 25 ft,,40-59,,
2:18.0,,,40-59,,Defensive rebound by J. Okafor
2:13.0,,,40-61,2,I. Smith makes 2-pt shot from 2 ft
1:57.0,M. Plumlee misses 2-pt shot from 5 ft (block by N. Noel),,40-61,,
1:55.0,,,40-61,,Defensive rebound by J. Okafor
1:46.0,,,40-61,,H. Thompson misses 3-pt shot from 25 ft
1:44.0,Defensive rebound by A. Aminu,,40-61,,
1:37.0,D. Lillard misses 3-pt shot from 28 ft,,40-61,,
1:35.0,Offensive rebound by C. McCollum,,40-61,,
1:29.0,M. Plumlee misses 2-pt shot from 7 ft,,40-61,,
1:26.0,,,40-61,,Defensive rebound by N. Noel
1:21.0,,,40-64,3,I. Canaan makes 3-pt shot from 25 ft (assist by I. Smith)
0:54.0,D. Lillard misses 3-pt shot from 41 ft,,40-64,,
0:53.0,Offensive rebound by M. Plumlee,,40-64,,
0:50.0,Shooting foul by J. Okafor (drawn by M. Plumlee),,40-64,,
0:50.0,M. Plumlee makes free throw 1 of 2,1,41-64,,
0:50.0,M. Plumlee misses free throw 2 of 2,,41-64,,
0:50.0,,,41-64,,Defensive rebound by I. Smith
0:41.0,,,41-64,,I. Canaan misses 2-pt shot from 3 ft (block by M. Plumlee)
0:41.0,,,41-64,,Offensive rebound by Team
0:41.0,,,41-64,,Philadelphia full timeout
0:32.0,,,41-66,2,I. Smith makes 2-pt shot from 3 ft
0:18.0,,,41-66,,Personal foul by I. Smith (drawn by D. Lillard)
0:18.0,D. Lillard makes free throw 1 of 2,1,42-66,,
0:18.0,E. Davis enters the game for C. McCollum,,42-66,,
0:18.0,,,42-66,,R. Covington enters the game for N. Noel
0:18.0,D. Lillard makes free throw 2 of 2,1,43-66,,
0:01.0,,,43-68,2,I. Smith makes 2-pt shot from 4 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,,,43-68,,Violation by Team (delay of game)
11:33.0,M. Plumlee makes 2-pt shot from 7 ft (assist by D. Lillard),2,45-68,,
11:09.0,,,45-68,,J. Sampson misses 2-pt shot from 1 ft
11:08.0,Defensive rebound by N. Vonleh,,45-68,,
10:59.0,C. McCollum misses 2-pt shot from 4 ft,,45-68,,
10:59.0,Offensive rebound by Team,,45-68,,
10:48.0,A. Aminu misses 2-pt shot from 10 ft,,45-68,,
10:46.0,,,45-68,,Defensive rebound by J. Okafor
10:34.0,,,45-70,2,I. Canaan makes 2-pt shot from 1 ft (assist by J. Okafor)
10:23.0,A. Aminu misses 3-pt shot from 24 ft,,45-70,,
10:22.0,,,45-70,,Defensive rebound by N. Noel
10:03.0,,,45-72,2,I. Smith makes 2-pt shot from 5 ft
9:53.0,Offensive foul by N. Vonleh,,45-72,,
9:53.0,Turnover by N. Vonleh (offensive foul),,45-72,,
9:32.0,,,45-72,,I. Canaan misses 3-pt shot from 25 ft
9:31.0,Defensive rebound by A. Aminu,,45-72,,
9:23.0,D. Lillard misses 2-pt shot from 1 ft (block by J. Sampson),,45-72,,
9:20.0,,,45-72,,Defensive rebound by J. Sampson
9:12.0,,,45-74,2,I. Smith makes 2-pt shot from 3 ft
8:53.0,D. Lillard misses 2-pt shot from 1 ft,,45-74,,
8:49.0,,,45-74,,Defensive rebound by J. Okafor
8:35.0,,,45-74,,Turnover by I. Canaan (bad pass; steal by C. McCollum)
8:25.0,C. McCollum misses 2-pt shot at rim (block by J. Sampson),,45-74,,
8:23.0,Offensive rebound by A. Aminu,,45-74,,
8:17.0,A. Aminu makes 2-pt shot from 1 ft,2,47-74,,
8:14.0,,,47-74,,Offensive foul by J. Okafor
8:14.0,,,47-74,,Turnover by J. Okafor (offensive foul)
7:52.0,D. Lillard misses 3-pt shot from 22 ft (block by I. Canaan),,47-74,,
7:52.0,Offensive rebound by Team,,47-74,,
7:49.0,N. Vonleh misses 2-pt shot from 10 ft,,47-74,,
7:49.0,Offensive rebound by Team,,47-74,,
7:49.0,Turnover by Team (shot clock),,47-74,,
7:41.0,,,47-74,,Turnover by J. Okafor (lost ball; steal by M. Plumlee)
7:37.0,M. Plumlee makes 2-pt shot from 1 ft,2,49-74,,
7:09.0,,,49-76,2,J. Okafor makes 2-pt shot from 3 ft
6:59.0,D. Lillard misses 2-pt shot from 13 ft,,49-76,,
6:58.0,,,49-76,,Defensive rebound by N. Noel
6:47.0,,,49-76,,Offensive charge foul by J. Okafor
6:47.0,,,49-76,,Turnover by J. Okafor (offensive foul)
6:47.0,M. Leonard enters the game for N. Vonleh,,49-76,,
6:47.0,,,49-76,,R. Holmes enters the game for J. Okafor
6:35.0,,,49-76,,Loose ball foul by J. Sampson (drawn by M. Plumlee)
6:28.0,Turnover by M. Plumlee (bad pass; steal by I. Canaan),,49-76,,
6:24.0,,,49-78,2,J. Sampson makes 2-pt shot at rim (assist by I. Smith)
6:24.0,Portland full timeout,,49-78,,
6:15.0,D. Lillard misses 2-pt shot at rim (block by N. Noel),,49-78,,
6:14.0,Offensive rebound by M. Plumlee,,49-78,,
6:13.0,M. Plumlee makes 2-pt shot from 2 ft,2,51-78,,
5:48.0,,,51-78,,I. Canaan misses 2-pt shot from 23 ft
5:47.0,Defensive rebound by A. Aminu,,51-78,,
5:43.0,,,51-78,,Personal block foul by J. Sampson (drawn by A. Aminu)
5:43.0,,,51-78,,R. Covington enters the game for J. Sampson
5:26.0,Turnover by M. Plumlee (lost ball; steal by N. Noel),,51-78,,
5:22.0,,,51-78,,Shooting foul by M. Leonard (drawn by I. Smith)
5:22.0,,,51-78,,I. Smith misses 2-pt shot from 1 ft
5:22.0,,,51-78,,Offensive rebound by Team
5:22.0,,,51-79,1,I. Smith makes free throw 1 of 2
5:22.0,A. Crabbe enters the game for A. Aminu,,51-79,,
5:22.0,,,51-79,,I. Smith misses free throw 2 of 2
5:22.0,Defensive rebound by D. Lillard,,51-79,,
5:10.0,D. Lillard misses 2-pt shot from 3 ft,,51-79,,
5:10.0,Offensive rebound by M. Plumlee,,51-79,,
5:10.0,M. Plumlee makes 2-pt shot at rim,2,53-79,,
5:10.0,Shooting foul by R. Covington (drawn by M. Plumlee),,53-79,,
5:10.0,M. Plumlee misses free throw 1 of 1,,53-79,,
5:10.0,,,53-79,,Defensive rebound by N. Noel
4:50.0,,,53-82,3,R. Holmes makes 3-pt shot from 25 ft (assist by I. Canaan)
4:30.0,Turnover by M. Plumlee (lost ball; steal by N. Noel),,53-82,,
4:23.0,,,53-82,,I. Canaan misses 3-pt shot from 23 ft
4:21.0,Defensive rebound by M. Leonard,,53-82,,
4:15.0,C. McCollum misses 3-pt shot from 25 ft,,53-82,,
4:13.0,,,53-82,,Defensive rebound by R. Holmes
4:09.0,,,53-82,,Philadelphia full timeout
4:09.0,E. Davis enters the game for M. Plumlee,,53-82,,
4:09.0,,,53-82,,H. Thompson enters the game for I. Canaan
3:52.0,,,53-82,,I. Smith misses 2-pt shot from 18 ft
3:49.0,Defensive rebound by C. McCollum,,53-82,,
3:38.0,Turnover by M. Leonard (step out of bounds),,53-82,,
3:22.0,,,53-82,,R. Holmes misses 2-pt shot at rim
3:20.0,Defensive rebound by M. Leonard,,53-82,,
3:09.0,M. Leonard makes 2-pt shot from 16 ft (assist by D. Lillard),2,55-82,,
2:51.0,,,55-82,,J. Okafor enters the game for N. Noel
2:51.0,,,55-82,,T. McConnell enters the game for I. Smith
2:50.0,,,55-82,,Shooting foul by E. Davis (drawn by R. Covington)
2:50.0,,,55-83,1,R. Covington makes free throw 1 of 2
2:50.0,,,55-84,1,R. Covington makes free throw 2 of 2
2:39.0,A. Crabbe misses 2-pt shot from 15 ft,,55-84,,
2:37.0,,,55-84,,Defensive rebound by H. Thompson
2:29.0,,,55-84,,Turnover by T. McConnell (lost ball)
2:22.0,Shooting foul by T. McConnell (drawn by D. Lillard),,55-84,,
2:22.0,D. Lillard makes free throw 1 of 2,1,56-84,,
2:22.0,D. Lillard misses free throw 2 of 2,,56-84,,
2:20.0,,,56-84,,Defensive rebound by R. Covington
2:05.0,,,56-87,3,R. Covington makes 3-pt shot from 26 ft (assist by T. McConnell)
1:53.0,E. Davis misses 2-pt shot from 3 ft (block by R. Holmes),,56-87,,
1:52.0,Offensive rebound by Team,,56-87,,
1:48.0,M. Leonard makes 2-pt shot from 16 ft (assist by A. Crabbe),2,58-87,,
1:33.0,,,58-87,,H. Thompson misses 2-pt shot from 16 ft
1:32.0,Defensive rebound by M. Leonard,,58-87,,
1:22.0,C. McCollum misses 3-pt shot from 26 ft,,58-87,,
1:20.0,,,58-87,,Defensive rebound by J. Okafor
1:00.0,,,58-87,,Turnover by H. Thompson (traveling)
0:51.0,C. McCollum makes 2-pt shot from 15 ft,2,60-87,,
0:39.0,,,60-87,,Shooting foul by E. Davis (drawn by R. Holmes)
0:39.0,,,60-88,1,R. Holmes makes free throw 1 of 2
0:39.0,,,60-88,,J. Sampson enters the game for H. Thompson
0:39.0,,,60-88,,R. Holmes misses free throw 2 of 2
0:37.0,Defensive rebound by M. Leonard,,60-88,,
0:29.0,M. Leonard makes 2-pt shot from 12 ft,2,62-88,,
0:05.0,,,62-90,2,J. Okafor makes 2-pt shot from 3 ft (assist by R. Holmes)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,62-90,,R. Holmes misses 2-pt shot from 2 ft
11:38.0,Defensive rebound by G. Henderson,,62-90,,
11:25.0,G. Henderson misses 2-pt shot from 17 ft,,62-90,,
11:24.0,,,62-90,,Defensive rebound by J. Okafor
11:16.0,,,62-90,,R. Covington misses 3-pt shot from 27 ft
11:15.0,Defensive rebound by G. Henderson,,62-90,,
11:04.0,E. Davis makes 2-pt shot from 3 ft,2,64-90,,
10:38.0,,,64-90,,J. Okafor misses 2-pt shot from 3 ft
10:36.0,Defensive rebound by E. Davis,,64-90,,
10:25.0,G. Henderson misses 3-pt shot from 26 ft,,64-90,,
10:24.0,,,64-90,,Defensive rebound by Team
10:12.0,,,64-92,2,R. Holmes makes 2-pt shot from 15 ft (assist by T. McConnell)
9:49.0,M. Harkless misses 3-pt shot from 25 ft,,64-92,,
9:48.0,,,64-92,,Defensive rebound by R. Holmes
9:37.0,,,64-94,2,R. Holmes makes 2-pt shot at rim (assist by R. Covington)
9:21.0,Shooting foul by R. Holmes (drawn by E. Davis),,64-94,,
9:21.0,E. Davis makes free throw 1 of 2,1,65-94,,
9:21.0,,,65-94,,I. Canaan enters the game for J. Sampson
9:21.0,E. Davis makes free throw 2 of 2,1,66-94,,
9:21.0,,,66-94,,Philadelphia full timeout
9:21.0,N. Vonleh enters the game for E. Davis,,66-94,,
9:04.0,,,66-94,,R. Covington misses 3-pt shot from 25 ft
9:02.0,Defensive rebound by N. Vonleh,,66-94,,
8:54.0,M. Leonard misses 3-pt shot from 26 ft,,66-94,,
8:51.0,Offensive rebound by N. Vonleh,,66-94,,
8:46.0,M. Harkless makes 2-pt shot at rim (assist by T. Frazier),2,68-94,,
8:34.0,,,68-96,2,T. McConnell makes 2-pt shot from 7 ft
8:27.0,Shooting foul by R. Covington (drawn by T. Frazier),,68-96,,
8:27.0,T. Frazier makes free throw 1 of 2,1,69-96,,
8:27.0,T. Frazier misses free throw 2 of 2,,69-96,,
8:25.0,,,69-96,,Defensive rebound by J. Okafor
8:00.0,,,69-98,2,J. Okafor makes 2-pt shot from 22 ft (assist by I. Canaan)
7:50.0,Turnover by M. Harkless (bad pass; steal by T. McConnell),,69-98,,
7:46.0,,,69-98,,R. Covington misses 3-pt shot from 24 ft
7:45.0,,,69-98,,Offensive rebound by Team
7:45.0,,,69-98,,K. Marshall enters the game for T. McConnell
7:41.0,,,69-98,,R. Covington misses 3-pt shot from 24 ft
7:39.0,Defensive rebound by M. Leonard,,69-98,,
7:27.0,G. Henderson misses 2-pt shot from 16 ft,,69-98,,
7:26.0,,,69-98,,Defensive rebound by J. Okafor
7:18.0,,,69-100,2,J. Okafor makes 2-pt shot from 1 ft
7:18.0,,,69-100,,Shooting foul by M. Harkless (drawn by J. Okafor)
7:18.0,,,69-100,,J. Okafor misses free throw 1 of 1
7:17.0,Defensive rebound by M. Harkless,,69-100,,
7:08.0,,,69-100,,C. Landry enters the game for J. Okafor
7:08.0,,,69-100,,H. Thompson enters the game for R. Covington
6:56.0,M. Leonard misses 2-pt shot from 16 ft,,69-100,,
6:53.0,,,69-100,,Defensive rebound by K. Marshall
6:46.0,,,69-100,,Turnover by K. Marshall (lost ball; steal by T. Frazier)
6:42.0,G. Henderson makes 2-pt shot at rim (assist by T. Frazier),2,71-100,,
6:21.0,,,71-100,,Turnover by K. Marshall (bad pass; steal by M. Harkless)
6:18.0,Turnover by M. Harkless (lost ball; steal by C. Landry),,71-100,,
6:17.0,Personal foul by T. Frazier (drawn by C. Landry),,71-100,,
6:17.0,P. Connaughton enters the game for M. Harkless,,71-100,,
5:59.0,,,71-100,,R. Holmes misses 3-pt shot from 26 ft
5:58.0,Defensive rebound by Team,,71-100,,
5:58.0,,,71-100,,Loose ball foul by C. Landry (drawn by P. Connaughton)
5:58.0,Official timeout,,71-100,,
5:33.0,T. Frazier misses 3-pt shot from 24 ft,,71-100,,
5:31.0,,,71-100,,Defensive rebound by I. Canaan
5:16.0,,,71-100,,H. Thompson misses 2-pt shot from 15 ft
5:15.0,Defensive rebound by T. Frazier,,71-100,,
5:04.0,M. Leonard makes 3-pt shot from 25 ft (assist by T. Frazier),3,74-100,,
4:44.0,,,74-100,,K. Marshall misses 2-pt shot from 18 ft
4:42.0,Defensive rebound by P. Connaughton,,74-100,,
4:33.0,Shooting foul by H. Thompson (drawn by N. Vonleh),,74-100,,
